ID,Rank,Rarity_Score,Attributes,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
4572,42,482.71930487995394,6,Orange,Toga,None,Heart,Cream,Seaman's Hat,Bored Unshaven Dagger
4746,43,482.5406206159231,6,Aquamarine,Wool Turtleneck,None,Eyepatch,Tan,Fez,Bored Unshaven Dagger
9542,44,482.4581661944928,5,Yellow,Navy Striped Tee,None,Scumbag,Dark Brown,None,Bored Unshaven Pizza
481,45,481.432769861999,6,Purple,Bayc T Black,Gold Stud,3d,Blue,None,Bored Unshaven Dagger
5713,46,478.3163844047436,6,Orange,Hawaiian,None,Bloodshot,Pink,Bayc Flipped Brim,Bored Unshaven Dagger
3046,47,477.4536077429006,5,Orange,None,None,Robot,Golden Brown,Commie Hat,Bored Unshaven Pizza
2550,48,474.8366550849374,6,Gray,None,Gold Hoop,Sleepy,Cream,Seaman's Hat,Bored Unshaven Pizza
73,49,474.8199195890887,7,Army Green,Work Vest,Gold Stud,Sad,Solid Gold,Bandana Blue,Rage
4873,50,474.3365405727063,7,Orange,Tie Dye,Gold Hoop,Scumbag,Solid Gold,Army Hat,Bored Pipe
3749,51,473.0151681207591,6,Yellow,Black T,None,Laser Eyes,Solid Gold,Sea Captain's Hat,Small Grin
9606,52,469.5408923693659,4,Army Green,None,None,Wide Eyed,Black,None,Bored Unshaven Pizza
5800,53,468.3000193184701,5,Gray,None,None,Sleepy,Brown,Bayc Hat Black,Bored Unshaven Pizza
8817,54,465.762535143848,7,Orange,Wool Turtleneck,Silver Hoop,Sleepy,Solid Gold,Spinner Hat,Bored Party Horn
9941,55,464.2909369145298,5,New Punk Blue,None,None,Bloodshot,Golden Brown,Stuntman Helmet,Bored Unshaven Dagger
3722,56,463.5008253340941,6,Orange,Black T,Gold Hoop,Bored,Brown,None,Bored Unshaven Pizza
6833,57,462.13501264070203,6,Gray,None,Silver Stud,Crazy,Red,Short Mohawk,Bored Unshaven Dagger
682,58,459.82402684167045,7,Purple,Lab Coat,Gold Stud,Bloodshot,Golden Brown,King's Crown,Bored Pizza
6207,59,459.3857057537453,6,New Punk Blue,Puffy Vest,None,Blue Beams,Noise,Bunny Ears,Bored Bubblegum
4882,60,457.7510707527675,7,New Punk Blue,Black Suit,Silver Stud,Sleepy,Trippy,Irish Boho,Bored Unshaven
4448,61,455.87621004553125,5,Purple,None,None,Bloodshot,Black,Sea Captain's Hat,Bored Unshaven Pizza
2432,62,449.2447387704737,5,Yellow,Bandolier,None,Wide Eyed,Trippy,None,Bored Unshaven Party horn
2488,63,448.9776782784129,5,Gray,Hawaiian,None,Blue Beams,Trippy,None,Phoneme Wah
3105,64,447.2125670373182,6,Yellow,Bandolier,None,Closed,Solid Gold,Laurel Wreath,Bored
1199,65,446.0253778740218,6,Yellow,Navy Striped Tee,None,Angry,Dark Brown,Beanie,Bored Unshaven Dagger
4980,66,444.9740671649446,7,Gray,Smoking Jacket,Gold Stud,Angry,Solid Gold,Party Hat 1,Phoneme  ooo
5230,67,444.28407099876307,7,New Punk Blue,Kings Robe,Silver Hoop,Blue Beams,Zombie,Halo,Bored
7901,68,444.08853623116306,7,Purple,Admirals Coat,Silver Hoop,Sad,Dark Brown,Laurel Wreath,Bored Unshaven Pipe
4734,69,443.5140827520598,5,Orange,Tuxedo Tee,None,Sleepy,Golden Brown,None,Bored Unshaven Dagger
2587,70,439.86585976759454,5,Blue,Striped Tee,None,Bored,Brown,None,Bored Unshaven Pizza
768,71,437.3936032369072,7,Yellow,Cowboy Shirt,Silver Hoop,Wide Eyed,White,Baby's Bonnet,Bored Unshaven Party horn
1674,72,437.2835644857746,6,Aquamarine,Black Suit,None,Bloodshot,Black,Commie Hat,Bored Kazoo
565,73,434.83571853532135,6,Aquamarine,Striped Tee,None,Bored,Black,Cowboy Hat,Bored Unshaven Dagger
1401,74,434.3978341967253,6,Gray,Black Suit,None,Bored,Zombie,Beanie,Grin Diamond Grill
3374,75,429.8784455031409,6,Aquamarine,Sleeveless T,None,Bored,Trippy,Bayc Flipped Brim,Bored Pizza
2100,76,429.5479825048216,7,Aquamarine,Tie Dye,Gold Stud,Blindfold,Pink,Girl's Hair Short,Bored Pizza
8552,77,428.80821908610983,7,Yellow,Biker Vest,Silver Hoop,Wide Eyed,Solid Gold,Sushi Chef Headband,Bored Pipe
6269,78,423.0573883502087,5,Army Green,Caveman Pelt,None,Blue Beams,Death Bot,None,Bored Cigar
4177,79,422.87096958562597,7,Aquamarine,Black Suit,Cross,Bored,Black,Bayc Hat Red,Bored Unshaven
696,80,422.0669334693055,6,Purple,Kings Robe,None,Bored,Golden Brown,Laurel Wreath,Bored Unshaven Cigar
6172,81,421.75844380289686,6,Yellow,Tanktop,None,Bloodshot,Death Bot,Police Motorcycle Helmet,Bored Unshaven Party horn
5315,82,421.5075131002795,7,Orange,Work Vest,Silver Hoop,X Eyes,White,Spinner Hat,Bored Unshaven Party horn
7156,83,419.8097434044433,5,Blue,Rainbow Suspenders,None,X Eyes,Noise,None,Bored Unshaven Party horn
1913,84,419.1323012198702,6,Army Green,Black Suit,None,Blindfold,White,Halo,Bored Pipe
3529,85,418.95009187450665,7,Purple,Guayabera,Silver Stud,Sunglasses,Tan,Bayc Hat Red,Bored Unshaven Party horn
7090,86,417.31185479834255,5,New Punk Blue,Service,None,Heart,Solid Gold,None,Grin Multicolored
197,87,417.21109543415747,6,Army Green,Bone Necklace,None,X Eyes,Solid Gold,Bayc Hat Red,Grin
7228,88,416.80021072555274,6,Orange,Admirals Coat,None,Bored,Trippy,Police Motorcycle Helmet,Small Grin
3483,89,416.6241909287022,7,Orange,Tie Dye,Cross,Bored,Dark Brown,Short Mohawk,Bored Unshaven Party horn
5418,90,416.14108224336974,6,Army Green,Black Suit,None,Heart,Red,Army Hat,Grin Multicolored
6633,91,411.5971037281507,7,Orange,Tuxedo Tee,Gold Stud,Holographic,Pink,Party Hat 2,Bored Unshaven Bubblegum
793,92,411.19561166561255,6,Yellow,Navy Striped Tee,None,Sleepy,Solid Gold,Stuntman Helmet,Bored Pipe
9361,93,410.6784120654444,5,Gray,None,Silver Stud,Cyborg,Trippy,None,Bored Unshaven Bubblegum
544,94,410.4506326649564,7,Army Green,Tuxedo Tee,Silver Stud,Eyepatch,Solid Gold,Sushi Chef Headband,Phoneme L
446,95,410.40324797450586,7,Gray,Cowboy Shirt,Cross,Sunglasses,Zombie,Trippy Captain's Hat,Phoneme Vuh
6388,96,409.11476343876205,7,Purple,Bayc T Red,Silver Stud,Sunglasses,Solid Gold,Commie Hat,Jovial
8580,97,407.2583128570358,7,Aquamarine,Black Suit,Gold Stud,Holographic,Brown,Spinner Hat,Bored
9452,98,406.0619609139645,6,Gray,Space Suit,None,Laser Eyes,Robot,Beanie,Bored Unshaven Pipe
9566,99,405.82553764475836,6,Orange,Admirals Coat,None,Sad,Cream,Ww2 Pilot Helm,Bored Party Horn
5486,100,405.19614107993976,5,Orange,Tie Dye,None,Blue Beams,Noise,None,Tongue Out
6605,101,404.09158348918083,6,Gray,Tuxedo Tee,None,Eyepatch,Brown,Bandana Blue,Bored Pizza
118,102,403.0417364708704,5,New Punk Blue,Navy Striped Tee,None,Blue Beams,Tan,None,Bored Kazoo
7449,103,401.713025993554,7,Orange,Guayabera,Cross,Eyepatch,Blue,Seaman's Hat,Bored Dagger
3762,104,400.4607712172401,6,Blue,Hip Hop,None,Cyborg,Red,Ww2 Pilot Helm,Bored Unshaven Cigar
441,105,399.2948039504073,6,Blue,Bandolier,None,Blue Beams,Death Bot,Bunny Ears,Bored Cigarette
7508,106,398.89628908817133,6,Gray,Tweed Suit,None,Zombie,Cheetah,Safari,Bored Dagger
6739,107,397.3800597359908,6,Yellow,Tie Dye,None,Angry,Gray,Faux Hawk,Bored Pizza
8005,108,396.99332531381924,7,Aquamarine,Leather Jacket,Silver Stud,Coins,Gray,Trippy Captain's Hat,Grin Diamond Grill
8539,109,396.8429186962548,7,Army Green,Cowboy Shirt,Gold Stud,Bored,Cream,Commie Hat,Bored Unshaven Party horn
5869,110,396.5364204298974,6,Blue,Prison Jumpsuit,None,Angry,Gray,Girl's Hair Pink,Bored Dagger
6964,111,395.1108159378434,7,Yellow,Bayc T Black,Gold Hoop,Hypnotized,Cheetah,Horns,Bored Dagger
8854,112,394.13695630645105,7,Aquamarine,Bayc T Red,Cross,Eyepatch,White,Faux Hawk,Bored Party Horn
8650,113,393.40548961056004,6,Yellow,Lumberjack Shirt,None,Wide Eyed,Solid Gold,Prussian Helmet,Bored Unshaven Cigarette
3398,114,392.48636840095674,7,Aquamarine,Leather Punk Jacket,Gold Stud,Bored,Black,Safari,Bored Unshaven Party horn
2489,115,392.0978543948124,5,Purple,Guayabera,None,Eyepatch,Solid Gold,None,Bored Bubblegum
1119,116,390.0952148414732,6,Purple,Leather Jacket,None,Bored,Trippy,Halo,Bored Unshaven Kazoo
991,117,388.6712677515864,7,Purple,Kings Robe,Silver Hoop,Coins,Blue,Police Motorcycle Helmet,Bored Unshaven Pipe
8522,118,388.4690045772024,7,Gray,Navy Striped Tee,Silver Hoop,Zombie,Trippy,Girl's Hair Pink,Bored Pipe
6780,119,387.4110288907352,6,Purple,Guayabera,None,Blindfold,Noise,Halo,Bored Pizza
5718,120,386.97330431865925,7,Orange,Black Suit,Silver Hoop,Bored,Red,Spinner Hat,Phoneme Oh
7581,121,386.76374023369,7,Yellow,Admirals Coat,Gold Hoop,3d,Brown,Trippy Captain's Hat,Bored Cigarette
6819,122,386.2205115209522,7,Orange,Puffy Vest,Cross,Bored,White,Halo,Bored Pizza
5312,123,385.677303636129,7,Gray,Toga,Silver Stud,Eyepatch,White,Safari,Bored Pizza
9028,124,384.61720794862424,6,Blue,Smoking Jacket,None,Laser Eyes,Tan,Sushi Chef Headband,Bored Party Horn
8333,125,384.39386282292855,7,Army Green,Pimp Coat,Gold Stud,Bored,Trippy,Faux Hawk,Grin
7010,126,383.89560727108045,6,Blue,Tweed Suit,None,Sleepy,Brown,Police Motorcycle Helmet,Bored Dagger
3610,127,383.7202086816859,6,Orange,Kings Robe,Silver Stud,Holographic,Robot,None,Bored Unshaven Cigar
9234,128,382.70005344300705,5,Orange,Lumberjack Shirt,None,Blue Beams,Noise,None,Tongue Out
542,129,382.5554634493787,6,Gray,Kings Robe,None,Cyborg,Gray,Cowboy Hat,Bored Cigar
528,130,382.3381399135054,7,Army Green,Black Holes T,Gold Stud,Bloodshot,Solid Gold,Short Mohawk,Small Grin
5116,131,381.8034462642097,6,Army Green,Caveman Pelt,None,Scumbag,Trippy,King's Crown,Bored Unshaven
7681,132,381.44708111391395,6,Aquamarine,Smoking Jacket,None,Hypnotized,Trippy,King's Crown,Dumbfounded
2133,133,381.3378561015703,6,Army Green,Black Holes T,None,Bloodshot,Blue,Trippy Captain's Hat,Bored Kazoo
350,134,381.0886743885489,7,Aquamarine,Black Suit,Gold Hoop,Coins,Pink,Baby's Bonnet,Bored
743,135,380.7440946992217,7,Purple,Bone Tee,Gold Stud,Bored,Dmt,Girl's Hair Pink,Bored Unshaven Bubblegum
613,136,379.72610519791186,7,Aquamarine,Bone Tee,Gold Stud,Scumbag,Gray,Party Hat 1,Bored Unshaven Bubblegum
7974,137,379.4564039179995,6,Yellow,Black Suit,None,Robot,Cheetah,Fisherman's Hat,Discomfort
7582,138,378.3417404889912,6,Purple,Cowboy Shirt,None,3d,Cheetah,Army Hat,Bored Dagger
6805,139,377.32542515319835,6,Purple,Lumberjack Shirt,Gold Stud,Laser Eyes,Blue,None,Grin Diamond Grill
8436,140,376.96838084862645,6,Aquamarine,Guayabera,None,Blue Beams,Noise,Beanie,Small Grin
1262,141,376.6045586090846,6,New Punk Blue,Prison Jumpsuit,None,Bloodshot,Death Bot,Short Mohawk,Bored Unshaven Party horn
7621,142,376.59457959169765,5,Purple,Sleeveless Logo T,None,Coins,Dmt,None,Bored Unshaven Party horn
8824,143,376.4885958544954,6,Aquamarine,Space Suit,None,Sleepy,Solid Gold,Sea Captain's Hat,Bored Unshaven
7712,144,375.89584619785205,6,Orange,Kings Robe,None,Bored,Brown,Ww2 Pilot Helm,Bored Party Horn
9471,145,375.7753597891342,6,Gray,Admirals Coat,None,Blindfold,Black,Fez,Bored Kazoo
7303,146,375.71038197056123,6,Orange,Navy Striped Tee,None,Closed,Dark Brown,Ww2 Pilot Helm,Bored Unshaven Party horn
651,147,374.67668837205423,6,New Punk Blue,Black Suit,None,Sleepy,Dark Brown,Safari,Tongue Out
1405,148,374.63292768552236,7,Army Green,Bayc T Black,Silver Hoop,Crazy,White,Short Mohawk,Bored Unshaven Party horn
146,149,374.3572924911,6,Gray,Sleeveless Logo T,None,Laser Eyes,Zombie,Faux Hawk,Phoneme L
6677,150,373.8605223883061,7,Yellow,Black Suit,Diamond Stud,Bored,Golden Brown,Vietnam Era Helmet,Bored Cigarette
7754,151,373.79685248245084,7,Purple,Kings Robe,Cross,Hypnotized,Gray,Short Mohawk,Tongue Out
6473,152,373.2280609205739,6,Purple,Smoking Jacket,None,Wide Eyed,Solid Gold,Police Motorcycle Helmet,Bored
185,153,372.99552719351533,6,Orange,Cowboy Shirt,None,Blue Beams,Zombie,Fez,Bored Cigarette
132,154,372.77138696895827,7,Army Green,Black Holes T,Silver Stud,Wide Eyed,Red,Girl's Hair Pink,Bored Unshaven Kazoo
7724,155,372.2673201280375,5,Purple,None,None,Cyborg,Blue,Prussian Helmet,Bored Unshaven Kazoo
3275,156,372.2310932318188,7,Orange,Pimp Coat,Silver Stud,X Eyes,Trippy,Irish Boho,Bored Unshaven
8989,157,371.8656499350769,6,New Punk Blue,Bayc T Red,None,Closed,Pink,Bunny Ears,Bored Dagger
3917,158,371.82981882026957,6,Aquamarine,Black Suit,None,Bloodshot,Golden Brown,Party Hat 2,Bored
8185,159,371.78943335444046,7,Yellow,Guayabera,Diamond Stud,Zombie,Brown,Prussian Helmet,Bored Unshaven Bubblegum
9777,160,371.56211051361026,5,Purple,Biker Vest,None,Laser Eyes,Cream,None,Bored Unshaven Bubblegum
4946,161,371.21702020221227,7,Orange,Lab Coat,Silver Stud,Sad,Blue,Laurel Wreath,Bored Unshaven Pipe
1246,162,370.7278625324344,6,Gray,Smoking Jacket,None,Wide Eyed,Brown,Bayc Hat Red,Bored Dagger
6279,163,370.57617668182723,6,Blue,Tie Dye,None,Angry,Brown,Spinner Hat,Bored Dagger
9583,164,369.9999872347032,7,Army Green,Prom Dress,Gold Hoop,Hypnotized,Tan,Laurel Wreath,Rage
4766,165,369.7188232140653,6,Army Green,Hawaiian,None,Sunglasses,Red,Faux Hawk,Bored Pizza
2986,166,368.81199324977877,7,Aquamarine,Kings Robe,Cross,Bored,Robot,Party Hat 2,Bored
5802,167,368.7259219735564,7,Yellow,Kings Robe,Gold Stud,Bored,Brown,Irish Boho,Grin Diamond Grill
7863,168,367.8759021380764,6,Yellow,Pimp Coat,Silver Stud,Blue Beams,Black,None,Bored
2319,169,367.70992382538543,6,Purple,Space Suit,None,Hypnotized,Pink,S&m Hat,Bored Unshaven Bubblegum
4400,170,367.7062335132757,6,Aquamarine,Tanktop,None,Heart,Solid Gold,Fisherman's Hat,Phoneme Oh
7616,171,367.5062126392248,7,New Punk Blue,Black T,Cross,Angry,Trippy,Cowboy Hat,Bored Pipe
1657,172,367.4668767615933,6,Blue,Stunt Jacket,None,Laser Eyes,Cream,Spinner Hat,Bored Bubblegum
5456,173,367.23814921923895,7,Orange,Cowboy Shirt,Silver Hoop,Bloodshot,Cheetah,Bandana Blue,Grin Gold Grill
8211,174,367.22222446931374,7,Gray,Kings Robe,Silver Hoop,Closed,Golden Brown,Commie Hat,Bored Kazoo
4907,175,366.88072425269365,7,Orange,Hawaiian,Silver Stud,Blindfold,Blue,Bayc Hat Black,Bored Dagger
8891,176,366.7855785490068,6,Yellow,Lab Coat,None,Sad,Pink,Irish Boho,Bored Dagger
2106,177,366.5936829865715,6,Army Green,Black Suit,None,Sleepy,Dark Brown,Safari,Phoneme L
6925,178,366.5178460886611,7,Army Green,Smoking Jacket,Gold Hoop,Closed,Golden Brown,Spinner Hat,Bored Dagger
1663,179,365.9559658737143,5,Purple,Tie Dye,None,Laser Eyes,Blue,None,Bored Party Horn
7478,180,365.33165122981524,7,Aquamarine,Black Suit,Gold Hoop,Sunglasses,Cheetah,Commie Hat,Bored Unshaven
6146,181,365.2579256336086,7,Yellow,Smoking Jacket,Gold Stud,Bloodshot,Red,Fisherman's Hat,Bored Unshaven Party horn
6571,182,365.0052646909254,7,Orange,Black Suit,Silver Hoop,Bored,Black,Bayc Hat Red,Bored
6249,183,364.55742635159726,7,Orange,Striped Tee,Silver Hoop,Coins,Golden Brown,Trippy Captain's Hat,Grin Diamond Grill
3666,184,364.2905477881241,6,New Punk Blue,Black Suit,None,Blindfold,Golden Brown,Army Hat,Phoneme Vuh
8023,185,364.2301587621876,6,Aquamarine,Black Holes T,None,Closed,Trippy,Trippy Captain's Hat,Bored Unshaven
8461,186,364.1254751151003,6,New Punk Blue,Tweed Suit,Diamond Stud,Coins,Golden Brown,None,Bored Pizza
5904,187,363.89841920133705,5,New Punk Blue,None,Silver Stud,Laser Eyes,Red,None,Bored Unshaven Kazoo
9135,188,363.7899493495408,7,Army Green,Toga,Gold Hoop,3d,Dmt,Bayc Hat Red,Grin Diamond Grill
7076,189,363.77180671433507,6,Purple,Blue Dress,Silver Hoop,Blue Beams,Cheetah,None,Bored
3178,190,363.6701271737449,6,Purple,Lab Coat,None,Sunglasses,Dark Brown,Bayc Flipped Brim,Bored Dagger
2117,191,363.55012834637455,6,Yellow,Bayc T Red,None,3d,Death Bot,Party Hat 2,Grin Gold Grill
4281,192,363.41891182765085,5,Aquamarine,Hawaiian,None,Blue Beams,Brown,None,Bored Unshaven Pipe
1048,193,363.057939890694,6,Purple,Sailor Shirt,None,Angry,Black,Baby's Bonnet,Bored Unshaven Party horn
5647,194,362.7667395543854,6,New Punk Blue,Black Suit,None,Blindfold,Cream,Spinner Hat,Bored
6349,195,362.6302314207818,6,Army Green,Work Vest,None,Hypnotized,Pink,Fisherman's Hat,Bored Dagger
4899,196,362.45291781913147,7,Aquamarine,Hawaiian,Diamond Stud,Robot,Dark Brown,Commie Hat,Bored Pizza
6944,197,362.29214834374596,7,Blue,Cowboy Shirt,Diamond Stud,Bored,Red,Fisherman's Hat,Bored Unshaven Kazoo
8915,198,362.19849626197583,6,Purple,Prom Dress,None,Heart,Brown,Beanie,Bored Dagger
3259,199,361.7855983406022,5,New Punk Blue,None,None,Sad,Dark Brown,Girl's Hair Pink,Bored Unshaven Party horn
3017,200,360.3991471464502,6,Blue,Tweed Suit,None,Sleepy,Cream,Girl's Hair Pink,Bored Unshaven Bubblegum
7948,201,360.3045083057279,7,Orange,Black Holes T,Silver Hoop,Bloodshot,Robot,Faux Hawk,Bored Unshaven Kazoo
8664,202,359.70109932347566,6,Army Green,Lab Coat,None,Bored,Solid Gold,Bunny Ears,Bored
1324,203,359.69092204164303,7,Army Green,Puffy Vest,Silver Hoop,Sleepy,Golden Brown,S&m Hat,Bored Unshaven Party horn
6128,204,359.6666214083561,6,New Punk Blue,Toga,Gold Stud,Blindfold,Golden Brown,None,Bored Unshaven Party horn
4959,205,358.74056767915977,5,Yellow,None,None,Sad,Solid Gold,Fisherman's Hat,Bored Pipe
5031,206,358.6570764346619,7,Purple,Sleeveless Logo T,Cross,3d,Black,Fez,Bored Unshaven Bubblegum
5178,207,358.60829211887085,7,Purple,Work Vest,Silver Stud,Angry,Black,Vietnam Era Helmet,Bored Dagger
6023,208,358.49485608336187,7,Yellow,Space Suit,Silver Stud,Wide Eyed,Red,Vietnam Era Helmet,Bored Unshaven Bubblegum
6462,209,357.9570022999818,6,Orange,Bone Necklace,None,Sleepy,Brown,Police Motorcycle Helmet,Bored Pizza
7392,210,357.29339023257285,6,Gray,Admirals Coat,None,Scumbag,Black,Cowboy Hat,Grin Gold Grill
5232,211,357.21162473612264,6,Purple,None,Silver Hoop,Laser Eyes,Black,Girl's Hair Pink,Bored Cigar
8382,212,357.1850191659098,6,Orange,Bayc T Red,None,Wide Eyed,Brown,Girl's Hair Pink,Bored Unshaven Bubblegum
3149,213,356.82172038286154,6,Army Green,Striped Tee,Gold Stud,Blue Beams,Brown,None,Bored Bubblegum
8448,214,356.606158200323,5,Orange,None,None,Laser Eyes,Trippy,Fez,Small Grin
9989,215,356.52303694355794,6,New Punk Blue,Vietnam Jacket,None,Bored,Red,Faux Hawk,Bored Pizza
6528,216,355.83514581059376,7,Army Green,Cowboy Shirt,Silver Hoop,Bloodshot,Dark Brown,Seaman's Hat,Bored Dagger
3943,217,355.61452109002494,6,Yellow,Black Suit,None,Bored,Golden Brown,Party Hat 1,Bored
8929,218,355.5793766152949,6,Gray,Lab Coat,None,Coins,Black,Laurel Wreath,Bored Unshaven Cigar
5398,219,355.43125333005094,6,Blue,Hip Hop,None,Sleepy,Pink,Fisherman's Hat,Bored Dagger
1230,220,355.4023160654239,6,Gray,Guayabera,Silver Stud,Blindfold,White,None,Bored Unshaven Party horn
5233,221,355.2497602719506,6,Gray,Vietnam Jacket,Gold Stud,Closed,Solid Gold,None,Phoneme L
5953,222,355.21766252234283,6,Blue,Black Holes T,Gold Stud,Blindfold,Solid Gold,None,Grin
2757,223,355.08880928642657,6,Blue,Hip Hop,None,Heart,Golden Brown,Faux Hawk,Bored Unshaven Bubblegum
546,224,355.00448970222385,7,Aquamarine,Cowboy Shirt,Silver Hoop,Laser Eyes,White,Sushi Chef Headband,Bored Unshaven Cigarette
9213,225,354.8705207959615,6,Orange,Tanktop,None,Closed,Blue,Girl's Hair Short,Bored Pizza
9861,226,354.8675018577726,6,Aquamarine,Tweed Suit,None,Blue Beams,Robot,Fez,Bored
7398,227,354.6595614515628,7,Blue,Sleeveless T,Silver Hoop,Angry,Solid Gold,Bayc Flipped Brim,Bored Unshaven
5982,228,354.6254395243749,7,New Punk Blue,Blue Dress,Gold Hoop,Blindfold,Tan,Bandana Blue,Discomfort
6389,229,354.4178200984875,6,Army Green,Sleeveless Logo T,None,Bloodshot,Black,Short Mohawk,Bored Unshaven Party horn
1102,230,353.4959317152648,6,Army Green,Rainbow Suspenders,None,Bored,Dark Brown,Ww2 Pilot Helm,Bored Unshaven Kazoo
2089,231,353.2127853930263,6,Purple,Puffy Vest,None,Hypnotized,Solid Gold,Halo,Bored
2839,232,352.53441471143134,6,Orange,Work Vest,None,Bloodshot,Tan,Bowler,Bored Unshaven Party horn
8158,233,352.24999061074686,6,New Punk Blue,Black Suit,None,Bloodshot,Dark Brown,Army Hat,Tongue Out
