ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Cloth,Eyes,Head,Mouth
2184,TezLynx #2184,23,402.29855396106876,6,RoyalPurple,Green_Green_Eye,BikerJacket,LaserGreen,Candle,Pizza
2858,TezLynx #2858,24,399.1664366443018,6,Tangerine,Brown_Green_Eye,RoyalRobe,SkiGogglesRed,King,SmokingPipe
3045,TezLynx #3045,25,394.2962765441077,6,Bittersweet,Blue_Green_Eye,Samurai,HalfframeOrange,King,SmokingPipe
2406,TezLynx #2406,26,376.23063024247296,6,MadderLake,Brown_Green_Eye,DragonRobeBlue,SkiGogglesPurple,GreenBeanie,Fish
39,TezLynx #39,27,376.04443281531786,6,OliveGreen,ZombieLynx,ThunderLord,3DGlass,WarBonnet,ZombieMouth
2676,TezLynx #2676,28,374.12861886554896,6,OliveGreen,CosmicLynx,DragonRobeBlue,HalfframePurple,PoliceCap,Cigar
95,TezLynx #95,29,373.98435042737134,6,BlackCurrant,Brown_Red_Eye,RoyalRobe,ReadingGlassBlue,PilotHelmet,Cigar
2843,TezLynx #2843,30,371.51554297649056,6,Maize,Brown_Green_Eye,General,HeartGlass,PrinceCrown,WoodenPipe
2218,TezLynx #2218,31,365.2613232489998,6,QuickSilver,LavaLynx,DragonRobeRed,HeartGlass,ElfHat,Smile
427,TezLynx #427,32,365.13867934755,6,ElectricViolet,CyborgBlue,DragonRobeRed,StarFrame,SeaCapt,Pizza
1927,TezLynx #1927,33,364.41110296603443,6,Tangerine,Brown_Green_Eye,DragonRobeBlue,HalfframeGreen,CustodianHelmet,Cuban
289,TezLynx #289,34,361.168194094958,6,Bittersweet,CosmicLynx,MrJ,LaserGreen,UncleSam,Cigar
381,TezLynx #381,35,360.09826349187824,6,Bittersweet,LavaLynx,DragonRobeRed,PinkShades,RedPunk,Angry
2619,TezLynx #2619,36,356.91187278988525,6,OliveGreen,Brown_Blue_Eye,DragonRobeRed,SkiGogglesRed,BlueBeanie,Bubblegum
577,TezLynx #577,37,355.4211786511814,6,OliveGreen,Brown_Green_Eye,DragonRobeBlue,ReadingGlassBlue,GreenMohawk,Pizza
2623,TezLynx #2623,38,354.48658919467357,6,OliveGreen,Brown_Green_Eye,General,RedLaser,GreenPunk,Snarling
244,TezLynx #244,39,353.9499151316031,6,Inchworm,Green_Blue_Eye,Astrounaut,PixelGlass,RedMohawk,Playful
238,TezLynx #238,40,351.8579918219921,6,SeaGreen,Brown_Green_Eye,DragonRobeBlue,Sunglass,PurplePunk,Smile
221,TezLynx #221,41,351.00975199362534,6,SeaGreen,Blue_Green_Eye,DragonRobeRed,StarFrame,SeaCapt,Bubblegum
467,TezLynx #467,42,345.1519209829988,6,OliveGreen,Blue_Red_Eye,PoloBlack,LaserBlue,PoliceCap,Rose
410,TezLynx #410,43,341.86806230119765,6,BlueSky,Green_Blue_Eye,PoloBlack,LaserBlue,Bycocket,Cuban
148,TezLynx #148,44,339.3130982180601,5,Inchworm,LavaLynx,DragonRobeBlue,ReadingGlassGrey,,Cuban
3120,TezLynx #3120,45,338.85910400385586,6,BoyBlue,Brown_Green_Eye,Samurai,SkiGogglesRed,UncleSam,Fish
1891,TezLynx #1891,46,338.4863653768145,6,BoyBlue,Blue_Green_Eye,Tux,LaserBlue,UncleSam,Playful
519,TezLynx #519,47,336.62465041833434,6,Maize,Green_Green_Eye,PoliceVest,HeartGlass,PrinceCrown,Smile
2913,TezLynx #2913,48,336.1398936871944,6,ElectricViolet,Green_Green_Eye,PoloGreen,LaserBlue,GreenMohawk,Joint
495,TezLynx #495,49,335.6862525121625,6,TerraGold,Green_Green_Eye,Suit,RedLaser,Rasta,Cuban
3023,TezLynx #3023,50,332.9623625292299,6,VioletBlue,Green_Green_Eye,SuperLynx,3DGlass,GreenMohawk,Bubblegum
582,TezLynx #582,51,332.1655981162475,6,ElectricViolet,Blue_Green_Eye,Jersey,StarFrame,PrinceCrown,Angry
2050,TezLynx #2050,52,330.76079829675007,5,CarnationPink,Brown_Blue_Eye,DragonRobeRed,SkiGogglesRed,,Pizza
2071,TezLynx #2071,53,325.9135482808144,6,QuickSilver,CyborgGreen,PoloBlue,LaserBlue,GreenBeanie,Smile
94,TezLynx #94,54,324.52010203235346,6,TerraGold,Brown_Green_Eye,TeeCoverallWhite,SkiGogglesRed,PrinceCrown,Rose
2495,TezLynx #2495,55,323.8114073999048,6,BlueSky,Green_Green_Eye,SuperLynx,PinkShades,UncleSam,WoodenPipe
3102,TezLynx #3102,56,322.2837332958267,6,BlueSaphire,ZombieLynx,Astrounaut,HalfframeGreen,GreenMohawk,ZombieMouth
2275,TezLynx #2275,57,320.477607416422,6,Tangerine,Green_Red_Eye,PoliceVest,AviatorGrey,Halo,Cigar
2647,TezLynx #2647,58,320.0943982881467,6,QuickSilver,Blue_Red_Eye,BikerJacket,LaserGreen,TopHat,Snarling
2335,TezLynx #2335,59,317.4803901197879,6,MadderLake,Green_Red_Eye,HoodieBlue,LaserBlue,Pirate,Playful
2483,TezLynx #2483,60,317.04588964643403,6,MadderLake,CosmicLynx,RoyalRobe,HalfframeOrange,PurpleBeanie,Joint
3013,TezLynx #3013,61,316.98861846902446,6,CarnationPink,CyborgBlue,PoloGreen,PixelGlass,Pharaoh,Cigar
276,TezLynx #276,62,316.3648731972197,6,VioletBlue,Brown_Red_Eye,General,HeartGlass,King,Snarling
282,TezLynx #282,63,316.30490675291554,6,BlueSky,ZombieLynx,SuperLynx,RoundGlass,GreenBeanie,ZombieMouth
3044,TezLynx #3044,64,315.6506329344394,6,TerraGold,LavaLynx,SuperLynx,Sunglass,ElfHat,Smile
2136,TezLynx #2136,65,314.9179014453329,6,Tangerine,Green_Blue_Eye,TankTopYellow,ReadingGlassBlue,PrinceCrown,Joint
2425,TezLynx #2425,66,313.4145859645916,6,Tangerine,Green_Green_Eye,PoliceVest,LaserGreen,Sombrero,Cigar
2832,TezLynx #2832,67,312.9280097046591,6,BlueSky,Blue_Green_Eye,Army,ReadingGlassGrey,Halo,Angry
3165,TezLynx #3165,68,312.6041988275547,6,SeaGreen,Green_Blue_Eye,Jersey,ReadingGlassBlue,Halo,SmokingPipe
490,TezLynx #490,69,312.47618018146375,6,SeaGreen,Green_Blue_Eye,SuperLynx,HeartGlass,Tricorne,WoodenPipe
588,TezLynx #588,70,311.02911793602703,6,Jet,Green_Blue_Eye,Astrounaut,AviatorGrey,Tricorne,Cigar
2643,TezLynx #2643,71,310.67054003170034,6,OliveGreen,Green_Green_Eye,TeeGrey,RedLaser,BrownBeanie,Rose
2138,TezLynx #2138,72,310.64486517437155,6,TerraGold,Brown_Blue_Eye,General,SkiGogglesGreen,King,Cigar
264,TezLynx #264,73,310.32554621602117,6,QuickSilver,Blue_Red_Eye,SlevelessTeeRed,LaserBlue,GreenBeanie,Playful
3309,TezLynx #3309,74,309.1962530695917,6,ElectricViolet,Blue_Green_Eye,General,3DGlass,Candle,Snarling
71,TezLynx #71,75,308.3820981051869,6,MadderLake,Green_Green_Eye,TankTopYellow,LaserBlue,Pirate,Cuban
2296,TezLynx #2296,76,307.08988480792976,6,CarnationPink,Brown_Red_Eye,SuperLynx,RoundGlass,Fez,WoodenPipe
2117,TezLynx #2117,77,306.77410629030163,6,OliveGreen,Green_Green_Eye,SuperLynx,HeartGlass,CustodianHelmet,Angry
145,TezLynx #145,78,306.6661552784368,6,Tangerine,Blue_Green_Eye,SuperLynx,ReadingGlassGrey,BrownBeanie,Pizza
2432,TezLynx #2432,79,306.5420596061579,6,BoyBlue,LavaLynx,Tux,AviatorGrey,PrinceCrown,Cigar
2348,TezLynx #2348,80,306.18085718391063,6,BoyBlue,Brown_Green_Eye,Astrounaut,HeartGlass,Ushanka,Pizza
69,TezLynx #69,81,305.98568728680607,6,SunGlow,Green_Blue_Eye,SuperLynx,Sunglass,Ushanka,SmokingPipe
499,TezLynx #499,82,304.18771678070505,6,CarnationPink,Brown_Green_Eye,Samurai,SkiGogglesGreen,SeaCapt,Rose
2936,TezLynx #2936,83,304.1201251263668,6,CarnationPink,Green_Blue_Eye,Astrounaut,ReadingGlassBlue,CowboyHat,WoodenPipe
2734,TezLynx #2734,84,302.6956782619646,6,BlueSky,Brown_Blue_Eye,LabCoat,HeartGlass,PrinceCrown,Cigar
3037,TezLynx #3037,85,302.5112351784559,6,VioletBlue,Blue_Blue_Eye,TeeCoverallYellow,RedLaser,GreenBeanie,Rose
2310,TezLynx #2310,86,300.854354951552,6,SunGlow,Green_Red_Eye,SlevelessTeePurple,RoundGlass,Halo,Joint
2674,TezLynx #2674,87,300.1375283022566,6,Jet,Brown_Green_Eye,Astrounaut,AviatorGrey,PurplePunk,Cuban
510,TezLynx #510,88,299.7343365552811,6,SunGlow,CosmicLynx,General,SkiGogglesPurple,Candle,WoodenPipe
354,TezLynx #354,89,299.28992718547914,6,Maize,CyborgGreen,Samurai,AviatorGrey,CustodianHelmet,Smile
1987,TezLynx #1987,90,298.8348932970587,5,Maize,Green_Red_Eye,MrJ,RedLaser,,Playful
375,TezLynx #375,91,298.62879548661255,6,CrimsonRed,Green_Blue_Eye,Astrounaut,AviatorGrey,RedMohawk,Angry
3121,TezLynx #3121,92,298.24826324016243,6,CrimsonRed,Brown_Blue_Eye,Astrounaut,HalfframePurple,AsianHat,Snarling
2592,TezLynx #2592,93,297.7349759436045,6,Tangerine,CosmicLynx,Samurai,HalfframeOrange,GreenMohawk,Playful
2363,TezLynx #2363,94,297.25387485271284,6,Inchworm,Brown_Red_Eye,Samurai,AviatorPurple,Sombrero,Joint
2699,TezLynx #2699,95,296.43537916646716,6,TerraGold,Green_Green_Eye,Astrounaut,RoundGlass,RedMohawk,Cuban
2005,TezLynx #2005,96,294.6284790034841,6,ElectricViolet,Blue_Green_Eye,TeeCoverallYellow,AviatorGrey,PrinceCrown,SmokingPipe
2614,TezLynx #2614,97,294.4155094844547,6,ElectricViolet,Brown_Red_Eye,SlevelessTeeGreen,AviatorGrey,PrinceCrown,Smile
3151,TezLynx #3151,98,294.31830068947545,6,SeaGreen,CyborgGreen,Samurai,PinkShades,PurpleBeanie,Smile
2720,TezLynx #2720,99,293.88490973720985,6,QuickSilver,Brown_Red_Eye,SuperLynx,PinkShades,Chef,SmokingPipe
3154,TezLynx #3154,100,293.62633105326904,6,Jet,CyborgBlue,General,ReadingGlassGrey,Candle,Smile
2605,TezLynx #2605,101,291.99876892496803,5,QuickSilver,Blue_Red_Eye,HoodieBlue,LaserBlue,,Cigar
2983,TezLynx #2983,102,291.60269832988416,6,QuickSilver,CyborgGreen,TankTopOrange,HalfframeOrange,Halo,WoodenPipe
3255,TezLynx #3255,103,291.1070545997488,6,CarnationPink,Blue_Red_Eye,Sailor,HalfframeGreen,Halo,Cigar
2919,TezLynx #2919,104,289.916242162925,6,ElectricViolet,Brown_Red_Eye,TankTopYellow,HalfframeOrange,PrinceCrown,Cuban
291,TezLynx #291,105,287.2362934272905,6,QuickSilver,CosmicLynx,General,SkiGogglesRed,PirateCapt,Cigar
2144,TezLynx #2144,106,287.22890066421337,6,BlueSky,Brown_Green_Eye,PoloGreen,RoundGlass,MianGuan,Smile
503,TezLynx #503,107,286.2332797908645,6,OliveGreen,Green_Red_Eye,Samurai,SkiGogglesPurple,BlueBeanie,Bubblegum
2414,TezLynx #2414,108,285.91201385921664,5,Jet,CyborgGreen,Admiral,,Pharaoh,Cigar
2359,TezLynx #2359,109,285.1708590934418,6,SunGlow,Blue_Blue_Eye,VestGreen,SkiGogglesPurple,MianGuan,WoodenPipe
2808,TezLynx #2808,110,284.80383559681553,5,RoyalPurple,Brown_Blue_Eye,Army,LaserGreen,,Cigar
331,TezLynx #331,111,284.49361013795703,6,BoyBlue,Green_Green_Eye,TeeGrey,LaserGreen,RedPunk,Playful
2564,TezLynx #2564,112,284.47659939090613,6,Maize,Blue_Green_Eye,Samurai,AviatorPurple,BlueBeanie,Cigar
2493,TezLynx #2493,113,284.4652142990549,6,QuickSilver,Brown_Green_Eye,RoyalRobe,PinkShades,Ushanka,Pizza
1899,TezLynx #1899,114,284.4012847693501,6,MadderLake,Blue_Blue_Eye,RoyalRobe,PinkShades,PoliceCap,Bubblegum
22,TezLynx #22,115,283.6793536976245,6,BlueSaphire,Blue_Blue_Eye,HoodieBlue,LaserGreen,GreenMohawk,Angry
107,TezLynx #107,116,282.72762203245594,6,RoyalPurple,Green_Blue_Eye,Samurai,SkiGogglesRed,StrippedBeanie,Pizza
119,TezLynx #119,117,282.28169482425994,6,VioletBlue,Brown_Blue_Eye,SlevelessTeePurple,Sunglass,Halo,Cigar
397,TezLynx #397,118,281.71932543461594,6,SeaGreen,Brown_Green_Eye,TankTopOrange,Sunglass,MianGuan,Playful
200,TezLynx #200,119,281.66939829332205,6,BlackCurrant,Brown_Green_Eye,PoloBlack,PinkShades,MianGuan,WoodenPipe
3026,TezLynx #3026,120,281.5700056301373,6,SeaGreen,Blue_Blue_Eye,LabCoat,RoundGlass,MianGuan,Playful
2567,TezLynx #2567,121,281.50147848391885,6,Jet,Brown_Green_Eye,RoyalRobe,SkiGogglesGreen,Ushanka,Playful
45,TezLynx #45,122,281.34252436794014,6,Tangerine,Blue_Blue_Eye,HoodieRed,RedLaser,CowboyHat,Snarling
92,TezLynx #92,123,280.969601097028,6,Jet,Blue_Red_Eye,SlevelessTeeRed,HalfframePurple,Halo,Cuban
160,TezLynx #160,124,280.3911197755312,6,TerraGold,Blue_Blue_Eye,RoyalRobe,HalfframeOrange,SeaCapt,Cuban
3032,TezLynx #3032,125,280.37317856424085,6,VioletBlue,Blue_Blue_Eye,Samurai,SkiGogglesGreen,GreenBeanie,WoodenPipe
514,TezLynx #514,126,280.0431439641293,6,Tangerine,Blue_Blue_Eye,RoyalRobe,SkiGogglesRed,RedMohawk,WoodenPipe
3058,TezLynx #3058,127,279.82525175378044,6,TerraGold,Brown_Red_Eye,TeeCoverallYellow,AviatorPurple,MianGuan,Playful
3127,TezLynx #3127,128,279.7084179381923,5,BlackCurrant,Brown_Blue_Eye,RoyalRobe,HalfframeGreen,,Joint
85,TezLynx #85,129,278.98260215490285,6,BoyBlue,Green_Red_Eye,SlevelessTeeRed,SkiGogglesGreen,MianGuan,SmokingPipe
2053,TezLynx #2053,130,278.89880319655146,6,OliveGreen,Blue_Green_Eye,TeeGrey,RedLaser,Sombrero,WoodenPipe
2438,TezLynx #2438,131,278.8966824078686,6,OliveGreen,Green_Red_Eye,SlevelessTeeGreen,SkiGogglesRed,MianGuan,Pizza
2358,TezLynx #2358,132,278.77666282590684,6,SeaGreen,Green_Green_Eye,RoyalRobe,HalfframeGreen,GreenMohawk,Cigar
417,TezLynx #417,133,278.51209967410784,6,CrimsonRed,Green_Green_Eye,TankTopYellow,LaserGreen,Fez,Cigar
1928,TezLynx #1928,134,278.32708685364514,6,TerraGold,Blue_Blue_Eye,HoodieGreen,SkiGogglesRed,Halo,Bubblegum
1904,TezLynx #1904,135,278.05753479640833,6,RoyalPurple,Brown_Green_Eye,PrisonSuit,AviatorGrey,MianGuan,WoodenPipe
3256,TezLynx #3256,136,277.95457303187357,6,RoyalPurple,Brown_Blue_Eye,PoloRed,LaserGreen,SeaCapt,Cuban
549,TezLynx #549,137,277.3790197021757,6,CrimsonRed,Green_Blue_Eye,Naked,RedLaser,AsianHat,Cigar
2575,TezLynx #2575,138,276.838617651018,6,Jet,Brown_Red_Eye,Tux,AviatorPurple,Halo,SmokingPipe
126,TezLynx #126,139,276.5477707575461,6,Maize,Brown_Blue_Eye,RoyalRobe,SkiGogglesGreen,PilotCap,Smile
2273,TezLynx #2273,140,276.39370526934056,6,Maize,Brown_Green_Eye,VestBrown,ReadingGlassBlue,Halo,Playful
2215,TezLynx #2215,141,276.2992069908374,6,TerraGold,Blue_Green_Eye,HoodieGreen,RedLaser,BlueMohawk,Playful
3244,TezLynx #3244,142,275.77178723750814,6,OliveGreen,Green_Green_Eye,TankTopYellow,LaserGreen,Fez,Cigar
3177,TezLynx #3177,143,274.66783904123685,6,Inchworm,Green_Red_Eye,PrisonSuit,3DGlass,WarBonnet,Joint
2267,TezLynx #2267,144,274.168137201481,6,ElectricViolet,Blue_Green_Eye,PrisonSuit,RedLaser,AsianHat,Cuban
2207,TezLynx #2207,145,272.6748657629187,6,SeaGreen,Green_Red_Eye,VestBrown,3DGlass,WarBonnet,Joint
269,TezLynx #269,146,272.5939232679667,6,QuickSilver,Blue_Red_Eye,Jersey,SkiGogglesPurple,King,WoodenPipe
2660,TezLynx #2660,147,272.0434444732453,6,Jet,Green_Blue_Eye,HoodieGreen,SkiGogglesGreen,MianGuan,Bubblegum
2251,TezLynx #2251,148,271.2640019008137,6,CarnationPink,ZombieLynx,Monk,HalfframeOrange,Pharaoh,ZombieMouth
1861,TezLynx #1861,149,270.0158211649604,6,BlackCurrant,Green_Green_Eye,TankTopYellow,RedLaser,GreenMohawk,SmokingPipe
2280,TezLynx #2280,150,268.33075362756495,6,BlueSky,LavaLynx,SlevelessTeeGreen,SkiGogglesPurple,Samurai,Joint
1977,TezLynx #1977,151,265.5400791507865,5,ElectricViolet,Blue_Green_Eye,MrJ,,WarBonnet,Cigar
2923,TezLynx #2923,152,263.1416948684022,5,MadderLake,Blue_Green_Eye,Jersey,,King,Playful
2468,TezLynx #2468,153,261.9766621751935,6,TerraGold,CosmicLynx,Army,HalfframePurple,PilotHelmet,Cigar
2803,TezLynx #2803,154,260.77774066140677,6,TerraGold,CosmicLynx,Army,PixelGlass,BlueMohawk,Fish
2561,TezLynx #2561,155,257.6839757501575,6,Jet,Green_Green_Eye,TeeCoverallYellow,PixelGlass,Candle,Playful
473,TezLynx #473,156,257.5440352543613,6,RoyalPurple,ZombieLynx,PoloRed,SkiGogglesGreen,Pharaoh,ZombieMouth
2816,TezLynx #2816,157,255.5723805322512,6,BoyBlue,LavaLynx,TeeGrey,ReadingGlassBlue,Pharaoh,WoodenPipe
597,TezLynx #597,158,255.3802110827457,6,BlueSaphire,LavaLynx,HoodieRed,ReadingGlassBlue,Pharaoh,Cuban
2252,TezLynx #2252,159,254.95397732078442,6,Jet,Green_Red_Eye,Admiral,SkiGogglesPurple,PilotHelmet,Snarling
44,TezLynx #44,160,253.4704477812054,6,BoyBlue,CyborgBlue,TeeCoverallWhite,Sunglass,Pharaoh,SmokingPipe
3195,TezLynx #3195,161,249.7035137195763,6,MadderLake,LavaLynx,RastaTop,SkiGogglesRed,Candle,Cuban
2911,TezLynx #2911,162,249.4412881378826,6,ElectricViolet,Blue_Green_Eye,Admiral,RoundGlass,Candle,Snarling
140,TezLynx #140,163,248.92299600733827,6,BoyBlue,CyborgGreen,TankTopYellow,ReadingGlassBlue,Samurai,Playful
1897,TezLynx #1897,164,247.58503065417153,6,OliveGreen,ZombieLynx,HoodieBlue,PinkShades,WarBonnet,ZombieMouth
3076,TezLynx #3076,165,246.73870093374427,6,BlueSky,Brown_Blue_Eye,PoloBlue,SkiGogglesRed,King,Pizza
426,TezLynx #426,166,246.33015668288317,6,QuickSilver,Blue_Blue_Eye,Monk,AviatorGrey,WarBonnet,Angry
2520,TezLynx #2520,167,246.24895916106388,6,MadderLake,CyborgGreen,Naked,AviatorGrey,King,SmokingPipe
2807,TezLynx #2807,168,245.86917893001382,6,Bittersweet,ZombieLynx,ThunderLord,RoundGlass,CustodianHelmet,ZombieMouth
2731,TezLynx #2731,169,245.1091142921708,6,SunGlow,Green_Green_Eye,ThunderLord,PinkShades,BlueBeanie,Joint
2661,TezLynx #2661,170,244.87511435494744,6,TerraGold,Blue_Green_Eye,TankTopOrange,AviatorPurple,King,WoodenPipe
2222,TezLynx #2222,171,244.37844458671398,6,Bittersweet,Brown_Red_Eye,TankTopOrange,HeartGlass,PilotHelmet,Fish
2620,TezLynx #2620,172,244.17430877152947,6,VioletBlue,Blue_Blue_Eye,TeeBlue,StarFrame,Pharaoh,Playful
527,TezLynx #527,173,243.854304750001,6,BlueSaphire,Green_Blue_Eye,HoodieBlue,AviatorPurple,Samurai,SmokingPipe
2752,TezLynx #2752,174,243.75720536638818,6,VioletBlue,Blue_Red_Eye,HoodieBlue,AviatorGrey,Samurai,WoodenPipe
1995,TezLynx #1995,175,243.4320640452959,6,QuickSilver,ZombieLynx,ThunderLord,HeartGlass,Ushanka,ZombieMouth
2667,TezLynx #2667,176,242.6525110083073,6,QuickSilver,Green_Blue_Eye,PoloBlack,AviatorPurple,Samurai,Smile
2524,TezLynx #2524,177,242.61897167574264,6,CrimsonRed,Brown_Blue_Eye,LabCoat,HeartGlass,Samurai,SmokingPipe
532,TezLynx #532,178,242.41429373577975,6,BoyBlue,Green_Red_Eye,PoloRed,StarFrame,Samurai,Playful
3222,TezLynx #3222,179,241.20195509427646,6,BlueSky,Green_Blue_Eye,PoliceVest,ReadingGlassBlue,Wizzard,SmokingPipe
1941,TezLynx #1941,180,240.78750599464144,6,BlueSky,CyborgGreen,ThunderLord,HeartGlass,PilotCap,Bubblegum
385,TezLynx #385,181,240.52881953506767,6,SunGlow,Blue_Green_Eye,SlevelessTeeGreen,PinkShades,King,Cuban
3239,TezLynx #3239,182,239.60681531753497,6,Bittersweet,Green_Red_Eye,Suit,StarFrame,PilotHelmet,Fish
2793,TezLynx #2793,183,239.57933412865444,6,QuickSilver,LavaLynx,TankTopOrange,HeartGlass,WarBonnet,SmokingPipe
530,TezLynx #530,184,239.55959365155095,6,Maize,Green_Blue_Eye,SlevelessTeePurple,ReadingGlassGrey,Pharaoh,Bubblegum
2236,TezLynx #2236,185,238.57768934189707,6,BlueSaphire,Green_Green_Eye,TeeBlue,HalfframeOrange,Samurai,Bubblegum
526,TezLynx #526,186,238.23741430275024,6,Jet,Blue_Green_Eye,TeeBlue,PinkShades,Samurai,WoodenPipe
2649,TezLynx #2649,187,238.2091211109196,6,MadderLake,Blue_Blue_Eye,SlevelessTeePurple,RoundGlass,King,Bubblegum
2054,TezLynx #2054,188,236.02811941965518,6,Maize,Brown_Red_Eye,PrisonSuit,ReadingGlassBlue,PilotHelmet,Rose
2086,TezLynx #2086,189,235.5915948873754,6,CarnationPink,Brown_Green_Eye,TeeCoverallWhite,SkiGogglesGreen,Samurai,Pizza
2547,TezLynx #2547,190,235.4128294058837,5,CrimsonRed,Green_Green_Eye,HoodieBlue,,Pharaoh,Bubblegum
3192,TezLynx #3192,191,235.37836266414132,6,CarnationPink,Brown_Blue_Eye,Tux,SkiGogglesGreen,Pharaoh,Playful
2499,TezLynx #2499,192,235.2159959431043,5,Inchworm,Green_Green_Eye,Jersey,,PilotHelmet,Snarling
2584,TezLynx #2584,193,235.18583018601302,6,MadderLake,Brown_Green_Eye,TeeCoverallYellow,HalfframeGreen,King,WoodenPipe
2985,TezLynx #2985,194,235.17583058386487,6,ElectricViolet,Green_Blue_Eye,Suit,ReadingGlassGrey,Samurai,Snarling
2942,TezLynx #2942,195,235.13143153399668,6,CrimsonRed,Green_Green_Eye,TeeCoverallWhite,ReadingGlassGrey,King,Cigar
296,TezLynx #296,196,235.01538385089913,5,RoyalPurple,CyborgBlue,ThunderLord,,ElfHat,Smile
3196,TezLynx #3196,197,234.78736426179182,6,MadderLake,Blue_Red_Eye,TeeCoverallWhite,HalfframeGreen,Pharaoh,Pizza
3030,TezLynx #3030,198,234.53127720981922,6,SeaGreen,Blue_Green_Eye,PoloGreen,ReadingGlassGrey,WarBonnet,Pizza
2230,TezLynx #2230,199,233.416073413032,6,VioletBlue,Brown_Blue_Eye,General,SkiGogglesGreen,PropHat,Fish
62,TezLynx #62,200,233.31564209095393,6,BlueSky,Brown_Red_Eye,TeeGrey,StarFrame,Candle,Joint
2047,TezLynx #2047,201,232.5692589048226,6,BlackCurrant,Brown_Blue_Eye,TeeCoverallWhite,HalfframeOrange,Samurai,Playful
218,TezLynx #218,202,232.41411750751536,6,QuickSilver,LavaLynx,Suit,HeartGlass,PirateCapt,Fish
2193,TezLynx #2193,203,231.63489594468538,6,TerraGold,Brown_Red_Eye,ThunderLord,SkiGogglesRed,PropHat,WoodenPipe
2465,TezLynx #2465,204,231.54931189828764,6,CarnationPink,Green_Green_Eye,VestGreen,SkiGogglesRed,WarBonnet,Angry
123,TezLynx #123,205,231.42047415131748,6,MadderLake,Green_Red_Eye,ThunderLord,HeartGlass,Tricorne,Cigar
3104,TezLynx #3104,206,231.34415495982626,5,OliveGreen,Brown_Blue_Eye,VestGreen,,King,Cigar
2167,TezLynx #2167,207,231.1419326023642,6,SeaGreen,CosmicLynx,SlevelessTeeRed,ReadingGlassBlue,PilotHelmet,WoodenPipe
2153,TezLynx #2153,208,230.8597716629882,6,Maize,Green_Green_Eye,PoloBlue,Sunglass,WarBonnet,Angry
2857,TezLynx #2857,209,230.83485549286573,6,VioletBlue,Green_Blue_Eye,General,SkiGogglesPurple,BrownBeanie,Rose
2011,TezLynx #2011,210,230.77622641968784,6,Bittersweet,Green_Blue_Eye,HoodieRed,HalfframeGreen,WarBonnet,Cigar
