ID,Name,Rank,Rarity_Score,Attributes,Background,Beak Color,Chest,Clothes,Eye,Feathers,Glasses,Hat,Holding In Beak,Holding In Foot,One of One
9228,Parrotz #9228,38,290.373313627066,10,Snow,Black,Bowtie,Picasso Shirt,Sleepy,Cyan Blue,Cyborg,Turban,Lollipop Candy,Map,
9197,Parrotz #9197,39,288.30512608628175,10,Matrix,White,Bamboo Necklace,Leather Biker Jacket,Demonic,White,Bitcoin,Disco Hair,Cigar,Golden Cobra Cane,
8385,Parrotz #8385,40,286.07304290687193,10,Waterfall,Black,Tie,HawaianShirt,Red Glow,Dark Blue,Monocle,Backwards Hat,Knife,Thanos Gauntlet,
6005,Parrotz #6005,41,284.45921465975346,10,Red Lasers,Black,Gemstone Necklace,Leather Biker Jacket,Basic,Dark Blue,Bitcoin,Trapper Hat,Cigar,Axe Hammer,
6560,Parrotz #6560,42,283.85249348477225,10,Rome,Orange,Gemstone Necklace,SleevlessShirt,Confused,Cyan Blue,Cyborg,Party Hat,Lollipop Candy,Golden Cobra Cane,
9299,Parrotz #9299,43,283.4865437585233,10,Seasons,White,Gold Chain,Hoodie,Confused,Purple,Rayban Sunglasses,Backwards Hat,Knife,Dice,
6345,Parrotz #6345,44,283.222533478083,10,Waterfall,Light Green,Pharaoh Necklace,Picasso Shirt,Red Glow,Cyan Blue,Heart Sunglasses,Boater,Joint,Map,
4584,Parrotz #4584,45,282.6329085894823,10,Sun Palm Beach,Red,Bamboo Necklace,Hoodie,Demonic,Green,Bitcoin,Space Helmet,Nose Ring,Thanos Gauntlet,
7425,Parrotz #7425,46,282.3729155581502,10,Energy,White,Pharaoh Necklace,Picasso Shirt,Surprised,Green,Bitcoin,Vizor,Knife,Axe Hammer,
1716,Parrotz #1716,47,281.63580524473673,10,Sequence,Black,Pharaoh Necklace,HawaianShirt,Sleepy,Cyan Blue,Cyborg,Trapper Hat,Nose Ring,Saber,
3339,Parrotz #3339,48,281.52763083789546,10,Checker Tunnel,White,Bowtie,Picasso Shirt,Demonic,Yellow,Cyborg,Halo,Cigar,Magic Lamp,
5556,Parrotz #5556,49,280.52605330501916,10,Pyramid Palm Sun,Orange,Bowtie,Picasso Shirt,Hypnotised,Purple,Bitcoin,Disco Hair,Gold Token,Dice,
8348,Parrotz #8348,50,280.17780177304286,10,Glitch,White,Diamond Necklace,Tuxido,Surprised,Orange,Cyborg,Top Hat,Gold Token,Axe Hammer,
6972,Parrotz #6972,51,280.0647932717142,10,Seasons,White over Black,Diamond Necklace,Picasso Shirt,Hypnotised,Red,Rayban Sunglasses,Crown,Lollipop Candy,Telescope,
3373,Parrotz #3373,52,279.77850820253445,10,Waterfall,Black,Gemstone Necklace,Picasso Shirt,Confused,Cyan Blue,Heart Sunglasses,Panama,Gold Token,Indiana Jones Whip,
3332,Parrotz #3332,53,279.5725571489536,10,Equations,Black,Bowtie,SleevlessShirt,Basic,Purple,Bitcoin,Vizor,Knife,Saber,
2675,Parrotz #2675,54,278.83690237599995,10,Waterfall,White,Bowtie,SleevlessShirt,Angry,Cyan Blue,Monocle,Backwards Hat,Pipe,Dice,
118,Parrotz #118,55,277.9692025839108,10,Sequence,Black,Yoda Necklace,Picasso Shirt,Basic,Green,Cyborg,Panama,Lollipop Candy,Map,
6672,Parrotz #6672,56,277.7180561624327,10,Checker Tunnel,Red,Diamond Necklace,Picasso Shirt,Sleepy,Cyan Blue,Bitcoin,Boat Captain,Cigar,Thanos Gauntlet,
5383,Parrotz #5383,57,277.0998344818613,10,Seasons,White,Titanic Movie Necklace,HawaianShirt,Demonic,Cyan Blue,Deal With It Glasses,Top Hat,Whistle,Telescope,
8884,Parrotz #8884,58,276.8484073839271,10,Disco Lights,Black,Pharaoh Necklace,Hoodie,Demonic,Green,Bitcoin,Boat Captain,Pipe,Indiana Jones Whip,
5973,Parrotz #5973,59,276.59973446433827,10,Sequence,Black,Tie,HawaianShirt,Sleepy,Purple,Bitcoin,Party Hat,Lollipop Candy,Telescope,
211,Parrotz #211,60,276.2287551765975,10,Glitch,Black,Bowtie,Tuxido,Red Glow,Orange,Cyborg,Beret,Whistle,Map,
9310,Parrotz #9310,61,275.62443471481095,10,Snow,White over Black,Titanic Movie Necklace,Tuxido,Surprised,Black,Neon Party Glasses,Mortar Board,Lollipop Candy,Golden Cobra Cane,
9195,Parrotz #9195,62,274.960455448907,10,Glitch,Orange,Diamond Necklace,Picasso Shirt,Demonic,Dark Blue,Cyborg,Beret,Gold Token,Map,
9092,Parrotz #9092,63,274.33217689484457,10,Waterfall,Black,Titanic Movie Necklace,SleevlessShirt,Sleepy,White,Neon Party Glasses,Beret,Cigar,Axe Hammer,
958,Parrotz #958,64,273.88770477209835,10,Wave,Black,Gemstone Necklace,SleevlessShirt,Surprised,White,Bitcoin,Straw Hat,Pizza,Telescope,
3211,Parrotz #3211,65,272.2220375847992,10,Waterfall,Black,Gemstone Necklace,SleevlessShirt,Hypnotised,Dark Blue,Rayban Sunglasses,Crown,Joint,Telescope,
469,Parrotz #469,66,271.93967184980784,10,Waterfall,Black,Tie,SleevlessShirt,Red Glow,Dark Blue,Monocle,Trapper Hat,Lollipop Candy,Golden Cobra Cane,
3460,Parrotz #3460,67,270.9339661580011,10,Waterfall,Black,Diamond Necklace,Military Jacket,Sleepy,Dark Blue,Monocle,Top Hat,Lollipop Candy,Saber,
1387,Parrotz #1387,68,270.30803172629095,10,Wave,Orange,Gemstone Necklace,Hoodie,Confused,Orange,Cyborg,Party Hat,Cigar,Golden Cobra Cane,
372,Parrotz #372,69,270.1339023698009,10,Bills,White,Pharaoh Necklace,Tuxido,Sleepy,Dark Blue,Bitcoin,Disco Hair,Pipe,Cash,
5830,Parrotz #5830,70,270.05645570845775,10,Pyramid Palm Sun,White,Diamond Necklace,Hoodie,Demonic,White,Bitcoin,Crown,Pizza,Map,
5276,Parrotz #5276,71,270.0268158834068,10,Waterfall,Orange,Gold Chain,Picasso Shirt,Surprised,Cyan Blue,Deal With It Glasses,Beret,Nose Ring,Saber,
5008,Parrotz #5008,72,269.5742811519355,10,Boom,White over Black,Diamond Necklace,HawaianShirt,Basic,Dark Blue,Cyborg,Boater,Nose Ring,Saber,
3072,Parrotz #3072,73,268.98002316139076,10,Waterfall,White over Black,Gemstone Necklace,Tuxido,Surprised,Purple,Rayban Sunglasses,Boater,Lollipop Candy,Thanos Gauntlet,
2571,Parrotz #2571,74,268.63384509993784,10,Pyramid Palm Sun,Black,Pharaoh Necklace,Picasso Shirt,Sleepy,Cyan Blue,Bitcoin,Turban,Pizza,Cash,
5082,Parrotz #5082,75,268.25743455735363,10,Glitch,White,Titanic Movie Necklace,HawaianShirt,Hypnotised,White,Bitcoin,Turban,Cigar,Saber,
686,Parrotz #686,76,267.946561555403,10,80s Retro Palm,White,Tie,SleevlessShirt,Demonic,Blue,Cyborg,Mortar Board,Nose Ring,Indiana Jones Whip,
3087,Parrotz #3087,77,267.7210756992066,10,Wave,Light Green,Titanic Movie Necklace,Leather Biker Jacket,Basic,Cyan Blue,Cyborg,Cowboy Hat,Cigar,Saber,
7989,Parrotz #7989,78,267.1924861717068,10,Pyramid Palm Sun,White,Gemstone Necklace,Picasso Shirt,Surprised,Cyan Blue,Bitcoin,Straw Hat,Nose Ring,Telescope,
9641,Parrotz #9641,79,267.0913455480988,10,Seasons,White over Black,Bowtie,HawaianShirt,Surprised,Green,Heart Sunglasses,Newsboy,Pipe,Dice,
4008,Parrotz #4008,80,266.9246754511254,10,Bills,White,Pharaoh Necklace,SleevlessShirt,Sleepy,Yellow,Cyborg,Backwards Hat,Lollipop Candy,Saber,
4581,Parrotz #4581,81,266.8900727644198,10,Palm Road,White,Titanic Movie Necklace,Tuxido,Red Glow,Purple,Cyborg,Trapper Hat,Nose Ring,Thanos Gauntlet,
3464,Parrotz #3464,82,266.6433549755532,10,Waterfall,Orange,Pharaoh Necklace,HawaianShirt,Confused,Yellow,Monocle,Viking Hat,Lollipop Candy,Telescope,
3017,Parrotz #3017,83,266.4796389997854,10,Red Lasers,Red,Bowtie,HawaianShirt,Red Glow,Green,Cyborg,Trapper Hat,Nose Ring,Cash,
6255,Parrotz #6255,84,266.1864530343286,10,Glitch,Black,Bowtie,Picasso Shirt,Sleepy,Green,Bitcoin,Crown,Whistle,Saber,
5685,Parrotz #5685,85,266.0048136653308,10,80s Retro Palm,Black,Yoda Necklace,SleevlessShirt,Sleepy,Cyan Blue,Bitcoin,Party Hat,Pipe,Cash,
6730,Parrotz #6730,86,266.0042629630026,10,Matrix,Black,Bowtie,SleevlessShirt,Surprised,Green,Cyborg,Boat Captain,Nose Ring,Golden Cobra Cane,
3385,Parrotz #3385,87,265.9485941980702,10,Seasons,White over Black,Diamond Necklace,SleevlessShirt,Red Glow,Purple,Deal With It Glasses,Panama,Whistle,Saber,
4800,Parrotz #4800,88,265.03999429138935,10,Waterfall,Black,Tie,SleevlessShirt,Red Glow,Blue,Eye Patch,Trapper Hat,Lollipop Candy,Telescope,
6150,Parrotz #6150,89,264.8859079495432,10,Glitch,Light Green,Pharaoh Necklace,Tuxido,Confused,Green,Bitcoin,Backwards Hat,Pipe,Axe Hammer,
6097,Parrotz #6097,90,264.76184604988555,10,Storm,White,Bamboo Necklace,Hoodie,Hypnotised,Green,Cyborg,Ruffled Feathers,Joint,Cash,
4088,Parrotz #4088,91,264.75370243779656,10,Storm,White,Gemstone Necklace,HawaianShirt,Surprised,Green,Bitcoin,Trapper Hat,Pipe,Saber,
5180,Parrotz #5180,92,264.28660173557523,10,Palm Road,White,Gold Chain,Picasso Shirt,Demonic,Yellow,Bitcoin,Disco Hair,Pizza,Map,
2749,Parrotz #2749,93,264.2686391248777,10,Checker Tunnel,White over Black,Gemstone Necklace,HawaianShirt,Sleepy,Blue,Cyborg,Ruffled Feathers,Gold Token,Saber,
8609,Parrotz #8609,94,264.03415931486717,10,Waterfall,Black,Diamond Necklace,Military Jacket,Confused,Dark Blue,Deal With It Glasses,Crown,Pipe,Thanos Gauntlet,
5342,Parrotz #5342,95,263.822929591368,10,Seasons,Orange,Tie,Picasso Shirt,Red Glow,Red,Deal With It Glasses,Newsboy,Cigar,Saber,
2490,Parrotz #2490,96,263.29923652996234,10,Waterfall,Orange,Gemstone Necklace,Picasso Shirt,Basic,Cyan Blue,Heart Sunglasses,Backwards Hat,Whistle,Telescope,
3128,Parrotz #3128,97,263.2259126192226,10,Seasons,Orange,Yoda Necklace,SleevlessShirt,Basic,Green,Deal With It Glasses,Crown,Pizza,Thanos Gauntlet,
5236,Parrotz #5236,98,263.0785340960677,10,Waterfall,Light Green,Titanic Movie Necklace,SleevlessShirt,Basic,White,Steampunk Glasses,Crown,Lollipop Candy,Saber,
5850,Parrotz #5850,99,262.90862415862495,10,Seasons,White,Tie,Hoodie,Sleepy,Dark Blue,Rayban Sunglasses,Top Hat,Cigar,Indiana Jones Whip,
4045,Parrotz #4045,100,262.76371072494373,10,Red Lasers,Red,Pharaoh Necklace,SleevlessShirt,Confused,Purple,Bitcoin,Halo,Cigar,Thanos Gauntlet,
1663,Parrotz #1663,101,262.55340879449597,10,80s Retro Palm,White,Tie,SleevlessShirt,Surprised,Cyan Blue,Bitcoin,Straw Hat,Nose Ring,Telescope,
1658,Parrotz #1658,102,262.42771487098275,10,Matrix,Orange,Gold Chain,HawaianShirt,Sleepy,Dark Blue,Bitcoin,Vizor,Whistle,Telescope,
4351,Parrotz #4351,103,262.3701659219248,10,Checker Tunnel,White,Bowtie,Leather Biker Jacket,Basic,Purple,Cyborg,Boat Captain,Cigar,Axe Hammer,
337,Parrotz #337,104,262.05853251445194,10,Checker Tunnel,Black,Gemstone Necklace,HawaianShirt,Sleepy,Green,Bitcoin,Boater,Nose Ring,Saber,
3995,Parrotz #3995,105,261.9918368084914,10,Boom,Red,Bowtie,SleevlessShirt,Confused,Orange,Bitcoin,Disco Hair,Pipe,Cash,
8517,Parrotz #8517,106,261.4303458367004,10,Waterfall,White,Titanic Movie Necklace,Leather Biker Jacket,Basic,White,Eye Patch,Vizor,Lollipop Candy,Map,
3656,Parrotz #3656,107,260.8280789959705,10,Storm,White,Pharaoh Necklace,Military Jacket,Demonic,Green,Cyborg,Ruffled Feathers,Whistle,Indiana Jones Whip,
7055,Parrotz #7055,108,260.71485819246436,10,Seasons,Black,Yoda Necklace,Hoodie,Confused,Cyan Blue,Steampunk Glasses,Boater,Cigar,Telescope,
8773,Parrotz #8773,109,260.5937623382888,10,Wave,Orange,Tie,SleevlessShirt,Sleepy,Green,Bitcoin,Boat Captain,Pipe,Map,
4606,Parrotz #4606,110,260.316217700014,10,Waterfall,Black,Yoda Necklace,Picasso Shirt,Basic,Blue,Heart Sunglasses,Crown,Lollipop Candy,Map,
8591,Parrotz #8591,111,260.01134211524476,10,Checker Tunnel,Black,Diamond Necklace,Tuxido,Surprised,Blue,Cyborg,Mortar Board,Cigar,Telescope,
8376,Parrotz #8376,112,259.9329989484172,10,Waterfall,Orange,Diamond Necklace,Tuxido,Basic,Yellow,Rayban Sunglasses,Crown,Pipe,Cash,
9077,Parrotz #9077,113,258.903266068326,10,Starbursts,Black,Titanic Movie Necklace,Tuxido,Hypnotised,Dark Blue,Cyborg,Panama,Lollipop Candy,Cash,
493,Parrotz #493,114,258.37217809843526,10,Boom,White,Gemstone Necklace,Leather Biker Jacket,Basic,Purple,Bitcoin,Halo,Lollipop Candy,Saber,
6531,Parrotz #6531,115,257.97462270650965,10,Seasons,Orange,Gold Chain,Tuxido,Confused,Green,Rayban Sunglasses,Party Hat,Pipe,Golden Cobra Cane,
626,Parrotz #626,116,257.95277705419505,10,Seasons,White,Bowtie,SleevlessShirt,Red Glow,Green,Monocle,Straw Hat,Lollipop Candy,Golden Cobra Cane,
8097,Parrotz #8097,117,257.54270266291286,10,Glitch,White over Black,Tie,HawaianShirt,Red Glow,Green,Bitcoin,Cowboy Hat,Lollipop Candy,Axe Hammer,
6365,Parrotz #6365,118,257.05610602556317,10,Waterfall,Light Green,Gemstone Necklace,SleevlessShirt,Sleepy,White,Monocle,Vizor,Gold Token,Map,
6159,Parrotz #6159,119,256.8318519363075,10,Energy,White,Gold Chain,Tuxido,Red Glow,Green,Bitcoin,Vizor,Pizza,Saber,
4434,Parrotz #4434,120,256.4644009463628,10,Seasons,White over Black,Tie,SleevlessShirt,Red Glow,Blue,Monocle,Boat Captain,Lollipop Candy,Cash,
2684,Parrotz #2684,121,255.84390495991138,10,Red Lasers,Black,Pharaoh Necklace,HawaianShirt,Sleepy,Yellow,Cyborg,Straw Hat,Lollipop Candy,Thanos Gauntlet,
3805,Parrotz #3805,122,255.69242419210417,10,Palm Road,Black,Bowtie,HawaianShirt,Demonic,Green,Bitcoin,Ruffled Feathers,Lollipop Candy,Golden Cobra Cane,
2748,Parrotz #2748,123,255.50317530963375,10,Energy,White,Pharaoh Necklace,SleevlessShirt,Sleepy,White,Bitcoin,Ruffled Feathers,Whistle,Dice,
1022,Parrotz #1022,124,255.09735041031507,10,Energy,White,Yoda Necklace,Hoodie,Demonic,Green,Cyborg,Turban,Pipe,Saber,
5482,Parrotz #5482,125,255.01053350600216,10,Waterfall,Red,Diamond Necklace,SleevlessShirt,Demonic,White,Steampunk Glasses,Turban,Cigar,Axe Hammer,
4515,Parrotz #4515,126,254.9259069453102,10,Palm Road,White,Diamond Necklace,SleevlessShirt,Basic,Purple,Bitcoin,Turban,Nose Ring,Axe Hammer,
9561,Parrotz #9561,127,254.7002554612547,10,Glitch,White over Black,Gemstone Necklace,Picasso Shirt,Demonic,White,Bitcoin,Ruffled Feathers,Pipe,Axe Hammer,
4757,Parrotz #4757,128,254.56796890183125,10,Storm,White over Black,Gemstone Necklace,SleevlessShirt,Confused,Purple,Cyborg,Cowboy Hat,Nose Ring,Axe Hammer,
6312,Parrotz #6312,129,254.5009463116109,10,Waterfall,White over Black,Bowtie,SleevlessShirt,Demonic,Blue,Deal With It Glasses,Cowboy Hat,Nose Ring,Telescope,
4846,Parrotz #4846,130,254.0605406262441,10,Palm Road,White,Pharaoh Necklace,Hoodie,Hypnotised,Green,Cyborg,Newsboy,Lollipop Candy,Map,
6282,Parrotz #6282,131,253.5806592876293,10,Wave,White over Black,Titanic Movie Necklace,Leather Biker Jacket,Angry,Dark Blue,Steampunk Glasses,Pirate Captain Hat,Nose Ring,Telescope,
5238,Parrotz #5238,132,253.48941563654174,10,Matrix,Orange,Tie,Picasso Shirt,Surprised,Cyan Blue,Bitcoin,Halo,Cigar,Telescope,
1930,Parrotz #1930,133,253.12364126202505,10,Glitch,Orange,Gemstone Necklace,Tuxido,Basic,Purple,Bitcoin,Disco Hair,Whistle,Saber,
6551,Parrotz #6551,134,252.90231725870464,10,Boom,White,Bowtie,Hoodie,Red Glow,White,Cyborg,Backwards Hat,Pizza,Saber,
3723,Parrotz #3723,135,252.46231817445042,10,Waterfall,White,Pharaoh Necklace,HawaianShirt,Sleepy,Orange,Steampunk Glasses,Turban,Nose Ring,Axe Hammer,
2859,Parrotz #2859,136,251.97272073539293,10,Checker Tunnel,White,Yoda Necklace,SleevlessShirt,Basic,Orange,Cyborg,Halo,Lollipop Candy,Axe Hammer,
2466,Parrotz #2466,137,251.72501404458856,10,Waterfall,White,Gemstone Necklace,SleevlessShirt,Sleepy,Blue,Rayban Sunglasses,Panama,Whistle,Map,
1296,Parrotz #1296,138,251.41883470549578,10,Waterfall,Black,Tie,Military Jacket,Basic,Green,Rayban Sunglasses,Turban,Pipe,Telescope,
393,Parrotz #393,139,251.28344617925939,10,Waterfall,Light Green,Pharaoh Necklace,SleevlessShirt,Surprised,Purple,Neon Party Glasses,Panama,Nose Ring,Map,
9099,Parrotz #9099,140,251.1287881861485,10,Waterfall,White,Diamond Necklace,HawaianShirt,Sleepy,Purple,Deal With It Glasses,Halo,Pizza,Saber,
9652,Parrotz #9652,141,250.35696917721606,10,Glitch,Black,Tie,Hoodie,Demonic,Cyan Blue,Bitcoin,Crown,Pipe,Thanos Gauntlet,
8997,Parrotz #8997,142,249.92822054699394,10,Waterfall,Red,Diamond Necklace,SleevlessShirt,Red Glow,Purple,Deal With It Glasses,Halo,Pipe,Cash,
4938,Parrotz #4938,143,249.7714496213516,10,Waterfall,Black,Tie,Picasso Shirt,Surprised,Orange,Rayban Sunglasses,Panama,Cigar,Axe Hammer,
3951,Parrotz #3951,144,249.49096914077452,10,Wave,Black,Gemstone Necklace,Tuxido,Sleepy,Cyan Blue,Bitcoin,Cowboy Hat,Pipe,Map,
555,Parrotz #555,145,249.16113042184153,10,Seasons,White,Titanic Movie Necklace,SleevlessShirt,Confused,White,Steampunk Glasses,Newsboy,Lollipop Candy,Telescope,
6829,Parrotz #6829,146,249.15405244204567,10,Seasons,Black,Diamond Necklace,SleevlessShirt,Basic,Blue,Heart Sunglasses,Mortar Board,Pipe,Saber,
4098,Parrotz #4098,147,248.70758598970136,10,Waterfall,Light Green,Gemstone Necklace,HawaianShirt,Basic,Purple,Rayban Sunglasses,Halo,Pipe,Telescope,
7450,Parrotz #7450,148,248.69112159120522,10,Seasons,Black,Diamond Necklace,Leather Biker Jacket,Sleepy,White,Eye Patch,Cowboy Hat,Lollipop Candy,Map,
5506,Parrotz #5506,149,248.5542069965108,10,Waterfall,Red,Gemstone Necklace,Hoodie,Red Glow,Dark Blue,Heart Sunglasses,Vizor,Cigar,Dice,
6143,Parrotz #6143,150,248.4458737987673,10,Disco Lights,Orange,Gemstone Necklace,HawaianShirt,Surprised,Yellow,Bitcoin,Ruffled Feathers,Lollipop Candy,Saber,
1517,Parrotz #1517,151,248.21627899767216,10,Sun Palm Beach,Black,Bowtie,Hoodie,Confused,Cyan Blue,Cyborg,Cowboy Hat,Joint,Telescope,
2218,Parrotz #2218,152,247.52124649388804,10,Waterfall,White,Tie,Picasso Shirt,Sleepy,Green,Monocle,Boater,Lollipop Candy,Cash,
3643,Parrotz #3643,153,247.2221967568169,10,Energy,White,Gold Chain,Picasso Shirt,Confused,Blue,Bitcoin,Vizor,Cigar,Thanos Gauntlet,
7753,Parrotz #7753,154,247.1497520945235,10,80s Retro Palm,Black,Tie,Picasso Shirt,Angry,Green,Monocle,Pirate Captain Hat,Pipe,Magic Lamp,
5630,Parrotz #5630,155,247.0359483456769,10,Glitch,Black,Bamboo Necklace,Picasso Shirt,Demonic,Cyan Blue,Bitcoin,Vizor,Cigar,Map,
1331,Parrotz #1331,156,246.79386471091112,10,Starbursts,White,Bowtie,Picasso Shirt,Red Glow,White,Cyborg,Boater,Lollipop Candy,Axe Hammer,
8127,Parrotz #8127,157,246.75137869289455,10,Seasons,Black,Diamond Necklace,SleevlessShirt,Surprised,Orange,Rayban Sunglasses,Newsboy,Pipe,Cash,
2426,Parrotz #2426,158,246.40592952118408,10,Storm,Black,Tie,SleevlessShirt,Demonic,Dark Blue,Cyborg,Straw Hat,Nose Ring,Telescope,
259,Parrotz #259,159,246.3941027505698,10,Sun Palm Beach,Black,Pharaoh Necklace,Picasso Shirt,Demonic,White,Bitcoin,Turban,Lollipop Candy,Cash,
5571,Parrotz #5571,160,246.03236966306434,10,Seasons,Black,Gemstone Necklace,Leather Biker Jacket,Confused,Green,Monocle,Panama,Nose Ring,Cash,
8695,Parrotz #8695,161,245.97612434522384,10,Seasons,Black,Gold Chain,Picasso Shirt,Surprised,Yellow,Monocle,Party Hat,Cigar,Dice,
1254,Parrotz #1254,162,245.69458053088283,10,Wave,White,Bowtie,Tuxido,Basic,White,Cyborg,Newsboy,Lollipop Candy,Telescope,
1831,Parrotz #1831,163,245.4995395400625,10,Waterfall,Orange,Tie,SleevlessShirt,Sleepy,Purple,Deal With It Glasses,Vizor,Pizza,Dice,
8199,Parrotz #8199,164,244.9637695371686,10,Seasons,Orange,Yoda Necklace,SleevlessShirt,Demonic,Red,Rayban Sunglasses,Vizor,Lollipop Candy,Saber,
