ID,Name,Rank,Rarity_Score,Alpha,Attributes,Axel Mount,Background,Base Neck,Beta,Cheek Shield,Chest,Core Drive,Crest,Delta,Ears,Energy,Equipment,Firepower,Gamma,Head,Jaw nut,K9 Matrix,Lower Jaw,Neck,Nose,Prosternum,Psi,Shield Strength,Sigma,Single Body,Snout,Speed,Tech,Throat,Vision Tech,Withers,Zeta
3297,Mekatron K9 #3297,14,3376.180770349478,,26,Aero,SacramentoStategreen,PrussianblueBN,,DoubleLayerdShield,Vizorian,EngineBajaor,AndromedaC,,Proximitysensor,12,ArmorCrackerMK4,10,,SecretCodeH,Indegobase,14,Deepocean,DesertSquadN,ColNetwork,ByzaniumPST,,17,,,Goblin,24,23,AlientechT,Forcelabs,FlW,Zeeta
2935,Mekatron K9 #2935,15,3355.8515364595937,,19,Peach,Taupe,,,Laserlemon,,ReinforcedDeuterium,,,Brushedmetal,09,ArmorCrackerMK4,17,,,Aeroal,21,Bevertech,,NGtechmodel3,,,06,,Flash,GayanNetwork,05,18,,RedCrimson,,Zeeta
3585,Mekatron K9 #3585,16,3340.0897039927277,,19,UniMount,RadicalRed,,,Cordovian,,HyperCharged,,,Scarlet,09,SideHeadBuster,07,,,LockedNut,06,Alienirisblue,,JesonPak3,,,19,Sigma,Flash,Goblin,07,09,,Kizzylabs,,
2584,Mekatron K9 #2584,17,3337.7750531305715,,19,Peach,CadmiumGreen,,,SpikeyMk4,,ReinforcedDeuterium,,,Brownee,20,CoreBuster,20,,,Mahagony,07,Ghost,,Crimson,,,12,,Spidey,MegaElectroConductor,12,20,,Solomerc,,Zeeta
831,Mekatron K9 #831,18,3253.6822698607225,,19,Deeprose,SacramentoStategreen,,,Brushedcu,,Mk4Antimater,,,Goblin,19,ArmorCrackerMK4,16,Gamma,,Plated,17,Shimmer,,ColNetwork,,,22,,Bats,AndromedaAlpha,12,18,,EvG,,
2243,Mekatron K9 #2243,19,3245.9399070017043,,26,Aero,Teal,OceanBN,,Darktech,Techno,HiveDrive,ElectricindigoC,Delta,Brmex,13,Phoenixflame,12,,TigerH,JsEncorp,23,Datacrunch,CobaltblueN,ScarletN1,SnowyPST,,15,,,StandardGeneratorM5,17,17,CarbonT,EvGHappy,CobaltblueW,
2143,Mekatron K9 #2143,20,3227.130858320925,,26,Scarlet,Ultramarineblue,GobBN,,Laserlemon,Whitechip,ByhzinianCore,ChlorophyteC,Delta,Lavender,16,ClokedTorpedo,16,,LeopH,Indegobase,10,MetaCor,Techno,BlacksiteLabs,SkybluePST,,24,,,BrCopper,10,19,OceanaT,EvRHappy,PinksW,
3521,Mekatron K9 #3521,21,3167.6003119284546,,26,Pumkin,PrussianBlue,PrussianblueBN,,HeatShieldGenerator,Scarlet,FieldInjection,BurgundyC,,CrysalEmerald,08,ClokedTorpedo,17,,GoGH,Gunmetal,15,Phoenix,Bolonium,Fiberwheels,WhitechipPST,,10,,,StandardMekaGenMk4,10,13,AlientechT,Pearlvision,DesertSquadW,Zeeta
416,Mekatron K9 #416,22,3124.327880459507,,26,Oldmauve,Irispurple,ChlorophyteBN,Beta,Timberwolf,Brownee,HyperCharged,CapC,,Hightech,06,SidePlasmaBeamerGen3,20,,NetherH,Chiptech,19,Goblin,DesertSquadN,BakerLimited,SkybluePST,,12,,,Superaqua,18,13,XiraliumT,TrippleRed,BrowneeW,
5346,Mekatron K9 #5346,23,3108.7628837348225,,26,Deeprose,RadicalRed,GunBN,,Dazzled,Dusteez,DualInjection,CapC,,Pearlesence,10,AACannon,14,,ElectricindigoH,JsPMSTech,08,Soltech,SavageN,JBGroupSense,CrazytechPST,Psi,09,,,IctrineGeneratorM4,18,13,CarbonT,AlekseiRedEye,CapW,
1203,Mekatron K9 #1203,24,2967.0862798400653,,26,RedOx,Celadon,GunBN,,Flax,Coded,SpireCore,DesertSquadC,,Brownee,06,SideCanon1,18,Gamma,LeopH,Tech,10,MetaCor,CarbonN,SSCorp,K9FEPST,,07,,,RefractiveGenerator,14,16,ScarletT,RedLaser,NetherW,
1356,Mekatron K9 #1356,25,2896.624470717908,,25,Royalyellow,Tangerine,PrussianblueBN,,Darkgreen,Gun,MatterEngine,MustardC,,Plates,14,ClokedTorpedo,10,Gamma,SnowyH,Pear,19,Jeggernaut,RustN,BlueFlame,CrazytechPST,,21,,,NanobotGenerator,10,14,,EvR,SteelblueW,
4183,Mekatron K9 #4183,26,2853.242046451813,,26,Deeprose,Neonorange,DesertSquadBN,,Citron,Coded,NebulaPlasma,SkyblueC,,Ivory,21,ConcealedPhaser,23,,DesertSquadH,Aeroal,08,Jeggernaut,ElectricindigoN,JesonPak1,DesertSquadPST,,12,Sigma,,Brnztec,24,19,CobaltblueT,Jarvistech,CarbonW,
3466,Mekatron K9 #3466,27,2794.7344122718873,,26,RedOx,Italianskyblue,DarkTechBN,,Jazzberry,Byzanium,HyperStabalizing,NetherC,,Persianindego,21,ArmorCrackerMK2,19,,GobH,Independence,18,Sharlet,OceanaN,JesonPak3,ShimmerPSt,,12,,,LaavParticleGenerator,14,18,AtiumT,Evangry,TechcratW,Zeeta
3200,Mekatron K9 #3200,28,2786.2766667557,,26,RMDMount,Oldburgundy,CarbonBN,,Firebrick,Skyblue,Protomatter,ElectricindigoC,,Mystique,13,CloakedPhotonCanon,09,,XirdaliumHXirdaliumH,Pear,16,Curvedbayo,DarktechN,Starzlab,BurgundyPST,,18,,,Goblin,15,16,ChlorophyteT,EvGAnger,PrussianblueW,Zeeta
1302,Mekatron K9 #1302,29,2748.0604409085213,,26,MekaMount,Seagreen,CapBN,,SpikeyMk2,Carbon,EngineBajaor,DesertSquadC,,Andromedamk1,24,SideCanon1,16,Gamma,OceanaH,JsGunMetal,21,BlueJustice,GobN,JesonPak3,DusteezPST,,10,,,Bloodmoon,15,21,DarkTechT,EvbStern,VizoW,
4389,Mekatron K9 #4389,30,2728.321965213421,,26,RMDMount,Pink,NetherBN,,Superpink,Snowy,MatterEngine,ShimmerC,,Cargonite,11,CloakedPhotonCanon,08,,ZebH,Andromeda,10,Brighttech,Nether,Fiberwheels,ScarletPST,,18,Sigma,,StandardCooler,18,06,SavageT,Peace,ChlorophyteW,
2483,Mekatron K9 #2483,31,2712.0098958408203,,26,EmraldMount,Blueflakes,ElectricindigoBN,,Brightyellow,Cargonite,StabilizingCore,ScarletC,Delta,Orangered,14,ConcealedPhaser,18,,NetherH,JsGunMetal,09,Mekabin,AssimilatedN,GayaModelX,ElectricindigoPST,,24,,,StandardGeneratorM5,13,18,ColorsT,EvRHappy,OceanW,
3411,Mekatron K9 #3411,32,2711.3280514009275,,25,Brushedcu,Nadeshikopink,CrazytechBN,,Purple,Shimmer,ReactorCoreDrive,VenC,,Panishviridian,20,,10,,Skylane,Labrynth,14,Curvedbayo,TritN,Crimson,Zeb2PSt,,16,,,IctrineGeneratorM4,19,08,RustT,Solomerc,BrowneeW,Zeeta
4385,Mekatron K9 #4385,33,2694.823473689834,,26,UniMount,Yellowgreen,XirdliumBN,,Laserlemon,Zeb2,HaddarHyperCore,CodedC,,Savagetech,13,BlueRayTurret,08,,CarbonH,Oxblood,13,Brighttech,DarktechN,JesonPak1,FlPST,,12,Sigma,,StandardCooler,05,23,ShimmerT,EvRStern,OceanW,
1196,Mekatron K9 #1196,34,2688.0043566290688,,26,Peach,Falured,BrowneeBN,,Brushedcu,Dusteez,hexDrive,OceanicC,,Savagetech,08,ClokedTorpedo,17,Gamma,CargoniteH,Jdtech,20,Honolu,K9FeN,Starzlab,GobPST,,13,,,StandardMekaGenMk5,12,07,ZebT,EvRStern,CarbonW,
2313,Mekatron K9 #2313,35,2687.239166175465,,26,Aero,Peach,VenBN,,Firebrick,Nether,FieldInjection,VenC,Delta,Brownee,09,InvisibleTurret,14,,CarbonH,JsJMSTech,20,Sharlet,CargoniteN,JBGroupSense,SteelbluePST,,18,,,StandardCooler,09,22,PrussianblueT,MultiVision,GunW,
4420,Mekatron K9 #4420,36,2654.953138062801,,25,Persianpink,Gainsboro,XirdliumBN,,Sandybrown,Gun,SolDrive,SkyblueC,,Brmex,18,,18,,BoloniumH,Heliotrope,22,Jeggernaut,TritN,NGtech,BrowneePST,,16,Sigma,,ParticleGeneratorGen2,10,24,SteelblueT,EvbStern,SkyblueW,
485,Mekatron K9 #485,37,2643.8169248274658,,26,Brushedcu,Seagreen,BrowneeBN,Beta,Darktech,Snowy,FieldInjection,PrussianblueC,,CrystaslSaph,10,CoreBuster,18,,AndromedaH,Labrynth,23,Doubleedged,RustN,NGtech,DesertSquadPST,,12,,,GayanNetwork,16,07,DesertSquadT,EvRStern,Zeb2W,
3267,Mekatron K9 #3267,38,2628.330027443787,,26,Oldmauve,Rust,DarkTechBN,,Dazzled,K9Fe,Photomatter,CodedC,,Pearlesence,18,ConcealedPhaser,22,,MidnightBlueMetalH,Steel,09,LittleJoy,AssimilatedN,Crimson,BoloniumPST,,06,,,ParticleGeneratorGen2,13,16,Mustard6,EvRAnger,TechcratW,Zeeta
1235,Mekatron K9 #1235,39,2624.710734644524,,26,Peach,Ultramarineblue,PinksBN,,Eminance,Skyblue,HiveDrive,PrussianblueC,,Savagetech,17,AACannon,10,Gamma,BrowneeH,Aeroal,15,Honolu,Techno,NGtech,NetherPST,,05,,,SuperCharger,10,14,CobaltblueT,Cyborg,GobW,
3261,Mekatron K9 #3261,40,2603.9598344826995,,25,MekaMount,RadicalRed,ScarletBN,,Firebrick,Shimmer,ByhzinianCore,SavageC,,Persianindego,17,CloakedPhotonCanon,15,,DarktechH,Rusteez,09,Honolu,ChlorophyteN,MegaCOre,ZebPST,,16,,,BinarySystemCoreMK4,22,15,,EvG,NetherW,Zeeta
5257,Mekatron K9 #5257,41,2602.7184784073897,,26,Royalyellow,Byzantium,DesertSquadBN,,Timberwolf,Carbon,HyperCharged,OceanicC,,Cordovian,20,ArmorCrackerMK3,15,,SnowyH,Steel,14,MetaCor,SavageN,NGtechmodel2,GobPST,Psi,09,,,GrizlyCharger,15,14,ShimmerT,Astratech,ScarletW,
5420,Mekatron K9 #5420,42,2592.4663798191864,,26,SaphireMount,Queenblue,SkyblueBN,,Cybergrape,Cobaltblue,HaddarHyperCore,CobaltblueC,,Proximitysensor,15,InvisibleTurret,12,,BoloniumH,Independence,09,Jeggernaut,SavageN,Fiberwheels,ColorsPST,Psi,12,,,MekaGenMk1,14,12,BrowneeT,EvbHappy,BoloniumW,
437,Mekatron K9 #437,43,2581.797193008457,,26,KillerMount,Windsortan,VenBN,Beta,Firebrick,K9Fe,Mk4Antimater,SavageC,,Assimilated,15,SideHeadBuster,14,,BoloniumH,Goblin,13,ForceJet,PrussianblueN,NGtechmodel3,PinksPST,,18,,,CornitronParticleGenerator,10,12,K9FeT,EvRAnger,CapW,
2211,Mekatron K9 #2211,44,2559.342781859856,,25,Amberalloy,RadicalRed,SkyblueBN,,HyperJet,Oceana,FieldInjection,BluesC,Delta,Plates,08,,22,,ColorsHColorsH,Pear,14,Redgiant,OceanaN,GayaModelX,SteelbluePST,,15,,,StandardCooler,19,14,GunT,TrippleRed,BrowneeW,
217,Mekatron K9 #217,45,2551.0443644734464,Alpha,26,Oldmauve,Carbonfiber,CapBN,,Rufous,Prussianblue,HaddarHyperCore,CargoniteC,,Brushedmetal,19,ArmorCrackerMK3,18,,XirdaliumHXirdaliumH,Glaucous,14,Jeggernaut,GoGN,Ringtechmodel2,DesertSquadPST,,16,,,Regengenerator,08,18,GunT,Solomerc,Zeb2W,
5317,Mekatron K9 #5317,46,2545.5089286887505,,26,EmraldMount,Palatinatepurple,CapBN,,FluxAbsorber,GoG,DualInjection,CargoniteC,,Persianindego,15,SideHeadBusterGen3,20,,LeopH,JsGunMetal,18,Jeggernaut,AssimilatedN,GhostTech,CobaltbluePST,Psi,18,,,HalleyTwinHeated,12,20,PinksT,EvRAnger,PinksW,
5325,Mekatron K9 #5325,47,2543.098006810794,,26,TOMount,Mandarin,ElectricindigoBN,,Citron,Burgundy,StabilizingCore,SteelblueC,,Pearlesence,09,SidePlasmaBeamer,20,,ScarletH,Andromeda,19,Phoenix,VizorianN,Ringtechmodel2,ShimmerPSt,Psi,11,,,Brnztec,13,22,CapT,EvRHappy,DarkTechW,
2413,Mekatron K9 #2413,48,2524.257194150966,,26,Brushedcu,Byzantium,BluesBN,,Jade,Savage,FieldInjection,DusteezC,Delta,Andromedamk1,12,SideHeadBuster,22,,K9FeH,JsPMSTech,10,Doubleedged,SteelblueN,RedMater,AndromedaPST,,21,,,NanobotGenerator,08,17,Zeb2T,AlekseiRedEye,PlatedW,
432,Mekatron K9 #432,49,2521.1218507714634,,26,Oldmauve,Battleshipgrey,TritBN,Beta,Blush,Shimmer,MatterEngine,CobaltblueC,,Copper,09,ConcealedPhaser,07,,DarktechH,Darktech,19,Jeggernaut,Leop,MegaCOre,DarkTechPST,,09,,,MegaElectroConductor,17,23,PlatedT,PinkEye,TritW,
3226,Mekatron K9 #3226,50,2514.4201630823886,,26,BlueHexMount,ElectricIndigo,ElectricindigoBN,,Deepsaferon,Atium,ReactorCoreDrive,BoloniumC,,Chartreuse,25,SidePlasmaBeamerGen3,16,,K9FeH,Jonquil,13,Datacrunch,TritN,NGtechmodel3,GobPST,,13,,,AlphaLabs,16,22,PinksT,EvbStern,DarkTechW,Zeeta
1364,Mekatron K9 #1364,51,2506.7159691565066,,26,Amberalloy,Khakidark,PlatedBN,,Teal,DesertSquad,Photomatter,OceanicC,,Brownee,17,ClokedTorpedo,21,Gamma,AssimilatedH,Illumemrald,13,Brighttech,VizorianN,JMSlabs,ShimmerPSt,,09,,,TechParticleGenMk5,17,16,Mustard6,Peace,DesertSquadW,
5364,Mekatron K9 #5364,52,2497.876703943053,,26,Pumkin,YellowOrange,VizoBN,,Brightyellow,Vizorian,Photomatter,ChlorophyteC,,Novalie,14,CloakedPhotonCanon,18,,FlH,Mektech,24,Ghost,ZebN,RingTech,ZebPST,Psi,07,,,AntimaterGenerator,20,13,XiraliumT,Solomerc,DusteezW,
4495,Mekatron K9 #4495,53,2495.572155819833,,26,Scarlet,Erin,MustardBN,,DroneBay,Rust,HyperStabalizing,Zeb2C,,Andromeda,07,ArmorCrackerMK3,14,,TritH,Heliotrope,18,Brighttech,Nether,HashCorp,AssimilatedPST,,09,Sigma,,MegaElectroConductor,22,17,AssimilatedT,EvGAnger,XtzW,
5504,Mekatron K9 #5504,54,2491.927914109581,,26,BrightMount,Safronyellow,ChlorophyteBN,,HeatShieldGenerator,Coded,ReactorCoreDrive,ElectricindigoC,,Plates,21,CloakedPhotonCanon,16,,ChlorophyteH,JsEncorp,05,Honolu,GobN,ColNetwork,CapPST,Psi,09,,,StandardGeneratorM5,10,07,ColorsT,MultiVision,NetherW,
3331,Mekatron K9 #3331,55,2486.490096536522,,26,Greymetal,Mandarin,AndromedaBN,,Jade,Steelblue,ReinforcedDeuterium,SnowyC,,Proximitysensor,18,ArmorCrackerMK3,05,,ColorsHColorsH,Aeroal,21,Sabertooth,CarbonN,RedMater,RustPSt,,18,,,StandardParticleGenerator,14,13,NaniteT,GreenLaser,TechcratW,Zeeta
3215,Mekatron K9 #3215,56,2482.8443876843216,,26,LaserMount,Jasmine,VizoBN,,Carbon,Xirdalium,HiveDrive,VizorianC,,Copper,10,DACannon,09,,TigerH,Mektech,15,Lemtangtech,PlatedN,BakerLimited,Zeb2PSt,,16,,,AlphaLabs,14,19,NetherT,EvRStern,CarbonW,Zeeta
2239,Mekatron K9 #2239,57,2482.316252801609,,26,Scarlet,ElectricIndigo,SkyblueBN,,Rufous,GoG,Overchargedreactor,ElectricindigoC,Delta,Hightech,22,ConcealedPhaser,21,,ScarletH,Oxblood,13,Phoenix,GunN,NazixCube,PlatedPST,,17,,,FlameRingCore,22,11,TritrT,TrippleRed,TritW,
1374,Mekatron K9 #1374,58,2480.7279888719236,,26,Brushedcu,SacramentoStategreen,SkyblueBN,,Eminance,Xirdalium,ReactorCoreDrive,ElectricindigoC,,Ivory,12,DACannon,19,Gamma,OceanaH,Indegobase,11,RegenTech,PlatedN,ColNetwork,BrowneePST,,19,,,HalleyTwinHeated,19,15,DesertSquadT,Astratech,GobW,
5321,Mekatron K9 #5321,59,2471.581829730598,,26,Deeprose,Scarlet,CapBN,,Darkgreen,Skyblue,EngineAphacentauri,ZebC,,AviraPurple,14,ArmorCrackerMK3,18,,XirdaliumHXirdaliumH,JsXTech,14,slyaluminum,Techno,ColNetwork,TigerPST,Psi,18,,,AndromedaBeta,12,23,VizorianT,Solomerc,TigerW,
4217,Mekatron K9 #4217,60,2467.6793320807847,,26,Carribiangreen,Carbonfiber,CargoniteBN,,OceanicCase,Burgundy,ThoronPlasma,XtzC,,Hightech,21,PositronRG,22,,WhitechipHWhitechipH,Plated,18,Titanforge,ZebN,Crimson,AlientechPST,,17,Sigma,,GayaCorp,08,17,Zeb2T,AlekseiRedEye,SteelblueW,
2372,Mekatron K9 #2372,61,2465.345695712838,,26,Carribiangreen,Oldburgundy,ColorsBN,,Bittersweet,Savage,StabilizingCore,PinksC,Delta,Chartreuse,05,PlasmaCannon,21,,NetherH,LockedNut,21,Brighttech,PrussianblueN,GayaModelX,K9FEPST,,14,,,BinarySystemCoreMK4,17,09,BurgundyT,EvRStern,VizoW,
457,Mekatron K9 #457,62,2457.5707285342087,,26,Carribiangreen,Irispurple,GunBN,Beta,Brightyellow,Savage,HaddarHyperCore,ByzaniumC,,Hightech,14,ArmorCrackerMK2,24,,TritH,Aeroal,16,Jeggernaut,AssimilatedN,JesonPak3,BoloniumPST,,22,,,GayanNetwork,15,12,Blues,EvR,RustW,
3178,Mekatron K9 #3178,63,2419.0835155012874,,26,Royalyellow,Burgundy,DusteezBN,,DroneBay,Rust,EngineAphacentauri,RustC,,Brushedmetal,12,SidePlasmaBeamerGen4,21,,K9FeH,Labrynth,18,Honolu,SteelblueN,ScarletN1,NetherPST,,14,,,NanobotGenerator,17,13,NaniteT,RedCrimson,K9FeW,Zeeta
2255,Mekatron K9 #2255,64,2417.3887985696783,,26,LauncherMount,Zaffre,MustardBN,,Brightyellow,Zeb,Photomatter,AssimilatedC,Delta,Andromeda,23,SideHeadBusterGen3,16,,AssimilatedH,Kobicha,22,Brighttech,CapN,JesonPak3,BoloniumPST,,16,,,StandardMekaGenMk3,21,05,AtiumT,Kizzylabs,K9FeW,
1303,Mekatron K9 #1303,65,2414.812213160138,,26,Amberalloy,Maroon,TritBN,,Darktorquoise,Shimmer,Protomatter,PinksC,,Brushedmetal,20,PositronRG,07,Gamma,SavageH,Plated,23,Sharlet,Leop,NGtechmodel3,GunPST,,07,,,CornitronParticleGenerator,16,13,CapT,Evangry,XirdaliumW,
1466,Mekatron K9 #1466,66,2402.7150844035195,,26,Deeprose,QuickSilver,CobaltblueBN,,Sandybrown,Shimmer,HyperStabalizing,BoloniumC,,CrysalEmerald,16,InvisibleTurret,16,Gamma,StarStripeH,Imperialred,20,Soltech,AndromedaN,MegaCOre,PinksPST,,17,,,GrizlyCharger,18,16,PinksT,RedCrimson,WhitechipW,
1489,Mekatron K9 #1489,67,2397.122732005315,,26,EmraldMount,Rust,SnowyBN,,Brushedcu,Prussianblue,ThoronPlasma,SavageC,,Ivory,10,BlueRayTurret,15,Gamma,XtzH,Keppel,18,Assimilated,AlientechN,RastorNose,TritPST,,18,,,SuperCharger,13,07,NetherT,EvbStern,MustardW,
409,Mekatron K9 #409,68,2392.65390687731,,26,OceanicAxel,Persiangreen,SnowyBN,Beta,HeatShieldGenerator,Skyblue,NanoCore,BurgundyC,,Ivory,11,InvisibleTurret,09,,BluesH,Goblin,06,Ridgedtooth,VenN,SilionMTech,CapPST,,16,,,MegaElectroConductor,15,14,NetherT,Solomerc,WhitechipW,
1174,Mekatron K9 #1174,69,2387.0608606496285,,26,Carribiangreen,ElectricIndigo,Burgundy3,,SpikeyMk6,Carbon,HyperCharged,ScarletC,,Plasmanix,06,ConcealedPhaser,20,Gamma,NetherH,JsGunMetal,15,slyaluminum,DesertSquadN,NGtechmodel3,DesertSquadPST,,09,,,LaavParticleGenerator,21,21,LeopT,Battletech,MustardW,
2264,Mekatron K9 #2264,70,2381.201806552811,,26,RedOx,Xanadu,VizoBN,,OceanicCase,Zeb,HiveDrive,FlC,Delta,Darktech,12,SideHeadBuster,16,,CapHCapH,JsScarlet,11,slyaluminum,ShimmerN,RastorNose,SteelbluePST,,11,,,StandardGeneratorM5,16,10,GoGT,Garethtech,AlientechW,
5395,Mekatron K9 #5395,71,2375.892681461015,,26,RedOx,Falured,ColorsBN,,Favulous,Nanite,HyperStabalizing,XtzC,,Panishviridian,25,ArmorCrackerMK3,08,,MidnightBlueMetalH,Pear,07,Jeggernaut,SkyblueN,NazixCube,TritPST,Psi,13,,,MegaElectroConductor,09,09,Blues,Forcelabs,DusteezW,
5198,Mekatron K9 #5198,72,2374.3701950347645,,26,Pumkin,Safronyellow,DarkTechBN,,Cordovian,Pinks,HiveDrive,ByzaniumC,,CrysalEmerald,05,CloakedPhotonCanon,15,,TigerH,JsPMSTech,14,Atlantian,ChlorophyteN,CanvortLabs,OceanPST,Psi,17,,,StandardMekaGenMk4,15,12,LeopT,EvGHappy,ColorsW,
3223,Mekatron K9 #3223,73,2358.419848321947,,26,Pumkin,Icterine,XirdliumBN,,Purple,Plated,hexDrive,ShimmerC,,Mystique,13,PlasmaCannon,22,,GobH,Keppel,17,Honolu,PlatedN,HashCorp,MustardPST,,08,,,LaavParticleGenerator,12,18,FlT,EvRAnger,AtiumW,Zeeta
2390,Mekatron K9 #2390,74,2354.2798253436,,26,Pumkin,Kobi,CargoniteBN,,Flax,Assimilated,WarpDriveCore,VenC,Delta,CrysalEmerald,22,PlasmaCannon,09,,OalienH,Mahagony,13,Deepocean,XirdaliumN,RastorNose,LeopPST,,05,,,StandardMekaGenMk4,06,11,GoGT,EvbHappy,DusteezW,
4166,Mekatron K9 #4166,75,2338.4043303562103,,26,AGMount,GreenLizard,GobBN,,Bittersweet,Cargonite,Protomatter,Zeb2C,,Cordovian,15,SideHeadBuster,17,,Shimmer,Imperialred,17,Honolu,GunN,RastorNose,ElectricindigoPST,,13,Sigma,,IndieGeneratorM4,14,12,TechnoT,EvRHappy,ScarletW,
4316,Mekatron K9 #4316,76,2337.8924750888846,,26,BrightMount,Tangerine,OceanBN,,Darkgreen,Carbon,DualInjection,AlientechC,,Pearlesence,24,SideHeadBusterGen3,16,,XirdaliumHXirdaliumH,JsBluend,14,Bevertech,MustardN,RingTech,MustardPST,,16,Sigma,,StandardMekaGenMk5,23,18,XtzT,Solomerc,NaniteW,
3375,Mekatron K9 #3375,77,2332.817444004628,,26,RHDMount,Lavender,PlatedBN,,Bittersweet,Techno,HiveDrive,RustC,,Brushedmetal,13,SidePlasmaBeamerM2,16,,Shimmer,LockedNut,11,Jeggernaut,WhitechipN,CanvortLabs,NetherPST,,13,,,PlasmaDisruptorGenerator,20,10,TritrT,Eveenorm,AtiumW,Zeeta
