ID,Name,Rank,Rarity_Score,Agility,Armor,Attributes,Aura,Background,Body,Eye,Face,Force,Helmet,Intelligence,Jewelry,Mouth,Rank,Scar,Type
135,TezoTrooperz #135,19,1974.94319568223,85,King Gold,13,,Background Motif Red,Body 4 Dragon Red,Eyes 1 Brown,Cowboy Beard _ Mustache Black,90,King,70,Massai Gold,Mouth 2,King,Scar 9,
948,TezoTrooperz #948,20,1967.6252920241272,90,SpecialForce Green,13,,Background GradientNoise Yellow,Body 3 Yakusa Purple,Eyes 1 Green,MakeUp Indian Blue 3,95,Ronin Red,60,Plate Warrior,Mouth Gold,Warrior,Scar 9,
176,TezoTrooperz #176,21,1962.4408364627338,85,Ghost Green,14,Yellow,Background Gradient Red,Body 2 Viking God Blue,Eyes 4 Brown,MakeUp Indian Blue 3,90,Ronin Blue,70,Viking White,Mouth 2,Long Range,Scar 2,
5,TezoTrooperz #5,22,1958.592322812519,85,Samurai Green,13,,Background Line Purple,Body 3 Viking God Red,Eyes 2 Brown,Commando Beard _ Mustache Blond,90,Hairs1 Brown,70,Logo Gold,Mouth 4,Long Range,Scar 10,
787,TezoTrooperz #787,23,1953.6889496993467,85,Ghost Green,11,,Background Gradient Red,Body 3 CyberSkin,Eyes 4 Blue,,90,Ronin Black Hair,70,Plate Troopleader,Mouth Angry,Long Range,,
910,TezoTrooperz #910,24,1936.049166435586,75,Queen Black,13,Pink,Background Motif Red,Body 2,Eyes 4 Green,MakeUp Massai Red 2,90,Queen Black,85,Viking Blackmetal,Mouth 3,Queen,,
174,TezoTrooperz #174,25,1863.6631177712716,85,Ghost Green,13,,Background GradientNoise Blue,Body 3 Viking God blue,Eyes 3 Green,Cowboy Mustache Light Blond,90,Hairs 5 Blond,70,Whitcher Medaillon,Mouth 4,Long Range,Scar 10,
1377,TezoTrooperz #1377,26,1801.4903339027956,85,CowboyGear Red,12,Pink,Background Gradient Orange,Body 1 Dragon blue red,Eyes 1 Yellow,,90,Hairs 4 Black,70,Massai Blackmetal,Mouth 1,Long Range,,
320,TezoTrooperz #320,27,1750.9456444353937,85,Mercenary Orange,12,,Background Legend Blue,Body 4 Viking God Red,Eyes 2 Blue,King Mustache Blond,90,Commando Base,70,Logo Black,Mouth 4,Long Range,,
743,TezoTrooperz #743,28,1681.6659499639557,85,Massai Black,14,Purple,Background GradientNoise Blue,Body 2 Viking White,Eyes 3 Blue,MakeUp Massai Yellow 1,90,Hairs 5 Blond,70,Plate Queen,Mouth 5,Long Range,Scar 2,
1169,TezoTrooperz #1169,29,1638.7661488700287,90,Mercenary Purple,14,Green,Background GradientNoise Yellow,Body 1 Fanatic Purple,Eyes 2 Chosen One,Mask Base,95,Mercenary No Glass Orange,60,Viking Blackmetal,Mouth 5,Warrior,Scar 3,
405,TezoTrooperz #405,30,1624.9779440541254,75,Queen Gold,13,,Background GradientNoise Yellow,Body 1 CyberSkin Black,Eyes Cyber 1,Mask Red,90,Queen Base,85,Ronin Gold,Mouth 1,Queen,Scar 1,
1102,TezoTrooperz #1102,31,1584.7805155477472,85,King Black,14,Red,Background GradientNoise Green,Body 1,Eyes 3 Yellow,Cowboy Mustache White,90,King,70,Viking Gold,Mouth 4,King,Scar 1,
317,TezoTrooperz #317,32,1561.2747880703241,75,Queen Base,13,,Background Gradient Blue,Body 1 Fanatic Green,Eyes Cyber 7,MakeUp Indian Red 3,90,Queen Black,85,Bullet Gold,Mouth 1,Queen,Scar 7,
1354,TezoTrooperz #1354,33,1492.5297104380647,85,Ghost Green,13,,Background Line Red,Body 3 Massai Yellow 2,Eyes 1 Special 1,Mask Queen Base,90,Ronin Purple Hair,70,Viking Gold,Mouth 2,Long Range,Scar 1,
808,TezoTrooperz #808,34,1486.2448924757225,75,Queen Base,13,,Background GradientNoise Yellow,Body 1 Fanatic Red,Eyes 2 Red,MakeUp Massai Yellow 1,90,Queen Gold,85,Plate LongRange,Mouth Angry,Queen,Scar 4,
761,TezoTrooperz #761,35,1451.2683658969022,90,Massai Gold,12,,Background Motif Red,Body 4 CyberSkin Black,Eyes 4 Red,Mask Skull Green,95,Indian Robot Blue,60,,Mouth Gold,Warrior,Scar 10,
1581,TezoTrooperz #1581,36,1427.271002050966,75,Samurai Red,13,,Background Gradient Red,Body 2 Dragon Red,Eyes 1 Sith,Viking Mustache Black,90,Ronin Gold,85,Massai White,Mouth 3,King,Scar 7,
1216,TezoTrooperz #1216,37,1382.3774991696705,85,SpecialForce Gold,12,,Background Motif Green,Body 1 Dragon Red,Eyes 2 Green,Commando Beard _ Mustache Brown,90,Samurai Kabuki Red,70,,Mouth 1,Long Range,Scar 8,
990,TezoTrooperz #990,38,1372.6707249372269,90,Cowboy Orange,13,Blue,Background Gradient Orange,Body 1 Fanatic Yellow,Eyes Cyber 8,MakeUp Camouflage Green,95,Hairs 5 Brown,60,,Mouth Angry,Warrior,Scar 4,
1281,TezoTrooperz #1281,39,1367.4465697987382,85,Indian Robot Red,13,,Background Motif Yellow,Body 1 Dragon Red,Eyes 1 White,MakeUp Viking Black 1,90,Hairs 5 Purple,70,Neck Blackmetal,Mouth Smoke,Long Range,Scar 8,
1244,TezoTrooperz #1244,40,1367.3772316693303,90,SpecialForce Gold,13,,Background GradientNoise Blue,Body 2,Eyes 2 Rinnengan,Cowboy Mustache White,95,Samurai Kabuki Red,60,Viking Gold,Mouth 2,Warrior,Scar 1,
563,TezoTrooperz #563,41,1357.0683119464197,90,Ronin Red,13,Pink,Background GradientNoise Blue,Body 3 Dragon blue red,Eyes 2 Blue,,95,Mercenary Gold,60,Military Plate Futurist Blue,Mouth 4,Warrior,Scar 10,
82,TezoTrooperz #82,42,1356.9801491123665,85,SpecialForce Black,13,,Background Gradient Green,Body 4 Dragon Blue Red,Eyes 1 White,MakeUp Blue Pink,90,Indian Black,70,Ronin Blue,Mouth Toothpick,Long Range,Scar 9,
336,TezoTrooperz #336,43,1355.600181419247,85,Mercenary Cape Purple,14,Red,Background Motif Yellow,Body 3 Viking Red,Eyes 2 Yellow,King Mustache Brown,90,Hairs 3 Black,70,Plate Warrior,Mouth 2,Long Range,Scar 5,
1320,TezoTrooperz #1320,44,1343.7155498307025,75,Queen Base,11,,Background Motif Purple,Body 2 Massai Brown,Eyes 4 Blue,,90,Queen Gold,85,Ronin Gold,Mouth 3,Queen,,
880,TezoTrooperz #880,45,1330.8260271305417,75,Queen Black,13,,Background Gradient Blue,Body 2 Yakusa Green,Eyes 2 Green,MakeUp Massai Red 2,90,Hairs 4 Brown,85,Plate LongRange,Mouth 4,Queen,Scar 1,
874,TezoTrooperz #874,46,1310.2564879757388,90,Massai Blue,12,,Background Motif Gradient Red,Body 1 Fanatic Red,Eyes 4 White,MakeUp Gow White,95,Viking White,60,Bullet Base,Mouth 2,Warrior,,
1502,TezoTrooperz #1502,47,1306.9461072301167,80,Indian Red,13,,Background Gradient Red,Body 1 Dragon Grey,Eyes 3 Green,MakeUp Viking Blue 1,90,Hairs 4 Brown,80,Bullet Gold,Mouth Angry,Troop Leader,Scar 6,
820,TezoTrooperz #820,48,1303.6886699383995,85,King Base,13,Green,Background Gradient Orange,Body 4 Yakusa Purple,Eyes 1 Yellow,Commando Beard _ Mustache Brown,90,King Gold,70,Logo Gold,Mouth 4,King,,
206,TezoTrooperz #206,49,1299.0543265591366,90,Mercenary Cape Gold,13,Pink,Background Gradient Yellow,Body 1 Massai blue 2,Eyes 1 Blue,Cowboy Mustache Brown,95,Hairs 2 Black,60,Military Plate Futurist Blue,Mouth 5,Warrior,,
1235,TezoTrooperz #1235,50,1290.4835362490376,90,SpecialForce Base,12,,Background Legend Green,Body 4 Yakusa Green,Eyes 3 Brown,Mask Yellow,95,Commando Green,60,,Mouth 5,Warrior,Scar 1,
1544,TezoTrooperz #1544,51,1281.696593049679,90,Geisha Blue,12,,Background Gradient Red,Body 3 Massai Yellow 2,Eyes 1 Green,,95,Indian Robot Black,60,Plate Troopleader,Mouth 1,Warrior,Scar 3,
76,TezoTrooperz #76,52,1275.4067665633581,85,Samurai Black,13,White,Background Legend Purple,Body 2,Eyes 2 Yellow,King Mustache Brown,90,Samurai Oni Gold,70,Military Plate Futurist Blue,Mouth 4,Long Range,,
1556,TezoTrooperz #1556,53,1274.7006185802502,85,SpecialForce Gold,13,,Background Gradient Yellow,Body 4 Fanatic Purple,Eyes 1 Special 1,MakeUp Indian Purple 1,90,Hairs 6 Brown,70,Logo Grey,Mouth Gold,Long Range,Scar 10,
155,TezoTrooperz #155,54,1271.3050442475333,90,SpecialForce Orange,14,Blue,Background GradientNoise Blue,Body 2 Viking Blue,Eyes 2 Blue,Cowboy Beard _ Mustache Brown,95,Commando Green,60,Viking Metal,Mouth 2,Warrior,Scar 6,
142,TezoTrooperz #142,55,1243.6113345221504,85,King Black,12,,Background Gradient Yellow,Body 2 Viking Blue,Eyes 2 Yellow,,90,King Gold,70,Bullet Gold,Mouth 5,King,Scar 10,
777,TezoTrooperz #777,56,1243.4645485776693,80,Commando Black,13,,Background Motif Orange,Body 1 Dragon Blue Yellow,Eyes 3 Blue,Mask Skull Green,90,Samurai Oni Gold,80,Logo Black,Mouth 4,Troop Leader,Scar 5,
994,TezoTrooperz #994,57,1242.2165360005654,90,Mercenary Gold,13,,Background GradientNoise Yellow,Body 1 Massai blue 2,Eyes Cyber 3,Cowboy Mustache Light Blond,95,Hairs 3 Blond,60,Viking Blackmetal,Mouth 4,Warrior,Scar 7,
871,TezoTrooperz #871,58,1241.9195615890528,90,Viking Yellow,14,Blue,Background Line Green,Body 2 CyberSkin Black,Eyes Cyber 3,MakeUp Indian Blue 1,95,Viking Yellow,60,Viking White,Mouth Smoke,Warrior,Scar 7,
1450,TezoTrooperz #1450,59,1237.116070552327,85,Indian Blue,13,,Background Motif Green,Body 1 Fanatic Yellow,Eyes 2 Brown,MakeUp Massai Yellow 2,90,Cowboy gold,70,Neck Gold,Mouth Gold,Long Range,Scar 2,
716,TezoTrooperz #716,60,1232.4996684449009,90,Viking Yellow,13,,Background Motif Gradient Green,Body 2 Massai White,Eyes 1 Special 4,Mask Blue,95,Hairs 2 Black,60,Bullet Gold,Mouth 4,Warrior,Scar 8,
466,TezoTrooperz #466,61,1230.1622372709946,85,CowboyGear Black,12,,Background GradientNoise Green,Body 3 Dragon Blue Red,Eyes Cyber 2,MakeUp Massai Red 1,90,Hairs 5 White,70,Bullet Base,Mouth Angry,Long Range,,
44,TezoTrooperz #44,62,1217.5357195016709,85,King Gold,13,,Background Grayscale02,Body 4,Eyes Cyber 5,Mask Yellow,90,King Gold,70,Massai White,Mouth 5,King,Scar 9,
441,TezoTrooperz #441,63,1205.3988570066672,90,Indian Robot Blue,12,,Background Motif Green,Body 3 CyberSkin Black,Eyes 3 White,,95,Ghost Grey,60,Plate Warrior,Mouth 2,Warrior,Scar 6,
715,TezoTrooperz #715,64,1193.6663036934708,85,Commando Red,13,,Background Motif Purple,Body 3 Dragon Blue Yellow,Eyes 2 Red,Cowboy Mustache White,90,Samurai Oni Gold,70,Bullet,Mouth 2,Long Range,Scar 8,
750,TezoTrooperz #750,65,1192.7770564726752,80,Massai Red,14,Red,Background GradientNoise Green,Body 3 Massai Yellow,Eyes 4 Brown,MakeUp Massai White 1,90,Ronin Black,80,Plate LongRange,Mouth 1,Troop Leader,Scar 10,
1014,TezoTrooperz #1014,66,1182.203863860789,85,Mercenary Red,13,,Background Gradient Orange,Body 2 Viking God Yellow,Eyes 3 Brown,Commando Mustache Brown,90,Ghost Brown,70,Viking Blackmetal,Mouth 4,Long Range,Scar 3,
1364,TezoTrooperz #1364,67,1180.503797376897,75,CowboyGear Orange,13,Red,Background Gradient Orange,Body 3 Gold CyberSkin,Eyes 2 Yellow,Commando Mustache Black,90,Hairs1 Brown,85,Massai Blackmetal,Mouth 2,King,,
1120,TezoTrooperz #1120,68,1177.4026398465894,90,Viking Green,12,,Background GradientNoise Yellow,Body 4 Dragon Blue,Eyes 2 Yellow,MakeUp Viking Blue 2,95,Indian Red,60,Viking Gold,Mouth 4,Warrior,,
625,TezoTrooperz #625,69,1173.3206589829256,90,Viking Blue,13,,Background Motif Gradient Green,Body 1 Viking Black,Eyes Cyber 4,King Mustache Blond,95,SpecialForce Black,60,Massai Blackmetal,Mouth 5,Warrior,Scar 6,
700,TezoTrooperz #700,70,1170.3370464820862,85,King Black,14,Yellow,Background GradientNoise Yellow,Body 2,Eyes 3 Green,Commando Mustache Brown,90,King Gold,70,Massai Gold,Mouth 5,King,Scar 10,
958,TezoTrooperz #958,71,1163.7266928537213,90,Samurai Black,12,,Background Gradient DeepBlue,Body 3,Eyes 1 Chosen One,,95,Commando Blue,60,Military Plate Futurist Red,Mouth 5,Warrior,Scar 9,
178,TezoTrooperz #178,72,1154.5335066419912,85,King Base,13,,Background GradientNoise Blue,Body 3,Eyes 3 Red,Commando Mustache Blond,90,King Black,70,Plate LongRange,Mouth 3,King,Scar 8,
427,TezoTrooperz #427,73,1148.6780862027545,90,Viking Blue,13,,Background GradientNoise Blue,Body 2 Dragon Blue,Eyes 4 Green,MakeUp Indian Blue 3,95,Ronin Blue,60,Logo Black,Mouth Gold,Warrior,Scar 3,
204,TezoTrooperz #204,74,1147.2586889737706,85,Viking Black,13,,Background Gradient Red,Body 2 Massai blue 2,Eyes 1 Green,Viking Mustache White,90,King Black,70,Plate LongRange,Mouth 3,Long Range,Scar 7,
1258,TezoTrooperz #1258,75,1143.1763293474685,85,Viking Blue,13,Green,Background GradientNoise Blue,Body 4 CyberSkin,Eyes 1 Sith,,90,Hairs1 Blond,70,Massai Blackmetal,Mouth 4,Long Range,Scar 3,
1116,TezoTrooperz #1116,76,1141.6585149679827,90,Viking Black,14,Green,Background Motif Green,Body 2 Viking God Yellow,Eyes 2 Red,Viking Beard _ Mustache LightBlond,95,Hairs1 Light Blond,60,Military Plate Futurist Blue,Mouth 5,Warrior,Scar 3,
460,TezoTrooperz #460,77,1140.749991858176,85,Viking Black,13,,Background Gradient DeepBlue,Body 2 Yakusa Blue,Eyes 1 Green,Viking Mustache Brown,90,Samurai Oni Black,70,Military Plate Futurist Blue,Mouth 5,Long Range,Scar 7,
114,TezoTrooperz #114,78,1132.7410281123537,75,Ronin Blue,11,,Background Grayscale01,Body 3 Dragon Blue Red,Eyes 1 Green,,90,Hairs 3 Blond,85,Neck Blackmetal,Mouth Toothpick,Queen,,
20,TezoTrooperz #20,79,1130.322740309913,85,Massai Black,12,,Background Gradient Blue,Body 3 Viking White,Eyes 4 Blue,,90,Hairs 2 Blond,70,Ronin Blackmetal,Mouth 5,Long Range,Scar 10,
869,TezoTrooperz #869,80,1124.17341540143,85,Indian Robot Blue,11,,Background Gradient Red,Body 2,Eyes 1 Special 4,,90,Hairs 6 White,70,Bullet Gold,Mouth 5,Long Range,,
560,TezoTrooperz #560,81,1121.1117272461263,80,Ronin Purple,13,Yellow,Background Motif Gradient Green,Body 3,Eyes 2 Rinnengan,Mask Yellow,90,Ronin Red,80,Massai White,Mouth 2,Troop Leader,,
1324,TezoTrooperz #1324,82,1109.2114556164652,90,CowboyGear Gold,12,,Background GradientNoise Blue,Body 3 Gold CyberSkin,Eyes 1 Yellow,Mask Skull Blue,95,Hairs1 Light Blond,60,Viking Gold,Mouth 4,Warrior,,
1086,TezoTrooperz #1086,83,1106.159786376756,85,King Base,13,,Background Motif Purple,Body 2,Eyes 1 Green,Mask Yellow,90,King Black,70,Viking Gold,Mouth 4,King,Scar 3,
4,TezoTrooperz #4,84,1103.0322251632126,85,Cowboy Blue,13,,Background Gradient DeepBlue,Body 4 Massai Yellow,Eyes 1 Chosen One,Mask White Gold,90,Viking Black,70,Military Plate Futurist Red,Mouth 5,Long Range,Scar 7,
1275,TezoTrooperz #1275,85,1102.419053236761,85,CowboyGear Red,13,,Background GradientNoise Yellow,Body 1 Dragon blue,Eyes 1 Yellow,Viking Beard _ Mustache Brown,90,Ghost Brown,70,Bullet,Mouth 2,Long Range,Scar 7,
1554,TezoTrooperz #1554,86,1098.5299332983006,90,Mercenary Orange,13,,Background Gradient DeepBlue,Body 2 Yakusa Blue,Eyes 3 Brown,Mask Blue,95,Hairs1 Brown,60,Massai White,Mouth 4,Warrior,Scar 7,
1599,TezoTrooperz #1599,87,1091.8409888739868,90,Cowboy Black,11,,Background Line Purple,Body 3,Eyes 2 Sith,,95,Commando Blue,60,Massai Blackmetal,Mouth 2,Warrior,,
979,TezoTrooperz #979,88,1090.6967282139221,80,Massai Red,12,,Background Gradient Blue,Body 1 CyberSkin Black,Eyes 4 Brown,,90,Hairs 6 Brown,80,Bullet Gold,Mouth Toothpick,Troop Leader,Scar 4,
1196,TezoTrooperz #1196,89,1089.0391590127774,90,SpecialForce Orange,13,,Background Motif Gradient Red,Body 1 Massai Black,Eyes 3 Blue,Mask Queen Gold,95,Hairs 5 Brown,60,Neck White,Mouth Smoke,Warrior,Scar 7,
970,TezoTrooperz #970,90,1086.9784042133851,75,Queen Gold,12,,Background Gradient Orange,Body 4,Eyes 4 Green,,90,Hairs 6 White,85,Bullet Gold,Mouth 1,Queen,Scar 7,
1482,TezoTrooperz #1482,91,1086.6415435041306,80,Indian Robot Blue,14,Green,Background GradientNoise Yellow,Body 4 Dragon White,Eyes 4 Yellow,MakeUp Gow White,90,Hairs 1 Red,80,Ronin Blue,Mouth Smoke,Troop Leader,Scar 1,
670,TezoTrooperz #670,92,1077.5082909564646,75,Queen Base,13,,Background Motif Gradient Green,Body 4 Viking Black,Eyes Cyber 4,MakeUp Indian White 2,90,Queen Base,85,Neck Blackmetal,Mouth Angry,Queen,Scar 3,
55,TezoTrooperz #55,93,1074.8682820009954,90,Ghost Grey,13,,Background Motif Red,Body 3 Dragon blue red,Eyes 3 Green,Viking Mustache Black,95,Hairs 2 White,60,Logo Gold,Mouth 4,Warrior,Scar 8,
886,TezoTrooperz #886,94,1073.1369611724522,80,Cowboy Gold,12,,Background GradientNoise Green,Body 1,Eyes 3 Brown,,90,Indian Robot Black,80,Plate Troopleader,Mouth Angry,Troop Leader,Scar 1,
98,TezoTrooperz #98,95,1068.8716273831665,80,Massai Green,13,,Background Gradient DeepBlue,Body 4 Dragon White,Eyes 4 Blue,MakeUp Viking Blue 2,90,SpecialForce Black,80,Neck Gold,Mouth Toothpick,Troop Leader,Scar 2,
804,TezoTrooperz #804,96,1065.868283566433,85,SpecialForce Blue,12,,Background Gradient Yellow,Body 2 CyberSkin Black,Eyes 4 Brown,,90,Viking Black,70,Logo Grey,Mouth 1,Long Range,Scar 8,
1232,TezoTrooperz #1232,97,1063.7270307048652,90,Ghost Brown,11,,Background Motif Gradient Blue,Body 2 Dragon Blue,Eyes 4 Brown,,95,Cowboy Orange,60,,Mouth 5,Warrior,Scar 3,
67,TezoTrooperz #67,98,1061.9966492781632,85,SpecialForce Base,14,Blue,Background Gradient Yellow,Body 1 CyberSkin Black,Eyes 3 Yellow,MakeUp Blue Pink,90,Hairs 5 White,70,Plate Queen,Mouth 4,Long Range,Scar 6,
307,TezoTrooperz #307,99,1057.5792652150699,85,Ronin Blue,14,Green,Background GradientNoise Green,Body 4 Fanatic Green,Eyes Cyber 6,Viking Beard _ Mustache White,90,Hairs 4 Light Blond,70,Massai Gold,Mouth 2,Long Range,Scar 10,
330,TezoTrooperz #330,100,1056.3492562737295,90,Ghost Gold,11,,Background Line Red,Body 1 Dragon blue,Eyes 3 Blue,Viking Mustache Blond,95,Viking Blue,60,,Mouth 3,Warrior,,
1392,TezoTrooperz #1392,101,1055.1124514516052,90,Cowboy Black,13,Pink,Background GradientNoise Green,Body 1 Dragon Grey,Eyes 3 Yellow,,95,Ghost Green,60,Viking Blackmetal,Mouth 4,Warrior,Scar 2,
580,TezoTrooperz #580,102,1054.7816703747492,90,Mercenary Cape Gold,14,Purple,Background GradientNoise Yellow,Body 1 Dragon,Eyes 1 Yellow,Cowboy Mustache Light Blond,95,Hairs 3 Black,60,Military Plate Futurist Blue,Mouth 5,Warrior,Scar 6,
1145,TezoTrooperz #1145,103,1054.199638125196,90,Viking Yellow,12,,Background Gradient DeepBlue,Body 3 CyberSkin Black,Eyes 2 Red,Mask Green,95,Hairs 4 White,60,Bullet Base,Mouth Angry,Warrior,,
1433,TezoTrooperz #1433,104,1051.614578197235,90,SpecialForce Orange,13,Blue,Background Gradient Blue,Body 4 Dragon Blue,Eyes 2 Brown,,95,Cowboy Blue,60,Viking White,Mouth Toothpick,Warrior,Scar 4,
1523,TezoTrooperz #1523,105,1042.4923013524256,75,Queen Base,11,,Background Gradient Blue,Body 2 Viking Red,Eyes Cyber 3,MakeUp Indian Blue 3,90,Queen Base,85,,Mouth 3,Queen,,
92,TezoTrooperz #92,106,1041.9808769445035,85,Ronin Red,14,Red,Background Legend Red,Body 1 Yakusa Purple,Eyes Cyber 7,Cowboy Mustache Light Blond,90,Hairs1 White,70,Plate LongRange,Mouth 5,Long Range,Scar 9,
636,TezoTrooperz #636,107,1037.7601805858008,90,SpecialForce Base,13,,Background GradientNoise Green,Body 2,Eyes 1 Yellow,Cowboy Mustache Blond,95,Commando Base,60,Logo Grey,Mouth 4,Warrior,Scar 7,
786,TezoTrooperz #786,108,1026.9695497530918,85,Ghost Brown,12,,Background Gradient Orange,Body 3 Viking Black,Eyes Cyber 9,Cowboy Mustache Black,90,Commando Red,70,Massai Blackmetal,Mouth 3,Long Range,,
1513,TezoTrooperz #1513,109,1026.1217798112036,85,Commando Black,12,,Background Gradient DeepBlue,Body 3 Massai blue 2,Eyes Cyber 2,,90,Hairs1 White,70,Viking Metal,Mouth 5,Long Range,Scar 1,
187,TezoTrooperz #187,110,1025.8965638342083,80,Commando Gold,13,,Background GradientNoise Yellow,Body 1 Massai Brown 2,Eyes 1 Red,Viking Beard _ Mustache Brown,90,Hairs 3 White,80,Military Plate Futurist Red,Mouth 4,Troop Leader,Scar 7,
1503,TezoTrooperz #1503,111,1020.9590176344218,75,Ronin Red,14,Red,Background Motif Yellow,Body 1 Dragon Gray,Eyes 2 Yellow,Viking Mustache Black,90,Mercenary No Glass Black,85,Plate LongRange,Mouth 3,King,Scar 2,
1304,TezoTrooperz #1304,112,1018.8484193358113,90,Indian Black,13,Pink,Background Motif Orange,Body 4 Dragon Blue Yellow,Eyes Cyber 7,,95,Indian Blue,60,Viking Metal,Mouth 5,Warrior,Scar 2,
1501,TezoTrooperz #1501,113,1018.5478987798682,85,Mercenary Cape Red,13,,Background GradientNoise Yellow,Body 2 Dragon,Eyes 2 Green,Cowboy Mustache Black,90,SpecialForce Orange,70,Massai Gold,Mouth 1,Long Range,Scar 1,
401,TezoTrooperz #401,114,1011.85239473188,80,SpecialForce Green,13,,Background GradientNoise Blue,Body 4 Viking Red,Eyes 2 Sith,Cowboy Mustache Brown,90,Hairs 5 Blond,80,Viking White,Mouth 5,Troop Leader,Scar 2,
985,TezoTrooperz #985,115,1006.4832697255446,90,Cowboy Blue,13,Blue,Background GradientNoise Blue,Body 4 Fanatic Red,Eyes 1 Rinnengan,Mask White Gold,95,SpecialForce Base,60,Logo Black,Mouth 2,Warrior,,
