ID,Name,Rank,Rarity_Score,Animal-Scores,Attributes-Scores,Background-Scores,Body-Scores,Clothes-Scores,Expression-Scores,Eyewear-Scores,Headwear-Scores
2518,past the retiring,222,341.9233251711233,3,1,27,4,272,27,4,
863,have continued singing,223,341.62374808108103,3,1,11,12,30,272,,10
1533,company had been,224,340.87741447188216,3,1,6,7,300,11,,9
2498,and confessed to,225,339.4504908139744,3,1,7,4,250,35,,37
2721,or that if,226,339.03465725501627,3,1,6,9,272,34,,10
2557,"lost, the whole",227,339.0197069620007,3,1,6,7,250,60,,9
1353,violent debates. At,228,338.77135648131093,3,2,6,9,272,11,21,10
1030,seemed uneasy for,229,338.5954983296663,3,2,23,7,272,14,4,9
2608,in the store-shed,230,337.5477053754995,3,1,15,29,230,46,,10
539,rich and free.,231,336.876793280403,3,1,11,8,28,272,,10
2687,just noticed this,232,335.83788878018254,3,1,6,7,272,34,,9
1769,the Sunday-morning Meetings,233,335.485887529186,3,1,6,4,272,28,,17
2633,had protested when,234,334.84769665837956,3,2,24,4,250,35,4,10
541,"we do? Why,",235,332.02324716072206,3,2,6,7,12,272,4,22
1938,of his voice.,236,330.40703795276204,3,2,6,4,272,27,4,8
2953,really some old,237,328.2570180472373,3,2,15,9,250,11,24,10
2650,Throughout the spring,238,326.64330863390404,3,10,6,4,272,29,,
244,animals were now,239,326.6345596012164,3,2,20,9,103,88,81,18
3000,as a kind,240,325.9940471616894,3,1,31,7,230,42,,8
2590,was given out,241,322.43184740048116,3,1,7,4,12,42,250,
395,he does not,242,321.25484959188975,3,1,6,4,12,272,19,
1405,"was ""I will",243,320.3113280557976,3,1,31,24,230,17,,11
995,Mr. Jones was,244,318.4578965448384,3,1,6,7,68,88,,142
2314,buried in the,245,318.0633036963175,3,1,20,29,230,11,,20
1139,superannuated animals had,246,317.55892202157537,3,1,6,166,23,32,,83
2144,harness-room at the,246,317.55892202157537,3,1,6,166,23,32,,83
821,future time. The,248,317.21805360314124,3,2,31,7,15,17,96,142
176,never laughed. If,249,317.16343936802826,3,1,6,7,15,272,,10
1951,planning out the,250,315.84280946151455,3,2,31,7,230,10,19,10
2214,"The solution, as",251,315.52654198235746,3,2,7,4,27,11,250,8
1655,in saying that,252,315.3520831950392,3,1,6,9,250,34,,9
2672,the sorrow that,253,315.07942224312956,3,2,6,8,24,10,250,9
1352,before. But they,254,313.8454547325648,3,10,11,4,272,11,,
292,living. It is,255,311.76891815507184,3,1,6,4,12,272,,9
2596,"stone, and drag",256,310.6885888460673,3,1,7,4,272,12,,8
2440,called Animal Committees.,257,308.7081821321691,3,2,22,4,230,28,4,11
1332,at Snowball's drawings,258,308.15660638380064,3,1,6,4,272,10,,8
785,"from our back,",259,307.43673419110195,3,10,7,4,,272,,9
2815,in the beginning,260,306.33534417460794,3,1,6,7,250,17,19,
2378,they are going,261,306.09612524468696,3,1,6,4,,17,250,22
1184,old dim eyes,262,304.5274662196381,3,1,24,7,176,42,,48
1765,"said, lay in",263,301.4409537945825,3,1,23,12,230,20,,9
2563,kill any other,264,300.30632203287496,3,1,7,12,250,17,,8
2111,creatures whom they,265,300.19662512272487,3,1,6,9,230,11,,36
1341,and especially the,266,299.7361681750679,3,1,11,4,142,20,,115
2355,"go, then paused",266,299.7361681750679,3,1,11,4,142,20,,115
848,Beasts of England,268,297.53234277573426,3,2,49,4,120,42,19,55
2480,a couple of,269,296.89646596142956,3,2,7,4,176,88,4,10
1697,was given out,270,295.9103012692518,3,1,23,9,103,38,,115
2482,But at this,271,287.6395290850033,3,10,6,130,103,34,,
245,"present except Moses,",272,287.46780237271463,3,1,20,7,23,88,,142
1567,mornings than the,273,285.9569808157687,3,1,7,4,250,10,,8
1743,full of sympathy,274,282.1590816275782,3,2,7,96,136,20,4,10
2000,by themselves and,275,281.72455744685163,3,1,6,8,230,20,,10
1354,was a pig,276,281.03877873909414,3,2,31,130,48,32,24,8
1403,he decided to,277,280.00744853504807,3,1,20,130,88,27,,8
818,Hearken well and,278,277.9299599161918,3,1,7,4,103,14,,142
2731,Animal Farm in,279,275.1159584313896,3,1,23,7,103,20,,115
2273,soon as they,280,273.67165330504054,3,1,31,166,48,12,,9
1075,stone against Jones's,281,268.788337376468,3,2,6,9,176,28,30,11
2369,air hungrily and,282,266.0482577984203,3,2,31,130,48,11,30,8
1617,and the principles,283,265.58958200307944,3,2,6,8,176,38,19,10
2392,of the hay,284,264.8737229143229,3,2,20,166,30,11,19,10
2429,solve was how,285,264.4348329921422,3,2,7,166,58,11,4,9
543,"day, body and",286,264.25696263660785,3,2,49,4,12,58,96,36
2521,Snowball now gave,287,261.92367792554944,3,2,18,7,30,60,19,120
1771,at this moment,288,260.8859221758276,3,1,31,130,73,12,,8
136,as strong as,289,260.04115557196906,3,1,22,4,120,10,96,
2961,"on Midsummer Day,",290,259.40887992759843,3,1,18,29,176,10,19,
1376,"Boxer, between the",291,258.07100182588755,3,2,20,166,23,11,19,10
2888,None of the,292,257.9411219809567,3,2,15,130,12,42,30,20
1243,grow enthusiastic about,293,257.8739921136006,3,2,6,4,88,88,4,60
2252,in the name,293,257.8739921136006,3,2,6,4,88,88,4,60
2337,milked for twenty-four,295,256.38400650489586,3,2,20,130,30,42,4,22
1262,more troublesome. She was,296,255.28455653084697,3,1,31,166,30,12,,9
153,"white goat, and",297,255.27461249149275,3,2,18,8,103,11,96,10
1146,a full investigation,298,255.23649770598502,3,2,20,9,176,20,4,17
441,"last year, and",299,254.7396503982621,3,2,23,7,11,58,4,142
2851,farms ten or,300,254.47649259834893,3,2,49,4,12,42,19,120
1511,when they were,301,253.9447072995926,3,1,18,166,13,32,,18
2985,And–I was a,302,253.30866925907725,3,1,20,96,100,20,,10
2484,promptly sat down,303,252.88575559122435,3,2,11,7,150,46,21,10
2678,than the hungry,304,252.68534836901992,3,1,20,8,142,66,,9
1788,be. For the,305,252.45684829452472,3,2,7,96,100,11,21,9
2827,Thou are the,305,252.45684829452472,3,2,7,96,100,11,21,9
2391,Within a few,307,252.04698898891084,3,1,20,29,176,12,,8
2051,according to his,308,249.74726584502503,3,2,7,4,176,27,19,8
2648,referred throughout to,309,248.70601833186637,3,2,6,9,176,20,19,10
1411,that their lives,310,248.46844643752044,3,2,7,166,42,11,4,9
974,he was arguing,311,248.24501490774614,3,1,20,4,120,88,,9
1815,yard and rushed,312,247.883786679138,3,1,31,7,136,58,,8
2072,sounded from Napoleon's,313,247.15761785177605,3,1,18,27,176,14,4,
83,but he was,314,246.7278280433617,3,1,6,9,23,58,,142
1921,"now stole, it",315,246.55710615569373,3,1,31,166,12,20,,10
2963,animal. The Meeting,315,246.55710615569373,3,1,31,166,12,20,,10
2854,windmill had been.,317,246.4939999952337,3,1,31,29,136,35,,8
1115,his head. His,318,246.13981949449928,3,10,18,166,30,17,,
1286,green flag which,319,244.8328848923294,3,1,18,130,12,66,,11
2464,"an hour later,",320,244.63499180942776,3,2,31,29,150,11,4,11
2541,clean straw to,321,244.2063410681181,3,2,6,29,100,88,4,9
2120,been felt that,322,243.30535237431786,3,10,18,166,27,17,,
856,quacked it. They,323,243.08626472328072,3,2,24,7,23,17,81,83
697,tell you about,324,242.58762095449586,3,2,18,8,30,17,19,142
731,dream. And what,325,242.18936414108305,3,1,7,4,23,58,,142
2984,abnormal and was,326,242.02546766917717,3,1,11,9,136,60,19,
1710,grazed at their,327,241.61222678904912,3,2,18,24,142,20,19,9
1324,the timber was,328,241.3046414255308,3,2,20,130,30,27,4,22
246,"the tame raven,",329,241.21600933228717,3,2,22,4,103,11,81,11
1664,straight into the,330,240.81130999694255,3,2,6,24,176,14,4,8
1458,"Snowball, at the",331,239.83510259457623,3,2,31,8,150,14,21,8
2448,"blood, and for",332,239.35170416619343,3,2,7,29,44,28,4,120
2806,last one had,333,238.32626625041075,3,1,7,12,142,66,4,
692,must ever kill,334,238.10125225724028,3,2,49,7,120,14,4,36
214,"moment Mollie, the",335,237.44224335194895,3,2,24,7,15,66,81,37
2952,build it would,336,237.38970938842243,3,2,22,29,136,11,19,11
973,"talker, and when",337,234.90450532158516,3,1,15,12,30,29,,142
1677,in between times.,338,234.4330423365154,3,2,18,130,12,29,19,18
1203,the admirable care,339,234.40217902732803,3,2,6,130,30,29,21,10
2533,"on Snowball's back,",340,233.54435029334502,3,1,18,166,13,11,,18
1463,needed re-seeding; but,341,233.15732192603141,3,1,11,9,150,46,,10
668,him. Even when,342,231.76308205158384,3,1,11,8,30,34,,142
2190,bothering to feed,343,230.86877197270857,3,1,24,29,88,35,,48
1660,was its correct,344,230.49347710668764,3,1,31,12,103,66,,11
1375,They were still,345,230.3275319753362,3,1,20,7,176,12,,8
1504,out of his,346,230.1249649785349,3,2,31,9,150,10,4,18
639,was agreed by,347,229.30896845149314,3,2,18,7,28,11,96,60
1125,pink medicine which,348,228.90775532566016,3,2,7,4,150,38,4,17
1943,at this moment!,349,228.66085231222553,3,2,6,4,176,12,4,18
2526,"thought so,"" he",350,227.8834978364055,3,2,31,7,150,10,4,18
2737,had still to,351,226.50106855377174,3,1,18,29,142,12,,18
1830,"a warm, rich,",352,225.46919401962296,3,1,24,4,150,20,,20
2900,and reinstate Mr.,353,225.24445128646167,3,2,6,7,30,34,21,120
808,Though we die,354,225.15180867093048,3,1,22,12,120,42,,22
1056,a carrot or,355,224.95928618206813,3,1,15,166,12,14,,10
476,myself I do,356,224.39544246532992,3,2,22,8,120,11,19,36
2869,EQUAL BUT SOME,357,222.99982177735936,3,1,24,8,150,14,,20
1443,"first to speak,",358,222.9155347958531,3,2,31,7,150,11,4,11
1798,was useless for,359,222.38919233825172,3,2,6,24,136,11,19,18
712,I was a,360,221.95094291079764,3,2,18,12,120,27,19,18
1698,them that he,361,221.94447221766387,3,10,6,8,176,17,,
2057,"his black wings,",362,221.8916205576212,3,1,15,166,12,11,,10
843,few minutes. And,363,221.78416132801382,3,2,27,12,103,58,4,9
1942,never heard mention,364,221.49048744089544,3,1,20,96,68,20,,10
2732,cooking barley. The,365,221.3723171000542,3,10,6,7,176,17,,
181,"Nevertheless, without openly",366,221.10631183600873,3,2,27,8,120,28,21,10
1023,"grass, they kicked",367,221.02335044706942,3,2,23,4,136,12,30,8
2024,"""we have our",367,221.02335044706942,3,2,23,4,136,12,30,8
1772,their wits. After,369,220.92055608917863,3,1,22,130,12,27,,22
192,The two horses,370,220.53912691820582,3,1,24,4,15,28,,142
827,"reached the end,",371,219.89948618408746,3,2,6,8,11,88,81,18
2089,devoted follower of,372,219.66661386065596,3,1,15,4,142,32,19,
2479,not knock it,373,219.45726402009294,3,2,31,7,150,11,4,8
358,of ours would,374,219.4059684653328,3,2,15,4,28,17,4,142
770,"and clime, Hearken",375,218.96279222044225,3,2,6,4,30,66,96,8
1026,themselves in agreement,376,218.94951127473462,3,2,6,24,150,17,4,10
2850,the Commandment for,377,218.00303827750375,3,1,7,130,24,42,,8
2833,clamoured to be,378,217.89113103974054,3,1,7,9,100,12,,83
661,"legs, or has",379,217.8818401079393,3,2,6,7,23,11,19,142
2688,slaughtered. Then a,380,217.23338830688292,3,2,49,7,12,17,4,120
2885,to rush out,381,216.95295444459916,3,1,7,12,44,28,,120
788,Cruel whips no,382,216.37672871414492,3,1,6,4,27,29,,142
2053,Bone-Meal. Kennels Supplied.',383,216.37484656495957,3,1,22,9,103,66,,8
1794,breath. Three days,384,216.2218190152208,3,1,7,8,100,12,,83
2745,thoroughly grasped it,385,216.045217764748,3,2,18,4,142,14,19,9
1911,and more easily,386,215.6702523748478,3,2,22,7,136,11,19,11
2727,There was also,387,215.20716109683246,3,2,6,9,100,60,24,8
987,had elaborated old,388,215.10375168227011,3,2,24,7,12,17,4,142
897,moment.,389,214.9636367886624,3,2,6,9,27,88,21,55
2027,easily drove the,390,214.45283530091035,3,2,6,4,150,32,4,10
1573,half a dozen,391,213.89075096374805,3,2,31,130,12,17,4,11
2602,"spirit, comrade!"" cried",392,213.58827062497008,3,2,31,130,12,17,4,11
2388,it might be,393,213.508950498905,3,1,6,4,142,32,,22
2876,"executed immediately, and",394,213.34420599238214,3,1,6,29,150,12,,9
463,for your four,395,213.3038472579783,3,1,15,8,30,38,,115
1575,they had had,396,212.91543582434053,3,2,7,4,150,17,19,8
