ID,Name,Rank,Rarity_Score,Attributes,Background,Clothes,Degen Level,Ear rings,Eyes,Fur color,Head,Hood,Legendary,Mouth,Mutation,Nose piercing,Object,Tattoo
4002,Degen Fox #4002,25,806.9158397415,9,Rays green,No sleeve white,Noob,,02 blue,black,Hair03 green,,,9,,2,,btc
581,Degen Fox #581,26,800.1530337842,10,City red,T-shirt Scratch,Noob,1,05 spyral,red,Hair03 green,,,8,,,Rose,2
2826,Degen Fox #2826,27,786.3992720919,8,Bridge blue,No sleeve blue,Noob,,04 green,violet,Panama hat green,,,15 bored,,,,1
4169,Degen Fox #4169,28,778.4119397612,8,Bridge yellow,No sleeve black,Noob,,04 blue,pink,Hair01 pink,,,3,,,,1
351,Degen Fox #351,29,774.6736617933,9,Basic blue,Bathrobe 01,Noob,,Golden glasses,pink,Hair04 black,,,10,Bat wings,6,,
2299,Degen Fox #2299,30,759.5467912262,10,Party red,Fur coat zebra,Noob,4,08 tezos,red,SP glasses + hair03,,,6,,5,Rose,
4097,Degen Fox #4097,31,736.7875356367,8,Basic blue,Hawaii trees,Noob,,03 green,white,SP glasses + hair08,,,9,,,,wing
2670,Degen Fox #2670,32,722.6821335433,9,Rays blue,Bomber03,Noob,,04 green,black,SP glasses + hair08,,,8,,1,Rose,
1453,Degen Fox #1453,33,718.9215480328,8,City red,Turtleneck green,Noob,,08 emerald,black,SP glasses + hair03,,,12,,3,,
3304,Degen Fox #3304,34,718.2138046296,8,Rays blue,Black,Noob,1,04 green,green,SP glasses + hair08,,,05 no tooth,,,,
1685,Degen Fox #1685,35,716.3450091005,9,Bridge violet,Turtleneck green,Noob,5,04 yellow,pink,SP glasses + hair08,,,12,,1,,
330,Degen Fox #330,36,689.0904592538,8,City red,T-shirt Spots,Noob,5,04 green,black,SP glasses + hair08,,,3,,,,
3808,Degen Fox #3808,37,682.0825389422,8,Moon violet,T-shirt Eagle,Noob,3,04 yellow,green,SP glasses + hair08,,,8,,,,
1969,Degen Fox #1969,38,676.9274918105,7,Rays red,Hoodie golden,Noob,,04 green,green snake,SP glasses + hair08,,,11 pipe,,,,
744,Degen Fox #744,39,674.7790238027,9,City red,T-shirt Web,Noob,1,08 dollar,red,Red,,,14 candy,Bat wings,,,
3757,Degen Fox #3757,40,672.8327318928,8,Basic red,Jacket red,Noob,1,04 green,white,SP glasses + hair08,,,1,,,,
3440,Degen Fox #3440,41,646.1375052008,8,Moon blue,Bomber02,Noob,,Golden glasses,violet,Hair03 green,,,2,,,Rose,
3364,Degen Fox #3364,42,645.5578823416,10,Party blue,T-shirt blue,Noob,,04 green,black,Cowboy hat,,,11 pipe,Swan wings,2,,2
1764,Degen Fox #1764,43,638.9392370881,9,City red,No sleeve blue,Noob,,08 sapphire,white,Cowboy hat pink,,,2,Swan wings,,,3
1388,Degen Fox #1388,44,634.5911462596,8,Basic red,No sleeve black,Noob,,08 dollar,red,,,,1,,3,,tezos
4188,Degen Fox #4188,45,619.8396439531,8,Party red,Hoodie stripes,Noob,,01 green,Color,Hair05 blue,,,12,Bat wings,,,
3067,Degen Fox #3067,46,598.1886810182,8,Bridge yellow,T-shirt Scratch,Noob,,08 ruby,black,Cylinder Hat,,,8,Bat wings,,,
2272,Degen Fox #2272,47,597.1339043006,8,Party blue,Hoodie + hood 01,Noob,,02 blue,black,,Hood 02,,6,Bat wings,,,
3325,Degen Fox #3325,48,590.1083846592,9,Basic red,No sleeve blue,Noob,,03 green,green,Tz Cap,,,1,,5,,btc
3191,Degen Fox #3191,49,579.6365961105,8,Moon blue,Suit Black,Noob,,08 btc,Red tiger,Cylinder Hat,,,10,Bat wings,,,
111,Degen Fox #111,50,563.8151025855,10,City red,No sleeve blue,Elite,3,7,pink,Hair05 yellow,,,9,,1,,3
2074,Degen Fox #2074,51,563.6021420351,8,Bridge violet,Suit stripes,Noob,,Pineapple glasses,Color,Construction helmet,,,14 candy,Swan wings,,,
1449,Degen Fox #1449,52,558.2659282497,7,Party blue,Shirt short sleeve red,Noob,,Pineapple glasses,black,Hair03 green,,,8,,,,
214,Degen Fox #214,53,555.3551648772,8,Basic blue,Jacket black,Noob,,04 yellow,pink,Red,,,10,Bat wings,,,
2076,Degen Fox #2076,54,551.582210357,9,Basic red,No sleeve blue,Noob,5,Heart glasses,white,,,,8,,1,,btc
686,Degen Fox #686,55,550.3449267543,9,City red,Bathrobe 01,Noob,,02 color,red,Cowboy hat,,,10,Bat wings,,Rose,
1677,Degen Fox #1677,56,542.0683491796,9,City red,T-shirt Eagle,Noob,,7,white,Hair03 green,,,3,,1,Martini,
3106,Degen Fox #3106,57,538.963733628,7,Basic green,Fur coat zebra,Elite,,04 yellow,Red tiger,,,,1,Bat wings,,,
660,Degen Fox #660,58,536.0728106349,7,Basic green,Jacket black,Noob,,08 onyx,red,Hair03 green,,,2,,,,
1209,Degen Fox #1209,59,532.8926610327,8,Bridge violet,Hawaii trees,Noob,,Heart glasses,Red tiger,Hair07 blue,,,8,Swan wings,,,
3955,Degen Fox #3955,60,522.6135319267,8,Party blue,Jacket brown,Noob,,04 yellow,red,Panama hat,,,8,Bat wings,,,
246,Degen Fox #246,61,519.2833761386,8,City blue,Hoodie golden,Noob,5,VR,white,Tz Cap,,,8,,,,
2375,Degen Fox #2375,62,519.0931961119,10,Moon violet,T-shirt black,Noob,4,5,black,Hair02 violet,,,05 no tooth,,6,Martini,
423,Degen Fox #423,63,518.272163589,7,Rays blue,Suit White,Noob,,01 blue,red,Hair03 green,,,1,,,,
2182,Degen Fox #2182,64,515.4755911353,9,City red,No sleeve blue,Noob,,02 color,red,Cylinder Hat,,,8,,6,,btc
4022,Degen Fox #4022,65,514.9326257902,9,City blue,T-shirt cards,Noob,1,02 color,red,Hair03 blue,,,1,,,,wing
3050,Degen Fox #3050,66,503.2665823362,8,Bridge yellow,Bulletproof,Noob,,Fire glasses,pink,Hair08 blue,,,8,,3,,
3845,Degen Fox #3845,67,501.9978194922,10,Bridge blue,No sleeve black,Noob,4,04 green,pink,Hair07 violet,,,1,,5,,3
2105,Degen Fox #2105,68,501.4673882617,9,Party red,No sleeve white,Noob,1,06 red,red,Hair07 blue,,,10,,,,tezos
3758,Degen Fox #3758,69,500.9316090239,7,Party blue,Vest red,Elite,,03 green,Color,SP glasses + hair03,,,14 candy,,,,
2335,Degen Fox #2335,70,500.7051113326,10,Party blue,T-shirt flipit,Noob,2,5,violet,HeadPhones,,,9,,,Martini,wing
1948,Degen Fox #1948,71,497.5221323481,10,Basic red,T-shirt Eagle,Noob,4,Dollar glasses,black,Hair06 violet,,,12,,5,Wine,
2164,Degen Fox #2164,72,496.9580460666,8,Bridge yellow,Hawaii flowers,Noob,5,08 btc,green snake,Hair03 blue,,,10,,,,
2799,Degen Fox #2799,73,496.6570934449,9,Rays red,Classic Vest,Noob,,Nerdy glasses,black,Hair02 grey,,,10,,3,Wine,
3391,Degen Fox #3391,74,496.2075783739,9,City blue,Classic Vest,Noob,,VR,red,Hair02 violet,,,7,,5,Rose,
2172,Degen Fox #2172,75,495.6936862084,9,Moon violet,Bomber02,Noob,4,Simple glasses,Color,Crown,,,3,,1,,
431,Degen Fox #431,76,495.1330238845,10,Moon blue,T-shirt black,Noob,,08 ruby,white,Construction helmet,,,2,,5,Martini,2
528,Degen Fox #528,77,493.2105278172,8,Bridge violet,T-shirt cards,Noob,5,7,red,Hair03 green,,,10,,,,
51,Degen Fox #51,78,492.5329396848,9,Moon violet,Bathrobe 01,Noob,,04 blue,pink,SP glasses + hair02,,,12,,6,Wine,
2217,Degen Fox #2217,79,491.19754916,10,Party red,T-shirt EYES,Noob,,04 yellow,Color,Hair08 blue,,,3,,6,Short,2
1888,Degen Fox #1888,80,489.5173705234,8,Moon violet,Jacket brown,Noob,,Golden glasses,black,Hair02 grey,,,10,,3,,
1246,Degen Fox #1246,81,486.5229878869,9,Rays green,T-shirt casino,Noob,4,01 blue,white,,,,10,Swan wings,,Rose,
1876,Degen Fox #1876,82,486.513632035,8,Rays red,T-shirt chips,Noob,,7,Red tiger,SP glasses + hair03,,,3,,,Short,
131,Degen Fox #131,83,484.8739837247,8,Moon violet,Fur coat leopard,Noob,,02 color,white,SP glasses + hair03,,,04 rainbow,,1,,
1464,Degen Fox #1464,84,484.5427214776,8,Bridge violet,Vest red,Noob,,04 yellow,pink,Hair03 green,,,10,,,Rose,
3964,Degen Fox #3964,85,484.3117196804,8,Rays blue,Hawaii flowers,Noob,,04 blue,pink,Hair03 green,,,10,,1,,
2231,Degen Fox #2231,86,481.3597772563,7,Rays blue,,Noob,,Golden glasses,violet,Knitted hat,,,10,,,,btc
4049,Degen Fox #4049,87,480.3853024543,9,City blue,Hawaii flowers,Noob,1,04 blue,Color,Hair03 blue,,,04 rainbow,,,,2
3188,Degen Fox #3188,88,480.0616502733,9,Basic blue,T-shirt pink,Noob,1,06 red,Red tiger,SP glasses + hair02,,,8,,,,2
1774,Degen Fox #1774,89,479.2660074565,8,City blue,Classic Vest,Noob,3,04 blue,black,SP glasses + hair03,,,9,,,,
3882,Degen Fox #3882,90,478.673708152,8,City red,T-shirt Web,Noob,,04 blue,Red tiger,SP glasses + hair03,,,15 bored,,,,2
1753,Degen Fox #1753,91,477.0498606897,10,City red,Bomber02,Noob,2,7,pink,Hair08 blue,,,10,,6,Rose,
272,Degen Fox #272,92,474.0998505028,7,Moon blue,,Elite,,08 emerald,green,Cowboy hat pink,,,3,,,,btc
1977,Degen Fox #1977,93,473.4422943313,7,Bridge blue,Hoodie golden,Noob,,08 btc,black,Hair03 blue,,,6,,,,
3949,Degen Fox #3949,94,472.4669654375,7,Rays blue,Bomber03,Noob,,04 yellow,violet,Hair03 blue,,,13 cigar,,,,
1818,Degen Fox #1818,95,469.8666094936,10,City blue,Bomber02,Noob,4,08 ruby,green snake,Hair01 pink,,,10,,1,Rose,
3727,Degen Fox #3727,96,467.5515608105,9,Basic green,No sleeve blue,Noob,,03 red,Color,Hair02 grey,,,2,,1,,tezos
3432,Degen Fox #3432,97,464.8446753834,9,Moon violet,T-shirt EYES,Noob,1,02 color,red,Hair06 violet,,,2,Swan wings,,,
2732,Degen Fox #2732,98,464.210090468,9,City red,Jacket red,Noob,1,08 ruby,black,Crown,,,6,,,Short,
1647,Degen Fox #1647,99,462.4271244318,10,Moon violet,Hawaii flowers,Noob,1,08 btc,red,Hair08 blue,,,9,,5,Rose,
1054,Degen Fox #1054,100,462.3172106384,8,City blue,Fur coat zebra,Noob,1,04 blue,red,SP glasses + hair03,,,12,,,,
2285,Degen Fox #2285,101,461.3374044762,9,Rays blue,No sleeve black,Noob,,04 yellow,black,Hair02 grey,,,15 bored,,,Martini,tezos
670,Degen Fox #670,102,460.036563681,7,Party red,Hoodie stripes,Noob,,04 blue,red,Hair03 green,,,10,,,,
3650,Degen Fox #3650,103,459.4406453487,9,Party blue,No sleeve blue,Noob,3,01 green,red,Crown,,,13 cigar,,5,,
2800,Degen Fox #2800,104,458.8668145472,9,Bridge blue,No sleeve black,Noob,,02 blue,red,Hair05 yellow,,,1,,5,,btc
1831,Degen Fox #1831,105,457.8010451849,8,Basic red,Bathrobe 01,Noob,,02 color,red,SP glasses + hair03,,,2,,,Short,
1541,Degen Fox #1541,106,456.7539625055,9,Rays red,No sleeve black,Noob,,01 green,black,Crown,,,14 candy,,4,,2
829,Degen Fox #829,107,455.4098613744,8,Rays blue,White,Noob,5,VR,green snake,Hair06 violet,,,15 bored,,,,
1507,Degen Fox #1507,108,454.3756158519,7,Basic red,Shirt short sleeve,Noob,,03 green,green,Hair03 green,,,2,,,,
1457,Degen Fox #1457,109,447.5080278912,9,Bridge violet,Vest red,Noob,,7,green,Cowboy hat,,,15 bored,Swan wings,2,,
2072,Degen Fox #2072,110,447.0769428251,7,Bridge yellow,Black,Noob,,VR,green,Hair08 blue,,,13 cigar,,,,
2550,Degen Fox #2550,111,446.6368629149,7,Basic red,Jacket red,Noob,,04 blue,green snake,SP glasses + hair03,,,8,,,,
2749,Degen Fox #2749,112,445.508591354,7,Moon blue,Fur coat leopard,Noob,,04 yellow,green,SP glasses + hair03,,,8,,,,
523,Degen Fox #523,113,444.3960881298,9,City red,T-shirt casino,Noob,1,03 green,red,Hair03 blue,,,10,,,Wine,
3956,Degen Fox #3956,114,443.9872418956,7,Moon blue,T-shirt EYES,Noob,,04 green,Red tiger,SP glasses + hair03,,,04 rainbow,,,,
4265,Degen Fox #4265,115,441.5774990931,7,Bridge blue,Jacket black,Noob,,01 green,red,Hair03 blue,,,2,,,,
1300,Degen Fox #1300,116,440.5063389458,8,Party blue,No sleeve white,Noob,,03 green,Color,Helmet,,,13 cigar,,,,btc
4180,Degen Fox #4180,117,440.3708350151,8,Rays blue,Jacket red,Noob,,08 lazer,violet,Cowboy hat,,,8,,3,,
653,Degen Fox #653,118,440.1493644683,8,City blue,Hoodie + hood 03,Noob,,7,pink,,Hood 01,,1,Swan wings,,,
808,Degen Fox #808,119,439.4963647492,8,City red,Bathrobe 02,Noob,5,03 green,green snake,Hair03 blue,,,10,,,,
897,Degen Fox #897,120,438.7324389157,7,Rays red,Bathrobe 02,Noob,,04 blue,Red tiger,SP glasses + hair03,,,2,,,,
2984,Degen Fox #2984,121,438.2095919844,10,Basic blue,T-shirt candles,Noob,4,04 blue,Color,Hair02 grey,,,2,,5,,wing
2391,Degen Fox #2391,122,437.5097027373,10,Basic green,T-shirt pink,Noob,2,01 green,red,Red,,,10,,,Wine,2
540,Degen Fox #540,123,437.5051534953,8,Bridge blue,Classic Vest,Noob,4,03 lazer,green,Tz Cap,,,7,,,,
1305,Degen Fox #1305,124,436.4266112508,7,City blue,T-shirt Scratch,Noob,,06 red,black,SP glasses + hair02,,,3,,,,
2477,Degen Fox #2477,125,434.9513545541,9,Rays red,No sleeve blue,Noob,,03 green,red,Helmet,,,12,,,Rose,btc
1347,Degen Fox #1347,126,432.9707089798,8,Bridge yellow,Shirt roses,Noob,2,Golden glasses,pink,Tz Cap,,,2,,,,
3836,Degen Fox #3836,127,431.5697971246,8,Party blue,Suit pink,Noob,1,VR,red,Hair07 blue,,,05 no tooth,,,,
4295,Degen Fox #4295,128,428.860300916,8,City blue,T-shirt casino,Noob,4,03 green,red,Hair03 blue,,,9,,,,
391,Degen Fox #391,129,428.7640457458,8,Rays red,Shirt sculls,Noob,,Pineapple glasses,red,Cylinder Hat,,,15 bored,,3,,
2128,Degen Fox #2128,130,427.8766736568,9,Party blue,T-shirt Web,Noob,,04 blue,red,Cowboy hat,,,15 bored,Swan wings,,Short,
2266,Degen Fox #2266,131,426.8814722891,8,Bridge yellow,Suit Pineapple,Elite,,04 blue,violet,,,,9,,3,Short,
2087,Degen Fox #2087,132,426.4302415627,8,Party blue,Shirt yellow,Noob,,08 lazer,Color,Knitted hat,,,2,,3,,
3125,Degen Fox #3125,133,424.3457576504,8,City red,Jacket black,Noob,1,Golden glasses,violet,TDC Cap,,,1,,,,
3709,Degen Fox #3709,134,423.40496037,8,Moon violet,Shirt sculls,Noob,,04 yellow,Color,Panama hat,,,04 rainbow,Swan wings,,,
4018,Degen Fox #4018,135,421.802257642,8,Basic red,Vest red,Noob,,03 green,Red tiger,HeadPhones,,,1,Swan wings,,,
2934,Degen Fox #2934,136,421.4453895051,7,Party blue,Hawaii Tommy,Noob,,02 color,pink,Hair03 blue,,,9,,,,
3302,Degen Fox #3302,137,420.5497301738,10,Basic green,White,Noob,5,04 green,Color,Hair07 violet,,,04 rainbow,,4,Rose,
4280,Degen Fox #4280,138,419.8536321369,8,City red,T-shirt black,Noob,,02 blue,red,,,,12,Swan wings,2,,
919,Degen Fox #919,139,418.6817774157,8,Rays red,Shirt yellow,Noob,4,VR,red,Hair06 violet,,,1,,,,
3156,Degen Fox #3156,140,418.5053869835,7,Basic green,Bomber03,Noob,,02 color,red,Hair03 blue,,,12,,,,
4200,Degen Fox #4200,141,418.4744550845,8,Rays green,Turtleneck green,Noob,,03 green,green snake,Panama hat,,,3,Swan wings,,,
212,Degen Fox #212,142,417.4729937736,9,Rays red,No sleeve blue,Noob,,04 blue,Color,WGMI,,,6,,4,,3
500,Degen Fox #500,143,415.487585923,7,Moon violet,Jacket brown,Noob,,VR,green snake,Brain,,,04 rainbow,,,,
3864,Degen Fox #3864,144,415.4734544675,8,Basic red,T-shirt Eagle,Noob,1,7,white,SP glasses + hair02,,,05 no tooth,,,,
2445,Degen Fox #2445,145,415.1813412721,9,Moon violet,T-shirt flipit,Noob,,04 green,white,HeadPhones,,,2,,3,,2
425,Degen Fox #425,146,414.7511766372,9,Basic red,Bulletproof,Noob,5,Fire glasses,white,Hair01 orange,,,7,,4,,
831,Degen Fox #831,147,414.3007574358,7,Bridge violet,T-shirt candles,Noob,,03 green,Red tiger,Hair03 blue,,,6,,,,
224,Degen Fox #224,148,412.6139619916,7,Bridge violet,,Noob,1,03 lazer,Color,,,,04 rainbow,,,,tezos
737,Degen Fox #737,149,412.6018861156,9,Rays red,Hawaii Tommy,Elite,2,02 blue,white,Crown,,,2,,5,,
3002,Degen Fox #3002,150,412.5466375347,10,Party blue,Fur coat pink,Noob,3,02 color,Color,Hair08 blue,,,1,,4,Rose,
2139,Degen Fox #2139,151,412.2060496788,8,Party blue,Suit stripes,Noob,2,03 green,pink,Hair03 blue,,,1,,,,
2099,Degen Fox #2099,152,411.3742360362,7,Basic green,,Noob,,Dollar glasses,red,Cylinder Hat,,,2,,,,tezos
4125,Degen Fox #4125,153,411.2541398582,8,Bridge yellow,Bomber01,Noob,,VR,white,Hair01 pink,,,1,,,Rose,
1097,Degen Fox #1097,154,410.8633673243,8,Party red,No sleeve white,Noob,,03 red,white,Cylinder Hat,,,12,,,,btc
2057,Degen Fox #2057,155,409.7120470097,8,Basic green,No sleeve white,Noob,1,VR,red,Hair06 violet,,,2,,,,
1756,Degen Fox #1756,156,409.2699222291,7,Bridge violet,T-shirt chips,Noob,,03 red,green snake,SP glasses + hair02,,,04 rainbow,,,,
2504,Degen Fox #2504,157,407.1152146189,8,Party blue,No sleeve blue,Noob,2,04 green,white,,,,04 rainbow,,,,tezos
1927,Degen Fox #1927,158,405.8521221278,8,Rays blue,Suit Pineapple,Noob,1,03 red,Red tiger,SP glasses + hair02,,,8,,,,
603,Degen Fox #603,159,405.251252936,8,Moon violet,Black,Elite,3,Fire glasses,pink,Hair06,,,13 cigar,,,,
2457,Degen Fox #2457,160,405.2317356314,9,Bridge blue,Suit Black,Noob,,02 blue,Color,Crown,,,6,,4,Short,
1044,Degen Fox #1044,161,403.8009713876,8,Bridge violet,No sleeve white,Noob,,03 red,Color,Panama hat green,,,10,,,,tezos
779,Degen Fox #779,162,402.903757805,10,Party blue,Bathrobe 01,Noob,3,03 green,pink,Hair04 white,,,6,,4,Rose,
2473,Degen Fox #2473,163,400.0348663936,8,Basic green,No sleeve black,Noob,4,04 green,red,,,,2,,,,btc
1615,Degen Fox #1615,164,399.9531541379,8,Bridge blue,T-shirt Spots,Noob,1,VR,pink,,,,2,,,,2
2171,Degen Fox #2171,165,399.8437382367,7,Moon blue,Bomber02,Noob,,04 blue,white,Hair03 blue,,,1,,,,
2358,Degen Fox #2358,166,399.5222826875,10,Rays red,No sleeve black,Noob,,5,Red tiger,Cowboy hat pink,,,1,,1,Martini,2
2204,Degen Fox #2204,167,397.684475586,10,Bridge violet,Fur coat zebra,Noob,3,03 green,Color,Hair07 black,,,04 rainbow,,4,Martini,
3419,Degen Fox #3419,168,396.6046339798,10,City blue,T-shirt casino,Noob,4,02 color,red,Hair06,,,2,,2,,2
1514,Degen Fox #1514,169,396.4302452149,8,City red,Hawaii trees,Noob,1,7,black,SP glasses + hair02,,,1,,,,
2511,Degen Fox #2511,170,394.9388346483,10,Rays red,Bomber02,Noob,5,03 green,red,Hair08 red,,,8,,4,Martini,
942,Degen Fox #942,171,393.1032564279,8,Basic green,No sleeve black,Noob,,5,red,Cowboy hat,,,12,,,,tezos
4212,Degen Fox #4212,172,392.7100209709,10,Bridge yellow,Shirt short sleeve red,Noob,1,5,Color,Hair05 yellow,,,10,,2,Wine,
3776,Degen Fox #3776,173,391.9508205731,9,Bridge blue,No sleeve white,Noob,3,08 diamond,red,Hair04 black,,,1,,,,3
1069,Degen Fox #1069,174,391.5517351117,8,City red,,Noob,,04 green,red,Hair05 blue,,,10,,1,,btc
3003,Degen Fox #3003,175,390.3378339002,8,Rays green,T-shirt Spots,Noob,,7,Red tiger,Cylinder Hat,,,8,Swan wings,,,
4270,Degen Fox #4270,176,389.7350959502,8,Basic green,Bathrobe 02,Noob,2,7,red,SP glasses + hair02,,,8,,,,
1137,Degen Fox #1137,177,389.3494840941,7,Bridge violet,Hawaii Tommy,Noob,,08 ruby,pink,Crown,,,14 candy,,,,
1896,Degen Fox #1896,178,388.7040153047,8,City red,,Noob,,03 red,violet,Panama hat green,,,8,,,Wine,tezos
1758,Degen Fox #1758,179,388.0463489375,8,Bridge violet,No sleeve black,Noob,,03 green,red,Cylinder Hat,,,6,,,,tezos
1736,Degen Fox #1736,180,387.9171775755,10,Moon violet,T-shirt black,Noob,3,04 green,Red tiger,Hair06 violet,,,2,,4,Wine,
1634,Degen Fox #1634,181,387.530401361,9,Basic green,Bulletproof,Noob,3,02 color,green snake,Crown,,,10,,,Martini,
247,Degen Fox #247,182,387.4427678108,7,City blue,Suit White,Noob,,VR,violet,Knitted hat,,,3,,,,
3830,Degen Fox #3830,183,387.0791090371,10,Bridge yellow,Hawaii flowers,Noob,,03 green,white,Cowboy hat pink,,,04 rainbow,,5,Wine,2
1605,Degen Fox #1605,184,386.8642469108,8,Basic green,Shirt short sleeve red,Noob,,04 green,Red tiger,SP glasses + hair02,,,8,,,,2
3563,Degen Fox #3563,185,385.614263849,8,City blue,Suit White,Noob,4,03 green,red,SP glasses + hair02,,,2,,,,
1452,Degen Fox #1452,186,385.536624526,10,Basic green,T-shirt blue,Noob,5,03 green,red,Hair06,,,8,,5,,2
2654,Degen Fox #2654,187,384.2499985621,7,Basic red,T-shirt casino,Noob,,7,pink,Hair03 blue,,,8,,,,
3409,Degen Fox #3409,188,383.3629467589,8,Rays red,No sleeve blue,Noob,,04 green,red,Panama hat green,,,10,,,,tezos
3479,Degen Fox #3479,189,382.5685054854,8,Bridge yellow,No sleeve black,Noob,,04 green,red,Cylinder Hat,,,8,,,,btc
4167,Degen Fox #4167,190,380.3898496025,7,Basic red,T-shirt casino,Noob,,04 yellow,green snake,,,,10,Swan wings,,,
2591,Degen Fox #2591,191,379.7424319602,8,Bridge yellow,Shirt colorful,Elite,4,Fire glasses,pink,Hair04 black,,,10,,,,
3078,Degen Fox #3078,192,379.7326042773,8,Moon violet,Suit Black,Noob,,05 spyral,green,TDC Cap,,,9,,,Short,
2449,Degen Fox #2449,193,379.3322470134,9,Party red,T-shirt Spots,Noob,1,08 onyx,Red tiger,Hair06,,,3,,6,,
877,Degen Fox #877,194,379.200001615,8,Party red,Hoodie berry,Noob,,03 green,pink,SP glasses + hair02,,,10,,1,,
477,Degen Fox #477,195,378.0812738741,10,Basic red,Hoodie stripes,Noob,4,7,red,Hair05 yellow,,,10,,4,Rose,
3059,Degen Fox #3059,196,377.3918779187,8,Basic green,No sleeve black,Noob,,08 emerald,pink,Brain,,,9,,,,3
1432,Degen Fox #1432,197,377.2165973386,8,City red,No sleeve black,Noob,,08 dollar,red,Brain,,,15 bored,,,,3
301,Degen Fox #301,198,375.652014169,7,Bridge violet,Suit stripes,Noob,,VR,red,Hair04 black,,,04 rainbow,,,,
3105,Degen Fox #3105,199,374.9269705797,8,Basic red,Fur coat leopard,Noob,3,05 spyral,red,Tz Cap,,,1,,,,
3569,Degen Fox #3569,200,374.614541058,7,Bridge violet,Bulletproof,Noob,,VR,red,Cylinder Hat,,,13 cigar,,,,
2868,Degen Fox #2868,201,374.2634391797,6,Bridge yellow,T-shirt cards,Noob,,VR,red,,,,05 no tooth,,,,
1856,Degen Fox #1856,202,372.9161147824,8,Party red,No sleeve white,Noob,,03 green,red,Knitted hat,,,10,,,,tezos
2145,Degen Fox #2145,203,372.7145912693,8,Moon blue,T-shirt flipit,Noob,,04 green,red,Hair07 blue,,,3,,3,,
2921,Degen Fox #2921,204,372.6103656478,7,Rays blue,Fur coat zebra,Noob,1,VR,green snake,,,,2,,,,
864,Degen Fox #864,205,371.2958637475,8,City red,Bomber01,Noob,,04 green,red,Hair08 blue,,,12,,3,,
2842,Degen Fox #2842,206,371.2412345155,8,Moon blue,Suit pink,Noob,,VR,red,Knitted hat,,,15 bored,,5,,
1178,Degen Fox #1178,207,369.9759051159,7,Bridge violet,Hawaii Tommy,Noob,,02 color,black,SP glasses + hair02,,,8,,,,
