ID,Name,Rank,Rarity_Score,Attributes,aura,body,bodydetails,botarms,botbody,boteyes,boteyescolor,botfoot,bothead,botpropulsion,details,energy,eyes,facemask,family,ground,hair,has_pet,head,jacket,lefthand,leftobjkt,posterfull,posterleft,posterright,shoes,trousers,unique,unique_tbot,wall,wallcolor,weapon
1593,むさねて (MUSANETE) #1593,15,1028.3765977912312,28,charging,beta,scars,electronGun,scalable,happy,azure,model1,delivery,prismatic,meka,intoTheSpotlight,owl,redorbluepills,kabu,figurine,blackSamurai,True,beta,,watch,hoverboardModelX,,play,versusShow,neon,slacks,,,lines1,3,telescopicbaton
1289,ゆひわ (YUHIWA) #1289,16,1024.6048272635423,14,fall,alpha,,,,,,,,,facetattoo,,wicked,,aki,poorNeighbourhood,,False,alpha,ranger,,,,,,recycled,elite,,,brickinthewall,classic,shotgun
1083,につ (NITSU) #1083,17,954.9756067854069,24,firefly,alpha,,model3,scalable,upset,azure,wings,delivery,Azure,,,upset,tcityVice,kabu,slabs,headbanger,True,alpha,neon,,broke,,play,,neon,neon,,,lines2,classic,kabuShotgun
3041,いむしそ (IMUSHISO) #3041,18,932.7092999928019,25,oneup,beta,,model2,model1,off,azure,digger,model3,Azure,rockstar,atomic,hawk,,shibu,lightSpot,headbangerOrange,True,beta,neon,,shibuKatanaSupport,,,versusShow,neon,whiteevening,,,brickinthewall,3,bat
3149,ろみちり (ROMICHIRI) #3149,19,925.9183189293107,28,stinking,beta,securityguard,electronGun,scalable,upset,azure,model2,model3,blue,mutant,,doe,boaster,juku,sidewalk,dreadlocks,True,beta,rocker,gambler,garbage,,nftgallery,Generator,neo,whiteevening,,,neon,classic,jukuHackingGlove
229,へぬみ (HENUMI) #229,20,910.6483134502026,20,stinking,bionic,,,,,,,,,meka2,fullPower,oneEyed,skullz,juku,path,,False,gamma,hobo,married,hologram,,Resistance,nosmoking,oldfashioned,neon,,,tiles,3,jukuHackingGlove
2914,はひせこ (HAHISEKO) #2914,21,903.6477307182647,20,hexa,beta,cybernetics,,,,,,,,cybernetic,onFire,bountyhunter,,shibu,path,blackSamurai,False,beta,ranger,gambler,,,nftgallery,vote,kanemochi,taskforce,,,lines2,classic,cyberneticLance
384,くなむら (KUNAMURA) #384,22,892.4752883490181,25,kimaster,alpha,serialNumber,model1,model2,uwu,blue,model3,cap,Orange,,onFire,wry,pirate,juku,poorNeighbourhood,punk,True,alpha,,,motorBike,propaganda,,,neo,neojogger,,,tiles,classic,holopunch
1273,もはちへ (MOHACHIHE) #1273,23,879.6242091229433,29,sakura,gamma,piercing,model3,model2,happy,pink,wings,model3,prismatic,infected,timeTraveler,god,injection,shibu,sidewalk,dreadlocks,True,gamma,rocker,bandage,digitalGuitar,,wewantyou,nosmoking,jumper,kanemochi,,,diagonals1,classic,shinken
510,へへす (HEHESU) #510,24,877.3169759617485,20,fall,gamma,,,,,,,,,mask,intoTheSpotlight,underTheInfluence,grillz,kabu,figurine,dreadlocks,False,gamma,,gambler,broke,,nftgallery,nosmoking,lightningAzure,hacker,,,tiles,classic,kabuShotgun
968,ほすしき (HOSUSHIKI) #968,25,855.7278277448972,29,borntobeastar,alpha,cybernetics,model2,hornet,happy,azure,model1,model1,blue,meka,fullPower,exhausted,metaverseAddict,shibu,underground,adventurer,True,alpha,neon,wizard,wip,,gamingContest,streetsign,oldfashioned,zebraPink,,,lines1,classic,thug
342,そま (SOMA) #342,26,854.2955323319735,26,stinking,gamma,,model1,model1,off,pink,wings,delivery,prismatic,fanaticwhite,onFire,yob,,aki,figurine,blackSamurai,True,gamma,hobo,baseballFan,enhancerBar,,,sewer,buffalo,pirate,,,diagonals2,3,shinken
320,いれほ (IREHO) #320,27,836.8040316973645,26,powerup,beta,,electronGun,scalable,neutral,blue,wings,model3,Orange,runes,dataMaster,beatdown,,kabu,lightSpot,blackSamurai,True,beta,boxingHoodie,gambler,,,nftgallery,nosmoking,kanemochi,hacker,,,lines2,classic,cyberneticLance
3035,たとわ (TATOWA) #3035,28,822.7153821038648,26,powerup,gamma,,model3,model2,happy,orange,wings,model2,Pink,cybernetic,ballz,determined,tcityVice,shibu,path,rooster,True,gamma,gunner,,shibuKatanaSupport,,freeTheTrooperz,,chill,hacker,,,lines1,classic,thug
876,せき (SEKI) #876,29,819.9603960828751,28,firefly,alpha,scars,model3,scalable,uwu,orange,model2,model2,Orange,,vilain,wry,talkieMono,juku,lightSpot,unkempt,True,alpha,taxiDriver,gambler,jukuNetworkConnectionTerminal,,gamingContest,martialart,lightningAzure,hacker,,,neon,classic,neon
1479,むも (MUMO) #1479,30,802.6887438449617,25,fall,gamma,scars,model1,hornet,off,pink,model2,model3,Pink,,,owl,gasmask,shibu,lightSpot,ninja,True,gamma,quarterback,,motorBike,,,nosmoking,kanemochi,neon,,,lines2,classic,homingshuriken
1652,ねて (NETE) #1652,31,798.1147703342897,21,firefly,alpha,ledgerkey,,,,,,,,warpaint,fullPower,wry,oni,shibu,wasteland,dreadlocks,False,alpha,quarterback,watch,shibuKatanaSupport,,freeTheTrooperz,,chill,neojogger,,,tiles,3,handgun
378,りき (RIKI) #378,32,788.8754838924225,29,borntobeastar,alpha,scars,scrap,model2,happy,blue,wings,delivery,Orange,Tattooed,fullPower,yob,talkiePoly,kabu,sidewalk,implant,True,alpha,downjacket,bandage,kabuAmmo,,gamingContest,vote,hacker,neojogger,,,hexagrid,classic,taser
1078,さへそき (SAHESOKI) #1078,33,772.0797178992888,27,warfare,gamma,,model2,model1,uwu,prismatic,digger,model2,Pink,cybernetic,timeTraveler,upset,pirate,shibu,wasteland,badguy,True,gamma,scientist,neon,shibuKatanaSupport,,freeTheTrooperz,,neon,neojogger,,,diagonals2,classic,bat
2783,るへし (RUHESHI) #2783,34,762.8951026750187,18,sakura,beta,,,,,,,,,badboy,,doe,CyberX,aki,sidewalk,blackSamurai,False,beta,,baseballFan,towerDefense,,wewantyou,,lightningPink,adventurer,,,tiles,classic,thug
2504,そそから (SOSOKARA) #2504,35,752.344502571256,25,hexa,beta,,electronGun,scalable,upset,azure,model2,model1,prismatic,fanaticblack,fullPower,oneEyed,,juku,figurine,mekaBallFan,True,beta,hoodie,,motorBike,,gamingContest,,heavymetal,pirate,,,lines2,3,bat
1703,くねは (KUNEHA) #1703,36,750.7072229248907,22,hexa,beta,,model1,model2,happy,azure,digger,model1,Pink,,,determined,,shibu,figurine,badguy,True,beta,salarymen,,shibuKatanaSupport,,,,recycled,ranger,,,hexagrid,3,thug
1744,ほけし (HOKESHI) #1744,37,750.1299562423982,28,powerup,alpha,,scrap,model2,uwu,orange,wings,model2,blue,Tattooed,outOfPhase,yob,injection,aki,wasteland,samurai,True,alpha,golden,bandage,enhancerPot,,Resistance,propaganda2,neo,kanemochi,,,neon,3,negotiator
2758,すれ (SURE) #2758,38,741.4219200839538,20,mist,gamma,,,,,,,,,Tattooed,vilain,yob,grillz,shibu,underground,TPOPfan,False,gamma,savage,,shibuKatanaSupport,,freeTheTrooperz,tcorpempire,neon,slacks,,,diagonals1,3,flail
529,ろこ (ROKO) #529,39,738.7449144838328,19,powerup,alpha,,,,,,,,,wildGreen,timeTraveler,doe,,juku,path,headbangerOrange,False,alpha,pirate,baseballFan,broke,,,nosmoking,recycled,zebraPink,,,hexagrid,3,jukuHackingGlove
2236,ふもね (FUMONE) #2236,40,718.8171055898889,19,fall,gamma,serialNumber,,,,,,,,,,yob,talkiePoly,aki,crossing,,False,gamma,quarterback,cybernetic,akiLaboratory,,gamingContest,vote,oldfashioned,slacks,,,tiles,classic,golden
1189,らわゆ (RAWAYU) #1189,41,717.7017776587187,24,hexa,beta,,model1,scalable,upset,orange,model1,cap,Orange,,,ultraInstinct,skullz,juku,path,,True,beta,scientist,gambler,motorBike,,play,,ranger,zebraPink,,,diagonals2,3,taser
2531,そたむて (SOTAMUTE) #2531,42,716.0889720932751,29,sakura,gamma,piercing,electronGun,model2,uwu,orange,model2,delivery,prismatic,infected,fullPower,oneEyed,grillz,shibu,figurine,unkempt,True,gamma,quarterback,married,digitalGuitar,,nftgallery,sewer,neo,neon,,,diagonals2,3,neokatana
1421,えむ (EMU) #1421,43,710.3045126130864,27,warfare,gamma,piercing,electronGun,model2,neutral,pink,wings,model3,prismatic,,timeTraveler,wicked,metaverseAddict,juku,lightSpot,implant,True,gamma,salarymen,baseballFan,motorBike,,gamingContest,,lightningPink,hacker,,,lines1,3,thug
2980,めほとこ (MEHOTOKO) #2980,44,708.5610081478054,17,powerup,bionic,,,,,,,,,Tattooed,,yob,,juku,figurine,engineer,False,alpha,hobo,,,,play,nosmoking,recycled,slacks,,,lines1,3,jukuHackingGlove
2863,ねりそ (NERISO) #2863,45,695.4336629505048,26,powerup,beta,prothesis,model2,hornet,uwu,azure,model2,model3,Orange,Tattooed,onFire,beatdown,grillz,aki,citynights,badguy,True,beta,downjacket,married,,,,,kanemochi,adventurer,,,diagonals2,classic,mekaBallFan
334,かや (KAYA) #334,46,693.0295902305725,24,warfare,alpha,,model1,hornet,uwu,azure,model2,model3,Pink,,,beatdown,clubber,juku,slabs,strike,True,alpha,rocker,neon,,,nftgallery,,recycled,zebraAzure,,,diagonals2,3,shinken
885,あぬめ (ANUME) #885,47,691.9428004966331,29,stinking,gamma,ledgerkey,electronGun,scalable,neutral,prismatic,model2,delivery,blue,mutant,timeTraveler,yob,metaverseAddict,kabu,figurine,tousled,True,gamma,truckdriver,watch,deliveryDrone,,nftgallery,propaganda2,kanemochi,taskforce,,,diagonals2,3,negotiator
2762,こもる (KOMORU) #2762,48,691.3738243187973,18,kimaster,beta,prothesis,,,,,,,,,,doe,glassesmodelY,aki,wasteland,samurai,False,beta,,,broke,,play,vote,neon,zebraAzure,,,tiles,classic,neokatana
298,なつ (NATSU) #298,49,688.939701579219,20,hexa,beta,serialNumber,,,,,,,,warpaint,,upset,bigBadMonocle,juku,citynights,animecharacter,False,beta,,bandage,motorBike,,jukuCableManagement,martialart,kanemochi,slacks,,,tiles,3,antimatterCannon
1481,せほ (SEHO) #1481,50,687.3591196437139,29,hexa,beta,huntingtrophy,model3,model1,off,pink,model3,delivery,blue,TCORPmember,onFire,determined,redorbluepills,aki,poorNeighbourhood,headbangerOrange,True,beta,hacker,baseballFan,garbage,,Resistance,propaganda2,lightningPink,neojogger,,,lines2,3,homingshuriken
2384,つさ (TSUSA) #2384,51,685.122062948979,18,powerup,gamma,,,,,,,,,wildGreen,,exhausted,glassesmodelX,shibu,wasteland,TPOPfan,False,gamma,golden,,,,deadOrAlive,streetsign,heavymetal,neon,,,brickinthewall,3,flail
1142,らとくせ (RATOKUSE) #1142,52,684.0005623268721,16,fall,beta,,,,,,,,,mask,,determined,,juku,path,implant,False,beta,,gambler,,,gamingContest,,neo,slacks,,,brickinthewall,3,jukuHackingGlove
1575,ゆやへよ (YUYAHEYO) #1575,53,681.8740736280597,29,powerup,gamma,huntingtrophy,model1,hornet,upset,blue,model3,delivery,Orange,TCORPmember,intoTheSpotlight,determined,glassesmodelY,shibu,crossing,headbangerPurple,True,gamma,hacker,baseballFan,daruma,,Resistance,martialart,buffalo,zebraAzure,,,diagonals1,classic,neokatana
2049,ぬるゆわ (NURUYUWA) #2049,54,678.8222825623037,23,oneup,beta,,model2,model1,neutral,blue,digger,model3,prismatic,facetattoo,,underTheInfluence,soldier,shibu,figurine,,True,beta,golden,neon,,,,,lightningAzure,elite,,,hexagrid,3,shinken
607,めすの (MESUNO) #607,55,675.9258436038921,25,charging,beta,,model1,model2,upset,orange,model1,delivery,Orange,,,exhausted,oni,aki,underground,dreadlocks,True,beta,golden,watch,,,wewantyou,vote,oldfashioned,slacks,,,brickinthewall,classic,thug
3045,そゆは (SOYUHA) #3045,56,674.9139703520639,29,powerup,gamma,piercing,model1,model1,neutral,azure,model1,cap,Azure,fanaticblack,fullPower,determined,talkiePoly,juku,figurine,headbangerPurple,True,gamma,hacker,married,hacked,,play,propaganda2,buffalo,ranger,,,tiles,classic,flail
3066,きて (KITE) #3066,57,667.5512045283788,24,powerup,gamma,prothesis,model1,model1,neutral,azure,digger,delivery,Pink,,,owl,,juku,underground,,True,gamma,urban,,daruma,,freeTheTrooperz,martialart,neo,hacker,,,neon,classic,telescopicbaton
2716,ろりた (RORITA) #2716,58,667.4904761451198,29,warfare,gamma,serialNumber,model1,hornet,uwu,orange,model2,cap,blue,wildGreen,fullPower,hawk,talkieMono,aki,figurine,headbangerOrange,True,gamma,boxingHoodie,gambler,oldTV,,play,vote,lightningAzure,ranger,,,diagonals3,3,neon
2556,なさて (NASATE) #2556,59,663.0623022215465,17,fall,bionic,,,,,,,,,wildBlue,,possessed,clubber,juku,road,strike,False,alpha,ceremonialdress,,,,gamingContest,,lightningPink,taskforce,,,lines1,classic,neon
1407,むろほ (MUROHO) #1407,60,659.1533207104678,21,hexa,beta,prothesis,,,,,,,,fanaticblack,onFire,exhausted,talkieMono,juku,underground,unkempt,False,beta,,married,garbage,,mekaball,propaganda2,neon,adventurer,,,lines2,3,DEW
1227,みこよま (MIKOYOMA) #1227,61,656.3642257125435,26,warfare,beta,,model1,scalable,upset,blue,digger,model3,Orange,fanaticblack,onFire,upset,,juku,path,strike,True,beta,savage,married,,,gamingContest,propaganda2,ranger,zebraPink,,,hexagrid,classic,handgun
54,しと (SHITO) #54,62,655.908337412385,20,fall,bionic,,,,,,,,,badboy,atomic,yob,metaverseAddict,kabu,poorNeighbourhood,badguy,False,beta,taxiDriver,baseballFan,oldTV,,,Generator,neon,pirate,,,diagonals2,3,antimatterCannon
1006,そろ (SORO) #1006,63,654.4690697150879,21,sakura,beta,cybernetics,,,,,,,,mutant,,doe,talkiePoly,juku,sidewalk,badguy,False,beta,golden,watch,garbage,,Resistance,sewer,oldfashioned,elite,,,diagonals1,3,taser
1678,ほくふろ (HOKUFURO) #1678,64,653.0554308520258,25,fall,beta,ledgerkey,model1,model2,off,blue,model2,model2,blue,Tattooed,,owl,bigBadMonocle,juku,poorNeighbourhood,,True,beta,golden,watch,hacked,,,,hacker,zebraPink,,,lines2,classic,cyberneticLance
3016,ほさへし (HOSAHESHI) #3016,65,650.536687831613,22,hexa,alpha,piercing,,,,,,,,upset,timeTraveler,owl,glassesmodelY,shibu,wasteland,shonenHero,False,alpha,hobo,cybernetic,garbage,,nftgallery,nosmoking,neon,whiteevening,,,diagonals2,3,sensei
2686,うくれ (UKURE) #2686,66,635.8341413655386,25,stinking,beta,,scrap,hornet,uwu,blue,model1,model1,Orange,Tattooed,intoTheSpotlight,oneEyed,boaster,shibu,underground,TPOPfan,True,beta,,married,,,deadOrAlive,,heavymetal,blademaster,,,diagonals2,3,shotgun
433,ぬしらの (NUSHIRANO) #433,67,629.188501081931,25,powerup,alpha,huntingtrophy,model2,model2,uwu,pink,model2,model2,Azure,rockstar,,3Dvision,,juku,citynights,seducer,True,alpha,pirate,gambler,jukuNetworkConnectionTerminal,,,,oldfashioned,kanemochi,,,diagonals1,3,blademaster
1311,しよにけ (SHIYONIKE) #1311,68,628.8726641134787,28,warfare,beta,serialNumber,scrap,model1,upset,pink,wings,delivery,Pink,infected,atomic,doe,glassesmodelY,aki,sidewalk,animecharacter,True,beta,kanemochi,married,hacked,,play,,kanemochi,elite,,,diagonals2,classic,amputated
2799,えほつ (EHOTSU) #2799,69,628.0192129186067,27,warfare,beta,vetofthegreatwar,model1,hornet,neutral,orange,digger,model2,Azure,badboy,outOfPhase,wicked,talkieMono,kabu,underground,headbangerPurple,True,beta,taxiDriver,wizard,,,play,,jumper,ranger,,,lines2,classic,cyberneticLance
2491,むもら (MUMORA) #2491,70,624.349771011859,27,kimaster,beta,,model2,model1,happy,pink,digger,model1,prismatic,cybernetic,intoTheSpotlight,wry,oni,juku,citynights,unkempt,True,beta,boxingHoodie,gambler,jukuNetworkConnectionTerminal,,,martialart,lightningPink,zebraPink,,,diagonals2,classic,thug
2877,るきの (RUKINO) #2877,71,622.6272553968394,19,hexa,gamma,,,,,,,,,mutant,,blackeye,boaster,shibu,citynights,sensei,False,gamma,golden,,broke,,mekaball,propaganda2,hacker,slacks,,,diagonals2,classic,telescopicbaton
2271,やく (YAKU) #2271,72,622.1064807293411,26,powerup,beta,,model1,scalable,neutral,pink,model3,delivery,Orange,fanaticwhite,onFire,wry,ninja,shibu,path,,True,beta,taxiDriver,,deliveryDrone,,freeTheTrooperz,propaganda2,lightningAzure,neojogger,,,lines2,classic,shinken
2230,めたる (METARU) #2230,73,614.195635932278,19,stinking,beta,,,,,,,,,fanaticblack,nen,ultraInstinct,metaverse,juku,path,,False,beta,,neon,daruma,,Resistance,propaganda2,oldfashioned,blademaster,,,diagonals2,classic,antimatterCannon
71,てむ (TEMU) #71,74,614.0654583787189,19,fall,gamma,,,,,,,,,neopiercing,onFire,malicious,,juku,slabs,implant,False,gamma,rocker,gambler,motorBike,,,Generator,kanemochi,zebraPink,,,neon,3,mekaBallFan
46,せろ (SERO) #46,75,611.3539378710414,26,sakura,gamma,ledgerkey,model3,model2,happy,azure,wings,model3,Orange,wildBlue,fullPower,tezosCollector,redorbluepills,aki,path,tousled,True,gamma,ceremonialdress,,akiLaboratory,,,,jumper,zebraAzure,,,hexagrid,classic,shinken
2795,ゆねろさ (YUNEROSA) #2795,76,610.5627452573325,19,mist,beta,prothesis,,,,,,,,Tattooed,,malicious,grillz,juku,path,thegoodoldbill,False,beta,urban,baseballFan,,,gamingContest,,jumper,taskforce,,,diagonals1,classic,bat
3140,ゆはらな (YUHARANA) #3140,77,610.4838841772699,23,sakura,bionic,,model1,hornet,neutral,orange,model3,delivery,prismatic,facetattoo,,wry,,aki,road,adventurer,True,gamma,taxiDriver,,garbage,,,,kanemochi,taskforce,,,diagonals2,3,antimatterCannon
1495,のそほ (NOSOHO) #1495,78,608.5731028619468,26,sakura,beta,vitalSignsMonitor,electronGun,scalable,off,azure,digger,model1,blue,badboy,,wry,,aki,citynights,engineer,True,beta,ranger,married,akiTreasure,,play,,chill,ranger,,,diagonals2,3,negotiator
1309,かね (KANE) #1309,79,603.3213068170355,19,warfare,gamma,,,,,,,,,runes,intoTheSpotlight,hawk,bigBadMonocle,shibu,slabs,strike,False,gamma,urban,bandage,,,gamingContest,,neon,taskforce,,,brickinthewall,classic,neokatana
1130,なりな (NARINA) #1130,80,602.7618360585574,25,hexa,beta,,scrap,scalable,upset,blue,digger,model2,Orange,meka2,nen,oneEyed,,shibu,citynights,,True,beta,rage,,enhancerPot,,Resistance,martialart,neon,zebraPink,,,hexagrid,classic,bat
3146,のよら (NOYORA) #3146,81,602.6497151260269,28,borntobeastar,gamma,,model3,model2,neutral,orange,model3,model3,Orange,fanaticwhite,timeTraveler,underTheInfluence,gasmask,kabu,lightSpot,tousled,True,gamma,downjacket,watch,hacked,,play,nosmoking,lightningAzure,zebraPink,,,kabu30Caliber,classic,blademaster
2895,てみ (TEMI) #2895,82,601.733082541617,17,hexa,beta,,,,,,,,,wildGreen,fullPower,determined,metaverse,kabu,citynights,,False,beta,,,broke,,,nosmoking,neon,blademaster,,,district,3,neokatana
2069,たね (TANE) #2069,83,598.4466638212222,26,sakura,gamma,,scrap,hornet,happy,prismatic,model3,delivery,Azure,mutant,intoTheSpotlight,exhausted,ninja,aki,crystals,,True,gamma,downjacket,baseballFan,,,mekaball,Generator,golden,kanemochi,,,lines2,classic,antimatterCannon
1349,らこゆき (RAKOYUKI) #1349,84,596.1520293678738,19,stinking,beta,prothesis,,,,,,,,fanaticwhite,,yob,,juku,citynights,rooster,False,beta,savage,gambler,enhancerPot,,,martialart,jumper,ranger,,,diagonals1,3,cyberneticLance
1973,これ (KORE) #1973,85,593.852098725789,20,hexa,beta,,,,,,,,,facetattoo,,wicked,pirate,juku,path,shonenHero,False,beta,blackSamurai,cybernetic,daruma,,jukuCableManagement,martialart,recycled,whiteevening,,,neon,classic,cyberneticLance
2484,とたね (TOTANE) #2484,86,584.723687850822,23,warfare,beta,scars,electronGun,hornet,neutral,pink,wings,model2,Orange,Tattooed,,underTheInfluence,,shibu,poorNeighbourhood,,True,beta,crackhead,,,propaganda,,,lightningPink,slacks,,,diagonals3,3,shinken
1926,ぬたみつ (NUTAMITSU) #1926,87,584.5912258463524,18,stinking,gamma,piercing,,,,,,,,wildBlue,,exhausted,,aki,underground,strike,False,gamma,,gambler,,,play,nosmoking,recycled,pirate,,,brickinthewall,classic,handgun
1449,こわせと (KOWASETO) #1449,88,584.5516338006021,19,powerup,gamma,,,,,,,,,fanaticblack,timeTraveler,exhausted,pirate,juku,underground,strike,False,gamma,,watch,,,play,sewer,neo,kanemochi,,,lines1,classic,homingshuriken
3063,うねみ (UNEMI) #3063,89,583.9451973900628,25,oneup,gamma,,model1,scalable,neutral,prismatic,model1,cap,prismatic,infected,,doe,artificialRespiration,aki,path,punk,True,gamma,hoodie,,akiTreasure,,,propaganda2,kanemochi,zebraAzure,,,diagonals3,classic,flail
2208,かはすけ (KAHASUKE) #2208,90,582.8758354681304,26,warfare,beta,mutant,scrap,hornet,happy,pink,model1,model2,Azure,facetattoo,intoTheSpotlight,determined,soldier,shibu,wasteland,,True,beta,,bandage,enhancerPot,,freeTheTrooperz,,lightningPink,zebraAzure,,,brickinthewall,3,golden
521,しりくし (SHIRIKUSHI) #521,91,581.9730143366235,19,borntobeastar,alpha,,,,,,,,,wildGreen,atomic,upset,oni,kabu,wasteland,seducer,False,alpha,urban,baseballFan,,,mekaball,,lightningAzure,hacker,,,kabu30Caliber,classic,thug
83,よもへせ (YOMOHESE) #83,92,580.784307310006,20,sakura,alpha,,,,,,,,,badboy,intoTheSpotlight,upset,tcityVice,juku,sidewalk,seducer,False,alpha,taxiDriver,,garbage,,gamingContest,propaganda2,lightningPink,kanemochi,,,hexagrid,3,atomicBow
2614,こはとき (KOHATOKI) #2614,93,576.4620859720527,23,firefly,gamma,,scrap,model2,uwu,pink,model2,delivery,Azure,,,owl,,aki,crossing,,True,gamma,rage,watch,enhancerPot,,mekaball,,pirate,zebraPink,,,hexagrid,classic,antimatterCannon
1631,こは (KOHA) #1631,94,572.0287438613434,24,sakura,beta,,scrap,model2,uwu,azure,digger,model1,Azure,,,doe,,kabu,path,samurai,True,beta,truckdriver,bandage,kabuAmmo,,,versusShow,kanemochi,elite,,,kabu30Caliber,classic,shinken
530,らなによ (RANANIYO) #530,95,571.6382382198193,22,mist,beta,cybernetics,,,,,,,,meka,fullPower,upset,glassesmodelY,juku,underground,TPOPfan,False,beta,hacker,watch,hoverboardModelY,,jukuCableManagement,vote,jumper,pirate,,,hexagrid,classic,negotiator
1752,けろら (KERORA) #1752,96,570.6751551402306,27,kimaster,beta,,model2,hornet,neutral,azure,digger,model1,prismatic,,vilain,3Dvision,metaverseAddict,juku,figurine,punk,True,beta,truckdriver,bandage,broke,,jukuCableManagement,Generator,lightningPink,hacker,,,hexagrid,classic,flail
3092,あゆそ (AYUSO) #3092,97,569.6069373367728,26,warfare,alpha,serialNumber,scrap,hornet,uwu,pink,model1,model3,Orange,neopiercing,,upset,,aki,citynights,headbangerOrange,True,alpha,kanemochi,baseballFan,hologram,,play,,golden,slacks,,,diagonals3,3,mekaBallFan
802,とれ (TORE) #802,98,568.9842346520566,28,firefly,beta,ledgerkey,model3,scalable,neutral,azure,model1,delivery,Azure,runes,dataMaster,blackeye,injection,shibu,road,tousled,True,beta,truckdriver,neon,hoverboardModelX,,deadOrAlive,,jumper,neojogger,,,diagonals1,classic,bountyhunter
1756,ほぬよ (HONUYO) #1756,99,562.3613796334502,24,warfare,alpha,,model3,hornet,off,prismatic,wings,delivery,blue,,onFire,yob,glassesmodelY,aki,citynights,animecharacter,True,alpha,,neon,,,,martialart,kanemochi,blademaster,,,brickinthewall,classic,homingshuriken
327,こふよは (KOFUYOHA) #327,100,562.3261946900092,24,hexa,gamma,,model1,model2,upset,blue,model2,model1,Orange,warrior,,upset,judgeTrooperz,juku,road,,True,gamma,gunner,,hologram,,,sewer,lightningPink,taskforce,,,diagonals3,3,flail
2192,さは (SAHA) #2192,101,559.1262850551213,17,borntobeastar,alpha,huntingtrophy,,,,,,,,,,doe,,kabu,sidewalk,,False,alpha,rage,,kabuAmmo,,nftgallery,nosmoking,neon,slacks,,,lines1,classic,thug
2824,たわすそ (TAWASUSO) #2824,102,558.2024079696955,26,mist,gamma,,model3,hornet,off,blue,model1,cap,Orange,warpaint,nen,doe,pirate,juku,poorNeighbourhood,rooster,True,gamma,androidhunter,,hacked,,,versusShow,neo,pirate,,,diagonals1,classic,neon
