ID,Name,Rank,Rarity_Score,Attributes-Scores,Background-Scores,BodyObj-Scores,CardBank-Scores,Class-Scores,ClothPattern-Scores,ClothesObj-Scores,Ear-Scores,Expression-Scores,Extra-Scores,FaceObj-Scores,FaceTex-Scores,Foreground-Scores,Hair-Scores,HandObj-Scores,HandObj2-Scores,Hat-Scores,HeadObj-Scores,LeftHand-Scores,LeftShoulder-Scores,Mouth-Scores,Nose-Scores,RightHand-Scores,RightShoulder-Scores,Skin-Scores,Smock-Scores,Tail-Scores,Team-Scores,Whiskers-Scores
2550,Tez Dozen Team λ #150,33,4268.324360114969,5,336,152,1,1,280,,,,,,,305,,373,1120,840,,4,,,,1,,840,,,7,
236,Tez Dozen Team β #116,34,4266.5775710722255,5,3360,,4,1,,134,,,,,,,,160,,,112,4,58,,186,1,,93,,115,28,
274,Tez Dozen Team γ #034,35,4253.396531275778,9,3360,,1,35,129,5,,,,,,35,,129,,34,,4,33,124,,1,74,35,,115,28,96
158,Tez Dozen Team β #038,36,4211.468777721072,5,1680,,1,1,,,,,,186,,1680,,,,81,105,1,,,112,1,,129,,197,28,
2432,Tez Dozen Team λ #032,37,3875.732935028187,5,224,49,1,1,840,,,,,,,240,,88,,1680,,4,61,,,1,,672,,,7,
3099,Tez Dozen Team μ #219,38,3855.9311054459536,5,280,152,1,1,129,,,,840,140,,840,,1120,,,,1,,,,1,,336,,,7,
2863,Tez Dozen Team λ #463,39,3840.0336695485175,5,186,152,1,1,840,,,,,,,186,,168,,1120,,1,48,,,1,,1120,,,7,
2947,Tez Dozen Team μ #067,40,3839.5689123392044,4,258,224,1,1,176,,,,,168,,176,,560,,1680,,4,61,,,1,34,480,,,7,
2987,Tez Dozen Team μ #107,41,3817.5750735674624,5,672,305,1,1,176,,,,,134,,420,,,,373,,1,,,,3,35,1680,,,7,
3331,Tez Dozen Team μ #451,42,3707.5353316384153,5,373,672,1,1,,,,,98,,,1120,,420,,480,,1,45,,,1,,480,,,7,
2481,Tez Dozen Team λ #081,43,3696.8091828152756,4,840,146,4,1,420,,,,305,,,224,,88,,1120,,1,67,,,1,,336,,129,7,
2509,Tez Dozen Team λ #109,44,3694.5124055131196,4,280,152,1,1,280,,,,,78,,224,,81,,1680,,1,61,,,1,,840,,,7,
3268,Tez Dozen Team μ #388,45,3661.481835417736,5,240,240,1,1,672,,,,,186,,1120,,672,,,,1,176,,,1,,336,,,7,
3273,Tez Dozen Team μ #393,46,3645.0376294945777,4,840,140,4,1,,,,,134,134,,240,,672,,1120,,1,38,,,1,,305,,,7,
2734,Tez Dozen Team λ #334,47,3644.530885413795,4,240,115,1,1,672,,,,,,,176,,240,1120,672,,4,,,,1,,280,,108,7,
1719,Tez Dozen Team ι #279,48,3637.8286425641445,5,210,1120,1,35,,,1120,,373,,67,146,,108,,124,,1,45,,,1,,210,,61,7,
2996,Tez Dozen Team μ #116,49,3624.40800109932,5,280,140,1,1,305,,,,,,,210,,420,,373,,1,197,,,1,,1680,,,7,
2971,Tez Dozen Team μ #091,50,3601.0384069104293,4,197,224,1,1,336,,,,,305,,336,,84,,1680,,1,48,,,1,,373,,,7,
2929,Tez Dozen Team μ #049,51,3568.101445007523,4,25,672,1,1,,,,,224,140,,1120,,129,,480,,1,88,,,1,,672,,,7,
3058,Tez Dozen Team μ #178,52,3560.7976703950253,12,240,560,4,1,,,,,,,,146,,186,,1680,,1,160,,,1,,560,,,7,
1833,Tez Dozen Team ι #393,53,3557.222581958084,5,186,1120,1,35,,,1120,,373,,67,146,,108,,124,,1,45,,,1,,152,,61,7,
3286,Tez Dozen Team μ #406,54,3532.7129012948526,4,240,420,1,1,210,,,,,1120,,176,,420,,560,,1,33,,,1,,336,,,7,
1466,Tez Dozen Team ι #026,55,3496.400071135573,5,210,1120,1,35,,,1120,,373,,67,146,,108,,124,,1,45,,,1,,68,,61,7,
3113,Tez Dozen Team μ #233,56,3485.0187737269516,5,560,1120,1,1,,,,,,160,,176,,,,672,,1,48,,,3,168,560,,,7,
3218,Tez Dozen Team μ #338,57,3477.8998425911614,5,258,480,1,1,,,,,,1680,,152,,197,,210,,1,61,,,1,,420,,,7,
3358,Tez Dozen Team μ #478,58,3473.7666255510103,4,373,420,4,1,98,,,,,1680,,140,,,,210,,1,58,,,1,52,420,,,7,
3338,Tez Dozen Team μ #458,59,3471.4195848077165,5,672,,1,1,672,,,,,,,176,,120,,1120,,4,197,,,1,186,305,,,7,
2581,Tez Dozen Team λ #181,60,3463.14603992593,5,672,,1,1,,,,,258,,,176,,101,,1680,,1,36,,,1,,480,,39,7,
3079,Tez Dozen Team μ #199,61,3456.6365403619147,5,50,,1,1,840,,,,420,336,,210,,88,,1120,,1,,,,1,,373,,,7,
3350,Tez Dozen Team μ #470,62,3413.9270864764176,5,373,,1,1,240,,,,,140,,168,,84,,1680,,1,38,,,1,,672,,,7,
3037,Tez Dozen Team μ #157,63,3402.0270998181627,5,258,1120,1,1,,,,,,168,,186,,65,,672,,1,73,,,1,,840,,,7,
108,Tez Dozen Team α #108,64,3380.94470789079,5,1680,,1,1,,5,,,,,,1120,,,,,115,1,38,,,1,,96,,146,28,140
59,Tez Dozen Team α #059,65,3378.17097527783,4,1680,,1,1,,5,,,,,,840,,54,,168,108,1,71,,,1,,96,,176,28,140
2674,Tez Dozen Team λ #274,66,3358.6182977965063,4,280,115,1,1,305,,,,,,,210,,240,1120,672,,4,,,,1,,280,,115,7,
16,Tez Dozen Team α #016,67,3348.7893100236606,4,1680,,4,1,,5,,,,115,,840,,101,,,115,1,67,,,1,,96,,176,28,108
24,Tez Dozen Team α #024,68,3319.7468282211103,4,1680,,1,1,,5,,,,,,840,,101,,176,108,1,71,,,1,,56,,160,28,81
2536,Tez Dozen Team λ #136,69,3312.1522916813988,4,197,115,1,1,840,,,,,134,,240,,240,1120,88,,4,,,,1,,280,,36,7,
2585,Tez Dozen Team λ #185,70,3296.6978277142193,4,336,152,1,1,1680,,,,,73,,336,,168,,160,,1,,,,1,,258,,115,7,
3174,Tez Dozen Team μ #294,71,3281.0617691380135,5,50,,4,1,,,,,420,160,,210,,1120,,840,,1,38,,,1,,420,,,7,
3282,Tez Dozen Team μ #402,72,3277.056069341356,4,420,,1,1,115,,,,,420,,560,,373,,560,,4,88,,,1,160,560,,,7,
3185,Tez Dozen Team μ #305,73,3275.291648927308,12,50,1680,1,1,129,,,,420,,,224,,186,,,,1,,,,1,,560,,,7,
176,Tez Dozen Team β #056,74,3253.314080097521,4,1680,,4,1,,93,,,,,,840,,43,,81,112,1,,,112,1,,129,,120,28,
2712,Tez Dozen Team λ #312,75,3233.8836840290337,5,560,49,1,1,1120,,,,,73,,146,,88,,,,1,58,,,1,,1120,,,7,
3262,Tez Dozen Team μ #382,76,3191.6747414565407,5,197,1680,4,1,,,,,258,168,,197,,108,,186,,1,,,,1,,373,,,7,
3050,Tez Dozen Team μ #170,77,3181.8704993853476,5,373,,1,1,373,,,,,112,,1120,,129,,672,,1,48,,,1,,336,,,7,
3067,Tez Dozen Team μ #187,78,3180.15377217663,5,373,,1,1,840,,,,,840,,176,,224,,373,,1,29,,,1,,305,,,7,
2816,Tez Dozen Team λ #416,79,3164.967986523292,4,336,186,1,1,840,,,,,146,,336,,98,,280,,4,81,,,1,,840,,,7,
2972,Tez Dozen Team μ #092,80,3164.894159865472,4,373,,1,1,672,,,,,168,,672,,560,,186,,4,40,,,1,168,305,,,7,
2895,Tez Dozen Team μ #015,81,3147.082525643309,4,420,480,4,1,280,,,,280,336,,480,,84,,420,,1,160,,,1,,186,,,7,
443,Tez Dozen Team δ #083,82,3124.532661518685,9,1120,,1,1,93,5,,146,840,,,129,,186,,,115,1,29,120,,1,,56,,,28,240
2882,Tez Dozen Team μ #002,83,3115.227926294103,4,258,420,1,1,197,,,,840,420,,176,,146,,210,,1,93,,,1,,336,,,7,
2814,Tez Dozen Team λ #414,84,3111.2372559790933,5,420,,1,1,112,,,,,78,,240,,,,1680,,1,88,,,3,52,420,,,7,
3215,Tez Dozen Team μ #335,85,3111.076483294715,5,560,1120,4,1,129,,,,373,,,186,,197,,186,,1,,,,1,,336,,,7,
2522,Tez Dozen Team λ #122,86,3095.1194880650637,4,336,49,4,1,672,,,,,73,,176,,210,840,197,,4,,,,1,,258,,258,7,
3231,Tez Dozen Team μ #351,87,3089.122377022742,12,240,1120,1,35,,,,,560,,,224,,420,,186,,1,,,,1,,280,,,7,
2444,Tez Dozen Team λ #044,88,3088.097382301175,4,336,115,1,1,560,,,,,,,210,,373,1120,93,,4,,,,1,,224,,36,7,
3010,Tez Dozen Team μ #130,89,3086.837513615789,5,210,,1,1,1120,,,,420,,,210,,42,,840,,1,29,,,1,,197,,,7,
2666,Tez Dozen Team λ #266,90,3076.137057221783,5,258,49,1,1,672,,,,,,,240,,210,480,305,,4,,,,1,,840,,,7,
3160,Tez Dozen Team μ #280,91,3055.638659341698,12,240,,4,35,1120,,,,,,,168,,560,,373,,4,,,,1,224,305,,,7,
2701,Tez Dozen Team λ #301,92,3052.7694358462713,12,480,,1,35,1120,,,,240,,,210,,197,,,,1,186,,,1,,560,,,7,
3237,Tez Dozen Team μ #357,93,3039.320788771963,4,560,115,1,1,560,,,,146,,,305,,73,,672,,1,30,,,1,,560,,,7,
3344,Tez Dozen Team μ #464,94,3035.0081949531914,4,373,672,1,1,,,,,,140,,305,,560,,373,,4,58,,,1,52,480,,,7,
2961,Tez Dozen Team μ #081,95,3008.43460194945,5,240,140,1,1,840,,,,258,672,,210,,420,,,,1,,,,1,,210,,,7,
3124,Tez Dozen Team μ #244,96,2993.1902711145026,4,258,420,1,1,176,,,,,420,,224,,54,,672,,4,28,,,1,160,560,,,7,
364,Tez Dozen Team δ #004,97,2980.2474297767467,5,1120,,1,1,,5,,146,840,,,35,,258,,,108,1,28,120,,1,,40,,,28,240
2893,Tez Dozen Team μ #013,98,2972.163467143662,5,840,,1,1,280,,,,,140,,168,,36,,1120,,1,33,,,1,,336,,,7,
2451,Tez Dozen Team λ #051,99,2966.758452077105,4,197,,1,1,1680,,,,,61,,240,,,,115,,1,46,,,3,47,280,,280,7,
2414,Tez Dozen Team λ #014,100,2962.1613756919687,4,210,146,4,1,420,,,,373,115,,176,,1120,,88,,1,67,,,1,,224,,,7,
2607,Tez Dozen Team λ #207,101,2960.7917649279048,5,25,49,4,1,420,,,,,,,176,,210,1680,,,4,,,,1,,258,,115,7,
3020,Tez Dozen Team μ #140,102,2938.59500106313,4,240,280,1,1,672,,,,,112,,480,,81,,420,,4,197,,,1,176,258,,,7,
3230,Tez Dozen Team μ #350,103,2936.3656364322087,5,672,210,1,1,,,,,280,,,480,,480,,480,,1,57,,,1,,258,,,7,
3178,Tez Dozen Team μ #298,104,2934.42692120943,4,373,101,1,1,305,,,,,480,,168,,420,,560,,1,29,,,1,,480,,,7,
3081,Tez Dozen Team μ #201,105,2933.3199515313777,4,560,115,1,1,197,,,,,160,,305,,84,,1120,,1,37,,,1,,336,,,7,
3320,Tez Dozen Team μ #440,106,2924.437347935597,5,420,420,4,1,210,,,,,373,,210,,,,672,,1,,,,3,35,560,,,7,
2642,Tez Dozen Team λ #242,107,2892.012560208112,4,336,152,1,1,,,,,210,61,,210,,52,,1120,,1,61,,,1,,672,,,7,
3221,Tez Dozen Team μ #341,108,2889.006861251216,12,840,210,1,1,,,,,280,,,1120,,168,,,,1,36,,,1,,210,,,7,
3294,Tez Dozen Team μ #414,109,2883.461004785258,4,336,197,1,1,305,,,,,,,140,,373,,197,,4,33,,,1,160,1120,,,7,
2914,Tez Dozen Team μ #034,110,2878.2059427626214,55,560,,1,1,,,,,,560,,134,,63,,1120,,1,,,,1,,373,,,7,
2956,Tez Dozen Team μ #076,111,2870.6014181244545,4,480,,1,1,129,,,,,840,,224,,224,,336,,4,57,,,1,224,336,,,7,
2778,Tez Dozen Team λ #378,112,2869.376800092498,4,336,49,1,1,1120,,,,,73,,240,,120,,305,,4,46,,,1,,560,,,7,
3306,Tez Dozen Team μ #426,113,2864.272054203022,4,336,1120,1,1,,,,,240,168,,280,,,,258,,1,36,,,1,35,373,,,7,
3266,Tez Dozen Team μ #386,114,2858.423022295045,4,373,140,1,1,840,,,,258,480,,210,,36,,197,,1,,,,1,,305,,,7,
2762,Tez Dozen Team λ #362,115,2856.336770550341,55,672,,1,1,,,,,,61,,336,,373,1120,,,4,,,,1,,224,,,7,
3114,Tez Dozen Team μ #234,116,2854.285306308341,5,420,,4,1,,,,,,1120,,140,,152,,373,,4,29,,,1,34,560,,,7,
3115,Tez Dozen Team μ #235,117,2848.1874109382143,5,672,258,1,1,560,,,,,336,,336,,420,,,,1,37,,,1,,210,,,7,
3292,Tez Dozen Team μ #412,118,2848.115259358302,5,197,,1,1,672,,,,,840,,186,,129,,373,,1,57,,,1,,373,,,7,
3162,Tez Dozen Team μ #282,119,2843.638770330089,5,560,305,1,1,373,,,,,336,,197,,84,,840,,1,,,,1,,129,,,7,
2906,Tez Dozen Team μ #026,120,2841.4216102901464,12,305,1120,1,1,,,,,,,,305,,224,,480,,1,46,,,1,,336,,,7,
2940,Tez Dozen Team μ #060,121,2826.2799939156534,12,258,,1,1,840,,,,560,,,210,,186,,373,,1,,,,1,,373,,,7,
3360,Tez Dozen Team μ #480,122,2813.5456312710053,5,240,420,1,1,,,,,,373,,480,,101,,672,,1,88,,,1,,420,,,7,
318,Tez Dozen Team γ #078,123,2806.855562130096,4,1680,,1,1,,5,,,,,,35,,480,,,,4,28,124,,1,80,68,,168,28,96
2900,Tez Dozen Team μ #020,124,2801.523600557471,4,373,480,1,1,240,,,,280,140,,480,,,,373,,1,48,,,1,160,210,,,7,
2981,Tez Dozen Team μ #101,125,2789.358643425215,5,420,305,1,1,672,,,,,,,336,,373,,420,,1,57,,,1,,186,,,7,
3169,Tez Dozen Team μ #289,126,2778.0917769039065,12,197,152,1,1,,,,,373,,,305,,124,,1120,,1,,,,1,,480,,,7,
3129,Tez Dozen Team μ #249,127,2774.94666058232,12,373,,1,1,,,,,258,560,,140,,672,,186,,1,,,,1,,560,,,7,
3048,Tez Dozen Team μ #168,128,2770.506898419842,4,420,420,1,1,240,,,,305,,,210,,73,,480,,1,45,,,1,,560,,,7,
39,Tez Dozen Team α #039,129,2761.0417888318193,4,1680,,1,1,,5,,,,305,,,,101,,70,108,4,67,,,1,,96,,146,28,140
2601,Tez Dozen Team λ #201,130,2758.774542448954,4,336,49,1,1,560,,,,,73,,210,,1120,,93,,1,40,,,1,,224,,36,7,
3109,Tez Dozen Team μ #229,131,2755.980302187569,4,280,152,1,1,,,,,,420,,480,,101,,840,,4,37,,,1,50,373,,,7,
3303,Tez Dozen Team μ #423,132,2752.234578819761,4,305,,4,1,129,,,,,336,,672,,373,,240,,4,29,,,1,84,560,,,7,
3301,Tez Dozen Team μ #421,133,2746.571596912928,4,197,152,1,1,373,,,,,336,,840,,54,,420,,4,,,,1,224,129,,,7,
2557,Tez Dozen Team λ #157,134,2744.6259669360215,4,224,,1,1,115,,,,,373,,224,,210,1120,160,,4,,,,1,,258,,39,7,
2499,Tez Dozen Team λ #099,135,2739.611395748065,4,224,152,4,1,840,,,,,73,,176,,210,480,,,4,,,,1,,280,,280,7,
3199,Tez Dozen Team μ #319,136,2738.033596690362,4,336,224,1,1,98,,,,280,160,,305,,81,,840,,1,58,,,1,,336,,,7,
2884,Tez Dozen Team μ #004,137,2737.6861313739437,4,373,336,4,1,672,,,,,336,,240,,36,,480,,1,33,,,1,,210,,,7,
3110,Tez Dozen Team μ #230,138,2726.6667937391358,5,420,224,1,1,,,,,,420,,176,,,,672,,4,197,,,1,35,560,,,7,
2575,Tez Dozen Team λ #175,139,2725.271306672554,5,210,152,1,1,,,,,258,,,176,,84,,112,,1,33,,,1,,1680,,,7,
266,Tez Dozen Team γ #026,140,2724.6390476222455,5,1680,,1,1,,5,,,,,,28,,258,,168,,4,28,124,,1,43,105,,112,28,129
3240,Tez Dozen Team μ #360,141,2723.0034692990216,4,240,224,1,1,,,,,240,186,,134,,420,,840,,1,48,,,1,,373,,,7,
3066,Tez Dozen Team μ #186,142,2722.7973243817314,12,336,1120,1,1,,,,,,,,280,,,,258,,1,197,,,3,224,280,,,7,
3159,Tez Dozen Team μ #279,143,2719.867632980004,5,280,210,1,1,197,,,,,,,176,,1120,,336,,1,45,,,1,,336,,,7,
47,Tez Dozen Team α #047,144,2718.537321844581,5,1680,,1,1,63,5,,,,129,,,,,,168,108,1,38,,,3,108,96,,140,28,140
2964,Tez Dozen Team μ #084,145,2716.365746248556,4,197,115,1,1,,,,,,560,,176,,240,,672,,4,88,,,1,86,560,,,7,
3253,Tez Dozen Team μ #373,146,2694.8092085998164,5,336,560,1,1,,,,,,140,,186,,168,,840,,4,,,,1,70,373,,,7,
3216,Tez Dozen Team μ #336,147,2694.566405482351,12,280,101,1,1,176,,,,,,,1120,,,,480,,1,29,,,3,,480,,,7,
3000,Tez Dozen Team μ #120,148,2691.1183934055184,5,240,224,1,1,,,,,,560,,210,,,,672,,1,305,,,3,86,373,,,7,
2733,Tez Dozen Team λ #333,149,2686.3785752157855,5,672,,1,1,280,,,,,,,224,,,,129,,1,28,,,3,176,1120,,36,7,
3015,Tez Dozen Team μ #135,150,2676.4851221207814,12,373,280,1,1,,,,,420,,,186,,240,,672,,1,,,,1,,480,,,7,
3222,Tez Dozen Team μ #342,151,2674.3733865211693,4,560,305,1,1,258,,,,,305,,240,,197,,258,,4,,,,1,224,305,,,7,
2967,Tez Dozen Team μ #087,152,2669.5342143254747,4,420,,4,1,115,,,,280,560,,480,,,,336,,1,33,,,1,50,373,,,7,
3187,Tez Dozen Team μ #307,153,2669.392689800626,12,420,,1,1,,,,,,140,,1120,,,,258,,1,93,,,3,50,560,,,7,
73,Tez Dozen Team α #073,154,2666.5971491302494,9,1120,,4,35,,5,,,,168,,373,,54,,168,108,1,67,,,1,140,101,,140,28,140
2613,Tez Dozen Team λ #213,155,2658.584828193794,5,240,49,1,1,280,,,,,,,240,,84,,1120,,1,67,,,1,,560,,,7,
199,Tez Dozen Team β #079,156,2658.012380730613,5,1120,,4,1,,,,,,197,,840,,,,52,96,1,,,96,1,,93,,120,28,
2905,Tez Dozen Team μ #025,157,2655.0187737269516,5,240,420,1,1,210,,,,,160,,420,,,,672,,1,,,,3,176,336,,,7,
3019,Tez Dozen Team μ #139,158,2649.125797238275,4,305,420,1,1,,,,,,420,,134,,146,,560,,4,48,,,1,35,560,,,7,
3250,Tez Dozen Team μ #370,159,2643.5861171009656,5,258,101,1,1,,,,,280,140,,1120,,373,,,,1,112,,,1,,240,,,7,
1634,Tez Dozen Team ι #194,160,2638.399263380216,9,50,560,4,1,,,57,,420,224,224,134,,67,,186,,1,48,,,1,,160,,480,7,
3194,Tez Dozen Team μ #314,161,2636.4468777519846,5,420,197,1,1,280,,,,,,,840,,224,,420,,4,,,,1,47,186,,,7,
3308,Tez Dozen Team μ #428,162,2627.1383182504965,4,373,560,1,1,240,,,,,,,186,,240,,373,,4,38,,,1,35,560,,,7,
112,Tez Dozen Team α #112,163,2619.5849813950513,5,1680,,1,1,90,5,,,,129,,,,,,,115,1,,,,3,373,101,,,28,81
2723,Tez Dozen Team λ #323,164,2615.993582182285,4,258,152,1,1,1120,,,,,61,,210,,112,,129,,4,73,,,1,,480,,,7,
3135,Tez Dozen Team μ #255,165,2613.514565464196,5,240,1120,1,1,,,,,,168,,168,,146,,336,,1,112,,,1,,305,,,7,
2682,Tez Dozen Team λ #282,166,2611.4480698646953,4,280,186,1,1,672,,,,101,73,,197,,81,,88,,1,73,,,1,,840,,,7,
2784,Tez Dozen Team λ #384,167,2609.001196480239,5,224,49,1,1,672,,,,,,,140,,146,,840,,1,39,,,1,,480,,,7,
3167,Tez Dozen Team μ #287,168,2608.148857943625,5,373,115,1,1,210,,,,,,,480,,420,,373,,1,197,,,1,,420,,,7,
3186,Tez Dozen Team μ #306,169,2607.9651602504473,4,373,305,1,1,115,,,,,,,168,,88,,1120,,4,61,,,1,50,305,,,7,
3080,Tez Dozen Team μ #200,170,2607.026844512737,4,420,480,4,1,,,,,280,197,,480,,,,420,,1,29,,,1,70,210,,,7,
2850,Tez Dozen Team λ #450,171,2601.639327967316,4,258,49,1,1,840,,,,152,61,,210,,,,112,,1,61,,,1,168,672,,,7,
3071,Tez Dozen Team μ #191,172,2601.1908105831753,4,176,,1,1,210,,,,,560,,672,,240,,186,,4,112,,,1,50,373,,,7,
3090,Tez Dozen Team μ #210,173,2598.8624387957398,5,420,,4,1,672,,,,,197,,146,,,,560,,1,29,,,3,176,373,,,7,
3028,Tez Dozen Team μ #148,174,2591.933463484851,4,258,280,1,1,560,,,,,168,,176,,146,,672,,1,33,,,1,,280,,,7,
3171,Tez Dozen Team μ #291,175,2584.0420657902496,4,280,140,1,1,176,,,,420,,,176,,373,,672,,1,88,,,1,,240,,,7,
2626,Tez Dozen Team λ #226,176,2577.5111789942716,4,176,146,4,1,373,,,,,,,210,,373,840,93,,4,,,,1,,305,,36,7,
3085,Tez Dozen Team μ #205,177,2577.5024923733563,5,176,101,4,1,,,,,,134,,176,,88,,1120,,1,197,,,1,,560,,,7,
3319,Tez Dozen Team μ #439,178,2574.446677480548,4,258,210,1,1,258,,,,420,186,,168,,186,,336,,1,160,,,1,,373,,,7,
3339,Tez Dozen Team μ #459,179,2570.4311439808134,12,480,224,4,1,,,,,560,,,480,,108,,480,,1,,,,1,,210,,,7,
2714,Tez Dozen Team λ #314,180,2566.97664039321,4,224,88,1,1,,,,,,78,,152,,240,1120,115,,4,,,,1,,420,,108,7,
3337,Tez Dozen Team μ #457,181,2564.4851221207814,12,240,420,1,1,,,,,280,,,480,,186,,373,,1,,,,1,,560,,,7,
3,Tez Dozen Team α #003,182,2562.8475205285636,5,1120,,1,1,,15,,,,115,,,,152,,176,108,4,71,,,1,373,101,,176,28,108
2748,Tez Dozen Team λ #348,183,2562.5299687692295,4,224,,1,1,420,,,,,78,,197,,80,,1120,,1,37,,,1,,280,,108,7,
2710,Tez Dozen Team λ #310,184,2558.0057428831833,4,112,152,1,1,280,,,,,73,,176,,,,840,,1,29,,,3,35,840,,,7,
2657,Tez Dozen Team λ #257,185,2557.4786712312894,4,224,49,1,1,840,,,,373,146,,176,,101,,115,,1,33,,,1,,480,,,7,
2957,Tez Dozen Team μ #077,186,2555.406610152575,12,420,152,1,1,,,,,,,,210,,,,672,,1,186,,,3,47,840,,,7,
3148,Tez Dozen Team μ #268,187,2549.2246632813753,12,240,,1,1,129,,,,,560,,672,,,,373,,1,,,,1,176,373,,,7,
