ID,Name,Rank,Rarity_Score,Attributes-Scores,Bonding level-Scores,Breed-Scores,Breeding count-Scores,Eyes color-Scores,Friendliness-Scores,Fur color-Scores,Gender-Scores,Generation-Scores,Group-Scores,Intelligence-Scores,Obedience-Scores,Primary personality-Scores,Rarity tier-Scores,Secondary personality-Scores,Size-Scores,Status-Scores,Strength-Scores,Vitality-Scores
1015,Dogami #1015,38,3638.7252784322727,1,1,9,1,98,2,3435,2,1,5,12,5,18,1,19,5,1,12,6
4557,Dogami #4557,39,3619.58500919666,1,1,10,1,11,9,3435,2,1,5,4,8,18,3,19,6,1,72,6
7273,Dogami #7273,40,3618.112365726361,1,1,10,1,21,2,3435,2,1,3,7,5,21,1,19,5,1,72,5
874,Dogami #874,41,3611.1883676725374,1,1,10,1,35,9,3435,1,1,5,6,10,20,12,22,5,1,18,12
6708,Dogami #6708,42,3608.302701572354,1,1,10,1,12,15,3435,1,1,5,4,8,20,1,52,5,1,19,10
3060,Dogami #3060,43,3589.838820659055,1,1,10,1,20,2,3435,1,1,3,29,8,21,1,19,6,1,18,5
391,Dogami #391,44,3589.4271396491836,1,1,9,1,12,2,3435,2,1,5,10,14,47,1,19,5,1,6,10
7881,Dogami #7881,45,3586.5727559753236,1,1,10,1,20,2,3435,2,1,5,4,8,54,1,19,6,1,5,5
3834,Pixel,46,3586.252862755638,1,1,10,1,20,41,3435,2,1,3,4,8,18,1,19,6,1,3,6
6968,Callie,47,3581.69905000841,1,1,9,1,12,9,3435,1,1,5,10,10,18,3,19,6,1,6,26
896,Dogami #896,48,3579.46119897685,1,1,9,1,11,2,3435,1,1,5,6,8,52,1,22,5,1,3,6
1317,Dogami #1317,49,3577.9511716979414,1,1,9,1,42,2,3435,1,1,5,7,8,18,1,21,6,1,5,5
7723,Dogami #7723,50,3574.7299774075186,1,1,10,1,12,15,3435,1,1,5,6,8,20,1,19,6,1,18,6
5023,Dogami #5023,51,3570.27683866667,1,1,9,1,12,20,3435,1,1,4,6,8,20,3,19,5,1,6,8
6809,Dogami #6809,52,3569.2199958350507,1,1,10,1,11,20,3435,2,1,3,4,14,20,3,19,6,1,3,8
7145,Dogami #7145,53,3566.9362715612974,1,1,10,1,12,2,2290,2,1,5,10,1145,46,1,20,5,1,3,6
1039,Dogami #1039,54,3566.8676802585646,1,1,9,1,12,20,3435,1,1,4,4,8,19,1,22,6,1,6,6
2386,Dogami #2386,55,3557.594907888423,1,1,10,1,11,12,3435,2,1,5,6,8,21,1,19,6,1,5,6
782,Dogami #782,56,3557.184877550224,1,1,9,1,12,2,3435,1,1,5,4,8,20,1,19,6,1,19,5
6333,Dogami #6333,57,3549.599622303177,1,1,9,1,12,2,3435,2,1,5,6,5,20,1,19,5,1,12,5
1215,Dogami #1215,58,3547.397968180506,1,1,9,1,12,2,3435,2,1,5,6,8,20,1,19,5,1,5,6
6188,Dogami #6188,59,3207.006529026377,1,1,9,1,2290,9,763,2,1,5,6,8,19,1,48,5,1,3,26
3608,Dogami #3608,60,3037.9081983362867,1,1,9,1,2290,2,624,1,1,5,29,8,20,1,21,6,1,3,8
4249,Dogami #4249,61,2691.1320120232554,1,1,10,1,12,2,858,1,1,3,1717,5,20,1,19,5,1,21,6
1641,Dogami #1641,62,2690.2003299646235,1,1,9,1,42,2,180,2,1,5,16,5,20,1,53,5,1,2290,49
5018,Dogami #5018,63,2585.6996373507636,1,1,9,1,118,2,2290,2,1,5,34,8,20,1,52,5,1,3,26
1332,Spica,64,2565.5195574065237,1,1,9,1,78,2,98,1,1,5,16,5,18,3,19,6,1,2290,6
7177,Dogami #7177,65,2547.5686514659274,1,1,10,1,49,2,2290,2,1,5,16,78,51,1,19,5,1,3,6
7838,Dogami #7838,66,2537.7238742804097,1,1,9,1,89,2,2290,1,1,5,6,5,21,3,52,5,1,6,33
7351,Dogami #7351,67,2532.165735998008,1,1,10,1,12,15,2290,2,1,5,6,8,112,1,20,6,1,24,10
2580,Dogami #2580,68,2531.055898979748,1,1,10,1,12,2,2290,2,1,5,34,78,21,3,49,6,1,3,8
2042,Shadow,69,2516.2741322259167,1,1,10,1,21,2,109,1,1,3,6,8,20,3,21,5,1,2290,6
7213,Dogami #7213,70,2514.126096773273,1,1,9,1,11,2,2290,2,1,5,7,8,21,3,109,6,1,5,26
5105,Dogami #5105,71,2513.627675738784,1,1,9,1,89,2,2290,1,1,5,29,8,21,3,22,6,1,5,12
911,Dogami #911,72,2505.4943259306206,1,1,10,1,12,2,2290,1,1,5,7,78,54,1,19,6,1,3,6
1297,Dogami #1297,73,2504.953494936281,1,1,9,1,2290,2,99,1,1,5,12,14,20,1,19,6,1,6,10
3219,Dogami #3219,74,2500.2823940151943,1,1,9,1,11,2,2290,2,1,5,34,78,21,1,21,5,1,3,6
7285,Dogami #7285,75,2476.165510337663,1,1,10,1,11,2,2290,2,1,5,12,78,18,1,21,6,1,3,8
3780,Dogami #3780,76,2467.274999866654,1,1,9,1,37,2,2290,1,1,5,12,8,20,3,52,5,1,6,5
3059,Dogami #3059,77,2467.2330061817343,1,1,10,1,12,2,2290,1,1,5,6,10,49,1,57,5,1,3,5
854,Dogami #854,78,2465.623043418028,1,1,10,1,12,15,2290,1,1,5,6,8,20,1,57,5,1,18,6
6662,Dogami #6662,79,2454.58416526421,1,1,9,1,12,2,2290,1,1,5,6,8,21,48,19,6,1,5,12
4842,Dogami #4842,80,2453.901599529991,1,1,10,1,43,15,2290,1,1,5,4,8,18,1,19,5,1,12,12
4888,Dogami #4888,81,2453.159439194138,1,1,9,1,11,2,2290,2,1,5,10,5,21,3,52,5,1,21,6
6745,Dogami #6745,82,2451.7183814241794,1,1,10,1,42,20,2290,2,1,3,6,10,18,3,19,6,1,3,10
5155,Dogami #5155,83,2443.7543088866396,1,1,9,1,40,2,2290,2,1,5,16,8,20,1,21,5,1,3,10
4782,Dogami #4782,84,2438.75647985421,1,1,10,1,20,28,2290,1,1,3,6,8,18,1,22,6,1,3,10
3912,Dogami #3912,85,2437.176633437453,1,1,10,1,21,2,2290,1,1,3,6,10,44,3,19,6,1,5,8
3763,Dogami #3763,86,2435.1896295747065,1,1,10,1,20,9,2290,2,1,5,4,8,20,1,19,5,1,21,10
1469,Dogami #1469,87,2434.5106764538664,1,1,9,1,11,2,2290,1,1,5,12,10,42,3,19,6,1,5,8
5578,Dogami #5578,88,2431.1548672495846,1,1,10,1,12,2,2290,1,1,5,34,8,21,3,19,6,1,3,6
5281,Dogami #5281,89,2428.179070229518,1,1,10,1,19,2,2290,1,1,5,29,8,18,1,19,6,1,3,6
6309,Dogami #6309,90,2427.4692150276655,1,1,10,1,20,2,2290,2,1,3,12,8,20,3,19,5,1,18,6
2598,Dogami #2598,91,2426.596738672054,1,1,9,1,12,2,2290,2,1,5,7,8,20,1,19,6,1,3,33
3247,Dogami #3247,92,2426.439207576001,1,1,9,1,12,9,2290,1,1,5,7,8,20,12,19,6,1,3,12
5851,Dogami #5851,93,2424.163883759559,1,1,9,1,11,2,2290,2,1,5,16,5,18,1,19,5,1,24,6
6395,Dogami #6395,94,2421.3456282089196,1,1,9,1,12,9,2290,2,1,5,7,14,20,1,19,5,1,3,12
5661,Bruno,95,2421.331527963953,1,1,10,1,20,12,2290,2,1,3,4,14,20,1,19,5,1,3,8
218,Dogami #218,96,2418.5516521251616,1,1,9,1,12,2,2290,2,1,5,7,14,18,12,22,6,1,3,6
2359,Dogami #2359,97,2418.358413866095,1,1,10,1,11,2,2290,2,1,5,6,8,18,3,21,5,1,20,5
4487,Dogami #4487,98,2417.603347074148,1,1,10,1,12,2,2290,2,1,3,10,8,18,1,19,5,1,18,8
3531,Lucy,99,2417.3131537647323,1,1,10,1,12,9,2290,1,1,5,4,5,19,1,19,6,1,18,6
7279,Dogami #7279,100,2416.427564500997,1,1,10,1,21,2,2290,2,1,5,10,8,21,3,19,5,1,3,8
248,Dogami #248,101,2405.3504692555407,1,1,10,1,20,2,1145,2,1,5,7,1145,20,1,19,6,1,6,8
3428,Dogami #3428,102,2373.860966371018,1,1,10,1,12,2,528,2,1,3,1717,5,20,1,21,5,1,5,33
2718,Dogami #2718,103,2216.9168887584938,1,1,9,1,1717,2,327,1,1,5,7,5,51,3,19,6,1,21,33
1063,Dogami #1063,104,2189.893126644267,1,1,9,1,687,2,1374,2,1,5,10,8,18,1,19,6,1,5,33
7097,Dogami #7097,105,2111.2533951161904,1,1,9,1,1717,2,286,1,1,5,6,5,20,1,19,6,1,18,5
5029,Dogami #5029,106,2098.721952536944,1,1,10,1,274,2,1717,2,1,3,6,14,18,3,19,5,1,6,8
3586,Dogami #3586,107,2083.35642302381,1,1,10,1,34,9,1717,1,1,5,10,190,18,1,57,6,1,5,8
1716,Coco,108,2082.1256349711784,1,1,10,1,167,9,1717,1,1,5,7,8,18,1,110,6,1,5,6
4389,Dogami #4389,109,2076.4976450311633,1,1,10,1,236,28,1717,2,1,3,4,8,20,3,19,5,1,5,5
4512,Dogami #4512,110,2053.351339411748,1,1,10,1,35,2,1717,2,1,3,171,5,20,1,40,5,1,5,26
4500,Dogami #4500,111,2053.1240180208893,1,1,10,1,20,2,1717,1,1,5,16,190,42,3,19,6,1,5,6
7415,Dogami #7415,112,2006.7986181662054,1,1,10,1,12,2,687,2,1,5,16,1145,48,1,52,5,1,5,8
4575,Dogami #4575,113,2003.0404736474643,1,1,10,1,50,2,1717,1,1,3,12,5,112,3,50,6,1,12,10
6499,Dogami #6499,114,1999.400764411596,1,1,10,1,20,2,146,1,1,3,1717,5,20,12,19,6,1,18,10
1604,Nimbus JoyBoy,115,1988.4346062065822,1,1,10,1,49,2,1717,2,1,3,6,8,107,1,40,5,1,19,8
5211,Dogami #5211,116,1978.7261493229394,1,1,10,1,12,2,146,1,1,3,1717,5,20,3,19,6,1,18,6
473,Dogami #473,117,1971.0983040542046,1,1,10,1,20,101,1717,1,1,3,6,8,21,3,52,6,1,5,8
6354,Dogami #6354,118,1967.224550902832,1,1,10,1,20,2,1717,2,1,5,4,8,110,1,44,5,1,19,10
7538,Dogami #7538,119,1966.541889538958,1,1,10,1,19,9,1717,2,1,5,34,78,47,1,19,5,1,3,5
5604,Dogami #5604,120,1960.8536918902491,1,1,9,1,12,101,1717,1,1,9,6,8,21,3,47,6,1,3,5
2074,Dogami #2074,121,1942.4594343926371,1,1,9,1,1145,9,687,2,1,5,12,8,18,1,19,5,1,5,6
7103,Dogami #7103,122,1936.2361710407895,1,1,9,1,1717,9,99,1,1,5,16,5,18,3,19,5,1,6,12
2475,Dogami #2475,123,1934.980182096721,1,1,10,1,20,101,1717,2,1,3,4,8,20,1,22,5,1,5,6
6585,Dubby,124,1932.1204431292947,1,1,10,1,12,2,1717,2,1,5,6,78,20,1,49,5,1,5,8
7499,Dogami #7499,125,1918.2784922755868,1,1,9,1,1717,2,90,1,1,5,10,5,20,1,19,6,1,12,10
370,Dogami #370,126,1910.8444799908475,1,1,10,1,11,2,1717,2,1,3,7,5,49,1,19,5,1,19,49
6397,Malteser,127,1909.4363892354634,1,1,9,1,12,20,1717,1,1,9,6,10,44,1,52,5,1,3,8
4761,Dogami #4761,128,1896.967633745962,1,1,9,1,42,41,1717,1,1,4,4,8,21,1,21,5,1,3,6
3099,Dogami #3099,129,1893.8148384384679,1,1,10,1,20,12,1717,2,1,5,4,8,21,1,52,6,1,19,8
4504,Dogami #4504,130,1892.5156671188079,1,1,10,1,12,9,1717,2,1,5,6,8,21,1,52,5,1,20,12
2364,Dogami #2364,131,1890.223801961681,1,1,10,1,43,12,1717,1,1,5,4,8,18,3,19,6,1,20,12
711,Dogami #711,132,1885.814713996787,1,1,9,1,21,20,1717,1,1,4,6,8,21,1,50,6,1,3,6
6958,Caramelo,133,1885.625696251283,1,1,9,1,12,28,1717,2,1,4,6,8,48,1,21,6,1,5,6
1851,Dogami #1851,134,1885.546430716253,1,1,10,1,35,2,1717,2,1,5,34,10,18,3,21,5,1,5,8
1972,Dogami #1972,135,1884.7600626656208,1,1,10,1,12,2,1717,1,1,3,12,8,20,1,57,6,1,19,6
2231,Dogami #2231,136,1882.369635583641,1,1,9,1,12,20,1717,2,1,4,6,8,18,1,49,5,1,12,6
5964,Dogami #5964,137,1880.5685023733647,1,1,10,1,19,2,1717,2,1,3,16,10,42,1,18,5,1,18,6
3090,Dogami #3090,138,1879.368888411593,1,1,10,1,20,9,1717,1,1,5,38,8,21,1,22,6,1,5,5
1129,Dogami #1129,139,1874.2166901920248,1,1,10,1,20,9,1717,2,1,5,34,10,18,3,19,5,1,3,8
378,Dogami #378,140,1873.1822855177588,1,1,9,1,38,20,1717,1,1,4,7,10,18,1,19,6,1,3,6
1648,Waon,141,1873.0695476873586,1,1,10,1,12,20,1717,2,1,3,4,14,44,3,19,6,1,3,6
3311,Dogami #3311,142,1870.6947676525897,1,1,10,1,40,2,1717,2,1,3,6,8,18,1,21,5,1,18,8
6284,Dogami #6284,143,1870.276975614651,1,1,9,1,37,20,1717,2,1,4,7,8,18,1,19,6,1,3,6
2040,Dogami #2040,144,1868.6525597156096,1,1,10,1,12,2,1717,2,1,3,6,8,44,1,19,6,1,20,8
5188,Dogami #5188,145,1864.925571891371,1,1,9,1,11,9,1717,1,1,4,4,8,48,1,19,5,1,6,8
5033,Dogami #5033,146,1862.0592217333963,1,1,10,1,12,2,1717,2,1,5,10,8,48,1,19,5,1,6,6
2871,Dogami #2871,147,1859.8155324760241,1,1,9,1,19,20,1717,1,1,4,7,8,21,3,19,5,1,5,8
7387,Dogami #7387,148,1859.6684405224669,1,1,10,1,12,2,1717,1,1,5,38,8,20,1,19,6,1,5,6
4532,Dogami #4532,149,1857.5727450466516,1,1,10,1,21,12,1717,2,1,5,4,5,21,1,19,5,1,20,5
527,Shibou,150,1853.5574353591942,1,1,10,1,20,2,1717,1,1,3,7,5,18,1,19,6,1,6,26
3815,Dogami #3815,151,1852.697747791847,1,1,10,1,12,2,1717,1,1,3,16,10,20,1,19,5,1,21,5
1826,Dogami #1826,152,1851.9600196468555,1,1,10,1,12,28,1717,2,1,3,4,8,20,3,19,5,1,3,8
7827,Dogami #7827,153,1851.1201559854162,1,1,10,1,12,2,1717,1,1,5,7,28,21,3,19,6,1,3,6
606,Dogami #606,154,1849.7063122843097,1,1,10,1,11,2,1717,2,1,3,12,8,19,1,19,5,1,21,8
5914,Dune,155,1847.9638463735205,1,1,10,1,11,21,1717,1,1,3,4,10,20,1,19,6,1,3,10
841,Dogami #841,156,1847.173524644981,1,1,9,1,12,20,1717,1,1,4,7,8,20,1,19,5,1,3,8
990,Dogami #990,157,1846.0266793399824,1,1,9,1,20,9,1717,1,1,4,6,10,20,1,19,6,1,3,8
1312,Dogami #1312,158,1845.4699021079746,1,1,10,1,12,15,1717,1,1,5,6,8,20,1,19,5,1,6,8
731,Carl,159,1842.3893323962704,1,1,10,1,12,21,1717,2,1,3,4,8,20,1,19,6,1,3,6
7655,Dogami #7655,160,1842.2529897251286,1,1,10,1,11,15,1717,1,1,3,4,10,20,1,20,5,1,3,10
2694,Dogami #2694,161,1840.1128567867327,1,1,10,1,12,2,1717,1,1,5,16,8,18,1,21,6,1,6,5
7423,Dogami #7423,162,1839.4230959123456,1,1,10,1,12,12,1717,1,1,5,4,8,21,1,19,5,1,6,6
382,Dogami #382,163,1838.9058478292404,1,1,10,1,11,2,1717,1,1,5,16,10,20,3,19,5,1,5,5
6628,Dogami #6628,164,1836.3313123508722,1,1,10,1,12,2,1717,2,1,5,10,10,18,1,20,5,1,5,8
6871,Dogami #6871,165,1835.8123045469258,1,1,10,1,11,9,1717,2,1,5,4,8,20,3,19,6,1,5,6
445,Dogami #445,166,1831.630846679694,1,1,10,1,12,2,1717,1,1,5,12,8,18,3,19,5,1,3,6
7377,Dogami #7377,167,1830.1801500066945,1,1,10,1,12,2,1717,1,1,5,6,8,20,1,19,6,1,5,8
2379,Dogami #2379,168,1756.8121046946574,1,1,10,1,12,2,1374,1,1,5,7,190,18,3,109,5,1,5,5
2193,Dogami #2193,169,1744.112335615663,1,1,10,1,20,2,1374,2,1,5,38,190,18,3,52,5,1,6,8
3483,Dogami #3483,170,1742.1570503295707,1,1,10,1,264,2,1374,2,1,5,4,8,20,1,19,6,1,6,12
4299,Dogami #4299,171,1730.5512302835543,1,1,9,1,245,9,1374,1,1,5,12,8,18,1,19,5,1,5,8
923,Dogami #923,172,1708.1779410476533,1,1,9,1,429,2,1145,1,1,5,12,8,20,12,19,6,1,21,8
5331,Dogami #5331,173,1661.0987840898079,1,1,9,1,118,2,1374,2,1,5,29,28,20,1,48,5,1,5,5
3150,Dogami #3150,174,1656.666319022731,1,1,10,1,20,2,1374,2,1,5,34,8,105,48,19,6,1,6,8
4002,Dogami #4002,175,1645.3878312127229,1,1,10,1,38,143,1374,2,1,3,4,8,20,1,19,6,1,3,5
3467,Dogami #3467,176,1642.1938384930256,1,1,10,1,35,858,572,1,1,3,4,8,20,1,101,6,1,5,8
688,Dogami #688,177,1640.4721440305525,1,1,10,1,38,2,1374,2,1,5,7,14,112,1,50,5,1,5,5
4768,Dogami #4768,178,1636.2391802008497,1,1,10,1,20,20,1374,1,1,3,4,8,44,3,122,5,1,3,8
1922,Snoop Dogg,179,1634.7298864933969,1,1,10,1,20,2,1374,2,1,5,7,78,18,1,89,5,1,5,8
6513,Bonita,180,1622.7719093633232,1,1,10,1,12,2,1374,1,1,5,76,78,20,1,19,5,1,3,5
212,Dogami #212,181,1622.4251556933984,1,1,9,1,763,2,763,2,1,5,7,8,18,1,19,6,1,3,6
1211,Dogami #1211,182,1611.2456743361927,1,1,9,1,105,9,1374,2,1,5,12,14,19,12,21,5,1,5,8
6874,Dogami #6874,183,1610.1828882769614,1,1,9,1,98,9,1374,1,1,5,10,8,20,1,44,6,1,3,10
7954,Dogami #7954,184,1598.6225417660405,1,1,10,1,19,2,1374,1,1,3,6,8,51,48,49,5,1,6,5
127,Dogami #127,185,1596.901854956428,1,1,10,1,12,9,1374,2,1,5,4,8,20,1,122,5,1,6,6
893,Dogami #893,186,1596.3215173100148,1,1,9,1,105,9,1374,2,1,5,16,8,20,1,19,5,1,5,6
6434,Dogami #6434,187,1590.5291564028578,1,1,9,1,12,2,1374,2,1,5,16,8,20,48,40,5,1,5,33
1578,Dogami #1578,188,1587.7727993616675,1,1,10,1,35,2,1374,1,1,5,16,78,21,3,19,5,1,3,5
6283,Dogami #6283,189,1587.1038800381718,1,1,10,1,12,101,1374,2,1,3,4,14,20,1,22,5,1,3,5
4305,Dogami #4305,190,1587.0071555021889,1,1,10,1,21,2,1374,2,1,5,6,10,18,1,110,5,1,5,8
6053,Dogami #6053,191,1582.9163749445527,1,1,9,1,105,2,1374,1,1,5,7,10,20,1,19,6,1,3,10
5408,Dogami #5408,192,1582.129507506975,1,1,9,1,78,9,1374,1,1,5,34,8,18,1,18,6,1,3,6
7218,Dogami #7218,193,1579.7216370750673,1,1,10,1,12,2,1374,2,1,5,76,8,44,1,19,5,1,3,8
4186,Dogami #4186,194,1579.1326766435802,1,1,9,1,20,12,1374,1,1,4,10,8,21,1,89,6,1,5,6
2218,Zetsu,195,1573.9390214151902,1,1,9,1,49,9,1374,2,1,5,6,8,42,3,19,6,1,5,26
677,Dogami #677,196,1565.129504789571,1,1,9,1,12,20,1374,2,1,4,7,8,52,1,50,5,1,3,5
4319,Dogami #4319,197,1561.14541428078,1,1,9,1,1145,2,286,1,1,5,16,28,20,1,19,6,1,6,6
1071,Dogami #1071,198,1559.5727555245933,1,1,10,1,43,15,1374,2,1,5,4,8,20,1,44,5,1,12,6
5222,Dogami #5222,199,1558.7875473772265,1,1,10,1,12,2,1374,1,1,5,10,78,19,1,19,6,1,5,5
1335,Dogami #1335,200,1557.8661202749643,1,1,9,1,49,2,1374,2,1,5,10,8,18,1,53,5,1,5,6
1873,Dogami #1873,201,1556.402667114471,1,1,10,1,21,41,1374,2,1,3,4,8,21,1,47,5,1,3,5
3967,Dogami #3967,202,1555.7744240162829,1,1,10,1,38,2,1374,2,1,5,16,14,46,3,19,5,1,3,10
3542,Dogami #3542,203,1552.2620932879925,1,1,9,1,38,9,1374,1,1,4,6,14,21,1,44,6,1,6,6
5919,Dogami #5919,204,1550.5606959417387,1,1,9,1,12,2,1374,2,1,5,29,8,50,3,22,5,1,6,12
1174,Dogami #1174,205,1549.935620437656,1,1,9,1,12,2,1374,2,1,5,6,8,46,1,57,5,1,5,6
252,Dogami #252,206,1546.950778838612,1,1,9,1,12,2,1374,2,1,5,16,8,20,3,52,6,1,3,26
2140,Dogami #2140,207,1546.8538013893333,1,1,9,1,12,20,1374,2,1,4,10,10,50,1,19,5,1,12,6
4313,Dogami #4313,208,1546.0124514562822,1,1,10,1,20,858,572,2,1,3,6,8,20,1,19,5,1,3,8
3901,Dogami #3901,209,1544.4876885109657,1,1,9,1,12,2,1374,2,1,5,16,14,20,12,52,5,1,5,6
5829,Kaja,210,1543.9423789847174,1,1,10,1,42,2,1374,1,1,5,34,10,21,1,19,5,1,3,8
6534,Dogami #6534,211,1542.3719775285142,1,1,10,1,12,2,1374,2,1,3,12,8,21,1,52,5,1,20,10
6530,Dogami #6530,212,1539.1436002857142,1,1,10,1,49,2,1374,1,1,3,6,8,20,3,21,5,1,20,6
106,Dogami #106,213,1536.3142848325544,1,1,10,1,20,2,1374,2,1,5,29,28,20,1,20,5,1,5,6
275,Dogami #275,214,1535.4851192209205,1,1,9,1,40,2,1374,1,1,5,12,8,21,3,19,6,1,12,12
975,Dogami #975,215,1528.8816823278858,1,1,10,1,12,2,1374,1,1,3,7,8,48,1,19,6,1,18,10
1026,Dogerman,216,1528.7029898245642,1,1,10,1,20,2,1374,1,1,5,12,8,52,1,19,5,1,3,6
498,Dogami #498,217,1528.1057464254527,1,1,9,1,12,9,1374,1,1,5,16,10,21,1,44,5,1,5,5
5405,Dogami #5405,218,1528.0004963965698,1,1,10,1,12,15,1374,2,1,3,4,8,21,1,50,5,1,3,10
5484,Dogami #5484,219,1525.6304112563678,1,1,9,1,42,2,1374,2,1,5,12,8,19,3,19,5,1,5,10
3561,Dogami #3561,220,1525.57983317009,1,1,10,1,12,21,1374,2,1,3,4,8,42,1,21,5,1,3,8
702,Dogami #702,221,1525.1619692560218,1,1,10,1,21,20,1374,2,1,3,6,14,20,3,21,5,1,3,12
4794,Dogami #4794,222,1524.724360475366,1,1,9,1,37,2,1374,1,1,5,16,8,21,1,20,5,1,6,8
353,Dogami #353,223,1524.5605804446186,1,1,10,1,34,20,1374,2,1,3,4,8,20,1,21,6,1,3,8
5301,Dogami #5301,224,1523.6153065570568,1,1,9,1,12,2,1374,1,1,5,16,14,20,3,21,6,1,3,26
2566,Dogami #2566,225,1523.5684482703684,1,1,10,1,254,858,312,2,1,3,4,8,18,1,21,5,1,3,12
3399,Dogami #3399,226,1523.4481042622538,1,1,10,1,264,2,1145,1,1,3,4,8,18,1,19,5,1,24,8
3610,Dogami #3610,227,1523.3959797399455,1,1,9,1,12,9,1374,2,1,5,6,10,20,12,19,5,1,3,26
