ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Clolthes,Eyeware,Headware,Mouthpiece,Special
1606,Gecko #1606,39,633.6069506598,6,ffcdc1 ,Purple ,No Clothes ,No Eyeware ,Snapback Purple ,No Mouthpiece ,
2179,Gecko #2179,40,632.1622937811,6,d7f6be ,Light Green ,Formal Suit Blue ,Cyber Glasses Orange ,Romeo Hat ,No Mouthpiece ,
1360,Gecko #1360,41,625.5052929447,6,afc9c8 ,Turquoise ,School Uniform White ,Retro Glasses Pink ,Romeo Hat ,No Mouthpiece ,
1064,Gecko #1064,42,619.6280006746,6,c7e3c9 ,Dark Green ,Doctor Dress ,Square Glasses Pink ,Romeo Hat ,No Mouthpiece ,
1262,Gecko #1262,43,615.7219949522,6,ffffac ,Rainbow Scales ,No Clothes ,Aviators Black ,Riding Helmet GWR ,No Mouthpiece ,
242,Gecko #242,44,612.846333818,6,ffecd6 ,Purple ,Skull Vest Green ,Winged Glasses  Red Turquoise ,Woollen Cap Purple White ,No Mouthpiece ,
1768,Gecko #1768,45,609.1640148637,6,7bcccb ,Green Scales ,Plain Tee Grey ,No Eyeware ,Romeo Hat ,No Mouthpiece ,
1246,Gecko #1246,46,608.8886756152,6,d0bdc3 ,Purple ,Plain Shirt Indigo ,Retro Glasses Orange ,Small Hat Black ,Tobacco Pipe w Smokes ,
566,Gecko #566,47,603.9238542255,6,afc9c8 ,Green Scales ,No Clothes ,Cyber Glasses Orange ,Sheriff Hat Black ,Tobacco Pipe w Smokes ,
25,Gecko #25,48,603.1002784756,6,ffffac ,Dark Green ,Formal Suit Black ,Retro Glasses Blue ,Small Hat Black ,Bandana Purple ,
1997,Gecko #1997,49,588.5507171142,6,e8a1a2 ,Light Green ,Skeleton Tee Black ,Cyber Glasses Orange ,Woollen Cap Purple White ,Party Blower Yellow ,
341,Gecko #341,50,587.3740495114,6,cdf1f1 ,Light Green ,Hawaian Shirt Blue ,Winged Glasses Green Purple ,Woollen Cap Pink Blue ,Blunt ,
748,Gecko #748,51,583.92694018,6,ffffac ,Green Scales ,Formal Suit Purple ,Cyber Glasses Orange ,Cotton Hat Beige ,Joint ,
1200,Gecko #1200,52,577.5651140923,6,ffb6a7 ,Red ,No Clothes ,No Eyeware ,Octo Purple ,Trapped Fly ,
1035,Gecko #1035,53,576.3016151507,6,d7f6be ,Colored Polkadots ,Pattern Tee Purple ,Retro Glasses Orange ,No Headware ,Tobacco Pipe w Smokes ,
190,Gecko #190,54,558.6203656878,6,d2acb1 ,Light Green ,Cop Dress Blue ,No Eyeware ,Greek War Helmet Red ,Tobacco Pipe w Smokes ,
658,Gecko #658,55,557.7783933857,6,e8a1a2 ,Purple ,Greek Robe ,Laser Eyes Red ,Greek War Helmet Red ,Bandana Red ,
579,Gecko #579,56,551.3643462914,6,7bcccb ,Purple ,Skull Vest Green ,No Eyeware ,Woollen Cap Purple White ,Party Blower Yellow ,
1319,Gecko #1319,57,550.8559926771,6,ff8e84 ,Light Green ,Plain Vest ,No Eyeware ,Winged Helmet Mix ,Bubblegum (10) ,
195,Gecko #195,58,547.5033911561,6,ffefff ,Light Green ,Casual Jacket & Tee  ,Retro Glasses Blue ,Mohawk Hair Pink ,No Mouthpiece ,
1175,Gecko #1175,59,541.9994686268,6,d7f6be ,Green Scales ,Skeleton Tee Red ,Winged Glasses Green Purple ,Woollen Cap Purple White ,No Mouthpiece ,
2145,Gecko #2145,60,535.9352256884,6,ffffac ,Turquoise ,Hawaian Shirt Red ,No Eyeware ,Cotton Hat Beige ,Bandana Purple ,
654,Gecko #654,61,534.4709985798,6,cdf1f1 ,Green Scales ,Cheetah Skin ,Cyber Glasses Orange ,Artist Cap ,No Mouthpiece ,
269,Gecko #269,62,534.2309047463,6,c7e3c9 ,Turquoise ,Skeleton Tee Red ,Cyber Glasses Pink ,Octo Purple ,Bandana Red ,
79,Gecko #79,63,529.2753010025,6,e8a1a2 ,Light Green ,Plain Tee Purple ,Square Glasses Orange ,Octo Purple ,No Mouthpiece ,
1243,Gecko #1243,64,525.3425795373,6,e8a1a2 ,Light Green ,Skull Vest Jagger ,Cyber Glasses Indigo ,No Headware ,Tobacco Pipe w Smokes ,
1349,Gecko #1349,65,518.2296691497,6,afc9c8 ,Turquoise ,Skull Vest Jagger ,No Eyeware ,Woollen Cap Pink Blue ,Bandana Red ,
183,Gecko #183,66,506.4954494252,6,ffffac ,Turquoise ,Heart Shirt Grey ,No Eyeware ,No Headware ,Bandana Red ,
483,Gecko #483,67,502.1161741384,6,cdf1f1 ,Green Scales ,Hawaian Shirt Red ,No Eyeware ,Woollen Cap Pink Blue ,No Mouthpiece ,
1589,Gecko #1589,68,500.2220701842,6,d7f6be ,Green Scales ,Knitted Shirt Purple ,No Eyeware ,Octo Purple ,No Mouthpiece ,
1907,Gecko #1907,69,496.6264934187,6,8eb4c5 ,Turquoise ,Hawaian Shirt Blue ,No Eyeware ,Woollen Cap Pink Blue ,No Mouthpiece ,
954,Gecko #954,70,494.9320551065,6,8eb4c5 ,Light Green ,Hawaian Shirt Blue ,No Eyeware ,Octo Purple ,No Mouthpiece ,
1512,Gecko #1512,71,494.2538135071,6,ffefff ,Red ,Hawaian Shirt Purple ,Cyber Glasses Pink ,Cop Hat Black ,No Mouthpiece ,
1694,Gecko #1694,72,490.8350264347,6,8eb4c5 ,Purple ,No Clothes ,Cyber Glasses Seagreen ,Woollen Cap Purple White ,No Mouthpiece ,
1698,Gecko #1698,73,490.2693774169,6,ffefff ,Red ,Knitted Shirt Peach ,No Eyeware ,Snapback Purple ,No Mouthpiece ,
1288,Gecko #1288,74,483.1916082623,6,8eb4c5 ,Red ,No Clothes ,Aviators Black ,Woollen Cap Pink Blue ,No Mouthpiece ,
1322,Gecko #1322,75,467.083141136,6,ffefff ,Purple ,No Clothes ,No Eyeware ,Sheriff Hat Blue ,No Mouthpiece ,
1036,Gecko #1036,76,466.5692255578,6,d2acb1 ,Light Green ,Greek Robe ,Square Glasses Pink ,Cop Hat Blue ,No Mouthpiece ,
159,Gecko #159,77,461.2929989825,6,d2a9ce ,Green Scales ,King Robe ,Winged Glasses  Blue Pink ,Snapback Red ,No Mouthpiece ,
1073,Gecko #1073,78,459.1341759365,6,ffefff ,Green Scales ,No Clothes ,Cyber Glasses Orange ,Punk Hair Indigo ,Bandana Red ,
678,Gecko #678,79,457.0718500178,6,d2acb1 ,Dark Green ,Heart Shirt Grey ,Cyber Glasses Seagreen ,Winged Helmet Mix ,No Mouthpiece ,
650,Gecko #650,80,453.3815731719,6,dbeef6 ,Light Green ,Pattern Tee Purple ,Aviators Black ,Winged Helmet Mix ,No Mouthpiece ,
768,Gecko #768,81,452.5878946966,6,dbeef6 ,Green Scales ,Skeleton Tee Purple ,Retro Glasses Orange ,Winged Helmet Mix ,No Mouthpiece ,
1724,Gecko #1724,82,451.060300184,6,d0bdc3 ,Light Green ,Knitted Shirt Purple ,Aviators Green ,Artist Cap ,No Mouthpiece ,
513,Gecko #513,83,443.4441486029,6,cdf1f1 ,Light Green ,Skull Vest Green ,Square Glasses Pink ,Artist Cap ,No Mouthpiece ,
1595,Gecko #1595,84,441.7570806215,6,ff8e84 ,Green Scales ,Plain Vest ,No Eyeware ,Artist Cap ,No Mouthpiece ,
2090,Gecko #2090,85,441.2768525497,6,d0bdc3 ,Dark Green ,Greek Robe ,No Eyeware ,Greek War Helmet Blue ,Bandana Purple ,
969,Gecko #969,86,440.4752649313,6,d2a9ce ,Dark Green ,No Clothes ,Winged Glasses  Blue Pink ,Winged Helmet Mix ,No Mouthpiece ,
1306,Gecko #1306,87,435.9974687014,6,ffefff ,Dark Green ,Pattern Shirt Grey ,Cyber Glasses Orange ,No Headware ,No Mouthpiece ,
950,Gecko #950,88,434.3537533116,6,c7e3c9 ,Turquoise ,King Robe ,Square Glasses Black ,Devil Horns Red ,Bandana Red ,
1207,Gecko #1207,89,434.1594509827,6,ff8e84 ,Dark Green ,Pattern Tee Purple ,No Eyeware ,Winged Helmet Mix ,No Mouthpiece ,
46,Gecko #46,90,433.5600380357,6,ff8e84 ,Red ,King Robe ,Retro Glasses Blue ,Hair Blonde ,No Mouthpiece ,
957,Gecko #957,91,430.7376838002,6,c7e3c9 ,Light Green ,No Clothes ,No Eyeware ,Artist Cap ,Joint ,
655,Gecko #655,92,426.8147359609,6,d2acb1 ,Dark Green ,Plain Tee Grey ,No Eyeware ,Artist Cap ,No Mouthpiece ,
646,Gecko #646,93,420.6432587235,6,d2a9ce ,Polkadots ,Skull Vest Green ,No Eyeware ,Octo Green ,Bubblegum (10) ,
1305,Gecko #1305,94,419.1043947574,6,cdf1f1 ,Turquoise ,Tiger Skin ,Cyber Glasses Indigo ,Pompadour Hair Black ,No Mouthpiece ,
2186,Gecko #2186,95,418.5705262324,6,d7f6be ,Green Scales ,Greek Robe ,Cyber Glasses Seagreen ,No Headware ,No Mouthpiece ,
953,Gecko #953,96,417.5755592349,6,d2acb1 ,Purple ,King Robe ,Winged Glasses  Red Turquoise ,Greek War Helmet Green ,No Mouthpiece ,
739,Gecko #739,97,414.9631718293,6,ffdfe4 ,Dark Green ,Heart Shirt Grey ,Winged Glasses Green Purple ,Feather Headdress Pink ,Party Blower Yellow ,
1550,Gecko #1550,98,411.0546980209,6,cdf1f1 ,Dark Green ,Greek Robe ,Retro Glasses Pink ,No Headware ,No Mouthpiece ,
244,Gecko #244,99,394.3088067115,6,7bcccb ,Green Scales ,King Robe ,Aviators Green ,Greek War Helmet Pink ,No Mouthpiece ,
1504,Gecko #1504,100,391.7498356425,6,ffecd6 ,Red ,No Clothes ,Retro Glasses Orange ,Birthday Party Cap Yellow ,Cigar ,
437,Gecko #437,101,386.5485160033,6,dbeef6 ,Cyborg ,Astronaut ,Square Glasses Black ,Punk Hair Green ,No Mouthpiece ,
1702,Gecko #1702,102,382.7953742649,6,8eb4c5 ,Rainbow Scales ,School Uniform White ,3D Glasses ,Mohawk Hair Skyblue ,Bandana Red ,
439,Gecko #439,103,382.4729593329,6,ffdfe4 ,Light Green ,Knitted Shirt Peach ,Square Glasses Black ,Birthday Party Cap Yellow ,No Mouthpiece ,
338,Gecko #338,104,382.320407679,6,b1d0b5 ,Cyborg ,Plain Tee Purple ,Aviators Green ,Feather Headdress Red ,Cigar ,
1770,Gecko #1770,105,370.9895580577,6,cdf1f1 ,Turquoise ,Hawaian Shirt Blue ,Laser Eyes Green ,Sheriff Helmet ,Tobacco Pipe L ,
829,Gecko #829,106,370.0498467334,6,c7e3c9 ,Light Green ,Cheetah Skin ,3D Glasses ,Punk Hair Red ,Tobacco Pipe L ,
1027,Gecko #1027,107,364.1811877696,6,f0d4e3 ,Green Scales ,Astronaut ,No Eyeware ,Mohawk Hair Yellow ,Cigar ,
656,Gecko #656,108,359.6974602131,6,8eb4c5 ,Dark Green ,King Robe ,Cyber Glasses Orange ,No Headware ,No Mouthpiece ,
1275,Gecko #1275,109,358.06234724,6,cdf1f1 ,Turquoise ,Casual Jacket & Tee  ,VR ,Riding Helmet RWB ,Bandana Red ,
639,Gecko #639,110,349.8834096009,6,e8a1a2 ,Dark Green ,Astronaut ,Retro Glasses Blue ,Devil Horns Purple ,Bandana Green ,
339,Gecko #339,111,348.7398573745,6,cdf1f1 ,Colored Polkadots ,Knitted Shirt Purple ,Square Glasses Pink ,Birthday Party Cap Yellow ,No Mouthpiece ,
1896,Gecko #1896,112,344.8464058642,6,d0bdc3 ,Purple ,Pattern Shirt Grey ,Cyber Glasses Orange ,Pompadour Hair Black ,Bandana Red ,
1424,Gecko #1424,113,342.3301513077,6,d0bdc3 ,Light Green ,Skeleton Tee Red ,Cyber Glasses Pink ,Octo Blue ,Rose ,
2048,Gecko #2048,114,341.3389926095,6,cdf1f1 ,Light Green ,Skull Vest Blue ,Winged Glasses Indigo Yellow ,Birthday Party Cap Yellow ,No Mouthpiece ,
1088,Gecko #1088,115,340.9297091765,6,e8a1a2 ,Cyborg ,Skull Vest Jagger ,Retro Glasses Pink ,Feather Headdress Red ,Bandana Red ,
670,Gecko #670,116,339.1388766907,6,d2acb1 ,Red ,Skeleton Tee Purple ,Cyber Glasses Orange ,Octo Blue ,Cigar ,
2032,Gecko #2032,117,338.0897769952,6,f0d4e3 ,Cyborg ,Cheetah Skin ,Winged Glasses Indigo Yellow ,Punk Hair Pink ,No Mouthpiece ,
484,Gecko #484,118,338.0341857656,6,7bcccb ,Red ,Cyborg Shell ,Square Glasses Pink ,Safari Guide Hat ,Trapped Fly ,
116,Gecko #116,119,336.1878885754,6,d2acb1 ,Red ,Plain Vest ,Winged Glasses  Red Turquoise ,Pompadour Hair Blonde ,Joint ,
636,Gecko #636,120,332.2558584394,6,afc9c8 ,Red ,Plain Shirt Black ,Aviators Black ,Pompadour Hair Black ,No Mouthpiece ,
907,Gecko #907,121,330.4994164015,6,d2acb1 ,Light Green ,Skeleton Tee Black ,VR ,Cotton Hat Beige ,No Mouthpiece ,
1410,Gecko #1410,122,330.1883236164,6,c7e3c9 ,Polkadots ,Hawaian Shirt Purple ,Aviators Black ,Feather Headdress Pink ,No Mouthpiece ,
512,Gecko #512,123,329.9798365906,6,dbeef6 ,Turquoise ,No Clothes ,3D Glasses ,Feather Headdress Pink ,No Mouthpiece ,
179,Gecko #179,124,329.8185888644,6,d7f6be ,Red ,Astronaut ,No Eyeware ,Greek War Helmet Pink ,Cigar ,
1976,Gecko #1976,125,329.1569084711,6,cdf1f1 ,Red ,Skeleton Tee Purple ,Laser Eyes Green ,Sheriff Helmet ,No Mouthpiece ,
1473,Gecko #1473,126,327.6112767182,6,ffb6a7 ,Purple ,Formal Suit Black ,3D Glasses ,Sheriff Hat Blue ,No Mouthpiece ,
1293,Gecko #1293,127,327.0086842183,6,d0bdc3 ,Cyborg ,School Uniform White ,Retro Glasses Blue ,Punk Hair Indigo ,Bubblegum (10) ,
711,Gecko #711,128,326.9475227126,6,ffdfe4 ,Dark Green ,Skeleton Tee Black ,No Eyeware ,Octo Green ,No Mouthpiece ,
255,Gecko #255,129,326.7832455251,6,b1d0b5 ,Purple ,Plain Shirt Black ,Cyber Glasses Indigo ,Birthday Party Cap Yellow ,Bandana Green ,
766,Gecko #766,130,325.9370550303,6,d0bdc3 ,Turquoise ,Hawaian Shirt Brown ,VR ,Greek War Helmet Blue ,No Mouthpiece ,
1314,Gecko #1314,131,324.7400370246,6,afc9c8 ,Rainbow Scales ,Pattern Tee Green ,Winged Glasses  Blue Pink ,Devil Horns Red ,Cigar ,
1372,Gecko #1372,132,324.5820250748,6,d2acb1 ,Green Scales ,Cheetah Skin ,Laser Eyes Green ,Long Hat Beige ,No Mouthpiece ,
1714,Gecko #1714,133,324.2688098792,6,f0d4e3 ,Green Scales ,Army Shirt ,No Eyeware ,Sheriff Helmet ,Bandana Green ,
1984,Gecko #1984,134,322.0041117602,6,b1d0b5 ,Purple ,Astronaut ,Aviators Black ,Riding Helmet GWR ,No Mouthpiece ,
992,Gecko #992,135,321.7841186242,6,e8a1a2 ,Green Scales ,Tiger Skin ,Winged Glasses  Red Turquoise ,Riding Helmet RWB ,Party Blower Yellow ,
1516,Gecko #1516,136,321.6659942262,6,dbeef6 ,Green Scales ,Plain Tee Purple ,No Eyeware ,Octo Blue ,Blunt ,
2105,Gecko #2105,137,320.8448865354,6,ffdfe4 ,Green Scales ,Casual Jacket & Tee  ,No Eyeware ,Pompadour Hair Blonde ,No Mouthpiece ,
531,Gecko #531,138,318.1203160771,6,ff8e84 ,Red ,Plain Shirt Indigo ,Cyber Glasses Seagreen ,Birthday Party Cap Yellow ,No Mouthpiece ,
2084,Gecko #2084,139,317.197625416,6,afc9c8 ,Green Scales ,Cyborg Shell ,No Eyeware ,Safari Hat Red ,Trapped Fly ,
384,Gecko #384,140,316.897952392,6,f0d4e3 ,Green Scales ,No Clothes ,Retro Glasses Orange ,Birthday Party Cap Pink ,Disposable Mask ,
563,Gecko #563,141,316.1380478065,6,b1d0b5 ,Turquoise ,Hawaian Shirt Pink ,Cyber Glasses Seagreen ,Octo Blue ,No Mouthpiece ,
294,Gecko #294,142,315.7274748228,6,d2acb1 ,Dark Green ,Formal Suit Blue ,Winged Glasses  Red Turquoise ,Octo Blue ,No Mouthpiece ,
765,Gecko #765,143,315.4034983683,6,8eb4c5 ,Dark Green ,Skeleton Tee Purple ,Laser Eyes Blue ,Birthday Party Cap Pink ,Tobacco Pipe L ,
251,Gecko #251,144,314.6359433267,6,d7f6be ,Red ,No Clothes ,VR ,Safari Hat Yellow ,No Mouthpiece ,
1465,Gecko #1465,145,313.5330276886,6,dbeef6 ,Red ,Skull Vest Blue ,Cyber Glasses Indigo ,Sheriff Helmet ,Rose ,
2087,Gecko #2087,146,313.4475632147,6,d2acb1 ,Light Green ,Hawaian Shirt Blue ,Laser Eyes Red ,Small Hat Pink ,Trapped Fly ,
2066,Gecko #2066,147,311.3970830601,6,f0d4e3 ,Red ,Formal Suit Black ,Retro Glasses Orange ,Pompadour Hair Blonde ,Party Blower Green ,
292,Gecko #292,148,309.212715621,6,d0bdc3 ,Purple ,Knitted Shirt Peach ,Winged Glasses Indigo Yellow ,Sheriff Helmet ,Bandana Red ,
706,Gecko #706,149,308.3615751287,6,dbeef6 ,Light Green ,Hawaian Shirt Brown ,Square Glasses Black ,Octo Green ,Party Blower Yellow ,
1920,Gecko #1920,150,305.3604456051,6,e8a1a2 ,Cyborg ,Pattern Shirt Indigo ,Square Glasses Black ,Birthday Party Cap Pink ,No Mouthpiece ,
80,Gecko #80,151,305.1212246434,6,cdf1f1 ,Green Scales ,Pattern Shirt Grey ,No Eyeware ,Pompadour Hair Black ,No Mouthpiece ,
1048,Gecko #1048,152,304.631729919,6,e8a1a2 ,Purple ,School Uniform White ,Winged Glasses  Blue Pink ,Safari Guide Hat ,Disposable Mask ,
1205,Gecko #1205,153,304.2238580164,6,e8a1a2 ,Purple ,Skeleton Tee Purple ,Cyber Glasses Indigo ,Birthday Party Cap Yellow ,No Mouthpiece ,
68,Gecko #68,154,303.990977168,6,ff8e84 ,Turquoise ,School Uniform White ,No Eyeware ,Pompadour Hair Black ,No Mouthpiece ,
1865,Gecko #1865,155,303.8457279721,6,d0bdc3 ,Turquoise ,No Clothes ,VR ,Cop Hat Black ,No Mouthpiece ,
306,Gecko #306,156,303.344857286,6,afc9c8 ,Turquoise ,Hawaian Shirt Blue ,Retro Glasses Orange ,Pompadour Hair Blonde ,Blunt ,
1621,Gecko #1621,157,303.2538710271,6,7bcccb ,Light Green ,Skeleton Tee Red ,No Eyeware ,Pompadour Hair Black ,No Mouthpiece ,
779,Gecko #779,158,302.9024396477,6,e8a1a2 ,Rainbow Scales ,School Uniform White ,No Eyeware ,Birthday Party Cap Pink ,Bandana Red ,
1347,Gecko #1347,159,302.6565429836,6,ff8e84 ,Purple ,Skeleton Tee Purple ,No Eyeware ,Birthday Party Cap Yellow ,Bandana Green ,
1005,Gecko #1005,160,302.5864129917,6,d2a9ce ,Light Green ,No Clothes ,Laser Eyes Red ,Pompadour Hair Blonde ,No Mouthpiece ,
325,Gecko #325,161,302.3677790098,6,f0d4e3 ,Green Scales ,Pattern Shirt Grey ,Laser Eyes Blue ,Sheriff Helmet ,No Mouthpiece ,
187,Gecko #187,162,302.0845584993,6,d2acb1 ,Purple ,Astronaut ,No Eyeware ,No Headware ,Party Blower Yellow ,
518,Gecko #518,163,301.3680633045,6,afc9c8 ,Light Green ,School Uniform White ,No Eyeware ,Pompadour Hair Black ,No Mouthpiece ,
568,Gecko #568,164,300.470278412,6,dbeef6 ,Red ,No Clothes ,Cyber Glasses Seagreen ,Pompadour Hair Black ,No Mouthpiece ,
826,Gecko #826,165,300.1816190615,6,ffecd6 ,Dark Green ,Casual Jacket & Tee  ,Retro Glasses Orange ,Birthday Party Cap Pink ,No Mouthpiece ,
1514,Gecko #1514,166,300.1476350977,6,d0bdc3 ,Dark Green ,Skeleton Tee Purple ,VR ,No Headware ,Bandana Red ,
48,Gecko #48,167,299.2950763991,6,dbeef6 ,Turquoise ,School Uniform White ,3D Glasses ,Sheriff Hat Blue ,Bandana Red ,
1478,Gecko #1478,168,298.8252845495,6,d0bdc3 ,Polkadots ,Pattern Tee Purple ,Retro Glasses Black ,Hair Blonde ,Tobacco Pipe L ,
2043,Gecko #2043,169,298.704267832,6,ff8e84 ,Light Green ,Pattern Tee Purple ,Aviators Green ,Birthday Party Cap Purple ,Blunt ,
1930,Gecko #1930,170,298.6232068642,6,8eb4c5 ,Polkadots ,Track Suit Blue ,Laser Eyes Green ,Greek War Helmet Blue ,Bandana Purple ,
824,Gecko #824,171,297.254309324,6,7bcccb ,Light Green ,Cyborg Shell ,Winged Glasses  Blue Pink ,Small Hat Pink ,Bandana Purple ,
92,Gecko #92,172,297.0636185955,6,dbeef6 ,Green Scales ,Skeleton Tee Black ,Square Glasses Orange ,Safari Hat Grey ,Bubblegum (10) ,
1037,Gecko #1037,173,296.5533302795,6,d2acb1 ,Red ,Pattern Shirt Indigo ,Cyber Glasses Pink ,Sheriff Hat Black ,Trapped Fly ,
272,Gecko #272,174,296.5042359678,6,dbeef6 ,Colored Polkadots ,Plain Shirt Black ,Aviators Black ,Cotton Hat Green ,Disposable Mask ,
1114,Gecko #1114,175,294.8323616713,6,ffecd6 ,Red ,Skeleton Tee Red ,No Eyeware ,Sheriff Hat Black ,Joint ,
613,Gecko #613,176,294.643761393,6,d2acb1 ,Polkadots ,Plain Shirt Indigo ,Aviators Green ,Mohawk Hair Yellow ,Party Blower Yellow ,
1749,Gecko #1749,177,293.8668961044,6,e8a1a2 ,Turquoise ,Cheetah Skin ,Retro Glasses Orange ,Small Hat Pink ,Party Blower Green ,
1023,Gecko #1023,178,293.325375101,6,d7f6be ,Dark Green ,Cop Dress Blue ,VR ,No Headware ,No Mouthpiece ,
370,Gecko #370,179,292.7443249715,6,d7f6be ,Cyborg ,Hawaian Shirt Pink ,Cyber Glasses Pink ,Mohawk Hair Pink ,No Mouthpiece ,
1554,Gecko #1554,180,292.1023870419,6,cdf1f1 ,Purple ,Astronaut ,No Eyeware ,Mohawk Hair Blue ,No Mouthpiece ,
481,Gecko #481,181,291.9906751496,6,d0bdc3 ,Purple ,No Clothes ,VR ,Punk Hair Yellow ,No Mouthpiece ,
762,Gecko #762,182,291.3399283698,6,afc9c8 ,Light Green ,Plain Vest ,Winged Glasses Green Purple ,Octo Green ,No Mouthpiece ,
506,Gecko #506,183,291.2428171045,6,dbeef6 ,Turquoise ,Plain Shirt Indigo ,Square Glasses Pink ,Octo Blue ,No Mouthpiece ,
307,Gecko #307,184,291.0769538075,6,d2acb1 ,Light Green ,Cyborg Shell ,Laser Eyes Blue ,Greek War Helmet Red ,No Mouthpiece ,
449,Gecko #449,185,290.9286090946,6,d2acb1 ,Turquoise ,No Clothes ,VR ,Punk Hair Green ,No Mouthpiece ,
