ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Coat,Eyes,Gear,Head,Mouth,Neck,Shirt,Special
1038,CyberKidz Club #1038,35,1437.0594140473,9,Citrus,Lime,Citrus Hoodie,Unimpressed,AK,Ash Bun and Cyclops,Wavy,Shroom Pendant,Snow Button Down and Aqua Tie,
3878,CyberKidz Club #3878,36,1432.5256572509,9,Aqua,Scarlet,none,Lol,Sharkfin,Gas Mask,Stitched,Tezos Pendant,Citrus Turtleneck,
5215,CyberKidz Club #5215,37,1410.7232191531,9,Lime,Lime,Tan Cotton Sweater,Wide,none,Ash Bun and Cyclops,Vampire,Love Pendant,Snow Hawaiian,
2244,CyberKidz Club #2244,38,1365.0193872853,9,Snow,Lemon,Citrus Windbreaker,Glad,Aqua Shoulder Bag,Gas Mask,Drool,none,Tan Turtleneck,
1112,CyberKidz Club #1112,39,1362.825916313,9,Scarlet,Citrus,Tan Cotton Sweater,Toon,none,Gas Mask,Shark,Bubblegum Pendant,Snow Short T,
6639,CyberKidz Club #6639,40,1362.6098789831,9,Carib,Lazuli,Ash Hoodie,Confused,Monkey Tail,Ash Bun and Cyclops,Blank,Orb Pendant,Tan Tee,
4833,CyberKidz Club #4833,41,1332.904429101,9,Rose,Snow,Ash Puffer,Blink,Yoga Mat,Gas Mask,Orc,none,none,
2337,CyberKidz Club #2337,42,1328.5787571378,9,Snow,Lime,Ash Hoodie,Mad,Pisto Holder,Lemon Angelic,Surprised,Twitter Pendant,none,
5810,CyberKidz Club #5810,43,1325.4270675113,9,Aqua,Lazuli,Aqua Tracksuit,One Eyed,Ash Shoulder Bag,Snow Hawk and Cyclops,Skelly,Silver Necklace,Snow Flame Hawaiian,
238,CyberKidz Club #238,44,1314.948298289,9,Scarlet,Lemon,none,Wide,none,Ash Bun and Cyclops,Sad,Tanzanite Plates,Citrus Tee,
4738,CyberKidz Club #4738,45,1311.0225733051,9,Carib,Lazuli,none,Toon,Lemon Shoulder Bag,Ash Bun and Cyclops,Indifferent,none,Sand Striped,
382,CyberKidz Club #382,46,1300.7624020862,9,Scarlet,Lazuli,Aqua Parka,Wide,none,Lemon Ponytails and Shades,Shark,Gold Chain,Snow Flame Hawaiian,
5751,CyberKidz Club #5751,47,1294.453020155,9,Lemon,Lime,none,Faker,Aqua Shoulder Bag,Gas Mask,Stitched,none,Ice Striped,
2890,CyberKidz Club #2890,48,1281.8192047026,9,Aqua,Snow,none,Unimpressed,Dual Katana,Lemon Angelic,Pup,Ova Pendant,none,
468,CyberKidz Club #468,49,1279.4975422284,9,Carib,Scarlet,Lime Hoodie,Faker,Yoga Mat,Lemon Ponytails and Shades,Orc,Tanzanite Jewels,none,
2372,CyberKidz Club #2372,50,1274.6528723161,9,Scarlet,Lazuli,none,Faker,AK,Lemon Ponytails and Shades,Drool,Gold Chain,Snow Flame Hawaiian,
6253,CyberKidz Club #6253,51,1271.1093655401,9,Citrus,Lime,none,Insomniac,Devil Tail,Snow Hawk and Cyclops,Indifferent,Ice Jewels,Grape Turtleneck,
3781,CyberKidz Club #3781,52,1267.8054108023,9,Scarlet,Lime,Scarlet Puffer,One Eyed,AK,Lemon Ponytails and Shades,Stuck Out Tongue,Love Pendant,Snow Tee,
4173,CyberKidz Club #4173,53,1259.8856644479,9,Carib,Lazuli,Citrus Windbreaker,Faker,none,Lemon Angelic,Blank,none,none,
987,CyberKidz Club #987,54,1257.9832332755,9,Aqua,Snow,Grape Hoodie,Confused,none,Lemon Angelic,Orc,none,none,
5714,CyberKidz Club #5714,55,1231.7061568765,9,Carib,Lazuli,Lemon Hoodie,Spider,RPG,Lemon Slick and Cyclops,Glad,Planet Pendant,Tan Turtleneck,
2423,CyberKidz Club #2423,56,1229.9551320208,9,Grape,Citrus,Snow Fake Fur Coat,Dead,Lemon Shoulder Bag,Nightvision and Medium Lemon Hair,Vampire,none,Ash and Sand Hawaiian,
3468,CyberKidz Club #3468,57,1221.8460362857,9,Scarlet,Hazel,none,Wide,AK,Lemon Angelic,Orc,Ova Pendant,none,
3263,CyberKidz Club #3263,58,1214.0999896517,9,Lime,Mint,none,Awkward,Ash Shoulder Bag,Ash Fro and EyePatch,Shark,Sapphire Plates,Grape Short T,
2897,CyberKidz Club #2897,59,1211.9399524837,9,Citrus,Lemon,none,Wide,none,Snow Hawk and Cyclops,Cthullu,none,Snow Button Down and Ash Tie,
3642,CyberKidz Club #3642,60,1209.5077653053,9,Citrus,Ash,Lime Parka,Enlightened,Ash Shoulder Bag,Snow Hawk and Cyclops,Sad,none,Citrus Turtleneck,
1676,CyberKidz Club #1676,61,1200.7965703258,9,Carib,Lazuli,none,Lol,Ash Shoulder Bag,Gas Mask,Shark,none,none,
1622,CyberKidz Club #1622,62,1186.0067913203,9,Mint,Lazuli,Citrus Tracksuit,Confused,Snow Shoulder Bag,Snow Hawk and Cyclops,Turtle,Silver Necklace,none,
4988,CyberKidz Club #4988,63,1168.4321005243,9,Rose,Mint,none,Awkward,none,Lemon Slick and Cyclops,Beak,none,Grape Short T,
3673,CyberKidz Club #3673,64,1167.4384120567,9,Lime,Lazuli,Snow Hoodie,Enlightened,Double Blades,Lemon Slick and Cyclops,Surprised,none,none,
1250,CyberKidz Club #1250,65,1153.6237697454,9,Aqua,Citrus,none,Lol,Devil Tail,Nightvision and Medium Lemon Hair,Shark,Silver Chain,Ice V Neck,
6223,CyberKidz Club #6223,66,1148.5129238077,9,Carib,Citrus,none,Wide,none,Lemon Ponytails and Shades,Turtle,none,Snow V Neck,
2073,CyberKidz Club #2073,67,1146.0145350958,9,Grape,Ash,Tan Parka,Glad,Dual Katana,Nightvision and Medium Lemon Hair,Indifferent,Bone Necklace,Snow Turtleneck,
5783,CyberKidz Club #5783,68,1145.5035740227,9,Lime,Lemon,Ash Hoodie,Plain,Suspenders,Scarlet Saiyan and Scouter,Indifferent,Love Pendant,Leopard Hawaiian,
5705,CyberKidz Club #5705,69,1142.3991108231,9,Rose,Lazuli,Scarlet Hoodie,Lol,Sharkfin,Lemon Ponytails and Shades,Vampire,Shroom Pendant,none,
6344,CyberKidz Club #6344,70,1142.2058766124,9,Citrus,Hazel,Snow Hoodie,Confused,none,Lemon Slick and Cyclops,Orc,Bone Necklace,none,
3394,CyberKidz Club #3394,71,1140.162416189,9,Citrus,Lime,Merlot Cotton Sweater,Dead,Ash Shoulder Bag,Snow Hawk and Cyclops,Stitched,Bud Pendant,none,
5000,CyberKidz Club #5000,72,1139.6053054151,9,Grape,Citrus,none,Full of it,Suspenders,Lemon Ponytails and Shades,Shark,none,Snow Short T,
3066,CyberKidz Club #3066,73,1138.4210657052,9,Aqua,Ash,none,Spider,Ash Shoulder Bag,Ash Fro and EyePatch,Meh,Ash Bandanna,Snow and Ash Hawaiian,
5381,CyberKidz Club #5381,74,1109.9069259603,9,Rose,Hazel,none,Doubtful,Katana,Lemon Slick and Cyclops,Blank,none,Sand Turtleneck,
2424,CyberKidz Club #2424,75,1106.2790617396,9,Snow,Citrus,Suit,Confused,none,Lemon Slick and Cyclops,Sad,Orb Pendant,none,
2223,CyberKidz Club #2223,76,1095.3782384412,9,Lime,Ash,none,Squint,RPG,Snow Hawk and Cyclops,Glad,Skull Pendant,none,
930,CyberKidz Club #930,77,1094.5281996268,9,Snow,Lazuli,Snow Windbreaker,Full of it,Angel Wings,Scarlet Saiyan and Scouter,Orc,Silver Beads,Navy Tee,
6351,CyberKidz Club #6351,78,1087.4488728397,9,Lime,Citrus,Mint Robe,Plain,Pisto Holder,Nightvision and Medium Lemon Hair,Glad,Silver Chain,Grape Turtleneck,
6041,CyberKidz Club #6041,79,1074.3599625768,9,Aqua,Snow,Ash Puffer,Full of it,none,Ash Fro and EyePatch,Shark,Aqua Bandanna,none,
6203,CyberKidz Club #6203,80,1073.9741041433,9,Snow,Mint,Snow Puffer,One Eyed,Kunai,Hazel Long Fringe and EyePatch,Sad,none,Grape Tee,
5229,CyberKidz Club #5229,81,1067.2974164878,9,Lemon,Lime,Citrus Windbreaker,Lol,Double Blades,Hazel Long Fringe and EyePatch,Skelly,Golden Pendant,Aqua Tee,
450,CyberKidz Club #450,82,1060.2121080701,9,Lemon,Carib,Scarlet Robe,Squint,none,Ash Fro and EyePatch,Stitched,Gold Necklace,none,
4470,CyberKidz Club #4470,83,1052.4026098774,9,Grape,Carib,Ice Puffer,Mad,Guitar,Citrus Beanie and EyePatch,Skelly,Eagle Chestplate,Ash Short T,
627,CyberKidz Club #627,84,1040.500216904,9,Citrus,Lazuli,Grape Hoodie,Full of it,Bullets,Hazel Long Fringe and EyePatch,Skelly,Shroom Pendant,Grape Turtleneck,
2370,CyberKidz Club #2370,85,1038.7927212703,9,Citrus,Lime,none,Plain,Lemon Shoulder Bag,Lemon Slick and Cyclops,Sad,none,none,
1796,CyberKidz Club #1796,86,1034.6574338203,9,Lemon,Carib,Tan Cotton Sweater,Toon,AK,Hazel Long Fringe and EyePatch,Glad,Love Pendant,Ash Flame Hawaiian,
2111,CyberKidz Club #2111,87,1032.8573223064,9,Mint,Citrus,none,Confused,none,Ash Fro and EyePatch,Indifferent,Bubblegum Pendant,Scarlet Short T,
5085,CyberKidz Club #5085,88,1026.1017840665,9,Carib,Scarlet,Citrus Hoodie,EthHead,Quiver,Scarlet Hanya,Cthullu,Golden Pendant,Mint V Neck,
3359,CyberKidz Club #3359,89,1022.1518972287,9,Lime,Hazel,none,One Eyed,Pisto Holder,Ash Fro and EyePatch,Wavy,none,Ice V Neck,
6007,CyberKidz Club #6007,90,1017.22229009,9,Snow,Snow,Grape Hoodie,Toon,none,Ash Fro and EyePatch,Sad,Silver Beads,none,
5832,CyberKidz Club #5832,91,1014.0692253871,9,Snow,Citrus,none,Spider,Lemon Shoulder Bag,Scarlet Saiyan and Scouter,Orc,none,Snow Flame Hawaiian,
2944,CyberKidz Club #2944,92,1014.0631731994,9,Snow,Hazel,none,Lol,none,Ash Fro and Shades,Glad,none,Snow Leopard Hawaiian,
4853,CyberKidz Club #4853,93,1009.5282713657,9,Scarlet,Carib,Citrus Hoodie,Doubtful,none,Scarlet Saiyan and Scouter,Sad,Ash Bandanna,Ice V Neck,
3829,CyberKidz Club #3829,94,979.6984411314,9,Lime,Citrus,Forest Camo Jakcet,Plain,Ash Shoulder Bag,Snow Snapback and Short Ash Hair,Sad,none,Tan Striped,
2308,CyberKidz Club #2308,95,975.4224999596,9,Rose,Lime,Lime Parka,Wide,Ash Shoulder Bag,Short Hair Carib Hanya,Sad,Golden Beads,Sand V Neck,
2169,CyberKidz Club #2169,96,974.4868671263,9,Mint,Citrus,Tan Parka,Spider,Sharkfin,Scarlet Hanya,Poker Face,Silver Necklace,Navy Turtleneck,
502,CyberKidz Club #502,97,972.4558342444,9,Lemon,Snow,Rose Fake Fur Coat,Insomniac,Monkey Tail,Ash Fro and Shades,Surprised,none,Citrus Flanel,
3930,CyberKidz Club #3930,98,970.2868492865,9,Lemon,Lazuli,none,Wide,Snow Shoulder Bag,Nightvision and Medium Lemon Hair,Vampire,Ash Bandanna,none,
5157,CyberKidz Club #5157,99,968.9188578925,9,Citrus,Lime,none,Squint,AK,Nightvision and Medium Lemon Hair,Orc,Aqua Bandanna,none,
1698,CyberKidz Club #1698,100,968.9178295833,9,Rose,Snow,none,Toon,Ash Shoulder Bag,Scarlet Saiyan and Scouter,Beak,none,Sand Striped,
2510,CyberKidz Club #2510,101,967.5668347899,9,Mint,Citrus,Lime Hoodie,Doubtful,none,Nightvision and Medium Hazel Hair,Vampire,Scarlet Bandanna,Leopard Hawaiian,
2013,CyberKidz Club #2013,102,966.4919144044,9,Aqua,Hazel,Ash Fake Fur Coat,Squint,AK,Citrus Beanie and EyePatch,Blank,Sapphire Plates,Scarlet Turtleneck,
3063,CyberKidz Club #3063,103,963.7616453807,9,Carib,Lazuli,none,Toon,none,Nightvision and Medium Lemon Hair,Sad,none,Snow Turtleneck,
2942,CyberKidz Club #2942,104,963.0450701249,9,Aqua,Scarlet,Sand Shawl,Doubtful,Bulletproof Vest,Snow Snapback and Short Ash Hair,Impressed,Scarlet Bandanna,Snow and Ash Hawaiian,
3595,CyberKidz Club #3595,105,949.2095680087,9,Grape,Lazuli,Carib Hoodie,EthHead,Bulletproof Vest,Short Hair Carib Hanya,Skelly,Bud Pendant,Citrus Striped,
3152,CyberKidz Club #3152,106,947.3989127895,9,Rose,Scarlet,none,One Eyed,Guitar,Nightvision and Long Lemon Hair,Shark,none,Scarlet Tee,
6009,CyberKidz Club #6009,107,946.3187693541,9,Grape,Lime,Tan Shawl,Confused,Double Blades,Lemon Saiyan and Scouter,Stitched,Triple Gold Necklace,Mint Striped,
3000,CyberKidz Club #3000,108,946.1523931807,9,Rose,Ash,Snow Camo Jacket,Toon,none,Nightvision and Long Lemon Hair,Impressed,Eagle Chestplate,none,
4128,CyberKidz Club #4128,109,942.9332577376,9,Lemon,Lazuli,Grape Hoodie,Lol,none,Hazel Long Fringe and EyePatch,Indifferent,none,Ice Tee,
520,CyberKidz Club #520,110,942.7130983417,9,Lemon,Lime,Desert Camo Jacket,Insomniac,Ash Shoulder Bag,Snow Ponytails and Shades,Surprised,Aqua Bandanna,Sand Striped,
3995,CyberKidz Club #3995,111,941.1419659375,9,Lemon,Hazel,Rose Robe,Plain,Angel Wings,Short Hair Carib Hanya,Poker Face,none,Snow Sweater,
326,CyberKidz Club #326,112,938.7268217857,9,Citrus,Scarlet,Ash Windbreaker,Glad,Trident,Snow Snapback and Short Ash Hair,Blank,Planet Pendant,Snow V Neck,
6008,CyberKidz Club #6008,113,938.6538268511,9,Scarlet,Citrus,none,Wide,Katana,Hazel Long Fringe and EyePatch,Blank,Silver Beads,Cream Tee,
1497,CyberKidz Club #1497,114,938.3618688118,9,Grape,Lemon,Tan Parka,Wide,Aqua Shoulder Bag,Lemon Emo and Nerdy Glasses,Blank,Golden Beads,Grape Turtleneck,
6551,CyberKidz Club #6551,115,935.6752747849,9,Carib,Lime,Desert Camo Jacket,Spider,Snow Shoulder Bag,Ash Bucket and Eyepatch,Drool,none,Snow V Neck,
6066,CyberKidz Club #6066,116,935.3938364251,9,Citrus,Citrus,none,Toon,none,Nightvision and Medium Lemon Hair,Shark,Bone Necklace,none,
670,CyberKidz Club #670,117,935.2908363038,9,Mint,Ash,Grape Hoodie,Lol,Sharkfin,Medium Hair Scarlet Hanya,Indifferent,Twitter Pendant,Scarlet Sweater,
2734,CyberKidz Club #2734,118,933.1308413087,9,Aqua,Mint,none,Unimpressed,Trident,Short Hair Carib Hanya,Stuck Out Tongue,Gold Chain,Snow Striped,
4623,CyberKidz Club #4623,119,932.556637014,9,Lime,Lazuli,Lemon Hoodie,Wide,Double Blades,Lemon Emo and Nerdy Glasses,Turtle,Ice Jewels,Tan Tee,
105,CyberKidz Club #105,120,930.2188442169,9,Mint,Snow,Aviator Jacket,Full of it,Snow Shoulder Bag,Scarlet Saiyan and Scouter,Impressed,none,none,
4771,CyberKidz Club #4771,121,928.5561616687,9,Mint,Citrus,Racer Jacket,Plain,Dual Katana,Aqua Slick and EyePatch,Meh,Ice Jewels,Tan Turtleneck,
409,CyberKidz Club #409,122,926.7725722308,9,Rose,Carib,none,One Eyed,Katana,Snow Snapback and Short Ash Hair,Indifferent,Tezos Pendant,Sand Turtleneck,
373,CyberKidz Club #373,123,925.8287424039,9,Scarlet,Lazuli,Lemon Windbreaker,Dead,none,Scarlet Hanya,Poker Face,Aqua Bandanna,Snow V Neck,
5757,CyberKidz Club #5757,124,925.0481473061,9,Carib,Lemon,Rose Hoodie,Wide,Devil Tail,Ash Bucket and Eyepatch,Blank,Bone Necklace,Mint V Neck,
6290,CyberKidz Club #6290,125,923.1525780311,9,Grape,Carib,Tan Shawl,Toon,none,Short Hair Carib Hanya,Turtle,none,Ash and Sand Hawaiian,
216,CyberKidz Club #216,126,922.2105917283,9,Aqua,Lazuli,Snow Tracksuit,Confused,Trident,Snow Ponytails and Shades,Stitched,Planet Pendant,Snow Flame Hawaiian,
212,CyberKidz Club #212,127,920.5415948092,9,Aqua,Hazel,Citrus Hoodie,Awkward,Sharkfin,Short Hair Carib Hanya,Drool,Golden Pendant,Aqua Tee,
3990,CyberKidz Club #3990,128,919.2970570713,9,Citrus,Snow,Scarlet Robe,Blink,Suspenders,Short Hair Scarlet Hanya,Meh,Planet Pendant,Snow Striped,
6625,CyberKidz Club #6625,129,916.6633399271,9,Carib,Mint,Ice Tracksuit,Insomniac,Guitar,Nightvision and Long Lemon Hair,Indifferent,Planet Pendant,Mint Striped,
2450,CyberKidz Club #2450,130,916.1480992825,9,Grape,Lazuli,Mint Robe,Confused,none,Ash Ponytails and Nerdy Glasses,Stitched,Tezos Pendant,Mint Turtleneck,
149,CyberKidz Club #149,131,915.8043251081,9,Citrus,Scarlet,Lime Hoodie,Unimpressed,AK,Ash Beanie and EyePatch,Cthullu,none,Navy Flanel,
6171,CyberKidz Club #6171,132,915.8019588633,9,Grape,Lemon,Merlot Cotton Sweater,Wide,none,Ash Fringe and Nerdy Glasses,Glad,Gold Chain,Snow Striped,
2833,CyberKidz Club #2833,133,915.0306024357,9,Snow,Scarlet,none,Mad,none,Ash Fro and EyePatch,Meh,none,none,
2322,CyberKidz Club #2322,134,913.6781953044,9,Rose,Scarlet,Rose Fake Fur Coat,EthHead,Katana,Ash Bucket and Eyepatch,Shark,Silver Necklace,Ice Tee,
3962,CyberKidz Club #3962,135,912.8300347916,9,Aqua,Lime,Aqua Tracksuit,Dead,Ash Shoulder Bag,Medium Hair Scarlet Hanya,Wavy,Silver Beads,Ice V Neck,
3326,CyberKidz Club #3326,136,908.7345552709,9,Rose,Scarlet,none,Faker,none,Scarlet Saiyan and Scouter,Surprised,none,Snow Short T,
1566,CyberKidz Club #1566,137,901.4219478061,9,Lemon,Ash,Tan Parka,EthHead,RPG,Aqua Slick and EyePatch,Wavy,Silver Chain,Tan Turtleneck,
6437,CyberKidz Club #6437,138,900.959487081,9,Snow,Lazuli,none,Awkward,Katana,Lemon Greaser,Drool,Tanzanite Jewels,Snow Leopard Hawaiian,
1810,CyberKidz Club #1810,139,900.4342384011,9,Mint,Hazel,Snow Camo Jacket,Faker,Aqua Shoulder Bag,Lemon Emo and Nerdy Glasses,Blank,Love Pendant,Ash Turtleneck,
4884,CyberKidz Club #4884,140,899.7991071836,9,Mint,Lazuli,Fighter Jacket,Toon,Pisto Holder,Ash Fringe and Shades,Shark,Ash Bandanna,Snow Sweater,
3571,CyberKidz Club #3571,141,896.3979842655,9,Rose,Ash,Desert Scarf,Plain,Pisto Holder,Nightvision and Long Ash Hair,Shark,Gold Chain,Mint Striped,
4269,CyberKidz Club #4269,142,895.3349686281,9,Lime,Scarlet,Snow Windbreaker,Glad,none,Scarlet Hanya,Drool,Ova Pendant,Grape Short T,
2173,CyberKidz Club #2173,143,893.1356509049,9,Citrus,Carib,Lime Hoodie,Enlightened,none,Ash Fringe and Nerdy Glasses,Blank,none,Snow and Ash Hawaiian,
869,CyberKidz Club #869,144,891.5215837582,9,Citrus,Citrus,none,Toon,Sharkfin,Scarlet Saiyan and Scouter,Wavy,Silver Chain,none,
1545,CyberKidz Club #1545,145,890.4607112123,9,Snow,Lazuli,Fighter Jacket,Plain,Quiver,Axel,Beak,none,Aqua Short T,
1347,CyberKidz Club #1347,146,889.3942714575,9,Mint,Scarlet,Ash Puffer,Faker,Bulletproof Vest,Scarlet Hanya,Wavy,none,Citrus Tee,
3958,CyberKidz Club #3958,147,888.5004730816,9,Snow,Scarlet,Rose Robe,Toon,Trident,Nightvision and Medium Hazel Hair,Shark,Skull Pendant,Snow Short T,
4551,CyberKidz Club #4551,148,888.1436483754,9,Grape,Snow,none,Plain,AK,Lemon Fringe and Shades,Stitched,Tanzanite Jewels,Snow Button Down and Scarlet Tie,
1158,CyberKidz Club #1158,149,887.9637178132,9,Snow,Hazel,Ash Puffer,Lol,Bulletproof Vest,Scarlet Ponytails and Scouter,Skelly,Bud Pendant,Navy Tee,
4661,CyberKidz Club #4661,150,886.2791767701,9,Rose,Hazel,Citrus Windbreaker,Awkward,none,Ash Fringe and Shades,Impressed,Skull Pendant,Scarlet V Neck,
5697,CyberKidz Club #5697,151,882.0171393333,9,Carib,Hazel,Snow Windbreaker,Lol,Yoga Mat,Short Hair Scarlet Hanya,Orc,Silver Beads,Navy Turtleneck,
2414,CyberKidz Club #2414,152,881.0990881309,9,Rose,Citrus,Scarlet Hoodie,Confused,AK,Lemon Emo and Nerdy Glasses,Blank,none,Tan Striped,
755,CyberKidz Club #755,153,880.5840780899,9,Grape,Lemon,none,Wide,Lemon Shoulder Bag,Lemon Saiyan and Scouter,Poker Face,Ash Bandanna,Snow Button Down and Ash Tie,
6602,CyberKidz Club #6602,154,880.5072851991,9,Rose,Lime,Royal Shawl,Toon,Pisto Holder,Hazel Slick,Blank,Golden Beads,Snow Leopard Hawaiian,
1571,CyberKidz Club #1571,155,879.2039927268,9,Carib,Carib,Rose Parka,Plain,Guitar,Nightvision and Long Ash Hair,Stitched,Underworld Pendant,Ash Tank,
3742,CyberKidz Club #3742,156,877.8047621977,9,Lime,Snow,none,Toon,none,Ash Fringe and Shades,Beak,Triple Gold Necklace,Ash V Neck,
895,CyberKidz Club #895,157,875.5668404866,9,Carib,Lazuli,none,Plain,Ash Shoulder Bag,Ash Beanie and EyePatch,Poker Face,Pharaoh Neckpiece,Sand V Neck,
6289,CyberKidz Club #6289,158,874.8467970415,9,Scarlet,Citrus,none,Unimpressed,Pisto Holder,Hazel Long Fringe and EyePatch,Shark,Bone Necklace,none,
2604,CyberKidz Club #2604,159,872.4311067101,9,Carib,Lazuli,Lime Parka,Doubtful,Angel Wings,Nightvision and Medium Hazel Hair,Vampire,none,Aqua Tee,
5188,CyberKidz Club #5188,160,872.0473817646,9,Snow,Scarlet,none,Dead,Monkey Tail,Hazel Long Fringe and EyePatch,Glad,Orb Pendant,none,
3671,CyberKidz Club #3671,161,870.302836394,9,Rose,Citrus,Snow Hoodie,Glad,Dual Katana,Snow Snapback and Short Ash Hair,Surprised,Triple Gold Necklace,none,
2020,CyberKidz Club #2020,162,870.0641663555,9,Rose,Lazuli,Aqua Tracksuit,Confused,Lemon Shoulder Bag,Short Hair Carib Hanya,Vampire,none,Ice V Neck,
3751,CyberKidz Club #3751,163,869.9720179231,9,Grape,Lemon,none,Squint,Kunai,Devilish,Meh,Ice Jewels,Sand Sweater,
19,CyberKidz Club #19,164,868.8052077507,9,Rose,Citrus,Snow Windbreaker,Awkward,Double Blades,Lemon Fringe and Shades,Beak,Love Pendant,Snow Button Down and Aqua Tie,
93,CyberKidz Club #93,165,868.5502899166,9,Lemon,Lazuli,Scarlet Robe,One Eyed,Guitar,Nightvision and Long Lemon Hair,Stuck Out Tongue,Silver Chain,none,
