ID,Name,Rank,Rarity_Score,Agility,Alignment,Ancestor,Attributes,Background,Class,Dexterity,Fur,Gender,Head Accessory,Intelligence,Magic,Morality,Race,Rank,Strength,Weapon
2081,Bunny Knights #2081,13,4221.649980455782,4,Sensitive,440,14,Glacier,Squire,2,Black,Female,,1,,Neutral,Bunny,142,3,Hammer
707,Bunny Knights #707,14,4214.302674273167,3,Arrogant,61,15,Fawn,Hunter,5,Brown,Female,Golden Sleeping Hat,1,,Good,Bunny,168,1,Boomerang
878,Bunny Knights #878,15,4206.465544722711,2,Charming,268,15,Blue,Hunter,6,White,Male,Headband,1,,Evil,Bunny,317,1,Boomerang
1606,Bunny Knights #1606,16,4197.650523386134,1,Pessimistic,38,15,Brandy Rose,Acolyte,2,Cream,Male,,4,Bronze,Evil,Bunny,439,3,Bronze Cross Wand
1177,Bunny Knights #1177,17,4177.9498587537955,3,Friendly,463,15,Brandy Rose,Hunter,3,Sunflower,Male,Headband,2,,Neutral,Bunny,226,2,Chakram
2048,Bunny Knights #2048,18,4175.158082809665,1,Arrogant,105,14,Silver,Squire,1,Pink,Female,,2,,Evil,Bunny,725,6,Pitchfork
927,Bunny Knights #927,19,4168.314590027204,3,Timid,432,16,Teal,Acolyte,1,Grey,Male,Straw Hat,5,Marble,Evil,Bunny,384,1,Marble Cross Wand
1012,Bunny Knights #1012,20,4163.720773488808,4,Indecisive,265,15,Pink,Thief,2,Lavender,Female,Hood,1,,Evil,Bunny,286,3,Dagger
1413,Bunny Knights #1413,21,4163.231879610523,2,Indecisive,368,16,Indigo,Acolyte,2,Sunflower,Male,Sleeping Cap,4,Marble,Evil,Bunny,492,2,Marble Cross Wand
1049,Bunny Knights #1049,22,4162.75866561532,1,Charming,380,16,Fawn,Enchanter,2,Ochre,Female,Wizard Hat,6,Dark,Good,Bunny,442,1,Dark Wand
809,Bunny Knights #809,23,4160.474196518472,4,Sensitive,233,15,Lavender,Thief,3,Ginger,Male,Hood,1,,Good,Bunny,290,2,Crossbow
2052,Bunny Knights #2052,24,4158.744619641452,1,Indecisive,234,16,Teal,Apprentice,1,Black,Male,Apprentice Hood,7,Air,Good,Bunny,1005,1,Air Wand
1471,Bunny Knights #1471,25,4152.9485361695115,2,Weird,353,14,Pink,Squire,2,Ginger,Male,,2,,Evil,Bunny,420,4,Iron Knuckle
1068,Bunny Knights #1068,26,4151.850484919797,1,Bold,457,16,Teal,Apprentice,1,Yellow,Male,Apprentice Hood,7,Lightning,Evil,Bunny,1092,1,Lightning Wand
874,Bunny Knights #874,27,4147.635277286906,2,Loyal,75,14,Teal,Hunter,6,Sunflower,Female,,1,,Good,Bunny,1724,1,Slingshot
1973,Bunny Knights #1973,28,4145.496864601923,2,Indecisive,83,14,Lavender,Hunter,4,Lavender,Female,,3,,Good,Bunny,537,1,Boomerang
2267,Bunny Knights #2267,29,4143.15638639087,3,Sensitive,146,14,Lavender,Hunter,5,Black,Female,,1,,Evil,Bunny,543,1,Boomerang
1237,Bunny Knights #1237,30,4142.435065033269,1,Pessimistic,476,16,Mushroom,Apprentice,2,Cream,Male,Apprentice Hood,6,Fire,Evil,Bunny,1101,1,Fire Wand
2160,Bunny Knights #2160,31,4139.408067730002,2,Friendly,322,15,Brandy Rose,Hunter,4,Ochre,Male,Sleeping Cap,2,,Neutral,Bunny,556,2,Slingshot
753,Bunny Knights #753,32,4138.467194630184,3,Bold,262,14,Green,Hunter,4,Black,Male,,1,,Good,Bunny,510,2,Bone Bow
1358,Bunny Knights #1358,33,4133.548220650553,2,Friendly,150,15,Indigo,Enchanter,2,White,Male,,5,Lightning,Evil,Bunny,1226,1,Lightning Wand
589,Bunny Knights #589,34,4131.531368905596,3,Timid,147,14,Moss Green,Hunter,4,Tan,Female,,1,,Neutral,Bunny,663,2,Boomerang
2082,Bunny Knights #2082,35,4128.768066474438,4,Friendly,295,15,Fawn,Hunter,4,Yellow,Male,Headband,1,,Good,Bunny,883,1,Slingshot
2278,Bunny Knights #2278,36,4123.312033612529,1,Offensive,318,15,Fawn,Acolyte,2,Pink,Male,,6,Marble,Evil,Bunny,1375,1,Marble Cross Wand
1140,Bunny Knights #1140,37,4122.050810002129,2,Confident,464,15,Glacier,Acolyte,1,Sunflower,Male,,6,Marble,Evil,Bunny,1407,1,Marble Cross Wand
1042,Bunny Knights #1042,38,4118.686990016237,5,Machiavellian,148,15,Blue,Enchanter,1,Cowhide,Male,,3,Poison,Good,Bunny,1823,1,Poison Wand
1637,Bunny Knights #1637,39,4116.759573478782,6,Machiavellian,178,14,Green,Thief,1,Ochre,Male,,1,,Good,Bunny,1938,2,Slingshot
1863,Bunny Knights #1863,40,4114.325661182772,1,Sensitive,356,14,Teal,Squire,3,Cream,Male,,1,,Neutral,Bunny,1579,5,Short Sword
2263,Bunny Knights #2263,41,4111.600369616953,4,Loyal,245,14,Brandy Rose,Thief,2,Yellow,Male,,1,,Neutral,Bunny,1269,3,Dagger
1047,Bunny Knights #1047,42,4110.70782105443,3,Sensitive,144,14,Purple,Thief,4,Sunflower,Male,,1,,Neutral,Bunny,1270,2,Crossbow
1067,Bunny Knights #1067,43,4109.781527222079,3,Charming,342,14,Glacier,Squire,2,Yellow,Male,,2,,Neutral,Bunny,1309,3,Pitchfork
1107,Bunny Knights #1107,44,4109.169473390073,3,Stubborn,160,15,Lavender,Acolyte,1,Brown,Male,,4,Healing,Good,Bunny,1651,2,Cross Wand
1785,Bunny Knights #1785,45,4108.283862503432,4,Machiavellian,14,14,Mushroom,Thief,2,Lavender,Female,,2,,Evil,Bunny,1376,2,Short Sword
1904,Bunny Knights #1904,46,4106.952249528017,3,Nostalgic,438,15,Lavender,Acolyte,1,Chocolate,Male,,4,Healing,Neutral,Bunny,1705,2,Cross Wand
659,Bunny Knights #659,47,4106.763481572319,3,Machiavellian,53,14,Moss Green,Thief,3,White,Female,,1,,Good,Bunny,1357,3,Crossbow
1170,Bunny Knights #1170,48,4106.032109390345,2,Machiavellian,435,15,Fawn,Acolyte,1,Black,Female,,4,Healing,Neutral,Bunny,1812,3,Cross Wand
514,Bunny Knights #514,49,4101.66362143992,1,Offensive,218,15,Moss Green,Acolyte,1,Tan,Male,,7,Healing,Evil,Bunny,1976,1,Cross Wand
1954,Bunny Knights #1954,50,4098.755903009139,1,Machiavellian,305,15,Glacier,Enchanter,2,Cafe,Male,,6,Poison,Neutral,Bunny,1754,1,Poison Wand
2273,Bunny Knights #2273,51,4097.883151511835,2,Machiavellian,179,15,Indigo,Enchanter,2,Ginger,Female,,5,Poison,Neutral,Bunny,1770,1,Poison Wand
1662,Bunny Knights #1662,52,4095.86791765583,1,Offensive,408,15,Moss Green,Enchanter,3,Chocolate,Male,,5,Poison,Good,Bunny,1961,1,Poison Wand
1690,Bunny Knights #1690,53,4093.2291323113814,3,Confident,1,14,Green,Hunter,4,Grey,Male,,1,,Good,Bunny,1885,2,Slingshot
1153,Bunny Knights #1153,54,4092.052106467802,4,Offensive,130,14,Fawn,Hunter,3,Grey,Male,,1,,Neutral,Bunny,1893,2,Slingshot
2204,Bunny Knights #2204,55,3652.767051454908,2,Pessimistic,383,15,Purple,Acolyte,1,Cream,Female,,6,Blessing,Neutral,Bunny,21,1,Golden Cross Wand
1613,Bunny Knights #1613,56,3639.2844553014647,3,Sensitive,338,15,Green,Thief,2,Peanut,Female,Hood,2,,Neutral,Bunny,9,3,Lightning Dagger
1361,Bunny Knights #1361,57,3582.7253083783926,4,Arrogant,460,14,Mushroom,Squire,2,Light Grey,Male,,1,,Evil,Bunny,29,3,The Punisher
1633,Bunny Knights #1633,58,3516.3204157643627,1,Machiavellian,441,14,Pink,Squire,1,Grey,Male,,1,,Neutral,Bunny,710,7,Axe
704,Bunny Knights #704,59,3483.084924196198,3,Bold,371,14,Blue,Squire,4,Gravel,Male,,2,,Neutral,Bunny,40,1,Fire Sword
1345,Bunny Knights #1345,60,3472.8339893472175,1,Arrogant,252,15,Green,Acolyte,2,Cream,Male,,5,Blessing,Evil,Bunny,31,2,Golden Cross Wand
969,Bunny Knights #969,61,3443.490245623945,4,Timid,140,14,Silver,Thief,1,Black,Female,,2,,Good,Bunny,10,3,Lightning Dagger
1128,Bunny Knights #1128,62,3383.859494994268,2,Confident,111,15,Purple,Acolyte,1,Grey,Male,,5,Blessing,Neutral,Bunny,23,2,Golden Cross Wand
1649,Bunny Knights #1649,63,3380.6304077249424,1,Arrogant,172,16,Gold,Apprentice,1,Cafe,Male,Golden Hood,7,Water,Evil,Bunny,13,1,Water Wand
2464,Bunny Knights #2464,64,3368.8538481216315,6,Timid,173,15,Silver,Thief,1,Tan,Female,Sombrero,1,,Neutral,Bunny,53,2,Katar
2118,Bunny Knights #2118,65,3340.9440936009983,2,Confident,168,15,Teal,Squire,2,Cowhide,Male,Silver Helmet,1,,Evil,Bunny,69,5,Pitchfork
611,Bunny Knights #611,66,3313.913975900607,3,Sensitive,460,15,Mushroom,Hunter,4,Cafe,Female,Sombrero,1,,Evil,Bunny,78,2,Chakram
1532,Bunny Knights #1532,67,3268.200058105315,2,Offensive,28,15,Indigo,Acolyte,3,Cowhide,Male,,4,Blessing,Neutral,Bunny,26,1,Golden Cross Wand
2108,Bunny Knights #2108,68,3254.816635253492,2,Stubborn,430,14,Indigo,Hunter,5,Ochre,Male,,1,,Evil,Bunny,28,2,The Soul Hunter
1611,Bunny Knights #1611,69,3252.2171771745675,1,Stubborn,184,16,Green,Apprentice,2,Ginger,Male,Apprentice Hood,6,???,Good,Bunny,60,1,Master Wand
2453,Bunny Knights #2453,70,3251.4365723936426,3,Nostalgic,73,14,Blue,Hunter,2,Cream,Male,,3,,Evil,Bunny,30,2,The Soul Hunter
1549,Bunny Knights #1549,71,3249.989690316992,2,Arrogant,492,15,Teal,Enchanter,3,Light Yellow,Male,,4,???,Evil,Bunny,64,1,Master Wand
533,Bunny Knights #533,72,3248.039574754791,3,Loyal,278,14,Blue,Thief,4,Ochre,Male,,1,,Evil,Bunny,117,2,Earth Short Sword
2151,Bunny Knights #2151,73,3246.140452615999,5,Arrogant,194,15,Indigo,Thief,2,Light Yellow,Female,Golden Sleeping Hat,1,,Neutral,Bunny,127,2,Katar
2473,Bunny Knights #2473,74,3200.690053551916,2,Weird,399,16,Lavender,Enchanter,2,Ochre,Male,Silver Wizard Hat,5,Ice,Neutral,Bunny,233,1,Ice Wand
976,Bunny Knights #976,75,3196.0142659307485,3,Emotional,337,14,Pink,Hunter,2,Light Grey,Male,,3,,Good,Bunny,187,2,Air Crossbow
1794,Bunny Knights #1794,76,3193.5483449334893,2,Friendly,228,16,Gold,Apprentice,1,Tan,Male,Golden Hood,5,Fire,Neutral,Bunny,16,2,Fire Wand
1758,Bunny Knights #1758,77,3192.8939131187276,1,Offensive,35,15,Purple,Acolyte,1,White,Male,,5,Bronze,Evil,Bunny,443,3,Bronze Cross Wand
995,Bunny Knights #995,78,3189.170669158098,1,Charming,222,15,Teal,Acolyte,1,Lavender,Male,,7,Bronze,Neutral,Bunny,570,1,Bronze Cross Wand
2102,Bunny Knights #2102,79,3188.0076880413076,3,Offensive,451,15,Purple,Hunter,2,Light Yellow,Male,Headband,1,,Good,Bunny,221,4,Chakram
967,Bunny Knights #967,80,3186.897434373843,2,Arrogant,118,15,Blue,Acolyte,1,Light Grey,Male,,4,Bronze,Evil,Bunny,621,3,Bronze Cross Wand
583,Bunny Knights #583,81,3186.8410497588948,5,Pessimistic,225,14,Indigo,Thief,2,Ochre,Male,,1,,Good,Bunny,216,2,Air Crossbow
1376,Bunny Knights #1376,82,3185.4172451982754,1,Emotional,398,15,Moss Green,Squire,3,Sunflower,Male,Golden Helmet,1,,Neutral,Bunny,35,5,Short Sword
1282,Bunny Knights #1282,83,3184.6033156337166,4,Stubborn,225,15,Brandy Rose,Hunter,4,Cafe,Male,Headband,1,,Neutral,Bunny,223,1,Bone Bow
1682,Bunny Knights #1682,84,3184.384889641035,1,Loyal,480,15,Indigo,Acolyte,2,White,Female,,5,Bronze,Neutral,Bunny,518,2,Bronze Cross Wand
2492,Bunny Knights #2492,85,3183.38677406174,1,Nostalgic,110,15,Moss Green,Acolyte,2,Ochre,Female,,6,Bronze,Evil,Bunny,513,1,Bronze Cross Wand
1086,Bunny Knights #1086,86,3180.749252518501,1,Stubborn,272,14,Fawn,Hunter,7,Black,Male,,1,,Neutral,Bunny,750,1,Boomerang
1057,Bunny Knights #1057,87,3177.636988143659,2,Stubborn,190,14,Gold,Squire,2,Chocolate,Female,,1,,Neutral,Bunny,258,5,Pitchfork
667,Bunny Knights #667,88,3175.7155001042806,2,Charming,324,16,Glacier,Enchanter,1,Lavender,Female,Wizard Hat,6,Ice,Good,Bunny,348,1,Ice Wand
1328,Bunny Knights #1328,89,3175.484013529543,3,Stubborn,296,16,Brandy Rose,Apprentice,3,Chocolate,Female,Apprentice Hood,3,Water,Evil,Bunny,597,1,Water Wand
2100,Bunny Knights #2100,90,3174.1328385369393,3,Sensitive,50,16,Silver,Apprentice,2,Cafe,Male,Apprentice Hood,4,Earth,Good,Bunny,476,1,Earth Wand
1037,Bunny Knights #1037,91,3173.9541563468356,1,Sensitive,293,14,Blue,Squire,2,Brown,Male,,1,,Evil,Bunny,664,6,Iron Knuckle
2245,Bunny Knights #2245,92,3169.9494181374853,5,Machiavellian,142,15,Blue,Hunter,1,Brown,Male,Headband,3,,Good,Bunny,324,1,Boomerang
2017,Bunny Knights #2017,93,3169.714026609196,4,Emotional,22,15,Teal,Hunter,2,Grey,Female,Sleeping Cap,1,,Good,Bunny,264,3,Boomerang
606,Bunny Knights #606,94,3169.2863412087704,3,Stubborn,50,16,Glacier,Enchanter,2,Tan,Female,Silver Wizard Hat,3,Poison,Evil,Bunny,337,2,Poison Wand
1907,Bunny Knights #1907,95,3165.7301976059866,1,Arrogant,419,16,Teal,Apprentice,1,Pink,Female,Apprentice Hood,7,Water,Good,Bunny,766,1,Water Wand
980,Bunny Knights #980,96,3164.847880063538,1,Machiavellian,278,16,Mushroom,Enchanter,1,Brown,Female,Silver Wizard Hat,7,Poison,Evil,Bunny,349,1,Poison Wand
1753,Bunny Knights #1753,97,3162.9033542994543,4,Nostalgic,227,15,Purple,Thief,2,White,Male,Hood,1,,Evil,Bunny,288,3,Short Sword
2213,Bunny Knights #2213,98,3162.709794002404,3,Weird,267,16,Fawn,Apprentice,2,Lavender,Female,Apprentice Hood,4,Water,Evil,Bunny,760,1,Water Wand
1884,Bunny Knights #1884,99,3162.489901225887,3,Timid,22,16,Mushroom,Apprentice,1,Light Yellow,Female,Apprentice Hood,5,Water,Good,Bunny,658,1,Water Wand
2089,Bunny Knights #2089,100,3161.7224994888516,1,Stubborn,227,16,Fawn,Apprentice,1,Tortilla,Male,Apprentice Hood,7,Earth,Good,Bunny,858,1,Earth Wand
546,Bunny Knights #546,101,3161.298035305878,1,Weird,143,16,Lavender,Apprentice,1,Chocolate,Male,Apprentice Hood,6,Water,Neutral,Bunny,683,2,Water Wand
1011,Bunny Knights #1011,102,3160.848189206898,1,Arrogant,216,16,Mushroom,Apprentice,1,Ginger,Male,Apprentice Hood,7,Water,Neutral,Bunny,935,1,Water Wand
2486,Bunny Knights #2486,103,3160.698430428754,1,Machiavellian,437,16,Moss Green,Apprentice,3,Grey,Male,Apprentice Hood,4,Water,Neutral,Bunny,911,2,Water Wand
1179,Bunny Knights #1179,104,3160.5015596137646,1,Indecisive,329,16,Moss Green,Apprentice,1,Light Grey,Male,Apprentice Hood,7,Water,Neutral,Bunny,950,1,Water Wand
2337,Bunny Knights #2337,105,3160.3013319474326,1,Bold,59,16,Blue,Enchanter,3,Tan,Male,Wizard Hat,5,Dark,Neutral,Bunny,520,1,Dark Wand
1216,Bunny Knights #1216,106,3159.977879416912,2,Offensive,412,16,Purple,Apprentice,1,Yellow,Male,Apprentice Hood,6,Water,Neutral,Bunny,675,1,Water Wand
1554,Bunny Knights #1554,107,3159.7429028898746,1,Nostalgic,362,16,Brandy Rose,Apprentice,1,Lavender,Male,Apprentice Hood,7,Ice,Evil,Bunny,818,1,Ice Wand
1022,Bunny Knights #1022,108,3158.699147677515,1,Friendly,447,16,Lavender,Apprentice,1,Black,Male,Apprentice Hood,7,Fire,Neutral,Bunny,825,1,Fire Wand
806,Bunny Knights #806,109,3158.6250038090143,2,Indecisive,427,16,Purple,Apprentice,1,Tan,Male,Apprentice Hood,5,Water,Neutral,Bunny,743,2,Water Wand
1586,Bunny Knights #1586,110,3158.2228327436264,4,Charming,267,14,Mushroom,Thief,2,Black,Male,,1,,Neutral,Bunny,301,3,Katar
1591,Bunny Knights #1591,111,3158.2030104478263,2,Machiavellian,247,16,Pink,Apprentice,1,Gravel,Male,Apprentice Hood,6,Water,Evil,Bunny,715,1,Water Wand
1495,Bunny Knights #1495,112,3157.8595483337144,3,Machiavellian,346,16,Indigo,Enchanter,2,White,Male,Silver Wizard Hat,4,Poison,Neutral,Bunny,402,1,Poison Wand
2129,Bunny Knights #2129,113,3156.93356802879,2,Weird,99,14,Brandy Rose,Hunter,6,Pink,Male,,1,,Neutral,Bunny,1408,1,Slingshot
1393,Bunny Knights #1393,114,3156.891815046784,2,Emotional,85,14,Moss Green,Hunter,4,Tortilla,Female,,3,,Good,Bunny,379,1,Bone Bow
1145,Bunny Knights #1145,115,3156.0566790987514,5,Sensitive,477,15,Glacier,Thief,3,Chocolate,Male,Hood,1,,Neutral,Bunny,369,1,Dagger
1951,Bunny Knights #1951,116,3155.611810038846,2,Indecisive,162,16,Indigo,Apprentice,2,Ginger,Male,Apprentice Hood,4,Air,Good,Bunny,975,2,Air Wand
1543,Bunny Knights #1543,117,3155.5054655890654,1,Loyal,413,16,Glacier,Apprentice,1,Cafe,Male,Apprentice Hood,7,Fire,Good,Bunny,957,1,Fire Wand
885,Bunny Knights #885,118,3154.9126707446108,2,Machiavellian,428,16,Indigo,Apprentice,1,Cafe,Male,Apprentice Hood,5,Water,Neutral,Bunny,857,2,Water Wand
799,Bunny Knights #799,119,3154.3726391968053,3,Pessimistic,276,16,Pink,Enchanter,3,Cream,Male,Silver Wizard Hat,3,???,Evil,Bunny,42,1,Master Wand
1422,Bunny Knights #1422,120,3154.2528092785656,3,Pessimistic,466,14,Mushroom,Hunter,5,Cowhide,Female,,1,,Evil,Bunny,391,1,Bone Bow
673,Bunny Knights #673,121,3154.2225719708945,2,Confident,325,16,Pink,Apprentice,2,Chocolate,Male,Apprentice Hood,4,Lightning,Evil,Bunny,879,2,Lightning Wand
1929,Bunny Knights #1929,122,3153.7487066322774,2,Sensitive,473,14,Lavender,Squire,1,Cream,Male,,1,,Evil,Bunny,1239,6,Pitchfork
2451,Bunny Knights #2451,123,3153.2643635168797,2,Loyal,490,16,Teal,Apprentice,1,Pink,Male,Apprentice Hood,5,Earth,Evil,Bunny,888,2,Earth Wand
1906,Bunny Knights #1906,124,3153.2631255409456,1,Machiavellian,168,15,Green,Hunter,5,Yellow,Female,Headband,3,,Evil,Bunny,568,1,Crossbow
1473,Bunny Knights #1473,125,3153.0729305115588,1,Pessimistic,94,16,Green,Apprentice,1,Brown,Male,Apprentice Hood,6,Water,Neutral,Bunny,949,2,Water Wand
1716,Bunny Knights #1716,126,3152.669439163478,1,Stubborn,412,16,Indigo,Apprentice,2,Ochre,Male,Apprentice Hood,5,Water,Neutral,Bunny,970,2,Water Wand
2195,Bunny Knights #2195,127,3151.48067064592,1,Offensive,260,16,Moss Green,Apprentice,3,Lavender,Male,Apprentice Hood,5,Earth,Neutral,Bunny,1007,1,Earth Wand
2086,Bunny Knights #2086,128,3151.0648701623154,2,Nostalgic,415,16,Blue,Apprentice,2,Black,Male,Apprentice Hood,5,Water,Good,Bunny,964,1,Water Wand
1873,Bunny Knights #1873,129,3150.5101922109156,2,Sensitive,45,14,Moss Green,Squire,1,Tan,Female,,1,,Neutral,Bunny,1342,6,Pitchfork
1215,Bunny Knights #1215,130,3150.4950279331,2,Nostalgic,350,16,Mushroom,Apprentice,1,Cream,Male,Apprentice Hood,6,Water,Evil,Bunny,987,1,Water Wand
1004,Bunny Knights #1004,131,3150.442302483318,2,Confident,346,16,Fawn,Apprentice,1,Tortilla,Male,Apprentice Hood,6,Earth,Neutral,Bunny,937,1,Earth Wand
2221,Bunny Knights #2221,132,3149.7897702757205,2,Loyal,317,16,Moss Green,Apprentice,2,Cream,Male,Apprentice Hood,5,Air,Good,Bunny,994,1,Air Wand
1650,Bunny Knights #1650,133,3149.60774725923,1,Machiavellian,413,16,Indigo,Apprentice,2,Gravel,Male,Apprentice Hood,6,Water,Neutral,Bunny,1038,1,Water Wand
765,Bunny Knights #765,134,3149.5573163211534,2,Weird,283,16,Green,Apprentice,2,Tan,Male,Apprentice Hood,5,Air,Good,Bunny,1003,1,Air Wand
509,Bunny Knights #509,135,3148.9793841234564,2,Offensive,232,16,Teal,Apprentice,1,Lavender,Male,Apprentice Hood,6,Air,Neutral,Bunny,1028,1,Air Wand
2352,Bunny Knights #2352,136,3148.1441044650905,4,Weird,447,15,Pink,Hunter,4,Yellow,Male,Headband,1,,Neutral,Bunny,433,1,Crossbow
2076,Bunny Knights #2076,137,3147.708859786227,1,Nostalgic,11,15,Indigo,Squire,2,Lavender,Male,Silver Helmet,1,,Good,Bunny,12,6,Fire Sword
1218,Bunny Knights #1218,138,3147.0010311357983,1,Weird,100,16,Glacier,Apprentice,3,Ochre,Male,Apprentice Hood,5,Lightning,Evil,Bunny,1052,1,Lightning Wand
1465,Bunny Knights #1465,139,3146.757752808319,1,Arrogant,207,15,Glacier,Enchanter,4,Grey,Male,,4,Ice,Good,Bunny,1216,1,Ice Wand
1475,Bunny Knights #1475,140,3146.6663624833573,1,Emotional,477,16,Green,Apprentice,1,Yellow,Male,Apprentice Hood,6,Ice,Evil,Bunny,1047,2,Ice Wand
2109,Bunny Knights #2109,141,3146.6187973355018,4,Weird,452,14,Indigo,Hunter,4,Grey,Male,,1,,Evil,Bunny,434,1,Chakram
1735,Bunny Knights #1735,142,3146.6095070719143,5,Machiavellian,300,15,Moss Green,Thief,2,Yellow,Male,Sleeping Cap,1,,Good,Bunny,469,2,Crossbow
1021,Bunny Knights #1021,143,3146.5595863217486,5,Offensive,332,14,Blue,Hunter,3,Cafe,Male,,1,,Evil,Bunny,460,1,Bone Bow
1089,Bunny Knights #1089,144,3145.997654266712,1,Pessimistic,325,16,Green,Apprentice,2,Grey,Female,Apprentice Hood,6,Fire,Neutral,Bunny,989,1,Fire Wand
2498,Bunny Knights #2498,145,3145.647838136813,1,Pessimistic,173,15,Purple,Enchanter,1,Lavender,Male,,6,Ice,Evil,Bunny,967,2,Ice Wand
1852,Bunny Knights #1852,146,3145.611322355356,3,Weird,100,15,Blue,Enchanter,1,Peanut,Female,,5,Ice,Good,Bunny,972,1,Ice Wand
896,Bunny Knights #896,147,3144.7740511256684,2,Weird,441,16,Moss Green,Apprentice,2,White,Male,Apprentice Hood,5,Fire,Good,Bunny,1015,1,Fire Wand
1236,Bunny Knights #1236,148,3142.1367000507216,1,Stubborn,71,14,Fawn,Squire,1,Cream,Male,,3,,Evil,Bunny,1011,5,Axe
1396,Bunny Knights #1396,149,3141.9065796211885,2,Friendly,72,14,Mushroom,Squire,1,Sunflower,Male,,2,,Neutral,Bunny,735,5,Sword
2422,Bunny Knights #2422,150,3141.505298151478,1,Indecisive,399,14,Moss Green,Squire,3,Pink,Male,,2,,Neutral,Bunny,667,4,Sword
510,Bunny Knights #510,151,3141.1247560619718,1,Bold,17,16,Teal,Apprentice,2,Gravel,Male,Apprentice Hood,6,Ice,Evil,Bunny,1154,1,Ice Wand
935,Bunny Knights #935,152,3141.04416603715,2,Pessimistic,293,14,Pink,Hunter,5,Black,Male,,1,,Good,Bunny,573,2,Bow
2254,Bunny Knights #2254,153,3140.136002581508,5,Timid,242,14,Moss Green,Thief,2,Lavender,Male,,1,,Evil,Bunny,555,2,Iron Knuckle
1643,Bunny Knights #1643,154,3139.1345265253144,4,Charming,195,15,Teal,Enchanter,1,Chocolate,Male,,3,Dark,Neutral,Bunny,1418,2,Dark Wand
923,Bunny Knights #923,155,3138.540472357479,2,Arrogant,350,16,Fawn,Enchanter,1,Lavender,Male,Wizard Hat,4,Poison,Evil,Bunny,887,3,Poison Wand
1645,Bunny Knights #1645,156,3138.3286583742547,4,Charming,478,15,Indigo,Thief,3,Brown,Male,Sleeping Cap,2,,Evil,Bunny,571,1,Dagger
1487,Bunny Knights #1487,157,3136.3265354699492,1,Nostalgic,177,15,Fawn,Enchanter,2,White,Female,,6,Lightning,Neutral,Bunny,1183,1,Lightning Wand
2446,Bunny Knights #2446,158,3135.3978682716047,1,Friendly,18,15,Fawn,Acolyte,2,Light Yellow,Male,,4,Marble,Good,Bunny,1285,3,Marble Cross Wand
1699,Bunny Knights #1699,159,3134.8572380601636,2,Machiavellian,473,14,Fawn,Squire,2,Black,Male,,2,,Neutral,Bunny,773,4,Sword
1547,Bunny Knights #1547,160,3133.550301452201,1,Friendly,143,15,Moss Green,Acolyte,1,Ginger,Male,,7,Marble,Neutral,Bunny,1319,1,Marble Cross Wand
1864,Bunny Knights #1864,161,3133.2187225527773,2,Charming,195,15,Green,Acolyte,1,Black,Female,,4,Marble,Evil,Bunny,1341,3,Marble Cross Wand
2308,Bunny Knights #2308,162,3133.129948600659,3,Offensive,242,15,Green,Enchanter,1,Sunflower,Male,,5,Lightning,Evil,Bunny,1295,1,Lightning Wand
