ID,Name,Rank,Rarity_Score,Attributes,Body,Celestial objects,Guest,Head,Object,Soil,Surroundings,Time of day,Weather
3323,Moment #3323,24,294.18754340002073,7,raincoat,rainbow,,bunny ears,shovel,crosses,factory,night,
32,Moment #0032,25,293.0239636701341,2,,,,bandana black,,,,day,
3142,Moment #3142,26,293.01596363813394,2,,,,bandana black,,,,night,
2530,Moment #2530,27,291.4346835445855,9,buttons,baloons,caterpillar,empty,sign,christmas tree,lighthouse,day,snow
44,Moment #0044,28,291.1167233342555,2,,,,glasses,,,,night,
2590,Moment #2590,29,290.8523129693692,2,,,,bunny ears,,,,night,
36,Moment #0036,30,290.27532219408204,2,,,,nymb,,,,day,
644,Moment #0644,31,289.76660368937286,9,sweater,ufo,caterpillar,8-ball,book,phone booth,lighthouse,day,rain
21,Moment #0021,32,286.9761787024885,2,,,,tattoo,,,,day,
380,Moment #0380,33,286.9681786704883,2,,,,tattoo,,,,night,
1932,Moment #1932,34,286.6280426160666,2,cross,,,,,,,night,
3498,Moment #3498,35,285.73633893115175,8,6th sense,sputnik,lady,8-ball,,street light,volcano,night,fog
2915,Moment #2915,36,284.9373278239886,9,heart,moon,lady,bandana black,rope ladder,tree,ferris wheel,night,rain
3957,Moment #3957,37,283.1346420878426,2,,,,,,,human anthill,day,
2985,Moment #2985,38,278.8598048629566,9,alarm clock,baloons,mosquito,empty,shovel,idols,ferris wheel,day,rain
11,Moment #0011,39,277.4026965937055,2,,,,empty,,,,day,
256,Moment #0256,40,275.12697051248455,9,raincoat,baloons,dog,bunny ears,book,phone booth,lighthouse,night,snow
70,Moment #0070,41,271.8876356288505,7,bow tie,rainbow,robot,empty,shovel,,,night,rain
2609,Moment #2609,42,268.1273543150539,9,raincoat,baloons,dog,bdsm love,microphone,well,windmill,day,snow
2531,Moment #2531,43,265.3871959081964,9,buttons,baloons,mosquito,empty,shovel,phone booth,billboard,night,rain
1752,Moment #1752,44,264.39809386768,5,,rainbow,,,microphone,,dali elephants,day,rain
1931,Moment #1931,45,262.7197616624712,5,raincoat,rainbow,caterpillar,zipmouth,,,,day,
3850,Moment #3850,46,260.97661890478287,9,cross,moon,mosquito,empty,sign,headstone,ferris wheel,day,rain
3938,Moment #3938,47,259.18231630897145,6,,rainbow,dog,cell,box,street light,,night,
3099,Moment #3099,48,258.23697149718555,9,buttons,baloons,lady,nymb,microphone,tree,bank,night,rain
2424,Moment #2424,49,257.09225550866194,9,sweater,moon,caterpillar,empty,book,street light,windmill,night,snow
2918,Moment #2918,50,256.3708012612373,5,,rainbow,,bdsm love,,tree,,day,rain
3980,Moment #3980,51,254.6866664845095,9,raincoat,sputnik,dog,empty,box,well,tornado,night,rain
541,Moment #0541,52,254.4877689339334,5,bow tie,rainbow,,cell,,street light,,day,
99,Moment #0099,53,252.9505425083058,9,buttons,baloons,dog,glasses,microphone,street light,human anthill,night,fog
3124,Moment #3124,54,252.4461453110503,7,,moon sun,,nymb,book,fence,human anthill,day,fog
2050,Moment #2050,55,247.0344680409107,4,,rainbow,,glasses,box,,,night,
238,Moment #0238,56,240.99009449594124,9,buttons,ufo,lady,empty,book,tree,human anthill,night,rain
3427,Moment #3427,57,235.710712817171,8,heart,moon sun,,cell,rope ladder,street light,human anthill,night,rain
2252,Moment #2252,58,235.7022295396663,6,,moon sun,,cell,easel,christmas tree,factory,day,
183,Moment #0183,59,233.8575079493569,6,,moon sun,lady,empty,book,red carpet,,night,
585,Moment #0585,60,229.07961737638666,6,,sun,foggy,empty,easel,,volcano,night,
251,Moment #0251,61,224.73569529526984,5,,moon sun,,glasses,,red carpet,,day,rain
3375,Moment #3375,62,214.61811342444892,7,,moon,lady,bandana black,,fence,volcano,night,rain
3529,Moment #3529,63,206.1912700266689,6,,moon sun,,bunny ears,,christmas tree,human anthill,night,rain
378,Moment #0378,64,206.125877543534,8,heart,sun,,nymb,amanita,street light,dali elephants,day,fog
1896,Moment #1896,65,205.4889465915032,6,t-shirt,moon sun,,empty,,crosses,billboard,day,
2201,Moment #2201,66,199.2417148310754,6,,moon sun,snowman,bdsm love,microphone,tree,,night,
2932,Moment #2932,67,198.74591287544277,7,sweater,,snowman,bdsm love,rope ladder,,volcano,day,snow
3032,Moment #3032,68,198.02704898019925,8,t-shirt,,lady,bdsm love,torch,phone booth,tornado,day,snow
526,Moment #0526,69,197.37731472670413,6,tie,moon sun,,empty,shovel,,windmill,day,
159,Moment #0159,70,196.87500059418238,6,,moon sun,,nymb,,well,factory,day,rain
2049,Moment #2049,71,196.0120144276907,8,6th sense,baloons,snowman,nymb,sign,,factory,night,rain
498,Moment #0498,72,192.8483926701565,8,heart,baloons,snowman,bandana red,amanita,well,dali elephants,night,
3672,Moment #3672,73,191.27921164585078,7,buttons,moon sun,,bandana black,shovel,street light,human anthill,day,
2037,Moment #2037,74,191.12545425816316,8,6th sense,ufo,mosquito,bdsm love,shovel,well,factory,day,
3091,Moment #3091,75,189.26116340629147,7,heart,sputnik,snowman,bandana red,,idols,billboard,day,
3538,Moment #3538,76,187.32443952686847,6,buttons,moon sun,,empty,easel,tree,,day,
2565,Moment #2565,77,186.92232435124893,7,6th sense,baloons,,cell,shovel,crosses,laser dish,day,
2619,Moment #2619,78,186.43955927709706,6,buttons,moon sun,,nymb,box,crosses,,day,
226,Moment #0226,79,185.18500901236513,5,buttons,moon sun,,bandana black,,well,,day,
2492,Moment #2492,80,181.51972285550966,6,buttons,moon sun,,empty,microphone,crosses,,night,
3335,Moment #3335,81,180.925386873508,6,6th sense,,snowman,bunny ears,shovel,,laser dish,day,
3043,Moment #3043,82,180.70073904606397,8,6th sense,moon,snowman,empty,,well,windmill,day,snow
2978,Moment #2978,83,179.26901975148243,7,bow tie,ufo,,glasses,box,well,volcano,day,
3777,Moment #3777,84,178.75615200449735,5,t-shirt,moon sun,,bandana black,,street light,,night,
1994,Moment #1994,85,178.73655640166524,8,6th sense,,robot,empty,easel,crosses,human anthill,night,rain
3853,Moment #3853,86,178.39926015551842,7,6th sense,ufo,,zipmouth,,idols,human anthill,day,rain
1762,Moment #1762,87,177.44420677881547,8,cross,moon,dog,empty,torch,christmas tree,human anthill,night,
3933,Moment #3933,88,175.90624712560015,6,cross,moon sun,,empty,microphone,,,day,snow
3052,Moment #3052,89,175.87655008359658,8,sweater,moon,,8-ball,amanita,idols,human anthill,day,rain
2586,Moment #2586,90,175.3751979103373,6,t-shirt,sputnik,,glasses,,,volcano,day,snow
129,Moment #0129,91,174.72846587034812,8,raincoat,,caterpillar,bdsm love,torch,street light,lighthouse,night,rain
413,Moment #0413,92,173.54690004281196,7,heart,baloons,,bandana red,,christmas tree,laser dish,day,rain
2231,Moment #2231,93,173.16765604837803,7,bow tie,baloons,,bdsm love,shovel,tree,volcano,night,
2705,Moment #2705,94,172.474722024556,6,bow tie,,,8-ball,torch,christmas tree,windmill,night,
2416,Moment #2416,95,172.13479310399273,7,buttons,moon,,zipmouth,book,,volcano,night,rain
349,Moment #0349,96,170.76587977762313,6,,,dog,tattoo,book,headstone,volcano,night,
3793,Moment #3793,97,169.58370410651688,6,,baloons,,bandana black,torch,idols,bank,night,
2723,Moment #2723,98,167.92302733511204,6,6th sense,baloons,,empty,,,laser dish,day,fog
3132,Moment #3132,99,166.47304274552957,7,6th sense,moon,,bunny ears,,street light,billboard,night,snow
2655,Moment #2655,100,165.9691616428576,5,sweater,sun,,bandana red,,idols,,day,
3445,Moment #3445,101,165.36093187533362,6,,sun,mosquito,empty,torch,well,,night,
1901,Moment #1901,102,165.1833991234953,5,,moon sun,,nymb,box,street light,,day,
92,Moment #0092,103,165.09294511510473,6,6th sense,moon,,empty,amanita,well,,day,
3452,Moment #3452,104,164.84114753265018,7,cross,baloons,dog,glasses,,,volcano,day,rain
1811,Moment #1811,105,164.37013936381254,8,tie,sputnik,foggy,bandana black,,street light,dali elephants,day,snow
2422,Moment #2422,106,164.31916904057297,7,buttons,baloons,,bdsm love,shovel,street light,volcano,night,
229,Moment #0229,107,164.2220767708139,5,tie,,,empty,torch,,laser dish,day,
3119,Moment #3119,108,163.39118037800915,7,buttons,,caterpillar,empty,easel,red carpet,billboard,day,
2670,Moment #2670,109,163.24344453593295,7,raincoat,sun,foggy,zipmouth,,,ferris wheel,night,fog
2543,Moment #2543,110,162.42811719874564,7,t-shirt,,,empty,easel,fence,laser dish,day,rain
558,Moment #0558,111,162.3452490194232,8,,sun,caterpillar,nymb,book,crosses,ferris wheel,night,rain
3104,Moment #3104,112,161.64145185186337,7,t-shirt,,,tattoo,shovel,fence,laser dish,night,snow
24,Moment #0024,113,161.5106401593366,5,,,,bdsm love,shovel,phone booth,volcano,day,
29,Moment #0029,114,161.08101053853426,4,,moon sun,,empty,,,windmill,day,
3162,Moment #3162,115,160.40298676657994,8,heart,moon,robot,empty,shovel,red carpet,human anthill,day,
2744,Moment #2744,116,160.0566088261506,5,,,dog,bdsm love,easel,,volcano,day,
3794,Moment #3794,117,159.48028853245353,6,,baloons,lady,tattoo,microphone,,volcano,day,
2808,Moment #2808,118,159.17776491889614,7,,sun,robot,zipmouth,book,crosses,billboard,night,
1812,Moment #1812,119,158.34472880242987,6,cross,,,8-ball,book,fence,laser dish,night,
3110,Moment #3110,120,157.4767591431447,8,bow tie,baloons,lady,bandana red,rope ladder,headstone,dali elephants,day,
3909,Moment #3909,121,157.0581603255431,6,,baloons,,cell,,crosses,volcano,night,snow
2264,Moment #2264,122,157.00390528122853,5,bow tie,moon sun,,empty,,street light,,day,
74,Moment #0074,123,155.8278915534167,8,bow tie,sun,caterpillar,glasses,shovel,well,,night,snow
2563,Moment #2563,124,155.69280815515341,5,cross,moon sun,,empty,,street light,,day,
2471,Moment #2471,125,155.4987962183914,5,,moon sun,lady,empty,,street light,,night,
2436,Moment #2436,126,155.48552394096043,6,heart,,,empty,rope ladder,idols,laser dish,night,
3504,Moment #3504,127,154.61973742486938,8,sweater,ufo,,bandana black,amanita,tree,factory,night,rain
138,Moment #0138,128,153.8698168013733,4,raincoat,moon sun,,empty,,,,night,
3925,Moment #3925,129,153.8034292479807,5,bow tie,,mosquito,bdsm love,,,volcano,night,
3601,Moment #3601,130,153.38472550696736,8,sweater,moon,dog,bdsm love,sign,,laser dish,day,rain
2459,Moment #2459,131,153.2091006613156,8,t-shirt,baloons,mosquito,glasses,box,idols,lighthouse,night,
462,Moment #0462,132,153.1522707865403,5,,,mosquito,glasses,,crosses,volcano,night,
1732,Moment #1732,133,152.43369825625388,6,,,lady,cell,,red carpet,billboard,day,fog
2180,Moment #2180,134,152.14539333809677,7,,baloons,dog,empty,,crosses,volcano,day,rain
3208,Moment #3208,135,151.90966433387564,4,sweater,,,bandana black,,,volcano,day,
3882,Moment #3882,136,151.72254063516306,8,raincoat,ufo,caterpillar,empty,torch,street light,,night,snow
2193,Moment #2193,137,151.36653087589403,5,,sputnik,,empty,torch,,laser dish,day,
3527,Moment #3527,138,151.07579396810172,8,heart,baloons,foggy,nymb,easel,street light,,day,fog
518,Moment #0518,139,150.91318653544903,6,6th sense,,snowman,8-ball,,street light,windmill,day,
2465,Moment #2465,140,150.35318224345212,6,6th sense,baloons,,glasses,easel,,bank,day,
344,Moment #0344,141,150.0335150906105,7,tie,,mosquito,8-ball,rope ladder,idols,,day,snow
3246,Moment #3246,142,149.80627858459954,8,raincoat,,dog,empty,sign,christmas tree,dali elephants,night,fog
510,Moment #0510,143,149.47206469061473,6,,baloons,dog,tattoo,,,volcano,night,snow
2274,Moment #2274,144,149.4346604755207,8,cross,,foggy,bdsm love,easel,tree,ferris wheel,day,rain
3592,Moment #3592,145,149.36612052581614,7,6th sense,,lady,bdsm love,box,crosses,,day,rain
3155,Moment #3155,146,148.68226676392362,7,tie,,snowman,nymb,rope ladder,idols,,day,rain
677,Moment #0677,147,148.48581978215805,7,alarm clock,,dog,zipmouth,torch,street light,lighthouse,day,
3231,Moment #3231,148,148.1497849753033,8,,moon,mosquito,zipmouth,torch,street light,human anthill,day,rain
2418,Moment #2418,149,148.05724445305154,8,cross,sputnik,mosquito,tattoo,amanita,street light,dali elephants,night,
2010,Moment #2010,150,147.641701740769,8,buttons,moon,foggy,bandana black,sign,,bank,day,snow
2219,Moment #2219,151,147.58801166573113,8,alarm clock,moon,snowman,zipmouth,microphone,idols,,night,rain
2250,Moment #2250,152,147.31767291911353,6,sweater,moon,,empty,,street light,volcano,day,
3869,Moment #3869,153,147.22458013000673,7,raincoat,sun,,bandana black,book,well,tornado,night,
2906,Moment #2906,154,147.1431270343564,7,,,caterpillar,glasses,microphone,idols,dali elephants,day,fog
2610,Moment #2610,155,147.05678654684112,8,heart,,caterpillar,empty,microphone,phone booth,billboard,day,rain
2582,Moment #2582,156,147.05221873534447,6,,,dog,tattoo,shovel,street light,volcano,night,
3058,Moment #3058,157,146.99076987775967,8,buttons,sun,lady,empty,microphone,street light,factory,day,
3819,Moment #3819,158,146.48104721700386,8,,moon,snowman,tattoo,amanita,street light,windmill,day,fog
3742,Moment #3742,159,146.06634540914771,6,tie,,lady,empty,torch,,windmill,day,
3691,Moment #3691,160,145.9970889230871,8,,ufo,robot,empty,sign,tree,laser dish,night,rain
702,Moment #0702,161,145.79347486560502,7,sweater,ufo,,cell,sign,idols,factory,day,
3031,Moment #3031,162,145.58319514554853,8,alarm clock,ufo,dog,tattoo,box,,laser dish,day,fog
27,Moment #0027,163,144.90594243386997,7,sweater,baloons,lady,tattoo,torch,crosses,,day,
3256,Moment #3256,164,144.8826206329098,6,t-shirt,,,tattoo,amanita,christmas tree,factory,night,
2145,Moment #2145,165,144.3928923006262,8,raincoat,ufo,,tattoo,shovel,fence,windmill,night,rain
3489,Moment #3489,166,144.1802135278603,6,sweater,,robot,bunny ears,torch,,human anthill,night,
172,Moment #0172,167,143.86766687639837,7,raincoat,ufo,mosquito,bandana red,,fence,,day,snow
2727,Moment #2727,168,143.58909444802913,7,6th sense,,snowman,empty,box,street light,,day,fog
200,Moment #0200,169,143.06562188306208,7,tie,ufo,robot,cell,,phone booth,billboard,day,
3653,Moment #3653,170,142.52610297917448,8,buttons,ufo,robot,tattoo,,christmas tree,lighthouse,night,rain
2090,Moment #2090,171,142.48031562628617,8,alarm clock,moon,robot,bandana red,shovel,,dali elephants,day,rain
2561,Moment #2561,172,142.27962365148875,7,,ufo,caterpillar,bandana red,shovel,christmas tree,factory,day,
429,Moment #0429,173,142.01078019582027,6,bow tie,baloons,,bandana red,,fence,dali elephants,day,
3616,Moment #3616,174,141.8507853918448,8,tie,baloons,snowman,bdsm love,,phone booth,windmill,day,rain
3521,Moment #3521,175,141.69900585421448,6,heart,,dog,bandana black,torch,,,day,snow
3470,Moment #3470,176,141.26310522277922,7,cross,moon,foggy,bunny ears,,idols,,night,snow
3895,Moment #3895,177,141.22928050898145,6,t-shirt,,foggy,tattoo,amanita,headstone,,night,
317,Moment #0317,178,140.62318312325735,6,heart,,,zipmouth,torch,tree,human anthill,day,
327,Moment #0327,179,140.55100372284946,8,,ufo,snowman,empty,book,idols,windmill,night,rain
459,Moment #0459,180,139.62720053316724,4,,,,bunny ears,box,,volcano,night,
2014,Moment #2014,181,139.59450855729312,7,,sun,mosquito,zipmouth,easel,phone booth,human anthill,day,
2167,Moment #2167,182,139.5439911272219,6,sweater,,,bunny ears,torch,street light,ferris wheel,day,
161,Moment #0161,183,139.3469610306775,8,alarm clock,moon,mosquito,bandana red,shovel,tree,windmill,night,
338,Moment #0338,184,139.34169136115614,6,6th sense,,dog,bunny ears,,tree,human anthill,night,
2646,Moment #2646,185,139.32314236779698,7,raincoat,ufo,,tattoo,shovel,christmas tree,laser dish,day,
3553,Moment #3553,186,139.10735031429763,8,heart,ufo,dog,8-ball,easel,crosses,factory,night,
3254,Moment #3254,187,139.05020975788005,4,,,,nymb,box,,volcano,day,
3656,Moment #3656,188,138.26283091594775,6,,sun,lady,bandana red,,headstone,,night,snow
3798,Moment #3798,189,137.9162043535255,7,alarm clock,,caterpillar,nymb,shovel,red carpet,,day,rain
3927,Moment #3927,190,137.874051972522,6,tie,,lady,zipmouth,easel,fence,,day,
1916,Moment #1916,191,137.4302850089436,4,,,,zipmouth,,red carpet,laser dish,night,
2732,Moment #2732,192,137.3611950987783,4,,,,bdsm love,,,volcano,day,rain
672,Moment #0672,193,137.17568516568895,5,bow tie,,,empty,box,,volcano,day,
3372,Moment #3372,194,136.48698068550237,5,6th sense,,,tattoo,box,phone booth,,night,
3702,Moment #3702,195,136.44076737166233,7,6th sense,baloons,dog,zipmouth,,,human anthill,night,rain
2816,Moment #2816,196,136.32389346364928,8,sweater,baloons,robot,zipmouth,,crosses,billboard,night,snow
2435,Moment #2435,197,136.0558808137142,8,alarm clock,,lady,bdsm love,shovel,street light,laser dish,night,rain
3394,Moment #3394,198,136.01944337437334,6,heart,,,bunny ears,microphone,fence,,day,fog
2025,Moment #2025,199,135.97789417669512,6,,moon,robot,cell,amanita,christmas tree,,day,
2976,Moment #2976,200,135.95769253744166,7,sweater,sun,lady,empty,easel,,windmill,day,
475,Moment #0475,201,135.54267664595835,8,bow tie,moon,mosquito,bandana red,shovel,tree,lighthouse,day,
2880,Moment #2880,202,134.92981387655232,7,buttons,sun,lady,cell,rope ladder,,human anthill,day,
1785,Moment #1785,203,134.81167780297295,6,,sputnik,,bandana black,,red carpet,lighthouse,day,rain
2940,Moment #2940,204,134.4552343689223,6,6th sense,moon,lady,empty,,,lighthouse,night,
415,Moment #0415,205,134.2190828544779,7,bow tie,,,bandana red,book,street light,billboard,night,fog
3952,Moment #3952,206,133.95516100334825,8,cross,ufo,,nymb,microphone,headstone,billboard,night,rain
3766,Moment #3766,207,133.83851899243854,7,bow tie,ufo,,zipmouth,microphone,fence,ferris wheel,night,
2846,Moment #2846,208,133.61973895532464,6,sweater,moon,foggy,bdsm love,amanita,,,day,
2449,Moment #2449,209,133.48377450064766,7,cross,,dog,zipmouth,book,phone booth,laser dish,night,
2161,Moment #2161,210,133.13041097382833,5,6th sense,ufo,caterpillar,glasses,,,,day,
369,Moment #0369,211,133.11262641298907,5,6th sense,,dog,tattoo,,,tornado,night,
3712,Moment #3712,212,132.7176513080848,8,tie,moon,mosquito,bandana black,book,street light,lighthouse,night,
103,Moment #0103,213,131.7212633348174,7,sweater,sun,caterpillar,zipmouth,microphone,street light,,night,
2260,Moment #2260,214,131.71744095599286,8,,ufo,robot,empty,easel,street light,billboard,day,fog
562,Moment #0562,215,131.53433588874353,6,sweater,,,8-ball,microphone,red carpet,,day,rain
2370,Moment #2370,216,131.4827397963375,5,,ufo,,empty,shovel,,volcano,day,
144,Moment #0144,217,131.479380609611,7,,baloons,dog,cell,,red carpet,ferris wheel,day,rain
540,Moment #0540,218,130.92413246837708,5,,,robot,bandana red,book,idols,,night,
3156,Moment #3156,219,130.70228359762237,8,t-shirt,ufo,,empty,amanita,street light,factory,day,rain
3633,Moment #3633,220,130.67172652301102,6,alarm clock,,dog,empty,torch,,lighthouse,night,
1805,Moment #1805,221,130.63610855556874,8,cross,baloons,foggy,empty,sign,,human anthill,day,fog
2524,Moment #2524,222,130.60649068686897,5,buttons,sputnik,,8-ball,torch,,,day,
601,Moment #0601,223,130.50591616975703,6,,sun,,empty,box,christmas tree,windmill,night,
1783,Moment #1783,224,130.48630912522034,6,,sun,,8-ball,microphone,tree,factory,night,
3765,Moment #3765,225,130.40615338319182,5,raincoat,,,cell,torch,,lighthouse,day,
555,Moment #0555,226,130.35680407448552,7,raincoat,,mosquito,empty,,fence,dali elephants,night,fog
2339,Moment #2339,227,130.3095027193685,8,heart,,robot,tattoo,shovel,well,lighthouse,night,rain
2197,Moment #2197,228,130.2090763910752,7,heart,,dog,tattoo,book,christmas tree,ferris wheel,day,
193,Moment #0193,229,130.12159209530225,5,,sun,,bunny ears,,idols,,day,rain
3556,Moment #3556,230,130.00830974130417,6,,,dog,empty,rope ladder,red carpet,factory,night,
2415,Moment #2415,231,129.71062092455145,6,,,foggy,bdsm love,rope ladder,phone booth,lighthouse,day,
2511,Moment #2511,232,129.51522396190748,6,alarm clock,baloons,,glasses,torch,,,night,snow
3582,Moment #3582,233,129.368887610849,7,cross,,mosquito,bandana black,easel,phone booth,billboard,day,
3844,Moment #3844,234,129.35825431814862,6,,,,glasses,box,fence,billboard,night,snow
504,Moment #0504,235,129.24123537582332,5,6th sense,sputnik,,tattoo,shovel,,,night,
3965,Moment #3965,236,129.1852714362748,8,,moon,lady,bunny ears,easel,phone booth,tornado,day,rain
2288,Moment #2288,237,129.09741392796755,8,heart,sputnik,caterpillar,glasses,box,street light,,night,fog
3440,Moment #3440,238,128.7985864697157,5,,sputnik,,nymb,sign,red carpet,,night,
2594,Moment #2594,239,128.69875416183612,4,6th sense,,,nymb,,headstone,,night,
283,Moment #0283,240,128.6348336777485,7,bow tie,ufo,,zipmouth,,idols,ferris wheel,day,fog
519,Moment #0519,241,128.43417556178795,6,alarm clock,,,8-ball,sign,fence,human anthill,day,
2982,Moment #2982,242,128.09191730224046,6,,,foggy,bunny ears,box,phone booth,billboard,night,
128,Moment #0128,243,128.08444439369302,6,6th sense,moon,dog,empty,microphone,,,day,
2278,Moment #2278,244,128.03239420105064,6,,moon,,empty,torch,well,ferris wheel,day,
3884,Moment #3884,245,127.97276771968868,8,tie,baloons,snowman,empty,box,headstone,factory,day,
3719,Moment #3719,246,127.88369532419735,8,bow tie,sputnik,lady,8-ball,microphone,headstone,human anthill,night,
2265,Moment #2265,247,127.85459488443304,5,sweater,sun,,nymb,,,billboard,day,
3157,Moment #3157,248,127.67602626245582,7,,moon,dog,cell,torch,street light,,night,rain
3184,Moment #3184,249,127.2189311469501,7,raincoat,,foggy,glasses,,tree,ferris wheel,night,fog
2922,Moment #2922,250,127.09441968480043,6,cross,sun,,glasses,,phone booth,bank,night,
2134,Moment #2134,251,126.9499879147964,6,sweater,sun,,tattoo,book,,tornado,night,
2453,Moment #2453,252,126.80965811716226,8,sweater,,dog,empty,book,well,dali elephants,night,fog
404,Moment #0404,253,126.70670994812096,7,t-shirt,,,glasses,microphone,idols,human anthill,night,snow
3620,Moment #3620,254,126.58228199678376,7,cross,,foggy,nymb,book,crosses,dali elephants,night,
3204,Moment #3204,255,126.44772767859286,8,buttons,moon,dog,empty,box,christmas tree,dali elephants,day,
2863,Moment #2863,256,126.31336854595062,8,t-shirt,,caterpillar,bandana black,sign,crosses,human anthill,night,rain
3630,Moment #3630,257,125.96739389883683,6,sweater,sputnik,,tattoo,,idols,factory,day,
1899,Moment #1899,258,125.7985424637225,8,,baloons,mosquito,bandana red,box,crosses,lighthouse,day,rain
3590,Moment #3590,259,125.73117604296712,5,6th sense,baloons,snowman,tattoo,,,,day,
1895,Moment #1895,260,125.53406325187724,5,,,,bdsm love,torch,crosses,bank,night,
1814,Moment #1814,261,125.5034916646244,8,cross,ufo,lady,8-ball,box,phone booth,windmill,night,
570,Moment #0570,262,125.42648585096453,7,sweater,ufo,dog,bdsm love,,tree,laser dish,night,
2031,Moment #2031,263,124.95919410270452,6,cross,baloons,dog,bdsm love,torch,,,day,
2242,Moment #2242,264,124.91723149036973,7,,baloons,lady,nymb,shovel,fence,windmill,night,
3399,Moment #3399,265,124.87963492405046,7,alarm clock,,foggy,bandana black,microphone,street light,lighthouse,night,
3821,Moment #3821,266,124.81148805884459,6,tie,,,tattoo,amanita,crosses,,night,fog
2914,Moment #2914,267,124.79140697785888,8,sweater,moon,dog,bunny ears,,phone booth,lighthouse,day,rain
3722,Moment #3722,268,124.73210664594751,6,cross,,foggy,empty,amanita,,windmill,night,
1816,Moment #1816,269,124.72878742940183,8,sweater,ufo,mosquito,bunny ears,easel,street light,dali elephants,day,
3507,Moment #3507,270,124.53831294666188,6,sweater,,snowman,bunny ears,,idols,ferris wheel,day,
287,Moment #0287,271,124.52515911546234,5,heart,sun,,8-ball,,,factory,day,
3858,Moment #3858,272,124.51949056446368,6,cross,baloons,,zipmouth,easel,red carpet,,day,
3992,Moment #3992,273,124.45530195673304,6,sweater,,,zipmouth,amanita,headstone,factory,night,
1833,Moment #1833,274,124.17505242654627,5,sweater,,,bunny ears,torch,,,night,snow
626,Moment #0626,275,123.89668689519857,7,,,dog,empty,rope ladder,fence,ferris wheel,day,rain
3466,Moment #3466,276,123.83707220541172,7,alarm clock,sun,snowman,empty,easel,street light,,night,
3789,Moment #3789,277,123.8324006777975,8,raincoat,,robot,glasses,easel,street light,human anthill,night,fog
2967,Moment #2967,278,123.82129926449706,7,bow tie,baloons,foggy,bandana black,book,,factory,night,
2944,Moment #2944,279,123.60496292844748,6,,,dog,glasses,torch,,human anthill,night,snow
2883,Moment #2883,280,123.42710263037111,7,sweater,baloons,mosquito,empty,easel,fence,,night,
3298,Moment #3298,281,123.3068055568636,5,,,mosquito,glasses,torch,,bank,night,
262,Moment #0262,282,123.2782383928064,8,tie,baloons,snowman,empty,,headstone,human anthill,day,fog
3239,Moment #3239,283,123.25370446312971,7,bow tie,,lady,bdsm love,amanita,headstone,human anthill,night,
2150,Moment #2150,284,122.61743808335159,5,tie,,,empty,torch,,human anthill,night,
1897,Moment #1897,285,122.53091373287864,7,t-shirt,,,8-ball,amanita,street light,human anthill,night,fog
3575,Moment #3575,286,122.50958873296011,5,6th sense,,,8-ball,shovel,street light,,day,
592,Moment #0592,287,122.50580953557544,7,heart,sputnik,snowman,bandana black,,well,tornado,day,
3101,Moment #3101,288,122.34183773048716,6,,sun,mosquito,nymb,,well,ferris wheel,night,
