ID,Name,Rank,Rarity_Score,Accessories,Attributes,Background,Body,Clothes,Face,Glasses,Hat,Legendary,Necklace,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
208,BFMC #208,11,748.1085815157314,,3,Dark Blue,Brown,,Smiling,,,,,ipfs://Qma1bgfNc4Hyv5tZLkS7CBhRiTJbHiNd32apUwMBR2znAS/208.json,ipfs://QmSkabwqjNCTiZUiYYSKzMtw7RVonP2C2eQMQex7z3nUPe,ipfs://QmVB4E71f835mfq1bsPsRwLzkWhnBcsn1KLxJ6Ks5Di7UH,ipfs://QmdKEcCY1dmfMgsQkhJ89hBwrbETNjRUdatzLKLft7nNJY
3436,BFMC #3436,12,517.9335132127392,Bear,8,Dark,Pink,Green Leafs,Teeth,Purple,Saint Patricks,,Bitcoin Gold,ipfs://QmVsZhGtFQc3ZZX3jj3FTMWL59C3LLfztRPLoCWE1yaKho/3436.json,ipfs://QmUjL1ijKgUdqAsw3N2Wr6h1nf8FZn1Mb86g3yPNQ4NRZG,ipfs://QmXem5SW13a1UpXUQR7qpEZvKz5AXZZ5AaXyvxjaZURQ2M,ipfs://QmVebqEpCPREfQxZt8uGcEe3QZiMYFcMJX89JoxpaY8Wwq
2511,BFMC #2511,13,484.74245743136737,Bear,8,Light,Brown,Tank Top Militar,Angry Teeth,Thug Life,Purple,,Big Foot Gold,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2511.json,ipfs://QmPek9cxy7YPB7iBVVtCUEZ2TqqTgoRfhMbb1yJRvMRykS,ipfs://QmQXGR1mRawFHjddVPMwZfcfRVQnaq4Xg41XJRe6XtCmrv,ipfs://QmYczW7fbp2NjzGJ8Rmt8UuS42sAe9fmu4u7wDZdPi6JHY
4522,BFMC #4522,14,451.37497230167503,Claws,8,Dark Blue,Pink,Blue Bananas,Curious,Yellow And Blue,Angel,,Bitcoin Gold,ipfs://QmRMkanBYopJJd9FWdkkGsFcfzKWEuU6jEBpb9UPMgWqws/4522.json,ipfs://QmSa8qeDpgAaSysTdwy356tECFUYioZ7viktSdQZ2e7pxP,ipfs://QmcH7s9581ns7F8SPjmfgEGJRT6XRUjTDmrF4c8ifHckTK,ipfs://QmZfW76Ydpx6miJGqFFZih3AAfTY2beqkGv7gqSxpMKLq7
1199,BFMC #1199,15,435.93065780479594,Bear,8,Light Blue,Green,Light Green Jacket,Teeth,Green Aviator,Blue,,Bitcoin Gold,ipfs://Qma1bgfNc4Hyv5tZLkS7CBhRiTJbHiNd32apUwMBR2znAS/1199.json,ipfs://QmRHyDDtKgXKFWmqNk7JNLXTpPxfTXC5mgKvGyiAKuXacu,ipfs://QmXmjcHKBqjG7TqAh3rLhVQ6MaBsw7YZces1GxxmraCra5,ipfs://QmQD2VNhz4JgZJmvfC3akvXvoLm4asBbdWVoC5Z78MxyjR
629,BFMC #629,16,433.00848702795525,Bear,8,Dark Green 1,Blue,Red Hoddie,Smiling,Yellow,Vietinamite With Horns On Fire,,Teeth,ipfs://QmPEs21wJwD979Y9oEgxuVURXNvz6uwp4VdxrReTonaFug/629.json,ipfs://Qmdpqf1bGaJYV2xRQ2fhp7GYF8kkGfwitYYCir1Atv5QTt,ipfs://QmPNmqajECBCoZjog4R9t4HstawHJkhyUkMFKj4vrh14MQ,ipfs://QmbEywZHao3MSxnkYpsHpbjNYxDVNoF9QVvmuYzyZGvb8n
4058,BFMC #4058,17,420.54656684902,Claws,8,Pink,Orange,Grey Militar,Teeth,Yellow Aviator,Hunter,,Teeth,ipfs://QmRq9Br2TZtgPCDnpzY7bSkb4BhZHZRWHymz634Q8347oG/4058.json,ipfs://Qme1rSJ4E6RWwB4bzfNhNGzYxrNTGBv4T41XGZE8Th7tJ3,ipfs://QmaXkutGYKcrvP9hLDU3Hu8nEA9UFhEP249T4QCLsv9hHA,ipfs://QmR7oF7CmT8cZcYKEbaZLPbF1PEfyhqQMHKL7peqorMKx5
120,BFMC #120,18,413.9931236534861,Triple Bear,8,Dark Green 1,Green,Basic Light,Angry,Yellow And Blue,Laurel Wreath,,Big Foot Gold,ipfs://QmQ4T8t6YCagp99WRQeyp6geoJ77NKnt5YkmBDUWKNwjD7/120.json,ipfs://QmQujWBJEFe9eNv6VfTzwYnJtSu57Q6kinMBjZBoNE3s5Q,ipfs://QmPrRhrFv447C7hYdZVU6FQ3dLrxEK2e1AvnBjaqLPQ6L2,ipfs://QmTn7TyNEBMDn111uRdsvHnYHZUcDsHjcri1QkLph7xRSZ
975,BFMC #975,19,403.2763339151552,Bear,8,Dark Green 2,Blue,Yellow Gold,Curious,Sun Glasses,Big Foot Hat,,Teeth,ipfs://QmPEs21wJwD979Y9oEgxuVURXNvz6uwp4VdxrReTonaFug/975.json,ipfs://QmXxrZ6sS2CG99x2tp4UxvaByg8Q61PRnsJKk6ELZMemmK,ipfs://QmXDqaSS4cu9MDfyFGN75sWKBdvYwWcBF1P2EcQewgg4kF,ipfs://QmY1916uEwfFo8a2wywKAtjg9im8D4iKKfQoLurMbRwC9t
4385,BFMC #4385,20,399.23488344084365,Triple Bear,8,Dark,Green,Light Brown,Golden Teeth,Yellow,Chicken Hat,,Big Foot Gold,ipfs://QmRMkanBYopJJd9FWdkkGsFcfzKWEuU6jEBpb9UPMgWqws/4385.json,ipfs://QmTdgKbmTt8A3nJfqpTggXu8vDhHvU4dPvXJSn5q6aYtQM,ipfs://QmcmD2XhB6jwwWs4DfC5cUHvqQTfZ4Z12b2FxGmV7Wf2aR,ipfs://QmUHtiD86eYk5kjTnntUUGCf2paFtdo1JqDY8kTke76zDJ
2986,BFMC #2986,21,396.65261931408975,Bear,8,Yellow,Green,Black Hoddie,Bubble Gum,Sun Glasses,Angel With Horns On Fire,,Teeth,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2986.json,ipfs://QmajeergcTi61vFVG6WST6spHs2a1sQKG8T82rVuCux5pZ,ipfs://QmYun6HyVcg5iLpMqS5UMVBnUGsPSYnN9Z2Ar1ieauGvbM,ipfs://QmVR9dpbxKbw2NyiUhjT9Gs3jGPpGCEGbPjrFkMpKjLVMt
3182,BFMC #3182,22,386.93591205762084,Claws,8,Dark Green 1,Blue,Green Militar,Very Angry,Yellow Aviator,Green Brain,,Teeth,ipfs://QmTHpP4PjC7CM9jzNf76E7e33FYoSXzzKmZLHgnPW381dY/3182.json,ipfs://QmNW1kC75XwUS1yBvVyGNP6ezfi1fprXANnF3iBnLpZdAC,ipfs://QmPiNvk8brXnYEMPxVzfirfKvH9cP6Ua2LhRstwBoNXox7,ipfs://QmXSMhxcULuxPtzqwswgFR3ZQoKfhsAfgLPpbFXiu6huRP
2099,BFMC #2099,23,383.79454872546523,Claws,8,Light Blue,Green,Tank Top White,Bubble Gum,Green Aviator,Black Power,,Teeth,ipfs://QmSZXxQnTHCcrEGg2uGSteh1aRguSmPJxg7w6c57fubD4a/2099.json,ipfs://QmXjARJWAZ1sJfFcukwvhWnaAu9vnunnArJUq2MLVmWYi2,ipfs://QmUA55joE61vcowTWrM49zdJQgdXi9L4hDzuCrEBKtwy47,ipfs://QmYoX6DuoXBUzrBwnALgU7WM57HMzWCDdpAdA7BkcL9dmj
1296,BFMC #1296,24,380.585432313759,,7,Light Blue,Brown,Green Stars,Golden Teeth,Purple,Elf 2,,Bitcoin Gold,ipfs://QmarQiRC6TWFRt2Zsqf9f6kX1h4NcvGA7dZtHfLh976iPy/1296.json,ipfs://QmUsy3aXbFvLrotZVHgKw9mFNmebpv63JCDjjMsWxBXChV,ipfs://QmUCoedsFgEg3TrdPMtADyy8HAEENrksrbmGXv9eGRMedV,ipfs://QmRCHjNzrtNCp61hBjqfqvM44YTCNrsRVLtnbsBwhTZo6N
989,BFMC #989,25,379.81404987018294,Bear,8,Orange,Brown,Green Militar,Upset,Thug Life,Blue Frenchie,,Teeth,ipfs://QmPEs21wJwD979Y9oEgxuVURXNvz6uwp4VdxrReTonaFug/989.json,ipfs://QmVtfEDvGrVLzwkgUnxpMkLxfJZPV7Je6V3QqJYEBPLSqh,ipfs://QmazgQXnykjCtmDaeAn2Xwr8APw8kkW9U7TCVhyfsmCgAU,ipfs://QmRvqYPdzkFDbMa4sF3i4rTztFeRPTFbwCY1Qu1vBaJnAM
652,BFMC #652,26,373.7603428377357,Bear,8,Pink,Blue,Brown Hoddie,Angry Teeth,Blue Stars,Blue Frenchie,,Teeth,ipfs://QmSZXxQnTHCcrEGg2uGSteh1aRguSmPJxg7w6c57fubD4a/652.json,ipfs://QmXc9TyADAGkkmSDgLCuEz9iiPRVUNSrsXq3bFUEvJDLFD,ipfs://Qmcw8FwJvkFAtWJSwKS9U53nyTCbW1JXgsyskP4nvxfByA,ipfs://QmQXwyGF862Li2u9riWCi5djVP8hBjdFQRwVVpDuuMuyz4
2460,BFMC #2460,27,359.76640772136284,Triple Bear,6,Dark Green 1,Blue,Punk Dark Green Jacket,Angry Knife,,Navy,,,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2460.json,ipfs://QmQSFa5kx66XmTnZuAdfj2a6YLtLvZTAu74b3BLHYALSGF,ipfs://QmQGb4Fxm6uM6jeASgKHKHdxNHkxubxRN5GwSfZwXmpgSJ,ipfs://QmQEYp2uy3KcbFnNjsrHn36XLBLtiMimxV2XcAWU32iRMW
2517,BFMC #2517,28,344.37175626414614,,5,Dark Blue,Brown,Pink Flowers,Knife Very Angry,,Green With Yellow Flower,,,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2517.json,ipfs://Qma748GpW378j8nuBFEqnuihdTgJsgf3Wa4gXPn3N2Gpoz,ipfs://QmSyTV7Y7eFQnfgq5c296CrFjQxZgMCvBkb4MVJmnbwQDM,ipfs://QmWEFoPNiqMVH6mzGjBrL2MoYrPabXRawNxDKHHgo8Vz4D
499,BFMC #499,29,341.15655650684903,,6,Orange,Brown,Yellow Leafs,Knife Very Angry,Yellow,Pirate,,,ipfs://QmYxgZki71XtsrRwXYxd5wFGkhbTGo2KkN974Cco8TrfHw/499.json,ipfs://QmV6GrtHgTsdh8w3G9URRYnLe55yVX1VqFuXXiXNLCX63n,ipfs://QmfASTdNTGEUcaSCPK7anHsPSuAbD1xb8Xu8QW9b5M8uiH,ipfs://QmeCnxhDAsXXMmjm3rMMJo8GEEN5vSrWBh5gt1gE9YC2fi
2649,BFMC #2649,30,337.2298118107649,,7,Dark,Green,Light Green Black Militar,Bubble Gum,Blue And Green,Navy,,Bitcoin Gold,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2649.json,ipfs://QmZ2kkyD4vhrubx2NsncVRC7u5h6YQDsQcB4qeJi3wMqVh,ipfs://QmPnBeRVJHjpkyCC5Br5WBdVexHT2ryKAozyTK9U1UBWrx,ipfs://QmenJZ74unXv3odd7KymiENt7dSaUwFDXonUWFcSi4km79
27,BFMC #27,31,335.3132335707758,Claws,7,Orange,Green,Cheetah,Calm Knife,Yellow Aviator,Purple,,,ipfs://QmZfbSA3eaDaJ8SN1K9rRvRxLoUHLkVgwKmrcNppjkXEbH/27.json,ipfs://QmdohVfUWQtkPQ4gd8JA5Uo3iAF5g2inxRynbkLdgoG77t,ipfs://QmUNF8o7fkg6MfGzp4FCZweeDd7eitvxHqWmGbu1JJ7Y7S,ipfs://QmbRqxtGjZTSvG9NKvKLYbiTyY2w4Kx9esTjnLSJuyybHK
2226,BFMC #2226,32,331.11858525346213,Bear,7,Dark Blue,Green,Purple Light Green Jacket,Angry Bubble Gum,Yellow,Navy,,,ipfs://Qma1bgfNc4Hyv5tZLkS7CBhRiTJbHiNd32apUwMBR2znAS/2226.json,ipfs://QmcsjKvNjFUCUN47LYHoLNbrHdB3rpDUNAfAoCd1pTYCXS,ipfs://QmRD4NnE32m18wv3vLojEXsidaKMZbs8XZNJWK78RpsnjU,ipfs://QmdCXvZ5rhwVQrhMCk9oeT8AD8HxSo8GwZJzqmLkmP3hwu
2555,BFMC #2555,33,328.5036517703695,,6,Dark Green 1,Green,Green Stars,Golden Teeth,Purple,Green With Yellow Flower,,,ipfs://Qma1bgfNc4Hyv5tZLkS7CBhRiTJbHiNd32apUwMBR2znAS/2555.json,ipfs://Qmcq1szMbdj9vbBReKhS57A3LXZ4G9LvozpEyc9mnMZe71,ipfs://Qmd5ZCDbWK35ywZEt1QEgHkoy7Btf5b5WaPGV8vNoTGEg3,ipfs://QmVbf9oDUVafrtVz6i91998U7EjNt1QLEFTHDn7U4FqsrQ
4500,BFMC #4500,34,325.8871677824187,Claws,7,Yellow,Brown,Militar Hoddie,Very Angry Teeth,Red Aviator,Elf 2,,,ipfs://QmRMkanBYopJJd9FWdkkGsFcfzKWEuU6jEBpb9UPMgWqws/4500.json,ipfs://Qmdq9SQL7QJHZ2Pf2vveCJhc9sKn21zkYnUbuZc7GnUNTy,ipfs://QmYFD5szNzhnZfg2HvWAwqcKi9N5GuSidtFjqUJmBfJkFh,ipfs://QmP86NvB39zmFTjzbPSnKXtCUsgVPFHthVUzq4wjVkB19w
1140,BFMC #1140,35,325.2325235388031,,6,Dark Green 1,Brown,Green Militar,Knife Very Angry,Blue Stars,Purple Pink Hearts Party,,,ipfs://QmQ4T8t6YCagp99WRQeyp6geoJ77NKnt5YkmBDUWKNwjD7/1140.json,ipfs://QmZeEyEHvtnw6sCifZBaVRqjcgNVHvrBNmcsKLhG66FTPe,ipfs://QmQYuToaQsaHjFbp3Gpq92Wr5mPqKw7Y7TN42PtSN8k6Fy,ipfs://QmZ5UwfWmqTjnpG5VGzF6XEVuagJX7MmwoJpPsoR2p9emi
4142,BFMC #4142,36,321.4948502123737,Bear,6,Yellow,Brown,Green Stars,Knife Very Angry,,Blue And Yellow Party,,,ipfs://QmSZXxQnTHCcrEGg2uGSteh1aRguSmPJxg7w6c57fubD4a/4142.json,ipfs://QmTKTbZhnETe9xqN8Loax3qpg8hDnvi4puyEcewxMsgKKt,ipfs://QmPRktTjYcaXpPsqjD55y3b7z8HSuX5yrirb1qisSgmDH3,ipfs://QmaJaDrFsUzEtRTrUJVu5JAjQjF7aGo5XGcfV6z2uwvUKo
231,BFMC #231,37,320.69433955890935,,7,Dark Blue,Brown,Light Blue Militar,Knife Very Angry,Thug Life,Vietinamite With Horns On Fire,,Big Foot Gold,ipfs://QmYxgZki71XtsrRwXYxd5wFGkhbTGo2KkN974Cco8TrfHw/231.json,ipfs://QmZocxqKRnv3FuK2p19yuTvxMuHUyjXmq4oJot2cU8PTcT,ipfs://QmfRJnMUZ7cMXGRPqkHLHuSTsLPMdy2SGYvHvaoZ2YkkMH,ipfs://QmVefuQAF44enTPpm1u2ritBVDHajDbaQGpZ6QfwnYQgzt
1634,BFMC #1634,38,320.20345770093974,,5,Pink,Brown,Purple Light Green Jacket,Knife Very Angry,,Panda,,,ipfs://QmarQiRC6TWFRt2Zsqf9f6kX1h4NcvGA7dZtHfLh976iPy/1634.json,ipfs://QmTfMFKVidtqcQpR24uZVZ8szLAhiKA5USR62YYcVz3fBT,ipfs://QmQQ8kaV9LcG44w9RTH7d2GpN1pWgvYs9Gmw5Miavt4ssc,ipfs://QmUS5g5hzW8jS4brYDRkPyPdq1HnAvY2ubdXArdoTTDXG9
3247,BFMC #3247,39,315.4222999054916,Triple Bear,6,Light Green,Pink,Punk Dark Green Jacket,Angry Bubble Gum,,Green With Yellow Flower,,,ipfs://QmVsZhGtFQc3ZZX3jj3FTMWL59C3LLfztRPLoCWE1yaKho/3247.json,ipfs://QmWsezKnKeGPyqA9GCozDaKBy9zGPRkjib9aHg49YZzuXM,ipfs://QmfCsgv3D2GFRrcpG41igZr8yPqKg3CAFxbnEp1LrtvWa3,ipfs://QmdPZaKyoPG9CbhvEQTwtcoAr3XA1jejiMN1UoHsbFxcLs
2863,BFMC #2863,40,310.11707398708927,,7,Pink,Pink,Purple Leafs,Wow,Sun Glasses With Gold Details,Saint Patricks,,Big Foot Gold,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2863.json,ipfs://QmUWXGyJ4GRg3FVSZTrbsKQG6LKywPXhBPrAnz2NpqBYet,ipfs://QmVeL1FFyvFGnLPFUg8pKeoNLV9Ruwatkp12GF5SdYku22,ipfs://QmTkmEtMDbCdxaEXhepeYfAAGXyKy9kCtkHEoQw8ZBohRw
3019,BFMC #3019,41,309.25787208215775,,6,Light,Brown,Purple Light Green Jacket,Knife,Purple,Big Foot Hat,,,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/3019.json,ipfs://QmUXJWz2rdfYkoh8Nwhh6TN3KDb9PuogM6227e9ZkbRWUi,ipfs://QmXnck73x9Qoc5dWJGShdj5FCUZFDD41bWKzKGfVcusKwp,ipfs://QmeVnmjkrukDgD8aWGWadJgcjDB4ZFtYFqFxb515YZVXpU
4274,BFMC #4274,42,307.9389926506741,,6,Light Blue,Brown,Pink Bananas Hoddie,Very Angry Teeth,Yellow,Santa Claus,,,ipfs://QmRMkanBYopJJd9FWdkkGsFcfzKWEuU6jEBpb9UPMgWqws/4274.json,ipfs://QmPEHMtxm6bBY2koELpWARpBHXf1djBxA4KLqps8kiiYgf,ipfs://QmbDqU14PPaePCdNoAYVupFXty58Y5oTXDbsREbpeP4EKh,ipfs://QmZj21n9A6M5ZQrNfa2sam5KERVsuHk1wgeAGKacJ5hGLx
1720,BFMC #1720,43,307.5399090550902,,6,Yellow,Blue,Purple Militar Hoddie,Very Angry,3D,Navy,,,ipfs://QmarQiRC6TWFRt2Zsqf9f6kX1h4NcvGA7dZtHfLh976iPy/1720.json,ipfs://QmVYmHZ36mRVdX7gbvvSZkwAgH1HRzznFR4VbXJifzJrqA,ipfs://QmNjdNaJQ24F5Jf8c9A5bCYLbE8AQ6o4U9dH9qBfEXYsk9,ipfs://QmQTGg8TfMNzoJxtZWriyuzP9WayqoLnFzX4YtoR3ViBzT
3091,BFMC #3091,44,305.8869769943367,Clown Nose,6,Dark Blue,Pink,Light Green Leafs,Teeth,,Viking,,,ipfs://QmZfbSA3eaDaJ8SN1K9rRvRxLoUHLkVgwKmrcNppjkXEbH/3091.json,ipfs://QmRNCowW4J1524v3gHSE6VwrWAf7N3AwpnNtukAgGVbkkj,ipfs://QmUMYdjRB91JBXf7MKgxVdokEtUQbU6Bbmvmu4mt9id59d,ipfs://QmWEiT3xMkW8tEwEKiMvhajQobHeE51qbtL1Z49J8xex9V
1402,BFMC #1402,45,305.6434058546947,,6,Light Green,Brown,Pink,Oh Concerned,Purple,Horns On Fire,,,ipfs://QmarQiRC6TWFRt2Zsqf9f6kX1h4NcvGA7dZtHfLh976iPy/1402.json,ipfs://QmYh2WWUcHieZeuEdoRjoNe5gBZD8q18rsXRTcWa6p5Zjz,ipfs://QmY4T7eEJ3RC7Qthn8jbEKLbRTjzG4HPkrZTU4fnyUtWV9,ipfs://QmTT63hrMxUXYRM78hTrZmDpe4hrEDhjzPgmt3tkygNqqG
1279,BFMC #1279,46,304.3487999991999,,7,Dark Green 1,Blue,Pink Bananas Hoddie,Red Tongue,Yellow,Crown,,Big Foot Gold,ipfs://Qma1bgfNc4Hyv5tZLkS7CBhRiTJbHiNd32apUwMBR2znAS/1279.json,ipfs://Qmdwax4JKnj4qNrPg9tVDTMDnpihGqzHJA7vt7De5ZWgeG,ipfs://Qmdg3yHrwUWGE3Sn1uHhrXFgNsDfkeFnnX1eZKSy2WksTz,ipfs://QmP5Tq4EgruxJUbe4fqVefx264sHVzsXCxX8SKRZLfP3jf
2931,BFMC #2931,47,301.5950875526806,Clown Nose,7,Light Blue,Blue,Purple Light Green Jacket,Bubble Gum,,Crown,,Big Foot Gold,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2931.json,ipfs://QmcUY7GTWUuCRXjwEqJXncxJTDoMPdHLKHtRVyYdwajqm2,ipfs://Qmezg7ftsmHkFtyEGnNRwhEtCGNpjJooNvVeb6Y2wpQrky,ipfs://Qmb3heW4AjMA1vuwtCwB4SNBPQasCWHqQtxLX6W9rxbqnx
1156,BFMC #1156,48,301.03202912951116,,5,Pink,Brown,Cheetah Hoddie Yellow,Knife,,Mohican,,,ipfs://QmarQiRC6TWFRt2Zsqf9f6kX1h4NcvGA7dZtHfLh976iPy/1156.json,ipfs://QmUUUG8FCYp5uXmsKXaLKzyWWXDUqeueW7EauLNr8Szzw5,ipfs://QmYpSE7MVuxdkYcnKUraJZrsRCddA9AEbbTEDF6GJCw8vh,ipfs://Qmae4XGyyUV5SirCaT13tGgmwirn2weWDbw7qk6vNiaqx4
4821,BFMC #4821,49,300.7897523574561,,6,Dark Green 1,Brown,Pink Bananas Hoddie,Knife Very Angry,Blue And Green,Black Power,,,ipfs://QmRMkanBYopJJd9FWdkkGsFcfzKWEuU6jEBpb9UPMgWqws/4821.json,ipfs://Qmf9AqZTYbe85a4iCsRUGKacC4EuZdfqvefNQotRvMr9x7,ipfs://QmagJ1kgvnn724fbRYgnN62WT8r76SBuKvmyqx2PtBkcRs,ipfs://QmayKmexdJyyVa619hyo69n1foU51VnpsSWRw51Mnqgusp
519,BFMC #519,50,300.1583203260378,,6,Light,Brown,Yellow Gold,Smiling Bubble Gum,3D,Pirate,,,ipfs://QmSZXxQnTHCcrEGg2uGSteh1aRguSmPJxg7w6c57fubD4a/519.json,ipfs://QmS65jMQorMzNzLr3H2Tcr2kzSffaxVp1Y5Bske6ozndtb,ipfs://QmUUjXhJi5Bru5DCKN5HRiMWG92atDZEELKGsk9e59SCxU,ipfs://QmSqj1A1x9kvLRaYVkcCJVXKmFsnUecJu6zuQXPDduM2Ys
2858,BFMC #2858,51,298.1134479201477,,6,Dark Green 2,Brown,Yellow Leafs,Bubble Gum,Purple,Crown,,,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2858.json,ipfs://QmdKsmomk7eT9tcwM8dUtCzSz3E66eTjcELbY7b7jCBvwa,ipfs://QmXaGCEfEnKq1N6bUr8G1bZ3Csvxtw4j18txzKJvx5Hjoi,ipfs://QmdBy3RJncoYiwEmACs7Q8uR26HAeJeBSdqdTnFUZ6rcy3
