ID,Name,Rank,Rarity_Score,Attributes,Background,Bling,Eyes,Face,Filling,Hair,Head,Outfit,Special,Taco Dude
513,TacoDudez #513,23,475.3215065267,9,Violet,Gold Bling,Shades - Gold,Bubble Gum,Taco Filling 2,Butterhead Lettuce,Floppy Hat - Kitty,Polo - Pattern Pink,,Seeded Tortilla
395,TacoDudez #395,24,468.0847022415,9,Yellow,Gold Bling Max,Shutter Shades - Red,Face Mask,Taco Filling 9,Classic Iceberg Lettuce,Tiny Top Hat - Red,Squid Game Tracksuit,,Corn Tortilla
1105,TacoDudez #1105,25,457.3672418035,6,Lilac,,Aviators - Orange,,Taco Filling 1,Cress,,Bow Tie - Blue,,Almond Flour Tortilla
965,TacoDudez #965,26,450.0553729698,8,Forest Green,Gold Bling,,Bandana - Green,Taco Filling 6,Light Spinach,Propeller Hat,Polo - Springbok,,Corn Tortilla
239,TacoDudez #239,27,441.5457620417,8,Blue,,3D Glasses,Tatted Up,Taco Filling 7,Radicchio Lettuce,Viking Helmet W_Braids,Polo - Pattern Red,,Red Corn Tortilla
503,TacoDudez #503,28,439.0137931173,9,Signature Blue,Silver Bling,Shades - Gold,Tatted Up,Taco Filling 6,Purple Oak Lettuce,Backwards Cap - Red,Polo - Pattern Red,,Seeded Tortilla 2
264,TacoDudez #264,29,438.6036320657,8,Forest Green,,Suspicious Eyes,Clown Paint,Taco Filling 4,Butterhead Lettuce,Burning Taco,Suit - Joker Purple,,Corn Tortilla
945,TacoDudez #945,30,436.0998816099,9,Violet,Silver Bling,Shades - Black,Mustache Fuzzy Brows - Brunette,Taco Filling 9,Extra Cheese,Flat Cap,Suit - Brown,,Wheat Tortilla
1089,TacoDudez #1089,31,432.9175190849,7,Green,,,Bandana - Red,Taco Filling 9,Light Spinach,Bunny Ears - Pink,Polo - Springbok,,Corn Tortilla
544,TacoDudez #544,32,417.1114140599,9,Violet,Gold Bling Max,Shutter Shades - Pink,Fuzzy Brows - Black,Taco Filling 9,Radicchio Lettuce,Crypto Sorting Hat,Construction Vest,,Corn Tortilla
466,TacoDudez #466,33,416.6201804202,9,Signature Blue,Silver Bling,Teary Eyes,Bandana - Green,Taco Filling 8,Radicchio Lettuce,Backwards Cap - Red,Bow Tie - Green,,Red Corn Tortilla
1056,TacoDudez #1056,34,413.2672527829,9,Signature Blue,Gold Bling,Spectacles - Brown,Stubble,Taco Filling 6,Purple Oak Lettuce,Cap - Flames,Messy Leopard Tee,,Bean Tortilla
924,TacoDudez #924,35,412.3998503585,9,Violet,Gold Bling Max,Monocle,Big Beard - Grey,Taco Filling 2,Red Oak Lettuce,Beanie - Aquaflage,60S Tee,,Wheat Tortilla
400,TacoDudez #400,36,406.7554084455,9,Lilac,Silver Bling Max,Shades - Blue,Mustache Fuzzy Brows - Blond,Taco Filling 6,Purple Oak Lettuce,Beanie - Camouflage,Tezos Tracksuit,,Seeded Tortilla
746,TacoDudez #746,37,406.6345717343,9,Pink,Silver Bling,Aviators - Blue,Bandana - Green,Taco Filling 8,Extra Cheese,Tiny Top Hat - Red,Plain Tee - Yellow,,Flour Tortilla
286,TacoDudez #286,38,405.7048044065,8,Forest Green,,Eye-Patch - Tezos,Cigarette,Taco Filling 1,Purple Oak Lettuce,Headphones - Lumo Green,Shirt - Pattern Orange,,Seeded Tortilla 2
327,TacoDudez #327,39,403.9835630111,9,Special Green,Silver Bling,Pineapple Party Shades,Hipster _Stash,Taco Filling 3,Arugula,Galaxy Hat,Puffer Jacket - Green,,Wheat Tortilla
920,TacoDudez #920,40,400.5984095641,8,Signature Blue,Gold Bling Max,,Worm Buddy,Taco Filling 5,Radicchio Lettuce,Fly Buddy,Flower Dudez Tee,,Almond Flour Tortilla
261,TacoDudez #261,41,399.5512998082,8,Teal,,Spectacles - Black,Bandaged Shut,Taco Filling 9,Extra Cheese,Hidden Leaf Headband,Puffer Jacket - Black,,Seeded Tortilla 2
775,TacoDudez #775,42,398.9506153138,8,Pink,Silver Bling Max,,Worm Buddy,Taco Filling 1,Radicchio Lettuce,Backwards Cap - Blue,Suit - Black,,Seeded Tortilla
888,TacoDudez #888,43,398.911558266,7,Special Green,,Monocle,Stubble & Cigarette,Taco Filling 4,Extra Cheese,,Suit - Funky Green,,Kidney Bean Tortilla
1054,TacoDudez #1054,44,397.388535675,9,Orange,Gold Bling,Shutter Shades - Green,Mustache - Brunette,Taco Filling 4,Dark Spinach,Construction Helmet,Water Wings - Pink,,Red Corn Tortilla
800,TacoDudez #800,45,395.499631532,8,Special Gold,,Shutter Shades - Red,Big Beard - Grey,Taco Filling 5,Light Spinach,Sombrero,D.U.D.E.S Tee,,Red Corn Tortilla
883,TacoDudez #883,46,394.2536021535,9,Signature Blue,Silver Bling,Eye-Patch,Hipster _Stash,Taco Filling 9,Dark Spinach,Backwards Cap - Red,Suit - Funky Green,,Flour Tortilla
1074,TacoDudez #1074,47,394.1642354403,7,Orange,,Spectacles - Brown,,Taco Filling 5,Light Spinach,Crypto Sorting Hat,Scarf Jumper - Blue_Orange,,Red Corn Tortilla
121,TacoDudez #121,48,393.9486928763,8,Orange,,Suspicious Eyes,Beard - Blond,Taco Filling 5,Radicchio Lettuce,Bobble Hat - Xmas,Messy Leopard Tee,,Seeded Tortilla 2
16,TacoDudez #16,49,393.2250688201,8,Pink,,Glasses - Black Rim,Big Beard - Grey,Taco Filling 7,Classic Iceberg Lettuce,Beanie - Yellow,Scarf Jumper - Blue_Orange,,Seeded Tortilla
574,TacoDudez #574,50,392.5626656567,9,Forest Green,Gold Bling,Spectacles - Clear,Beard Fuzzy Brows - Blond,Taco Filling 1,Dark Spinach,Viking Helmet W_Braids,Zigzag Jumper - Green,,Seeded Tortilla
5,TacoDudez #5,51,390.9713852185,7,Yellow,,Steampunk Goggles,,Taco Filling 9,Extra Cheese,Tiny Top Hat - Red,Suit - White,,Bean Tortilla
712,TacoDudez #712,52,390.9155110247,9,Teal,Gold Bling Max,Eye-Patch,Beard - Brunette,Taco Filling 9,Loose-Leaf Lettuce,Beanie - 90S,Plain Tee - Green,,Wheat Tortilla
1009,TacoDudez #1009,53,389.1494443141,7,Special Green,,3D Glasses,Stubble & Cigarette,Taco Filling 1,Dark Spinach,,Pink Biker Tribute,,Seeded Tortilla 2
470,TacoDudez #470,54,388.5122774889,9,Baby Blue,Silver Bling Max,Glasses - Black Rim,Mustache - Blue,Taco Filling 9,Loose-Leaf Lettuce,Cap - Grumpy Sun,Hawaiian Shirt - Red,,Almond Flour Tortilla
168,TacoDudez #168,55,388.0797437176,8,Pink,,Shutter Shades - Blue,Stubble,Taco Filling 4,Arugula,Bobble Hat - 90S,D.U.D.E.S Tee,,Seeded Tortilla
258,TacoDudez #258,56,387.0683862281,8,Pink,,Shutter Shades - Blue,Bandana - Red,Taco Filling 1,Extra Cheese,Tiny Top Hat - Red,Skull Tee,,Almond Flour Tortilla
461,TacoDudez #461,57,386.7883143681,8,Red,,3D Glasses,Mustache Fuzzy Brows - Blond,Taco Filling 9,Light Spinach,Crypto Sorting Hat,Skull Tee,,Flour Tortilla
393,TacoDudez #393,58,386.0953914373,9,Signature Blue,Silver Bling Max,Steampunk Goggles,Big Beard - Brunette,Taco Filling 9,Butterhead Lettuce,Beanie - Aquaflage,Hawaiian Shirt - Green,,Bean Tortilla
819,TacoDudez #819,59,385.9839545457,9,Violet,Gold Bling,Shutter Shades - Blue,Bandana - Green,Taco Filling 5,Extra Cheese,Construction Helmet,Construction Vest,,Bean Tortilla
928,TacoDudez #928,60,385.8855323405,8,Signature Blue,Silver Bling Max,Steampunk Goggles,,Taco Filling 6,Purple Oak Lettuce,Tiny Top Hat - Red,Plain Tee - Blue,,Corn Tortilla
669,TacoDudez #669,61,384.0322336004,9,Red,Silver Bling Max,Pineapple Party Shades,Beard Fuzzy Brows - Blond,Taco Filling 5,Classic Iceberg Lettuce,Cap,Tetris Tee,,Seeded Tortilla 2
408,TacoDudez #408,62,383.0516346566,6,Pink,,,Cigarette,Taco Filling 6,Extra Cheese,,Polo - Springbok,,Almond Flour Tortilla
926,TacoDudez #926,63,382.2245183718,9,Blue,Gold Bling,Teary Eyes,Face Mask,Taco Filling 10,Dark Spinach,Backwards Cap - Blue,Zigzag Jumper - Green,,Corn Tortilla
324,TacoDudez #324,64,379.2407324975,8,Special Green,,Black Eye,Cigarette,Taco Filling 4,Butterhead Lettuce,Sombrero,Suit - Grey,,Seeded Tortilla
251,TacoDudez #251,65,378.8976847144,9,Special Green,Gold Bling,Eye-Patch - Tezos,Worm Buddy,Taco Filling 7,Radicchio Lettuce,Jester Hat,Tetris Tee,,Bean Tortilla
571,TacoDudez #571,66,377.1125678361,8,Special Green,,Shutter Shades - Green,Beard - Brunette,Taco Filling 8,Light Spinach,Beanie - Blue_Orange,Messy Leopard Tee,,Seeded Tortilla
288,TacoDudez #288,67,372.6202998086,5,Green,,,,Taco Filling 2,Light Spinach,,Polo - Springbok,,Wheat Tortilla
413,TacoDudez #413,68,372.5430208333,8,Baby Blue,,Monocle,Stubble & Cigarette,Taco Filling 8,Red Oak Lettuce,Backwards Cap - Red,Plain Tee - Yellow,,Flour Tortilla
540,TacoDudez #540,69,371.9609778724,9,Pink,Silver Bling,Monocle - Gold,Beard Fuzzy Brows - Blond,Taco Filling 5,Light Spinach,Beanie - Blue_Orange,Tezos Pocket Tee,,Flour Tortilla
757,TacoDudez #757,70,370.456207677,8,Red,,Teary Eyes,Mustache Fuzzy Brows - Brunette,Taco Filling 7,Butterhead Lettuce,Cap - Flames,D.U.D.E.S Tee,,Wheat Tortilla
1088,TacoDudez #1088,71,370.2138096076,8,Blue,,Teary Eyes,Big Beard - Brunette,Taco Filling 10,Cress,Propeller Hat,Puffer Jacket - Black,,Wheat Tortilla
88,TacoDudez #88,72,368.490944351,7,Signature Blue,,Shutter Shades - Green,,Taco Filling 3,Loose-Leaf Lettuce,Floppy Hat - Duck,Scarf Jumper - Autumn,,Bean Tortilla
661,TacoDudez #661,73,367.900301155,9,Yellow,Silver Bling Max,Aviators - Orange,Fuzzy Brows - Brunette,Taco Filling 3,Butterhead Lettuce,Bunny Ears - Pink,Splatter Tee - Black,,Kidney Bean Tortilla
944,TacoDudez #944,74,365.9955802927,8,Blue,,Pineapple Party Shades,Beard - Brunette,Taco Filling 7,Light Spinach,Beanie - Yellow,Bow Tie - Red,,Seeded Tortilla
719,TacoDudez #719,75,365.3878574445,8,Violet,,Pineapple Party Shades,Ketchup Spill,Taco Filling 2,Dark Spinach,Bobble Hat - 90S,Shark Attack Tee,,Bean Tortilla
632,TacoDudez #632,76,364.5423367193,8,Signature Blue,,Shutter Shades - Red,Beard Fuzzy Brows - Grey,Taco Filling 7,Classic Iceberg Lettuce,Fly Buddy,Waist Coat - Grey,,Kidney Bean Tortilla
678,TacoDudez #678,77,363.7999591507,8,Teal,Gold Bling,Power Level Scanner,,Taco Filling 8,Classic Iceberg Lettuce,Tiny Top Hat - Red,Football Shirt - Blue,,Red Corn Tortilla
1040,TacoDudez #1040,78,362.2587223025,8,Forest Green,,3D Glasses,Bandana - Green,Taco Filling 1,Cress,Beanie - Black_Red,Bomber Jacket - Red,,Wheat Tortilla
736,TacoDudez #736,79,362.0099960589,8,Special Green,,Black Eye,Beard Fuzzy Brows - Grey,Taco Filling 8,Dark Spinach,Bobble Hat -White_Blue,Polo - Pattern Pink,,Kidney Bean Tortilla
438,TacoDudez #438,80,361.9665059503,8,Pink,,Shutter Shades - Blue,Beard - Blond,Taco Filling 3,Dark Spinach,Headphones - Black,Messy Leopard Tee,,Wheat Tortilla
580,TacoDudez #580,81,361.8459893,9,Orange,Silver Bling Max,Spectacles - Black,Cigarette,Taco Filling 5,Red Oak Lettuce,Backwards Cap - Blue,Puffer Jacket - Orange,,Flour Tortilla
415,TacoDudez #415,82,361.6089421336,9,Baby Blue,Silver Bling,Shades - Blue,Bandaged Shut,Taco Filling 5,Loose-Leaf Lettuce,Sailor Cap,Steampunk Jacket,,Bean Tortilla
684,TacoDudez #684,83,360.8374216967,8,Teal,,Sharingan,Mustache Fuzzy Brows - Blond,Taco Filling 3,Light Spinach,Bunny Ears - Pink,Shirt - Baby Blue,,Kidney Bean Tortilla
1095,TacoDudez #1095,84,360.0731535902,7,Special Blue,,,Beard - Blond,Taco Filling 10,Purple Oak Lettuce,Floppy Hat - Duck,Polo - Pattern Pink,,Almond Flour Tortilla
774,TacoDudez #774,85,359.4657335741,8,Signature Blue,,Teary Eyes,Ketchup Spill,Taco Filling 3,Purple Oak Lettuce,Backwards Cap - Red,Zigzag Tee,,Almond Flour Tortilla
1060,TacoDudez #1060,86,358.6549707602,8,Orange,,Shades - Gold,Worm Buddy,Taco Filling 3,Classic Iceberg Lettuce,Backwards Cap - Red,Leather Jacket - Brown,,Corn Tortilla
28,TacoDudez #28,87,357.8827515624,8,Violet,,Glasses - Brown Rim,Mustache - Blue,Taco Filling 2,Purple Oak Lettuce,Beanie - Gold Camo,Plain Tee - Blue,,Seeded Tortilla 2
545,TacoDudez #545,88,357.7815059044,9,Signature Blue,Gold Bling Max,Glasses - Black Rim,Hipster _Stash,Taco Filling 5,Purple Oak Lettuce,Bobble Hat -White_Blue,Waist Coat - Blue,,Bean Tortilla
659,TacoDudez #659,89,357.4060656978,7,Special Gold,,Eye-Patch,,Taco Filling 9,Arugula,Floppy Hat - Duck,Bow Tie - Purple,,Bean Tortilla
1065,TacoDudez #1065,90,356.9732166275,8,Green,,Shutter Shades - Red,Clown Paint,Taco Filling 9,Dark Spinach,Cap,Puffer Jacket - Black,,Corn Tortilla
849,TacoDudez #849,91,356.5912729238,7,Lilac,,,Stubble & Cigarette,Taco Filling 5,Arugula,Bobble Hat - 90S,Suit - Blue_,,Kidney Bean Tortilla
506,TacoDudez #506,92,354.8859997524,8,Lilac,,Pineapple Party Shades,Big Beard - Brunette,Taco Filling 7,Arugula,Headphones - Brown,Tezos Tracksuit,,Wheat Tortilla
572,TacoDudez #572,93,354.6187258789,7,Special Gold,,Teary Eyes,Beard - Blond,Taco Filling 7,Light Spinach,,Suit - Brown,,Bean Tortilla
71,TacoDudez #71,94,354.458483865,8,Baby Blue,,Eye-Patch,Mustache - Brunette,Taco Filling 9,Purple Oak Lettuce,Headphones - Gold,Suit - Funky Green,,Almond Flour Tortilla
4,TacoDudez #4,95,354.1057042633,8,Teal,,Glasses - Brown Rim,Bandana - Red,Taco Filling 10,Butterhead Lettuce,Floppy Hat - Kitty,Polo - Pattern Pink,,Red Corn Tortilla
98,TacoDudez #98,96,353.4473275778,8,Lilac,,Sharingan,Beard - Brunette,Taco Filling 9,Loose-Leaf Lettuce,Backwards Cap - Green,Bomber Jacket - Red,,Seeded Tortilla
86,TacoDudez #86,97,352.7496312315,8,Blue,,Aviators - Orange,Worm Buddy,Taco Filling 5,Dark Spinach,Burning Taco,Polo - Mike O,,Almond Flour Tortilla
1014,TacoDudez #1014,98,352.6275243736,8,Signature Blue,Gold Bling Max,,Clown Paint,Taco Filling 5,Classic Iceberg Lettuce,Sombrero,Zigzag Jumper - Yellow,,Wheat Tortilla
189,TacoDudez #189,99,351.8679717425,8,Special Green,Silver Bling,Pineapple Party Shades,,Taco Filling 4,Dark Spinach,Dunce Cap,Suit - Joker Purple,,Seeded Tortilla
634,TacoDudez #634,100,351.1729865668,8,Orange,,Pineapple Party Shades,Hipster _Stash,Taco Filling 4,Cress,Beanie - 90S,Leather Jacket - Black,,Wheat Tortilla
934,TacoDudez #934,101,351.1275041411,8,Red,,Aviators - Orange,Fuzzy Brows - Brunette,Taco Filling 10,Purple Oak Lettuce,Floppy Hat - Duck,Scarf Jumper - Green,,Red Corn Tortilla
346,TacoDudez #346,102,349.422060464,8,Baby Blue,,Pineapple Party Shades,Mustache - Brunette,Taco Filling 5,Classic Iceberg Lettuce,Floppy Hat - Duck,Plain Tee - Yellow,,Almond Flour Tortilla
675,TacoDudez #675,103,348.6984536662,8,Orange,,Shutter Shades - Blue,Face Mask,Taco Filling 8,Classic Iceberg Lettuce,Viking Helmet,Leather Jacket - Brown,,Almond Flour Tortilla
406,TacoDudez #406,104,348.5747485034,8,Lilac,,Steampunk Goggles,Ketchup Spill,Taco Filling 3,Dark Spinach,Galaxy Hat,Scarf Jumper - Red,,Seeded Tortilla
885,TacoDudez #885,105,347.436529741,7,Forest Green,,Shutter Shades - Green,Mustache - Blue,Taco Filling 10,Light Spinach,,Zigzag Jumper - Green,,Bean Tortilla
291,TacoDudez #291,106,346.9675659242,8,Baby Blue,Silver Bling Max,,Clown Paint,Taco Filling 3,Radicchio Lettuce,Hidden Leaf Headband,Pacman Taco Tee,,Corn Tortilla
357,TacoDudez #357,107,345.8661365393,8,Forest Green,,Monocle,Cigarette,Taco Filling 1,Arugula,Sailor Cap,Polo - Pattern Red,,Corn Tortilla
215,TacoDudez #215,108,345.4697977058,8,Special Gold,,Aviators - Orange,Big Beard - Brunette,Taco Filling 4,Light Spinach,Sailor Cap,Scarf Jumper - Autumn,,Red Corn Tortilla
34,TacoDudez #34,109,344.2786356362,8,Baby Blue,,Steampunk Goggles,Beard Fuzzy Brows - Grey,Taco Filling 1,Butterhead Lettuce,Beanie - 90S,Scarf Jumper - Green,,Red Corn Tortilla
68,TacoDudez #68,110,344.1858103558,8,Special Green,,Suspicious Eyes,Beard - Brunette,Taco Filling 5,Dark Spinach,Propeller Hat,Water Wings - Pink,,Kidney Bean Tortilla
283,TacoDudez #283,111,343.3159809087,8,Violet,,Shades - Peace,Big Beard - Blond,Taco Filling 5,Classic Iceberg Lettuce,Top Hat,Pacman Taco Tee,,Seeded Tortilla 2
1021,TacoDudez #1021,112,342.1683116746,8,Yellow,,Suspicious Eyes,Beard - Brunette,Taco Filling 3,Butterhead Lettuce,Cap - Not So Smiley,Football Shirt - Red,,Corn Tortilla
894,TacoDudez #894,113,341.8965725493,7,Yellow,,Shutter Shades - Blue,,Taco Filling 5,Radicchio Lettuce,Viking Helmet W_Braids,Tezos Tracksuit,,Kidney Bean Tortilla
399,TacoDudez #399,114,340.67760486,7,Special Gold,Gold Bling Max,,,Taco Filling 7,Butterhead Lettuce,Bobble Hat - Yellow_Red,Zigzag Jumper - Blue,,Wheat Tortilla
414,TacoDudez #414,115,339.9723175645,8,Red,,Shutter Shades - Blue,Party Horn,Taco Filling 6,Classic Iceberg Lettuce,Beanie - Aquaflage,Bow Tie - Green,,Seeded Tortilla 2
672,TacoDudez #672,116,339.711153479,9,Yellow,Silver Bling Max,Black Eye,Beard - Brunette,Taco Filling 1,Red Oak Lettuce,Bunny Ears - Pink,Prison Jumpsuit,,Corn Tortilla
76,TacoDudez #76,117,339.5963628554,8,Orange,,Aviators - Orange,Ketchup Spill,Taco Filling 8,Purple Oak Lettuce,Fly Buddy,Plain Tee - Yellow,,Seeded Tortilla
624,TacoDudez #624,118,339.4707217545,9,Orange,Silver Bling,Spectacles - Clear,Cigarette,Taco Filling 7,Classic Iceberg Lettuce,Flat Cap,Galaxy Tee,,Seeded Tortilla
272,TacoDudez #272,119,339.250710921,7,Lilac,,,Party Horn,Taco Filling 10,Arugula,Bobble Hat -White_Blue,Suit - Black,,Wheat Tortilla
850,TacoDudez #850,120,339.174401409,8,Yellow,,Shades - Peace,Big Beard - Blond,Taco Filling 10,Light Spinach,Beanie - Black_Red,Zigzag Jumper - Red,,Bean Tortilla
255,TacoDudez #255,121,339.1069990275,8,Baby Blue,,Suspicious Eyes,Beard - Blond,Taco Filling 7,Loose-Leaf Lettuce,Top Hat,Zigzag Jumper - Yellow,,Red Corn Tortilla
90,TacoDudez #90,122,338.9948944104,8,Signature Blue,,Sharingan,Ketchup Spill,Taco Filling 5,Red Oak Lettuce,Dunce Cap,Skull Tee,,Seeded Tortilla 2
1031,TacoDudez #1031,123,338.4912083468,8,Signature Blue,Gold Bling,Shutter Shades - Red,Mustache - Blue,Taco Filling 10,Butterhead Lettuce,,Suit - White,,Seeded Tortilla
106,TacoDudez #106,124,338.3597032347,8,Orange,,Spectacles - Clear,Fuzzy Brows - Black,Taco Filling 9,Red Oak Lettuce,Backwards Cap - Red,Shirt - Pattern Orange,,Bean Tortilla
890,TacoDudez #890,125,338.3489504562,8,Red,,3D Glasses,Fuzzy Brows - Black,Taco Filling 6,Classic Iceberg Lettuce,Jester Hat,Bomber Jacket - Green,,Flour Tortilla
922,TacoDudez #922,126,337.9627725945,8,Red,Silver Bling Max,,Stubble,Taco Filling 10,Loose-Leaf Lettuce,Bobble Hat -White_Blue,Messy Leopard Tee,,Seeded Tortilla
871,TacoDudez #871,127,337.9094363594,8,Red,Gold Bling,Shutter Shades - Blue,,Taco Filling 7,Extra Cheese,Floppy Hat - Duck,Three Tone Tee,,Almond Flour Tortilla
342,TacoDudez #342,128,337.7788310822,8,Forest Green,,Shades - Blue,Bandana - Red,Taco Filling 9,Butterhead Lettuce,Floppy Hat - Duck,Zigzag Jumper - Yellow,,Flour Tortilla
1017,TacoDudez #1017,129,337.338014335,7,Violet,,,Worm Buddy,Taco Filling 7,Dark Spinach,Hidden Leaf Headband,Zigzag Jumper - Red,,Red Corn Tortilla
851,TacoDudez #851,130,337.2784216263,8,Violet,,Glasses - Black Rim,Bandaged Shut,Taco Filling 3,Arugula,Flat Cap,Scarf Jumper - Red,,Kidney Bean Tortilla
154,TacoDudez #154,131,337.2328336866,9,Special Blue,Silver Bling,Eye-Patch - Tezos,Mustache - Brunette,Taco Filling 3,Butterhead Lettuce,Beanie - Blue_Orange,Three Tone Tee,,Red Corn Tortilla
900,TacoDudez #900,132,337.1945252305,7,Green,,,Big Beard - Brunette,Taco Filling 10,Light Spinach,Construction Helmet,Suit - Brown,,Wheat Tortilla
993,TacoDudez #993,133,337.1310709477,8,Orange,Silver Bling Max,,Big Beard - Grey,Taco Filling 6,Extra Cheese,Sailor Cap,Scarf Jumper - Autumn,,Seeded Tortilla 2
341,TacoDudez #341,134,337.0244120027,7,Green,,Glasses - Black Rim,,Taco Filling 4,Arugula,Burning Taco,Scarf Jumper - Blue_Orange,,Seeded Tortilla 2
665,TacoDudez #665,135,335.5852127048,8,Special Blue,,Eye-Patch - Tezos,Fuzzy Brows - Brunette,Taco Filling 2,Dark Spinach,Galaxy Hat,Tezos Pocket Tee,,Corn Tortilla
349,TacoDudez #349,136,335.585191006,9,Lilac,Gold Bling,Eye-Patch,Bandana - Green,Taco Filling 10,Butterhead Lettuce,Headphones - Brown,Scarf Jumper - Green,,Flour Tortilla
918,TacoDudez #918,137,335.0813981363,9,Orange,Gold Bling Max,Spectacles - Brown,Beard - Blond,Taco Filling 10,Cress,Beanie - Aquaflage,Level Builder Tee,,Flour Tortilla
646,TacoDudez #646,138,334.8814022962,8,Green,,Power Level Scanner,Fuzzy Brows - Black,Taco Filling 9,Classic Iceberg Lettuce,Bobble Hat - Yellow_Red,90S Tee,,Bean Tortilla
281,TacoDudez #281,139,334.6272968202,8,Pink,,Spectacles - Brown,Mustache - Blue,Taco Filling 7,Purple Oak Lettuce,Backwards Cap - Blue,Shirt - Baby Blue,,Corn Tortilla
912,TacoDudez #912,140,334.5603595179,8,Signature Blue,,Spectacles - Brown,Big Beard - Grey,Taco Filling 2,Arugula,Cap - Flames,Bow Tie - Green,,Corn Tortilla
367,TacoDudez #367,141,333.9627915044,9,Signature Blue,Silver Bling,Shades - Red,Bubble Gum,Taco Filling 7,Loose-Leaf Lettuce,Headphones - Gold,Football Shirt - Blue,,Almond Flour Tortilla
658,TacoDudez #658,142,332.9384771085,8,Violet,,Shutter Shades - Green,Mustache - Blond,Taco Filling 1,Dark Spinach,Headphones - Lumo Green,Plain Tee - Pink,,Wheat Tortilla
439,TacoDudez #439,143,332.7572662549,8,Pink,,Shades - Blue,Beard Fuzzy Brows - Grey,Taco Filling 1,Radicchio Lettuce,Bunny Ears - Pink,Scarf Jumper - Autumn,,Almond Flour Tortilla
471,TacoDudez #471,144,332.4468893185,7,Pink,,Sharingan,,Taco Filling 9,Butterhead Lettuce,Headphones - Gold,Pink Biker Tribute,,Red Corn Tortilla
333,TacoDudez #333,145,330.9885698523,8,Baby Blue,,Glasses - Black Rim,Worm Buddy,Taco Filling 5,Classic Iceberg Lettuce,Beanie - Gold Camo,Football Shirt - Red,,Corn Tortilla
175,TacoDudez #175,146,330.5883670275,8,Baby Blue,,Teary Eyes,Fuzzy Brows - Brunette,Taco Filling 7,Arugula,Flat Cap,Aquaflage Tee,,Flour Tortilla
170,TacoDudez #170,147,330.370487284,8,Orange,,Shutter Shades - Red,Mustache - Blond,Taco Filling 8,Arugula,Tiny Top Hat - Pink,Shirt - Pattern Orange,,Flour Tortilla
1042,TacoDudez #1042,148,329.652771876,9,Red,Gold Bling,Eye-Patch - Tezos,Mustache Fuzzy Brows - Brunette,Taco Filling 1,Cress,Headphones - Black,Puffer Jacket - Orange,,Bean Tortilla
855,TacoDudez #855,149,329.6079471467,7,Violet,,,Mustache - Blond,Taco Filling 7,Extra Cheese,Cap - Not So Smiley,Bow Tie - Red,,Bean Tortilla
974,TacoDudez #974,150,329.1909340572,8,Violet,,Shutter Shades - Pink,Mustache - Brunette,Taco Filling 4,Classic Iceberg Lettuce,Fly Buddy,Construction Vest,,Kidney Bean Tortilla
