ID,Name,Rank,Rarity_Score,Attributes,Backgrounds,Body,Browz,Clothes,Eyes,Face,FaceWear,Hats&Hair,Jersey,Mouth,Shirt
3005,GloGang 3005,16,837.6843701141696,7,DustyCamo,Wonton,Mad,BearGlo,BabyBlueFlash,FungiTeal,,,,SharpYuck,
4331,GloGang 4331,17,827.0276935914368,7,LemonYellow,SmokeyIce,Shocked,,BlackStare,MonoRoja,JasonHockeyMask 1,,,SuperDuperSmile,
123,GloGang 0123,18,762.5301110442476,11,MorphoBlue,Wonton,OrangeGlo,Glorriors,Snoopy,Hologram,GloryBoy,PeeWee,GloryGlo,SharpYuck,CreamHoody
84,GloGang 0084,19,757.8211866757796,10,TigerStarsCamo,PinkPanther,,Glorriors,BlackDot,GoldenBoy,SkiMaskFlex,GloryDaySkiMask,GloBlackHockey,GloTealMask,CheckerCollar
44,GloGang 0044,20,745.3903694131563,10,DragonBreathCamoGlo,SmokePurple,OrangeGlo,Glorriors,BloodShot,DoubleOrange,FlowerGreenGlo,,GloryGlo,Upside,NerdSuspenders
185,GloGang 0185,21,745.1888964046319,11,DragonBreathCamoGlo,SmokePurple,Evil,Glorriors,RedDroopy,DoubleOrange,GloryBoy,KoofHat,GloBucks,GloCamoRedMask,ArmyBrownCamo
223,GloGang 0223,22,733.0541086708637,11,LemonYellow,DarkTeal,AnthonyEyes,Glorriors,PurpleSmoke,WaveyTeal,GloSkull,GloryMidnightSkiMask,GloBlackHockey,SharpYuck,ArmyYellowCamo
53,GloGang 0053,23,724.4788351167067,10,BurstRed,SmokePurple,Evil,Glorriors,BlackFlash,MonoRoja,GoblinMask,,Chicaglo,GloSmile,ArmyOrangeCamo
19,GloGang 0019,24,686.7531712297049,11,DragonBreathCamoGlo,HelloYellow,OrangeGlo,HeartFamily,BigOrangeStars,GoldenBoy,80sBaby,PeeWee,GloGangicks,Upside,AmryMacaroniOrangeCamo
328,GloGang 0328,25,685.8970579760232,11,SmokeyAshCamoGlo,Jawbreaker,AnthonyEyes,GloGangPastel,BlackDot,GoldenBoy,FlowerRedGlo,GloDread,GloBlueHockey,SharpTongue,ArmyBlackCamo
254,GloGang 0254,26,669.8697067623526,11,Backwoods,Wonton,Mad,Glorriors,OrangeDroopy,FungiTeal,GloSkull,GloDread,GloGangLake,OffTongue,WhiteChalk
268,GloGang 0268,27,636.8388809555105,10,HoneyCombCamo,Wonton,,Glorriors,BigOrangeStars,FungiTeal,FlowerGreenGlo,GloryMidnightSkiMask,Gloanta,CrackedWindowDown,PinkLips
369,GloGang 0369,28,618.8369070005871,11,TrippySky,Jawbreaker,OrangeGlo,HeartFamily,PurpleSmoke,DirtySilverScales,SkiMaskFlex,SacrificeThorns,GloRedHockey,SharpTongue,ArmyWhiteCamo
211,GloGang 0211,29,615.5025079433075,11,Backwoods,RainbowBright,Shocked,IconicGlo,PurpleSmoke,PinkSilk,GoblinMask,RedFitCap,GloBlueHockey,SharpSmile,PurpleChalk
308,GloGang 0308,30,613.8616388237457,11,GoldfishCamoGlo,HardBodyBrown,Mad,GloSun,SuperStars,TrippyRain,80sBaby,PeeWee,GloAngeles,SharpYuck,AllWhiteCollared
248,GloGang 0248,31,612.0634076504409,11,DustyCamo,Jawbreaker,Mad,GangsDontDie,OrangeDroopyStoned,FungiTeal,FlowerRedGlo,GloAshBand,GloGangicks,OffTongue,NerdSuspenders
22,GloGang 0022,32,598.5600119948014,11,BurstRed,Holograph,Mad,GloGangPastel,TigerStyle,Hologram,80sBaby,SacrificeThorns,GloAngeles,HappyTeeth,FusionChalk
257,GloGang 0257,33,596.5521639622026,11,Ambush,HelloYellow,Evil,BrokenHeart,SuperStars,WonkaPurple,FlowerRedGlo,NightmareJasonHockeyMask,GloGlory,Slurp,ArmyGreenCamo
319,GloGang 0319,34,595.3727421236356,9,BrightCarrot,ChainGrey,,HeartFamily,SuperStars,SnowWhite,,NightmareJasonHockeyMask,GloSuns,SharpSmile,ScopeZoomBlack
548,GloGang 0548,35,590.7003542597869,10,DustyCamo,YankeeWhite,,NoLove,TwinkleTwinkle,WaveyTeal,GoblinMask,SacrificeThorns,GloSuns,SharpTongue,GloDie
560,GloGang 0560,36,589.3262590715639,10,GoldfishCamoGlo,PinkPanther,,GloSun,OrangeDroopyStoned,GoldenBoy,LemonBans,GloryDaySkiMask,GloryBall,BrushYourTeeth,NerdSuspenders
57,GloGang 0057,37,584.6349314286015,11,HoneyCombCamo,SmokePurple,Evil,GloBoyz,SuperStars,FungiTeal,GoblinMask,SacrificeThorns,GloAngeles,Slurp,OntheBlockBlue
376,GloGang 0376,38,572.5853123915066,10,LemonYellow,Jawbreaker,,IconicGlo,RedBugs,DoubleOrange,JasonHockeyMask 1,SacrificeThorns,Gloanta,SharpSmile,GloDie
321,GloGang 0321,39,571.2968054282385,11,SmokeyAshCamoGlo,Jawbreaker,Evil,GloGreyGraph,PurpleSmoke,DoubleOrange,SkullMask,RedFitCap,Chicaglo,SuperDuperSmile,GloDie
331,GloGang 0331,40,556.1906372030425,11,SmokeyAshCamoGlo,Wonton,Shocked,IconicGlo,YellowShot,CartoonRainbow,GoblinMask,NightmareJasonHockeyMask,GloBlueHockey,GloSmile,ArmyOrangeCamo
25,GloGang 0025,41,550.9627112048953,11,SmokeyAshCamoGlo,FadedSmoke,OrangeGlo,GloGlo,CreamDroopy,Hologram,GasMask,SacrificeThorns,GloAngeles,SharpTongue,NerdSuspenders
315,GloGang 0315,42,547.2679369342801,11,DragonBreathCamoGlo,FireRed,Evil,HeartFamily,BabyBlueFlash,GoldenBoy,SkiMaskFlex,PeeWee,GloGangLake,GloTealMask,ArmyCamo
457,GloGang 0457,43,546.4604212858993,11,DragonBreathCamoGlo,HardBodyBrown,Mad,GloGreyGraph,OrangeStars,MonoRoja,SkullMask,NightmareJasonHockeyMask,GloryBall,SharpTongue,WhiteChalk
130,GloGang 0130,44,541.096871945618,11,SmokeyAshCamoGlo,RainbowBright,Mad,GloGraph,RedDroopy,CartoonRainbow,FlowerRedGlo,LongDread,Chicaglo,LipStich,AllWhiteCollared
65,GloGang 0065,45,540.0390183782166,10,DustyCamo,Holograph,,GloStoneyBlob,WhiteFlash,FungiTeal,GloSkull,NightmareJasonHockeyMask,GloryBall,SharpYuck,ArmyBlueCamo
486,GloGang 0486,46,534.3240670392934,11,SmokeyAshCamoGlo,HelloYellow,OrangeGlo,GloStoneyBlob,WhiteFlash,MonoRoja,SkiMaskFlex,KoofHat,GloGlory,Slurp,FadedGreen
385,GloGang 0385,47,534.0418414308683,11,BrightCarrot,FireRed,Mad,GloStoneyBlob,WhiteFlash,MonoRoja,80sBaby,RedFitCap,GloryBall,SharpSmile,ArmyBlueCamo
444,GloGang 0444,48,532.518068175063,11,MorphoBlue,SmokePurple,AnthonyEyes,IconicGlo,PurpleSmoke,WonkaPurple,FlowerGreenGlo,NightmareJasonHockeyMask,GloGlory,SharpSmile,WhiteChalk
546,GloGang 0546,49,532.3230374839785,10,GasFlamesCamoGlo,HardBodyBrown,,NoLove,PurpleSmoke,PinkSilk,FlowerRedGlo,NightmareJasonHockeyMask,GloAngeles,GloTealMask,FadedGreen
262,GloGang 0262,50,531.2344063529853,11,DragonBreathCamoGlo,SmokeyIce,Evil,MoneyGlo,OrangeDroopyStoned,CartoonRainbow,LemonBans,SmokePuff,GloryGlo,Slurp,PurpleChalk
37,GloGang 0037,51,530.6211243268145,11,Backwoods,PinkPanther,Mad,BearGlo,TigerStyle,DoubleOrange,FlowerRedGlo,PeeWee,GloAngeles,GloTealMask,NerdSuspenders
229,GloGang 0229,52,527.8573785291471,11,GasFlamesCamoGlo,Jawbreaker,Shocked,GloSun,RedDroopy,AbsoluteOrange,GoblinMask,NerdCap,GloSuns,GloSmile,SpinachGreen
475,GloGang 0475,53,527.4721679793105,11,LemonYellow,PinkPanther,Shocked,NoLove,OrangeStars,GoldenBoy,80sBaby,PeeWee,GloSuns,Upside,FadedGreen
261,GloGang 0261,54,526.8715704002167,11,GasFlamesCamoGlo,RainbowBright,OrangeGlo,GloShip,PurpleSmoke,MonoRoja,FlowerRedGlo,PeeWee,GloYellowHockey,Round,ArmyOrangeCamo
99,GloGang 0099,55,525.4041847029303,10,TigerStarsCamo,Jawbreaker,AnthonyEyes,,OrangeDroopy,DoubleOrange,GoblinMask,KoofHat,GloAngeles,GatorSharpLong,ArmyBlueCamo
178,GloGang 0178,56,525.1245436923034,11,HoneyCombCamo,Jawbreaker,AnthonyEyes,Gloyalty,TwinkleTwinkle,GoldenBoy,FlowerRedGlo,Glorown,GloSuns,LipStich,IceAge
181,GloGang 0181,57,522.0197803265252,11,GasFlamesCamoGlo,RainbowBright,Mad,BearGlo,PolkaDots,GoldenBoy,GloryBoy,GloAshBand,GloGlory,WonderfulDaySmile,SpinachGreen
537,GloGang 0537,58,520.6412833393981,11,DustyCamo,HelloYellow,Evil,GloUniversity,GoldFlash,Hologram,GoblinMask,NightmareJasonHockeyMask,GloGangLake,SharpSmile,StreetHoody
356,GloGang 0356,59,518.5399192365203,11,DragonBreathCamoGlo,Holograph,Evil,GottaGlo,PurpleToon,WaveyTeal,GoblinMask,GloryDaySkiMask,GloryGlo,Slurp,ArmyBlackCamo
115,GloGang 0115,60,517.1308295808822,10,HoneyCombCamo,Jawbreaker,OrangeGlo,,PurpleSmoke,WaveyTeal,SkiMaskFlex,PeeWee,GloSuns,CrackedWindowDown,ArmyRedCamo
93,GloGang 0093,61,515.2912748082995,10,GoldfishCamoGlo,SmurfBlue,,FreeGang,BlackDot,DirtySilverScales,80sBaby,NightmareJasonHockeyMask,GloSuns,WonderfulDaySmile,AmryMacaroniOrangeCamo
166,GloGang 0166,62,515.2519011531114,10,PurpleRain,ChainGrey,,GloGraph,RedBugs,WonkaPurple,GoblinMask,NerdCap,Gloanta,Slurp,SpinachGreen
445,GloGang 0445,63,514.857079416292,10,BurstRed,FadedSmoke,,HeartFamily,OrangeDroopyStoned,WonkaPurple,GoblinMask,Glorown,GloBlueHockey,LipStich,ArmyBlackCamo
494,GloGang 0494,64,512.8804895357638,11,DragonBreathCamoGlo,FadedSmoke,OrangeGlo,GangsDontDie,BlueDroopy,Hologram,SkullMask,KoofHat,GloBucks,SharpTongue,ArmyBlueCamo
439,GloGang 0439,65,512.8026341012201,11,DragonBreathCamoGlo,HelloYellow,Mad,GloStoneyBlob,SuperStars,AbsoluteOrange,NormieBans,PeeWee,GloYellowHockey,SharpYuck,ScopeZoomBlack
460,GloGang 0460,66,511.690236371256,11,DragonBreathCamoGlo,Wonton,Evil,GloUniversity,RedDroopy,Hologram,80sBaby,GloDread,GloryGlo,SharpTongue,ArmyBlueCamo
349,GloGang 0349,67,511.52409539950213,11,SmokeyAshCamoGlo,SmokePurple,Evil,BearGlo,OrangeDroopy,CartoonRainbow,Gloviators,NightmareJasonHockeyMask,GloAngeles,Slurp,AmryMacaroniOrangeCamo
608,GloGang 0608,68,511.0243035885644,11,HoneyCombCamo,RainbowBright,OrangeGlo,GloSun,GoldFlash,AbsoluteOrange,SkullMask,GloAshBand,Chicaglo,WonderfulDaySmile,AmryMacaroniOrangeCamo
168,GloGang 0168,69,510.01716464985856,10,PinkGlazeCamo,FireRed,,GloGreyGraph,YellowFlash,CartoonRainbow,GloSkull,PeeWee,GloAngeles,SharpTongue,ArmyGreenCamo
151,GloGang 0151,70,508.33725297221685,11,GoldfishCamoGlo,FadedSmoke,Shocked,MoneyGlo,OrangeStoner,WaveyTeal,GoblinMask,GloAshBand,GloAngeles,SharpTongue,BloodOrangeChalk
339,GloGang 0339,71,506.2872877507713,11,MorphoBlue,FadedSmoke,Evil,GloStoneyBlob,TwinkleTwinkle,GoldenBoy,80sBaby,SmokePuff,GloBlueHockey,LipStich,FadedGreen
101,GloGang 0101,72,502.98704345733347,11,GoldfishCamoGlo,SmokePurple,Evil,GloryBlock,WhiteFlash,FungiTeal,80sBaby,SacrificeThorns,GloSuns,LipStich,ArmyPinkCamo
50,GloGang 0050,73,502.6609298654664,9,SmokeyAshCamoGlo,HelloYellow,,,RedBugs,Hologram,FlowerRedGlo,RedFitCap,GloSuns,OffTongue,StreetHoody
570,GloGang 0570,74,502.05065414529236,10,DragonBreathCamoGlo,HelloYellow,,Gloyalty,OrangeStoner,GoldenBoy,SkullMask,GloryDaySkiMask,GloGangicks,WonderfulDaySmile,ArmyOrangeCamo
420,GloGang 0420,75,501.9002853757433,10,HoneyCombCamo,HelloYellow,,GloGangPastel,PolkaDots,CartoonRainbow,FlowerRedGlo,NightmareJasonHockeyMask,GloSuns,Slurp,ArmyGreenCamo
544,GloGang 0544,76,498.9487017124758,11,Ambush,FunnyMoneyGreen,Evil,HeartFamily,OrangeDroopyStoned,WaveyTeal,NormieBans,SacrificeThorns,GloGangicks,SayCheese,ArmyBrownCamo
450,GloGang 0450,77,496.63037896839023,10,DragonBreathCamoGlo,SmokePurple,OrangeGlo,GangShit,BabyBlueFlash,DirtySilverScales,GoblinMask,Glorown,GloGangicks,Slurp,
281,GloGang 0281,78,496.2375675898728,10,SmokeyAshCamoGlo,Holograph,AnthonyEyes,NoGloLove,GoldFlash,Hologram,GoblinMask,,Glooklyn,Upside,StreetHoody
5,GloGang 0005,79,496.22878726538073,9,Ambush,Holograph,,GloSun,BigOrangeStars,FungiTeal,JasonHockeyMask 1,,GloBlackHockey,WonderfulDaySmile,ArmyBlueCamo
295,GloGang 0295,80,494.7159374872592,10,PurpleRain,FadedSmoke,OrangeGlo,,BabyBlueFlash,WonkaPurple,FlowerRedGlo,PeeWee,GloBlueHockey,Slurp,ArmyGreenCamo
579,GloGang 0579,81,494.698592446415,11,TigerStarsCamo,Holograph,OrangeGlo,GloShip,OrangeDroopyStoned,FungiTeal,GoblinMask,RedFitCap,Glooklyn,SharpTongue,FadedGreen
502,GloGang 0502,82,494.46296061026857,10,Backwoods,Jawbreaker,,Gloyalty,RedBugs,FungiTeal,SkullMask,KoofHat,GloGangLake,WonderfulDaySmile,ArmyBlueCamo
665,GloGang 0665,83,490.59439263941107,10,LemonYellow,RainbowBright,OrangeGlo,GloGangPastel,PurpleSmoke,CartoonRainbow,JasonHockeyMask 1,,Gloanta,SharpSmile,ArmyPinkCamo
165,GloGang 0165,84,490.27636429020964,11,SmokeyAshCamoGlo,PinkPanther,Shocked,IconicGlo,OrangeStoner,SnowWhite,SkiMaskFlex,SacrificeThorns,GloSuns,OffTongue,AllWhiteCollared
82,GloGang 0082,85,486.928454553294,9,DragonBreathCamoGlo,SmokeyIce,,,OrangeDroopyStoned,WaveyTeal,GloSkull,GloAshBand,GloBlueHockey,SnitchesGetStiches,ArmyPinkCamo
62,GloGang 0062,86,485.793709026384,11,BurstRed,Holograph,Shocked,GloGreyGraph,SuperStars,DoubleOrange,Gloviators,GloryDaySkiMask,Glooklyn,WonderfulDaySmile,CreamHoody
672,GloGang 0672,87,484.8405253089784,11,BurstRed,RainbowBright,Shocked,GloGraph,GoldFlash,DirtySilverScales,NormieBans,RedFitCap,Glooklyn,WonderfulDaySmile,ArmyOrangeCamo
604,GloGang 0604,88,484.53122614610675,11,TrippySky,Holograph,AnthonyEyes,GangsDontDie,TigerStyle,PinkSilk,GloSkull,GloAshBand,GloRedHockey,GatorSharpLong,SpinachGreen
592,GloGang 0592,89,484.505898772027,10,Backwoods,FadedSmoke,,BearGlo,TigerStyle,GoldenBoy,Gloviators,GloAshBand,GloSuns,Round,ArmyPinkCamo
259,GloGang 0259,90,481.8556505111116,11,SmokeyAshCamoGlo,FireRed,Shocked,BearGlo,BlackStare,SnowWhite,FlowerRedGlo,GloryMidnightSkiMask,GloryBall,SharpSmile,ArmyOrangeCamo
543,GloGang 0543,91,479.66180495400727,11,DragonBreathCamoGlo,HelloYellow,AnthonyEyes,GloGreyGraph,RedBugs,FungiTeal,SkullMask,GloryDaySkiMask,GloGlory,GlorangeMask,ArmyGreenCamo
196,GloGang 0196,92,476.7088044774957,11,GoldfishCamoGlo,FireRed,Mad,MoneyGlo,CreamDroopy,TrippyRain,GloryBoy,NightmareJasonHockeyMask,GloSuns,GatorSharpLong,PinkLips
122,GloGang 0122,93,469.7783659258732,11,Backwoods,FunnyMoneyGreen,AnthonyEyes,HeartFamily,BlackStare,AbsoluteOrange,SkiMaskFlex,SacrificeThorns,GloGlory,Yuckamouth,ArmyBlackCamo
273,GloGang 0273,94,468.8200640736105,11,SmokeyAshCamoGlo,SmurfBlue,OrangeGlo,GloBoyz,OrangeDroopy,CartoonRainbow,LemonBans,PeeWee,Chicaglo,Slurp,ArmyRedCamo
304,GloGang 0304,95,467.51089918013497,10,BurstRed,YankeeWhite,,HeartFamily,GoldFlash,CartoonRainbow,GloSkull,GloDread,GloGangicks,GatorSharpLong,BloodOrangeChalk
423,GloGang 0423,96,466.6623474617339,11,DustyCamo,YankeeWhite,Mad,GloGreyGraph,BabyBlueFlash,SnowWhite,FlowerRedGlo,RedFitCap,GloBucks,BrushYourTeeth,NerdSuspenders
540,GloGang 0540,97,465.96142194710876,11,SmokeyAshCamoGlo,Holograph,OrangeGlo,GangShit,YellowShot,SnowWhite,NormieBans,GloryDaySkiMask,GloAngeles,HappyTeeth,StreetHoody
645,GloGang 0645,98,462.8269557296792,11,DustyCamo,Holograph,OrangeGlo,MoneyGlo,BlackStare,PinkSilk,GloryBoy,SmokePuff,GloGlory,GloCamoRedMask,StreetHoody
198,GloGang 0198,99,460.32991691949843,11,GasFlamesCamoGlo,DarkTeal,Evil,GottaGlo,OrangeStars,GoldenBoy,LemonBans,NightmareJasonHockeyMask,GloAngeles,OffTongue,MurderRedChalk
558,GloGang 0558,100,460.1547101603689,11,GasFlamesCamoGlo,HelloYellow,AnthonyEyes,GloSun,OrangeDroopyStoned,CartoonRainbow,SkiMaskFlex,KoofHat,GloSuns,Gloeeth,BloodOrangeChalk
359,GloGang 0359,101,458.70568846959975,11,MorphoBlue,SmurfBlue,OrangeGlo,GloGreyGraph,BlackFlash,GoldenBoy,GloSkull,GloryDaySkiMask,GloBlueHockey,GlorangeMask,WhiteChalk
568,GloGang 0568,102,458.48831077980805,11,GasFlamesCamoGlo,SmokeyIce,Mad,GloGraph,SuperStars,PinkSilk,FlowerRedGlo,Glorown,GloBucks,GlorangeMask,ArmyBlackCamo
627,GloGang 0627,103,457.7927574652987,11,GasFlamesCamoGlo,YankeeWhite,OrangeGlo,GloGreyGraph,PurpleSmoke,TrippyRain,GloSkull,KoofHat,GloGlory,SharpYuck,ArmyCamo
290,GloGang 0290,104,457.17458752195984,10,PurpleRain,RainbowBright,,HeartFamily,BabyBlueBug,DirtySilverScales,GoblinMask,Glorown,Gloanta,HappyTeeth,StreetHoody
131,GloGang 0131,105,454.81487325891413,11,LemonYellow,Holograph,Mad,GloSun,PurpleToon,WonkaPurple,SkiMaskFlex,GloryMidnightSkiMask,GloBlueHockey,HappyTeeth,ArmyWhiteCamo
542,GloGang 0542,106,454.10192336797695,10,GasFlamesCamoGlo,Jawbreaker,,GottaGlo,OrangeDroopyStoned,DirtySilverScales,SkiMaskFlex,StreetBand,GloGangicks,Upside,BloodOrangeChalk
818,GloGang 0818,107,453.5480409499685,11,LemonYellow,FireRed,Shocked,GloStoneyBlob,BlackStare,SnowWhite,SkiMaskFlex,GloryDaySkiMask,Chicaglo,Slurp,ArmyPinkCamo
348,GloGang 0348,108,453.2899622671168,11,LemonYellow,HelloYellow,Mad,GangsDontDie,GoldFlash,GoldenBoy,SkiMaskFlex,StreetBand,GloBucks,SnitchesGetStiches,PinkLips
384,GloGang 0384,109,453.2372316001108,11,SmokeyAshCamoGlo,Holograph,OrangeGlo,GloryBlock,YellowFlash,TrippyRain,SkullMask,RedFitCap,GloAngeles,GatorSharpLong,StreetHoody
26,GloGang 0026,110,453.13551087657726,11,MorphoBlue,HardBodyBrown,Mad,HeartFamily,BlackFlash,AbsoluteOrange,FlowerGreenGlo,PeeWee,GloAngeles,WhatWhat,NerdSuspenders
532,GloGang 0532,111,452.04012747223635,11,DustyCamo,RainbowBright,OrangeGlo,GangShit,CrossBrown,FungiTeal,LemonBans,SacrificeThorns,GloGlory,SnitchesGetStiches,ArmyBrownCamo
294,GloGang 0294,112,451.6761365407035,11,BurstRed,Jawbreaker,AnthonyEyes,GloStoneyBlob,PurpleToon,SnowWhite,GloryBoy,DesertHorns,GloryGlo,BrushYourTeeth,StreetHoody
208,GloGang 0208,113,451.48497744827995,11,BurstRed,FireRed,Shocked,IconicGlo,OrangeDroopyStoned,CartoonRainbow,80sBaby,KoofHat,GloSuns,Round,MurderRedChalk
337,GloGang 0337,114,451.3386121051472,11,BurstRed,Jawbreaker,Shocked,GloStoneyBlob,RedBugs,WonkaPurple,SkiMaskFlex,RedFitCap,GloYellowHockey,SayCheese,SpinachGreen
187,GloGang 0187,115,451.16866792866074,10,GoldfishCamoGlo,HelloYellow,,Gloyalty,BlackFlash,GoldenBoy,GoblinMask,StreetBand,GloSuns,OffTongue,CheckerCollar
404,GloGang 0404,116,451.1634710702221,11,PinkGlazeCamo,Holograph,Mad,MoneyGlo,BlueDroopy,Hologram,Gloviators,GloDread,GloGangLake,SharpSmile,WhiteChalk
628,GloGang 0628,117,451.04865369995923,11,Ambush,Holograph,Shocked,BearGlo,BigOrangeStars,MonoRoja,Softwarebans,KoofHat,GloBlueHockey,SharpSmile,FusionChalk
426,GloGang 0426,118,450.65557068427114,11,GoldfishCamoGlo,Jawbreaker,OrangeGlo,MoneyGlo,SuperStars,AbsoluteOrange,GloryBoy,RedFitCap,GloGangLake,Upside,PurpleChalk
671,GloGang 0671,119,450.09952824612446,11,GasFlamesCamoGlo,SmokePurple,Mad,IconicGlo,GoldFlash,CartoonRainbow,GasMask,StreetBand,GloGangicks,Slurp,FusionChalk
675,GloGang 0675,120,449.8781141464318,11,TrippySky,SmurfBlue,Mad,GloSun,TwinkleTwinkle,WaveyTeal,SkiMaskFlex,KoofHat,GloAngeles,SharpSmile,CheckerCollar
199,GloGang 0199,121,449.5338554640249,10,GoldfishCamoGlo,Holograph,,NoGloLove,BabyBlueFlash,CartoonRainbow,GoblinMask,RedFitCap,Gloanta,Yuckamouth,ArmyPinkCamo
432,GloGang 0432,122,446.81845248792945,11,BrightCarrot,Jawbreaker,Evil,GloShip,OrangeStars,SnowWhite,FlowerRedGlo,DesertHorns,GloSuns,Upside,PinkLips
109,GloGang 0109,123,446.79212897475156,11,Backwoods,FadedSmoke,OrangeGlo,GloShip,BabyBlueFlash,GoldenBoy,80sBaby,PeeWee,Chicaglo,Gloeeth,ArmyWhiteCamo
489,GloGang 0489,124,445.76320650414067,9,DragonBreathCamoGlo,RainbowBright,,BrokenHeart,GoldFlash,FungiTeal,SkiMaskFlex,,GloRedHockey,GloSmile,AllWhiteCollared
389,GloGang 0389,125,445.178293389347,10,SmokeyAshCamoGlo,SmokeyIce,,NoGloLove,PurpleToon,DoubleOrange,GoblinMask,NerdCap,GloYellowHockey,GatorSharpLong,ArmyBlueCamo
411,GloGang 0411,126,445.1623498463128,11,HoneyCombCamo,Jawbreaker,Mad,NoLove,CreamDroopy,PinkSilk,JasonHockeyMask 1,LongDread,GloGangicks,Slurp,ArmyCamo
330,GloGang 0330,127,443.25950685579704,11,SmokeyAshCamoGlo,FireRed,OrangeGlo,FreeGang,RedDroopy,GoldenBoy,FlowerGreenGlo,KoofHat,GloSuns,CrackedWindowDown,AmryMacaroniOrangeCamo
792,GloGang 0792,128,443.03200906139136,10,BurstRed,PinkPanther,,GloSun,TigerStyle,DirtySilverScales,FlowerGreenGlo,GloryDaySkiMask,GloryBall,BrushYourTeeth,OntheBlockBlue
352,GloGang 0352,129,442.8922087611179,10,Ambush,FunnyMoneyGreen,,BrokenHeart,TwinkleTwinkle,CartoonRainbow,FlowerRedGlo,PeeWee,GloSuns,GlorangeMask,PinkLips
43,GloGang 0043,130,442.52883088271716,11,PurpleRain,HardBodyBrown,Evil,MoneyGlo,OrangeDroopy,DoubleOrange,GloryBoy,KoofHat,GloGlory,BrushYourTeeth,WhiteChalk
454,GloGang 0454,131,442.36238138620655,11,SmokeyAshCamoGlo,DarkTeal,Shocked,GangsDontDie,RedBugs,MonoRoja,LemonBans,GloryMidnightSkiMask,GloBlackHockey,OffTongue,PurpleChalk
697,GloGang 0697,132,442.20908846087144,11,TigerStarsCamo,RainbowBright,OrangeGlo,HeartFamily,CreamDroopy,MonoRoja,GloryBoy,KoofHat,GloAngeles,SnitchesGetStiches,ArmyOrangeCamo
406,GloGang 0406,133,441.9173365717849,11,LemonYellow,SmokePurple,OrangeGlo,GloGangPastel,BloodShot,GoldenBoy,80sBaby,DesertHorns,Chicaglo,SharpTongue,FusionChalk
