ID,Name,Rank,Rarity_Score,Attributes,Background,Calligraphy,Eyes,Face,Facepaint,Headband,Mouth,Nose,Panel,Paper,Sign Panel,Signature,Special
658,Tezumura #658,34,930.7134947273204,12,Pixel 02,Calligraphy,Demon Eyes,Rich Beige,Heitai Yellow,Hyper Bot 02,Mad,Mahou,Shikaku Midori,Washi paper,Sign Panel 15,Signature,
554,Tezumura #554,35,926.2937243170811,12,Nami 06,Calligraphy,Ruminate,Rich Red,Majime 04,Girl,Tezos Binky 02,Whictchy,Tate Byubu Midori,Washi paper,Sign Panel 08,Signature,
80,Tezumura #80,36,924.1371943016453,12,Cerulean Blue,Calligraphy,What's up,Keen  Grey,Creep man,Golden Afro Koi,Karasu,Asura,Shikaku Navy,Washi paper,Sign Panel 12,Signature,
56,Tezumura #56,37,918.6888828142274,12,Yen 05,Calligraphy,Marubero,Oval Beige,No Moyo,Kabuki Murasaki,Big Lips,Drop,No Byoubu,Washi paper,Sign Panel 12,Signature,
611,Tezumura #611,38,915.2800929862731,12,Sagittal,Calligraphy,Kensa,Sharp Blue,Kiss Star,Shogun,Sushi,Fuji,Shikaku Midori,Washi paper,Sign Panel 13,Signature,
961,Tezumura #961,39,914.8795020875107,12,Yen 07,Calligraphy,Third Eyes,Oval Grey,Kabuki Green,Harajuku Yellow,Dali Punk Black,Marui,No Byoubu,Washi paper,Sign Panel 01,Signature,
982,Tezumura #982,40,909.8393970522799,12,Rokusho,Calligraphy,Third Eyes,Sharp  Red,Manabi 01,Kabuki Midori,Yellow Texas Mustache,Asura,Byubu Yellow,Washi paper,Sign Panel 06,Signature,
339,Tezumura #339,41,907.6350333180199,12,Torinokoiro,Calligraphy,Monsta!!,Happy White,Omuri Kaki 02,Painter 01,Sushi,Coma,Sembe 03,Washi paper,Sign Panel 13,Signature,
649,Tezumura #649,42,905.3576107280962,12,Shodo 01,Calligraphy,Kabuki eyes,Marui Beige,Majime 05,Samurai 03,Big Lips,Sharpy,No Byoubu,Washi paper,Sign Panel 02,Signature,
166,Tezumura #166,43,905.1957549152633,12,Kirameki 05,Calligraphy,Kabuki eyes,Happy Beige,Yamato 03,The man,Dali Punk Black,Mahou,Star Knife Bue,Washi paper,Sign Panel 00,Signature,
15,Tezumura #15,44,904.1036099027255,12,Kusama 03,Calligraphy,Foxy Lady 02,Oval Beige,Spades,The prince,Tiny Lips,Shimpuru,Sensu Blue,Washi paper,Sign Panel 13,Signature,
719,Tezumura #719,45,899.7298565725685,12,Shibori 01,Calligraphy,Dotto,Sharp  Red,No Moyo,Greeny Demon,Thousand Tez 01,Sharpy,Tate Byubu  Chairo,Washi paper,Sign Panel 13,Signature,
490,Tezumura #490,46,898.7707064499753,12,Pixel 07,Calligraphy,Josu,Sharp Blue,Warrior Paint Blue,Kabuki Murasaki,Smoking,Oldy,No Byoubu,Washi paper,Sign Panel 03,Signature,
739,Tezumura #739,47,895.140795795579,12,Sakura Ki 01,Calligraphy,Hitome,Happy Grey,Moyo 03,Kung Fu Fighter,Thousand Tez 03,Skull,No Byoubu,Washi paper,Sign Panel 12,Signature,
179,Tezumura #179,48,894.9913754678006,12,Pixel 03,Calligraphy,Gakumon,Long Chin Red,Omuri Kaki 01,Police,Draqular,Whictchy,Tate Byubu  Green,Washi paper,Sign Panel 14,Signature,
434,Tezumura #434,49,894.8963368280782,12,Sagittal 02,Calligraphy,Hero,Marui Brown,No Moyo,Tezos Army Red,Foxy Smile,Whictchy,Sensu Momoiro,Washi paper,Sign Panel 05,Signature,
889,Tezumura #889,50,894.1917527761403,12,Kousaten 06,Calligraphy,Kensa,Rich White,Moyo 02,O-bake,Warrior 03,Fuji,Star Knife Red,Washi paper,Sign Panel 15,Signature,
436,Tezumura #436,51,893.1349772874755,12,Coin Pattern 05,Calligraphy,Third Eyes,Sharp  Red,No Moyo,Roman Warrior,Tezos Binky 02,Bootsu,Shikaku Indigo,Washi paper,Sign Panel 15,Signature,
413,Tezumura #413,52,885.8047163065285,12,Kumo Dento 01,Calligraphy,Kurushi,Marui Grey,Majime 05,Kabuki God Fire Kiro,Tounge Out,Fuji,Shikaku Yellow,Washi paper,Sign Panel 01,Signature,
557,Tezumura #557,53,882.4986872371786,12,Yen 07,Calligraphy,Kensa,Rich White,Shogun 02,High Maiko,Foxy Smile,Bandage,Byobu Murasaki,Washi paper,Sign Panel 02,Signature,
976,Tezumura #976,54,882.30191753893,12,Shibori 04,Calligraphy,Grim,Rich Purple,Otafuku 03,Police,Dali Punk Red,Fuji,No Byoubu,Washi paper,Sign Panel 03,Signature,
183,Tezumura #183,55,881.952468453491,12,KumoDot 01,Calligraphy,Gakumon,Marui Brown,Creep man,Gandamu 03,Smoking,Sharpy,No Byoubu,Washi paper,Sign Panel 13,Signature,
510,Tezumura #510,56,870.527294008032,12,Basketry 01,Calligraphy,Kensa,Marui Beige,Joker,Kabuki Crabman,Rainbow Vomit,Fuji,No Byoubu,Washi paper,Sign Panel 10,Signature,
126,Tezumura #126,57,869.8890231310636,12,Maru Nami 02,Calligraphy,Josu,Marui Blue,David Thunder,Lady of Fun 02,Blue Lollipop,Joker,Shikaku Navy,Washi paper,Sign Panel 12,Signature,
246,Tezumura #246,58,869.2323407160724,12,Coin Pattern 02,Calligraphy,Grim,Happy Grey,Shogun 02,Horse Jocky,Cocktail,Keen,No Byoubu,Washi paper,Sign Panel 14,Signature,
792,Tezumura #792,59,867.2261942437958,12,Kousaten 06,Calligraphy,Rikka,Marui Grey,Mononoke,Kirin Aka,Foxy Smile,Bootsu,Sensu  Green,Washi paper,Sign Panel 01,Signature,
780,Tezumura #780,60,867.0707858226956,12,Kirameki 04,Calligraphy,Sunglass,Oval Grey,Mononoke,Raja,Karasu,Manga,No Byoubu,Washi paper,Sign Panel 02,Signature,
378,Tezumura #378,61,865.3645124771689,12,Sagittal,Calligraphy,Kensa,Keen White,Warrior Paint Red,Electoman,Wow Ha Ha,Shimpuru,No Byoubu,Washi paper,Sign Panel 05,Signature,
487,Tezumura #487,62,863.8569995870449,12,Basketry 02,Calligraphy,Monsta!!,Long Chin Blue,Murasaki Shu,Kabuki shiro,Tezos Chcco,Roundy,Shikaku Mikan,Washi paper,Sign Panel 13,Signature,
986,Tezumura #986,63,862.3216250633263,12,Nami 05,Calligraphy,Charming,Keen White,No Moyo,Afro Goldfish,Laughing,Oldy,Sensu  Green,Washi paper,Sign Panel 06,Signature,
367,Tezumura #367,64,858.805928905918,12,Shibori 01,Calligraphy,Katamari,Marui White,Mononoke,Afro Koi,Napkin,Shimpuru,No Byoubu,Washi paper,Sign Panel 10,Signature,
8,Tezumura #8,65,852.2152390870053,12,Shibori 03,Calligraphy,Kabuki Eyes02,Rich Purple,Warrior Paint Blue,Hyper Bot 02,Smoking,Shimpuru,Sensu Blue,Washi paper,Sign Panel 14,Signature,
108,Tezumura #108,66,851.1243092926894,12,Kumori 05,Calligraphy,Kubota,Marui Brown,Omuri Kaki 01,Takoman,Pink Donut,Coma,No Byoubu,Washi paper,Sign Panel 14,Signature,
248,Tezumura #248,67,850.9618850905575,12,Yen 05,Calligraphy,HoHoemi,Oval Beige,Manabi 03,Demon Teen Blue,Tezos Ice 01,Sharpy,Sensu Indigo,Washi paper,Sign Panel 04,Signature,
164,Tezumura #164,68,847.291135150842,12,Kumori 02,Calligraphy,Kabuki eyes,Long Chin Red,Moyo 02,Worker,Wow,Roundy,Shikaku Murasaki,Washi paper,Sign Panel 09,Signature,
392,Tezumura #392,69,844.1043275008549,12,Disco 02,Calligraphy,Kensa,Sharp  Red,Heitai Indigo,Worker,Rainbow Vomit,Buta,No Byoubu,Washi paper,Sign Panel 09,Signature,
531,Tezumura #531,70,843.0713973340992,12,Doodle,Calligraphy,Kensa,Rich Red,Otafuku 04,Kabuki Aka,Sushi,Fuji,Tate Byubu  Red,Washi paper,Sign Panel 00,Signature,
761,Tezumura #761,71,841.4091872620702,12,Nami 01,Calligraphy,Rikka,Keen White,Shogun 02,Savant,Napkin,Joker,Byubu Midori,Washi paper,Sign Panel 07,Signature,
67,Tezumura #67,72,835.368926863895,12,KumoDot 04,Calligraphy,Akuma,Sharp  Beige,Manabi 01,Maiko 02,Laughing,Yama,Sensu  Green,Washi paper,Sign Panel 08,Signature,
965,Tezumura #965,73,834.5802579578597,12,Pixel 03,Calligraphy,Kensa 02,Long Chin Red,Moyo 03,Tezionalism,WhaAaaA,Bat,Star Knife Red,Washi paper,Sign Panel 02,Signature,
1006,Tezumura #1006,74,833.6070251813015,12,Sagittal 05,Calligraphy,Hanaman,Oval Beige,Omuri Kaki 03,Brainman,Tezos Binky 02,Fuji,No Byoubu,Washi paper,Sign Panel 15,Signature,
19,Tezumura #19,75,828.1600163311335,12,Pixel 04,Calligraphy,Kashira,Rich Beige,Shogun 02,Electoman,Napkin,Shimpuru,Byubu Lime,Washi paper,Sign Panel 09,Signature,
956,Tezumura #956,76,825.1414215921548,12,Yen 03,Calligraphy,Assassin,Keen  Red,Frontman Red,The Indian,Geisha,Whictchy,No Byoubu,Washi paper,Sign Panel 01,Signature,
130,Tezumura #130,77,824.1335089259584,12,Nami 06,Calligraphy,Hero,Oval Beige,Omuri Kaki 04,Shogun 02,WhaAaaA,Mahou,Tate Byubu  Chairo,Washi paper,Sign Panel 00,Signature,
798,Tezumura #798,78,819.784194135768,12,Shibori 04,Calligraphy,Kensa,Marui Brown,Aka Shu,Devil Kid,Dali Punk Black,Fuji,No Byoubu,Washi paper,Sign Panel 02,Signature,
211,Tezumura #211,79,818.866485753053,12,Marume 03,Calligraphy,Demon Eyes,Sharp White,Moyo 01,Wind Blow,Ehhh!,Hook,Shikaku Lime,Washi paper,Sign Panel 14,Signature,
988,Tezumura #988,80,818.4527119107961,12,Kirameki 05,Calligraphy,Demon Eyes,Keen  Red,Joker,Ronin 02,Yellow Donut,Bandage,Tate Byubu  Green,Washi paper,Sign Panel 10,Signature,
21,Tezumura #21,81,816.9327460115986,12,Nami 03,Calligraphy,Katamari,Happy Red,Joker,Tezos Army Red,Spaghetti,Lumpy,Sensu Blue,Washi paper,Sign Panel 12,Signature,
52,Tezumura #52,82,816.2149142505515,12,Pyramid 01,Calligraphy,Kubota,Marui Blue,Otafuku 04,Takoman,Foxy Smile,Indoman,Sensu Blue,Washi paper,Sign Panel 01,Signature,
1000,Tezumura #1000,83,814.4406281033299,12,Torinokoiro,Calligraphy,Kensa,Sharp  Beige,Otafuku 02,Gandamu 01,Dorobou,Fuji,Byubu Red,Washi paper,Sign Panel 14,Signature,
385,Tezumura #385,84,812.1081596546331,12,Sagittal 05,Calligraphy,What's up,Rich White,Majime 05,Gandamu 02,Foxy Smile,Keen,No Byoubu,Washi paper,Sign Panel 03,Signature,
826,Tezumura #826,85,810.79935288592,12,Shibori 02,Calligraphy,Snake Eyes,Marui White,Moyo 04,Lady of Fun 02,Laughing,Coma,Byubu Lime,Washi paper,Sign Panel 00,Signature,
713,Tezumura #713,86,810.2501750755421,12,Nami 04,Calligraphy,Rikka,Long Chin Red,Heitai Yellow,Craft man and Ice,Spaghetti,Sharpy,Tate Byubu Navy,Washi paper,Sign Panel 12,Signature,
951,Tezumura #951,87,806.7009855796181,12,Shodo 03,Calligraphy,Kensa,Sharp Blue,Kawaii,Geishasan,Kissy,Fuji,No Byoubu,Washi paper,Sign Panel 07,Signature,
823,Tezumura #823,88,803.8850071298085,12,Kumori 02,Calligraphy,Kabuki Eyes02,Sharp  Red,Moyo 04,Kami Aka,Rainbow Vomit,Wavy,Shikaku Lime,Washi paper,Sign Panel 05,Signature,
682,Tezumura #682,89,803.0530886238663,12,Nostalgia,Calligraphy,Pirate,Happy Grey,Murasaki Shu,The Pink Mask,Spaghetti,Fuji,Shikaku Yellow,Washi paper,Sign Panel 06,Signature,
38,Tezumura #38,90,802.8741334245302,12,Yen 01,Calligraphy,Warrior Time!,Sharp  Beige,Majime 04,Rock Munk,Tezos Ice  03,Oldy,Sembe 04,Washi paper,Sign Panel 14,Signature,
57,Tezumura #57,91,801.1685796975917,12,Nami 05,Calligraphy,Naha Machi,Rich White,Heitai Yellow,Nomad Samurai,Sexy Hey,Shimpuru,Tate Byubu Violet,Washi paper,Sign Panel 00,Signature,
414,Tezumura #414,92,801.1501138896222,12,Pixel 04,Calligraphy,Kabuki Eyes02,Marui Yellow,Otafuku 02,Demon Teen Green,Cocktail,Manga,Sensu Mikan,Washi paper,Sign Panel 03,Signature,
204,Tezumura #204,93,797.8743263594774,12,Kirameki 05,Calligraphy,Hero,Marui Yellow,Manabi 02,Nobility,Antiuque Pipe,Oldy,No Byoubu,Washi paper,Sign Panel 14,Signature,
905,Tezumura #905,94,796.9539048355184,12,Golden,Calligraphy,Kabuki Eyes02,Happy Red,Heart,Kabuki Murasaki,Big Lips,Hook,Tate Byubu  Yellow,Washi paper,Sign Panel 05,Signature,
625,Tezumura #625,95,796.513435184424,12,Pixel 02,Calligraphy,Grim,Sharp grey,Yamato 01,Lady of Fun,melon,Bootsu,Shikaku Green,Washi paper,Sign Panel 14,Signature,
267,Tezumura #267,96,795.845902392844,12,Sagittal 03,Calligraphy,Kubota,Sharp grey,No Moyo,The Ainu,He He He,Groovy,Sembe 04,Washi paper,Sign Panel 00,Signature,
615,Tezumura #615,97,794.9322657400235,12,Coin Pattern 04,Calligraphy,Cute eyes,Rich Purple,Moyo 01,Literati,Cocktail,Mahou,Sembe 06,Washi paper,Sign Panel 15,Signature,
621,Tezumura #621,98,793.3871977013328,12,KumoDot 03,Calligraphy,Old man,Sharp White,Kawaii,Devil Kid 02,Dali Punk Black,Ringgu,Shikaku Green,Washi paper,Sign Panel 15,Signature,
188,Tezumura #188,99,792.1969670364754,12,Kumo Dento 03,Calligraphy,Charming,Rich Grey,Otafuku 03,Prince of Tez,Yellow Donut,Hook,Star Knife Lime,Washi paper,Sign Panel 01,Signature,
299,Tezumura #299,100,789.4422490618987,12,Kumo Dento 03,Calligraphy,Bushi Eyes,Happy Beige,Omuri Kaki 02,Gandamu 02,Cup Noodle,Fuji,No Byoubu,Washi paper,Sign Panel 07,Signature,
678,Tezumura #678,101,785.04880044356,12,Polkadot 06,Calligraphy,Sunglass,Sharp Blue,No Moyo,Kirin Ao,Saiya Mouth,Whictchy,Shikaku Navy,Washi paper,Sign Panel 11,Signature,
995,Tezumura #995,102,783.0666800737554,12,Asagao 01,Calligraphy,Shock,Long Chin Red,Mononoke,Punk Stars Red,Napkin,Marui,Tate Byubu Midori,Washi paper,Sign Panel 01,Signature,
707,Tezumura #707,103,782.5460910653597,12,Yen 04,Calligraphy,Majime,Long Chin Biege,Kabuki Green,Buddha,Kiseru Pipe,Oldy,No Byoubu,Washi paper,Sign Panel 07,Signature,
619,Tezumura #619,104,781.5197411797876,12,Nami 02,Calligraphy,Warrior Time!,Long Chin Red,Manabi 03,Tezos Army YL,Mad,Wavy,Star Knife Red,Washi paper,Sign Panel 03,Signature,
297,Tezumura #297,105,780.9629892495565,12,Pyramid 03,Calligraphy,Akuma,Rich Grey,Manabi 03,Kirin Aka,Saiya Mouth,Keen,Sensu Mikan,Washi paper,Sign Panel 04,Signature,
435,Tezumura #435,106,779.3992155758248,12,Kousaten 04,Calligraphy,Naha Machi,Rich Beige,Moyo 02,Tezionalism,Hmm...,Wavy,Shikaku Mikan,Washi paper,Sign Panel 13,Signature,
816,Tezumura #816,107,776.2846675712346,12,KumoDot 03,Calligraphy,Charming,Rich Grey,Kabuki Red,Red Pilot,Dali Punk Red,Ringgu,Byobu Chairo,Washi paper,Sign Panel 00,Signature,
805,Tezumura #805,108,774.5937584803256,12,Pixel 05,Calligraphy,Josu,Rich Red,Majime 05,Gandamu 02,WhaAaaA,Coma,Shikaku Rose,Washi paper,Sign Panel 14,Signature,
181,Tezumura #181,109,773.5220314457504,12,Maru Nami 02,Calligraphy,Stunned,Oval Beige,Yamato 02,Painter 02,Biting Yen,Fuji,Shikaku Lime,Washi paper,Sign Panel 14,Signature,
701,Tezumura #701,110,773.4777440931831,12,Yen 03,Calligraphy,Shock,Sharp White,Warrior Paint Blue,Toraman,Wow Ha Ha,Manga,No Byoubu,Washi paper,Sign Panel 14,Signature,
6,Tezumura #6,111,773.3902684718821,12,Sagittal 03,Calligraphy,Comedian,Long Chin Biege,Majime 01,God of Sun,Cocktail,Sharpy,Sensu Blue,Washi paper,Sign Panel 06,Signature,
863,Tezumura #863,112,772.1263528810839,12,Pyramid 02,Calligraphy,Foxy Lady 02,Sharp White,No Moyo,Fisherman,Big Lips,Bandage,No Byoubu,Washi paper,Sign Panel 10,Signature,
169,Tezumura #169,113,769.5224716994737,12,KumoDot 04,Calligraphy,Bushi Eyes,Oval Beige,Mononoke,Hyper Bot 03,Warrior 03,Yama,Tate Byubu  Chairo,Washi paper,Sign Panel 02,Signature,
910,Tezumura #910,114,766.4270121426209,12,Basketry 03,Calligraphy,Kubota,Happy Red,Warrior Paint Green,Hyper Bot 01,Tez Coin 02,Sharpy,No Byoubu,Washi paper,Sign Panel 11,Signature,
551,Tezumura #551,115,766.2538491371753,12,Basketry 03,Calligraphy,Foxxy Lady,Marui Blue,Frontman Yellow,Demon Teen Blue,Red Lollipop,Fuji,Sensu Indigo,Washi paper,Sign Panel 13,Signature,
96,Tezumura #96,116,765.3678985591089,12,Sagittal 03,Calligraphy,Kensa,Rich Grey,Murasaki Shu,Kabuki shiro,Napkin,Roboto,Sensu Mikan,Washi paper,Sign Panel 12,Signature,
689,Tezumura #689,117,764.9634434532459,12,Pyramid 02,Calligraphy,Yatta,Sharp  Beige,Kiss Star,Wind Blow,EHiiii,Wavy,No Byoubu,Washi paper,Sign Panel 05,Signature,
325,Tezumura #325,118,764.8554509678389,12,Pyramid 03,Calligraphy,Disney Eyes,Marui Yellow,Otafuku 03,Kami Aka,Hmm...,Fuji,Tate Byubu Navy,Washi paper,Sign Panel 10,Signature,
252,Tezumura #252,119,760.6274201746684,12,Kirameki 03,Calligraphy,Assassin,Keen  Grey,Kiss Star,Samurai 02,Dorobou,Sharpy,Sensu Indigo,Washi paper,Sign Panel 10,Signature,
513,Tezumura #513,120,760.4858209437048,12,Kumo Dento 03,Calligraphy,Comedian,Keen Beige,Mononoke,Dragon Demon,Mad,Wavy,No Byoubu,Washi paper,Sign Panel 14,Signature,
189,Tezumura #189,121,759.4145174472312,12,Sakura Iro,Calligraphy,Kensa,Long Chin Red,Manabi 04,The Indian,Bread time!,Coma,Sembe 06,Washi paper,Sign Panel 02,Signature,
715,Tezumura #715,122,758.2066891016572,12,Polkadot 06,Calligraphy,Konran,Happy White,Midori Shu,Kabuki shiro,Dali Punk Yellow,Groovy,Byubu Red,Washi paper,Sign Panel 06,Signature,
663,Tezumura #663,123,757.4719382850836,12,Hyakugun,Calligraphy,Kensa,Sharp Blue,Frontman Navy,Gandamu 01,Red Lollipop,Fuji,No Byoubu,Washi paper,Sign Panel 13,Signature,
666,Tezumura #666,124,755.1625886204725,12,Polkadot 01,Calligraphy,Snake Eyes,Marui Blue,Moyo 01,Gandamu 03,Butterfly,Fuji,No Byoubu,Washi paper,Sign Panel 05,Signature,
83,Tezumura #83,125,752.7669447588107,12,Basketry 02,Calligraphy,Kensa,Oval Red,Frontman Navy,Demon Teen Green,WhaAaaA,Joker,Byubu Yellow,Washi paper,Sign Panel 07,Signature,
381,Tezumura #381,126,752.6727556977795,12,Torinokoiro,Calligraphy,Bushi Eyes,Long Chin White,Omuri Kaki 03,Ronin 01,Candy,Oldy,Byubu Midori,Washi paper,Sign Panel 15,Signature,
216,Tezumura #216,127,752.3746002804742,12,Kousaten 05,Calligraphy,Old man,Sharp White,Kabuki 01,Emperor,Hmm...,Keen,No Byoubu,Washi paper,Sign Panel 02,Signature,
431,Tezumura #431,128,750.1009674660169,12,Pixel 06,Calligraphy,What's up,Keen  Red,Joker,Nomad,Cocktail,Mahou,No Byoubu,Washi paper,Sign Panel 10,Signature,
732,Tezumura #732,129,749.4846099652722,12,Polkadot 08,Calligraphy,Konran,Rich White,Omuri Kaki 01,Hyper Bot 03,Tez Coin 03,Wavy,Byobu Murasaki,Washi paper,Sign Panel 06,Signature,
647,Tezumura #647,130,748.2421942550773,12,Marume 02,Calligraphy,Yatta,Keen White,Shogun 01,Ronin 02,Pizza,Fuji,Byubu Indigo,Washi paper,Sign Panel 10,Signature,
459,Tezumura #459,131,747.7294356178335,12,Nami 06,Calligraphy,Marubero,Marui Brown,No Moyo,Shinto priest,Boring,Fuji,Shikaku Murasaki,Washi paper,Sign Panel 00,Signature,
66,Tezumura #66,132,746.544203096713,12,Sakura Ki 01,Calligraphy,Kubota,Oval Grey,No Moyo,Kirin Ao,Licking Lip,Whictchy,Star Knife Lime,Washi paper,Sign Panel 12,Signature,
174,Tezumura #174,133,746.433569688353,12,Disco 02,Calligraphy,Funny Eyes,Keen Beige,Kawaii,Evil Kabuki,Dorobou,Bootsu,No Byoubu,Washi paper,Sign Panel 12,Signature,
710,Tezumura #710,134,745.9077036073531,12,Pixel 02,Calligraphy,Ruminate,Long Chin Blue,Majime 05,Bushi 01,Tez Coin 02,Fuji,No Byoubu,Washi paper,Sign Panel 06,Signature,
