ID,Name,Rank,Rarity_Score,Attributes,Bonding level,Breed,Breeding count,Eyes color,Friendliness,Fur color,Gender,Generation,Group,Intelligence,Obedience,Primary personality,Rarity tier,Secondary personality,Size,Status,Strength,Vitality
4249,Dogami #4249,61,2691.1320120232554,18,1,Shiba Inu,0,Brown #1,3,Sesame #12,Female,Alpha,Non-Sporting,15,3,Funny,Bronze,Lazy,Small female,Puppy,10,4
1641,Dogami #1641,62,2690.2003299646235,18,1,Husky,0,Green #1,3,Chocolate & white #5,Male,Alpha,Working,9,3,Charming,Bronze,Loyal,Small male,Puppy,13,12
5018,Dogami #5018,63,2585.6996373507636,18,1,Border Collie,0,Blue & brown #4,3,Blue merle #12,Male,Alpha,Herding,11,5,Shy,Bronze,Adventurer,Small male,Puppy,3,10
1332,Spica,64,2565.5195574065237,18,1,Husky,0,Blue & brown #1,3,Black & white #7,Female,Alpha,Working,9,3,Playful,Silver,Naive,Large female,Puppy,13,6
7177,Dogami #7177,65,2547.5686514659274,18,1,German Shepherd,0,Green #3,3,Black & red #2,Male,Alpha,Herding,9,12,Independent,Bronze,Playful,Large male,Puppy,3,4
7838,Dogami #7838,66,2537.7238742804097,18,1,Husky,0,Blue & brown #3,3,Agouti #5,Female,Alpha,Working,5,3,Gentle,Silver,Adventurer,Small female,Puppy,5,11
7351,Dogami #7351,67,2532.165735998008,18,1,Rottweiler,0,Brown #3,6,Shinny black & tan #12,Male,Alpha,Working,4,6,Baddass,Bronze,Jolly,Medium male,Puppy,11,8
2580,Dogami #2580,68,2531.055898979748,18,1,German Shepherd,0,Brown #3,3,Black & red #8,Male,Alpha,Herding,11,12,Gentle,Silver,Dramaqueen,Medium male,Puppy,3,7
2042,Shadow,69,2516.2741322259167,18,1,Toy Poodle,0,Black #1,3,Black #7,Female,Alpha,Non-Sporting,5,4,Devoted,Silver,Curious,Small female,Puppy,13,4
7213,Dogami #7213,70,2514.126096773273,18,1,Border Collie,0,Brown #5,3,Lilac #8,Male,Alpha,Herding,6,4,Jolly,Silver,Leader,Medium male,Puppy,4,10
5105,Dogami #5105,71,2513.627675738784,18,1,Border Collie,0,Blue & brown #3,3,Blue merle #3,Female,Alpha,Herding,10,7,Cool,Silver,Charming,Large female,Puppy,4,9
911,Dogami #911,72,2505.4943259306206,18,1,German Shepherd,0,Brown #3,3,Black & red #2,Female,Alpha,Herding,6,12,Dramaqueen,Bronze,Foodie,Medium female,Puppy,3,4
1297,Dogami #1297,73,2504.953494936281,18,1,Border Collie,0,Green & brown #1,3,Black & white #3,Female,Alpha,Herding,8,10,Stubborn,Bronze,Gentle,Medium female,Puppy,5,8
3219,Dogami #3219,74,2500.2823940151943,18,1,Border Collie,0,Brown #5,3,Lilac #8,Male,Alpha,Herding,11,12,Jolly,Bronze,Curious,Small male,Puppy,3,4
7285,Dogami #7285,75,2476.165510337663,18,1,German Shepherd,0,Brown #5,3,Black & red #8,Male,Alpha,Herding,8,12,Playful,Bronze,Stubborn,Medium male,Puppy,3,7
3780,Dogami #3780,76,2467.274999866654,18,1,Border Collie,0,Green #4,3,Blue merle #2,Female,Alpha,Herding,8,7,Charming,Silver,Precious,Small female,Puppy,5,5
3059,Dogami #3059,77,2467.2330061817343,18,1,German Shepherd,0,Brown #4,3,Black & red #3,Female,Alpha,Herding,5,9,Precious,Bronze,Emotional,Small female,Puppy,3,5
854,Dogami #854,78,2465.623043418028,18,1,Rottweiler,0,Brown #2,6,Shinny black & tan #12,Female,Alpha,Working,4,6,Shy,Bronze,Emotional,Small female,Puppy,8,6
6662,Dogami #6662,79,2454.58416526421,18,1,Border Collie,0,Brown #3,3,Blue merle #3,Female,Alpha,Herding,5,4,Gentle,Diamond,Devoted,Large female,Puppy,4,9
4842,Dogami #4842,80,2453.901599529991,18,1,Rottweiler,0,Orange #1,6,Shinny black & mahogany #5,Female,Alpha,Working,3,8,Playful,Bronze,Talkative,Small female,Puppy,6,9
4888,Dogami #4888,81,2453.159439194138,18,1,Husky,0,Brown #5,3,Agouti #5,Male,Alpha,Working,7,3,Cool,Silver,Adventurer,Large male,Puppy,10,6
6745,Dogami #6745,82,2451.7183814241794,18,1,French Bulldog,0,Orange #2,10,Brindle pied #10,Male,Alpha,Non-Sporting,4,9,Playful,Silver,Shy,Medium male,Puppy,3,8
5155,Dogami #5155,83,2443.7543088866396,18,1,Border Collie,0,Green #2,3,Blue merle #12,Male,Alpha,Herding,9,5,Lazy,Bronze,Curious,Large male,Puppy,3,8
4782,Dogami #4782,84,2438.75647985421,18,1,French Bulldog,0,Black #5,11,Brindle pied #10,Female,Alpha,Non-Sporting,5,8,Needy,Bronze,Charming,Medium female,Puppy,3,8
3912,Dogami #3912,85,2437.176633437453,18,1,Toy Poodle,0,Black #1,3,Grey #5,Female,Alpha,Non-Sporting,5,9,Emotional,Silver,Cool,Medium female,Puppy,4,7
3763,Dogami #3763,86,2435.1896295747065,18,1,Rottweiler,0,Black #5,4,Shinny black & tan #12,Male,Alpha,Working,3,7,Stubborn,Bronze,Shy,Large male,Puppy,10,8
1469,Dogami #1469,87,2434.5106764538664,18,1,Border Collie,0,Brown #5,3,Blue merle #12,Female,Alpha,Herding,8,9,Loyal,Silver,Shy,Large female,Puppy,4,7
5578,Dogami #5578,88,2431.1548672495846,18,1,German Shepherd,0,Brown #4,3,Black & red #8,Female,Alpha,Herding,11,5,Jolly,Silver,Naive,Large female,Puppy,3,4
5281,Dogami #5281,89,2428.179070229518,18,1,German Shepherd,0,Black #4,3,Black & red #3,Female,Alpha,Herding,10,7,Naive,Bronze,Playful,Medium female,Puppy,3,4
6309,Dogami #6309,90,2427.4692150276655,18,1,Toy Poodle,0,Black #3,3,Grey #5,Male,Alpha,Non-Sporting,8,7,Stubborn,Silver,Talkative,Small male,Puppy,8,4
2598,Dogami #2598,91,2426.596738672054,18,1,Border Collie,0,Brown #3,3,Blue merle #2,Male,Alpha,Herding,6,4,Shy,Bronze,Gentle,Medium male,Puppy,3,11
3247,Dogami #3247,92,2426.439207576001,18,1,Border Collie,0,Brown #4,4,Blue merle #3,Female,Alpha,Herding,6,7,Charming,Gold,Devoted,Large female,Puppy,3,9
5851,Dogami #5851,93,2424.163883759559,18,1,Husky,0,Brown #5,3,Agouti #5,Male,Alpha,Working,9,3,Playful,Bronze,Devoted,Small male,Puppy,11,4
6395,Dogami #6395,94,2421.3456282089196,18,1,Border Collie,0,Brown #4,4,Blue merle #2,Male,Alpha,Herding,6,10,Devoted,Bronze,Funny,Small male,Puppy,3,9
5661,Bruno,95,2421.331527963953,18,1,French Bulldog,0,Black #2,5,Brindle pied #10,Male,Alpha,Non-Sporting,3,10,Lazy,Bronze,Gentle,Large male,Puppy,3,7
218,Dogami #218,96,2418.5516521251616,18,1,Border Collie,0,Brown #1,3,Lilac #8,Male,Alpha,Herding,6,10,Playful,Gold,Charming,Medium male,Puppy,3,4
2359,Dogami #2359,97,2418.358413866095,18,1,Rottweiler,0,Brown #5,3,Shinny black & mahogany #5,Male,Alpha,Working,4,6,Naive,Silver,Curious,Small male,Puppy,9,5
4487,Dogami #4487,98,2417.603347074148,18,1,Toy Poodle,0,Brown #4,3,Grey #5,Male,Alpha,Non-Sporting,7,8,Needy,Bronze,Talkative,Large male,Puppy,8,7
3531,Lucy,99,2417.3131537647323,18,1,Rottweiler,0,Brown #2,4,Shinny black & mahogany #5,Female,Alpha,Working,3,3,Curious,Bronze,Devoted,Large female,Puppy,8,4
7279,Dogami #7279,100,2416.427564500997,18,1,German Shepherd,0,Black #1,3,Black & red #2,Male,Alpha,Herding,7,5,Gentle,Silver,Lazy,Small male,Puppy,3,7
248,Dogami #248,101,2405.3504692555407,18,1,German Shepherd,0,Black #5,3,Black & red #12,Male,Alpha,Herding,6,14,Stubborn,Bronze,Talkative,Medium male,Puppy,5,3
3428,Dogami #3428,102,2373.860966371018,18,1,Shiba Inu,0,Brown #1,3,Sesame #9,Male,Alpha,Non-Sporting,15,3,Shy,Bronze,Stubborn,Large male,Puppy,4,11
2718,Dogami #2718,103,2216.9168887584938,18,1,Husky,0,Blue #4,3,Grey & white #4,Female,Alpha,Working,6,3,Independent,Silver,Lazy,Medium female,Puppy,10,11
1063,Dogami #1063,104,2189.893126644267,18,1,Border Collie,0,Green & brown #3,3,Blue merle #9,Male,Alpha,Herding,7,6,Needy,Bronze,Funny,Medium male,Puppy,4,11
7097,Dogami #7097,105,2111.2533951161904,18,1,Husky,0,Blue #4,3,Grey & white #1,Female,Alpha,Working,5,3,Foodie,Bronze,Lazy,Medium female,Puppy,8,5
5029,Dogami #5029,106,2098.721952536944,18,1,Toy Poodle,0,Grey #1,3,Grey #4,Male,Alpha,Non-Sporting,5,10,Naive,Silver,Talkative,Large male,Puppy,5,7
3586,Dogami #3586,107,2083.35642302381,18,1,German Shepherd,0,Orange #3,4,Black & red #1,Female,Alpha,Herding,7,13,Naive,Bronze,Emotional,Medium female,Puppy,4,7
1716,Coco,108,2082.1256349711784,18,1,German Shepherd,0,Purple #5,4,Black & red #9,Female,Alpha,Herding,6,4,Playful,Bronze,Dreamer,Medium female,Puppy,4,4
4389,Dogami #4389,109,2076.4976450311633,18,1,French Bulldog,0,Purple #1,11,Brindle pied #11,Male,Alpha,Non-Sporting,3,8,Stubborn,Silver,Gentle,Large male,Puppy,4,5
4512,Dogami #4512,110,2053.351339411748,18,1,Shiba Inu,0,Orange #5,3,Sesame #5,Male,Alpha,Non-Sporting,14,3,Devoted,Bronze,Brave,Small male,Puppy,4,10
4500,Dogami #4500,111,2053.1240180208893,18,1,German Shepherd,0,Black #3,3,Black & red #1,Female,Alpha,Herding,9,13,Loyal,Silver,Devoted,Large female,Puppy,4,4
7415,Dogami #7415,112,2006.7986181662054,18,1,German Shepherd,0,Brown #4,3,Silver #4,Male,Alpha,Herding,9,14,Protector,Bronze,Precious,Small male,Puppy,4,7
4575,Dogami #4575,113,2003.0404736474643,18,1,Shiba Inu,0,Green #5,3,Sesame #5,Female,Alpha,Non-Sporting,8,3,Baddass,Silver,Zen,Medium female,Puppy,6,8
6499,Dogami #6499,114,1999.400764411596,18,1,Shiba Inu,0,Black #3,3,Black & tan #11,Female,Alpha,Non-Sporting,15,3,Charming,Gold,Lazy,Large female,Puppy,8,8
1604,Nimbus JoyBoy,115,1988.4346062065822,18,1,Toy Poodle,0,Green #3,3,Grey #10,Male,Alpha,Non-Sporting,5,5,Excentric,Bronze,Brave,Large male,Puppy,7,3
5211,Dogami #5211,116,1978.7261493229394,18,1,Shiba Inu,0,Brown #2,3,Black & tan #3,Female,Alpha,Non-Sporting,15,3,Devoted,Silver,Talkative,Large female,Puppy,8,6
473,Dogami #473,117,1971.0983040542046,18,1,French Bulldog,0,Black #3,13,Brindle pied #7,Female,Alpha,Non-Sporting,4,7,Gentle,Silver,Adventurer,Medium female,Puppy,4,7
6354,Dogami #6354,118,1967.224550902832,18,1,Rottweiler,0,Black #3,3,Shinny black & tan #3,Male,Alpha,Working,3,7,Fashionista,Bronze,Serious,Small male,Puppy,7,8
7538,Dogami #7538,119,1966.541889538958,18,1,German Shepherd,0,Black #4,4,Black & red #6,Male,Alpha,Herding,11,12,Adventurer,Bronze,Shy,Small male,Puppy,3,5
5604,Dogami #5604,120,1960.8536918902491,18,1,Pomeranian Spitz,0,Brown #2,13,Chocolate #1,Female,Alpha,Toy,5,7,Jolly,Silver,Protector,Medium female,Puppy,3,5
2074,Dogami #2074,121,1942.4594343926371,18,1,Border Collie,0,Green & brown #4,4,Blue & white #6,Male,Alpha,Herding,8,8,Talkative,Bronze,Playful,Small male,Puppy,4,6
7103,Dogami #7103,122,1936.2361710407895,18,1,Husky,0,Blue #4,4,Black & white #3,Female,Alpha,Working,9,3,Talkative,Silver,Devoted,Small female,Puppy,5,9
2475,Dogami #2475,123,1934.980182096721,18,1,French Bulldog,0,Black #3,13,Brindle pied #7,Male,Alpha,Non-Sporting,3,5,Stubborn,Bronze,Charming,Large male,Puppy,4,4
6585,Dubby,124,1932.1204431292947,18,1,German Shepherd,0,Brown #4,3,Black & red #6,Male,Alpha,Herding,5,12,Charming,Bronze,Dramaqueen,Small male,Puppy,4,3
7499,Dogami #7499,125,1918.2784922755868,18,1,Husky,0,Blue #4,3,Black & white #2,Female,Alpha,Working,7,3,Funny,Bronze,Gentle,Large female,Puppy,6,8
370,Dogami #370,126,1910.8444799908475,18,1,Shiba Inu,0,Brown #5,3,Sesame #5,Male,Alpha,Non-Sporting,6,3,Precious,Bronze,Shy,Large male,Puppy,7,12
6397,Malteser,127,1909.4363892354634,18,1,Pomeranian Spitz,0,Brown #1,10,Chocolate #1,Female,Alpha,Toy,4,9,Emotional,Bronze,Adventurer,Small female,Puppy,3,7
4761,Dogami #4761,128,1896.967633745962,18,1,Golden Retriever,0,Green #1,12,Dark gold #8,Female,Alpha,Sporting,3,5,Jolly,Bronze,Curious,Small female,Puppy,3,4
3099,Dogami #3099,129,1893.8148384384679,18,1,Rottweiler,0,Black #3,5,Shinny black & tan #7,Male,Alpha,Working,3,5,Gentle,Bronze,Precious,Medium male,Puppy,7,7
4504,Dogami #4504,130,1892.5156671188079,18,1,Rottweiler,0,Brown #2,4,Shinny black & tan #7,Male,Alpha,Working,5,5,Gentle,Bronze,Precious,Small male,Puppy,9,9
2364,Dogami #2364,131,1890.223801961681,18,1,Rottweiler,0,Orange #1,5,Shinny black & tan #3,Female,Alpha,Working,3,7,Naive,Silver,Devoted,Large female,Puppy,9,9
711,Dogami #711,132,1885.814713996787,18,1,Golden Retriever,0,Black #1,7,Dark gold #3,Female,Alpha,Sporting,4,4,Cool,Bronze,Zen,Medium female,Puppy,3,4
6958,Caramelo,133,1885.625696251283,18,1,Golden Retriever,0,Brown #3,11,Dark gold #3,Male,Alpha,Sporting,5,7,Protector,Bronze,Curious,Medium male,Puppy,4,4
1851,Dogami #1851,134,1885.546430716253,18,1,German Shepherd,0,Orange #5,3,Black & red #7,Male,Alpha,Herding,11,9,Needy,Silver,Curious,Small male,Puppy,4,3
1972,Dogami #1972,135,1884.7600626656208,18,1,Toy Poodle,0,Brown #3,3,Grey #4,Female,Alpha,Non-Sporting,8,8,Lazy,Bronze,Emotional,Medium female,Puppy,7,6
2231,Dogami #2231,136,1882.369635583641,18,1,Labrador,0,Brown #3,10,Chocolate #1,Male,Alpha,Sporting,5,4,Talkative,Bronze,Dramaqueen,Small male,Puppy,6,4
5964,Dogami #5964,137,1880.5685023733647,18,1,Toy Poodle,0,Black #4,3,Grey #10,Male,Alpha,Non-Sporting,9,9,Loyal,Bronze,Needy,Small male,Puppy,8,4
3090,Dogami #3090,138,1879.368888411593,18,1,German Shepherd,0,Black #3,4,Black & red #7,Female,Alpha,Herding,12,8,Gentle,Bronze,Charming,Medium female,Puppy,4,5
1129,Dogami #1129,139,1874.2166901920248,18,1,German Shepherd,0,Black #5,4,Black & red #9,Male,Alpha,Herding,11,9,Naive,Silver,Playful,Large male,Puppy,3,3
378,Dogami #378,140,1873.1822855177588,18,1,Golden Retriever,0,Orange #4,8,Dark gold #8,Female,Alpha,Sporting,6,9,Talkative,Bronze,Foodie,Large female,Puppy,3,4
1648,Waon,141,1873.0695476873586,18,1,French Bulldog,0,Brown #4,8,Brindle pied #7,Male,Alpha,Non-Sporting,3,10,Emotional,Silver,Devoted,Medium male,Puppy,3,6
3311,Dogami #3311,142,1870.6947676525897,18,1,Toy Poodle,0,Green #2,3,Grey #10,Male,Alpha,Non-Sporting,5,4,Talkative,Bronze,Curious,Small male,Puppy,8,7
6284,Dogami #6284,143,1870.276975614651,18,1,Golden Retriever,0,Green #4,10,Dark gold #8,Male,Alpha,Sporting,6,5,Talkative,Bronze,Playful,Medium male,Puppy,3,6
2040,Dogami #2040,144,1868.6525597156096,18,1,Toy Poodle,0,Brown #4,3,Grey #4,Male,Alpha,Non-Sporting,4,7,Emotional,Bronze,Foodie,Medium male,Puppy,9,7
5188,Dogami #5188,145,1864.925571891371,18,1,Golden Retriever,0,Brown #5,4,Dark gold #8,Female,Alpha,Sporting,3,8,Protector,Bronze,Shy,Small female,Puppy,5,3
5033,Dogami #5033,146,1862.0592217333963,18,1,German Shepherd,0,Brown #1,3,Black & red #9,Male,Alpha,Herding,7,8,Protector,Bronze,Gentle,Small male,Puppy,5,6
