ID,Name,Rank,Rarity_Score,Armor,Attributes,Background,Bracelet,Clan,Earring,Hair Type,Hair color,Hat / Helm,Item Left Hand,Item Right Hand,Main Cloth,Necklace,Piercing,Ring,Secondary Cloth
462,Ilmeresh #462,14,11523.264277812366,,12,Yellow,Spike Bracelet,Pergamenk,Circles,Type 37,Pink,Wizard Hat MMB,,Tezharya Magic Staff,Wizard's Robe MMB,S Shaped Necklace,Upper Lip Piercing,Spike Ring,
7921,Ilmeresh #7921,15,11512.581063764299,,12,Pink,Bracelet,Armezeen,Star,Type 31,Light Blue,Wizard Hat DBMB,,Akentrum Magic Staff,Wizard's Robe DBMB,Double Sphere Necklace,Eyebrow Ring,Bands Ring,
9989,Ilmeresh #9989,16,4331.709537723962,,12,Turquoise,Bands Bracelet,O'Speltrohn,Rhombus,Type 29,Green,Wizard Hat PG,,Spellbook Green Diamond,Wizard's Robe PG,Big Chain Necklace,Circular Bearbell,Wavy Ring,
4082,Ilmeresh #4082,17,3661.374821751078,,10,Fuchsia,Bracelet,Pergamenk,Earring,Type 05,White,,,Spellbook Green Diamond,Wizard's Robe DGP,Chain Necklace,,Wavy Ring,
5954,Ilmeresh #5954,18,3653.673403087483,,9,Cyan,,Tezewand,U Shaped,Type 25,Fuchsia,,,Spellbook Green Diamond,Wizard's Robe MC,,Thorn Tongue Piercing,Spike Ring,
3423,Ilmeresh #3423,19,3295.964433720949,,12,Orange,Bracelet,Pergamenk,Chain,Type 31,White,Wizard Hat MMB,,Spellbook Magenta Diamond,Wizard's Robe MMB,Necklace,Ball Tooth Piercing,Decorated Ring,
6438,Ilmeresh #6438,20,3267.3170542030352,,12,Pink,Spike Bracelet,Turquenthal,Moon,Type 37,Dark Violet,Wizard Hat MAYE,,Spellbook Magenta Diamond,Wizard's Robe MAYE,S Shaped Necklace,Triple Eyebrow Ring,Wavy Ring,
9759,Ilmeresh #9759,21,2887.0181947424667,,12,Pink,Wavy Bracelet,Denchanteus,Spiral,Type 35,Fuchsia,Wizard Hat MWAB,,Spellbook Magenta Diamond,Wizard's Robe MWAB,Chain Necklace,Ball Tooth Piercing,Ring,
7097,Ilmeresh #7097,22,2690.889912767338,,12,Pink,Bands Bracelet,Turquenthal,Moon,Type 27,Brown,Wizard Hat MAYE,,Spellbook Yellow Diamond,Wizard's Robe MAYE,Striped Necklace,Thorn Tongue Piercing,Spike Ring,
750,Ilmeresh #750,23,2518.4890690222346,,12,Light Blue,Spike Bracelet,O'Speltrohn,Bolt,Type 38,Light Blue,Wizard Hat DBG2,,Spellbook Blue Diamond,Wizard's Robe DBG2,Wavy Necklace,Ball Tooth Piercing,Wavy Ring,
4708,Ilmeresh #4708,24,2439.4328519503615,,12,Yellow,Spike Bracelet,Denchanteus,Bar,Type 39,Pink,Wizard Hat MWAB,,Spellbook Yellow Diamond,Wizard's Robe MWAB,Bands Necklace,Upper Lip Piercing,Bands Ring,
8067,Ilmeresh #8067,25,2435.926534846675,,9,Orange,Bands Bracelet,Pergamenk,Bolt,Type 43,Dark Violet,,,Spellbook Magenta Diamond,Wizard's Robe DGP,Chain Necklace,,,
7277,Ilmeresh #7277,26,2309.4622594578755,,11,Orange,Spike Bracelet,Tezewand,Spiral,Type 03,Red,,,Spellbook Red Diamond,Wizard's Robe MOAB,S Shaped Necklace,Circular Bearbell,Ring,
856,Ilmeresh #856,27,2288.594954313705,,11,Dark Orange,Bracelet,Denchanteus,Star,Type 26,Blonde,,,Spellbook Red Diamond,Wizard's Robe MWAB,S Shaped Necklace,Upper Lip Piercing,Bands Ring,
1184,Ilmeresh #1184,28,2279.0654652903922,,9,Cyan,Decorated Bracelet,Pergamenk,Rhombus,Type 14,Blue,,,Spellbook Magenta Diamond,Wizard's Robe DGP,,,Bands Ring,
6757,Ilmeresh #6757,29,2248.351641138617,,9,Turquoise,,Denchanteus,Ear Plug,Type 36,Red,Wizard Hat MWAB,,Spellbook Red Diamond,Wizard's Robe MWAB,Chain Necklace,,,
3384,Ilmeresh #3384,30,2189.635882869508,,9,Pink,,O'Speltrohn,Circles,Type 38,Fuchsia,Wizard Hat TP,,Spellbook Red Diamond,Wizard's Robe TP,,Ball Tooth Piercing,,
2008,Ilmeresh #2008,31,2051.6575907848487,,8,Yellow,,Pergamenk,Earring,Type 19,Pink,,,Spellbook Red Diamond,Wizard's Robe SM,Wavy Necklace,,,
4966,Ilmeresh #4966,32,1995.7262350549884,,12,Yellow,Bracelet,Tezewand,Moon,Type 32,Pink,Wizard Hat MOAB,,Strengthiuss Potion,Wizard's Robe MOAB,Chain Necklace,Ball Tongue Piercing,Bands Ring,
169,Ilmeresh #169,33,1931.4163719619958,,10,Orange,Bands Bracelet,O'Speltrohn,Bolt,Type 14,Black,,,Spellbook Yellow Diamond,Wizard's Robe TP,S Shaped Necklace,Ball Tongue Piercing,,
4606,Ilmeresh #4606,34,1880.9219791327573,,8,Yellow,Bands Bracelet,Denchanteus,Chain,Type 17,Black,,,Spellbook Red Diamond,Wizard's Robe RMB,,,,
2138,Ilmeresh #2138,35,1860.491399030828,,7,Fuchsia,,O'Speltrohn,Moon,Type 12,Brown,,,Spellbook Yellow Diamond,Wizard's Robe TP,,,,
340,Ilmeresh #340,36,1826.921603379208,,12,Turquoise,Wavy Bracelet,Pergamenk,Star,Type 40,Brown,Wizard Hat MMB,,Magic Staff T9,Wizard's Robe MMB,Big Chain Necklace,Upper Lip Piercing,Ring,
8906,Ilmeresh #8906,37,1731.1330416986968,,12,Cyan,Bands Bracelet,O'Speltrohn,Bolt,Type 29,White,Wizard Hat DBG2,,Magic Staff T5,Wizard's Robe DBG2,Bands Necklace,Upper Lip Piercing,Ring,
2605,Ilmeresh #2605,38,1730.9687543113232,,11,Fuchsia,Bands Bracelet,Pergamenk,Earring,Type 06,Light Blue,,,Spellbook Yellow Diamond,Wizard's Robe BY,Chain Necklace,Upper Lip Piercing,Ring,
5230,Ilmeresh #5230,39,1730.610890972316,,11,Dark Violet,Bands Bracelet,Denchanteus,Tusk,Type 39,Pink,Wizard Hat DGMG,,Explosiuss Potion,Wizard's Robe DGMG,Striped Necklace,,Decorated Ring,
5215,Ilmeresh #5215,40,1713.7252775445459,,11,Orange,Bracelet,Tezewand,,Type 37,Dark Violet,Wizard Hat MOAB,,Poisonorum Potion,Wizard's Robe MOAB,Double Sphere Necklace,Eyebrow Ring,Decorated Ring,
3816,Ilmeresh #3816,41,1711.7789983015687,,11,Dark Violet,Wavy Bracelet,Tezewand,Bar,Type 27,Black,Wizard Hat MOAB,,Spellbook,Wizard's Robe MOAB,Spike Necklace,,Decorated Ring,
6019,Ilmeresh #6019,42,1710.7342910385462,,10,Pink,Wavy Bracelet,Tezewand,Star,Type 36,Fuchsia,Wizard Hat MOAB,,Magic Staff T1,Wizard's Robe MOAB,S Shaped Necklace,,,
9571,Ilmeresh #9571,43,1698.1596322593941,,10,Yellow,Bracelet,Tezewand,Tusk,Type 43,Fuchsia,,,Spellbook Yellow Diamond,Wizard's Robe MC,Necklace,Ball Tongue Piercing,,
2634,Ilmeresh #2634,44,1654.840893017072,,12,Light Blue,Bands Bracelet,Tezewand,Ear Plug,Type 29,Brown,Wizard Hat MOAB,,Magic Staff T6,Wizard's Robe MOAB,Striped Necklace,Eyebrow Ring,Ring,
1240,Ilmeresh #1240,45,1652.6982089369662,,8,Fuchsia,,Denchanteus,Tusk,Type 09,White,,,Spellbook Yellow Diamond,Wizard's Robe RMB,Necklace,,,
8629,Ilmeresh #8629,46,1620.9815264482495,,11,Orange,Spike Bracelet,Tezewand,Spiral,Type 29,Black,Wizard Hat MOAB,,Magic Staff T9,Wizard's Robe MOAB,S Shaped Necklace,Eyebrow Ring,,
8949,Ilmeresh #8949,47,1610.697178345955,,11,Red,Wavy Bracelet,Pergamenk,Ear Plug,Type 28,Pink,Wizard Hat MMB,,Explosiuss Potion,Wizard's Robe MMB,,Ball Tongue Piercing,Wavy Ring,
1037,Ilmeresh #1037,48,1595.552223069089,,8,Yellow,,Tezewand,,Type 36,Black,Wizard Hat MOAB,,Explosiuss Potion,Wizard's Robe MOAB,,,Bands Ring,
4654,Ilmeresh #4654,49,1588.4209949184692,,9,Dark Violet,,Denchanteus,,Type 30,Brown,Wizard Hat DGMG,,Explosiuss Potion,Wizard's Robe DGMG,,Ring Tooth Piercing,Spike Ring,
1610,Ilmeresh #1610,50,1564.172800648207,,12,Dark Orange,Decorated Bracelet,Armezeen,Triple sphere,Type 37,Blonde,Wizard Hat DBMB,,Strengthiuss Potion,Wizard's Robe DBMB,Necklace,Lower Lip Piercing,Decorated Ring,
887,Ilmeresh #887,51,1554.4211222198198,,11,Turquoise,Spike Bracelet,Armezeen,Chain,Type 27,Fuchsia,Wizard Hat DBMB,,Curatorums Potion,Wizard's Robe DBMB,S Shaped Necklace,,Ring,
6707,Ilmeresh #6707,52,1539.0712298679232,,12,Cyan,Spike Bracelet,Tezewand,Chain,Type 31,Dark Violet,Wizard Hat MC,,Spellbook Blue Diamond,Wizard's Robe MC,Bands Necklace,Eyebrow Ring,Ring,
8909,Ilmeresh #8909,53,1534.857203422631,,10,Magenta,Bracelet,O'Speltrohn,Thorn,Type 36,Pink,Wizard Hat DBG2,,Strengthiuss Potion,Wizard's Robe DBG2,S Shaped Necklace,,,
7641,Ilmeresh #7641,54,1533.357617545093,,10,Yellow,,Tezewand,Triple sphere,Type 30,Orange,Wizard Hat MOAB,,Strengthiuss Potion,Wizard's Robe MOAB,Necklace,,Ring,
8385,Ilmeresh #8385,55,1531.6090879726435,,12,Orange,Bracelet,Armezeen,Thorn,Type 28,White,Wizard Hat DBMB,,Healthumss Potion,Wizard's Robe DBMB,Wavy Necklace,Ball Tongue Piercing,Ring,
4142,Ilmeresh #4142,56,1529.9385637033517,,12,Cyan,Bracelet,Denchanteus,Tusk,Type 28,Blue,Wizard Hat DGMG,,Magic Staff T8,Wizard's Robe DGMG,Double Sphere Necklace,Circular Bearbell,Decorated Ring,
2024,Ilmeresh #2024,57,1527.6592124334798,,10,Pink,Bracelet,Tezewand,,Type 30,Brown,Wizard Hat MOAB,,Magic Staff T7,Wizard's Robe MOAB,Big Chain Necklace,Thorn Tongue Piercing,,
1986,Ilmeresh #1986,58,1521.3971314972762,,10,Magenta,Bracelet,Pergamenk,U Shaped,Type 32,Pink,Wizard Hat MMB,,Explosiuss Potion,Wizard's Robe MMB,Necklace,,,
7764,Ilmeresh #7764,59,1498.304115183533,,12,Yellow,Bands Bracelet,Pergamenk,Ear Plug,Type 37,White,Wizard Hat MMB,,Magic Staff T6,Wizard's Robe MMB,Spike Necklace,Ball Tooth Piercing,Decorated Ring,
9228,Ilmeresh #9228,60,1489.6391941899035,,11,Yellow,Decorated Bracelet,Denchanteus,,Type 29,Magenta,Wizard Hat DGMG,,Magic Staff T1,Wizard's Robe DGMG,Spike Necklace,Upper Lip Piercing,Spike Ring,
6308,Ilmeresh #6308,61,1488.2284868804004,,10,Yellow,Wavy Bracelet,O'Speltrohn,Triple sphere,Type 27,Orange,Wizard Hat DBG2,,Magic Staff T8,Wizard's Robe DBG2,Chain Necklace,,,
8614,Ilmeresh #8614,62,1486.7929554041577,,9,Cyan,,Denchanteus,,Type 32,Pink,Wizard Hat DGMG,,Loviumms Potion,Wizard's Robe DGMG,Double Sphere Necklace,,Ring,
3061,Ilmeresh #3061,63,1483.4532930929165,,9,Turquoise,,O'Speltrohn,,Type 40,White,Wizard Hat DBG2,,Curatorums Potion,Wizard's Robe DBG2,Necklace,,Decorated Ring,
3441,Ilmeresh #3441,64,1481.7582176937037,,9,Blue,Bracelet,O'Speltrohn,Star,Type 36,Pink,Wizard Hat PG,,Spellbook Blue Diamond,Wizard's Robe PG,,,,
3140,Ilmeresh #3140,65,1476.9966591550624,,12,Pink,Bracelet,Armezeen,Triple sphere,Type 39,Brown,Wizard Hat DBMB,,Magic Staff T2,Wizard's Robe DBMB,Wavy Necklace,Thorn Tongue Piercing,Ring,
266,Ilmeresh #266,66,1475.0503512072623,,12,Yellow,Bands Bracelet,O'Speltrohn,U Shaped,Type 39,Brown,Wizard Hat DTMP,,Magic Staff T9,Wizard's Robe DTMP,S Shaped Necklace,Circular Bearbell,Wavy Ring,
1949,Ilmeresh #1949,67,1474.3725735712076,,10,Orange,,Tezewand,,Type 29,Fuchsia,Wizard Hat MOAB,,Magic Staff T3,Wizard's Robe MOAB,Necklace,Circular Bearbell Tongue Piercing,Bands Ring,
6149,Ilmeresh #6149,68,1470.802254020489,,9,Turquoise,,Tezewand,,Type 28,Light Blue,Wizard Hat MOAB,,Magic Staff T7,Wizard's Robe MOAB,Wavy Necklace,,Bands Ring,
847,Ilmeresh #847,69,1468.5479061183778,,11,Red,Bands Bracelet,Pergamenk,Star,Type 29,Pink,Wizard Hat MMB,,Magic Staff T5,Wizard's Robe MMB,,Ball Tongue Piercing,Bands Ring,
3645,Ilmeresh #3645,70,1457.5698402756245,,10,Pink,,Tezewand,,Type 31,Orange,Wizard Hat MOAB,,Magic Staff T4,Wizard's Robe MOAB,Bands Necklace,Triple Eyebrow Ring,Wavy Ring,
6163,Ilmeresh #6163,71,1453.5294079475761,,12,Turquoise,Bands Bracelet,Turquenthal,Moon,Type 40,Orange,Wizard Hat MAYE,,Loviumms Potion,Wizard's Robe MAYE,Double Sphere Necklace,Eyebrow Large Ring,Wavy Ring,
6942,Ilmeresh #6942,72,1427.0888617355506,,11,Dark Orange,Decorated Bracelet,Armezeen,,Type 40,Red,Wizard Hat DBMB,,Magic Staff T9,Wizard's Robe DBMB,Double Sphere Necklace,Lower Lip Piercing,Spike Ring,
1024,Ilmeresh #1024,73,1410.1654713852731,,9,Yellow,,O'Speltrohn,Bolt,Type 34,White,Wizard Hat DTMP,,Curatorums Potion,Wizard's Robe DTMP,Necklace,,,
893,Ilmeresh #893,74,1410.0890220257681,,12,Fuchsia,Bands Bracelet,Turquenthal,Circles,Type 36,Red,Wizard Hat BMM,,Healthumss Potion,Wizard's Robe BMM,Bands Necklace,Eyebrow Ring,Spike Ring,
3025,Ilmeresh #3025,75,1395.9578080782478,,10,Yellow,Decorated Bracelet,Tezewand,Tusk,Type 31,Black,Wizard Hat MOAB,,Spellbook,Wizard's Robe MOAB,Necklace,,,
8931,Ilmeresh #8931,76,1387.778941232324,,10,Fuchsia,,Turquenthal,Triple sphere,Type 27,White,Wizard Hat BMM,,Explosiuss Potion,Wizard's Robe BMM,Bands Necklace,,Ring,
1795,Ilmeresh #1795,77,1385.4449752834714,,9,Yellow,,O'Speltrohn,Circles,Type 28,Brown,Wizard Hat DBG2,,Strengthiuss Potion,Wizard's Robe DBG2,,,Bands Ring,
1608,Ilmeresh #1608,78,1384.3729982145514,,11,Magenta,Bracelet,O'Speltrohn,Star,Type 28,Fuchsia,Wizard Hat DTMP,,Magic Staff T5,Wizard's Robe DTMP,S Shaped Necklace,,Bands Ring,
5506,Ilmeresh #5506,79,1383.173825543206,,9,Fuchsia,,Denchanteus,Bolt,Type 28,Blonde,Wizard Hat DGMG,,Magic Staff T2,Wizard's Robe DGMG,Bands Necklace,,,
2102,Ilmeresh #2102,80,1382.4267183087022,,10,Cyan,Bracelet,Pergamenk,Thorn,Type 39,Light Blue,Wizard Hat SM,,Spellbook Blue Diamond,Wizard's Robe SM,Bands Necklace,,,
3256,Ilmeresh #3256,81,1380.8352596280224,,10,Light Blue,Wavy Bracelet,O'Speltrohn,Triple sphere,Type 31,Fuchsia,Wizard Hat DBG2,,Magic Staff T6,Wizard's Robe DBG2,,,Ring,
122,Ilmeresh #122,82,1374.4547540155431,,10,Turquoise,,O'Speltrohn,,Type 38,Light Blue,Wizard Hat DBG2,,Magic Staff T1,Wizard's Robe DBG2,Chain Necklace,Lower Lip Piercing,Spike Ring,
3316,Ilmeresh #3316,83,1368.0389951551404,,11,Fuchsia,Bands Bracelet,Denchanteus,Rhombus,Type 39,Brown,Wizard Hat MWAB,,Spellbook Blue Diamond,Wizard's Robe MWAB,Chain Necklace,,Ring,
6706,Ilmeresh #6706,84,1367.5418871397387,,10,Fuchsia,,Denchanteus,Bolt,Type 31,Brown,Wizard Hat DGMG,,Magic Staff T7,Wizard's Robe DGMG,Chain Necklace,,Ring,
860,Ilmeresh #860,85,1367.5417796000452,,10,Blue,,O'Speltrohn,,Type 28,White,Wizard Hat DBG2,,Magic Staff T8,Wizard's Robe DBG2,Chain Necklace,Circular Bearbell,Ring,
7094,Ilmeresh #7094,86,1366.980486961604,,11,Cyan,Bracelet,O'Speltrohn,,Type 31,Green,Wizard Hat DTMP,,Curatorums Potion,Wizard's Robe DTMP,Bands Necklace,Eyebrow Large Ring,Wavy Ring,
1943,Ilmeresh #1943,87,1359.1893585048658,,9,Yellow,Bands Bracelet,O'Speltrohn,,Type 30,Green,Wizard Hat DTMP,,Loviumms Potion,Wizard's Robe DTMP,Spike Necklace,,,
2995,Ilmeresh #2995,88,1352.1167935246413,,9,Fuchsia,,Tezewand,,Type 32,Green,Wizard Hat MOAB,,Magic Staff T4,Wizard's Robe MOAB,Chain Necklace,,Bands Ring,
1008,Ilmeresh #1008,89,1351.4551279723473,,11,Fuchsia,Bracelet,Denchanteus,,Type 29,Brown,Wizard Hat DGMG,,Magic Staff T5,Wizard's Robe DGMG,S Shaped Necklace,Lower Lip Piercing,Bands Ring,
6501,Ilmeresh #6501,90,1349.466645299124,,9,Fuchsia,,O'Speltrohn,,Type 39,Green,Wizard Hat DBG2,,Magic Staff T4,Wizard's Robe DBG2,Striped Necklace,,Bands Ring,
6101,Ilmeresh #6101,91,1347.27547598659,,10,Red,Bracelet,O'Speltrohn,,Type 40,Black,Wizard Hat DBG2,,Magic Staff T1,Wizard's Robe DBG2,,Circular Bearbell Tongue Piercing,Wavy Ring,
9289,Ilmeresh #9289,92,1342.5422559272524,,10,Cyan,Wavy Bracelet,Armezeen,Tusk,Type 30,Orange,Wizard Hat DBMB,,Spellbook,Wizard's Robe DBMB,Wavy Necklace,,,
5577,Ilmeresh #5577,93,1339.2951651974797,,9,Yellow,Decorated Bracelet,O'Speltrohn,,Type 29,Brown,Wizard Hat DBG2,,Magic Staff T5,Wizard's Robe DBG2,Striped Necklace,,,
4164,Ilmeresh #4164,94,1336.7413162814207,,10,Magenta,Spike Bracelet,Denchanteus,Bar,Type 40,Brown,Wizard Hat DGMG,,Magic Staff T7,Wizard's Robe DGMG,Bands Necklace,,,
8118,Ilmeresh #8118,95,1334.0659550226685,,12,Dark Violet,Decorated Bracelet,O'Speltrohn,Tusk,Type 28,Black,Wizard Hat DTMP,,Magic Staff T6,Wizard's Robe DTMP,Bands Necklace,Ball Tongue Piercing,Decorated Ring,
1655,Ilmeresh #1655,96,1329.9523180486785,,10,Orange,,O'Speltrohn,Circles,Type 28,Black,Wizard Hat DTMP,,Poisonorum Potion,Wizard's Robe DTMP,Double Sphere Necklace,,Ring,
8058,Ilmeresh #8058,97,1318.9796785632286,,12,Fuchsia,Decorated Bracelet,Turquenthal,Chain,Type 39,Green,Wizard Hat BMM,,Spellbook,Wizard's Robe BMM,Striped Necklace,Lower Lip Piercing,Ring,
4140,Ilmeresh #4140,98,1316.9781317427205,,10,Blue,,Armezeen,Circles,Type 34,Pink,Wizard Hat DBMB,,Magic Staff T1,Wizard's Robe DBMB,Bands Necklace,,Decorated Ring,
7840,Ilmeresh #7840,99,1312.352178644022,,10,Yellow,,O'Speltrohn,Tusk,Type 36,Orange,Wizard Hat DBG2,,Magic Staff T4,Wizard's Robe DBG2,Double Sphere Necklace,Upper Lip Piercing,,
8578,Ilmeresh #8578,100,1307.5632924611102,,8,Turquoise,,O'Speltrohn,,Type 29,Blonde,Wizard Hat DBG2,,Magic Staff T4,Wizard's Robe DBG2,Bands Necklace,,,
1671,Ilmeresh #1671,101,1306.0604278135868,,10,Magenta,,Denchanteus,Earring,Type 31,Black,Wizard Hat DGMG,,Magic Staff T2,Wizard's Robe DGMG,Big Chain Necklace,Upper Lip Piercing,,
1503,Ilmeresh #1503,102,1302.982922871606,,10,Red,Decorated Bracelet,Pergamenk,Tusk,Type 31,Light Blue,Wizard Hat MMB,,Strengthiuss Potion,Wizard's Robe MMB,Striped Necklace,,,
9554,Ilmeresh #9554,103,1296.821499997094,,9,Pink,Decorated Bracelet,Pergamenk,,Type 32,Pink,Wizard Hat MMB,,Magic Staff T5,Wizard's Robe MMB,Spike Necklace,,,
5424,Ilmeresh #5424,104,1294.703580878224,,10,Cyan,,Denchanteus,,Type 36,Blonde,Wizard Hat DGMG,,Magic Staff T1,Wizard's Robe DGMG,Double Sphere Necklace,Thorn Tongue Piercing,Decorated Ring,
1573,Ilmeresh #1573,105,1284.8760131163333,,8,Magenta,Spike Bracelet,Turquenthal,,Type 27,Green,Wizard Hat BMM,,Poisonorum Potion,Wizard's Robe BMM,,,,
5572,Ilmeresh #5572,106,1281.5756892561772,,11,Red,Decorated Bracelet,Armezeen,Circles,Type 34,Blonde,Wizard Hat DBMB,,Magic Staff T1,Wizard's Robe DBMB,Striped Necklace,,Ring,
8383,Ilmeresh #8383,107,1280.1857652780927,,11,Dark Orange,Bands Bracelet,O'Speltrohn,,Type 39,Orange,Wizard Hat DTMP,,Magic Staff T8,Wizard's Robe DTMP,Striped Necklace,Ball Tongue Piercing,Decorated Ring,
175,Ilmeresh #175,108,1280.118691227632,,10,Blue,,Denchanteus,Tusk,Type 38,Orange,Wizard Hat DGMG,,Magic Staff T1,Wizard's Robe DGMG,Bands Necklace,,Bands Ring,
5044,Ilmeresh #5044,109,1278.5841414155623,,12,Yellow,Bracelet,Turquenthal,Ear Plug,Type 37,Blue,Wizard Hat BMM,,Magic Staff T9,Wizard's Robe BMM,Chain Necklace,Eyebrow Large Ring,Decorated Ring,
3779,Ilmeresh #3779,110,1278.3707613723873,,10,Fuchsia,Spike Bracelet,Armezeen,Earring,Type 28,Light Blue,Wizard Hat DBMB,,Healthumss Potion,Wizard's Robe DBMB,,Eyebrow Large Ring,,
4379,Ilmeresh #4379,111,1274.5177028974779,,8,Yellow,Spike Bracelet,O'Speltrohn,,Type 35,Green,Wizard Hat DBG2,,Magic Staff T5,Wizard's Robe DBG2,,,,
5681,Ilmeresh #5681,112,1265.2226584358743,,10,Light Blue,Bracelet,Pergamenk,,Type 31,Orange,Wizard Hat MMB,,Magic Staff T2,Wizard's Robe MMB,Spike Necklace,Thorn Tongue Piercing,,
1304,Ilmeresh #1304,113,1257.079390339614,,10,Orange,Bracelet,Pergamenk,,Type 30,Brown,Wizard Hat MMB,,Magic Staff T9,Wizard's Robe MMB,Necklace,,Decorated Ring,
3692,Ilmeresh #3692,114,1253.3709977669023,,10,Yellow,Bands Bracelet,Denchanteus,,Type 36,Fuchsia,Wizard Hat DGMG,,Magic Staff T6,Wizard's Robe DGMG,Chain Necklace,,Bands Ring,
9875,Ilmeresh #9875,115,1252.6290217111962,,8,Pink,,Armezeen,,Type 32,Magenta,Wizard Hat DBMB,,Loviumms Potion,Wizard's Robe DBMB,,,Ring,
8971,Ilmeresh #8971,116,1241.4235938239813,,10,Dark Orange,,Denchanteus,Ear Plug,Type 35,Light Blue,Wizard Hat DGMG,,Magic Staff T7,Wizard's Robe DGMG,,Eyebrow Ring,Wavy Ring,
2255,Ilmeresh #2255,117,1240.6910446577497,,10,Yellow,Decorated Bracelet,Pergamenk,Bolt,Type 08,Orange,,,Spellbook Blue Diamond,Wizard's Robe BY,Spike Necklace,Lower Lip Piercing,,
4324,Ilmeresh #4324,118,1235.1654937935944,,11,Red,,Denchanteus,Tusk,Type 28,Brown,Wizard Hat DGMG,,Magic Staff T2,Wizard's Robe DGMG,Chain Necklace,Ball Tongue Piercing,Bands Ring,
5212,Ilmeresh #5212,119,1230.2107899725904,,8,Red,,Pergamenk,,Type 27,Pink,Wizard Hat MMB,,Magic Staff T2,Wizard's Robe MMB,Striped Necklace,,,
5726,Ilmeresh #5726,120,1228.9064190818415,,9,Fuchsia,Bands Bracelet,Pergamenk,,Type 30,Black,Wizard Hat MMB,,Invisibilitaes Potion,Wizard's Robe MMB,,,Bands Ring,
8341,Ilmeresh #8341,121,1227.3603235541102,,9,Fuchsia,Bands Bracelet,O'Speltrohn,,Type 38,Black,Wizard Hat DBG2,,Magic Staff T4,Wizard's Robe DBG2,,Ball Tongue Piercing,,
9664,Ilmeresh #9664,122,1226.674370156873,,11,Magenta,Bracelet,O'Speltrohn,,Type 32,Dark Violet,Wizard Hat DTMP,,Healthumss Potion,Wizard's Robe DTMP,Necklace,Eyebrow Ring,Ring,
9811,Ilmeresh #9811,123,1226.4487496801737,,11,Light Blue,Bracelet,O'Speltrohn,Thorn,Type 30,Pink,Wizard Hat DTMP,,Magic Staff T3,Wizard's Robe DTMP,,Ring Tooth Piercing,Ring,
