ID,Name,Rank,Rarity_Score,Attributes,Background,Drums Track,Face,Foreground,Head,Melody Track,Music Track,Percussion Track
1058,ZIGGURATS #1058,44,170.79697645851917,8,Dark Doodles,Drums #5,Rare Skull,Blank,Blue Shaggy,Melody #5,Music #2,Percussion  #2
1882,ZIGGURATS #1882,45,170.58406651066056,8,Dots,Drums #7,Vampire,Blank,Aqua Spaceman,Melody #3,Music #4,Percussion  #4
4768,ZIGGURATS #4768,46,170.41250912935115,8,Green,Drums #11,Rare Skull,Blank,Green Priest,Melody #9,Music #5,Percussion  #1
4781,ZIGGURATS #4781,47,170.32580551235216,8,Dark Doodles,Drums #13,Teeth Grit,Blank,Aqua Spiky,Melody #7,Music #6,Percussion  #5
3967,ZIGGURATS #3967,48,170.1821468295823,8,Green,Drums #8,Rare Skull,Blank,Blue Spaceman,Melody #9,Music #2,Percussion  #5
1673,ZIGGURATS #1673,49,169.07009799282375,8,Pink Rays,Drums #8,Big Dog,Blank,Green Priest,Melody #5,Music #8,Percussion  #2
4760,ZIGGURATS #4760,50,168.76011965627063,8,Dark Doodles,Drums #13,Sharp Teeth,Ice Vapor,Green Antennae,Melody #5,Music #5,Percussion  #3
3195,ZIGGURATS #3195,51,168.70351899645524,8,Yellow,Drums #12,Goggles,Ice Vapor,Blue Spaceman,Melody #4,Music #2,Percussion  #8
1953,ZIGGURATS #1953,52,168.62353158913666,8,Light Doodles,Drums #4,Scowl,Blank,Aqua Princess,Melody #9,Music #8,Percussion  #2
788,ZIGGURATS #788,53,167.88979407680452,8,Pink Aqua,Drums #2,Teeth Grit,Blank,Red Priest,Melody #4,Music #9,Percussion  #8
4506,ZIGGURATS #4506,54,167.74781838903883,8,Red Green,Drums #10,Goggles,Blank,Green Priest,Melody #2,Music #2,Percussion  #3
3550,ZIGGURATS #3550,55,167.49397958410648,8,Pink Aqua,Drums #8,Goggles,Blank,Green Priest,Melody #3,Music #1,Percussion  #5
1244,ZIGGURATS #1244,56,167.049325356153,8,Dots,Drums #10,Sharp Teeth,Blank,Blue Spaceman,Melody #3,Music #8,Percussion  #4
586,ZIGGURATS #586,57,166.70127821298573,8,Pink,Drums #4,Scowl,Ice Vapor,Red Priest,Melody #3,Music #2,Percussion  #5
2377,ZIGGURATS #2377,58,166.10213148884003,8,Light Doodles,Drums #12,Goggles,Grey Smoke,Blue Shaggy,Melody #4,Music #1,Percussion  #3
4889,ZIGGURATS #4889,59,165.57722600895838,8,Light Doodles,Drums #8,Animal Frown,Gold Chain,Red Princess,Melody #2,Music #3,Percussion  #2
842,ZIGGURATS #842,60,165.50417957948906,8,Light Doodles,Drums #11,Vampire,Flies,Green V,Melody #3,Music #1,Percussion  #3
1222,ZIGGURATS #1222,61,164.93791561632807,8,Aqua Rays,Drums #2,Animal Frown,Black Dirt,Red Curly,Melody #4,Music #3,Percussion  #7
4838,ZIGGURATS #4838,62,164.93509203828313,8,Red Green,Drums #5,Surprised,Blank,Aqua Spaceman,Melody #5,Music #7,Percussion  #4
4139,ZIGGURATS #4139,63,164.652086178636,8,Red,Drums #5,Big Dog,Blank,Green Priest,Melody #1,Music #5,Percussion  #1
3295,ZIGGURATS #3295,64,164.56390436722128,8,Pink,Drums #8,Vampire,Grey Smoke,Red Priest,Melody #6,Music #2,Percussion  #1
1629,ZIGGURATS #1629,65,164.45689244656216,8,Dark Doodles,Drums #10,Sharp Teeth,Silver Chain,Red Shaggy,Melody #8,Music #9,Percussion  #2
2299,ZIGGURATS #2299,66,164.15263349781114,8,Pink Rays,Drums #7,Animal Frown,Silver Chain,Green Priest,Melody #9,Music #8,Percussion  #5
1900,ZIGGURATS #1900,67,163.97861083596277,8,Aqua Rays,Drums #11,Common Skull,Blank,Aqua Spaceman,Melody #2,Music #8,Percussion  #4
4619,ZIGGURATS #4619,68,163.8551730915166,8,Aqua Rays,Drums #14,Bright Eyes,Blank,Aqua Spaceman,Melody #7,Music #2,Percussion  #8
4492,ZIGGURATS #4492,69,163.40794372123787,8,Pink,Drums #8,Common Skull,White Dirt,Red Priest,Melody #2,Music #9,Percussion  #4
2836,ZIGGURATS #2836,70,163.27836249628587,8,Red Green,Drums #14,Bright Eyes,Silver Chain,Aqua Spaceman,Melody #7,Music #3,Percussion  #7
1822,ZIGGURATS #1822,71,163.23667327901222,8,Pink Rays,Drums #5,Evil Animal,Silver Chain,Blue Spaceman,Melody #1,Music #4,Percussion  #4
4593,ZIGGURATS #4593,72,163.04134231468151,8,Pink Rays,Drums #5,Evil Animal,Toxic Smoke,Blue Spaceman,Melody #1,Music #5,Percussion  #5
4685,ZIGGURATS #4685,73,163.039305752669,8,Green,Drums #4,Smirk,White Dirt,Red Priest,Melody #1,Music #4,Percussion  #4
2999,ZIGGURATS #2999,74,162.34941223605335,8,Waves,Drums #3,Evil Animal,White Dirt,Aqua Shaved,Melody #2,Music #4,Percussion  #1
3857,ZIGGURATS #3857,75,162.09236392279328,8,Light Doodles,Drums #11,Vampire,Silver Chain,Red V,Melody #3,Music #2,Percussion  #1
1138,ZIGGURATS #1138,76,161.96095595512907,8,Aqua,Drums #11,Vampire,Silver Chain,Red Priest,Melody #2,Music #7,Percussion  #2
3279,ZIGGURATS #3279,77,161.7942936372388,8,Green,Drums #7,Surprised,Ice Vapor,Green Priest,Melody #2,Music #1,Percussion  #5
4326,ZIGGURATS #4326,78,161.6844790467934,8,Light Doodles,Drums #12,Vampire,Gold Chain,Blue Shaggy,Melody #6,Music #8,Percussion  #3
2655,ZIGGURATS #2655,79,161.53040122094123,8,Green,Drums #11,Sharp Teeth,Blank,Aqua Spaceman,Melody #6,Music #3,Percussion  #2
2325,ZIGGURATS #2325,80,161.52851660182512,8,Dark Doodles,Drums #6,Evil Animal,White Dirt,Red V,Melody #7,Music #2,Percussion  #7
2877,ZIGGURATS #2877,81,161.15153522853927,8,Light Doodles,Drums #8,Vampire,Silver Chain,Blue Shaggy,Melody #3,Music #2,Percussion  #4
3787,ZIGGURATS #3787,82,161.08092831168014,8,Pink Aqua,Drums #6,Evil Animal,Gold Chain,Red Priest,Melody #1,Music #2,Percussion  #5
4300,ZIGGURATS #4300,83,160.94257342645722,8,Aqua,Drums #12,Evil Animal,White Dirt,Green Priest,Melody #6,Music #5,Percussion  #8
4372,ZIGGURATS #4372,84,160.90356947235583,8,Aqua,Drums #8,Rare Skull,Gold Chain,Aqua Shaved,Melody #9,Music #5,Percussion  #7
4203,ZIGGURATS #4203,85,160.77536405304318,8,Pink Aqua,Drums #4,Vampire,Blank,Blue Spaceman,Melody #6,Music #1,Percussion  #4
2357,ZIGGURATS #2357,86,160.7539080644874,8,Pink Rays,Drums #11,Common Skull,Blank,Aqua Spaceman,Melody #1,Music #4,Percussion  #2
4397,ZIGGURATS #4397,87,160.63000484474742,8,Blue Rays,Drums #10,Common Skull,Blank,Aqua Spaceman,Melody #9,Music #1,Percussion  #6
4881,ZIGGURATS #4881,88,160.5431313388961,8,Yellow,Drums #7,Teeth Grit,Blank,Aqua Spaceman,Melody #8,Music #2,Percussion  #1
2160,ZIGGURATS #2160,89,160.49515605732967,8,Aqua,Drums #5,Sharp Teeth,Blank,Aqua Spaceman,Melody #4,Music #2,Percussion  #6
3068,ZIGGURATS #3068,90,160.19358821183818,8,Dark Doodles,Drums #4,Bright Eyes,White Dirt,Red V,Melody #7,Music #5,Percussion  #4
172,ZIGGURATS #172,91,160.18128339029283,8,Pink Rays,Drums #1,Evil Animal,Blank,Aqua Spaceman,Melody #3,Music #1,Percussion  #8
1379,ZIGGURATS #1379,92,160.16842250528973,8,Red Green,Drums #1,Surprised,Blank,Red Priest,Melody #4,Music #7,Percussion  #6
1799,ZIGGURATS #1799,93,159.94027206721853,8,Dark Doodles,Drums #8,Animal Frown,White Dirt,Green V,Melody #9,Music #8,Percussion  #6
4034,ZIGGURATS #4034,94,159.6850564158202,8,Aqua,Drums #14,Teeth Grit,Blank,Aqua Spaceman,Melody #7,Music #1,Percussion  #6
2269,ZIGGURATS #2269,95,159.6711275329185,8,Blue Rays,Drums #3,Evil Animal,Blank,Aqua Spaceman,Melody #8,Music #3,Percussion  #8
4117,ZIGGURATS #4117,96,159.56337567792906,8,Yellow,Drums #3,Rare Skull,Toxic Smoke,Blue Shaved,Melody #5,Music #5,Percussion  #6
2848,ZIGGURATS #2848,97,159.39382198779737,8,Dots,Drums #2,Bandage,Blank,Aqua Curly,Melody #2,Music #7,Percussion  #7
3261,ZIGGURATS #3261,98,159.22787293851104,8,Pink,Drums #6,Evil Animal,White Dirt,Blue Spaceman,Melody #7,Music #9,Percussion  #6
1294,ZIGGURATS #1294,99,159.14551431551968,8,Aqua,Drums #5,Scowl,Silver Chain,Green Priest,Melody #3,Music #6,Percussion  #3
2983,ZIGGURATS #2983,100,159.11281095688545,8,Red,Drums #3,Smirk,Toxic Smoke,Blue Spaceman,Melody #3,Music #3,Percussion  #2
3481,ZIGGURATS #3481,101,159.07687577560793,8,Light Doodles,Drums #3,Big Dog,Silver Chain,Aqua V,Melody #8,Music #1,Percussion  #1
3737,ZIGGURATS #3737,102,159.00506024964753,8,Pink,Drums #11,Animal Frown,Black Dirt,Blue Spaceman,Melody #9,Music #7,Percussion  #2
3440,ZIGGURATS #3440,103,158.65522340323432,8,Green,Drums #1,Big Dog,Grey Smoke,Blue Spaceman,Melody #2,Music #8,Percussion  #5
4791,ZIGGURATS #4791,104,158.58811545376062,8,Blue Rays,Drums #3,Vampire,Gold Chain,Aqua Shaved,Melody #9,Music #6,Percussion  #6
1052,ZIGGURATS #1052,105,158.4702713378727,8,Waves,Drums #9,Bright Eyes,Blank,Green Priest,Melody #9,Music #3,Percussion  #6
2691,ZIGGURATS #2691,106,158.41922700906684,8,Red Green,Drums #4,Surprised,Blank,Green Priest,Melody #1,Music #5,Percussion  #8
3391,ZIGGURATS #3391,107,158.21749492999194,8,Light Doodles,Drums #1,Smirk,Blank,Blue Princess,Melody #5,Music #2,Percussion  #8
1141,ZIGGURATS #1141,108,157.73776468668095,8,Light Doodles,Drums #5,Surprised,Grey Smoke,Aqua V,Melody #1,Music #6,Percussion  #6
2493,ZIGGURATS #2493,109,157.50965131644915,8,Light Doodles,Drums #9,Bright Eyes,Blank,Blue Princess,Melody #1,Music #8,Percussion  #3
2245,ZIGGURATS #2245,110,157.3182823167515,8,Aqua Rays,Drums #4,Bright Eyes,Blank,Green Priest,Melody #9,Music #6,Percussion  #7
113,ZIGGURATS #113,111,157.1823320105086,8,Green,Drums #4,Goggles,Blank,Red Priest,Melody #9,Music #2,Percussion  #7
4759,ZIGGURATS #4759,112,157.11403534800985,8,Pink Aqua,Drums #1,Goggles,Spear,Blue Curly,Melody #8,Music #8,Percussion  #5
2865,ZIGGURATS #2865,113,156.96669467513297,8,Dots,Drums #7,Bandage,Grey Smoke,Blue Princess,Melody #6,Music #8,Percussion  #1
2021,ZIGGURATS #2021,114,156.9507148247319,8,Pink,Drums #5,Sharp Teeth,Blank,Red Priest,Melody #5,Music #5,Percussion  #5
4966,ZIGGURATS #4966,115,156.93000508517142,8,Blue Rays,Drums #4,Smirk,Blank,Red Priest,Melody #6,Music #4,Percussion  #2
4219,ZIGGURATS #4219,116,156.89214126912944,8,Dark Doodles,Drums #14,Smirk,Blank,Blue Princess,Melody #6,Music #4,Percussion  #7
4849,ZIGGURATS #4849,117,156.83656942408004,8,Yellow,Drums #8,Common Skull,Flies,Aqua Spaceman,Melody #6,Music #1,Percussion  #4
3251,ZIGGURATS #3251,118,156.7728595572084,8,Dots,Drums #6,Rare Skull,Flies,Aqua Princess,Melody #2,Music #2,Percussion  #1
875,ZIGGURATS #875,119,156.58155640358416,8,Aqua,Drums #4,Goggles,Blank,Red Priest,Melody #3,Music #6,Percussion  #8
3975,ZIGGURATS #3975,120,156.56138375147899,8,Pink,Drums #7,Goggles,Blank,Red Priest,Melody #4,Music #7,Percussion  #4
4289,ZIGGURATS #4289,121,156.50365285526112,8,Dots,Drums #5,Common Skull,White Dirt,Red Curly,Melody #5,Music #2,Percussion  #3
4718,ZIGGURATS #4718,122,156.42460145543265,8,Pink,Drums #11,Teeth Grit,Blank,Red Priest,Melody #9,Music #6,Percussion  #3
4358,ZIGGURATS #4358,123,156.39136480519244,8,Pink Rays,Drums #7,Evil Animal,Blank,Red Priest,Melody #1,Music #6,Percussion  #4
2874,ZIGGURATS #2874,124,156.30846763707615,8,Pink Rays,Drums #10,Surprised,Gold Chain,Aqua Shaved,Melody #2,Music #4,Percussion  #5
1584,ZIGGURATS #1584,125,156.29608596050386,8,Pink Rays,Drums #11,Smirk,Blank,Red Priest,Melody #4,Music #9,Percussion  #5
3196,ZIGGURATS #3196,126,156.28946246958913,8,Dark Doodles,Drums #9,Common Skull,Blank,Blue Princess,Melody #7,Music #6,Percussion  #5
2806,ZIGGURATS #2806,127,156.28620927816428,8,Aqua,Drums #9,Sharp Teeth,Blank,Red Priest,Melody #4,Music #8,Percussion  #6
4202,ZIGGURATS #4202,128,156.26434710913327,8,Red Green,Drums #6,Common Skull,Silver Chain,Blue Spaceman,Melody #3,Music #1,Percussion  #3
422,ZIGGURATS #422,129,156.19520423494004,8,Dark Doodles,Drums #12,Animal Frown,Blank,Blue Princess,Melody #8,Music #1,Percussion  #4
2262,ZIGGURATS #2262,130,155.91501962082774,8,Yellow,Drums #8,Vampire,Blank,Aqua Spaceman,Melody #8,Music #6,Percussion  #7
2860,ZIGGURATS #2860,131,155.88248425298107,8,Dark Doodles,Drums #5,Evil Animal,Blank,Red Spiky,Melody #2,Music #1,Percussion  #2
2669,ZIGGURATS #2669,132,155.85037231534935,8,Aqua,Drums #6,Common Skull,Flies,Aqua Spaceman,Melody #7,Music #6,Percussion  #7
3453,ZIGGURATS #3453,133,155.82228707780286,8,Yellow,Drums #10,Evil Animal,Spear,Aqua Spaceman,Melody #9,Music #2,Percussion  #3
1346,ZIGGURATS #1346,134,155.81532890765064,8,Blue Rays,Drums #13,Animal Frown,Blank,Red Priest,Melody #3,Music #1,Percussion  #1
4353,ZIGGURATS #4353,135,155.61786524228026,8,Light Doodles,Drums #8,Teeth Grit,Blank,Red Antennae,Melody #8,Music #2,Percussion  #5
4551,ZIGGURATS #4551,136,155.61187845489292,8,Aqua Rays,Drums #14,Animal Frown,Blank,Blue Spaceman,Melody #7,Music #8,Percussion  #7
553,ZIGGURATS #553,137,155.3947282695666,8,Light Doodles,Drums #10,Goggles,Blank,Green Antennae,Melody #7,Music #8,Percussion  #3
3055,ZIGGURATS #3055,138,155.19367013699136,8,Aqua,Drums #3,Evil Animal,Spear,Aqua Spaceman,Melody #8,Music #2,Percussion  #7
2745,ZIGGURATS #2745,139,154.97669891273907,8,Pink,Drums #11,Big Dog,Blank,Aqua Spaceman,Melody #9,Music #7,Percussion  #4
2550,ZIGGURATS #2550,140,154.91282310344465,8,Dark Doodles,Drums #8,Smirk,Blank,Green Spiky,Melody #9,Music #1,Percussion  #2
4857,ZIGGURATS #4857,141,154.82719371240168,8,Light Doodles,Drums #9,Teeth Grit,Blank,Aqua V,Melody #8,Music #3,Percussion  #5
4170,ZIGGURATS #4170,142,154.79387401261667,8,Yellow,Drums #14,Common Skull,Spear,Aqua Spaceman,Melody #8,Music #9,Percussion  #5
4412,ZIGGURATS #4412,143,154.68828091131599,8,Dark Doodles,Drums #8,Evil Animal,Blank,Green Spiky,Melody #1,Music #4,Percussion  #6
2116,ZIGGURATS #2116,144,154.65657680852317,8,Yellow,Drums #12,Goggles,Blank,Green Priest,Melody #3,Music #1,Percussion  #3
1597,ZIGGURATS #1597,145,154.654268238725,8,Waves,Drums #5,Big Dog,Blank,Red Curly,Melody #6,Music #3,Percussion  #4
2583,ZIGGURATS #2583,146,154.62830594280425,8,Light Doodles,Drums #1,Common Skull,Blank,Aqua Princess,Melody #1,Music #1,Percussion  #6
2462,ZIGGURATS #2462,147,154.48356715783308,8,Aqua,Drums #12,Teeth Grit,Blank,Green Priest,Melody #6,Music #8,Percussion  #5
4448,ZIGGURATS #4448,148,154.46689347886286,8,Dark Doodles,Drums #14,Goggles,Blank,Aqua Antennae,Melody #6,Music #9,Percussion  #8
2466,ZIGGURATS #2466,149,154.4198520177946,8,Pink,Drums #1,Teeth Grit,Blank,Green Priest,Melody #1,Music #9,Percussion  #7
4933,ZIGGURATS #4933,150,154.19120670200596,8,Waves,Drums #5,Animal Frown,Ice Vapor,Red Curly,Melody #1,Music #8,Percussion  #5
3065,ZIGGURATS #3065,151,154.18740150397238,8,Green,Drums #3,Bandage,Black Dirt,Aqua Princess,Melody #9,Music #4,Percussion  #1
4739,ZIGGURATS #4739,152,154.1729189083824,8,Yellow,Drums #13,Scowl,Blank,Aqua Spaceman,Melody #7,Music #8,Percussion  #5
3593,ZIGGURATS #3593,153,154.13854973353597,8,Light Doodles,Drums #8,Animal Frown,Blank,Aqua Princess,Melody #8,Music #6,Percussion  #3
4518,ZIGGURATS #4518,154,154.0912616793256,8,Pink,Drums #11,Teeth Grit,White Dirt,Aqua Curly,Melody #8,Music #5,Percussion  #6
3730,ZIGGURATS #3730,155,154.0145337018085,8,Light Doodles,Drums #5,Evil Animal,Blank,Red Princess,Melody #6,Music #1,Percussion  #3
3711,ZIGGURATS #3711,156,153.96949923421866,8,Aqua,Drums #6,Teeth Grit,Blank,Blue Spaceman,Melody #6,Music #3,Percussion  #5
3932,ZIGGURATS #3932,157,153.94193534565085,8,Dark Doodles,Drums #5,Goggles,Blank,Aqua Shaggy,Melody #7,Music #1,Percussion  #4
2842,ZIGGURATS #2842,158,153.72795420980273,8,Pink Rays,Drums #1,Smirk,Blank,Green Priest,Melody #6,Music #7,Percussion  #8
4435,ZIGGURATS #4435,159,153.70317457514432,8,Dark Doodles,Drums #10,Bright Eyes,Blank,Aqua Princess,Melody #3,Music #9,Percussion  #8
3961,ZIGGURATS #3961,160,153.5975554429957,8,Light Doodles,Drums #8,Teeth Grit,Blank,Aqua Shaggy,Melody #4,Music #7,Percussion  #6
1704,ZIGGURATS #1704,161,153.49218455476907,8,Green,Drums #4,Sharp Teeth,Black Dirt,Aqua Curly,Melody #7,Music #8,Percussion  #8
3487,ZIGGURATS #3487,162,153.3703611955373,8,Pink,Drums #9,Teeth Grit,Blank,Blue Spaceman,Melody #2,Music #9,Percussion  #5
1840,ZIGGURATS #1840,163,153.36452645232367,8,Aqua,Drums #12,Goggles,Blank,Blue Spaceman,Melody #4,Music #6,Percussion  #5
4978,ZIGGURATS #4978,164,153.34184574432695,8,Green,Drums #13,Teeth Grit,Blank,Green Priest,Melody #1,Music #6,Percussion  #4
4064,ZIGGURATS #4064,165,153.3046433440081,8,Dark Doodles,Drums #3,Sharp Teeth,Blank,Blue Shaggy,Melody #6,Music #8,Percussion  #8
845,ZIGGURATS #845,166,153.2503156654369,8,Yellow,Drums #7,Sharp Teeth,Blank,Blue Spaceman,Melody #1,Music #9,Percussion  #4
2481,ZIGGURATS #2481,167,153.18569930149465,8,Green,Drums #6,Sharp Teeth,Blank,Green Priest,Melody #8,Music #7,Percussion  #3
4545,ZIGGURATS #4545,168,153.18553852597074,8,Dark Doodles,Drums #4,Goggles,Blank,Green V,Melody #8,Music #8,Percussion  #8
4932,ZIGGURATS #4932,169,153.1722864940794,8,Red Green,Drums #9,Bright Eyes,Blank,Aqua Spaceman,Melody #7,Music #9,Percussion  #3
1463,ZIGGURATS #1463,170,153.1191824103625,8,Aqua,Drums #8,Vampire,Blank,Red Priest,Melody #5,Music #4,Percussion  #5
1280,ZIGGURATS #1280,171,153.11443642812253,8,Aqua,Drums #12,Bandage,Blank,Red Curly,Melody #5,Music #7,Percussion  #4
2369,ZIGGURATS #2369,172,153.05260772094144,8,Pink,Drums #12,Sharp Teeth,Blank,Blue Spaceman,Melody #2,Music #5,Percussion  #7
1880,ZIGGURATS #1880,173,152.99268343368615,8,Pink Rays,Drums #10,Teeth Grit,Blank,Blue Shaved,Melody #4,Music #3,Percussion  #5
2553,ZIGGURATS #2553,174,152.83385671368913,8,Blue Rays,Drums #2,Animal Frown,Blank,Green Priest,Melody #7,Music #8,Percussion  #6
3289,ZIGGURATS #3289,175,152.65041344881973,8,Dark Doodles,Drums #13,Common Skull,Blank,Red Princess,Melody #5,Music #2,Percussion  #4
4391,ZIGGURATS #4391,176,152.43261285263395,8,Aqua,Drums #4,Surprised,Blank,Aqua Spaceman,Melody #9,Music #2,Percussion  #3
4250,ZIGGURATS #4250,177,152.4248639660014,8,Pink,Drums #8,Evil Animal,Flies,Red Priest,Melody #7,Music #2,Percussion  #1
3468,ZIGGURATS #3468,178,152.2226954922282,8,Dark Doodles,Drums #6,Bright Eyes,Blank,Aqua Spiky,Melody #3,Music #2,Percussion  #1
3171,ZIGGURATS #3171,179,152.18990588251364,8,Aqua Rays,Drums #14,Sharp Teeth,Blank,Red Shaved,Melody #3,Music #6,Percussion  #1
4111,ZIGGURATS #4111,180,152.15630907873927,8,Aqua,Drums #12,Bright Eyes,Gold Chain,Aqua Spaceman,Melody #7,Music #3,Percussion  #8
4574,ZIGGURATS #4574,181,152.14109962549063,8,Red,Drums #14,Smirk,Blank,Red Priest,Melody #2,Music #9,Percussion  #5
2811,ZIGGURATS #2811,182,152.05629664051347,8,Light Doodles,Drums #10,Common Skull,Blank,Aqua Spiky,Melody #8,Music #8,Percussion  #6
