ID,Name,Rank,Rarity_Score,Attributes,arm,armor,backdrop,class,headdress,katana,skin
1040,Diplomat #1040,30,1246.6343377484,7,Copper Top,Trix Verde,Purple Portal,Royal,Lilac Amaterasu,Samebito,Human Dark
4472,Diplomat #4472,31,1165.419010989,7,Shimonti Spike,Emerald Crock,Lofi,Statesman,Claw Tooth,Issie,Human Light
998,Diplomat #998,32,1115.03,7,Green Spirit,Trix Negro,Uno Explosion,Royal,Ice Amaterasu,Uwan,Blueborn
2098,Diplomat #2098,33,1089.9044747347,7,Malven Steel,Trix Negro,Gold Stripe,Royal,Aero Amaterasu,Genbu,Tarborn
2004,Diplomat #2004,34,1087.5593377484,7,Oculeper,Sentinel Vest,Red Wave,Royal,Shogunata Teal,Waira,Zombie
3870,Diplomat #3870,35,1083.215,7,Glo Grip,Trix Blanco,Pink Wave,Royal,Yellow Rays,Kechibi,Vulcani
4235,Diplomat #4235,36,1060.2375,7,D'orki Spike,The Zoot,Gold Stripe,Royal,Shogunata Teal,Gozu and Mezu,Vulcani
2175,Diplomat #2175,37,1053.9598275862,7,Gold Grip,Strapped Vest,Purple Portal,Royal,Dark Amaterasu,Issie,Zombie
3221,Diplomat #3221,38,1046.855,7,Green Spirit,Imitation McFly,Gold Stripe,Royal,Yellow Rays,Gozu and Mezu,Nekrit
1733,Diplomat #1733,39,1045.2385606223,7,Opal Pad,Naucloth,ZenFi,Magnate,Visor Amaterasu,Ogama,Nekrit
924,Diplomat #924,40,1042.6846774194,7,Iron Pad,Athletica,ZenFi,Magnate,Shogunata Ice,Issie,Blueborn
209,Diplomat #209,41,1038.7248136646,7,Diodot,Gold Crock,Steel Portal,Royal,Ice Amaterasu,Gozu and Mezu,Human Tan
3629,Diplomat #3629,42,1031.6208762099,7,Ragnarake,McFly Black,Grey Wave,Royal,Orivac Emerald,Satori Sansei,Human Light
378,Diplomat #378,43,1030.19,7,Bishop Steel,Naucloth,Gold Portal,Royal,Dynastro,Mizuchi,Zombie
2551,Diplomat #2551,44,1028.675,7,Iron Pad,The Zoot,White Stripe,Royal,Shogunata Teeth,Satori Sansei,Nekrit
3249,Diplomat #3249,45,1027.6723443563,7,Hammer Black,Ragged Wear,ZenFi,Harvester,Shogunata Teeth,Shinigami,Human Tan
351,Diplomat #351,46,1026.4025,7,Novice Guard,The Zoot,Purple Portal,Royal,Quadnik,Shinigami,Zombie
802,Diplomat #802,47,1026.2018377484,7,Hammer Top,The Zoot,Blue Wave,Royal,Shogunata Face,Ningen,Zombie
2319,Diplomat #2319,48,1025.0898136646,7,Diodot,Trix Negro,Blue Portal,Royal,Prisi Mask,Tsukuyomi,Human Dark
1151,Diplomat #1151,49,1024.0855066079,7,Iron Pad,Ragged Wear,Lofi,Harvester,Dynastro,Amikiri,Human Tan
380,Diplomat #380,50,1022.4143377484,7,White Guard,Trix Negro,Gold Portal,Royal,Gui Amaterasu,Shinigami,Human Dark
344,Diplomat #344,51,1019.3843377484,7,Copper Top,Opal Crest,Blue Wave,Royal,Dark Amaterasu,Gozu and Mezu,Human Tan
321,Diplomat #321,52,1017.8693377484,7,Hammer Black,Jettison Jacket,Gold Stripe,Royal,Lilac Amaterasu,Satori Sansei,Human Light
1192,Diplomat #1192,53,1017.8471399462,7,Corsaira Blue,McFly Black,Lofi,Commoner,Sho Amaterasu,Enenra,Human Tan
2197,Diplomat #2197,54,1003.4546399462,7,Foreguard,Imitation McFly,Lofi,Commoner,Shogunata Teeth,Issie,Human Light
60,Diplomat #60,55,1002.92,7,Green Spirit,Trix Negro,Blue Wave,Royal,Bronze Crown,Uwan,Human Dark
379,Diplomat #379,56,1000.6475,7,Shimonti Spike,Naucloth,Steel Portal,Royal,Shogunata Teeth,Satori Sansei,Human Light
1031,Diplomat #1031,57,999.8678021978,7,Orion Steel,Vanguard Lite,ZenFi,Commoner,Shogunata Face,Uwan,Human Dark
842,Diplomat #842,58,998.5773136646,7,Diodot,Poor Man Armor,Steel Portal,Royal,Lilac Amaterasu,Gozu and Mezu,Human Tan
1020,Diplomat #1020,59,992.315,7,Bishop Steel,Opal Crest,Purple Portal,Royal,Bronze Crown,Satori Sansei,Human Dark
2239,Diplomat #2239,60,913.0648275862,7,Gold Grip,Trix Blanco,Blue Stripe,Royal,Dynastro,Teke Teke,Human Dark
4260,Diplomat #4260,61,875.66,7,Ferret Grip,Trix Blanco,Steel Portal,Royal,Lilac Amaterasu,Teke Teke,Human Light
3740,Diplomat #3740,62,870.9143377483,7,Foreguard,Trix Blanco,Blue Wave,Royal,Sho Amaterasu,Samebito,Human Tan
3606,Diplomat #3606,63,868.085,7,Corsaira Red,Trix Blanco,Blue Portal,Royal,Aero Amaterasu,Mizuchi,Human Dark
2024,Diplomat #2024,64,863.3393377483,7,Hammer Black,Trix Blanco,Pink Wave,Royal,Bronze Crown,Kechibi,Human Light
1043,Diplomat #1043,65,815.565,7,Forespike,Strap Suit Blue,Grey Wave,Royal,Quadnik,Tanuki,Tarborn
1105,Diplomat #1105,66,777.2706397824,7,Hammer Top,Rising Sun,Blue Portal,Royal,Orivac Emerald,Gashadokuru,Redborn
2583,Diplomat #2583,67,774.0625520341,7,Bowser Spike,Rising Sun,Blue Wave,Royal,Shogunata Teeth,Jami,Blueborn
3067,Diplomat #3067,68,772.9263020341,7,Foreguard,Rising Sun,Purple Portal,Royal,Shogunata Rays,Gashadokuru,Human Tan
548,Diplomat #548,69,763.2975,7,Forespike,Strap Suit Blue,Blue Portal,Royal,Shogunata Teeth,Ogama,Human Tan
2263,Diplomat #2263,70,759.8707142857,7,Novice Guard,Rising Sun,Grey Wave,Royal,Elite Visor,Issie,Human Tan
1884,Diplomat #1884,71,756.8407142857,7,Imitation Opal,Rising Sun,Steel Portal,Royal,Prisi Mask,Ubume,Redborn
4102,Diplomat #4102,72,755.3257142857,7,Corsaira Red,Rising Sun,Pink Wave,Royal,Gui Amaterasu,Ho-o,Human Tan
1149,Diplomat #1149,73,737.1457142857,7,Bishop Steel,Rising Sun,Purple Portal,Royal,Shogunata Face,Kudan,Human Dark
229,Diplomat #229,74,693.6593377483,7,Hammer Black,Vanguard,Purple Portal,Royal,Shogunata Ice,Ogama,Human Light
174,Diplomat #174,75,690.6293377483,7,Corsaira Blue,Vanguard,Pink Wave,Royal,Prisi Mask,Kudan,Redborn
3054,Diplomat #3054,76,690.2748136646,7,Diodot,Vanguard,Purple Portal,Royal,Sho Amaterasu,Amikiri,Blueborn
3877,Diplomat #3877,77,689.82,7,D'orki Spike,Vanguard,Blue Wave,Royal,Bronze Crown,Jami,Blueborn
890,Diplomat #890,78,689.315,7,Imitation Opal,Vanguard,Blue Wave,Royal,Lilac Amaterasu,Waira,Tarborn
1215,Diplomat #1215,79,678.71,7,Novice Guard,Vanguard,Grey Wave,Royal,Horn Mount,Samebito,Human Tan
3635,Diplomat #3635,80,671.135,7,Imitation Opal,Vanguard,Steel Portal,Royal,Horn Mount,Ubume,Human Dark
1114,Diplomat #1114,81,663.56,7,Corsaira Red,Vanguard,Steel Portal,Royal,Shogunata Face,Kechibi,Human Light
4130,Diplomat #4130,82,630.5343377483,7,Hammer Top,Strap Suit Blue,Gold Portal,Royal,Prisi Mask,Oni,Human Tan
4025,Diplomat #4025,83,627.5043377483,7,Hammer Top,Strap Suit Blue,Blue Portal,Royal,Visor Amaterasu,Tanuki,Redborn
919,Diplomat #919,84,626.19,7,Bishop Steel,Strap Suit Blue,Gold Stripe,Royal,Ovenbug,Amikiri,Redborn
1303,Diplomat #1303,85,623.16,7,Green Spirit,Strap Suit Blue,Blue Portal,Royal,Shogunata Face,Iyaya,Redborn
2413,Diplomat #2413,86,615.585,7,Iron Pad,Strap Suit Blue,Pink Wave,Royal,Visor Amaterasu,Ogama,Human Dark
3823,Diplomat #3823,87,612.05,7,Iron Pad,Strap Suit Lilac,Blue Stripe,Royal,Lilac Amaterasu,Iyaya,Nekrit
976,Diplomat #976,88,609.0548275862,7,Gold Grip,Strap Suit Blue,Pink Wave,Royal,Shogunata Face,Mononoke,Human Light
1279,Diplomat #1279,89,608.01,7,Imitation Opal,Strap Suit Blue,Pink Wave,Royal,Prisi Mask,Tsukuyomi,Human Dark
1895,Diplomat #1895,90,592.1543377483,7,Ferret Grip,Strap Suit Lilac,Grey Wave,Royal,Orivac Emerald,Kudan,Redborn
649,Diplomat #649,91,582.1372481961,7,Malven Steel,Strap Suit Lilac,Black Portal,Royal,Shogunata Face,Ubume,Human Dark
1750,Diplomat #1750,92,580.0343377483,7,Foreguard,Strap Suit Lilac,Grey Wave,Royal,Dynastro,Ho-o,Human Dark
4046,Diplomat #4046,93,572.4593377483,7,Corsaira Blue,Strap Suit Lilac,Blue Wave,Royal,Shogunata Rays,Ubume,Human Tan
2125,Diplomat #2125,94,571.145,7,Novice Guard,Strap Suit Lilac,Grey Wave,Royal,Sho Amaterasu,Shinigami,Blueborn
950,Diplomat #950,95,568.8725,7,Corsaira Red,Strap Suit Lilac,Steel Portal,Royal,Shogunata Teeth,Iyaya,Human Light
3045,Diplomat #3045,96,560.54,7,Novice Guard,Strap Suit Lilac,Blue Wave,Royal,Face Guard,Kechibi,Nekrit
557,Diplomat #557,97,557.51,7,Corsaira Red,Strap Suit Lilac,Grey Wave,Royal,Lilac Amaterasu,Hihi,Human Tan
2601,Diplomat #2601,98,556.7525,7,Imitation Opal,Strap Suit Lilac,Purple Portal,Royal,Shogunata Teeth,Mizuchi,Blueborn
3106,Diplomat #3106,99,450.1614285714,7,Corsaira Jade,Blue Cloak,Steel Portal,Royal,Copper Amaterasu,Hihi,Tiger Born
4440,Diplomat #4440,100,421.4399456522,7,Opal Steel,Strapped Vest,Red Wave,Royal,Dynastro,Gashadokuru,Spotted Skin
2941,Diplomat #2941,101,418.6213792223,7,Diodot,Blue Cloak,Grey Wave,Royal,Claw Tooth,Genbu,Tiger Born
2261,Diplomat #2261,102,406.2264285714,7,Vee Firm,McFly Red,Uno Explosion,Royal,Gui Amaterasu,Anmo,Tarborn
3723,Diplomat #3723,103,400.9239285714,7,Corsaira Red,The Zoot,Purple Portal,Royal,Claw Tooth,Mononoke,Tiger Born
913,Diplomat #913,104,391.0764285714,7,Ex Firm,Naucloth,Red Stripe,Royal,Gui Amaterasu,Ogama,Tiger Born
4116,Diplomat #4116,105,378.74,7,Vee Firm,Rich Kid Punk,Uno Explosion,Royal,Shogunata Teal,Mizuchi,Redborn
1546,Diplomat #1546,106,378.74,7,Glo Grip,Strapped Vest,Pink Wave,Royal,Dynastro,Mononoke,Stoneborn
673,Diplomat #673,107,377.4414285714,7,Corsaira Jade,McFly Red,HiDef,Royal,Horn Mount,Anmo,Human Dark
2764,Diplomat #2764,108,369.65,7,Ex Firm,Opal Crest,Uno Explosion,Royal,Dark Amaterasu,Shinigami,Stoneborn
1049,Diplomat #1049,109,365.3214285714,7,Corsaira Jade,McFly Red,Green Stripe,Royal,Face Guard,Anmo,Tarborn
2148,Diplomat #2148,110,363.1079545455,7,Vee Firm,Athletica,Red Stripe,Royal,Shogunata Teeth,Keneo,Vulcani
754,Diplomat #754,111,362.6318377483,7,Glo Grip,The Zoot,Uno Explosion,Royal,Orivac Emerald,Kechibi,Human Dark
170,Diplomat #170,112,359.8025,7,Forespike,The Zoot,Blue Wave,Royal,Horn Mount,Waira,Stoneborn
2992,Diplomat #2992,113,354.5,7,Corsaira Jade,Doxx Cloth,Gold Stripe,Royal,Elite Visor,Issie,Tarborn
3320,Diplomat #3320,114,354.5,7,Corsaira Jade,Gold Crock,Pink Wave,Royal,Visor Amaterasu,Ogama,Woodborn
2516,Diplomat #2516,115,345.41,7,Glo Grip,Jettison Jacket,Gold Portal,Royal,Orivac Blue,Ubume,Human Light
659,Diplomat #659,116,340.0086956522,7,Opal Steel,Sentinel Vest,Steel Portal,Royal,Visor Amaterasu,Hihi,Nekrit
3353,Diplomat #3353,117,339.5664285714,7,Glo Grip,Jettison Jacket,Blue Stripe,Royal,Yellow Rays,Anmo,Human Tan
280,Diplomat #280,118,339.35,7,Vee Firm,McFly Red,White Stripe,Royal,Oval Bead,Mizuchi,Nekrit
817,Diplomat #817,119,338.4229104478,7,Vee Firm,Emerald Crock,Black Portal,Royal,Elite Visor,Shinigami,Human Dark
2815,Diplomat #2815,120,337.0775,7,Glo Grip,The Zoot,Pink Wave,Royal,Face Guard,Waira,Spotted Skin
3028,Diplomat #3028,121,336.9786956522,7,Opal Steel,McFly Black,Gold Portal,Royal,Sho Amaterasu,Amikiri,Vulcani
3630,Diplomat #3630,122,336.5954545455,7,Forespike,Athletica,Red Stripe,Royal,Quadnik,Waira,Nekrit
1902,Diplomat #1902,123,336.5364285714,7,Glo Grip,Strapped Vest,Blue Wave,Royal,Prisi Mask,Anmo,Vulcani
136,Diplomat #136,124,336.32,7,Forespike,Strapped Vest,Blue Stripe,Royal,Copper Amaterasu,Ogama,Human Tan
4543,Diplomat #4543,125,335.4636956522,7,Opal Steel,Sentinel Vest,Gold Stripe,Royal,Prisi Mask,Tsukuyomi,Human Tan
1323,Diplomat #1323,126,333.5654545455,7,Forespike,Athletica,Dark Wave,Royal,Elite Visor,Tanuki,Human Tan
4533,Diplomat #4533,127,333.29,7,Glo Grip,Jettison Jacket,Steel Portal,Royal,Visor Amaterasu,Samebito,Woodborn
3490,Diplomat #3490,128,333.1276785714,7,Ferret Grip,Racer Wear,Blue Portal,Royal,Dark Amaterasu,Gashadokuru,Tiger Born
1219,Diplomat #1219,129,333.0216060999,7,Opal Steel,Steelknit,Black Portal,Royal,Oval Bead,Ogama,Human Light
1930,Diplomat #1930,130,330.26,7,Ex Firm,McFly Red,Blue Portal,Royal,Claw Tooth,Shinigami,Human Light
529,Diplomat #529,131,329.5025,7,Corsaira Jade,Poor Man Armor,Blue Wave,Royal,Visor Amaterasu,Ogama,Tarborn
1473,Diplomat #1473,132,328.745,7,Glo Grip,Gold Crock,Purple Portal,Royal,Ovenbug,Iyaya,Human Light
2353,Diplomat #2353,132,328.745,7,Forespike,Strapped Vest,Red Stripe,Royal,Shogunata Ice,Ubume,Human Dark
695,Diplomat #695,134,326.3736956522,7,Opal Steel,Gold Crock,Gold Portal,Royal,Ovenbug,Mizuchi,Redborn
3356,Diplomat #3356,135,325.9904545455,7,Corsaira Jade,Athletica,White Stripe,Royal,Lilac Amaterasu,Oni,Human Tan
3571,Diplomat #3571,136,325.715,7,Corsaira Jade,Emerald Crock,Gold Stripe,Royal,Gui Amaterasu,Keneo,Nekrit
6,Diplomat #6,137,325.715,7,Glo Grip,Jettison Jacket,Steel Portal,Royal,Prisi Mask,Kechibi,Vulcani
1545,Diplomat #1545,137,325.715,7,Forespike,Blue Cloak,Steel Portal,Royal,Face Guard,Enenra,Woodborn
2002,Diplomat #2002,139,324.4799456522,7,Opal Steel,Jettison Jacket,Pink Wave,Royal,Elite Visor,Gashadokuru,Blueborn
3145,Diplomat #3145,139,324.4799456522,7,Opal Steel,Doxx Cloth,Blue Portal,Royal,Quadnik,Gashadokuru,Nekrit
1165,Diplomat #1165,141,323.9993377483,7,Bowser Spike,Emerald Crock,Grey Wave,Royal,Claw Tooth,Ningen,Tarborn
3611,Diplomat #3611,142,321.9275,7,Glo Grip,Poor Man Armor,Steel Portal,Royal,Ice Amaterasu,Mononoke,Vulcani
2354,Diplomat #2354,143,321.8286956522,7,Opal Steel,Ragged Wear,Blue Wave,Royal,Ovenbug,Mizuchi,Human Tan
288,Diplomat #288,144,321.17,7,Corsaira Jade,Steelknit,Red Wave,Royal,Dynastro,Kudan,Human Light
2262,Diplomat #2262,144,321.17,7,Forespike,Naucloth,White Stripe,Royal,Copper Amaterasu,Waira,Human Dark
221,Diplomat #221,146,318.7986956522,7,Opal Steel,McFly Black,Gold Stripe,Royal,Shogunata Teal,Waira,Redborn
3318,Diplomat #3318,147,318.14,7,Forespike,Gold Crock,Blue Wave,Royal,Ice Amaterasu,Oni,Redborn
3588,Diplomat #3588,148,317.3825,7,Glo Grip,McFly Black,White Stripe,Royal,Shogunata Teeth,Hihi,Human Dark
2936,Diplomat #2936,149,316.5988326385,7,Opal Steel,Vanguard Lite,Steel Portal,Royal,Ovenbug,Genbu,Human Tan
2360,Diplomat #2360,150,316.1068831169,7,D'orki Spike,Athletica,Blue Wave,Royal,Copper Amaterasu,Iyaya,Tiger Born
83,Diplomat #83,151,314.3525,7,Glo Grip,Naucloth,Blue Wave,Royal,Shogunata Teeth,Iyaya,Blueborn
1890,Diplomat #1890,152,313.595,7,Forespike,Emerald Crock,Pink Wave,Royal,Ice Amaterasu,Ogama,Human Tan
4224,Diplomat #4224,152,313.595,7,Glo Grip,Gold Crock,Gold Portal,Royal,Quadnik,Ho-o,Human Light
878,Diplomat #878,154,313.4254104478,7,Forespike,Poor Man Armor,Black Portal,Royal,Dynastro,Hihi,Human Light
2697,Diplomat #2697,155,311.9176785714,7,Ferret Grip,Opal Crest,Steel Portal,Royal,Dynastro,Gashadokuru,Tiger Born
461,Diplomat #461,156,311.2236956522,7,Opal Steel,Strapped Vest,Purple Portal,Royal,Face Guard,Tanuki,Nekrit
3838,Diplomat #3838,157,310.565,7,Corsaira Jade,Imitation McFly,Pink Wave,Royal,Lilac Amaterasu,Kudan,Vulcani
1075,Diplomat #1075,158,309.6379104478,7,Glo Grip,Imitation McFly,Black Portal,Royal,Sho Amaterasu,Keneo,Redborn
79,Diplomat #79,159,308.1936956522,7,Opal Steel,Opal Crest,Pink Wave,Royal,Elite Visor,Hihi,Human Light
1600,Diplomat #1600,159,308.1936956522,7,Opal Steel,Doxx Cloth,Pink Wave,Royal,Ovenbug,Tanuki,Human Tan
2393,Diplomat #2393,161,307.2812561576,7,Gold Grip,Rich Kid Punk,Blue Portal,Royal,Dark Amaterasu,Enenra,Tiger Born
851,Diplomat #851,162,306.02,7,Corsaira Jade,Emerald Crock,Purple Portal,Royal,Dark Amaterasu,Ubume,Human Light
2227,Diplomat #2227,162,306.02,7,Forespike,Gold Crock,Gold Portal,Royal,Visor Amaterasu,Uwan,Human Tan
4495,Diplomat #4495,162,306.02,7,Glo Grip,Gold Crock,Blue Portal,Royal,Dynastro,Uwan,Human Light
2315,Diplomat #2315,165,305.4391501976,7,Opal Steel,Athletica,Pink Wave,Royal,Face Guard,Mizuchi,Human Tan
139,Diplomat #139,166,304.7214285714,7,Bishop Steel,McFly Red,Gold Stripe,Royal,Prisi Mask,Ho-o,Tiger Born
968,Diplomat #968,167,304.505,7,Vee Firm,Jettison Jacket,Gold Stripe,Royal,Gui Amaterasu,Teke Teke,Blueborn
2178,Diplomat #2178,168,304.4061956522,7,Opal Steel,Poor Man Armor,Blue Wave,Royal,Copper Amaterasu,Ho-o,Human Tan
4058,Diplomat #4058,169,301.6683487374,7,White Guard,Emerald Crock,Dark Wave,Statesman,Claw Tooth,Amikiri,Human Light
178,Diplomat #178,170,300.6186956522,7,Opal Steel,Blue Cloak,Pink Wave,Royal,Aero Amaterasu,Kudan,Human Light
1869,Diplomat #1869,170,300.6186956522,7,Opal Steel,Steelknit,Grey Wave,Royal,Prisi Mask,Kechibi,Human Light
1879,Diplomat #1879,170,300.6186956522,7,Opal Steel,Strapped Vest,Blue Portal,Royal,Lilac Amaterasu,Enenra,Human Light
3388,Diplomat #3388,170,300.6186956522,7,Opal Steel,Jettison Jacket,Blue Portal,Royal,Aero Amaterasu,Uwan,Human Tan
533,Diplomat #533,174,300.0326369863,7,Glo Grip,Poor Man Armor,Blue Portal,Royal,Shogunata Teal,Genbu,Nekrit
559,Diplomat #559,175,299.96,7,Vee Firm,Rich Kid Punk,Grey Wave,Royal,Shogunata Face,Iyaya,Human Light
3890,Diplomat #3890,175,299.96,7,Glo Grip,Rich Kid Punk,Pink Wave,Royal,Dark Amaterasu,Samebito,Human Light
4013,Diplomat #4013,175,299.96,7,Corsaira Jade,Vanguard Lite,Purple Portal,Royal,Horn Mount,Issie,Human Light
477,Diplomat #477,178,298.4607663198,7,Bowser Spike,McFly Black,Purple Portal,Royal,Dark Amaterasu,Ubume,Tiger Born
2440,Diplomat #2440,178,298.4607663198,7,Malven Steel,Strapped Vest,Steel Portal,Royal,Dark Amaterasu,Teke Teke,Tiger Born
1366,Diplomat #1366,180,298.445,7,Corsaira Jade,Steelknit,Gold Stripe,Royal,Dynastro,Mizuchi,Human Dark
1966,Diplomat #1966,180,298.445,7,Vee Firm,Ragged Wear,Gold Portal,Royal,Shogunata Teal,Waira,Human Light
2623,Diplomat #2623,182,297.2054545455,7,Vee Firm,Athletica,Gold Portal,Royal,Aero Amaterasu,Tanuki,Human Light
3119,Diplomat #3119,183,297.1464285714,7,Bishop Steel,Gold Crock,Gold Portal,Royal,Shogunata Ice,Ubume,Tiger Born
3188,Diplomat #3188,184,297.0047922938,7,Corsaira Jade,Athletica,Blue Wave,Royal,Orivac Emerald,Mizuchi,Human Dark
111,Diplomat #111,185,296.93,7,Green Spirit,Gold Crock,Grey Wave,Royal,Claw Tooth,Waira,Woodborn
3453,Diplomat #3453,185,296.93,7,Corsaira Jade,Opal Crest,Gold Stripe,Royal,Gui Amaterasu,Mizuchi,Nekrit
4380,Diplomat #4380,185,296.93,7,Vee Firm,Doxx Cloth,Steel Portal,Royal,Ice Amaterasu,Uwan,Redborn
1487,Diplomat #1487,188,296.0736956522,7,Opal Steel,Vanguard Lite,Steel Portal,Royal,Bronze Crown,Uwan,Human Tan
1411,Diplomat #1411,189,295.9068831169,7,Shimonti Spike,Athletica,Blue Wave,Royal,Face Guard,Ningen,Tiger Born
3187,Diplomat #3187,190,295.747967033,7,Ragnarake,Blue Cloak,Purple Portal,Royal,Dark Amaterasu,Kechibi,Tiger Born
4202,Diplomat #4202,191,295.6314285714,7,Vee Firm,Vanguard Lite,Gold Portal,Royal,Visor Amaterasu,Anmo,Human Tan
80,Diplomat #80,192,293.0436956522,7,Opal Steel,Opal Crest,Pink Wave,Royal,Sho Amaterasu,Tanuki,Redborn
582,Diplomat #582,193,292.6604545455,7,Forespike,Athletica,Blue Portal,Royal,Bronze Crown,Hihi,Human Tan
116,Diplomat #116,194,292.385,7,Vee Firm,Steelknit,Steel Portal,Royal,Prisi Mask,Shinigami,Human Dark
150,Diplomat #150,194,292.385,7,Glo Grip,Rich Kid Punk,Blue Portal,Royal,Dynastro,Kudan,Human Tan
255,Diplomat #255,194,292.385,7,Forespike,Naucloth,Gold Portal,Royal,Shogunata Teal,Tsukuyomi,Human Light
1038,Diplomat #1038,194,292.385,7,Forespike,Vanguard Lite,Grey Wave,Royal,Oval Bead,Tsukuyomi,Human Tan
1278,Diplomat #1278,194,292.385,7,Forespike,McFly Black,Blue Portal,Royal,Visor Amaterasu,Ubume,Human Light
1823,Diplomat #1823,194,292.385,7,Vee Firm,Imitation McFly,Blue Wave,Royal,Copper Amaterasu,Enenra,Human Dark
2378,Diplomat #2378,194,292.385,7,Forespike,Vanguard Lite,Steel Portal,Royal,Copper Amaterasu,Uwan,Human Light
2978,Diplomat #2978,194,292.385,7,Glo Grip,Steelknit,Purple Portal,Royal,Dynastro,Samebito,Human Tan
2985,Diplomat #2985,194,292.385,7,Corsaira Jade,Jettison Jacket,Gold Portal,Royal,Visor Amaterasu,Ningen,Human Light
3419,Diplomat #3419,194,292.385,7,Forespike,Strapped Vest,Pink Wave,Royal,Bronze Crown,Jami,Redborn
4160,Diplomat #4160,194,292.385,7,Corsaira Jade,Blue Cloak,Purple Portal,Royal,Ice Amaterasu,Ningen,Human Tan
4233,Diplomat #4233,194,292.385,7,Vee Firm,Strapped Vest,Grey Wave,Royal,Copper Amaterasu,Ubume,Human Light
972,Diplomat #972,206,291.3805494506,7,Ragnarake,Ragged Wear,HiDef,Statesman,Orivac Blue,Teke Teke,Human Tan
3714,Diplomat #3714,207,291.0864285714,7,Shimonti Spike,McFly Black,Gold Portal,Royal,Shogunata Ice,Uwan,Tiger Born
