ID,Name,Rank,Rarity_Score,Arms,Attributes,Background,Bandana,Eyes,Grill,Head,Nose,Skin,Torso,Tribe,Wings
249,Flux #249,30,659.357996629,5k Armour,11,Tribal Green Goblin,Crips,Chill,Purps,3rd Eye Fly,Honour Bone,Ocean Print,Furrr,Creative Creatures,Stock Cap
222,Flux #222,31,656.2045752026,Golden Eggs,11,Tribal Blue Dreams,Cheetah Gang,Hornet,5k Grill,Demigod,Tracks,Tangerine,Thug Life,Deviant Devs,NY Fat
185,Flux #185,32,649.8474037268,5k Armour,11,Tribal Blue Dreams,Sunny Side,Crimson Night,Minty Fresh,Universal Banana,Smol,Fingerprint,Hungry,Yesterdays Children,Panther Buff
221,Flux #221,33,645.2371488677,none,10,Tribal Sunny,Minty Fresh,Shadow Warrior,Tribal,Gas Wars 21,Smol,Panther,Meta Clouds,Late Night Lurkers,NY Fat
92,Flux #92,34,639.7592362382,Pinkish,11,Tribal Pinky Power,Magneto,Concrete,5k Grill,Happy Camper,Tracks,Overcast,Baller,Blockchain Vandals,Patchwork Golden
197,Flux #197,35,626.1245875982,Vines,11,Regz,Cheetah Gang,Emerald Gaze,5k Grill,Basic Back Up,Smol,Overcast,Hungry,Fatcap Fanatics,Ocean Buff
234,B.A.,36,624.9600155031,5k Armour,9,Tribal Minty Fresh,none,Shadow Warrior,Blueprint,3rd Eye Laker,Jr Bone,Panther,Panther Furrr,Future Primitives,none
268,Flux #268,37,618.3719570311,5k Armour,10,Tribal Minty Fresh,none,Night Vision,Shattered,Wood Stock,Staunch,Pinky Power,Baller,Meta Maker,Mint Buff
13,Flux #13,38,613.4660898349,Sensei Armour,11,Tribal Sunny,Minty Fresh,Hornet,OG,Floater,Tracks,Minty Fresh,Meta Clouds,Fatcap Fanatics,Archangel
61,Flux #61,39,610.1510238129,Golden Eggs,11,Tribal Sunny,Cheetah Gang,Crimson Night,Minty Fresh,Hardcore Fat,Honour Bone,Khaki,Furrr,Trackside Tyrants,Patchwork Golden
284,Flux #284,40,606.0128939255,5k Droids,10,Minty Fresh,none,Shade,Purps,Bull Run,Honour Bone,Fingerprint,Baller,Fatcap Fanatics,Archangel
9,Flux #9,41,589.6682036649,Ceremonial,10,Tribal Sunny,Crips,All Seeing Eye,Berry,Bull Run,Bullish Golden,Ocean Print,Thug Life,Creative Creatures,none
78,Flux #78,42,586.4520454607,Sensei Armour,10,Tribal Regz,none,3rd Eye Trust,Drippy,Angel,Golden Bone,Underwater,Thug Life,Yesterdays Children,Patchwork Golden
59,Flux #59,43,584.4583482308,Fury,10,Tribal Purple Haze,none,Blind King,Purps,Demigod,Jr Bone,Underwater,Meta Clouds,Deviant Devs,Damascus
137,Flux #137,44,571.3564608609,Ceremonial,11,Tribal Purple Haze,Crips,Shadow Warrior,Minty Fresh,3rd Eye Fly,Worship,Urban Camo,Thug Life,Fatcap Fanatics,Mint Buff
155,Flux #155,45,569.1801213558,5k Armour,11,Khaki,Magneto,Glazed,GM,3rd Eye Laker,Honour Bone,Animal Chin,Hungry,420 Familia,Stock Cap
199,B-SIDE aka Mr. Brightside,46,565.2318072124,420,10,Tribal Sunny,Magneto,Pink Eye,Panther,Angel,Bullish Silver,Animal Chin,Yeah Dope,Future Primitives,none
343,Flux #343,47,559.775417136,Warrior,11,Sunny,Cheetah Gang,Shade,Bandaged,Basic Back Up,Worship,Golden,JPEGS,Yesterdays Children,Ocean Buff
53,Flux #53,48,554.6559872672,Sensei Armour,11,Tribal Purple Haze,Crips,Headset,Panther,Lurkers,Honour Bone,Sunny,Thug Life,Blockchain Vandals,Level Up
171,Flux #171,49,550.4875075138,Earth Worship,11,Tribal Khaki,Sunny Side,Golden Mask,Drippy,3rd Eye Laker,Bullish Golden,Grimm,Meta Clouds,Deviant Devs,Level Up
44,Flux #44,50,547.4721906482,Sicheezy Armour,11,Minty Fresh,Crips,Laker,5k Grill,Basic Back Up,Phat,Fingerprint,Hungry,Meta Maker,Archangel
208,Flux #208,51,545.8992931303,420,10,Tribal Purple Haze,none,SUS,Dope Grill,Dragon Fly,Bullish Silver,Underwater,Hungry,Meta Maker,Patchwork Golden
70,Flux #70,52,543.7032396539,Lurkers,11,Tribal Sunny,Magneto,Shadow Warrior,Drippy,Cheetah,Tracks,Overcast,OG Flux,Meta Maker,Demigod
238,Flux #238,53,541.1308653132,Fury,11,Tribal Regz,Sunny Side,Concrete,Kush,OG Bucket,Phat,Fingerprint,Baller,Blockchain Vandals,Archangel
96,Flux #96,54,540.0203886403,5k Droids,11,Regz,Cheetah Gang,Concrete,Drippy,Lurkers,Bullish Silver,Animal Chin,Meta Clouds,Trackside Tyrants,Damascus
216,Flux #216,55,539.9867739197,5k Armour,11,Regz,Sunny Side,Headset,Shattered,Buck Teeth,Bullish Golden,Pinky Power,JPEGS,Trackside Tyrants,Level Up
229,Flux #229,56,537.6874251146,Fury,11,Tribal Green Goblin,Magneto,Shade,Panther,Demigod,Golden Bone,Overcast,Panther Furrr,Deviant Devs,Archangel
451,Flux #451,57,536.2555309388,Golden Eggs,10,Tribal Pinky Power,Crips,Shade,Bandaged,Gas Wars 21,Golden Bone,Sunny,none,Trackside Tyrants,Demigod
56,Flux #56,58,536.1642051559,5k Droids,11,Blue Dreams,Sunny Side,3rd Eye Bugged,Minty Fresh,Happy Camper,Smol,Leopard,Meta Clouds,420 Familia,Panther Buff
156,Flux #156,59,530.3898966962,Fire Signs,11,Green Goblin,Minty Fresh,Shade,Sativa,Hardcore Fat,Golden Bone,Golden,JPEGS,Future Primitives,Panther Buff
58,Flux #58,60,526.7721325676,5k Droids,11,Tribal Blue Dreams,Crips,Glazed,Gold Digger,Lurkers,Staunch,Leopard,Meta Clouds,Creative Creatures,Level Up
184,Flux #184,61,521.1527968749,Golden Eggs,11,Tribal Sunny,Cheetah Gang,Emerald Gaze,Drippy,Bull Run,Phat,Urban Camo,Suede,Fatcap Fanatics,Patchwork Golden
119,Flux #119,62,518.9785674027,Rope Bind,11,Tribal Sunny,Cheetah Gang,All Seeing Eye,Purps,Buck Teeth,Worship,Pinky Power,Yeah Dope,Trackside Tyrants,Level Up
252,Flux #252,63,518.414412978,Sicheezy Armour,11,Tribal Regz,Crips,Flame Walker,GM,Horny,Tracks,Minty Fresh,Yeah Dope,Creative Creatures,Panther Buff
37,Flux #37,64,516.2497279789,420,11,Pinky Power,Sunny Side,Shade,Minty Fresh,Fluxing,Worship,Pinky Power,Yeah Dope,Future Primitives,Mint Buff
35,Flux #35,65,509.9440068578,Sensei Armour,11,Tribal Regz,Cheetah Gang,Golden Eye,Dope Grill,3rd Eye Fly,Tracks,Minty Fresh,Furrr,Fatcap Fanatics,Damascus
66,Flux #66,66,507.3670165117,Regulators,11,Tribal Minty Fresh,Crips,Shade,Blueprint,HODL,Phat,Urban Camo,Suede,Fatcap Fanatics,Demigod
126,Flux #126,67,506.7553515027,5k Droids,11,Tribal Blue Dreams,Sunny Side,Flame Walker,Minty Fresh,Marker,Worship,Urban Camo,Thug Life,Trackside Tyrants,Ocean Buff
226,Flux #226,68,506.715710081,5k Droids,11,Tribal Pinky Power,Crips,Woke,Dope Grill,Universal Banana,Smol,Purple Haze,Gold Tooth,420 Familia,Patchwork Golden
394,New Jack City,69,506.0425414216,Rope Bind,11,Tribal Pinky Power,Magneto,Shade,Gold Digger,Dragon Fly,Staunch,Overcast,OG Flux,Future Primitives,Archangel
26,Flux #26,70,500.8707937137,5k Droids,11,Tribal Minty Fresh,Cheetah Gang,Blind King,Berry,Basic Back Up,Honour Bone,Hulk,Strong,Blockchain Vandals,Stock Cap
181,Flux #181,71,498.3816546661,420,11,Regz,Sunny Side,Shade,OG,REKT,Tracks,Fingerprint,Furrr,Fatcap Fanatics,Demigod
31,Flux #31,72,495.9226646494,Golden Eggs,11,Tribal Purple Haze,Sunny Side,Husky,Dope Grill,Hardcore Fat,Smol,Purple Haze,Suede,Blockchain Vandals,Level Up
160,Flux #160,73,487.2059111639,Sensei Armour,11,Tribal Regz,Magneto,3rd Eye Woke,Kush,3rd Eye Fly,Worship,Overcast,Baller,Creative Creatures,Patchwork Golden
43,Flux #43,74,485.573382774,5k Droids,11,Blue Dreams,Cheetah Gang,Blasted,GM,OG Bucket,Phat,Urban Camo,Strong,Future Primitives,NY Fat
165,Flux #165,75,483.8762554497,Handstyles,11,Tribal Purple Haze,Crips,Night Vision,Blood Orange,3rd Eye Fly,Jr Bone,Pinky Power,Baller,Late Night Lurkers,Damascus
698,Flux #698,76,480.2445859757,Sensei Armour,10,Tribal Regz,Crips,Pink Eye,Blueprint,Demigod,Staunch,Ocean Print,Hungry,Future Primitives,none
205,Flux #205,77,478.827557471,Sensei Armour,10,Tribal Purple Haze,Minty Fresh,Chill,Cracked Gold,Basic Back Up,Staunch,Panther,none,Late Night Lurkers,Patchwork Golden
255,Flux #255,78,474.9960924847,Sensei Armour,11,Tribal Regz,Minty Fresh,Headset,Cracked Gold,Demigod,Jr Bone,Urban Camo,Strong,Fatcap Fanatics,Patchwork Golden
87,Flux #87,79,473.8705117828,Fire Signs,11,Tribal Regz,Sunny Side,Liquid Lust,GM,Drippy,Phat,Animal Chin,Gold Tooth,Trackside Tyrants,Demigod
118,Flux #118,80,473.6364839266,Fire Signs,11,Tribal Purple Haze,Magneto,Liquid Lust,Tribal,Drippy,Staunch,Khaki,Strong,Late Night Lurkers,Demigod
135,Flux #135,81,473.358817225,5k Droids,11,Tribal Minty Fresh,Minty Fresh,Husky,Tribal,Stoned,Tracks,Pinky Power,JPEGS,Trackside Tyrants,Panther Buff
69,Flux #69,82,471.4437886314,Ceremonial,11,Tribal Regz,Sunny Side,Blind King,Cheetah Laker,Stoned,Phat,Purple Haze,Hungry,Late Night Lurkers,Stock Cap
125,Flux #125,83,470.1163076509,Regulators,10,Tribal Purple Haze,Magneto,Flame Walker,Purps,3rd Eye Fly,Honour Bone,Stone,OG Flux,Meta Maker,none
350,Flux #350,84,469.8464775045,5k Droids,11,Tribal Green Goblin,Minty Fresh,Concrete,Gold Digger,Floater,Bullish Silver,Minty Fresh,Strong,Trackside Tyrants,Demigod
63,Flux #63,85,468.5039123083,Earth Worship,10,Minty Fresh,none,Golden Mask,Panther,Buck Teeth,Bullish Golden,Ocean Print,Meta Clouds,Blockchain Vandals,Archangel
81,FlankStank,86,468.2588448435,Lurkers,11,Minty Fresh,Sunny Side,Laker,Blueprint,OG Bucket,Worship,Grape,Meta Clouds,Yesterdays Children,Ocean Buff
187,Flux #187,87,467.0190079629,Tribal Signs Armour,11,Tribal Regz,Crips,Hornet,Dope Grill,Universal Banana,Bullish Golden,Grape,Panther Furrr,Yesterdays Children,NY Fat
54,Flux #54,88,466.7315616879,Regulators,11,Tribal Regz,Crips,Chill,Kush,Hardcore Fat,Bullish Golden,Tangerine,Baller,Deviant Devs,Archangel
424,Flux #424,89,466.3877632879,Sensei Armour,11,Purple Haze,Sunny Side,Shade,Cracked Gold,Horny,Worship,Panther,JPEGS,420 Familia,Mint Buff
288,Flux #288,90,466.3740054386,Handstyles,11,Green Goblin,Cheetah Gang,Golden Mask,Shattered,Wood Stock,Worship,Stone,Thug Life,420 Familia,Patchwork Golden
116,Flux #116,91,465.8292531721,Fire Signs,11,Tribal Pinky Power,Magneto,Blasted,Gold Digger,OG Bucket,Honour Bone,Khaki,Meta Clouds,Creative Creatures,NY Fat
415,Flux #415,92,464.9564897491,Cheetah,11,Tribal Minty Fresh,Cheetah Gang,Golden Eye,Smile,OG Bucket,Bullish Golden,Underwater,Thug Life,Blockchain Vandals,Mint Buff
335,Flux #335,93,464.3883836994,Rope Bind,11,Blue Dreams,Sunny Side,Golden Mask,Tribal,Horny,Bullish Golden,Golden,Furrr,Creative Creatures,Mint Buff
94,Flux #94,94,462.3573610934,Sensei Armour,11,Tribal Purple Haze,Minty Fresh,Night Vision,Drippy,Cheetah,Honour Bone,Stone,Panther Furrr,Yesterdays Children,Demigod
317,Flux #317,95,458.3374841469,Warrior,10,Khaki,none,Shade,Shattered,Fluxing,Jr Bone,Pinky Power,Panther Furrr,Yesterdays Children,Ocean Buff
67,Flux #67,96,456.5263327357,5k Droids,10,Tribal Pinky Power,none,Laker,Minty Fresh,Wood Stock,Bullish Silver,Khaki,Gold Tooth,420 Familia,Stock Cap
217,Flux #217,97,454.3737898721,Sensei Armour,9,Tribal Regz,none,3rd Eye Woke,Gold Digger,HODL,Honour Bone,Panther,Yeah Dope,Future Primitives,none
339,GoldenEye,98,453.818859363,Lurkers,11,Pinky Power,Cheetah Gang,Crimson Night,Dope Grill,Stoned,Golden Bone,Golden,OG Flux,Future Primitives,Archangel
338,Flux #338,99,452.0898817223,Sensei Armour,11,Tribal Pinky Power,Cheetah Gang,Golden Mask,GM,Drippy,Honour Bone,Tangerine,OG Flux,Fatcap Fanatics,Mint Buff
1674,Flux #1674,100,452.0837444239,Handstyles,9,Tribal Purple Haze,none,Shadow Warrior,Purps,Marker,Staunch,Purple Haze,Gold Tooth,Yesterdays Children,none
433,Flux #433,101,452.0826869452,Fury,11,Tribal Green Goblin,Minty Fresh,Blind King,Panther,Horny,Golden Bone,Golden,Hungry,Deviant Devs,Ocean Buff
239,HeavyPressure,102,449.178448908,5k Droids,10,Regz,Crips,3rd Eye Trust,Smile,OG Bucket,Worship,Sunny,Hungry,Blockchain Vandals,none
150,Flux #150,103,443.9609416578,Handstyles,11,Tribal Khaki,Minty Fresh,Golden Mask,Kush,Angel,Honour Bone,Tangerine,Suede,420 Familia,Ocean Buff
33,Flux #33,104,440.8820126703,Tribal Signs Armour,11,Tribal Khaki,Minty Fresh,Crimson Night,Smile,Happy Camper,Smol,Golden,Gold Tooth,Blockchain Vandals,Demigod
287,Flux #287,105,440.673907892,5k Droids,11,Khaki,Cheetah Gang,Hornet,Panther,Basic Back Up,Smol,Panther,Furrr,Deviant Devs,Demigod
534,Cђeddⱥr,106,439.6771002723,Regulators,11,Orange Kush,Cheetah Gang,Golden Mask,Drippy,Bull Run,Worship,Golden,Gold Tooth,Yesterdays Children,Panther Buff
183,Flux #183,107,437.5058853982,Handstyles,11,Tribal Green Goblin,Sunny Side,Pink Eye,Purps,Horny,Bullish Golden,Pool,Meta Clouds,Deviant Devs,Demigod
355,Flux #355,108,433.3279511041,Vines,11,Orange Kush,Cheetah Gang,Golden Mask,Shattered,OG Bucket,Bullish Golden,Tangerine,Suede,Yesterdays Children,NY Fat
112,Flux #112,109,431.4581864782,Pinkish,10,Tribal Green Goblin,none,Golden Mask,Smile,REKT,Staunch,Ocean Print,Strong,Meta Maker,Stock Cap
25,Flux #25,110,431.3164156512,Lurkers,11,Pinky Power,Cheetah Gang,Blasted,Panther,3rd Eye Laker,Smol,Ocean Print,Meta Clouds,Fatcap Fanatics,Mint Buff
295,Flux #295,111,423.808745698,420,11,Regz,Sunny Side,Crimson Night,Gold Digger,Happy Camper,Bullish Golden,Minty Fresh,Thug Life,Blockchain Vandals,Demigod
568,Flux #568,112,423.0176161948,420,11,Tribal Pinky Power,Sunny Side,Crimson Night,Blood Orange,Angel,Phat,Leopard,Yeah Dope,Fatcap Fanatics,Panther Buff
259,Flux #259,113,419.3071789988,Golden Eggs,11,Green Goblin,Minty Fresh,Shade,Blueprint,Basic Back Up,Jr Bone,Overcast,OG Flux,Late Night Lurkers,Stock Cap
405,Flux #405,114,418.3414873761,Pinkish,11,Pinky Power,Sunny Side,Shade,Shattered,Hardcore Fat,Staunch,Khaki,Hungry,Deviant Devs,Stock Cap
214,Flux #214,115,417.7077964311,Vines,11,Tribal Pinky Power,Cheetah Gang,Chill,OG,Happy Camper,Phat,Pool,Meta Clouds,Deviant Devs,Damascus
266,Flux #266,116,414.9085884198,Golden Eggs,11,Blue Dreams,Sunny Side,Shade,Tribal,Drippy,Honour Bone,Stone,Panther Furrr,Blockchain Vandals,Mint Buff
274,Flux #274,117,414.7589623721,5k Droids,11,Khaki,Cheetah Gang,All Seeing Eye,Blood Orange,Cheetah,Bullish Silver,Pool,Hungry,Yesterdays Children,Stock Cap
511,Techno Viking,118,412.0051141091,Lurkers,10,Tribal Green Goblin,none,Night Vision,Berry,Bull Run,Smol,Golden,Suede,Blockchain Vandals,Demigod
103,Flux #103,119,411.8100520396,Earth Worship,10,Minty Fresh,Minty Fresh,Shade,Dope Grill,Panther Print,Phat,Urban Camo,Panther Furrr,Trackside Tyrants,none
64,Flux #64,120,411.5335368351,5k Droids,11,Tribal Blue Dreams,Crips,Woke,Bandaged,Stoned,Smol,Tangerine,Furrr,Meta Maker,Stock Cap
15,Flux #15,121,410.3891910315,Regulators,11,Pinky Power,Minty Fresh,Shade,Smile,Lurkers,Phat,Grimm,Suede,420 Familia,Panther Buff
121,Flux #121,122,407.499740468,Ceremonial,10,Tribal Khaki,none,Golden Mask,Blood Orange,Drippy,Bullish Golden,Tangerine,Strong,420 Familia,Damascus
162,Flux #162,123,398.9688923714,5k Droids,11,Blue Dreams,Crips,Glazed,OG,Lurkers,Bullish Golden,Pinky Power,Suede,Meta Maker,Mint Buff
280,Flux #280,124,397.7266310902,XTZS,11,Tribal Green Goblin,Minty Fresh,3rd Eye Bugged,Blueprint,HODL,Smol,Golden,Suede,Trackside Tyrants,Level Up
325,Flux #325,125,397.6811652004,Lurkers,11,Tribal Green Goblin,Sunny Side,Crimson Night,Shattered,Wood Stock,Bullish Golden,Minty Fresh,Baller,Deviant Devs,Level Up
113,Flux #113,126,396.7635033648,XTZS,11,Tribal Khaki,Minty Fresh,Shadow Warrior,Blueprint,Stoned,Golden Bone,Golden,Suede,Blockchain Vandals,Demigod
500,Flux #500,127,394.6595297743,none,10,Tribal Blue Dreams,Minty Fresh,Golden Mask,Minty Fresh,Wood Stock,Golden Bone,Purple Haze,Suede,Blockchain Vandals,Ocean Buff
233,Phil Bucket aka. LL Cool Spray,128,392.6775265824,XTZS,11,Khaki,Cheetah Gang,3rd Eye Trust,Drippy,OG Bucket,Jr Bone,Golden,Hungry,Yesterdays Children,Patchwork Golden
71,Flux #71,129,389.4219965858,Lurkers,11,Tribal Green Goblin,Crips,Headset,Panther,OG Bucket,Worship,Leopard,Panther Furrr,Deviant Devs,Panther Buff
333,Flux #333,130,387.9541229133,Golden Eggs,11,Tribal Minty Fresh,Cheetah Gang,Crimson Night,Bandaged,3rd Eye Fly,Bullish Silver,Fingerprint,OG Flux,Late Night Lurkers,Level Up
440,Flux #440,131,386.0189029131,Fire Signs,11,Tribal Pinky Power,Crips,Hornet,OG,Bull Run,Golden Bone,Stone,Thug Life,Yesterdays Children,Archangel
173,Flux #173,132,384.4047070336,5k Droids,11,Minty Fresh,Sunny Side,Blasted,GM,Wood Stock,Bullish Silver,Purple Haze,OG Flux,Yesterdays Children,Damascus
453,Flux #453,133,384.0993149385,Lurkers,10,Tribal Pinky Power,none,Shadow Warrior,OG,Happy Camper,Tracks,Golden,Furrr,Meta Maker,Level Up
502,Flux #502,134,383.2754321671,Fury,10,Sunny,Crips,Golden Mask,Gold Digger,Horny,Tracks,Underwater,none,Trackside Tyrants,Demigod
320,Flux #320,135,382.8866573034,Sicheezy Armour,10,Tribal Khaki,Cheetah Gang,3rd Eye Bugged,Cheetah Laker,Horny,Smol,Ocean Print,none,Meta Maker,Damascus
45,Flux #45,136,382.4254097367,Sensei Armour,10,Tribal Khaki,none,Flame Walker,Purps,Drippy,Worship,Stone,Meta Clouds,Deviant Devs,Patchwork Golden
218,Flux #218,137,381.2153728175,Pinkish,10,Tribal Khaki,Crips,All Seeing Eye,Drippy,Angel,Phat,Overcast,Meta Clouds,Deviant Devs,none
90,Flux #90,138,380.4271003687,none,9,Regz,Cheetah Gang,Blasted,Sativa,Horny,Phat,Grape,Meta Clouds,Blockchain Vandals,none
225,Flux #225,139,377.5038793983,Rope Bind,11,Orange Kush,Minty Fresh,All Seeing Eye,Cracked Gold,OG Bucket,Staunch,Khaki,Meta Clouds,Fatcap Fanatics,Stock Cap
277,Flux #277,140,375.2918041982,Regulators,11,Tribal Green Goblin,Cheetah Gang,Headset,Dope Grill,3rd Eye Laker,Jr Bone,Golden,Furrr,Meta Maker,Level Up
329,Flux #329,141,373.4221679412,Earth Worship,11,Tribal Khaki,Crips,3rd Eye Bugged,Blueprint,REKT,Honour Bone,Ocean Print,Thug Life,Trackside Tyrants,Stock Cap
404,Flux #404,142,372.1340552694,Tribal Signs Armour,11,Tribal Khaki,Sunny Side,Laker,Drippy,Stoned,Bullish Silver,Golden,JPEGS,Future Primitives,Ocean Buff
471,Flux #471,143,371.8484661258,Cheetah,11,Tribal Green Goblin,Minty Fresh,Scanner,Berry,Marker,Staunch,Grimm,Hungry,Blockchain Vandals,Ocean Buff
243,Flux #243,144,369.8100344512,none,10,Tribal Minty Fresh,Sunny Side,Scanner,OG,Marker,Bullish Golden,Stone,Suede,Deviant Devs,Ocean Buff
152,Flux #152,145,367.8687160912,Sensei Armour,11,Tribal Khaki,Cheetah Gang,Crimson Night,Blueprint,Angel,Worship,Stone,Suede,Trackside Tyrants,Archangel
397,Flux #397,146,367.0365740776,Sensei Armour,11,Tribal Green Goblin,Minty Fresh,Night Vision,Dope Grill,3rd Eye Fly,Honour Bone,Purple Haze,Thug Life,Deviant Devs,Panther Buff
314,Flux #314,147,364.2883009602,Golden Eggs,11,Tribal Blue Dreams,Minty Fresh,Golden Mask,Tribal,Happy Camper,Golden Bone,Grimm,JPEGS,Deviant Devs,Archangel
550,Flux #550,148,363.4724034164,Pinkish,10,Pinky Power,Sunny Side,Golden Mask,Sativa,Buck Teeth,Golden Bone,Purple Haze,Baller,420 Familia,none
241,Flux #241,149,362.3394667253,Sicheezy Armour,11,Tribal Green Goblin,Sunny Side,Flame Walker,Shattered,Cheetah,Bullish Golden,Urban Camo,Thug Life,Trackside Tyrants,Level Up
153,Flux #153,150,361.6905901009,Sensei Armour,10,Purple Haze,Cheetah Gang,Woke,Berry,OG Bucket,Staunch,Pool,Thug Life,Fatcap Fanatics,none
953,Flux #953,151,361.2963961293,XTZS,11,Tribal Pinky Power,Magneto,Headset,Tribal,OG Bucket,Bullish Golden,Pinky Power,OG Flux,Meta Maker,Demigod
377,Flux #377,152,360.3545001007,Lurkers,11,Purple Haze,Sunny Side,Cyclops Mask,Blood Orange,Horny,Jr Bone,Golden,Furrr,Yesterdays Children,Archangel
319,Flux #319,153,358.6438448639,Pinkish,11,Tribal Green Goblin,Crips,Headset,Purps,Universal Banana,Bullish Silver,Khaki,Thug Life,Future Primitives,Level Up
