ID,Name,Rank,Rarity_Score,Accessory,Attributes,Aura,Background,Bling,Body,Face,Hair,Hand,Hat,Head,Stress,Tool
251,GOGO #251,40,434.9607807643957,,8,Yellow,Marsh,,Denim Vest,Ripped,Blue,Mace,,Flushed,10,
2536,GOGO #2536,41,427.2839021779168,Red Scarf,11,Blue and Orange,Desert,Sword,Chef,Happy,Bowl,Fist,Spikes,Ashen,3,
3651,GOGO #3651,42,381.0107893246697,,8,Blue,Marsh,,Armour,Scuba,,Dagger,Nightcap,Purple Goblin,11,
1657,GOGO #1657,43,370.94175918604043,,8,Blue,Swamp,,Skully,Ghoul,,Roboto,Nightcap,Purple Goblin,9,
4971,GOGO #4971,44,370.39881655237116,Headset,11,Blue,Hell,Chain,Armour,Vampire,Blue,Torch,Crown,Cat,7,
1699,GOGO #1699,45,352.3922140786213,,8,Blue,Desert,,Skully,Roboto,,Dagger,Nightcap,Purple Goblin,9,
4475,GOGO #4475,46,351.8363636971606,Red Scarf,9,Yellow,Desert,,Polo,Vampire,Yellow,,,Bear,1,Sword
374,GOGO #374,47,347.9826004537252,Headset,9,Red,Earth,,Denim Vest,Laughing,Bubblegum,Dagger,,Peachy,11,
2888,GOGO #2888,48,347.55387262041063,Red Scarf,9,Blue,Desert,,Denim Vest,Bear,Red,OK,,Peachy,8,
4784,GOGO #4784,49,343.18741426183226,,9,Red,Hell,,Armour,Unimpressed,Blue,Dagger,Padded,Blue,11,
1061,GOGO #1061,50,341.75608779488533,Headset,10,Yellow,Crash Site,,Skully,Bear,Red,Torch,,Peachy,9,Wrench
4594,GOGO #4594,51,341.23727733592807,,7,Red,Swamp,,Armour,Ghoul,,Fist,,Imp,9,
3482,GOGO #3482,52,339.3997998539261,,8,Red,Forest,,Denim Vest,Ghoul,,Roboto,Bucket,Purple Goblin,11,
5026,GOGO #5026,53,336.1455510136472,,8,Blue and Orange,Swamp,,Denim Vest,Scuba,Black,Birdy,,Zombie,11,
2447,GOGO #2447,54,335.74757337732234,,8,Red,Hell,Sword,Chef,,Black,Flames,,Skull,11,
3783,GOGO #3783,55,335.6760169946907,,8,Blue and Orange,Crash Site,,Dinosaur,Tripping,Blue,Roboto,,Blue,11,
1290,GOGO #1290,56,335.49781204740935,,8,Yellow,Forest,,Armour,,Bowl,Fist,Spikes,Skull,11,
1419,GOGO #1419,57,333.5998887700763,Headset,10,Blue,Crash Site,Chain,Denim Vest,Disgusted,,Skull,Padded,Flushed,9,
3219,GOGO #3219,58,332.8744158850954,,8,Yellow,Hell,,Dinosaur,Bear,Green,,,Blue Goblin,11,Sword
3216,GOGO #3216,59,331.4497617849861,Headset,11,Yellow,Marsh,Chain,Space Jacket,Vampire,Yellow,Flames,Crown,Bear,5,
2283,GOGO #2283,60,331.3842871493466,,9,Red,Hell,Chain,Chef,Angry,,Claw,Padded,Blue Goblin,11,
1090,GOGO #1090,61,331.1432733387014,Blue Scarf,9,Blue and Orange,Mountain,,Zombie,Vampire,Yellow,,,Bear,3,Wrench
2967,GOGO #2967,62,329.37426809816856,,7,Blue,Swamp,,Hoodie,Disgusted,,OK,,Imp,11,
3830,GOGO #3830,63,327.9141583519747,,7,Blue and Orange,Marsh,,Hoodie,Mask,,,Padded,Ashen,11,
2180,GOGO #2180,64,324.8318454272517,,9,Blue and Orange,Desert,,Denim Vest,Laughing,Red Punk,Birdy,Spikes,Flushed,11,
2877,GOGO #2877,65,324.2254555987186,Headset,10,Yellow,Crash Site,Chain,Denim Vest,Ghoul,Blue,OK,,Blue Goblin,9,
5159,GOGO #5159,66,322.73963992018315,,9,Blue and Orange,Desert,,Hoodie,Angry,Blue,OK,Crown,Cat,9,
909,GOGO #909,67,321.79885018281914,Headset,9,Blue,Hell,,Chef,Happy,Blue,Fist,,Blue,9,
5187,GOGO #5187,68,321.4780567490198,,8,Red,City,,Onesie,Roboto,Blue,,,Peachy,11,Skull
1088,GOGO #1088,69,321.16057553554697,,11,Blue,Swamp,Chain,Denim Vest,Raging,Blue Punk,OK,Spikes,Flushed,7,Sword
2805,GOGO #2805,70,320.2279410297533,Red Scarf,9,Blue and Orange,Marsh,,Armour,Happy,Blue,Roboto,,Flushed,7,
4151,GOGO #4151,71,320.14004606679634,Red Scarf,9,Blue,Forest,,Skully,Bear,,Claw,Bucket,Ashen,6,
2126,GOGO #2126,72,320.0581816560953,Headset,11,Blue,Island,Chain,Onesie,Laughing,Yellow,,Crown,Bear,3,Wrench
294,GOGO #294,73,320.0171885017977,Blue Scarf,10,Yellow,City,Chain,Space Jacket,Bear,Red,Phone,,Peachy,7,
4228,GOGO #4228,74,316.8852853370361,,8,Blue and Orange,Earth,Chain,Chef,,Red Punk,Torch,,Skull,9,
2141,GOGO #2141,75,316.3241172731695,,9,Red,Swamp,Chain,Hoodie,Shocked,Red Punk,Birdy,,Flushed,11,
2560,GOGO #2560,76,315.7806123311196,Red Scarf,10,Red,Hell,Chain,Space Jacket,Happy,,Phone,Bucket,Ashen,5,
3361,GOGO #3361,77,314.4445165893937,Headset,11,Blue,City,Chain,Onesie,Raging,Yellow,,Crown,Bear,1,Wrench
240,GOGO #240,78,312.55886898583344,Red Scarf,9,Blue,Swamp,,Denim Vest,Vampire,Yellow,OK,,Bear,3,
648,GOGO #648,79,312.091912222504,Headset,10,Blue,Swamp,,Skully,Laughing,Red,OK,,Peachy,9,Wrench
5389,GOGO #5389,80,308.5909695524286,,7,Blue,Marsh,,Chef,,Red Punk,Flames,,Skull,9,
458,GOGO #458,81,308.2428171433393,,8,Yellow,Marsh,,Dinosaur,Angry,Black,Torch,,Zombie,9,
2691,GOGO #2691,82,306.6352661583188,,8,Yellow,Desert,,Armour,Roboto,Purple,Mace,,Blue Goblin,11,
4593,GOGO #4593,83,306.628410617658,Headset,11,Red,Swamp,Sword,Denim Vest,Disgusted,Yellow,Fist,Crown,Bear,5,
4416,GOGO #4416,84,305.303977690283,,9,Blue and Orange,Swamp,Chain,Armour,Bear,Red,Fist,,Flushed,11,
4040,GOGO #4040,85,305.2904352222432,,9,Yellow,Forest,,Skully,Ghoul,Black,,Helmet,Zombie,2,Wrench
3840,GOGO #3840,86,305.0669924654127,Headset,11,Blue,Hell,Chain,Dinosaur,Ripped,Blue,Claw,Crown,Cat,4,
5092,GOGO #5092,87,304.7157798199654,Red Scarf,9,Blue,City,,Armour,Bear,Yellow,OK,,Bear,1,
3359,GOGO #3359,88,304.6765099605933,Headset,7,Yellow,Desert,,Armour,,,Fist,,Skull,11,
4873,GOGO #4873,89,304.3799751209982,,8,Yellow,Desert,,Armour,Laughing,,Phone,Helmet,Peachy,7,
4338,GOGO #4338,90,304.22911047583415,Red Scarf,10,Red,Crash Site,Sword,Chef,Bear,Black,Torch,,Peachy,4,
469,GOGO #469,91,303.3532643262246,Headset,11,Yellow,Mountain,,Polo,Shocked,Black,Flames,Bucket,Flushed,1,Sword
4168,GOGO #4168,92,302.0858733382201,,8,Red,Swamp,,Armour,Blazed,Blue,Flames,,Flushed,11,
756,GOGO #756,93,300.7999420105538,Headset,9,Blue,Desert,,Denim Vest,Roboto,Purple,Mace,,Blue Goblin,9,
5043,GOGO #5043,94,300.3344727554747,,9,Yellow,Desert,,Onesie,Disgusted,Black,,Helmet,Zombie,5,Skull
526,GOGO #526,95,299.13413159562907,,8,Blue,Desert,,Skully,Blazed,Yellow,Claw,,Blue Goblin,9,
4774,GOGO #4774,96,298.2368525940455,,9,Red,City,,Armour,Vampire,Black,Claw,Helmet,Zombie,1,
4683,GOGO #4683,97,297.2990955803826,,8,Yellow,Marsh,Chain,Hoodie,Ripped,,Phone,,Flushed,11,
2993,GOGO #2993,98,296.1007120276869,Red Scarf,10,Blue,Hell,Sword,Denim Vest,Bear,Green,Roboto,,Peachy,2,
1024,GOGO #1024,99,295.1964742607584,,9,Red,Marsh,Chain,Space Jacket,Shocked,Bowl,Dagger,,Blue Goblin,9,
234,GOGO #234,100,292.59865043532596,,8,Blue,Swamp,Sword,Space Jacket,Disgusted,Red,,,Peachy,11,
4941,GOGO #4941,101,291.90815222066806,,9,Blue and Orange,Desert,Chain,Armour,Blazed,Purple,Dagger,,Flushed,9,
1006,GOGO #1006,102,291.61873972151704,,8,Red,Mountain,Sword,Space Jacket,Tripping,Bowl,,,Ashen,9,
595,GOGO #595,103,290.7964925514091,,8,Yellow,Desert,,Chef,Happy,,OK,Bowler,Flushed,11,
1407,GOGO #1407,104,290.68247574908736,,8,Yellow,Swamp,,Armour,Raging,,Birdy,Padded,Purple Goblin,9,
4453,GOGO #4453,105,290.6101905038097,Red Scarf,10,Blue,Swamp,Chain,Hoodie,Bear,Purple,Skull,,Flushed,4,
2084,GOGO #2084,106,290.22290033279256,,8,Blue and Orange,Marsh,,Chef,Angry,,,Padded,Purple Goblin,9,Wrench
4888,GOGO #4888,107,289.99253136440547,,8,Blue,Marsh,Chain,Space Jacket,Angry,Red,,,Peachy,11,
491,GOGO #491,108,289.9148777971812,Red Scarf,9,Yellow,Desert,,Polo,Happy,,,Bowler,Flushed,1,Sword
2450,GOGO #2450,109,288.374325444394,Red Scarf,9,Blue and Orange,City,,Space Jacket,Bear,Green,Flames,,Ashen,2,
5182,GOGO #5182,110,288.26818992360285,Red Scarf,10,Yellow,Hell,Sword,Denim Vest,Happy,Black,Fist,,Flushed,1,
4345,GOGO #4345,111,287.66702187533,,8,Red,Marsh,,Armour,Roboto,Bowl,Roboto,,Purple Goblin,9,
3419,GOGO #3419,112,287.3044160498248,,10,Blue and Orange,Marsh,Sword,Dinosaur,Laughing,Black,,Helmet,Zombie,1,Skull
908,GOGO #908,113,286.76095061310804,Red Scarf,9,Red,City,,Skully,Bear,,Mace,Crown,Flushed,4,
3406,GOGO #3406,114,286.47851900014797,Headset,9,Blue and Orange,Crash Site,,Denim Vest,Bear,Blue,OK,,Flushed,9,
2204,GOGO #2204,115,286.1229568172913,Red Scarf,9,Blue and Orange,Mountain,,Armour,Happy,Purple,Flames,,Flushed,1,
81,GOGO #81,116,285.026838910085,,8,Blue,Desert,,Denim Vest,Laughing,Bowl,Claw,,Purple Goblin,9,
3529,GOGO #3529,117,284.7212380754351,,8,Blue,Swamp,,Denim Vest,Disgusted,Bowl,Fist,,Peachy,9,
1332,GOGO #1332,118,283.80993153137445,,9,Blue and Orange,Marsh,,Skully,Vampire,Black,,Helmet,Zombie,1,Skull
4252,GOGO #4252,119,283.4495150623615,Blue Scarf,10,Blue,Desert,Sword,Dinosaur,Happy,Purple,,,Flushed,5,Sword
3488,GOGO #3488,120,283.4112982865045,Headset,11,Blue and Orange,City,Chain,Onesie,Laughing,Bowl,,Spikes,Blue Goblin,4,Wrench
3023,GOGO #3023,121,282.93807778924577,,8,Blue,Marsh,,Skully,Ripped,Green,OK,,Purple Goblin,9,
2436,GOGO #2436,122,282.3714936250203,Headset,11,Yellow,Marsh,Sword,Chef,Roboto,Black,Fist,Bowler,Zombie,5,
4827,GOGO #4827,123,282.07130150893397,Headset,11,Red,Forest,Chain,Armour,Laughing,Blue Punk,Flames,Spikes,Flushed,4,
5520,GOGO #5520,124,281.6778522952802,,11,Red,Island,Sword,Chef,Raging,Red Punk,Fist,Spikes,Peachy,4,Skull
3820,GOGO #3820,125,281.0662888145029,Headset,11,Red,Swamp,Sword,Space Jacket,Disgusted,Blue,Skull,Crown,Cat,2,
1588,GOGO #1588,126,279.89298189881276,Headset,9,Blue,Marsh,,Chef,Laughing,Red,OK,,Flushed,9,
1184,GOGO #1184,127,277.5510734745486,,8,Blue,Hell,,Hoodie,Ghoul,,Roboto,Helmet,Blue Goblin,3,
1207,GOGO #1207,128,277.27970588930316,,8,Blue,Forest,,Dinosaur,Vampire,,Skull,Helmet,Purple Goblin,1,
744,GOGO #744,129,276.0445440001269,,7,Yellow,Hell,,Chef,Angry,,OK,,Blue Goblin,9,
913,GOGO #913,130,275.53158896540526,,9,Blue and Orange,Desert,,Skully,Laughing,Black,Birdy,Helmet,Zombie,1,
1772,GOGO #1772,131,273.28309197585486,,11,Blue,Marsh,Sword,Denim Vest,Roboto,Red Punk,Roboto,Spikes,Ashen,2,Sword
5334,GOGO #5334,132,273.2664094416507,,11,Yellow,Desert,Sword,Denim Vest,Vampire,Blue,Roboto,Padded,Blue,2,Skull
4344,GOGO #4344,133,272.2967688592852,,11,Yellow,Desert,Sword,Denim Vest,Ripped,Blue,OK,Bucket,Bot,1,Sword
1730,GOGO #1730,134,271.9674015519897,Blue Scarf,10,Blue,Marsh,Sword,Hoodie,Happy,Purple,Roboto,,Ashen,5,
4303,GOGO #4303,135,271.45933023562924,Blue Scarf,10,Blue and Orange,Forest,Chain,Hoodie,Bear,Blue,Skull,,Ashen,5,
2986,GOGO #2986,136,270.98785914177927,,11,Red,Swamp,Sword,Denim Vest,Angry,Blue,Dagger,Padded,Bot,3,Skull
1449,GOGO #1449,137,270.78811778320505,Headset,11,Yellow,Crash Site,Sword,Denim Vest,Tripping,Blue,Fist,Padded,Blue,1,
3442,GOGO #3442,138,270.6913099597524,Red Scarf,9,Red,Marsh,Chain,Dinosaur,Happy,,,,Peachy,1,Sword
3550,GOGO #3550,139,269.6899250897294,,7,Blue and Orange,Crash Site,,Purple Tee,Ghoul,,,Crown,Demon,8,
3837,GOGO #3837,140,268.9266872357753,Red Scarf,9,Yellow,Marsh,,Skully,Bear,Green,,,Peachy,3,Wrench
5403,GOGO #5403,141,268.61679461755466,,11,Yellow,Hell,Sword,Dinosaur,Laughing,Bowl,OK,Spikes,Peachy,1,Sword
3676,GOGO #3676,142,267.38133388267,Headset,11,Yellow,Hell,,Polo,Angry,Black,Claw,Crown,Flushed,2,Skull
1731,GOGO #1731,143,266.26647684226646,Blue Scarf,10,Red,Forest,,Hoodie,Happy,Bowl,Phone,Spikes,Flushed,1,
2172,GOGO #2172,144,265.7304527860974,,8,Red,Island,,Dinosaur,Disgusted,,Skull,Helmet,Blue Goblin,2,
3127,GOGO #3127,145,265.0683603514317,,9,Blue,Island,Chain,Hoodie,Disgusted,,Dagger,Helmet,Peachy,1,
134,GOGO #134,146,264.9667118046307,Headset,11,Yellow,Swamp,Chain,Dinosaur,Ripped,Black,Skull,Bowler,Zombie,1,
3622,GOGO #3622,147,263.8206255250511,Blue Scarf,10,Red,Marsh,,Denim Vest,Bear,Bowl,Torch,Spikes,Peachy,4,
3031,GOGO #3031,148,263.29004976012146,Headset,11,Blue and Orange,Marsh,Sword,Denim Vest,Raging,Black,Torch,Bucket,Zombie,1,
5352,GOGO #5352,149,263.17924649687507,,9,Blue,City,Chain,Denim Vest,Laughing,,Dagger,Helmet,Flushed,3,
2655,GOGO #2655,150,262.434329536936,Red Scarf,9,Red,Hell,,Skully,Bear,Blue,,,Flushed,2,Skull
4470,GOGO #4470,151,259.5959711034661,Red Scarf,9,Blue,Desert,,Space Jacket,Bear,Bowl,Skull,,Flushed,1,
1769,GOGO #1769,152,258.8880229757928,Red Scarf,9,Yellow,Swamp,,Armour,Bear,Green,Phone,,Peachy,1,
3639,GOGO #3639,153,258.75810092746246,Headset,11,Red,City,Chain,Dinosaur,Shocked,Blue,Birdy,,Blue Goblin,4,Skull
2343,GOGO #2343,154,258.67058871247787,,8,Blue and Orange,Marsh,,Space Jacket,Vampire,,Roboto,Helmet,Blue Goblin,1,
3333,GOGO #3333,155,257.8931540647015,Red Scarf,8,Blue and Orange,Forest,,Space Jacket,Happy,,,Bowler,Flushed,2,
3760,GOGO #3760,156,257.17063536759446,,8,Red,City,,Armour,Laughing,,Skull,Helmet,Flushed,3,
2873,GOGO #2873,157,256.4820875090086,,7,Red,Marsh,,Skully,Bear,,,,Merperson,8,Skull
4677,GOGO #4677,158,256.03443900303733,Red Scarf,8,Blue and Orange,Earth,,Space Jacket,Bear,Purple,,,Ashen,1,
520,GOGO #520,159,255.7942883172047,Headset,11,Blue,Hell,Chain,Armour,Unimpressed,Bowl,Fist,Spikes,Ashen,2,
1125,GOGO #1125,160,255.78684066787417,,11,Blue and Orange,Marsh,Sword,Denim Vest,Shocked,Black,Torch,Crown,Flushed,1,Sword
3645,GOGO #3645,161,255.01013070588164,,11,Blue,Swamp,Sword,Dinosaur,Roboto,Bowl,OK,Spikes,Flushed,1,Sword
3943,GOGO #3943,162,254.52923654638744,Headset,11,Blue,Swamp,Sword,Denim Vest,Unimpressed,,Phone,Bowler,Flushed,1,Sword
2159,GOGO #2159,163,254.27263955553758,Headset,11,Red,Desert,Sword,Denim Vest,Roboto,Blue Punk,Dagger,Spikes,Peachy,2,
5220,GOGO #5220,164,253.30071673738277,Headset,8,Blue,Desert,,Zombie,Ripped,,Dagger,,Imp,8,
1554,GOGO #1554,165,253.2766980082382,Headset,11,Yellow,Hell,Chain,Chef,Blazed,Bowl,Claw,,Peachy,1,Wrench
4592,GOGO #4592,166,253.1422884978364,,8,Yellow,Swamp,,Armour,Vampire,,Phone,Helmet,Blue Goblin,1,
1770,GOGO #1770,167,253.02064563158143,Headset,11,Yellow,Swamp,Chain,Armour,Angry,Black,Birdy,Bowler,Zombie,1,
584,GOGO #584,168,252.97049725325823,Headset,11,Blue and Orange,Marsh,Sword,Space Jacket,Angry,Red Punk,Dagger,Spikes,Ashen,2,
2201,GOGO #2201,169,252.67548625262003,Headset,9,Yellow,Desert,,Chef,Vampire,Yellow,,,Bear,8,Wrench
1805,GOGO #1805,170,252.61678560051445,,9,Blue and Orange,Swamp,Chain,Space Jacket,Vampire,,OK,Helmet,Blue Goblin,2,
4872,GOGO #4872,171,251.17617173491954,Blue Scarf,10,Yellow,Forest,Chain,Dinosaur,Bear,Bowl,,,Peachy,1,Skull
4330,GOGO #4330,172,250.72464096016898,Red Scarf,9,Yellow,Swamp,,Armour,Happy,,OK,Bucket,Peachy,2,
4489,GOGO #4489,173,250.32384914479178,,11,Yellow,Desert,Chain,Denim Vest,Tripping,Blue,Phone,Bowler,Blue,2,Skull
2130,GOGO #2130,174,249.95591048002075,Red Scarf,8,Red,Desert,,Purple Tee,Bear,Blue,,,Flushed,2,
2457,GOGO #2457,175,249.9420185893813,Headset,11,Blue and Orange,Marsh,Sword,Dinosaur,Blazed,Purple,OK,,Ashen,1,Sword
5080,GOGO #5080,176,249.61149617649988,Headset,11,Yellow,Swamp,Chain,Denim Vest,Laughing,Blue,Phone,Bucket,Blue,1,
5108,GOGO #5108,177,248.95068308420278,,8,Yellow,Desert,,Onesie,Disgusted,,,Helmet,Ashen,1,Skull
2188,GOGO #2188,178,248.23807040380737,,8,Blue,Desert,,Skully,Disgusted,,,Helmet,Purple Goblin,3,Wrench
1481,GOGO #1481,179,247.79153763091273,Blue Scarf,9,Yellow,Earth,,Dinosaur,Happy,Black,Skull,,Ashen,3,
3619,GOGO #3619,180,247.48339123723736,,8,Blue and Orange,Marsh,,Armour,Laughing,,Flames,Helmet,Flushed,1,
3452,GOGO #3452,181,247.415003486256,Red Scarf,9,Red,Marsh,,Armour,Happy,Blue,OK,,Flushed,4,
1012,GOGO #1012,182,247.2170248334912,,7,Blue,Desert,,Onesie,Vampire,Yellow,,,Bear,8,
3445,GOGO #3445,183,246.78977953141845,,9,Blue,Crash Site,,Denim Vest,Ghoul,Black,Phone,Padded,Zombie,8,
4269,GOGO #4269,184,246.57510351334395,Blue Scarf,8,Red,Marsh,,Polo,Bear,,Flames,,Flushed,4,
5161,GOGO #5161,185,246.12407876695625,Blue Scarf,10,Blue,Desert,Sword,Denim Vest,Bear,Purple,Dagger,,Peachy,2,
5000,GOGO #5000,186,245.29636369902386,,9,Yellow,Desert,Sword,Denim Vest,Disgusted,,OK,Helmet,Ashen,4,
3398,GOGO #3398,187,244.83389970057138,Blue Scarf,9,Yellow,Hell,,Armour,Bear,Purple,Skull,,Peachy,3,
2964,GOGO #2964,188,242.68389934587418,,8,Red,Desert,,Chef,Laughing,,Skull,Helmet,Peachy,1,
5343,GOGO #5343,189,242.48655984961692,Blue Scarf,9,Blue,City,,Dinosaur,Bear,Bowl,Dagger,,Peachy,1,
5065,GOGO #5065,190,242.42133772063744,Blue Scarf,9,Red,Swamp,,Chef,Bear,Red,Birdy,,Peachy,5,
195,GOGO #195,191,241.2046554373447,Red Scarf,7,Blue and Orange,Marsh,,Space Jacket,Bear,,,,Ashen,4,
3981,GOGO #3981,192,241.14672287630805,Headset,11,Blue and Orange,Marsh,Sword,Hoodie,Bear,Red Punk,OK,Spikes,Ashen,3,
502,GOGO #502,193,240.71127118359306,Red Scarf,8,Blue,Desert,,Armour,Bear,,Claw,,Flushed,1,
5188,GOGO #5188,194,240.71088589257513,Blue Scarf,10,Blue and Orange,Marsh,Sword,Dinosaur,Happy,Red,,,Ashen,1,Skull
125,GOGO #125,195,240.29782700240796,Blue Scarf,9,Yellow,Desert,,Dinosaur,Bear,Black,,,Ashen,3,Sword
1902,GOGO #1902,196,239.74045797867245,Red Scarf,8,Blue and Orange,Marsh,,Hoodie,Bear,Bowl,,,Ashen,1,
1495,GOGO #1495,197,239.23424981747235,,8,Red,Marsh,,Denim Vest,Disgusted,,Birdy,Helmet,Ashen,2,
3456,GOGO #3456,198,238.05211523398873,Blue Scarf,7,Yellow,City,,Purple Tee,Happy,,,,Flushed,4,
4101,GOGO #4101,199,237.58520921127123,,8,Red,Desert,,Dinosaur,Disgusted,,,Helmet,Purple Goblin,1,Skull
4293,GOGO #4293,200,236.98997668794442,,9,Blue,Swamp,Chain,Chef,Disgusted,,OK,Helmet,Blue Goblin,2,
2610,GOGO #2610,201,236.3347320701175,Blue Scarf,9,Red,Earth,,Skully,Bear,Purple,OK,,Ashen,3,
666,GOGO #666,202,236.13291836636768,Blue Scarf,9,Blue,Island,Sword,Denim Vest,Bear,,Fist,,Peachy,1,
260,GOGO #260,203,235.8906423201715,Blue Scarf,8,Red,Earth,,Space Jacket,Happy,,Flames,,Peachy,1,
1474,GOGO #1474,204,235.087793639951,,9,Yellow,Desert,Sword,Denim Vest,Laughing,,OK,Helmet,Peachy,1,
609,GOGO #609,205,234.71794787926478,,11,Red,Marsh,Chain,Chef,Unimpressed,Bowl,OK,Spikes,Flushed,2,Wrench
2018,GOGO #2018,206,234.47578049846845,,9,Red,Desert,Chain,Denim Vest,Laughing,,OK,Helmet,Blue Goblin,2,
4077,GOGO #4077,207,234.30834013421935,Headset,11,Blue,Desert,Sword,Denim Vest,Raging,Black,Claw,,Ashen,1,Skull
3776,GOGO #3776,208,233.72406089717973,,8,Blue,Hell,,Hoodie,Blazed,Yellow,,Crown,Bear,8,
3689,GOGO #3689,209,233.66619801513133,,9,Red,Desert,Chain,Armour,Angry,Yellow,Birdy,,Bear,8,
4875,GOGO #4875,210,233.2715811593254,,6,Yellow,City,,Purple Tee,Scuba,,,,Merperson,2,
1979,GOGO #1979,211,233.0430054536966,,9,Red,Earth,,Armour,Ghoul,Yellow,Torch,Crown,Bear,7,
880,GOGO #880,212,232.8640030375197,Headset,11,Blue and Orange,Swamp,Chain,Denim Vest,Unimpressed,Red Punk,OK,Spikes,Flushed,2,
