ID,Name,Rank,Rarity_Score,Attributes,Backdrop,Backdrop Shape,Barnet,Body,Bodymod,Clothing,Collar,Cultural Artefact,Eyeware,Face,Face Accessory,Familiar,Groom,Hat,Hat Hair,Head Gear,Head Ornamentation,Heroes,Hood,Look,Mask,Name,Piercings,Special Figure,Special Head,Status,Tattoo
2595,VesselsGen0 #2595,46,4411.728787038469,13,Rising Sun,,Silver Hair,Gen-0_B,War Paint,Yellow Jumper,Collar_5,,,Female Face,Face Accessory [EMPTY],Skull Cat,,,,,,,,Happy,Monkey Mask,Huchen,,,,,Tattoo_A
2969,VesselsGen0 #2969,47,4408.972144991502,13,Fire,Square,Gabe Cut,Gen-0_A,The Thin Gold Line,MP Tigers Jacket,,,I Can't See,Male Face,Plaster,Monster,Groom [EMPTY],,,,,,,,,Retame,,,,,Tattoo_E
333,VesselsGen0 #333,48,4405.525336789518,12,The Deeps,Square,,,,Betsy's Clothes,Collar_8,,,,Face_Accessory_Freckles,Familiar [EMPTY],,,,,MSKD Horns,,,Happy,Mask [EMPTY],Honoos,,Mutant Body,Mutant,,
672,VesselsGen0 #672,49,4403.952566768851,10,Special Circle,,,,,Kimono I,Collar_5,,,,,Familiar [EMPTY],,Hat [EMPTY],,,Devil Horns,,,Happy,,Rye,,Bear Body,Bear,,
3560,VesselsGen0 #3560,50,4401.249328953727,13,Rising Heat,,Swooshy,Gen-0_A,War Paint,Mech Armour White,Collar [EMPTY],,,Sideways Glance Female,Plaster,Pigmy Hooter,,,,,,,,Happy,Fox Mask,Nimat,,,,,Tattoo_A
3699,VesselsGen0 #3699,51,4399.428365539944,13,Love Mist,,Betsy's Signature Fringe,Ice Cold,Cyborg,Hoodie,Collar_7,,,Barfing Rainbows,Face Accessory [EMPTY],Monster,,,,,Devil Horns,,,Supergood,,Muherek,,,,,Tattoo_E
3006,VesselsGen0 #3006,52,4397.261695924018,15,Old Quarter,,,Golden Child,Mech Pilot Paint,Kimono II,Collar [EMPTY],,,Micky Glowing Blue Eyes,Eyepatch 2,Familiar [EMPTY],Blond Beard,,,Green Armour Helmet,Bunny Ears,,,Happy,Tiger Mask,Samin,,,,,Tattoo_E
3206,VesselsGen0 #3206,53,4395.454161272526,14,Dragon!,,,Gen-0_A,Face Palm,BK Bunnies Jacket,Collar_3,,,Male Face,Face_Accessory_Freckles,Bear Monster,Big Beard,,,Helmet White,Ciggie,,,Happy,,Emory,,,,,Tattoo_E
445,VesselsGen0 #445,54,4393.142172751255,15,Special Circle,,,Gen-0_D,The Thin Gold Line,Dungarees,Collar_8,,,Rage Face,Face Accessory [EMPTY],Truffle Pig,Mustachio And Crop,,,Helmet Mech Black,Head Ornament [EMPTY],,,Happy,Monkey Mask,Mora,,,,,Tattoo_D
3264,VesselsGen0 #3264,55,4387.384634044113,9,Mech,,,Hulkin,The Thin Gold Line,Go Go Merman Suit,,,,Micky Glowing Blue Eyes,Eyepatch 1,Curling Cuddler,,War Pig,,,,,,,,Promise,,,,,
358,VesselsGen0 #358,56,4387.223730499556,13,Power Circle,,Pinky,The Red Rage,Death Paint,BK Bunnies Jacket,Collar_8,,,Barfing Rainbows,Cheek Heart,Familiar [EMPTY],,,,,MSKD Horns,,,Happy,,Petal,,,,,Tattoo_B
3215,VesselsGen0 #3215,57,4386.313532123056,11,Devil Wings,Triangle,,,,Africa Dress,Collar_7,,,,Face_Accessory_Freckles,Taco,,,,,,,,Supergood,Americas Mask,Fantail,,Mutant Body,Mutant,,
2266,VesselsGen0 #2266,58,4386.053514931133,14,Heat Death Of The Universe,Square,Casual Suave,Gen-0_B,Face Palm,Black Tee,Collar_3,,NEONZ ARZ,Shrug Male,Face_Accessory_Freckles,Curling Cuddler,,,,,,,,The Darkness,,Danold,,,,,Tattoo [EMPTY]
4519,VesselsGen0 #4519,59,4382.2187068564745,13,Acid Green,Triangle,Casual Suave,Gen-0_B,Face Palm,BK Bunnies Jacket,,,Glasses [EMPTY],Male Face,Plaster,Curling Cuddler,The Ghibli,,,,,,,,,Kaibuos,,,,,Tattoo_D
1258,VesselsGen0 #1258,60,4382.057079975903,14,Angel Wings,,Casual Suave,Gen-0_A,Cyborg,Gabe's Clothes,Collar_1,,,Witch Eyes,Cheek Heart,Pigmy Hooter,,,,,MSKD Horns,,,Supergood,Monkey Mask,Chapman,,,,,Tattoo [EMPTY]
4410,VesselsGen0 #4410,61,4381.457494485778,15,Goodie Blue,Shapeless [EMPTY],,Gen-0_B,Mech Pilot Paint,Black Tee,,,Cyclopian,Sideways Glance Male,Cheek Heart,Pigmy Hooter,Handlebars,,I have lovely hair under this hat,,,,Hoody Up,Supergood,,Kalen,,,,,Tattoo [EMPTY]
2758,VesselsGen0 #2758,62,4380.287992817928,15,Acid Green,,,Gen-0_C,Hunter Paint,Red Tee,Collar [EMPTY],,,Micky Glowing Blue Eyes,Face Accessory [EMPTY],Aubi,The Prickler,,,Monkey Skull,Head Ornament [EMPTY],,,Supergood,MSKD Mask,H'rew,,,,,Tattoo_B
4773,VesselsGen0 #4773,63,4378.388399828321,14,Devil Wings,Square,Foxyloxy,Gen-0_E,The Thin Gold Line,Biker Jacket,Collar [EMPTY],,Cyclopian,Rage Face,Face Accessory [EMPTY],Curling Cuddler,,,,,,,,Happy,,Sweety,,,,,Tattoo_C
664,VesselsGen0 #664,64,4374.600015775304,14,Love Mist,,Pretty Boy,Gen-0_D,Mech Pilot Paint,Gabe's Clothes,Collar_4,,,Female Face,Plaster,Monster,,,,,MSKD Horns,,,Supergood,Fox Mask,Rascal,,,,,Tattoo_C
2611,VesselsGen0 #2611,65,4374.449854274633,11,Acid Green,Shapeless [EMPTY],,,,Gabe's Clothes,Collar_5,,,,Face_Accessory_Freckles,Taco,,,,,,,,Supergood,Mask [EMPTY],Warren,,Mutant Body,Mutant,,
468,VesselsGen0 #468,66,4373.1280995926245,14,Power Circle,,,Gen-0_C,The Thin Gold Line,Mech Armour White,,,Glasses [EMPTY],Female Face,Face Accessory [EMPTY],Go Go Tweet Tweet,,Hover Skater Girl Helm,I have lovely hair under this hat,,Horn Bandana,,,Happy,,Soto,,,,,Tattoo_C
3912,VesselsGen0 #3912,67,4371.21266021665,11,Dragon!,Square,,,,Mech Armour White,Collar_8,,,,Face_Accessory_Freckles,Omni Nibbler,,,,,,,,Happy,Mask [EMPTY],Desug,,Mutant Body,Mutant,,
165,VesselsGen0 #165,68,4368.444619788892,15,Can You Feel The Magic,,,Golden Child,Death Paint,Gabe's Clothes,Collar_3,,Aviators,Micky Glowing Blue Eyes,Plaster,Omni Nibbler,Big Beard,Hover Skater Girl Helm,,,Cigar,,,Supergood,,Vabasot,,,,,Tattoo [EMPTY]
2753,VesselsGen0 #2753,69,4364.930330964547,11,Angel Wings,,,Gen-0_E,Mech Pilot Paint,BK Bunnies Jacket,,,,Rage Face,Eyepatch 2,,,,Big Burnz,Peter's,,,Head Scarf 1,Supergood,,Hamilton,,,,,
3050,VesselsGen0 #3050,70,4364.620878649047,14,Love Mist,,,Hulkin,Face Palm,Mech Armour Black,,,Neonz Vizor,Sideways Glance Female,Cheek Heart,Go Go Tweet Tweet,,Hat [EMPTY],Big Burnz,,MSKD Horns,,,The Blues,,Wheeler,,,,,Tattoo_E
2051,VesselsGen0 #2051,71,4364.329999396366,13,Devil Wings,,Blue Hair ,The Red Rage,War Paint,BK Bunnies Jacket,Collar_4,,,Barfing Rainbows,Face_Accessory_Freckles,Skull Cat,,,,,MSKD Horns,,,Happy,,Ari,,,,,Tattoo_D
1685,VesselsGen0 #1685,72,4362.175443549811,11,Mech,,Signature Forelock,The Red Rage,Face Palm,Biker Jacket,Collar_8,,,Female Face,,Bear Monster,,,,Helmet Ornate,,,,Supergood,,Delacruz,,,,,
1723,VesselsGen0 #1723,73,4361.182535923474,11,Power Circle,Shapeless [EMPTY],,,,BK Bunnies Jacket,Collar [EMPTY],,,,Face_Accessory_Freckles,Truffle Pig,,,,,,,,Happy,Americas Mask,Turtle,,Mutant Body,Mutant,,
40,VesselsGen0 #40,74,4360.224813961552,13,Fire,,Rough Bob,Hulkin,Bodymod [EMPTY],Africa Dress,Collar [EMPTY],,,Barfing Rainbows,Face Accessory [EMPTY],Skull Cat,,,,,Devil Horns,,,Happy,,Tootsie,,,,,Tattoo [EMPTY]
3101,VesselsGen0 #3101,75,4359.659062169266,12,Rising Sun,,Cultured,The Void,War Paint,Black Tee,,,,Grrrrrrrrrrrrrrrrrrr,Face Accessory [EMPTY],Peep Oh,,,,,,,,Happy,Tiger Mask,Doofus,,,,,Tattoo_B
2705,VesselsGen0 #2705,76,4359.615297314515,13,Heat Death Of The Universe,Circle,Gabe Cut,Gen-0_D,Cyborg,Black Tee,,,Glasses [EMPTY],Micky Glowing Blue Eyes,Face Accessory [EMPTY],Curling Cuddler,,,,,,,,Supergood,,Echetir,,,,,Tattoo_C
2961,VesselsGen0 #2961,77,4359.546693459284,8,Angel Wings,Circle,,,,Malfette's Armour,,,,,,,,,,,,,,Supergood,Siberian Head Gear,Nybydi,,Pirate,Mutated Pirate Face,,
3646,VesselsGen0 #3646,78,4359.530335927062,10,Blood Red,Shapeless [EMPTY],,,,Africa Dress,Collar_3,,,,,Taco,,,,,Devil Horns,,,Happy,,Cochran,,Bear Body,Bull,,
111,VesselsGen0 #111,79,4359.299145097903,11,Mech,,,Gen-0_B,Hunter Paint,Orange Tee ,,,,Tazer Face,,,,,I have lovely hair under this hat,,Angel Halo,,Hoody Up,Supergood,Ravage Mask,Costa,,,,,
359,VesselsGen0 #359,80,4358.652571620455,11,Special Circle,Circle,,,,Black Tee,Collar_7,,,,Face_Accessory_Freckles,Familiar [EMPTY],,,,,,,,Happy,Americas Mask,Azkaban,,Mutant Body,Mutant,,
610,VesselsGen0 #610,81,4358.5035567649875,13,Love Mist,Circle,Blue Hair ,Gen-0_A,The Thin Gold Line,Vest A,,,Glasses [EMPTY],Tazer Face,Face Accessory [EMPTY],Curling Cuddler,,,,,,,,Happy,,Jisios,,,,,Tattoo [EMPTY]
1792,VesselsGen0 #1792,82,4356.5210790465435,14,Angel Wings,,The Roman,Gen-0_A,The Thin Gold Line,Americas Dress,Collar_5,,,Female Face,Plaster,Pigmy Hooter,,,,,Horn Bandana,,,The Blues,MSKD Mask,Good,,,,,Tattoo_C
3075,VesselsGen0 #3075,83,4354.519939630309,12,Love Mist,Shapeless [EMPTY],,,,Betsy's Clothes,Collar_5,,,,Face_Accessory_Freckles,Monster,,,,,MSKD Horns,,,Happy,Mask [EMPTY],Burit,,Mutant Body,Mutant,,
801,VesselsGen0 #801,84,4354.262893849393,14,The Deeps,,,Golden Child,Cyborg,Red Body Armour ,,,Glasses [EMPTY],Witch Eyes,Plaster,Omni Nibbler,,Hover Skater Girl Helm,Big Burnz,,Head Ornament [EMPTY],,,Supergood,,Sandy,,,,,Tattoo [EMPTY]
478,VesselsGen0 #478,85,4353.301550159879,13,Blood Red,,Blue Hair ,Ice Cold,Bodymod [EMPTY],MP Tigers Jacket,Collar_4,,,Barfing Rainbows,Cheek Heart,Go Go Tweet Tweet,,,,,Head Ornament [EMPTY],,,Supergood,,Sululia,,,,,Tattoo_D
3585,VesselsGen0 #3585,86,4352.370899657222,10,Mech,,,,,Biker Jacket,Collar_5,,,,,Monster,,Hat [EMPTY],,,Devil Horns,,,The Blues,,Enthdar,,Bull Body,Bull,,
3751,VesselsGen0 #3751,87,4352.014856775607,10,Love Mist,Triangle,Curlz,Gen-0_B,,Siberian Dress,,Siberian Artefact,,Male Face,,,Groom [EMPTY],,,,,,,Supergood,,Flicker,,,,,
3522,VesselsGen0 #3522,88,4351.726441044084,11,M O O N spells moon,Square,Foxyloxy,Gen-0_B,,OINKY Riot Gear,,,,Male Face,,Bear Monster,Mustachio And Crop,,,Headgear [EMPTY],,,,Supergood,,Cudios,,,,,
1208,VesselsGen0 #1208,89,4351.360008099214,13,Rising Sun,,Cultured,Gen-0_A,Face Palm,Africa Dress,,African Artefact,,Sideways Glance Male,Face_Accessory_Freckles,,,,,,Cigar,,,Happy,Mask [EMPTY],Doobie,,,,,Tattoo_A
3394,VesselsGen0 #3394,90,4351.100946223844,8,Blood Red,Shapeless [EMPTY],,,,Neodandy,,,,,,,,,,,,,,Supergood,Oni Mask,Pomfret,,Pirate,Mutated Pirate Face,,
4072,VesselsGen0 #4072,91,4349.447616936102,15,Blood Red,,,Gen-0_E,Death Paint,Dungarees,Collar [EMPTY],,,Male Face,Face Accessory [EMPTY],Go Go Tweet Tweet,The Prickler,,,Headgear [EMPTY],MSKD Horns,,,Happy,Owl Mask,Little,,,,,Tattoo_D
4934,VesselsGen0 #4934,92,4348.949975713793,13,Rising Heat,,Silver Hair,Gen-0_C,Mech Pilot Paint,Siberian Dress,,African Artefact,,Shrug Male,Cheek Heart,,,,,,Angel Halo,,,Happy,Africa Mask,Koruy,,,,,Tattoo_E
1430,VesselsGen0 #1430,93,4348.597741994299,9,Rising Sun,,,,,Yellow Jumper,Collar_8,,,,,Pigmy Hooter,,The Bowler,,,Head Ornament [EMPTY],,,,,Ringer,,Bear Body,Bull,,
2017,VesselsGen0 #2017,94,4347.60891454802,14,Mech,,,The Red Rage,Bodymod [EMPTY],Blue Body Armour,,Siberian Artefact,Neonz Vizor,Sideways Glance Male,Cheek Heart,Familiar [EMPTY],,War Pig,,,Cigar,,,Happy,,Taioneth,,,,,Tattoo_E
3135,VesselsGen0 #3135,95,4347.479346298756,13,M O O N spells moon,,Foxyloxy,Gen-0_D,The Thin Gold Line,Pink Tee,Collar_3,,,Sideways Glance Female,Face Accessory [EMPTY],Skull Cat,,,,,,,,Happy,Fox Mask,Koa,,,,,Tattoo_B
846,VesselsGen0 #846,96,4345.725199369641,8,Love Mist,Triangle,,,,Green Body Armour,,,,,,,,,,,,,,Supergood,Oni Mask,Tyrisine,,Pirate,Mutated Pirate Face,,
1641,VesselsGen0 #1641,97,4344.60402772661,15,Love Mist,,,The Red Rage,Death Paint,Red Body Armour ,Collar_5,,I Can't See,Male Face,Cheek Heart,Skull Cat,Big Beard,The Brigand,,,Cigar,,,Happy,,Walters,,,,,Tattoo [EMPTY]
3696,VesselsGen0 #3696,98,4344.344400363812,13,Love Mist,,Foxyloxy,Golden Child,Face Palm,Africa Dress,Collar_4,,,Barfing Rainbows,Face Accessory [EMPTY],Skull Cat,,,,,Devil Horns,,,Happy,,Asrin,,,,,Tattoo_C
2133,VesselsGen0 #2133,99,4343.946308962971,11,Rising Heat,,,Gen-0_D,Bodymod [EMPTY],Pink Tee,,,,Micky Glowing Blue Eyes,,,,,Big Burnz,,MSKD Horns,,Hoody Up,Supergood,Ravage Mask,Gray,,,,,
2041,VesselsGen0 #2041,100,4343.053369579889,12,Angel Wings,,Cultured,The Void,Face Palm,BK Bunnies Jacket,,,,Male Face,Cheek Heart,Skull Cat,,,,,,,,The Blues,Crow Mask,Fuentes,,,,,Tattoo_E
4417,VesselsGen0 #4417,101,4342.7840495718,11,Devil Wings,,,The Red Rage,Bodymod [EMPTY],Yellow Jumper,,,,Sideways Glance Female,Face Accessory [EMPTY],,,,Swanky Trim,Riot Cop Helm,,,Head Scarf 1,Happy,,Amigo,,,,,
1359,VesselsGen0 #1359,102,4341.976508172877,15,Acid Green,,,Gen-0_C,Bodymod [EMPTY],Kimono I,Collar_3,,I Can't See,Male Face,Plaster,Familiar [EMPTY],Big Beard,War Pig,,,Ciggie,,,Happy,,Oana,,,,,Tattoo [EMPTY]
3734,VesselsGen0 #3734,103,4341.236386017621,13,Rising Sun,,Cultured,Ice Cold,Mech Pilot Paint,Africa Dress,,Native American Artefact,,Evil Eyes,Face_Accessory_Freckles,,,,,,Devil Horns,,,Supergood,Mask [EMPTY],Torelia,,,,,Tattoo [EMPTY]
4054,VesselsGen0 #4054,104,4340.91630005423,14,The Kraken Wakes,,"Skinhead, Skinhead",Gen-0_D,The Thin Gold Line,Red Body Armour ,Collar [EMPTY],,,Witch Eyes,Cheek Heart,Omni Nibbler,,,,,Head Ornament [EMPTY],,,Happy,Fox Mask,Banonia,,,,,Tattoo_C
243,VesselsGen0 #243,105,4340.7179971316555,15,Rising Sun,Circle,,Gen-0_B,Hunter Paint,Tee_A,,,Neonz Vizor,Rage Face,Eyepatch 1,Pigmy Hooter,Handlebars,,I have lovely hair under this hat,,,,Head Scarf 1,Supergood,,Kehinde,,,,,Tattoo_E
202,VesselsGen0 #202,106,4340.556372523665,14,Mech,,,Gen-0_C,Bodymod [EMPTY],Blue Body Armour,,African Artefact,I Can't See,Tazer Face,Cheek Heart,Omni Nibbler,,War Pig,,,Devil Horns,,,Supergood,,Rit,,,,,Tattoo_C
1724,VesselsGen0 #1724,107,4339.393575575848,11,Rising Sun,,,Gen-0_D,Mech Pilot Paint,Orange Tee ,,,,Rage Face,,,,,Swanky Trim,,Devil Horns,,Hoody Up,Happy,Ravage Mask,Ineelia,,,,,
1089,VesselsGen0 #1089,108,4338.873628794014,14,Power Circle,,Curlz,Gen-0_A,Bodymod [EMPTY],Nordic Dress,Collar [EMPTY],,,Sideways Glance Female,Face_Accessory_Freckles,Aubi,,,,,Angel Halo,,,Happy,Fox Mask,Rock,,,,,Tattoo_D
3232,VesselsGen0 #3232,109,4337.902127285165,11,Power Circle,,,Ice Cold,Bodymod [EMPTY],Orange Tee ,,,,Nova,Eyepatch 2,,,,Swanky Trim,Black Armour Helmet,,,Head Scarf 2,Supergood,,Halley,,,,,
