ID,Name,Rank,Rarity_Score,Attributes,Background,Clothing,Eyes,Eyewear,Fur,Headgear,Magnificent,Mouth,Piercings,Tail
3425,Ottez #3425,41,334.7048091360975,9,Pink,Bebop Suit,Sexy Eyes,Black Wayfarer,Stripey Fawn,Bobble Hat,,Happy,Bull Ring,Plain
24,Ottez #24,42,333.1453648994624,8,Pink,Bulletproof Vest,Tired Eyes,3D,Fawn,Bunny Ears,,Closed,,Metal
1485,Ottez #1485,43,330.16301612207974,6,Orange,Ottvana Tshirt,Glowing Eyes,,Brown,,,Happy,,White
3833,Ottez #3833,44,329.286250721395,8,Navy,Bebop Suit,Cheeky Eyes,Adventurer,Brown,Pink Cowboy,,Smile,,White
1156,Ottez #1156,45,326.1922708007803,8,Dark Grey,Bebop Suit,Blue Eyes,Rap Shades,Stoner,Bucket Hat,,Smile,,Fire
927,Ottez #927,46,324.11328968476084,9,Dark Grey,Bulletproof Vest,Cheeky Eyes,3D,Purple,Crockett Hat,,Closed,Bull Ring,Rainbow
1172,Ottez #1172,47,323.87730538857073,9,Dark Grey,Bulletproof Vest,Hypnotised,Heart Shades,Stripey Fawn,Cycling Cap,,Gritted,Nose Ring,Metal
3337,Ottez #3337,48,323.70640793286987,8,Orange,Bebop Suit,Cheeky Eyes,Rap Shades,Brown,Pink Wig,,Gritted,,Plain
1563,Ottez #1563,49,320.64924616864903,7,Blue,Bebop Suit,Wide Eyed,,Sand,Bandana,,Smile,,Plain
539,Ottez #539,50,319.10963459538584,7,Orange,Bebop Suit,Brown Eyes,,Fawn,Ottez Cap,,Freaky Teeth,,Plain
166,Ottez #166,51,316.6484613752653,8,Yellow,Bebop Suit,Green Eyes,Black Wayfarer,Sand,Bobble Hat,,Happy,,White
3183,Ottez #3183,52,314.44912593102583,8,Purple,Bebop Suit,Sexy Eyes,Black Wayfarer,Sand,Ottez Cap,,Happy,,Fire
3563,Ottez #3563,53,313.10634862229193,6,Navy,Blue Varsity,Cheeky Eyes,,Stripey Sand,,,Smile,,Rainbow
2383,Ottez #2383,54,310.75858381131553,8,Dark Grey,Bulletproof Vest,Cheeky Eyes,Black Wayfarer,Purple,Yellow Beanie,,Human,,Plain
1579,Ottez #1579,55,310.709337936252,6,Blue,Aviator Jacket,Cheeky Eyes,,Sand,,,Closed,,Plain
833,Ottez #833,56,309.3817222461205,6,Purple,,Brown Eyes,,Stripey Sand,Bobble Hat,,Gritted,,Rainbow
2276,Ottez #2276,57,308.3912227732046,8,Orange,Straight Jacket,Sexy Eyes,,Pink,Backwards Cap,,Drool,Bull Ring,Plain
1471,Ottez #1471,58,308.20915867637405,9,Yellow,Bulletproof Vest,Tired Eyes,Heart Shades,Sand,Bucket Hat,,Human,Bull Ring,Plain
2275,Ottez #2275,59,305.60591436885255,9,Orange,Straight Jacket,Pretty Eyes,Black Wayfarer,Sand,Bandana,,Gap Tooth,Bull Ring,White
1801,Ottez #1801,60,305.43239403549325,9,Purple,Bebop Suit,Brown Eyes,Black Wayfarer,Brown,Bucket Hat,,Happy,Bull Ring,Plain
59,Ottez #59,61,301.1332728002827,6,Purple,,Tired Eyes,,Brown,Pink Cowboy,,Happy,,Plain
1990,Ottez #1990,62,300.90242908880543,8,Green,Straight Jacket,Blue Eyes,Heart Shades,Stoner,Moped Helmet,,Smile,,Metal
533,Ottez #533,63,300.0847059524386,7,Purple,Bulletproof Vest,Green Eyes,,Fawn,Captains Hat,,Gap Tooth,,Plain
3760,Ottez #3760,64,298.8921759816583,9,Yellow,Bulletproof Vest,Brown Eyes,Rap Shades,Stoner,Captains Hat,,Gritted,Nose Ring,Fire
1423,Ottez #1423,65,297.6754928838051,8,Blue,Straight Jacket,Green Eyes,Tortoise Shell,Grey,Bandana,,Human,,Fire
2967,Ottez #2967,66,296.5722222078186,6,Orange,,Tired Eyes,,Grey,Army Helmet,,Gritted,,Fire
2926,Ottez #2926,67,295.5598386165603,8,Green,Straight Jacket,Tired Eyes,3D,Brown,Crockett Hat,,Gritted,,Plain
2118,Ottez #2118,68,294.8765006666298,9,Dark Grey,Plain Tshirt,Heart Eyes,Adventurer,Grey,Propeller Hat,,Gold,Bull Ring,Plain
3350,Ottez #3350,69,292.9656394876003,6,Pink,Red Varsity,Sexy Eyes,,Brown,,,Gritted,,Rainbow
3963,Ottez #3963,70,292.4196862803396,8,Yellow,Straight Jacket,Brown Eyes,,Stripey Sand,Backwards Cap,,Whistle,Bull Ring,Plain
869,Ottez #869,71,291.5523384462176,6,Pink,,Brown Eyes,,Grey,Army Helmet,,Happy,,Rainbow
396,Ottez #396,72,290.7932978762933,9,Yellow,Straight Jacket,Suspicious Eyes,Black Wayfarer,Stripey Sand,Backwards Cap,,Smile,Bull Ring,Fire
1371,Ottez #1371,73,289.93618065833766,8,Purple,Straight Jacket,Pretty Eyes,Rap Shades,Stripey Sand,Bandana,,Closed,,Plain
3588,Ottez #3588,74,289.36951304976833,8,Yellow,Bulletproof Vest,Tired Eyes,Aviators,Stripey Fawn,Bobble Hat,,Closed,,White
250,Ottez #250,75,289.13948956159305,6,Green,Striped Tshirt,Tired Eyes,,Fawn,,,Happy,,Plain
3360,Ottez #3360,76,288.6493605608065,8,Blue,Plain Tshirt,Hypnotised,Morpheus,Sand,Moped Helmet,,Gold,,White
463,Ottez #463,77,288.3641805838709,9,Orange,Straight Jacket,Wide Eyed,Tortoise Shell,Brown,Propeller Hat,,Happy,Bull Ring,White
674,Ottez #674,78,286.9143912728133,8,Navy,Straight Jacket,Cheeky Eyes,Black Wayfarer,Grey,Backwards Cap,,Drool,,White
2729,Ottez #2729,79,286.30874637196,6,Navy,,Brown Eyes,,Brown,Blue Wig,,Gritted,,Fire
2864,Ottez #2864,80,285.18864313662544,6,Pink,,Cheeky Eyes,,Brown,Backwards Cap,,Smile,,Rainbow
1304,Ottez #1304,81,285.0137303776681,9,Blue,Bulletproof Vest,Tired Eyes,Aviators,Fawn,Army Helmet,,Closed,Nose Ring,White
3070,Ottez #3070,82,284.7753486865085,9,Dark Grey,Bulletproof Vest,Brown Eyes,Morpheus,Grey,Backwards Cap,,Smile,Nose Ring,Rainbow
2816,Ottez #2816,83,283.5470073107199,8,Dark Grey,Straight Jacket,Cheeky Eyes,Morpheus,Sand,Propeller Hat,,Happy,,Plain
1035,Ottez #1035,84,283.287671571282,6,Pink,Black Hoodie,Pretty Eyes,,Fawn,,,Gritted,,Plain
3220,Ottez #3220,85,282.77177927609245,7,Pink,Bulletproof Vest,Sexy Eyes,,Stoner,Orange Beanie,,Happy,,White
1742,Ottez #1742,86,281.6843853787629,9,Orange,Straight Jacket,Pretty Eyes,Aviators,Fawn,Bobble Hat,,Smile,Bull Ring,Rainbow
3518,Ottez #3518,87,280.72998422415407,8,Dark Grey,Straight Jacket,Cheeky Eyes,Adventurer,Brown,Bamboo Hat,,Closed,,White
2234,Ottez #2234,88,279.0912498862644,9,Dark Grey,Bulletproof Vest,Brown Eyes,Morpheus,Brown,Bucket Hat,,Gritted,Nose Ring,Metal
1169,Ottez #1169,89,276.78697099637026,9,Navy,Red Varsity,Cheeky Eyes,3D,Brown,Propeller Hat,,Gold,Nose Ring,White
572,Ottez #572,90,274.87886341788044,8,Green,Tunic,Tired Eyes,Rap Shades,Purple,Party Hat,,Gold,,Plain
1469,Ottez #1469,91,271.1840926908402,8,Orange,Straight Jacket,Suspicious Eyes,Rap Shades,Grey,Bandana,,Gritted,,White
1817,Ottez #1817,92,269.5464534364077,8,Yellow,Bulletproof Vest,Blue Eyes,,Grey,Captains Hat,,Gritted,Nose Ring,White
2404,Ottez #2404,93,265.44013591291747,8,Orange,Straight Jacket,Brown Eyes,Adventurer,Sand,Orange Beanie,,Happy,,Fire
723,Ottez #723,94,265.43504815246695,8,Navy,Bulletproof Vest,Cheeky Eyes,Tortoise Shell,Fawn,Backwards Cap,,Smile,,Plain
2922,Ottez #2922,95,263.58646783567383,8,Blue,Striped Tshirt,Blue Eyes,Rap Shades,Purple,Crockett Hat,,Gold,,Plain
1944,Ottez #1944,96,262.8187403677489,8,Yellow,Straight Jacket,Cheeky Eyes,Heart Shades,Brown,Party Hat,,Smile,,Fire
3865,Ottez #3865,97,262.3296252345994,8,Orange,Ottvana Tshirt,Blue Eyes,Black Wayfarer,Brown,Dreads,,Gold,,Plain
3024,Ottez #3024,98,261.90455251386646,7,Dark Grey,Straight Jacket,Tired Eyes,,Sand,Cycling Cap,,Happy,,White
1948,Ottez #1948,99,261.89729109426514,8,Blue,Red Leather Jacket,Cheeky Eyes,Xterminator Shades,Albino,Pink Wig,,Tongue Out,,Fire
1664,Ottez #1664,100,261.54701469370605,8,Blue,Tracksuit,Brown Eyes,Black Wayfarer,Sand,Pink Cowboy,,Gold,,Metal
3757,Ottez #3757,101,261.38461677522537,8,Pink,Straight Jacket,Blue Eyes,Black Wayfarer,Fawn,Bandana,,Happy,,Plain
3115,Ottez #3115,102,261.27165087868804,8,Orange,Red Varsity,Tired Eyes,Heart Shades,Sand,Pink Wig,,Gold,,Plain
3136,Ottez #3136,103,260.2473581943927,8,Green,Red Varsity,Brown Eyes,3D,Purple,Blue Wig,,Gold,,Plain
2177,Ottez #2177,104,259.456877074038,9,Dark Grey,Punk Leather,Blue Eyes,3D,Stoner,Luffy Hat,,Happy,Nose Ring,White
470,Ottez #470,105,257.565031532842,8,Dark Grey,Bulletproof Vest,Sexy Eyes,Tortoise Shell,Brown,,,Smile,Nose Ring,White
2680,Ottez #2680,106,256.4236016073375,7,Orange,Army Shirt,Wide Eyed,,Brown,Luffy Hat,,Ape,,Plain
3675,Ottez #3675,107,255.88106138204324,8,Yellow,Striped Tshirt,Tired Eyes,Tortoise Shell,Sand,Luffy Hat,,Ape,,Plain
922,Ottez #922,108,249.313199120546,9,Purple,Checked Shirt,Brown Eyes,Heart Shades,Fawn,Cycling Cap,,Gold,Bull Ring,Fire
189,Ottez #189,109,249.15665529260616,9,Blue,Ottez Tshirt,Blue Eyes,Rap Shades,Brown,Bandana,,Gold,Nose Ring,Plain
1633,Ottez #1633,110,248.47650633367766,8,Green,Army Shirt,Suspicious Eyes,Tortoise Shell,Grey,Ottez Cap,,Gold,,Rainbow
3063,Ottez #3063,111,246.92645333191342,9,Navy,Blue Varsity,Blue Eyes,Black Wayfarer,Brown,Party Hat,,Gold,Nose Ring,White
2463,Ottez #2463,112,245.18610532145934,8,Pink,Checked Shirt,Suspicious Eyes,,Fawn,Bobble Hat,,Gold,Bull Ring,Plain
796,Ottez #796,113,245.11390060404116,7,Dark Grey,Red Leather Jacket,Sexy Eyes,,Fawn,Viking Helmet,,Freaky Teeth,,Metal
2283,Ottez #2283,114,243.43311326324425,9,Dark Grey,Plain Tshirt,Blue Eyes,Black Wayfarer,Purple,Party Hat,,Gold,Nose Ring,Plain
1175,Ottez #1175,115,242.45227287471067,9,Navy,Tracksuit,Brown Eyes,Black Wayfarer,Grey,Backwards Cap,,Gold,Nose Ring,Plain
55,Ottez #55,116,242.26183870743773,9,Orange,Red Leather Jacket,Suspicious Eyes,Tortoise Shell,Purple,Party Hat,,Fish,Bull Ring,Plain
476,Ottez #476,117,242.16777595738313,8,Pink,Black Hoodie,Heart Eyes,,Stripey Fawn,Luffy Hat,,Whistle,Bull Ring,Plain
1228,Ottez #1228,118,241.64282267292367,8,Dark Grey,Puffer Jacket,Brown Eyes,Aviators,Purple,Army Helmet,,Gold,,Plain
2953,Ottez #2953,119,240.94967646328058,8,Blue,Red Leather Jacket,Suspicious Eyes,Heart Shades,Grey,Yellow Beanie,,Fish,,White
3639,Ottez #3639,120,239.87273253216836,8,Navy,Double Vest,Pretty Eyes,Black Wayfarer,Brown,Orange Beanie,,Gold,,White
3324,Ottez #3324,121,239.47731751676702,7,Purple,Watermelon Tshirt,Brown Eyes,,Brown,Bobble Hat,,Gold,,White
3857,Ottez #3857,122,238.14455605796257,8,Blue,Red Leather Jacket,Cheeky Eyes,Tortoise Shell,Brown,Viking Helmet,,Whistle,,Plain
1797,Ottez #1797,123,236.54757305220608,8,Blue,Plain Tshirt,Brown Eyes,Tortoise Shell,Stripey Fawn,Orange Beanie,,Gold,,White
1839,Ottez #1839,124,235.96477049917493,7,Navy,Black Hoodie,Closed Eyes,,Pink,Viking Helmet,,Gritted,,Plain
86,Ottez #86,125,235.43138284155748,8,Orange,Aviator Jacket,Heterochromia,Aviators,Brown,Orange Beanie,,Fish,,Plain
1865,Ottez #1865,126,231.67928392205678,8,Pink,Punk Leather,Heterochromia,,Stripey Sand,Crockett Hat,,Gap Tooth,Bull Ring,Plain
1425,Ottez #1425,127,230.29571132654343,8,Dark Grey,Red Varsity,Starry Eyed,Tortoise Shell,Brown,Luffy Hat,,Smile,,White
824,Ottez #824,128,229.71201094726953,9,Navy,Green Varsity,Cheeky Eyes,Black Wayfarer,Albino,Yellow Beanie,,Ape,Bull Ring,Plain
3229,Ottez #3229,129,228.78587821115514,9,Dark Grey,Vegas Shirt,Brown Eyes,3D,Stripey Fawn,Luffy Hat,,Happy,Nose Ring,Metal
1022,Ottez #1022,130,228.73278481085114,8,Yellow,Striped Tshirt,Brown Eyes,Tortoise Shell,Grey,Bucket Hat,,Gold,,Plain
3948,Ottez #3948,131,228.00251138603332,7,Navy,Ottvana Tshirt,Wide Eyed,,Stoner,Viking Helmet,,Whistle,,Fire
2862,Ottez #2862,132,226.42085640443707,8,Purple,Red Leather Jacket,Green Eyes,3D,Fawn,Orange Beanie,,Ape,,Fire
3773,Ottez #3773,133,226.40942863872203,8,Orange,Punk Leather,Closed Eyes,Tortoise Shell,Purple,Propeller Hat,,Gap Tooth,,Plain
3174,Ottez #3174,134,224.35030051710413,9,Orange,Army Shirt,Brown Eyes,3D,Fawn,Exposed Brain,,Ape,Nose Ring,White
1091,Ottez #1091,135,223.77064177398645,8,Navy,Double Vest,Brown Eyes,Rap Shades,Sand,Exposed Brain,,Fish,,Plain
1265,Ottez #1265,136,223.29948815054414,8,Navy,Black Hoodie,Heterochromia,Adventurer,Fawn,Exposed Brain,,Gap Tooth,,Fire
2457,Ottez #2457,137,223.01945810232812,9,Green,Blue Varsity,Brown Eyes,Heart Shades,Albino,Party Hat,,Ape,Bull Ring,Plain
488,Ottez #488,138,221.90540426932128,9,Navy,Striped Tshirt,Closed Eyes,Tortoise Shell,Brown,Pirate Hat,,Closed,Nose Ring,Fire
2730,Ottez #2730,139,220.94863418773463,7,Yellow,,Cheeky Eyes,Tortoise Shell,Grey,Orange Beanie,,Gold,,White
1202,Ottez #1202,140,220.7384992164102,7,Blue,Plain Tshirt,Blue Eyes,,Sand,Viking Helmet,,Ape,,Fire
3474,Ottez #3474,141,220.58785935014052,7,Orange,Ottez Tshirt,Heterochromia,,Stripey Sand,Army Helmet,,Ape,,Plain
648,Ottez #648,142,220.2832303082371,7,Yellow,Checked Shirt,Wide Eyed,,Brown,Luffy Hat,,Sick,,Rainbow
328,Ottez #328,143,219.70788462497075,7,Pink,Checked Shirt,Heart Eyes,,Grey,Luffy Hat,,Gritted,,Fire
1430,Ottez #1430,144,219.4519300967227,8,Purple,Dungarees,Closed Eyes,Rap Shades,Sand,Exposed Brain,,Tongue Out,,Plain
2318,Ottez #2318,145,218.86047269156114,8,Green,Punk Leather,Cheeky Eyes,Aviators,Pink,Pirate Hat,,Whistle,,White
1748,Ottez #1748,146,217.47912345982087,8,Pink,Tunic,Suspicious Eyes,Aviators,Fawn,Viking Helmet,,Gap Tooth,,Metal
3631,Ottez #3631,147,216.99845691330458,8,Pink,Puffer Jacket,Heterochromia,Rap Shades,Grey,Viking Helmet,,Gritted,,White
1191,Ottez #1191,148,215.82940369425816,8,Green,Puffer Jacket,Closed Eyes,Morpheus,Purple,Bucket Hat,,Ape,,White
3211,Ottez #3211,149,215.43748968743319,8,Orange,Dungarees,Heterochromia,Black Wayfarer,Purple,Backwards Cap,,Fish,,Plain
2133,Ottez #2133,150,214.91988078930953,8,Dark Grey,Black Hoodie,Heterochromia,Adventurer,Stripey Fawn,Backwards Cap,,Ape,,Fire
45,Ottez #45,151,214.70253479789758,8,Green,Dungarees,Wide Eyed,Heart Shades,Brown,Luffy Hat,,Gap Tooth,,White
3795,Ottez #3795,152,214.55159410229174,8,Dark Grey,Vegas Shirt,Cheeky Eyes,Rap Shades,Brown,Luffy Hat,,Whistle,,Fire
3510,Ottez #3510,153,214.5242914597526,8,Orange,Puffer Jacket,Tired Eyes,Heart Shades,Sand,Luffy Hat,,Freaky Teeth,,Rainbow
149,Ottez #149,154,213.97381754435398,9,Purple,Checked Shirt,Pretty Eyes,Morpheus,Albino,Pink Cowboy,,Drool,Bull Ring,Plain
3483,Ottez #3483,155,211.90671997949292,7,Orange,Black Hoodie,Hypnotised,,Fawn,Luffy Hat,,Smile,,Rainbow
712,Ottez #712,156,211.17847363811808,8,Yellow,Green Varsity,Heterochromia,3D,Brown,Exposed Brain,,Closed,,Fire
1928,Ottez #1928,157,209.84263825369536,9,Pink,Ottvana Tshirt,Hypnotised,Morpheus,Fawn,Exposed Brain,,Closed,Bull Ring,Metal
821,Ottez #821,158,209.82875362708603,8,Navy,Black Hoodie,Wide Eyed,Tortoise Shell,Fawn,Luffy Hat,,Sick,,Plain
2587,Ottez #2587,159,209.51622619553333,8,Green,Plain Tshirt,Brown Eyes,Morpheus,Stripey Fawn,Exposed Brain,,Ape,,Plain
1989,Ottez #1989,160,209.18587936701334,7,Dark Grey,Red Leather Jacket,Green Eyes,,Pink,Yellow Beanie,,Bubblegum,,Fire
1136,Ottez #1136,161,208.86678013389468,8,Navy,Ottez Tshirt,Glowing Eyes,Tortoise Shell,Albino,Propeller Hat,,Gap Tooth,,White
2606,Ottez #2606,162,208.00720908314864,8,Yellow,Blue Varsity,Heterochromia,Tortoise Shell,Albino,Army Helmet,,Happy,,Plain
1804,Ottez #1804,163,207.79818958815,8,Pink,Tracksuit,Sexy Eyes,Xterminator Shades,Albino,Blue Wig,,Human,,Rainbow
449,Ottez #449,164,207.60401775809132,8,Yellow,Vegas Shirt,Tired Eyes,Tortoise Shell,Brown,Bunny Ears,,Fish,,Metal
752,Ottez #752,165,207.4699856499963,8,Purple,Tracksuit,Pretty Eyes,Xterminator Shades,Brown,Pirate Hat,,Drool,,Metal
2868,Ottez #2868,166,207.43702198584072,7,Dark Grey,Double Vest,Starry Eyed,,Stripey Fawn,Pirate Hat,,Closed,,White
3475,Ottez #3475,167,207.30431521963683,7,Dark Grey,Checked Shirt,Hypnotised,,Stripey Sand,Bamboo Hat,,Ape,,Plain
2047,Ottez #2047,168,206.41544756669913,8,Green,Red Leather Jacket,Green Eyes,,Brown,Pirate Hat,,Gritted,Nose Ring,Plain
3791,Ottez #3791,169,206.00709933609798,9,Pink,Red Leather Jacket,Glowing Eyes,Black Wayfarer,Stoner,Propeller Hat,,Happy,Nose Ring,Metal
3884,Ottez #3884,170,204.7165632369649,9,Pink,Aviator Jacket,Blue Eyes,Rap Shades,Grey,Exposed Brain,,Drool,Nose Ring,Metal
714,Ottez #714,171,204.57679626594145,8,Orange,Punk Leather,Sexy Eyes,Rap Shades,Albino,Moped Helmet,,Closed,,Plain
459,Ottez #459,172,204.34887182903515,8,Blue,Ottvana Tshirt,Closed Eyes,Aviators,Brown,Bunny Ears,,Closed,,White
2948,Ottez #2948,173,202.9087004362521,8,Yellow,Black Hoodie,Cheeky Eyes,Rap Shades,Albino,Orange Beanie,,Ape,,Plain
1999,Ottez #1999,174,202.8201578944379,8,Blue,Checked Shirt,Closed Eyes,Tortoise Shell,Fawn,Exposed Brain,,Happy,,White
715,Ottez #715,175,202.5182669225995,8,Orange,Tracksuit,Sexy Eyes,Black Wayfarer,Stripey Fawn,Luffy Hat,,Smile,,Plain
20,Ottez #20,176,201.1143398977286,8,Navy,Watermelon Tshirt,Heart Eyes,Black Wayfarer,Grey,Bandana,,Fish,,White
2501,Ottez #2501,177,201.10433328836965,8,Pink,Puffer Jacket,Starry Eyed,,Fawn,Exposed Brain,,Sick,Nose Ring,Plain
3655,Ottez #3655,178,200.75421767439838,9,Navy,Ottez Tshirt,Cheeky Eyes,Aviators,Purple,Luffy Hat,,Gritted,Bull Ring,Fire
1777,Ottez #1777,179,200.32874540626426,8,Pink,Vegas Shirt,Cheeky Eyes,Aviators,Stripey Fawn,Luffy Hat,,Happy,,Plain
395,Ottez #395,180,199.99167001626137,7,Orange,Punk Leather,Cheeky Eyes,,Purple,Viking Helmet,,Gritted,,Metal
1062,Ottez #1062,181,199.84526971521836,9,Blue,Dungarees,Glowing Eyes,3D,Brown,Viking Helmet,,Gritted,Bull Ring,White
1380,Ottez #1380,182,199.67690357983432,8,Blue,Striped Tshirt,Heterochromia,Tortoise Shell,Brown,Pirate Hat,,Smile,,Plain
2134,Ottez #2134,183,199.3715396345086,8,Navy,Green Varsity,Wide Eyed,Adventurer,Grey,Viking Helmet,,Gap Tooth,,White
1248,Ottez #1248,184,199.26076649002232,8,Navy,Plain Tshirt,Glowing Eyes,Black Wayfarer,Fawn,Luffy Hat,,Happy,,White
1451,Ottez #1451,185,199.19714422071624,8,Purple,,Cheeky Eyes,Heart Shades,Grey,Luffy Hat,,Sick,Bull Ring,Plain
145,Ottez #145,186,198.16483551624117,8,Navy,Green Varsity,Brown Eyes,Black Wayfarer,Grey,Luffy Hat,,Tongue Out,,White
1008,Ottez #1008,187,197.7848499082422,7,Orange,Watermelon Tshirt,Pretty Eyes,,Albino,Crockett Hat,,Gap Tooth,,Plain
932,Ottez #932,188,197.74250770027422,8,Pink,Double Vest,Hypnotised,Black Wayfarer,Grey,Pirate Hat,,Whistle,,Plain
3824,Ottez #3824,189,197.7023210977008,8,Blue,Tracksuit,Sexy Eyes,Rap Shades,Brown,Viking Helmet,,Gap Tooth,,Metal
1049,Ottez #1049,190,197.28153666422313,9,Blue,Checked Shirt,Brown Eyes,Adventurer,Stripey Sand,Viking Helmet,,Smile,Bull Ring,Metal
2778,Ottez #2778,191,197.26240504135652,8,Green,Plain Tshirt,Hypnotised,Black Wayfarer,Brown,Moped Helmet,,Fish,,Plain
3778,Ottez #3778,192,196.85899287588015,9,Navy,Dungarees,Brown Eyes,Heart Shades,Stoner,Pirate Hat,,Drool,Bull Ring,White
