ID,Name,Rank,Rarity_Score,Attributes,Background,Foreground,Hat,Head,Jacket,Left Eye,Mouth,Nose,Overlay,Right Eye,Shirt
4622,RAGGEDZ #4622,29,206.7763457963,11,Milkyway,Cat,1800,Bucket,Doctor,Clip,Zip,Bling,Picture,Spring,Basic
4056,RAGGEDZ #4056,30,205.2317630081,11,Warm,Sunflower,Pirate,Soccer,Worn-out-,Bling,Zip,Stick,Grunge,Button,White
4678,RAGGEDZ #4678,31,202.5185190076,10,Dark,Cat,Worn-out,Oldbag,Worn-out-,,Bling,Clay,Smoke,Obsidian,Basic
4438,RAGGEDZ #4438,32,201.9409314555,10,Dark,,Worn-out,Bucket,Scarecrow,Obsidian,Bling,Icecreamcone,Web,Cross,White
3757,RAGGEDZ #3757,33,200.7740649545,11,Dark,Ghost,Worn-out,Pumpkin,Hanged,Button,Sewn,Bling,Lightning,Button,Basic
3796,RAGGEDZ #3796,34,199.2894855735,11,Swamp,Pitchfork,,Soccer,Doctor,Obsidian,Zip,Bling,Foggy,Button,Basic
4501,RAGGEDZ #4501,35,198.7442991032,10,Starry,,Worn-out,Bucket,Worn-out-,Bling,Sewn,Clay,Glitter,Button,Anarchy
4499,RAGGEDZ #4499,36,196.5245164435,10,Starry,,1800,Soccer,Worn-out-,Clip,Bling,Rottencarrot,Haze,Clip,White
4269,RAGGEDZ #4269,37,194.1096735796,11,Gold,Sunflower,Wizard,Box,Worn-out-,Clip,Lucky,Rottencarrot,Tvstatic,Obsidian,Basic
3725,RAGGEDZ #3725,38,191.7568401564,9,Gold,,,Soccer,Punk,,Zip,Rottencarrot,Grunge,Painted,Anarchy
3593,RAGGEDZ #3593,39,191.3810661102,10,Forest,,,Foam,Worn-out-,Cross,Zip,Bling,Foggy,Clip,Anarchy
4116,RAGGEDZ #4116,40,181.7863613498,11,Starry,Sunflower,,Foam,Worn-out-,Button,Courier,Bling,Tvstatic,Obsidian,Basic
3767,RAGGEDZ #3767,41,181.5221155733,11,Dark,Sunflower,Worn-out,Pumpkin,Hanged,Button,Zip,Bling,Grunge,Spring,Basic
4012,RAGGEDZ #4012,42,179.8076909991,11,Starry,Wheat,Worn-out,Bucket,Scarecrow,Clip,Zip,Clay,Grunge,Bling,Sewn
4465,RAGGEDZ #4465,43,178.886368258,9,Evil,,Pirate,Foam,Worn-out-,Clip,,Tetsuo,Grunge,Bling,Anarchy
3985,RAGGEDZ #3985,44,177.9207678226,11,Cold,Pitchfork,Wizard,Bucket,Scarf,Button,Joker,Fake,Haze,Spring,Sewn
4562,RAGGEDZ #4562,45,175.5078294433,9,Dark,,1800,Foam,Worn-out-,Obsidian,Zip,Bling,Smoke,,White
3732,RAGGEDZ #3732,46,174.934777416,9,Gold,,Pirate,Bucket,Worn-out-,Obsidian,,Icecreamcone,Foggy,Clip,Anarchy
4154,RAGGEDZ #4154,47,174.1848948977,11,Misty,Pitchfork,,Oldbag,Worn-out-,Painted,Joker,Fake,Lightning,Painted,Stained
4421,RAGGEDZ #4421,48,173.67104557,11,Forest,Pitchfork,Heisenberg,Foam,Punk,Button,Zip,Tetsuo,Grunge,Button,Basic
4290,RAGGEDZ #4290,49,173.4407672347,10,Forest,,Worn-out,Foam,Scarecrow,Button,Saw,Rottencarrot,Lightning,Bling,Basic
4434,RAGGEDZ #4434,50,170.3278406477,11,Gold,Cat,Worn-out,Soccer,Worn-out-,Obsidian,Saw,Icecreamcone,Haze,Cross,Basic
4180,RAGGEDZ #4180,51,170.0057666348,9,Fire,,Fancy,Bucket,Hanged,Button,Joker,Stick,Smoke,,Sewn
4075,RAGGEDZ #4075,52,169.3322011499,10,Gold,Cat,Pirate,Pumpkin,Hanged,Button,Saw,Plasters,Smoke,,Stained
3789,RAGGEDZ #3789,53,169.2969842162,11,Gold,Crows,Worn-out,Soccer,Scarf,Clip,Sewn,Rottencarrot,Foggy,Clip,Basic
4417,RAGGEDZ #4417,54,168.182175047,11,Dark,Wheat,1800,Soccer,Doctor,Cross,Joker,Fake,Tvstatic,Obsidian,Sewn
4164,RAGGEDZ #4164,55,165.8271019615,11,Evil,Cat,,Foam,Scarecrow,Spring,Zip,Clay,Glitter,Bling,Basic
3736,RAGGEDZ #3736,56,165.1108736983,10,Gold,,Wizard,Soccer,Scarf,Button,Sewn,Stick,Web,Button,Hay
4189,RAGGEDZ #4189,57,163.7383837092,10,Warm,,Worn-out,Soccer,Worn-out-,Obsidian,Sewn,Bling,Evil,Clip,Anarchy
3794,RAGGEDZ #3794,58,161.050150229,11,Dark,Cat,,Bucket,Hanged,Spring,Zip,Rustydrill,Smoke,Bling,Stained
4341,RAGGEDZ #4341,59,159.9889722346,9,Forest,,Heisenberg,Foam,Scarecrow,Spring,Courier,Tetsuo,Snowy,,Basic
4573,RAGGEDZ #4573,60,159.713716003,9,Fire,,Worn-out,Box,Worn-out-,Spring,Sewn,Clay,Grunge,,Sewn
4208,RAGGEDZ #4208,61,159.4113841185,11,Starry,Cat,Heisenberg,Pumpkin,Scarf,Tezos,Sewn,Stick,Grunge,Cross,White
3809,RAGGEDZ #3809,62,158.5784250272,11,Forest,Ghost,Wizard,Soccer,Scarecrow,Obsidian,Zip,Rottencarrot,Tvstatic,Tezos,Sewn
3846,RAGGEDZ #3846,63,157.7874579444,10,Dark,,Wizard,Soccer,Worn-out-,Button,Courier,Rustydrill,Glitter,Bling,White
4228,RAGGEDZ #4228,64,157.5988578872,10,Forest,,Wizard,Soccer,Hanged,Obsidian,Sewn,Plasters,Evil,Bling,Stained
4055,RAGGEDZ #4055,65,157.5840877775,9,Gold,,Pirate,Oldbag,Worn-out-,,Sewn,Rottencarrot,Smoke,Button,Basic
4616,RAGGEDZ #4616,66,156.5430462125,10,Gold,,Worn-out,Soccer,Worn-out-,Button,Sewn,Clay,Lightning,Cross,Basic
4062,RAGGEDZ #4062,67,156.0554558866,10,Milkyway,,Fancy,Foam,Scarf,Cross,Courier,Clay,Evil,Bling,Stained
4405,RAGGEDZ #4405,68,155.8234350345,11,Warm,Sunflower,Worn-out,Bucket,Worn-out-,Cross,Courier,Icecreamcone,Tvstatic,Bling,White
3975,RAGGEDZ #3975,69,155.4270749607,11,Gold,Cat,Worn-out,Pumpkin,Scarecrow,Cross,Sewn,Stick,Grunge,Clip,Stained
4624,RAGGEDZ #4624,70,154.4006463096,11,Cold,Cat,1800,Pumpkin,Punk,Tezos,Zip,Icecreamcone,Evil,Button,White
4378,RAGGEDZ #4378,71,151.4575049165,11,Dark,Ghost,1800,Oldbag,Hanged,Obsidian,Lucky,Tetsuo,Picture,Button,Basic
4507,RAGGEDZ #4507,72,148.8930420836,11,Milkyway,Ghost,Worn-out,Foam,Doctor,Button,Joker,Tetsuo,Tvstatic,Painted,Basic
4205,RAGGEDZ #4205,73,148.3283657293,11,Forest,Pitchfork,,Foam,Scarecrow,Button,Sewn,Tetsuo,Lightning,Spring,White
3883,RAGGEDZ #3883,74,146.6925233081,11,Gold,Pitchfork,Worn-out,Soccer,Hanged,Clip,Sewn,Rottencarrot,Smoke,Button,Basic
4581,RAGGEDZ #4581,75,145.9681565603,11,Ufo,Cat,Wizard,Foam,Doctor,Tezos,Courier,Stick,Haze,Cross,White
4675,RAGGEDZ #4675,76,145.7573080792,11,Dark,Cat,Worn-out,Pumpkin,Hanged,Cross,Zip,Plasters,Smoke,Bling,Stained
4546,RAGGEDZ #4546,77,145.010311421,10,Dark,,Fancy,Foam,Worn-out-,Clip,Lucky,Plasters,Haze,Bling,Anarchy
4031,RAGGEDZ #4031,78,144.2942350054,10,Gold,,Worn-out,Soccer,Scarecrow,Button,Sewn,Icecreamcone,Grunge,Cross,White
4283,RAGGEDZ #4283,79,143.8588856767,11,Starry,Sunflower,Fancy,Oldbag,Scarf,Painted,Zip,Tetsuo,Smoke,Cross,White
4224,RAGGEDZ #4224,80,143.4775551143,11,Dark,Cat,Heisenberg,Bucket,Worn-out-,Button,Lucky,Rottencarrot,Smoke,Button,Sewn
3743,RAGGEDZ #3743,81,142.5623117456,11,Misty,Ghost,Fancy,Bucket,Doctor,Cross,Saw,Rustydrill,Foggy,Spring,White
3897,RAGGEDZ #3897,82,142.5011432008,10,Starry,,,Bucket,Doctor,Clip,Saw,Stick,Tvstatic,Tezos,Sewn
3635,RAGGEDZ #3635,83,142.2591436142,11,Misty,Crows,Pirate,Oldbag,Doctor,Obsidian,Saw,Rustydrill,Glitter,Tezos,Anarchy
3946,RAGGEDZ #3946,84,142.0202413411,11,Starry,Wheat,,Foam,Doctor,Tezos,Saw,Icecreamcone,Foggy,Button,Anarchy
4558,RAGGEDZ #4558,85,141.6129195504,11,Starry,Crows,Fancy,Bucket,Scarf,Painted,Joker,Clay,Snowy,Spring,Stained
4084,RAGGEDZ #4084,86,141.5553693227,11,Ufo,Pitchfork,Fancy,Foam,Doctor,Spring,Courier,Clay,Glitter,Painted,White
4382,RAGGEDZ #4382,87,140.399635075,9,Fire,,Heisenberg,Foam,Doctor,,Saw,Plasters,Snowy,Button,Anarchy
3824,RAGGEDZ #3824,88,140.0503589061,10,Dark,,Pirate,Soccer,Worn-out-,Tezos,Lucky,Tetsuo,Snowy,Button,Anarchy
3882,RAGGEDZ #3882,89,138.9533783577,10,Forest,,Worn-out,Oldbag,Scarecrow,Cross,Sewn,Tetsuo,Picture,Cross,Stained
4329,RAGGEDZ #4329,90,138.9251833963,11,Warm,Ghost,Fancy,Soccer,Doctor,Spring,Joker,Rottencarrot,Lightning,Clip,White
4146,RAGGEDZ #4146,91,138.483591666,11,Ufo,Cat,Wizard,Bucket,Scarecrow,Tezos,Sewn,Rottencarrot,Snowy,Clip,Basic
4391,RAGGEDZ #4391,92,138.2811241011,10,Milkyway,,Heisenberg,Soccer,Worn-out-,Cross,Courier,Plasters,Glitter,Tezos,Hay
4054,RAGGEDZ #4054,93,137.8757483156,10,Dark,Ghost,Heisenberg,Soccer,Hanged,Button,,Rottencarrot,Haze,Tezos,Hay
4367,RAGGEDZ #4367,94,136.6479608869,11,Evil,Pitchfork,Worn-out,Foam,Scarf,Tezos,Zip,Plasters,Web,Spring,White
4218,RAGGEDZ #4218,95,136.1549390163,9,Dark,,Worn-out,Box,Hanged,,Sewn,Tetsuo,Smoke,Button,Hay
3617,RAGGEDZ #3617,96,136.1224546601,10,Starry,,Heisenberg,Foam,Worn-out-,Clip,Lucky,Icecreamcone,Foggy,Tezos,White
4441,RAGGEDZ #4441,97,135.3210027944,11,Starry,Ghost,Heisenberg,Bucket,Doctor,Button,Courier,Icecreamcone,Glitter,Obsidian,Anarchy
4349,RAGGEDZ #4349,98,135.2379363892,11,Starry,Pitchfork,Heisenberg,Soccer,Worn-out-,Obsidian,Zip,Fake,Grunge,Painted,White
4655,RAGGEDZ #4655,99,134.6391194383,10,Warm,,Wizard,Soccer,Scarecrow,Button,Sewn,Clay,Snowy,Bling,Basic
3961,RAGGEDZ #3961,100,134.5699747005,9,Warm,,Worn-out,Soccer,Worn-out-,Button,,Rottencarrot,Smoke,Bling,Stained
3918,RAGGEDZ #3918,101,134.443221019,10,Dark,Crows,Pirate,Foam,Doctor,,Sewn,Clay,Grunge,Bling,Anarchy
4497,RAGGEDZ #4497,102,134.4066854797,11,Ufo,Wheat,1800,Pumpkin,Doctor,Painted,Lucky,Clay,Glitter,Clip,White
4440,RAGGEDZ #4440,103,134.1074757817,9,Fire,,Worn-out,Bucket,Hanged,Clip,Saw,Clay,Picture,,Hay
3990,RAGGEDZ #3990,104,133.439513947,11,Fire,Wheat,Fancy,Pumpkin,Scarecrow,Obsidian,Joker,Clay,Web,Button,Stained
4295,RAGGEDZ #4295,105,133.3909096204,10,Milkyway,,Worn-out,Box,Hanged,Spring,Zip,Clay,Web,Button,Sewn
3709,RAGGEDZ #3709,106,133.2535226405,11,Ufo,Ghost,Pirate,Pumpkin,Doctor,Obsidian,Courier,Plasters,Grunge,Tezos,Stained
4046,RAGGEDZ #4046,107,132.8949372472,11,Starry,Crows,Pirate,Foam,Doctor,Painted,Joker,Fake,Tvstatic,Clip,White
4505,RAGGEDZ #4505,108,132.792304277,10,Forest,,Worn-out,Box,Scarecrow,Obsidian,Zip,Rustydrill,Lightning,Clip,Stained
4160,RAGGEDZ #4160,109,132.0939044165,10,Ufo,,Wizard,Oldbag,Hanged,Clip,Zip,Tetsuo,Haze,Button,Stained
4037,RAGGEDZ #4037,110,130.8190365994,11,Ufo,Ghost,Wizard,Soccer,Worn-out-,Spring,Saw,Rottencarrot,Grunge,Cross,Hay
4130,RAGGEDZ #4130,111,130.0611256917,11,Cold,Wheat,Pirate,Foam,Worn-out-,Tezos,Sewn,Clay,Lightning,Button,Basic
4433,RAGGEDZ #4433,112,128.9571210251,10,Swamp,Sunflower,Worn-out,Bucket,Hanged,,Zip,Clay,Grunge,Painted,Sewn
3784,RAGGEDZ #3784,113,128.8215918172,11,Evil,Cat,Pirate,Foam,Punk,Cross,Lucky,Fake,Web,Button,Basic
4080,RAGGEDZ #4080,114,128.3085626986,11,Starry,Wheat,Worn-out,Oldbag,Worn-out-,Painted,Zip,Plasters,Grunge,Cross,Sewn
4486,RAGGEDZ #4486,115,127.66009644,11,Ufo,Cat,Worn-out,Bucket,Scarecrow,Painted,Sewn,Rottencarrot,Picture,Cross,Stained
3671,RAGGEDZ #3671,116,127.6112851357,11,Misty,Wheat,Heisenberg,Foam,Scarecrow,Spring,Saw,Stick,Grunge,Button,Anarchy
3708,RAGGEDZ #3708,117,127.5360141479,11,Warm,Cat,Fancy,Bucket,Scarf,Clip,Saw,Stick,Picture,Clip,White
4617,RAGGEDZ #4617,118,127.5128498081,11,Misty,Wheat,Pirate,Bucket,Punk,Cross,Sewn,Rottencarrot,Lightning,Cross,Basic
4145,RAGGEDZ #4145,119,127.4362196781,10,Fire,,Heisenberg,Pumpkin,Scarecrow,Obsidian,Zip,Icecreamcone,Snowy,Button,Anarchy
4214,RAGGEDZ #4214,120,127.35347571,9,Starry,,Fancy,Pumpkin,Hanged,Button,,Tetsuo,Web,Obsidian,Hay
3970,RAGGEDZ #3970,121,126.7782150294,10,Forest,Pitchfork,Pirate,Bucket,Scarf,Painted,Zip,Stick,Lightning,,Stained
4393,RAGGEDZ #4393,122,126.5716592078,11,Starry,Crows,Heisenberg,Foam,Scarf,Obsidian,Sewn,Plasters,Grunge,Painted,Basic
4023,RAGGEDZ #4023,123,126.4974033616,9,Cold,,Worn-out,Box,Punk,Cross,Sewn,Clay,Smoke,,Stained
3766,RAGGEDZ #3766,124,126.4243660008,10,Milkyway,,Worn-out,Box,Punk,Button,Saw,Rottencarrot,Evil,Button,Basic
4693,RAGGEDZ #4693,125,126.1633373895,10,Dark,,Heisenberg,Pumpkin,Doctor,Painted,Lucky,Rustydrill,Snowy,Cross,Basic
4591,RAGGEDZ #4591,126,126.1585958433,10,Misty,Crows,Fancy,Box,Worn-out-,Cross,Saw,Plasters,Snowy,,Stained
4490,RAGGEDZ #4490,127,125.4631580167,10,Dark,Pitchfork,Pirate,Foam,Worn-out-,Cross,Saw,Stick,Web,,Sewn
3968,RAGGEDZ #3968,128,125.4295198743,11,Milkyway,Cat,Fancy,Bucket,Hanged,Tezos,Lucky,Stick,Smoke,Button,Stained
4583,RAGGEDZ #4583,129,124.885478423,10,Fire,Wheat,1800,Foam,Hanged,Painted,,Plasters,Lightning,Clip,Basic
3760,RAGGEDZ #3760,130,124.8063786686,11,Cold,Crows,,Pumpkin,Worn-out-,Button,Zip,Tetsuo,Picture,Cross,Basic
3890,RAGGEDZ #3890,131,124.8010811817,10,Misty,,,Bucket,Punk,Button,Sewn,Tetsuo,Grunge,Cross,Stained
3724,RAGGEDZ #3724,132,124.764436943,11,Swamp,Ghost,Wizard,Bucket,Worn-out-,Button,Zip,Rustydrill,Grunge,Tezos,Hay
3931,RAGGEDZ #3931,133,124.7259567352,10,Ufo,Ghost,Worn-out,Soccer,Worn-out-,Button,Courier,Tetsuo,Grunge,,Anarchy
3820,RAGGEDZ #3820,134,124.6393626354,11,Swamp,Pitchfork,Fancy,Bucket,Doctor,Button,Joker,Rustydrill,Web,Button,Anarchy
4690,RAGGEDZ #4690,135,124.4167294841,10,Dark,,Wizard,Soccer,Scarecrow,Tezos,Sewn,Clay,Picture,Obsidian,Basic
4255,RAGGEDZ #4255,136,123.9041505972,10,Cold,Cat,Heisenberg,Pumpkin,Worn-out-,Painted,Saw,Rottencarrot,Grunge,,White
4256,RAGGEDZ #4256,137,123.1469463373,10,Fire,Cat,Fancy,Pumpkin,Scarf,Spring,Zip,Rottencarrot,Tvstatic,,Hay
4344,RAGGEDZ #4344,138,122.2292624478,10,Fire,Pitchfork,1800,Bucket,Doctor,,Saw,Icecreamcone,Glitter,Clip,Stained
4526,RAGGEDZ #4526,139,122.0765879602,10,Milkyway,Wheat,Worn-out,Pumpkin,Scarecrow,,Zip,Plasters,Grunge,Tezos,Sewn
3610,RAGGEDZ #3610,140,121.7481337257,9,Swamp,,Worn-out,Bucket,Scarecrow,Painted,,Stick,Foggy,Painted,Anarchy
4432,RAGGEDZ #4432,141,121.2722297835,9,Warm,,Worn-out,Soccer,Hanged,,Zip,Fake,Smoke,Button,Sewn
4420,RAGGEDZ #4420,142,121.1047322759,10,Fire,,1800,Soccer,Worn-out-,Clip,Courier,Fake,Lightning,Cross,Basic
3626,RAGGEDZ #3626,143,120.9846703158,11,Forest,Sunflower,,Box,Worn-out-,Cross,Zip,Stick,Tvstatic,Button,Anarchy
4192,RAGGEDZ #4192,144,120.9501363945,11,Fire,Sunflower,,Pumpkin,Worn-out-,Button,Lucky,Rottencarrot,Tvstatic,Tezos,Stained
4137,RAGGEDZ #4137,145,120.9369394516,11,Forest,Crows,Heisenberg,Foam,Scarf,Cross,Zip,Rottencarrot,Grunge,Button,Basic
3752,RAGGEDZ #3752,146,120.9306827108,11,Warm,Pitchfork,Heisenberg,Bucket,Hanged,Painted,Courier,Rottencarrot,Haze,Clip,Anarchy
4100,RAGGEDZ #4100,147,120.8193219077,11,Forest,Pitchfork,Wizard,Bucket,Worn-out-,Button,Sewn,Rottencarrot,Grunge,Cross,Sewn
3774,RAGGEDZ #3774,148,120.7480720451,9,Fire,,Fancy,Pumpkin,Scarf,,Lucky,Rustydrill,Grunge,Cross,Basic
4108,RAGGEDZ #4108,149,120.4180837176,9,Dark,,Fancy,Bucket,Scarf,Spring,,Fake,Grunge,Painted,Basic
4459,RAGGEDZ #4459,150,120.3268422493,10,Milkyway,,Pirate,Foam,Doctor,Spring,Sewn,Clay,Glitter,Cross,Sewn
4429,RAGGEDZ #4429,151,119.9830080167,11,Evil,Wheat,Worn-out,Pumpkin,Scarf,Button,Courier,Stick,Lightning,Spring,Basic
4436,RAGGEDZ #4436,152,119.8899483852,11,Dark,Ghost,1800,Bucket,Doctor,Button,Sewn,Clay,Lightning,Spring,Hay
4425,RAGGEDZ #4425,153,119.6753768896,11,Misty,Wheat,Heisenberg,Oldbag,Doctor,Button,Sewn,Clay,Evil,Cross,Basic
4419,RAGGEDZ #4419,154,119.6326493669,10,Forest,,Worn-out,Soccer,Hanged,Spring,Zip,Clay,Web,Clip,Sewn
3622,RAGGEDZ #3622,155,119.5898711366,11,Dark,Sunflower,Pirate,Foam,Worn-out-,Tezos,Sewn,Plasters,Haze,Obsidian,White
3614,RAGGEDZ #3614,156,119.4693490087,11,Cold,Wheat,,Foam,Worn-out-,Obsidian,Zip,Icecreamcone,Haze,Clip,Sewn
4207,RAGGEDZ #4207,157,119.0717330224,11,Starry,Sunflower,Fancy,Foam,Hanged,Tezos,Sewn,Rottencarrot,Evil,Button,Basic
4266,RAGGEDZ #4266,158,118.8909503458,11,Evil,Pitchfork,1800,Soccer,Scarecrow,Button,Joker,Clay,Grunge,Painted,White
3905,RAGGEDZ #3905,159,118.6294545634,11,Starry,Wheat,Heisenberg,Pumpkin,Scarecrow,Spring,Sewn,Rottencarrot,Tvstatic,Clip,Stained
4563,RAGGEDZ #4563,160,118.5848681874,11,Milkyway,Ghost,Worn-out,Soccer,Punk,Button,Courier,Icecreamcone,Web,Button,Hay
4426,RAGGEDZ #4426,161,118.5775104636,10,Dark,Cat,Worn-out,Box,Worn-out-,Obsidian,,Fake,Glitter,Button,Anarchy
3813,RAGGEDZ #3813,162,118.5581542618,10,Swamp,,Wizard,Bucket,Scarecrow,Button,Lucky,Fake,Snowy,Tezos,White
4416,RAGGEDZ #4416,163,118.0594037787,11,Starry,Crows,1800,Box,Scarecrow,Obsidian,Courier,Rustydrill,Haze,Cross,Basic
4236,RAGGEDZ #4236,164,117.3860581446,11,Forest,Ghost,Worn-out,Oldbag,Scarecrow,Cross,Sewn,Rottencarrot,Tvstatic,Painted,Basic
4565,RAGGEDZ #4565,165,117.3828107076,10,Misty,Ghost,Worn-out,Box,Worn-out-,,Zip,Fake,Haze,Button,Anarchy
4496,RAGGEDZ #4496,166,117.0414808833,10,Dark,Crows,1800,Foam,Punk,Cross,,Fake,Smoke,Obsidian,Anarchy
3637,RAGGEDZ #3637,167,116.8887880264,10,Starry,,Pirate,Soccer,Worn-out-,Button,Zip,Tetsuo,Glitter,Spring,White
4258,RAGGEDZ #4258,168,116.8576001797,11,Fire,Cat,1800,Oldbag,Scarecrow,Clip,Courier,Plasters,Glitter,Button,Basic
4400,RAGGEDZ #4400,169,116.5786048094,11,Misty,Wheat,Fancy,Foam,Doctor,Button,Zip,Clay,Grunge,Button,Sewn
4251,RAGGEDZ #4251,170,116.428997498,11,Dark,Cat,1800,Foam,Worn-out-,Spring,Saw,Stick,Snowy,Tezos,Stained
3872,RAGGEDZ #3872,171,116.3668163136,10,Swamp,Cat,Pirate,Foam,Doctor,Tezos,Zip,Clay,Haze,,Basic
4474,RAGGEDZ #4474,172,116.302968482,11,Swamp,Cat,1800,Foam,Scarecrow,Painted,Courier,Stick,Web,Painted,Anarchy
4183,RAGGEDZ #4183,173,116.20507987,10,Dark,,,Oldbag,Hanged,Button,Courier,Rottencarrot,Tvstatic,Clip,Sewn
3858,RAGGEDZ #3858,174,116.1208239951,11,Milkyway,Cat,Worn-out,Foam,Doctor,Tezos,Courier,Clay,Glitter,Clip,Basic
3592,RAGGEDZ #3592,175,116.104359686,11,Dark,Cat,Pirate,Oldbag,Worn-out-,Spring,Saw,Fake,Smoke,Button,White
3737,RAGGEDZ #3737,176,115.9966242036,11,Starry,Sunflower,,Foam,Scarf,Obsidian,Zip,Rustydrill,Tvstatic,Tezos,White
3971,RAGGEDZ #3971,177,115.7917615567,10,Dark,,Wizard,Soccer,Doctor,Obsidian,Lucky,Rustydrill,Lightning,Tezos,Stained
3798,RAGGEDZ #3798,178,115.6519869662,11,Dark,Crows,Worn-out,Pumpkin,Hanged,Tezos,Courier,Clay,Tvstatic,Clip,Basic
4051,RAGGEDZ #4051,179,115.5865478244,11,Evil,Ghost,Pirate,Foam,Doctor,Painted,Sewn,Plasters,Foggy,Cross,Stained
4385,RAGGEDZ #4385,180,115.3984543996,10,Cold,,Wizard,Bucket,Punk,Painted,Courier,Rustydrill,Grunge,Cross,Stained
4363,RAGGEDZ #4363,181,115.2711895145,11,Swamp,Crows,1800,Bucket,Scarecrow,Cross,Lucky,Fake,Web,Obsidian,White
4272,RAGGEDZ #4272,182,115.0594293736,10,Misty,Sunflower,1800,Box,Doctor,Cross,Lucky,Rustydrill,Smoke,,Basic
4361,RAGGEDZ #4361,183,114.495831608,11,Swamp,Ghost,Pirate,Bucket,Doctor,Clip,Zip,Stick,Lightning,Clip,Anarchy
