ID,Name,Rank,Rarity_Score,Attributes,Background,Costume,Ear Accessory,Face,Hair,Hand Accessory,Head Accessory,Legendary,Neck Accessory,Skin
2743,TezApe #2743,48,99.9035694578,9,Universe Purple,Shirt,Circles,Angry,Clown hair10,Hammer,Thuglife glasses,,Bullet belt,LEOPARD
6087,TezApe #6087,49,99.5724456302,9,Diamond Blue,Life jacket,Circles,Angry,Clown hair10,M416 rifle,Samurai hat,,Golden chain,ZEBRA
3835,TezApe #3835,50,99.3643525337,9,Pink Dawn,Astronaut,Circles,Happy,Clown hair10,BaseX,Samurai hat,,Sling bag,Diamond
5894,TezApe #5894,51,99.2808325701,9,Deep Purple,Red Shirt,Circles,bored,Clown hair10,M416 rifle,Thuglife glasses,,Sling bag,EMERALD
2193,TezApe #2193,52,99.0812873346,9,Wood Red,Tiger Coat,Moon,Happy,Clown hair10,Hammer,Thuglife glasses,,Bone necklace,SILVER SKIN
4652,TezApe #4652,53,99.0613790793,9,Ruby Red,Astronaut,Cross,Angry,Clown hair10,BaseX,Eye patch,,Silver chain,Rainbow
4076,TezApe #4076,54,99.0186335653,9,Deep Purple,Red Shirt,Circles,Angry,Clown hair10,Axe,Eye patch,,Golden chain,ZEBRA
2647,TezApe #2647,55,98.9982560474,9,Diamond Blue,Shirt,Cross,bored,Clown hair10,Hammer,Thuglife glasses,,Sling bag,ZEBRA
3145,TezApe #3145,56,98.9945466941,9,Pink Dawn,karate,Cross,smirk,Clown hair10,Kattana,Samurai hat,,Sling bag,ZEBRA
5431,TezApe #5431,57,98.9358754084,9,Pink Dawn,Astronaut,Points,bored,Clown hair10,Kattana,Thuglife glasses,,Bone necklace,Rainbow
1335,TezApe #1335,58,98.6957547943,9,Glacier Blue,Red Shirt,Points,Happy,Clown hair10,Hammer,Rainbow glasses,,Golden chain,Diamond
6397,TezApe #6397,59,98.5124058624,9,Wood Red,Hoodie,Long,Angry,Clown hair10,Burger,Horns,,Silver chain,EMERALD
5109,TezApe #5109,60,98.4921044354,9,Ruby Red,Shirt,Long,smirk,Clown hair10,M416 rifle,Thuglife glasses,,Sling bag,EMERALD
6901,TezApe #6901,61,98.4505678052,9,Pink Dawn,Life jacket,Long,Angry,Clown hair10,Baseball bat,Horns,,Bullet belt,LEOPARD
4605,TezApe #4605,62,98.1935325837,9,Pink Dawn,Astronaut,Points,smirk,Clown hair10,BaseX,Heart glasses,,Golden chain,Rainbow
2441,TezApe #2441,63,98.145723167,9,Universe Purple,Hoodie,Points,bored,Clown hair10,Axe,Rainbow glasses,,Bullet belt,Diamond
1186,TezApe #1186,64,98.0660439047,9,Wood Red,jacket,Long,Angry,Clown hair10,Kattana,Eye patch,,Sling bag,Rainbow
2096,TezApe #2096,65,98.0622416488,9,Ruby Red,Life jacket,Circles,smirk,Clown hair10,Burger,Rainbow glasses,,Sling bag,Rainbow
2611,TezApe #2611,66,98.0350135856,9,Clean Cyan,karate,Cross,Happy,Clown hair10,Burger,Eye patch,,Bone necklace,SILVER SKIN
5682,TezApe #5682,67,97.9005589525,9,Deep Purple,Hoodie,Cross,HIGH,Clown hair10,Hammer,Horns,,Bullet belt,Diamond
1978,TezApe #1978,68,97.7483039326,9,Deep Purple,Life jacket,Long,Angry,Clown hair10,Burger,Samurai hat,,Tezos locket,SILVER SKIN
5577,TezApe #5577,69,97.6836664495,9,Clean Cyan,Shirt,Cross,bored,Clown hair10,BaseX,Eye patch,,Sling bag,Diamond
138,TezApe #138,70,97.649689435,9,Wood Red,Red Shirt,Long,Happy,Clown hair10,Burger,Eye patch,,Silver chain,EMERALD
6449,TezApe #6449,71,97.3268441808,9,Ruby Red,Life jacket,Moon,smirk,Clown hair10,M416 rifle,Rainbow glasses,,Golden chain,EMERALD
1608,TezApe #1608,72,97.217111335,9,Wood Red,Shirt,Moon,smirk,Clown hair10,Burger,Rainbow glasses,,Golden chain,EMERALD
6873,TezApe #6873,73,97.2078519454,9,Ruby Red,Shirt,Points,smirk,Clown hair10,BaseX,Rainbow glasses,,Golden chain,ZEBRA
1897,TezApe #1897,74,97.2055068924,9,Ruby Red,karate,Circles,Angry,Clown hair10,Kattana,Eye patch,,Tezos locket,Diamond
2724,TezApe #2724,75,97.1867285873,9,Ruby Red,karate,Moon,Angry,Clown hair10,M416 rifle,Samurai hat,,Silver chain,SILVER SKIN
6864,TezApe #6864,76,97.1373189043,9,Pink Dawn,jacket,Cross,HIGH,Clown hair10,Axe,Samurai hat,,Bone necklace,LEOPARD
1126,TezApe #1126,77,96.9957946157,9,Wood Red,karate,Points,bored,Clown hair10,Burger,Heart glasses,,Bullet belt,Rainbow
1806,TezApe #1806,78,96.8874760669,9,Diamond Blue,jacket,Circles,HIGH,Clown hair10,Hammer,Eye patch,,Golden chain,SILVER SKIN
4319,TezApe #4319,79,96.8243572452,9,Deep Purple,Hoodie,Points,smirk,Clown hair10,Axe,Horns,,Silver chain,Diamond
5228,TezApe #5228,80,96.8053747263,9,Ruby Red,Red Shirt,Moon,bored,Clown hair10,BaseX,Thuglife glasses,,Silver chain,LEOPARD
2161,TezApe #2161,81,96.642890171,9,Ruby Red,Life jacket,Long,HIGH,Clown hair10,Axe,Samurai hat,,Sling bag,EMERALD
6392,TezApe #6392,82,96.4333225908,9,Diamond Blue,Hoodie,Points,smirk,Clown hair10,Burger,Samurai hat,,Golden chain,EMERALD
1406,TezApe #1406,83,96.3446886191,9,Pink Dawn,karate,Moon,bored,Clown hair10,BaseX,Eye patch,,Silver chain,Diamond
5099,TezApe #5099,84,96.3256020693,9,Deep Purple,Life jacket,Points,smirk,Clown hair10,Hammer,Rainbow glasses,,Tezos locket,Rainbow
872,TezApe #872,85,96.314742105,9,Ruby Red,Red Shirt,Points,smirk,Clown hair10,BaseX,Samurai hat,,Sling bag,EMERALD
5541,TezApe #5541,86,96.2256083978,9,Forest Green,karate,Long,bored,Clown hair10,Baseball bat,Heart glasses,,Bullet belt,Rainbow
4931,TezApe #4931,87,96.1981743662,9,Diamond Blue,Hoodie,Moon,Angry,Clown hair10,BaseX,Heart glasses,,Tezos locket,Diamond
2451,TezApe #2451,88,96.0644618473,9,Pink Dawn,Life jacket,Moon,HIGH,Clown hair10,Axe,Thuglife glasses,,Golden chain,Rainbow
453,TezApe #453,89,95.8502454368,9,Pink Dawn,Hoodie,Moon,HIGH,Clown hair10,Kattana,Heart glasses,,Golden chain,Diamond
4130,TezApe #4130,90,95.8486819737,9,Pink Dawn,karate,Points,Happy,Clown hair10,Kattana,Heart glasses,,Tezos locket,EMERALD
1625,TezApe #1625,91,95.7936971341,9,Forest Green,Hoodie,Circles,smirk,Clown hair10,Axe,Samurai hat,,Silver chain,Rainbow
1154,TezApe #1154,92,95.7077568221,9,Glacier Blue,Shirt,Long,bored,Clown hair10,Baseball bat,Samurai hat,,Golden chain,Rainbow
1710,TezApe #1710,93,95.6774364258,9,Forest Green,Life jacket,Circles,smirk,Clown hair10,Baseball bat,Thuglife glasses,,Silver chain,Rainbow
4785,TezApe #4785,94,95.6601001866,9,Pink Dawn,Red Shirt,Points,Happy,Clown hair10,Axe,Eye patch,,Silver chain,EMERALD
1449,TezApe #1449,95,95.6458354824,9,Ruby Red,Red Shirt,Points,bored,Clown hair10,Baseball bat,Eye patch,,Silver chain,Diamond
6272,TezApe #6272,96,95.5837016322,9,Forest Green,Hoodie,Long,Happy,Clown hair10,Kattana,Heart glasses,,Golden chain,Diamond
6474,TezApe #6474,97,95.5265932287,9,Forest Green,jacket,Cross,Angry,Clown hair10,BaseX,Thuglife glasses,,Golden chain,Diamond
2485,TezApe #2485,98,95.4423356404,9,Deep Purple,Tiger Coat,Cross,bored,Clown hair10,BaseX,Thuglife glasses,,Bone necklace,EMERALD
5190,TezApe #5190,99,95.3257949692,9,Forest Green,jacket,Cross,Angry,Clown hair10,Axe,Thuglife glasses,,Silver chain,SILVER SKIN
3383,TezApe #3383,100,95.319547001,9,Glacier Blue,jacket,Long,bored,Clown hair10,BaseX,Heart glasses,,Silver chain,Rainbow
5798,TezApe #5798,101,95.3056322614,9,Clean Cyan,Tiger Coat,Long,Angry,Clown hair10,Kattana,Heart glasses,,Bone necklace,SILVER SKIN
575,TezApe #575,102,95.2622657752,9,Forest Green,jacket,Cross,Angry,Clown hair10,Baseball bat,Rainbow glasses,,Silver chain,EMERALD
5339,TezApe #5339,103,95.1783709233,9,Glacier Blue,Hoodie,Cross,Happy,Clown hair10,BaseX,Heart glasses,,Bone necklace,EMERALD
914,TezApe #914,104,95.1597336973,9,Glacier Blue,jacket,Long,Angry,Clown hair10,Axe,Samurai hat,,Silver chain,Rainbow
3911,TezApe #3911,105,95.149015204,9,Glacier Blue,Shirt,Cross,Angry,Clown hair10,Baseball bat,Rainbow glasses,,Silver chain,Rainbow
5000,TezApe #5000,106,95.1062615505,9,Diamond Blue,Tiger Coat,Circles,Happy,Clown hair10,Kattana,Heart glasses,,Bone necklace,Diamond
1461,TezApe #1461,107,94.9449422553,9,Universe Purple,karate,Circles,bored,Clown hair10,Axe,Samurai hat,,Golden chain,EMERALD
2679,TezApe #2679,108,94.7099956,9,Glacier Blue,jacket,Cross,Happy,Clown hair10,Axe,Thuglife glasses,,Silver chain,SILVER SKIN
3463,TezApe #3463,109,94.5467677452,9,Pink Dawn,Astronaut,Circles,smirk,Clown hair10,Baseball bat,Thuglife glasses,,Golden chain,SILVER SKIN
420,TezApe #420,110,94.5050261422,9,Wood Red,Tiger Coat,Cross,Happy,Clown hair10,Axe,Heart glasses,,Silver chain,Rainbow
2971,TezApe #2971,111,94.4173082541,9,Clean Cyan,Astronaut,Long,Angry,Clown hair10,Hammer,Rainbow glasses,,Silver chain,SILVER SKIN
3359,TezApe #3359,112,94.326739885,9,Wood Red,karate,Cross,bored,Clown hair10,Hammer,Samurai hat,,Bone necklace,ZEBRA
567,TezApe #567,113,94.1610092114,9,Wood Red,Shirt,Cross,bored,Clown hair10,BaseX,Samurai hat,,Bullet belt,ZEBRA
6002,TezApe #6002,114,94.1437019855,9,Pink Dawn,Astronaut,Cross,Angry,Clown hair10,Baseball bat,Thuglife glasses,,Golden chain,Diamond
5173,TezApe #5173,115,94.1432304916,9,Diamond Blue,Life jacket,Circles,Angry,Clown hair10,M416 rifle,Thuglife glasses,,Bone necklace,Rainbow
3912,TezApe #3912,116,94.0884115987,9,Wood Red,Life jacket,Circles,Happy,Clown hair10,Axe,Horns,,Bone necklace,Rainbow
5660,TezApe #5660,117,93.9432067745,9,Wood Red,Hoodie,Cross,bored,Clown hair10,M416 rifle,Samurai hat,,Golden chain,Rainbow
4417,TezApe #4417,118,93.9220856195,9,Diamond Blue,Hoodie,Long,smirk,Clown hair10,BaseX,Rainbow glasses,,Golden chain,ZEBRA
3321,TezApe #3321,119,93.8421887062,9,Pink Dawn,Hoodie,Circles,smirk,Clown hair10,Kattana,Heart glasses,,Golden chain,ZEBRA
4136,TezApe #4136,120,93.7008868302,9,Deep Purple,Shirt,Circles,bored,Clown hair10,Hammer,Rainbow glasses,,Bone necklace,LEOPARD
1980,TezApe #1980,121,93.6909034108,9,Pink Dawn,Shirt,Cross,smirk,Clown hair10,Hammer,Horns,,Bullet belt,SILVER SKIN
4418,TezApe #4418,122,93.6893231643,9,Clean Cyan,Life jacket,Long,Angry,Clown hair10,M416 rifle,Samurai hat,,Bone necklace,Diamond
675,TezApe #675,123,93.6817154782,9,Wood Red,Life jacket,Cross,Angry,Clown hair10,BaseX,Rainbow glasses,,Golden chain,ZEBRA
5565,TezApe #5565,124,93.6436220482,9,Deep Purple,Red Shirt,Circles,bored,Clown hair10,Burger,Thuglife glasses,,Bullet belt,Diamond
6723,TezApe #6723,125,93.6067215885,9,Diamond Blue,karate,Long,Angry,Clown hair10,Axe,Thuglife glasses,,Silver chain,ZEBRA
6312,TezApe #6312,126,93.30840704,9,Ruby Red,Life jacket,Cross,Happy,Clown hair10,Kattana,Horns,,Golden chain,EMERALD
3533,TezApe #3533,127,93.2809067427,9,Wood Red,karate,Cross,bored,Clown hair10,Burger,Rainbow glasses,,Golden chain,SILVER SKIN
6464,TezApe #6464,128,93.201087936,9,Ruby Red,karate,Circles,Angry,Clown hair10,Burger,Rainbow glasses,,Bone necklace,EMERALD
2623,TezApe #2623,129,93.160212814,9,Pink Dawn,Hoodie,Long,Happy,Clown hair10,M416 rifle,Heart glasses,,Golden chain,EMERALD
949,TezApe #949,130,93.0884904768,9,Wood Red,karate,Cross,bored,Clown hair10,Burger,Samurai hat,,Golden chain,Diamond
744,TezApe #744,131,93.0672893941,9,Deep Purple,karate,Circles,Angry,Clown hair10,Burger,Heart glasses,,Golden chain,Diamond
6163,TezApe #6163,132,93.029875131,9,Clean Cyan,karate,Long,smirk,Clown hair10,Axe,Eye patch,,Bone necklace,EMERALD
5916,TezApe #5916,133,92.9702319972,9,Diamond Blue,Shirt,Cross,bored,Clown hair10,Baseball bat,Rainbow glasses,,Sling bag,SILVER SKIN
889,TezApe #889,134,92.9475528357,9,Pink Dawn,Shirt,Cross,smirk,Clown hair10,Kattana,Samurai hat,,Sling bag,EMERALD
3578,TezApe #3578,135,92.9468858497,9,Diamond Blue,jacket,Cross,bored,Clown hair10,Burger,Thuglife glasses,,Golden chain,Diamond
6863,TezApe #6863,136,92.8449842004,9,Ruby Red,Red Shirt,Long,Angry,Clown hair10,Burger,Samurai hat,,Golden chain,Diamond
718,TezApe #718,137,92.7497181354,9,Diamond Blue,Hoodie,Long,bored,Clown hair10,BaseX,Eye patch,,Silver chain,Rainbow
465,TezApe #465,138,92.6947831278,9,Clean Cyan,Shirt,Circles,smirk,Clown hair10,Baseball bat,Eye patch,,Golden chain,EMERALD
4388,TezApe #4388,139,92.6904866797,9,Wood Red,Red Shirt,Cross,Happy,Clown hair10,Baseball bat,Rainbow glasses,,Sling bag,Diamond
5433,TezApe #5433,140,92.66369106,9,Diamond Blue,Hoodie,Long,Angry,Clown hair10,Baseball bat,Thuglife glasses,,Sling bag,SILVER SKIN
1879,TezApe #1879,141,92.6457334497,9,Diamond Blue,karate,Long,Angry,Clown hair10,BaseX,Thuglife glasses,,Tezos locket,SILVER SKIN
6756,TezApe #6756,142,92.5507956924,9,Pink Dawn,Hoodie,Long,smirk,Clown hair10,Baseball bat,Samurai hat,,Sling bag,EMERALD
4853,TezApe #4853,143,92.5198284658,9,Deep Purple,Hoodie,Circles,Happy,Clown hair10,Axe,Thuglife glasses,,Tezos locket,SILVER SKIN
5597,TezApe #5597,144,92.3987546266,9,Wood Red,Red Shirt,Cross,Angry,Clown hair10,Baseball bat,Thuglife glasses,,Tezos locket,Diamond
4900,TezApe #4900,145,92.1558422777,9,Pink Dawn,jacket,Long,Angry,Clown hair10,BaseX,Eye patch,,Silver chain,SILVER SKIN
1546,TezApe #1546,146,92.1172878385,9,Ruby Red,karate,Long,smirk,Clown hair10,Baseball bat,Eye patch,,Silver chain,SILVER SKIN
2397,TezApe #2397,147,91.9681748127,9,Wood Red,jacket,Cross,HIGH,Clown hair10,Hammer,Rainbow glasses,,Golden chain,EMERALD
5923,TezApe #5923,148,91.8318302819,9,Deep Purple,Shirt,Points,Angry,Clown hair10,Kattana,Thuglife glasses,,Bullet belt,SILVER SKIN
2729,TezApe #2729,149,91.7518470617,9,Deep Purple,Life jacket,Moon,smirk,Clown hair10,Baseball bat,Heart glasses,,Golden chain,SILVER SKIN
3644,TezApe #3644,150,91.7175066373,9,Diamond Blue,jacket,Points,bored,Clown hair10,Kattana,Thuglife glasses,,Bullet belt,EMERALD
1718,TezApe #1718,151,91.5896168529,9,Ruby Red,Life jacket,Points,bored,Clown hair10,Kattana,Rainbow glasses,,Bone necklace,EMERALD
4531,TezApe #4531,152,91.5697887156,9,Deep Purple,Shirt,Points,Happy,Clown hair10,Axe,Heart glasses,,Bone necklace,SILVER SKIN
2872,TezApe #2872,153,91.3808133341,9,Clean Cyan,Hoodie,Moon,Happy,Clown hair10,Axe,Samurai hat,,Silver chain,SILVER SKIN
5883,TezApe #5883,154,91.3461500557,9,Wood Red,Hoodie,Points,smirk,Clown hair10,Kattana,Thuglife glasses,,Golden chain,Diamond
4460,TezApe #4460,155,91.2644898208,9,Clean Cyan,karate,Points,Happy,Clown hair10,Hammer,Samurai hat,,Golden chain,SILVER SKIN
6958,TezApe #6958,156,91.1319948126,9,Diamond Blue,Red Shirt,Points,bored,Clown hair10,Hammer,Heart glasses,,Silver chain,Diamond
1156,TezApe #1156,157,91.1016648351,9,Ruby Red,jacket,Points,Angry,Clown hair10,BaseX,Rainbow glasses,,Bullet belt,SILVER SKIN
1125,TezApe #1125,158,91.0881066634,9,Pink Dawn,jacket,Points,Angry,Clown hair10,Hammer,Samurai hat,,Bullet belt,EMERALD
4548,TezApe #4548,159,88.7669299137,9,Forest Green,Astronaut,Long,HIGH,Naruto hair,Burger,Samurai hat,,Tezos locket,ZEBRA
4928,TezApe #4928,160,88.7548773662,9,Forest Green,Astronaut,Points,Happy,Naruto hair,M416 rifle,Samurai hat,,Sling bag,ZEBRA
3887,TezApe #3887,161,88.2584391134,9,Diamond Blue,karate,Circles,bored,Clown hair10,Axe,Samurai hat,,Bullet belt,SILVER SKIN
2666,TezApe #2666,162,88.2465019645,9,Deep Purple,jacket,Circles,Happy,Clown hair10,Axe,Thuglife glasses,,Bullet belt,Rainbow
3540,TezApe #3540,163,88.2338858619,9,Clean Cyan,jacket,Long,Happy,Clown hair10,Kattana,Thuglife glasses,,Bone necklace,EMERALD
1424,TezApe #1424,164,88.2149690583,9,Clean Cyan,Red Shirt,Long,Happy,Clown hair10,BaseX,Samurai hat,,Bone necklace,Diamond
3579,TezApe #3579,165,88.1173049034,9,Deep Purple,Shirt,Long,Happy,Clown hair10,Hammer,Heart glasses,,Golden chain,Rainbow
3561,TezApe #3561,166,88.1110863164,9,Pink Dawn,Red Shirt,Cross,Happy,Clown hair10,Kattana,Rainbow glasses,,Bullet belt,SILVER SKIN
1038,TezApe #1038,167,88.104930226,9,Wood Red,Red Shirt,Circles,bored,Clown hair10,BaseX,Rainbow glasses,,Silver chain,EMERALD
2530,TezApe #2530,168,88.078216707,9,Ruby Red,Red Shirt,Long,bored,Clown hair10,Hammer,Thuglife glasses,,Bullet belt,SILVER SKIN
1167,TezApe #1167,169,87.9636155706,9,Clean Cyan,Shirt,Long,smirk,Clown hair10,Hammer,Samurai hat,,Golden chain,EMERALD
5427,TezApe #5427,170,87.8937255768,9,Pink Dawn,Red Shirt,Circles,Happy,Clown hair10,Baseball bat,Samurai hat,,Bullet belt,SILVER SKIN
6826,TezApe #6826,171,87.8678316564,9,Wood Red,Hoodie,Circles,Angry,Clown hair10,BaseX,Rainbow glasses,,Silver chain,Rainbow
6412,TezApe #6412,172,87.8524121682,9,Clean Cyan,Hoodie,Cross,bored,Clown hair10,Axe,Rainbow glasses,,Silver chain,Rainbow
2024,TezApe #2024,173,87.7915099719,9,Pink Dawn,Life jacket,Circles,Angry,Clown hair10,Axe,Heart glasses,,Bullet belt,Rainbow
1697,TezApe #1697,174,87.7645282465,9,Clean Cyan,Shirt,Circles,smirk,Clown hair10,Hammer,Rainbow glasses,,Silver chain,EMERALD
2108,TezApe #2108,175,87.745891059,9,Ruby Red,jacket,Long,Angry,Clown hair10,Axe,Samurai hat,,Bone necklace,EMERALD
3976,TezApe #3976,176,87.7366710924,9,Diamond Blue,Shirt,Long,Happy,Clown hair10,Axe,Heart glasses,,Bullet belt,EMERALD
1774,TezApe #1774,177,87.676749524,9,Diamond Blue,Shirt,Long,Happy,Clown hair10,Kattana,Heart glasses,,Silver chain,SILVER SKIN
5787,TezApe #5787,178,87.6716151409,9,Wood Red,Hoodie,Circles,bored,Clown hair10,Hammer,Thuglife glasses,,Silver chain,EMERALD
3284,TezApe #3284,179,87.618609704,9,Wood Red,Life jacket,Cross,smirk,Clown hair10,Baseball bat,Rainbow glasses,,Silver chain,Rainbow
1008,TezApe #1008,180,87.6030864962,9,Diamond Blue,Life jacket,Long,bored,Clown hair10,Axe,Heart glasses,,Golden chain,Diamond
5003,TezApe #5003,181,87.5924558517,9,Wood Red,Hoodie,Circles,Angry,Clown hair10,Baseball bat,Heart glasses,,Golden chain,SILVER SKIN
1556,TezApe #1556,182,87.4803667026,9,Pink Dawn,Hoodie,Circles,smirk,Clown hair10,Baseball bat,Samurai hat,,Golden chain,Diamond
4103,TezApe #4103,183,87.1287292891,9,Wood Red,Tiger Coat,Moon,Happy,Naruto hair,M416 rifle,Horns,,Tezos locket,ZEBRA
1180,TezApe #1180,184,85.4405327286,9,Universe Purple,Tiger Coat,Points,bored,Brown hair,M416 rifle,Horns,,Golden chain,ZEBRA
6116,TezApe #6116,185,83.824701465,9,Diamond Blue,jacket,Moon,HIGH,Naruto hair,Burger,Horns,,Tezos locket,ZEBRA
3275,TezApe #3275,186,83.6255747009,9,Universe Purple,Tiger Coat,Moon,Angry,Johny bravo hair,Hammer,Horns,,Silver chain,ZEBRA
535,TezApe #535,187,82.7197969976,9,Forest Green,Astronaut,Points,HIGH,Black hair,Burger,Samurai hat,,Silver chain,LEOPARD
1268,TezApe #1268,188,81.8923286746,9,Pink Dawn,Tiger Coat,Moon,smirk,Naruto hair,Kattana,Horns,,Sling bag,ZEBRA
6834,TezApe #6834,189,81.7083124952,9,Forest Green,karate,Points,bored,Johny bravo hair,M416 rifle,Eye patch,,Sling bag,Rainbow
