ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Eyes,Hair,Prop,Skin
1550,Les Elefants Terribles #1550,29,1407.4952881623,6,Sixth Album,Monument Valley,Gonzo Journalism,Andrelefant Charles,La Jete,Dora Maar
606,Les Elefants Terribles #606,30,1347.2801139935,6,Pretty In,Semolina Priestess,Club 27,Be Miyine,Pourpourpour,Warners
1862,Les Elefants Terribles #1862,31,1291.2647586207,6,Android Dream,Answered Prayers,JB Dot,Animal,Philosophy Lamp,No Logo
844,Les Elefants Terribles #844,32,1227.951163942,6,Warmest Colour,High Society,JB Dot,Your Cologne,Devon Saw,Elebody Hurts
1029,Les Elefants Terribles #1029,33,1201.0676335508,6,Cornetto Films,IAMTHEOBJECT,John Dot,Complete Lyrics,Mr Boatswain,Whaam
2333,Les Elefants Terribles #2333,34,1200.2879766884,6,Sixth Album,Ambition,Vanilla 7,Artschool George,Beautiful Little Fool,Dalitte
1590,Les Elefants Terribles #1590,35,1172.2581096124,6,Ninth Album,Fucking Khakis,Dom Cobb,O Father,La Jete,Warners
1660,Les Elefants Terribles #1660,36,1171.4825795665,6,Kieslowski,Semolina Priestess,Moon Bark,1981,Ai,Manuelefant
903,Les Elefants Terribles #903,37,1149.8894755137,6,Edwood,Basic Bitch,John Dot,Billy Rider,Philosophy Lamp,Tethered
1997,Les Elefants Terribles #1997,38,1148.1800251806,6,Kieslowski,Transpotter,JB Dot,Something about Mary,13 Years,Steven Brennan
255,Les Elefants Terribles #255,39,1131.2922283102,6,Cornetto Films,IAMTHEOBJECT,Dolores Hazy,Sic Transit Gloria,Blow,Pretty Glue
515,Les Elefants Terribles #515,40,1129.0044899029,6,Ninth Album,Dolly Zoom,Club 27,Sic Transit Gloria,Bret Elefant Ellis,Future Statues
504,Les Elefants Terribles #504,41,1120.7397500761,6,Kieslowski,Monument Valley,Le Violefant,Godgivenass,Devon Saw,Elebody Hurts
2362,Les Elefants Terribles #2362,42,1119.802325261,6,Ninth Album,Ambition,Club 27,Wait To Talk,Tasty,Artpop
1464,Les Elefants Terribles #1464,43,1113.701639416,6,Pretty In,Kama Sutra,Dolores Hazy,Selfportraitwith,Silk Scarf,Everything Important
483,Les Elefants Terribles #483,44,1111.4543970181,6,Ninth Album,Monument Valley,Quarryman,Andrelefant Charles,81 days,Bad Third Act
5234,Les Elefants Terribles #5234,45,1102.8971194145,6,Ninth Album,Fucking Khakis,Gonzo Journalism,Elefant 2003,Rogerz Koonz,Dead Eleman
83,Les Elefants Terribles #83,46,1096.9775026832,6,Pretty In,Charles Spiegel,John Dot,Godgivenass,Maria,Trompe Treachery
1804,Les Elefants Terribles #1804,47,1091.6407412755,6,Kieslowski,Semolina Priestess,Sunken,Andrelefant Charles,Dog Haha,No Logo
1325,Les Elefants Terribles #1325,48,1087.2293750058,6,Ninth Album,Wet Ass Pachyderm,Brian DeMontana,GCJCEITJMPTG,Love,Future Statues
5215,Les Elefants Terribles #5215,49,1083.185723565,6,Kieslowski,Fucking Khakis,Quarryman,Vincent 82,Rogerz Koonz,Trompe Treachery
1476,Les Elefants Terribles #1476,50,1014.7404156395,6,Kieslowski,Pour Signs,Bald Dot,Booky Fook,13 Years,Freakiest Lawman
1315,Les Elefants Terribles #1315,51,1014.0406558426,6,Ninth Album,Planet Starbucks,Steve Deeds,Part 2,Most Excellent,Elebody Hurts
2180,Les Elefants Terribles #2180,52,1004.431222344,6,Dorian,Vivpugh,So Horny,Wait To Talk,Philosophy Lamp,Warners
5051,Les Elefants Terribles #5051,53,994.6115652174,6,The Color,Vivpugh,Celophane Flower,Glory Fades,Cold Blood,Steven Brennan
874,Les Elefants Terribles #874,54,990.1591828396,6,Buscemi,Billy Butcher,Dom Cobb,Stoke On Trent,Caramba,Otherwisewise
2046,Les Elefants Terribles #2046,55,989.1253456107,6,Dorian,Bitch Is Back,Melon Colliefant,Treacy Muse,Love,Mad As Hell
1576,Les Elefants Terribles #1576,56,978.6254766254,6,Buscemi,Middlechildrenofhistory,Gonzo Journalism,O Mine,La Jete,Everything Important
1118,Les Elefants Terribles #1118,57,975.09125,6,Rosemary,Eros Mayday,Dom Cobb,GPSS19,Charles Camilla,Artpop
746,Les Elefants Terribles #746,58,972.6500819334,6,Seventh Album,Planet Starbucks,Vanilla 7,Glory Fades,Tasty,Lad Insane A
1208,Les Elefants Terribles #1208,59,963.5222351949,6,Seventh Album,President Beekeeper,Famous,Kik A Cosmetologist,Screen Print,Mad As Hell
1524,Les Elefants Terribles #1524,60,963.2209199706,6,Seventh Album,Coagula Favour,Irisese,Hurt Me,SNL 1992,Recently Deceased
1153,Les Elefants Terribles #1153,61,962.3402330508,6,Rosemary,Bigger Splash,Gonzo Journalism,Frame,Balloon,Sixtynine Slides
1385,Les Elefants Terribles #1385,62,962.0196720339,6,Warmest Colour,Ambition,TCB,Inthebox,Quatre Cents Coups,Volume One
380,Les Elefants Terribles #380,63,958.8618799395,6,Kieslowski,Yankee Racers,Infinite Sadness,SamoC,Excessivist,Tethered
174,Les Elefants Terribles #174,64,954.9566123532,6,Twelfth Movie,Whiskey Agogo,Cat Japan,Seduce Destroy,Philosophy Lamp,Structured Jewel
1347,Les Elefants Terribles #1347,65,948.1485125301,6,Dorian,St Martins,Stefanti Joanne,Animal,Screen Print,Wrath
1319,Les Elefants Terribles #1319,66,946.8907031507,6,Twelfth Movie,Shish Kabob,Fucking Special,O Father,Aaron,Dora Maar
2057,Les Elefants Terribles #2057,67,946.6847036119,6,Pretty In,Coagula Favour,Lovecat,Factory,Beautiful Little Fool,Freakiest Lawman
794,Les Elefants Terribles #794,68,938.6800921053,6,Android Dream,Middlechildrenofhistory,Stoopid,Kik A Cosmetologist,Dog Haha,Cannibal Class
20,Les Elefants Terribles #20,69,936.417000469,6,Dorian,Middlechildrenofhistory,DeDroog,Billy Rider,Jaron IRL,Composition
1585,Les Elefants Terribles #1585,70,935.5409932751,6,Warmest Colour,Said Goddamn,Stefanti Joanne,Suspense,Chapman,Alien Perspecive
2138,Les Elefants Terribles #2138,71,930.3638414217,6,Ninth Album,Fox Force,Le Violefant,Selfportraitwith,The Snake,Tethered
350,Les Elefants Terribles #350,72,926.5056253519,6,The Color,Planet Starbucks,Quarryman,Artschool George,Rose Cross,Great Masturbator
1265,Les Elefants Terribles #1265,73,922.5872543039,6,Warmest Colour,MPAA Desaturate,Club 27,Calvin Cord,Claire Alter,Cosmic Jive
1490,Les Elefants Terribles #1490,74,919.218956044,6,Dorian,Model United Nations,Moon Bark,Seduce Destroy,Pourpourpour,Shill Guil
2079,Les Elefants Terribles #2079,75,914.9513229645,6,Kieslowski,Fight Real Enemy,Bald Dot,SamoC,Balloon,Future Statues
769,Les Elefants Terribles #769,76,913.4683808934,6,Cornetto Films,President Beekeeper,Benny Jets,Marty,Balloon,Under The Scarlett
1892,Les Elefants Terribles #1892,77,909.6782857143,6,Android Dream,Something Wrong,Rob Liefant,GPSS19,Treachery,Steven Brennan
1359,Les Elefants Terribles #1359,78,905.7877179415,6,Cornetto Films,Kikodovar,Sunken,Diptych,Love,Reve
1810,Les Elefants Terribles #1810,79,900.7926041359,6,Kieslowski,Lux Aeterna,Smiley Pin,Selfportraitwith,Pourpourpour,Otherwisewise
392,Les Elefants Terribles #392,80,898.5383871927,6,Rosemary,Bitch Is Back,Cat Japan,No No No,Steven Allanaphone,Otherwisewise
2359,Les Elefants Terribles #2359,81,893.5448837342,6,Kieslowski,Coagula Favour,Crap Of The World,VR,Foam Fingering,Future Statues
142,Les Elefants Terribles #142,82,892.1224291537,6,Seventh Album,Pink Salmon Vibrator,Cat Japan,Becoming Yourself,Aaron,Steven Brennan
2395,Les Elefants Terribles #2395,83,888.1885179631,6,Kieslowski,Crack Wack,Daniel,Selfportraitwith,Yesterday Today,What You Deserve
1669,Les Elefants Terribles #1669,84,886.4331441091,6,Dorian,Vivpugh,Celophane Flower,Seduce Destroy,Rogerz Koonz,Wrath
639,Les Elefants Terribles #639,85,884.7800561358,6,Edwood,Middlechildrenofhistory,Quarryman,Glory Fades,Mr Boatswain,Elebody Hurts
5225,Les Elefants Terribles #5225,86,881.9367746686,6,Seventh Album,Killer Camp,Party Over,Diamond Dust,Support Symbol,Reve
1428,Les Elefants Terribles #1428,87,878.9965195246,6,Edwood,Bigger Jesus,Rob Liefant,Seven Death,Ai,Blow Lips
244,Les Elefants Terribles #244,88,878.2539837901,6,Pretty In,Tetrahedron Cluster,Splash,Diamond Dust,Claire Alter,Pugh
2480,Les Elefants Terribles #2480,89,877.6750239403,6,Electric Sheep,St Martins,Fucking Special,Kik A Cosmetologist,Tasty,Steven Brennan
5311,Les Elefants Terribles #5311,90,875.0032644723,6,Buscemi,St Martins,Daniel,Contagious,Maria,Otherwisewise
1419,Les Elefants Terribles #1419,91,874.0489168726,6,Ninth Album,Bigger Splash,Flame Suit,Andrelefant Charles,Fountain,What You Deserve
1126,Les Elefants Terribles #1126,92,867.9568571429,6,Android Dream,President Beekeeper,Party Over,Something about Mary,Rogerz Koonz,Otherwisewise
63,Les Elefants Terribles #63,93,867.4433423762,6,Electric Sheep,Crack Wack,Cat Japan,Factory,Rose Cross,Pretty Glue
129,Les Elefants Terribles #129,94,859.9211713572,6,Seventh Album,President Beekeeper,Splash,VR,Wibbling Rival,For The Love
2123,Les Elefants Terribles #2123,95,857.3954301134,6,Ninth Album,Shakermaker Idol,Serum 114,Newtons Helmet,Brocli Moss,Wrath
1452,Les Elefants Terribles #1452,96,855.642500605,6,Ninth Album,Coagula Favour,Fucking Special,Marty,HunterESS,Composition
1588,Les Elefants Terribles #1588,97,854.8968747559,6,Edwood,Shish Kabob,Gonzo Journalism,Mostwhimsicaljokeoftheseason,Fountain,Dalitte
441,Les Elefants Terribles #441,98,854.5193710545,6,Cyberpunk,Billy Butcher,Infinite Sadness,Andrelefant Charles,Claire Alter,Otherwisewise
2297,Les Elefants Terribles #2297,99,852.6550469698,6,Kieslowski,Planet Starbucks,Dolores Hazy,3000 Heels,The Snake,Volume One
2017,Les Elefants Terribles #2017,100,850.7046822272,6,Cornetto Films,Something Wrong,Famous,Mostwhimsicaljokeoftheseason,Ai,Shill Guil
1393,Les Elefants Terribles #1393,101,846.3481962918,6,Edwood,St Martins,Extracurricular,Marty,HunterESS,Composition
1087,Les Elefants Terribles #1087,102,846.1948863636,6,Ninth Album,Bigger Jesus,Celophane Flower,Kik A Cosmetologist,SAMO,Neoplastifant C
1529,Les Elefants Terribles #1529,103,846.0879620862,6,Ninth Album,Model United Nations,Yeah Yeah Yeah,Seven Death,Yesterday Today,Shill Guil
284,Les Elefants Terribles #284,104,842.1220399825,6,Buscemi,Model United Nations,Lovecat,Frame,The Snake,What You Deserve
948,Les Elefants Terribles #948,105,841.0031168755,6,Seventh Album,Always More,Splash,GCJCEITJMPTG,Brocli Moss,Artpop
2441,Les Elefants Terribles #2441,106,834.791869323,6,Kieslowski,Video Game Violence,Dolores Hazy,Cryingame,SNL 1992,Factory Additions
1004,Les Elefants Terribles #1004,107,825.9431482311,6,The Color,Culture Chameleon,Dolores Hazy,Calvin Cord,Persistent Phone,Prayer Accepted
344,Les Elefants Terribles #344,108,824.6803228763,6,Kieslowski,Sunset Strip,Bald Dot,Suspense,Bret Elefant Ellis,Otherwisewise
1640,Les Elefants Terribles #1640,109,824.0855868671,6,Ninth Album,Vivpugh,Gonzo Journalism,Seven Death,Tulips,Wrath
362,Les Elefants Terribles #362,110,824.0673369565,6,Rosemary,Kings Road,Irisese,Calvin Cord,1962,Whaam
1782,Les Elefants Terribles #1782,111,821.7494576729,6,Kieslowski,Ambition,Gonzo Journalism,No No No,Balloon,Reve
1302,Les Elefants Terribles #1302,112,820.2118824475,6,The Color,Bigger Jesus,So Horny,Elefant 2003,The Snake,Dalitte
2110,Les Elefants Terribles #2110,113,817.9243651348,6,Buscemi,Fever Dream,Club 27,Newtons Helmet,HunterESS,Dead Eleman
1389,Les Elefants Terribles #1389,114,809.6074935742,6,Dorian,High As A Kate,Dolores Hazy,Be Miyine,Rogerz Koonz,Alien Perspecive
651,Les Elefants Terribles #651,115,797.8648250921,6,Buscemi,Marion Earth,VCR,Vincent 82,Devon Saw,Uncommonly Gentle
1217,Les Elefants Terribles #1217,116,795.7968242766,6,Dorian,The Shrink,Yeah Yeah Yeah,Newtons Helmet,81 days,Neoplastifant C
94,Les Elefants Terribles #94,117,793.2242457729,6,Cyberpunk,Bigger Jesus,Dom Cobb,Suspense,1962,Freakiest Lawman
2416,Les Elefants Terribles #2416,118,792.4354964197,6,The Color,Grad Pattern,So Horny,Not A Concept,Jaron IRL,Freakiest Lawman
5096,Les Elefants Terribles #5096,119,792.0974581245,6,Pretty In,In My Area,Cruise Kidman,Your Cologne,Screen Print,Great Masturbator
1467,Les Elefants Terribles #1467,120,787.4732488827,6,Sixth Album,Shaq Thatcher,So Horny,Kik A Cosmetologist,Fountain,What You Deserve
658,Les Elefants Terribles #658,121,782.1120168373,6,Ninth Album,Bitch Is Back,Look Closer,O Father,Excessivist,Bad Third Act
2310,Les Elefants Terribles #2310,122,778.0191122741,6,Twelfth Movie,Sontag Notes,Rob Liefant,Seven Death,Most Excellent,Pure Uzzell
1155,Les Elefants Terribles #1155,123,775.0279195157,6,Android Dream,Camera Drawing,Yeah Yeah Yeah,Calvin Cord,Foam Fingering,For The Love
1823,Les Elefants Terribles #1823,124,772.1294539702,6,Warmest Colour,Polly Cracker,Serum 114,Newtons Helmet,Bodega Bay,Manuelefant
1806,Les Elefants Terribles #1806,125,771.3368380456,6,Pretty In,Grad Pattern,Famous,Son Of Man,Velvet,SisterDaughterSister
2279,Les Elefants Terribles #2279,126,770.7186872439,6,Electric Sheep,Bigger Jesus,TCB,Part 2,Korova Bar,Trompe Treachery
2044,Les Elefants Terribles #2044,127,770.0040498975,6,Ninth Album,Kama Sutra,Rob Liefant,Seven Death,81 days,Factory Additions
2371,Les Elefants Terribles #2371,128,766.7117552537,6,Ninth Album,Shaq Thatcher,Flame Suit,Diptych,Bret Elefant Ellis,SisterDaughterSister
1659,Les Elefants Terribles #1659,129,763.5660680526,6,Android Dream,Bigger Splash,Doh,Guccipiggy,Foam Fingering,Pretty Glue
73,Les Elefants Terribles #73,130,762.8282662338,6,Android Dream,Kama Sutra,Benny Jets,Miami,Yesterday Today,Dead Eleman
3,Les Elefants Terribles #3,131,759.7879119507,6,Edwood,Video Game Violence,Arbus,Deep Cover,Bodega Bay,Under The Scarlett
101,Les Elefants Terribles #101,132,757.8222077922,6,Ninth Album,Alien Three,Lovecat,O Father,Treachery,No Logo
577,Les Elefants Terribles #577,133,756.9684299593,6,Ninth Album,Marion Earth,So Horny,VW,Jaron IRL,Elebody Hurts
1638,Les Elefants Terribles #1638,134,756.7230845017,6,Twelfth Movie,Grad Pattern,Brian DeMontana,3000 Heels,Dog Haha,Freakiest Lawman
2280,Les Elefants Terribles #2280,135,756.6655534247,6,Dorian,Always More,Rob Liefant,Artschool George,Cold Blood,SisterDaughterSister
808,Les Elefants Terribles #808,136,756.4677624234,6,Pretty In,18k Likes,Irisese,VR,Pourpourpour,Prayer Accepted
694,Les Elefants Terribles #694,137,755.9067542657,6,Kieslowski,Five One Eight,Bald Dot,Godgivenass,Balloon,Wrath
1396,Les Elefants Terribles #1396,138,755.5848498331,6,Edwood,Pour Signs,Club 27,Diptych,Balloon,Pugh
449,Les Elefants Terribles #449,139,753.7429582717,6,Android Dream,Grad Pattern,Yeah Yeah Yeah,Inthebox,Rogerz Koonz,Great Masturbator
429,Les Elefants Terribles #429,140,753.387969207,6,Kieslowski,Cannes Boo,TCB,Becoming Yourself,Rogerz Koonz,Gareth
5123,Les Elefants Terribles #5123,141,752.9956109023,6,Rosemary,Jack Rabbit,Funny Game,Marty,Blow,Tethered
1962,Les Elefants Terribles #1962,142,752.7833083367,6,Electric Sheep,Billy Butcher,Extracurricular,Treacy Muse,SNL 1992,Sixtynine Slides
263,Les Elefants Terribles #263,143,752.7078511097,6,Ninth Album,Shish Kabob,EyePhone,VW,13 Years,Trompe Treachery
962,Les Elefants Terribles #962,144,749.9572524782,6,Warmest Colour,Ball Out,Splash,Complete Lyrics,Korova Bar,Gareth
545,Les Elefants Terribles #545,145,748.8447193702,6,Android Dream,Scissors Across America,Famous,1981,Rose Cross,Dora Maar
1296,Les Elefants Terribles #1296,146,747.5410787118,6,Kieslowski,BBC Killer In Me,VCR,Andrelefant Charles,Excessivist,Pretty Glue
849,Les Elefants Terribles #849,147,747.5073024072,6,Sixth Album,Undisputed Masterpiece,Telephone,Nipple Bottle,Persistent Phone,Under The Ipkiss
1408,Les Elefants Terribles #1408,148,747.0829000368,6,Ninth Album,Marion Earth,Dolores Hazy,Deep Cover,Blasfemy,Bad Third Act
946,Les Elefants Terribles #946,149,744.2125686813,6,Electric Sheep,Said Goddamn,D Fens,No Rubber,SAMO,Volume One
5107,Les Elefants Terribles #5107,150,742.0821050635,6,Dorian,Wet Ass Pachyderm,Gonzo Journalism,Suspense,Excessivist,Tethered
1825,Les Elefants Terribles #1825,151,740.2195553788,6,Twelfth Movie,Marion Earth,Splash,Kik A Cosmetologist,Balloon,Reve
1958,Les Elefants Terribles #1958,152,739.932161704,6,Edwood,David Jeff INTVW,So Horny,Diptych,Cold Blood,LUH SEN
1770,Les Elefants Terribles #1770,153,739.0496798481,6,Electric Sheep,Procrastinator,Club 27,Newtons Helmet,Caramba,Future Statues
1695,Les Elefants Terribles #1695,154,738.2833321347,6,Android Dream,Good Girl,Splash,Calvin Cord,Devon Saw,Lad Insane A
340,Les Elefants Terribles #340,155,734.2561175666,6,Ninth Album,Marion Earth,Splash,Nipple Bottle,1962,Recently Deceased
834,Les Elefants Terribles #834,156,734.1442785334,6,Buscemi,Crack Wack,Scott Pill,GPSS19,Chapman,Cosmic Jive
1019,Les Elefants Terribles #1019,157,734.0447703159,6,Electric Sheep,Hisnameisrobertporter,Cruise Kidman,O Dowd,Korova Bar,Freakiest Lawman
109,Les Elefants Terribles #109,158,731.2035628672,6,Android Dream,Eros Mayday,Crap Of The World,Glory Fades,La Jete,Sixtynine Slides
653,Les Elefants Terribles #653,159,729.4723568836,6,Ninth Album,Sunset Strip,Yeah Yeah Yeah,Regis 1610,Listening Room,Pugh
1260,Les Elefants Terribles #1260,160,728.8003710027,6,Cornetto Films,David Jeff INTVW,Daniel,Becoming Yourself,Velvet,Volume One
1761,Les Elefants Terribles #1761,161,728.312303486,6,Ninth Album,Hip To Be Square,Quarryman,Reginald,Velvet,Under The Ipkiss
1890,Les Elefants Terribles #1890,162,727.686222943,6,Android Dream,Billy Butcher,Stoopid,Elefant 2003,Rose Cross,Great Masturbator
883,Les Elefants Terribles #883,163,727.2045662006,6,Kieslowski,Air Bin,Column,Nipple Bottle,Second Rule,Gareth
352,Les Elefants Terribles #352,164,724.8347360497,6,Edwood,Veddy Much,Ludovico Technique,Kik A Cosmetologist,13 Years,Lad Insane A
371,Les Elefants Terribles #371,165,723.6459060251,6,Cornetto Films,Yankee Racers,Sunken,No No No,Excessivist,Future Statues
1064,Les Elefants Terribles #1064,166,723.02172949,6,Ninth Album,Eleven Eleven,Bald Dot,Yorkshire,Pourpourpour,SisterDaughterSister
1973,Les Elefants Terribles #1973,167,721.8487710902,6,Cyberpunk,Billy Butcher,Brian DeMontana,Billy Rider,Rose Cross,Whaam
1352,Les Elefants Terribles #1352,168,720.2193178355,6,Cornetto Films,Killer Camp,Vanilla 7,Your Cologne,Rose Cross,Under The Scarlett
1105,Les Elefants Terribles #1105,169,719.7947338831,6,Sixth Album,MPAA Desaturate,Infinite Sadness,O Father,Beautiful Little Fool,Pugh
1531,Les Elefants Terribles #1531,170,716.4972224842,6,Buscemi,Grad Pattern,Splash,Cryingame,Rogerz Koonz,Steven Brennan
2072,Les Elefants Terribles #2072,171,716.4460904658,6,Kieslowski,Most Excellent Fancy,Doh,Be Miyine,SAMO,Otherwisewise
1230,Les Elefants Terribles #1230,172,715.9270568959,6,Sixth Album,Burnt Crisp,Steve Deeds,Complete Lyrics,Wibbling Rival,For The Love
5,Les Elefants Terribles #5,173,713.4900928413,6,Buscemi,Video Game Violence,Arbus,Glory Fades,Ai,Pretty Glue
1551,Les Elefants Terribles #1551,174,712.8711005074,6,Dorian,David Jeff INTVW,Club 27,Mostwhimsicaljokeoftheseason,Second Rule,Whaam
2354,Les Elefants Terribles #2354,175,712.071947391,6,Buscemi,BarbiVonGreif Riot,Club 27,Guccipiggy,Blow,Under The Scarlett
773,Les Elefants Terribles #773,176,711.9450854444,6,Sixth Album,Doll Parts,Ludovico Technique,Son Of Man,Blasfemy,SisterDaughterSister
1519,Les Elefants Terribles #1519,177,711.4623248213,6,Kieslowski,Ball Out,Umbilical Noose,Diamond Dust,Caramba,Composition
411,Les Elefants Terribles #411,178,711.0520387507,6,Dorian,Jack Rabbit,Flame Suit,Yorkshire,1962,Recently Deceased
2392,Les Elefants Terribles #2392,179,710.6214129965,6,Cornetto Films,High Society,Celophane Flower,Not A Concept,Tasty,Gareth
994,Les Elefants Terribles #994,180,709.0267368421,6,The Color,Killer Camp,Flame Suit,SamoC,Maria,Steven Brennan
1334,Les Elefants Terribles #1334,181,705.0940232433,6,Cornetto Films,Sontag Notes,Rob Liefant,Godgivenass,Silk Scarf,Warners
2443,Les Elefants Terribles #2443,182,703.7411957006,6,Kieslowski,Burnt Crisp,Look Closer,Deep Cover,Chapman,Manuelefant
1542,Les Elefants Terribles #1542,183,699.113045601,6,Ninth Album,18k Likes,Vanilla 7,Seduce Destroy,Steven Allanaphone,Warners
130,Les Elefants Terribles #130,184,697.9660608077,6,Pretty In,Ball Out,Esari Dot,Billy Rider,Rose Cross,Under The Scarlett
703,Les Elefants Terribles #703,185,695.3745915375,6,Ninth Album,Hisnameisrobertporter,Brian DeMontana,Godgivenass,Contra Band,Pretty Glue
889,Les Elefants Terribles #889,186,692.3714617839,6,Cornetto Films,Crack Wack,Ludovico Technique,Kik A Cosmetologist,Second Rule,Freakiest Lawman
1403,Les Elefants Terribles #1403,187,691.9314239954,6,Warmest Colour,Fuck Boris,Stoopid,Stoke On Trent,Claire Alter,No Logo
357,Les Elefants Terribles #357,188,690.4995412294,6,Android Dream,Video Game Violence,Celophane Flower,Nipple Bottle,HunterESS,Manuelefant
2250,Les Elefants Terribles #2250,189,689.90546304,6,Edwood,Shaq Thatcher,Splash,Guccipiggy,Quatre Cents Coups,Warners
1998,Les Elefants Terribles #1998,190,689.1269045388,6,Seventh Album,Claude Lacombe,Esari Dot,Diptych,Caramba,Recently Deceased
2470,Les Elefants Terribles #2470,191,686.8642368421,6,Android Dream,Savage Bea,Splash,Factory,Fountain,Uncommonly Gentle
2143,Les Elefants Terribles #2143,192,685.4204282359,6,Pretty In,The Shrink,Celophane Flower,Not A Concept,Devon Saw,Shill Guil
1699,Les Elefants Terribles #1699,193,683.6649182213,6,Dorian,Something Wrong,Extracurricular,Inthebox,Listening Room,Factory Additions
1705,Les Elefants Terribles #1705,194,683.485270979,6,Ninth Album,Contraband Slipping,Ludovico Technique,Billy Rider,Silk Scarf,Composition
822,Les Elefants Terribles #822,195,681.6015774196,6,The Color,Hip To Be Square,Esari Dot,Complete Lyrics,1962,For The Love
5249,Les Elefants Terribles #5249,196,680.3420383871,6,Dorian,Shaq Thatcher,Benny Jets,Marty,Devon Saw,Booty Star
2448,Les Elefants Terribles #2448,197,679.6720038478,6,Ninth Album,Puppy Lawsuit,So Horny,Deep Cover,1962,Under The Ipkiss
419,Les Elefants Terribles #419,198,679.4981639708,6,Kieslowski,18k Likes,VCR,Billy Rider,Brocli Moss,Wrath
