ID,Name,Rank,Rarity_Score,Agility-Scores,Alignment-Scores,Ancestor-Scores,Attributes-Scores,Background-Scores,Class-Scores,Dexterity-Scores,Fur-Scores,Gender-Scores,Head Accessory-Scores,Intelligence-Scores,Magic-Scores,Morality-Scores,Race-Scores,Rank-Scores,Strength-Scores,Weapon-Scores
2082,Bunny Knights #2082,35,4128.768066474438,9,16,2000,2,10,5,10,20,1,29,3,,3,1,2000,2,11
2278,Bunny Knights #2278,36,4123.312033612529,3,14,2000,2,10,5,3,22,1,,6,23,3,1,2000,2,23
1140,Bunny Knights #1140,37,4122.050810002129,3,15,2000,2,12,5,2,19,1,,6,23,3,1,2000,2,23
1042,Bunny Knights #1042,38,4118.686990016237,17,15,2000,2,10,5,2,22,1,,14,9,3,1,2000,2,9
1637,Bunny Knights #1637,39,4116.759573478782,37,15,2000,2,10,6,2,18,1,,3,,3,1,2000,3,11
1863,Bunny Knights #1863,40,4114.325661182772,3,14,2000,2,10,6,5,18,1,,3,,2,1,2000,22,21
2263,Bunny Knights #2263,41,4111.600369616953,9,16,2000,2,18,6,3,20,1,,3,,2,1,2000,7,18
1047,Bunny Knights #1047,42,4110.70782105443,5,14,2000,2,19,6,10,19,1,,3,,2,1,2000,3,20
1067,Bunny Knights #1067,43,4109.781527222079,5,15,2000,2,12,6,3,20,1,,7,,2,1,2000,7,23
1107,Bunny Knights #1107,44,4109.169473390073,5,17,2000,2,18,5,2,18,1,,10,9,3,1,2000,3,9
1785,Bunny Knights #1785,45,4108.283862503432,9,15,2000,2,11,6,3,19,4,,7,,3,1,2000,3,21
1904,Bunny Knights #1904,46,4106.952249528017,5,15,2000,2,18,5,2,18,1,,10,9,2,1,2000,3,9
659,Bunny Knights #659,47,4106.763481572319,5,15,2000,2,11,6,5,19,4,,3,,3,1,2000,7,20
1170,Bunny Knights #1170,48,4106.032109390345,3,15,2000,2,10,5,2,19,4,,10,9,2,1,2000,7,9
514,Bunny Knights #514,49,4101.66362143992,3,14,2000,2,11,5,2,17,1,,15,9,3,1,2000,2,9
1954,Bunny Knights #1954,50,4098.755903009139,3,15,2000,2,12,5,3,22,1,,6,9,2,1,2000,2,9
2273,Bunny Knights #2273,51,4097.883151511835,3,15,2000,2,10,5,3,20,4,,6,9,2,1,2000,2,9
1662,Bunny Knights #1662,52,4095.86791765583,3,14,2000,2,11,5,5,18,1,,6,9,3,1,2000,2,9
1690,Bunny Knights #1690,53,4093.2291323113814,5,15,2000,2,10,5,10,19,1,,3,,3,1,2000,3,11
1153,Bunny Knights #1153,54,4092.052106467802,9,14,2000,2,10,5,5,19,1,,3,,2,1,2000,3,11
2204,Bunny Knights #2204,55,3652.767051454908,3,17,666,2,19,5,2,18,4,,6,400,2,1,2000,2,500
1613,Bunny Knights #1613,56,3639.2844553014647,5,14,500,2,10,6,3,24,4,50,7,,2,1,2000,7,1000
1361,Bunny Knights #1361,57,3582.7253083783926,9,14,1000,2,11,6,3,18,1,,3,,3,1,2000,7,500
1633,Bunny Knights #1633,58,3516.3204157643627,3,15,1000,2,19,6,2,19,1,,3,,2,1,2000,400,37
704,Bunny Knights #704,59,3483.084924196198,5,15,1000,2,10,6,10,18,1,,7,,2,1,2000,2,400
1345,Bunny Knights #1345,60,3472.8339893472175,3,14,500,2,10,5,3,18,1,,6,400,3,1,2000,3,500
969,Bunny Knights #969,61,3443.490245623945,9,17,333,2,28,6,2,19,4,,7,,3,1,2000,7,1000
1128,Bunny Knights #1128,62,3383.859494994268,3,15,400,2,19,5,2,19,1,,6,400,2,1,2000,3,500
1649,Bunny Knights #1649,63,3380.6304077249424,3,14,666,4,68,6,2,22,1,500,15,33,3,1,2000,2,34
2464,Bunny Knights #2464,64,3368.8538481216315,37,17,1000,2,28,6,2,17,4,166,3,,2,1,2000,3,74
2118,Bunny Knights #2118,65,3340.9440936009983,3,15,1000,2,10,6,3,22,1,222,3,,3,1,2000,22,23
611,Bunny Knights #611,66,3313.913975900607,5,14,1000,2,11,5,10,22,4,166,3,,3,1,2000,3,58
1532,Bunny Knights #1532,67,3268.200058105315,3,14,285,2,10,5,5,22,1,,10,400,2,1,2000,2,500
2108,Bunny Knights #2108,68,3254.816635253492,3,17,666,2,10,5,18,18,1,,3,,3,1,2000,3,500
1611,Bunny Knights #1611,69,3252.2171771745675,3,17,666,4,10,6,3,20,1,6,6,250,3,1,2000,2,250
2453,Bunny Knights #2453,70,3251.4365723936426,5,15,666,2,10,5,3,18,1,,14,,3,1,2000,3,500
1549,Bunny Knights #1549,71,3249.989690316992,3,14,666,2,10,5,5,23,1,,10,250,3,1,2000,2,250
533,Bunny Knights #533,72,3248.039574754791,5,16,1000,2,10,6,10,18,1,,3,,3,1,2000,3,166
2151,Bunny Knights #2151,73,3246.140452615999,17,14,1000,2,10,6,3,23,4,80,3,,2,1,2000,3,74
2473,Bunny Knights #2473,74,3200.690053551916,3,18,1000,4,18,5,3,18,1,57,6,29,2,1,2000,2,29
976,Bunny Knights #976,75,3196.0142659307485,5,17,1000,2,19,5,3,18,1,,14,,3,1,2000,3,100
1794,Bunny Knights #1794,76,3193.5483449334893,3,16,500,4,68,6,2,17,1,500,6,28,2,1,2000,3,29
1758,Bunny Knights #1758,77,3192.8939131187276,3,14,1000,2,19,5,2,19,1,,6,52,3,1,2000,7,52
995,Bunny Knights #995,78,3189.170669158098,3,15,1000,2,10,5,2,19,1,,15,52,2,1,2000,2,52
2102,Bunny Knights #2102,79,3188.0076880413076,5,14,1000,2,19,5,3,23,1,29,3,,3,1,2000,16,58
967,Bunny Knights #967,80,3186.897434373843,3,14,1000,2,10,5,2,18,1,,10,52,3,1,2000,7,52
583,Bunny Knights #583,81,3186.8410497588948,17,17,1000,2,10,6,3,18,1,,3,,3,1,2000,3,100
1376,Bunny Knights #1376,82,3185.4172451982754,3,17,666,2,11,6,5,19,1,400,3,,2,1,2000,22,21
1282,Bunny Knights #1282,83,3184.6033156337166,9,17,1000,2,18,5,10,22,1,29,3,,2,1,2000,2,57
1682,Bunny Knights #1682,84,3184.384889641035,3,16,1000,2,10,5,3,19,4,,6,52,2,1,2000,3,52
2492,Bunny Knights #2492,85,3183.38677406174,3,15,1000,2,11,5,3,18,4,,6,52,3,1,2000,2,52
1086,Bunny Knights #1086,86,3180.749252518501,3,17,400,2,10,5,666,19,1,,3,,2,1,2000,2,44
1057,Bunny Knights #1057,87,3177.636988143659,3,17,1000,2,68,6,3,18,4,,3,,2,1,2000,22,23
667,Bunny Knights #667,88,3175.7155001042806,3,15,1000,4,12,5,2,19,4,35,6,29,3,1,2000,2,29
1328,Bunny Knights #1328,89,3175.484013529543,5,17,1000,4,18,6,5,18,4,6,14,33,3,1,2000,2,34
2100,Bunny Knights #2100,90,3174.1328385369393,5,14,1000,4,28,6,3,22,1,6,10,32,3,1,2000,2,32
1037,Bunny Knights #1037,91,3173.9541563468356,3,14,1000,2,10,6,3,18,1,,3,,3,1,2000,55,50
2245,Bunny Knights #2245,92,3169.9494181374853,17,15,1000,2,10,5,2,18,1,29,14,,3,1,2000,2,44
2017,Bunny Knights #2017,93,3169.714026609196,9,17,1000,2,10,5,3,19,4,36,3,,3,1,2000,7,44
606,Bunny Knights #606,94,3169.2863412087704,5,17,1000,4,12,5,3,17,4,57,14,9,3,1,2000,3,9
1907,Bunny Knights #1907,95,3165.7301976059866,3,14,1000,4,10,6,2,22,4,6,15,33,3,1,2000,2,34
980,Bunny Knights #980,96,3164.847880063538,3,15,1000,4,11,5,2,18,4,57,15,9,3,1,2000,2,9
1753,Bunny Knights #1753,97,3162.9033542994543,9,15,1000,2,19,6,3,19,1,50,3,,3,1,2000,7,21
2213,Bunny Knights #2213,98,3162.709794002404,5,18,1000,4,10,6,3,19,4,6,10,33,3,1,2000,2,34
1884,Bunny Knights #1884,99,3162.489901225887,5,17,1000,4,11,6,2,23,4,6,6,33,3,1,2000,2,34
2089,Bunny Knights #2089,100,3161.7224994888516,3,17,1000,4,10,6,2,22,1,6,15,32,3,1,2000,2,32
546,Bunny Knights #546,101,3161.298035305878,3,18,1000,4,18,6,2,18,1,6,6,33,2,1,2000,3,34
1011,Bunny Knights #1011,102,3160.848189206898,3,14,1000,4,11,6,2,20,1,6,15,33,2,1,2000,2,34
2486,Bunny Knights #2486,103,3160.698430428754,3,15,1000,4,11,6,5,19,1,6,10,33,2,1,2000,3,34
1179,Bunny Knights #1179,104,3160.5015596137646,3,15,1000,4,11,6,2,18,1,6,15,33,2,1,2000,2,34
2337,Bunny Knights #2337,105,3160.3013319474326,3,15,1000,4,10,5,5,17,1,35,6,24,2,1,2000,2,25
1216,Bunny Knights #1216,106,3159.977879416912,3,14,1000,4,19,6,2,20,1,6,6,33,2,1,2000,2,34
1554,Bunny Knights #1554,107,3159.7429028898746,3,15,1000,4,18,6,2,19,1,6,15,29,3,1,2000,2,29
1022,Bunny Knights #1022,108,3158.699147677515,3,16,1000,4,18,6,2,19,1,6,15,28,2,1,2000,2,29
806,Bunny Knights #806,109,3158.6250038090143,3,15,1000,4,19,6,2,17,1,6,6,33,2,1,2000,3,34
1586,Bunny Knights #1586,110,3158.2228327436264,9,15,1000,2,11,6,3,19,1,,3,,2,1,2000,7,74
1591,Bunny Knights #1591,111,3158.2030104478263,3,15,1000,4,19,6,2,18,1,6,6,33,3,1,2000,2,34
1495,Bunny Knights #1495,112,3157.8595483337144,5,15,1000,4,10,5,3,19,1,57,10,9,2,1,2000,2,9
2129,Bunny Knights #2129,113,3156.93356802879,3,18,1000,2,18,5,64,22,1,,3,,2,1,2000,2,11
1393,Bunny Knights #1393,114,3156.891815046784,3,17,1000,2,11,5,10,22,4,,14,,3,1,2000,2,57
1145,Bunny Knights #1145,115,3156.0566790987514,17,14,1000,2,12,6,5,18,1,50,3,,2,1,2000,2,18
1951,Bunny Knights #1951,116,3155.611810038846,3,15,1000,4,10,6,3,20,1,6,10,33,3,1,2000,3,33
1543,Bunny Knights #1543,117,3155.5054655890654,3,16,1000,4,12,6,2,22,1,6,15,28,3,1,2000,2,29
885,Bunny Knights #885,118,3154.9126707446108,3,15,1000,4,10,6,2,22,1,6,6,33,2,1,2000,3,34
799,Bunny Knights #799,119,3154.3726391968053,5,17,500,4,19,5,5,18,1,57,14,250,3,1,2000,2,250
1422,Bunny Knights #1422,120,3154.2528092785656,5,17,1000,2,11,5,18,22,4,,3,,3,1,2000,2,57
673,Bunny Knights #673,121,3154.2225719708945,3,15,1000,4,19,6,3,18,1,6,10,29,3,1,2000,3,29
1929,Bunny Knights #1929,122,3153.7487066322774,3,14,1000,2,18,6,2,18,1,,3,,3,1,2000,55,23
2451,Bunny Knights #2451,123,3153.2643635168797,3,16,1000,4,10,6,2,22,1,6,6,32,3,1,2000,3,32
1906,Bunny Knights #1906,124,3153.2631255409456,3,15,1000,2,10,5,18,20,4,29,14,,3,1,2000,2,20
1473,Bunny Knights #1473,125,3153.0729305115588,3,17,1000,4,10,6,2,18,1,6,6,33,2,1,2000,3,34
1716,Bunny Knights #1716,126,3152.669439163478,3,17,1000,4,10,6,3,18,1,6,6,33,2,1,2000,3,34
2195,Bunny Knights #2195,127,3151.48067064592,3,14,1000,4,11,6,5,19,1,6,6,32,2,1,2000,2,32
2086,Bunny Knights #2086,128,3151.0648701623154,3,15,1000,4,10,6,3,19,1,6,6,33,3,1,2000,2,34
1873,Bunny Knights #1873,129,3150.5101922109156,3,14,1000,2,11,6,2,17,4,,3,,2,1,2000,55,23
1215,Bunny Knights #1215,130,3150.4950279331,3,15,1000,4,11,6,2,18,1,6,6,33,3,1,2000,2,34
1004,Bunny Knights #1004,131,3150.442302483318,3,15,1000,4,10,6,2,22,1,6,6,32,2,1,2000,2,32
2221,Bunny Knights #2221,132,3149.7897702757205,3,16,1000,4,11,6,3,18,1,6,6,33,3,1,2000,2,33
1650,Bunny Knights #1650,133,3149.60774725923,3,15,1000,4,10,6,3,18,1,6,6,33,2,1,2000,2,34
765,Bunny Knights #765,134,3149.5573163211534,3,18,1000,4,10,6,3,17,1,6,6,33,3,1,2000,2,33
509,Bunny Knights #509,135,3148.9793841234564,3,14,1000,4,10,6,2,19,1,6,6,33,2,1,2000,2,33
2352,Bunny Knights #2352,136,3148.1441044650905,9,18,1000,2,19,5,10,20,1,29,3,,2,1,2000,2,20
2076,Bunny Knights #2076,137,3147.708859786227,3,15,400,2,10,6,3,19,1,222,3,,3,1,2000,55,400
1218,Bunny Knights #1218,138,3147.0010311357983,3,18,1000,4,12,6,5,18,1,6,6,29,3,1,2000,2,29
1465,Bunny Knights #1465,139,3146.757752808319,3,14,1000,2,12,5,10,19,1,,10,29,3,1,2000,2,29
1475,Bunny Knights #1475,140,3146.6663624833573,3,17,1000,4,10,6,2,20,1,6,6,29,3,1,2000,3,29
2109,Bunny Knights #2109,141,3146.6187973355018,9,18,1000,2,10,5,10,19,1,,3,,3,1,2000,2,58
1735,Bunny Knights #1735,142,3146.6095070719143,17,15,1000,2,11,6,3,20,1,36,3,,3,1,2000,3,20
1021,Bunny Knights #1021,143,3146.5595863217486,17,14,1000,2,10,5,5,22,1,,3,,3,1,2000,2,57
1089,Bunny Knights #1089,144,3145.997654266712,3,17,1000,4,10,6,3,19,4,6,6,28,2,1,2000,2,29
2498,Bunny Knights #2498,145,3145.647838136813,3,17,1000,2,19,5,2,19,1,,6,29,3,1,2000,3,29
1852,Bunny Knights #1852,146,3145.611322355356,5,18,1000,2,10,5,2,24,4,,6,29,3,1,2000,2,29
896,Bunny Knights #896,147,3144.7740511256684,3,18,1000,4,11,6,3,19,1,6,6,28,3,1,2000,2,29
1236,Bunny Knights #1236,148,3142.1367000507216,3,17,1000,2,10,6,2,18,1,,14,,3,1,2000,22,37
1396,Bunny Knights #1396,149,3141.9065796211885,3,16,1000,2,11,6,2,19,1,,7,,2,1,2000,22,44
2422,Bunny Knights #2422,150,3141.505298151478,3,15,1000,2,11,6,5,22,1,,7,,2,1,2000,16,44
510,Bunny Knights #510,151,3141.1247560619718,3,15,1000,4,10,6,3,18,1,6,6,29,3,1,2000,2,29
935,Bunny Knights #935,152,3141.04416603715,3,17,1000,2,19,5,18,19,1,,3,,3,1,2000,3,42
2254,Bunny Knights #2254,153,3140.136002581508,17,17,1000,2,11,6,3,19,1,,3,,3,1,2000,3,50
1643,Bunny Knights #1643,154,3139.1345265253144,9,15,1000,2,10,5,2,18,1,,14,24,2,1,2000,3,25
923,Bunny Knights #923,155,3138.540472357479,3,14,1000,4,10,5,2,19,1,35,10,9,3,1,2000,7,9
1645,Bunny Knights #1645,156,3138.3286583742547,9,15,1000,2,10,6,5,18,1,36,7,,3,1,2000,2,18
1487,Bunny Knights #1487,157,3136.3265354699492,3,15,1000,2,10,5,3,19,4,,6,29,2,1,2000,2,29
2446,Bunny Knights #2446,158,3135.3978682716047,3,16,1000,2,10,5,3,23,1,,10,23,3,1,2000,7,23
1699,Bunny Knights #1699,159,3134.8572380601636,3,15,1000,2,10,6,3,19,1,,7,,2,1,2000,16,44
1547,Bunny Knights #1547,160,3133.550301452201,3,16,1000,2,11,5,2,20,1,,15,23,2,1,2000,2,23
1864,Bunny Knights #1864,161,3133.2187225527773,3,15,1000,2,10,5,2,19,4,,10,23,3,1,2000,7,23
2308,Bunny Knights #2308,162,3133.129948600659,5,14,1000,2,10,5,2,19,1,,6,29,3,1,2000,2,29
854,Bunny Knights #854,163,3133.0502716744877,17,15,1000,2,18,6,3,19,1,,3,,2,1,2000,3,37
2228,Bunny Knights #2228,164,3131.8697658768556,3,14,1000,2,10,5,5,18,4,,10,24,3,1,2000,2,25
1681,Bunny Knights #1681,165,3131.2318692951994,9,16,1000,2,10,6,5,18,1,,3,,3,1,2000,3,50
1425,Bunny Knights #1425,166,3130.538975534992,3,15,1000,4,10,5,3,19,1,35,6,9,3,1,2000,2,9
677,Bunny Knights #677,167,3130.5258562941217,37,14,1000,2,18,6,3,18,1,,3,,2,1,2000,2,18
2024,Bunny Knights #2024,168,3130.0625736017305,3,15,1000,2,18,5,3,20,1,,6,23,3,1,2000,2,23
1746,Bunny Knights #1746,169,3129.8734222687463,5,14,1000,2,18,6,3,18,4,,7,,3,1,2000,7,37
1421,Bunny Knights #1421,170,3129.147382036094,3,14,1000,4,10,5,2,18,1,35,6,9,3,1,2000,3,9
1362,Bunny Knights #1362,171,3128.420925576422,5,15,1000,2,10,5,2,22,1,,6,24,3,1,2000,2,25
577,Bunny Knights #577,172,3127.9553994481885,9,15,1000,2,28,6,3,19,1,,14,,2,1,2000,2,20
1834,Bunny Knights #1834,173,3127.47905069113,3,17,1000,2,11,5,5,18,1,,6,24,3,1,2000,2,25
1596,Bunny Knights #1596,174,3127.433246730879,3,15,1000,2,12,5,3,20,1,,6,24,3,1,2000,2,25
1744,Bunny Knights #1744,175,3127.324232816769,3,17,1000,2,10,6,5,18,1,,3,,2,1,2000,16,37
2302,Bunny Knights #2302,176,3127.1490844506,3,17,1000,2,11,5,2,18,1,,6,24,3,1,2000,3,25
1099,Bunny Knights #1099,177,3126.024086189164,5,17,1000,2,11,6,10,22,1,,3,,2,1,2000,3,37
724,Bunny Knights #724,178,3125.8983807761415,3,15,333,2,18,5,666,19,1,29,3,,2,1,2000,2,20
1117,Bunny Knights #1117,179,3124.627776960772,3,15,1000,2,10,5,3,24,1,,6,23,3,1,2000,2,23
2222,Bunny Knights #2222,180,3124.4340815974556,3,17,1000,2,10,6,2,19,4,,7,,3,1,2000,22,23
880,Bunny Knights #880,181,3124.231776554491,3,14,1000,2,12,5,3,18,1,,6,24,3,1,2000,2,25
1081,Bunny Knights #1081,182,3123.4831857287772,9,17,1000,2,10,6,3,19,1,,3,,3,1,2000,7,37
2138,Bunny Knights #2138,183,3122.767645218164,3,15,1000,2,10,5,2,19,1,,6,24,2,1,2000,2,25
813,Bunny Knights #813,184,3121.336858350928,37,15,1000,2,11,6,2,18,4,,3,,3,1,2000,3,11
1674,Bunny Knights #1674,185,3120.0916311207434,3,15,1000,2,11,5,2,18,1,,6,23,3,1,2000,2,23
620,Bunny Knights #620,186,3116.7846248977276,3,17,1000,2,10,6,2,20,1,,7,,3,1,2000,22,18
2262,Bunny Knights #2262,187,3116.5894614297686,3,14,1000,2,10,6,3,19,1,,7,,2,1,2000,22,21
2326,Bunny Knights #2326,188,3112.7955524298554,5,17,500,2,11,5,5,19,1,29,7,,2,1,2000,3,500
2092,Bunny Knights #2092,189,3112.553424660393,17,14,1000,2,19,6,3,19,1,,3,,3,1,2000,3,18
2251,Bunny Knights #2251,190,3112.099836588073,3,15,1000,2,18,5,2,18,4,,15,9,3,1,2000,2,9
2098,Bunny Knights #2098,191,3111.5391268339927,5,18,1000,2,10,5,18,19,1,,3,,2,1,2000,2,20
1966,Bunny Knights #1966,192,3109.627114391291,3,15,1000,2,10,5,10,18,1,,14,,3,1,2000,2,20
1628,Bunny Knights #1628,193,3108.7623302152047,3,14,1000,2,18,5,5,19,1,,10,9,3,1,2000,3,9
2016,Bunny Knights #2016,194,3107.9952806757688,3,15,1000,2,10,6,5,18,1,,3,,2,1,2000,16,21
1572,Bunny Knights #1572,195,3107.9098382947495,3,17,1000,2,10,5,2,22,1,,15,9,3,1,2000,2,9
1715,Bunny Knights #1715,196,3107.903310665886,9,15,1000,2,11,5,2,19,4,,10,9,3,1,2000,2,9
1029,Bunny Knights #1029,197,3107.5748770166,3,17,1000,2,19,5,10,20,1,,3,,3,1,2000,7,11
1843,Bunny Knights #1843,198,3107.2160200851154,9,17,1000,2,10,6,3,20,1,,7,,2,1,2000,3,20
561,Bunny Knights #561,199,3106.2935922292727,5,17,1000,2,10,6,3,19,1,,7,,3,1,2000,7,21
1306,Bunny Knights #1306,200,3106.213437081811,3,17,400,4,68,6,3,19,1,500,6,33,2,1,2000,3,34
1501,Bunny Knights #1501,201,3106.0039595807243,3,15,1000,2,10,5,5,19,1,,14,9,3,1,2000,3,9
2091,Bunny Knights #2091,202,3105.921510893221,3,15,1000,2,10,5,2,19,4,,15,9,3,1,2000,2,9
1451,Bunny Knights #1451,203,3105.806084645907,17,14,1000,2,10,6,3,18,1,,3,,3,1,2000,3,21
1452,Bunny Knights #1452,204,3105.6505505942123,3,17,1000,2,18,5,10,18,1,,10,,2,1,2000,2,11
1472,Bunny Knights #1472,205,3105.6309029704526,9,14,1000,2,11,6,3,23,1,,7,,2,1,2000,3,18
1050,Bunny Knights #1050,206,3104.898654719027,3,17,1000,2,11,5,2,18,1,,15,9,3,1,2000,2,9
654,Bunny Knights #654,207,3104.651379176364,5,18,1000,2,10,5,3,18,4,,10,9,3,1,2000,2,9
2072,Bunny Knights #2072,208,3104.6383643258023,3,18,1000,2,12,5,3,23,4,,6,9,3,1,2000,2,9
1010,Bunny Knights #1010,209,3104.3977590330505,5,15,1000,2,10,6,5,18,1,,14,,3,1,2000,2,18
2142,Bunny Knights #2142,210,3104.389931531913,3,15,1000,2,11,5,10,18,1,,7,,2,1,2000,3,20
2255,Bunny Knights #2255,211,3104.057212378462,3,16,1000,2,10,6,10,18,1,,7,,3,1,2000,3,18
1836,Bunny Knights #1836,212,3103.7294052086436,5,17,1000,2,10,5,10,18,1,,3,,2,1,2000,3,20
904,Bunny Knights #904,213,3103.6364484649307,3,17,1000,2,19,5,3,19,1,,6,9,3,1,2000,2,9
1222,Bunny Knights #1222,214,3103.297003665494,3,17,1000,2,19,5,2,17,1,,6,9,3,1,2000,3,9
2365,Bunny Knights #2365,215,3101.803247306865,17,14,1000,2,10,6,3,24,1,,3,,3,1,2000,3,11
828,Bunny Knights #828,216,3101.3890741184614,17,17,1000,2,12,5,3,19,1,,3,,2,1,2000,3,11
936,Bunny Knights #936,217,3100.6908307806493,3,15,1000,2,11,5,5,22,1,,6,9,3,1,2000,2,9
1372,Bunny Knights #1372,218,3100.6372621143,5,15,1000,2,10,6,5,18,1,,3,,3,1,2000,7,21
751,Bunny Knights #751,219,3100.5455799791416,5,16,1000,2,10,5,18,19,1,,3,,3,1,2000,2,11
1273,Bunny Knights #1273,220,3100.0869304458274,9,15,1000,2,10,6,3,17,1,,7,,2,1,2000,3,18
827,Bunny Knights #827,221,3100.033399635192,9,17,1000,2,10,5,5,22,1,,7,,2,1,2000,2,11
2475,Bunny Knights #2475,222,3099.9200693540506,3,15,1000,2,12,5,3,24,1,,6,9,2,1,2000,2,9
1493,Bunny Knights #1493,223,3099.347042371691,9,18,500,2,10,6,2,23,1,,3,,2,1,2000,16,500
1339,Bunny Knights #1339,224,3099.2405482761733,5,15,1000,2,11,5,18,18,1,,3,,3,1,2000,2,11
2433,Bunny Knights #2433,225,3098.846736723751,3,15,1000,2,10,5,3,19,1,,10,9,3,1,2000,3,9
1076,Bunny Knights #1076,226,3098.836142133813,17,17,1000,2,10,6,3,18,1,,3,,2,1,2000,3,11
1084,Bunny Knights #1084,227,3097.267857328737,3,16,1000,2,12,5,2,19,1,,6,9,3,1,2000,3,9
1279,Bunny Knights #1279,228,3096.429692416661,5,17,1000,2,10,5,10,20,1,,3,,3,1,2000,3,11
1958,Bunny Knights #1958,229,3095.9972175802254,3,15,1000,2,10,5,3,22,1,,6,9,2,1,2000,2,9
1943,Bunny Knights #1943,230,3095.931247473071,3,15,1000,2,12,5,3,19,1,,6,9,2,1,2000,3,9
984,Bunny Knights #984,231,3095.4085161964917,3,15,1000,2,10,5,2,17,4,,6,9,2,1,2000,2,9
1228,Bunny Knights #1228,232,3094.8279252621214,333,15,666,2,18,6,2,18,1,,3,,3,1,2000,2,20
