ID,Name,Rank,Rarity_Score,Attributes-Scores,aura-Scores,body-Scores,bodydetails-Scores,botarms-Scores,botbody-Scores,boteyes-Scores,boteyescolor-Scores,botfoot-Scores,bothead-Scores,botpropulsion-Scores,details-Scores,energy-Scores,eyes-Scores,facemask-Scores,family-Scores,ground-Scores,hair-Scores,has_pet-Scores,head-Scores,jacket-Scores,lefthand-Scores,leftobjkt-Scores,posterfull-Scores,posterleft-Scores,posterright-Scores,shoes-Scores,trousers-Scores,unique-Scores,unique_tbot-Scores,wall-Scores,wallcolor-Scores,weapon-Scores
1421,えむ (EMU) #1421,43,710.3045126130864,15,9,3,36,13,9,11,11,10,11,11,,10,13,26,4,9,18,2,2,25,11,376,,10,,10,13,,,9,1,17
2980,めほとこ (MEHOTOKO) #2980,44,708.5610081478054,9,9,11,,,,,,,,,16,,12,,4,9,26,1,2,22,,,,11,10,10,11,,,9,1,527
2863,ねりそ (NERISO) #2863,45,695.4336629505048,9,9,3,376,11,9,11,12,14,11,12,16,9,22,17,3,8,18,2,3,21,10,,,,,10,22,,,8,2,34
334,かや (KAYA) #334,46,693.0295902305725,14,9,3,,11,9,11,12,14,11,12,,,22,50,4,9,376,2,2,25,12,,,10,,10,12,,,8,1,31
885,あぬめ (ANUME) #885,47,691.9428004966331,293,8,3,22,13,10,11,13,14,11,11,32,10,12,26,3,9,22,2,2,18,18,43,,10,10,10,10,,,8,1,19
2762,こもる (KOMORU) #2762,48,691.3738243187973,6,90,3,376,,,,,,,,,,12,30,3,15,52,1,3,,,19,,11,10,10,12,,,8,2,18
298,なつ (NATSU) #298,49,688.939701579219,10,8,3,22,,,,,,,,16,,11,19,4,8,25,1,3,,12,376,,101,10,10,11,,,8,1,19
1481,せほ (SEHO) #1481,50,687.3591196437139,293,8,3,23,11,9,12,11,12,11,11,17,9,12,71,3,9,21,2,3,22,11,17,,10,10,10,13,,,8,1,19
2384,つさ (TSUSA) #2384,51,685.122062948979,6,9,3,,,,,,,,,35,,11,85,3,15,31,1,2,329,,,,38,46,21,13,,,9,1,17
1142,らとくせ (RATOKUSE) #1142,52,684.0005623268721,21,8,3,,,,,,,,,16,,12,,4,9,18,1,3,,11,,,10,,11,11,,,9,1,527
1575,ゆやへよ (YUYAHEYO) #1575,53,681.8740736280597,293,9,3,23,11,9,12,10,12,11,12,17,9,12,30,3,18,21,2,2,22,11,35,,10,10,21,12,,,8,2,18
2049,ぬるゆわ (NURUYUWA) #2049,54,678.8222825623037,32,8,3,,11,9,11,10,11,11,11,16,,21,87,3,9,,2,3,329,12,,,,,10,14,,,8,1,31
607,めすの (MESUNO) #607,55,675.9258436038921,9,37,3,,11,9,12,12,12,11,12,,,11,53,3,17,23,2,3,329,18,,,18,10,10,11,,,9,2,17
3045,そゆは (SOYUHA) #3045,56,674.9139703520639,293,9,3,36,11,9,11,12,12,12,12,17,9,12,20,4,9,21,2,2,22,10,32,,11,10,21,13,,,8,2,17
3066,きて (KITE) #3066,57,667.5512045283788,14,9,3,376,11,9,11,12,11,11,12,,,11,,4,17,,2,2,25,,35,,10,10,11,13,,,16,2,18
2716,ろりた (RORITA) #2716,58,667.4904761451198,293,9,3,22,11,9,11,12,14,12,11,35,9,24,19,3,9,21,2,2,21,11,18,,11,10,10,13,,,8,1,18
2556,なさて (NASATE) #2556,59,663.0623022215465,9,8,11,,,,,,,,,30,,36,50,4,17,376,1,2,49,,,,10,,10,10,,,9,2,18
1407,むろほ (MUROHO) #1407,60,659.1533207104678,44,8,3,376,,,,,,,,17,9,11,19,4,17,20,1,3,,10,17,,19,10,10,22,,,8,1,19
1227,みこよま (MIKOYOMA) #1227,61,656.3642257125435,9,9,3,,11,10,12,10,11,11,12,17,9,11,,4,9,376,2,3,36,10,,,10,10,12,11,,,8,2,17
54,しと (SHITO) #54,62,655.908337412385,10,8,11,,,,,,,,,21,164,12,26,3,9,18,1,3,263,11,18,,,17,10,12,,,8,1,19
1006,そろ (SORO) #1006,63,654.4690697150879,44,9,3,39,,,,,,,,32,,12,20,4,10,18,1,3,329,18,17,,10,20,10,14,,,8,1,21
1678,ほくふろ (HOKUFURO) #1678,64,653.0554308520258,9,8,3,22,11,9,12,10,14,13,11,16,,11,19,4,9,,2,3,329,18,32,,,,36,11,,,8,2,19
3016,ほさへし (HOSAHESHI) #3016,65,650.536687831613,90,8,3,36,,,,,,,,87,10,11,30,3,15,53,1,2,22,175,17,,10,10,10,12,,,8,1,22
2686,うくれ (UKURE) #2686,66,635.8341413655386,9,8,3,,13,9,11,10,12,11,12,16,9,39,16,3,17,31,2,3,,10,,,38,,21,293,,,8,1,16
433,ぬしらの (NUSHIRANO) #433,67,629.188501081931,9,9,3,23,11,9,11,11,14,13,12,67,,50,,4,8,26,2,2,21,11,188,,,,10,12,,,8,1,82
1311,しよにけ (SHIYONIKE) #1311,68,628.8726641134787,43,9,3,22,13,9,12,11,10,11,12,48,164,12,30,3,10,25,2,3,42,10,32,,11,,10,14,,,8,2,33
2799,えほつ (EHOTSU) #2799,69,628.0192129186067,15,9,3,26,11,9,11,12,11,13,12,21,19,13,19,3,17,21,2,3,263,38,,,11,,12,13,,,8,2,19
2491,むもら (MUMORA) #2491,70,624.349771011859,15,90,3,,11,9,12,11,11,11,11,37,9,10,53,4,8,20,2,3,21,11,188,,,10,10,11,,,8,2,17
2877,るきの (RUKINO) #2877,71,622.6272553968394,6,8,3,,,,,,,,,32,,41,16,3,8,39,1,2,329,,19,,19,10,36,11,,,8,2,18
2271,やく (YAKU) #2271,72,622.1064807293411,9,9,3,,11,10,11,11,12,11,12,17,9,10,67,3,9,,2,3,263,,43,,10,10,10,13,,,8,2,31
2230,めたる (METARU) #2230,73,614.195635932278,6,8,3,,,,,,,,,17,43,47,65,4,9,,1,3,,12,35,,10,10,10,293,,,8,2,19
71,てむ (TEMU) #71,74,614.0654583787189,6,8,3,,,,,,,,,20,9,21,,4,9,18,1,2,25,11,376,,,17,10,11,,,16,1,34
46,せろ (SERO) #46,75,611.3539378710414,9,9,3,22,11,9,12,12,10,11,12,30,9,52,71,3,9,22,2,2,49,,164,,,,12,12,,,8,2,31
2795,ゆねろさ (YUNEROSA) #2795,76,610.5627452573325,6,18,3,376,,,,,,,,16,,21,17,4,9,28,1,3,25,11,,,10,,12,10,,,8,2,23
3140,ゆはらな (YUHARANA) #3140,77,610.4838841772699,32,9,11,,11,9,11,12,12,11,11,16,,10,,3,17,87,2,2,263,,17,,,,10,10,,,8,1,19
1495,のそほ (NOSOHO) #1495,78,608.5731028619468,9,9,3,67,13,10,12,12,11,11,11,21,,10,,3,8,26,2,3,32,10,219,,11,,39,13,,,8,1,19
1309,かね (KANE) #1309,79,603.3213068170355,6,9,3,,,,,,,,,37,9,24,19,3,9,376,1,2,25,12,,,10,,10,10,,,9,2,18
1130,なりな (NARINA) #1130,80,602.7618360585574,9,8,3,,13,10,12,10,11,13,12,34,43,39,,3,8,,2,3,263,,19,,10,10,10,11,,,8,2,23
3146,のよら (NOYORA) #3146,81,602.6497151260269,43,17,3,,11,9,11,12,12,11,12,17,10,21,27,3,9,22,2,2,21,18,32,,11,10,10,11,,,138,2,82
2895,てみ (TEMI) #2895,82,601.733082541617,9,8,3,,,,,,,,,35,9,12,65,3,8,,1,3,,,19,,,10,10,293,,,85,1,18
2069,たね (TANE) #2069,83,598.4466638212222,9,9,3,,13,9,12,13,12,11,12,32,9,11,67,3,94,,2,2,21,11,,,19,17,155,12,,,8,2,19
1349,らこゆき (RAKOYUKI) #1349,84,596.1520293678738,6,8,3,376,,,,,,,,17,,12,,4,8,20,1,3,36,11,19,,,10,12,13,,,8,1,19
1973,これ (KORE) #1973,85,593.852098725789,10,8,3,,,,,,,,,16,,13,17,4,9,53,1,3,67,175,35,,101,10,10,12,,,16,2,19
2484,とたね (TOTANE) #2484,86,584.723687850822,32,9,3,23,13,9,11,11,10,13,12,16,,21,,3,9,,2,3,146,,,164,,,10,11,,,8,1,31
1926,ぬたみつ (NUTAMITSU) #1926,87,584.5912258463524,6,8,3,36,,,,,,,,30,,11,,3,17,376,1,2,,11,,,11,10,10,12,,,9,2,17
1449,こわせと (KOWASETO) #1449,88,584.5516338006021,6,9,3,,,,,,,,,17,10,11,17,4,17,376,1,2,,18,,,11,20,11,12,,,9,2,19
3063,うねみ (UNEMI) #3063,89,583.9451973900628,9,8,3,,11,10,11,13,12,12,11,48,,12,65,3,9,32,2,2,18,,219,,,10,10,12,,,8,2,17
2208,かはすけ (KAHASUKE) #2208,90,582.8758354681304,9,9,3,44,13,9,12,11,12,13,12,16,9,12,87,3,15,,2,3,,12,19,,10,,10,12,,,9,1,202
521,しりくし (SHIRIKUSHI) #521,91,581.9730143366235,6,17,3,,,,,,,,,35,164,11,53,3,15,26,1,2,25,11,,,19,,10,13,,,138,2,17
83,よもへせ (YOMOHESE) #83,92,580.784307310006,10,9,3,,,,,,,,,21,9,11,35,4,10,26,1,2,263,,17,,10,10,10,12,,,8,1,97
2614,こはとき (KOHATOKI) #2614,93,576.4620859720527,32,18,3,,13,9,11,11,14,11,12,,,11,,3,18,,2,2,263,18,19,,19,,36,11,,,8,2,19
1631,こは (KOHA) #1631,94,572.0287438613434,14,9,3,,13,9,11,12,11,11,12,,,12,,3,9,52,2,3,18,12,138,,,10,10,14,,,138,2,31
530,らなによ (RANANIYO) #530,95,571.6382382198193,90,18,3,39,,,,,,,,65,9,11,30,4,17,31,1,3,22,18,35,,101,10,12,12,,,8,2,19
1752,けろら (KERORA) #1752,96,570.6751551402306,15,90,3,,11,9,11,12,11,11,11,,28,50,26,4,9,32,2,3,18,12,19,,101,17,10,13,,,8,2,17
3092,あゆそ (AYUSO) #3092,97,569.6069373367728,9,9,3,22,13,9,11,11,12,11,12,20,,11,,3,8,21,2,2,42,11,94,,11,,155,11,,,8,1,34
802,とれ (TORE) #802,98,568.9842346520566,43,18,3,22,11,10,11,12,12,11,12,37,18,41,40,3,17,22,2,3,18,12,38,,38,,12,13,,,8,2,65
1756,ほぬよ (HONUYO) #1756,99,562.3613796334502,14,9,3,,11,9,12,13,10,11,11,,9,12,30,3,8,25,2,2,,12,,,,10,10,293,,,9,2,19
327,こふよは (KOFUYOHA) #327,100,562.3261946900092,14,8,3,,11,9,12,10,14,11,12,51,,11,175,4,17,,2,2,23,,94,,,20,10,10,,,8,1,17
2192,さは (SAHA) #2192,101,559.1262850551213,9,17,3,23,,,,,,,,,,12,,3,10,,1,2,263,,138,,10,10,10,11,,,9,2,17
2824,たわすそ (TAWASUSO) #2824,102,558.2024079696955,9,18,3,,11,9,12,10,12,12,12,16,43,12,17,4,9,20,2,2,219,,32,,,10,11,12,,,8,2,18
952,しくね (SHIKUNE) #952,103,558.0532567313568,90,9,3,,,,,,,,,,10,52,17,3,9,21,1,2,,,,,,,12,293,,,9,2,17
1657,とくへ (TOKUHE) #1657,104,556.62266763959,43,8,3,39,11,9,11,13,12,11,11,67,28,11,40,3,9,53,2,3,18,38,36,,,10,10,13,,,8,1,18
1711,へそ (HESO) #1711,105,556.1664452723567,15,9,3,39,11,9,11,10,10,11,11,17,19,50,,3,9,,2,2,25,11,164,,10,10,36,13,,,8,2,18
1359,うるて (URUTE) #1359,106,552.4202412704125,6,8,3,44,,,,,,,,,,12,30,4,17,39,1,2,,12,,,10,10,11,293,,,16,1,23
1875,となとれ (TONATORE) #1875,107,550.696840761922,15,9,3,36,11,9,12,10,12,11,11,21,,12,19,3,9,20,2,2,219,,19,,11,10,10,12,,,8,2,18
2314,おろつ (OROTSU) #2314,108,549.8020768457708,9,8,3,,11,9,12,13,10,12,12,17,9,11,65,3,8,28,2,2,,11,19,,,,12,13,,,138,2,97
2986,すは (SUHA) #2986,109,548.446028197337,43,8,3,,11,9,12,12,12,11,12,16,164,13,27,3,15,20,2,2,25,12,19,,18,10,12,13,,,8,2,19
3089,ふくたろ (FUKUTARO) #3089,110,548.241597896694,15,9,3,22,13,10,11,11,12,11,11,65,9,12,175,3,10,,2,3,18,,38,,10,10,10,11,,,8,1,19
1572,わてな (WATENA) #1572,111,547.9698169728046,9,9,3,67,11,9,11,12,11,12,12,34,10,36,35,4,9,21,2,3,77,12,,,,,11,13,,,85,2,18
2613,ぬひ (NUHI) #2613,112,546.138914082676,21,8,3,,,,,,,,,,10,12,19,3,17,376,1,3,,,,,,10,12,13,,,9,2,18
1180,めし (MESHI) #1180,113,546.0495173764942,9,9,3,,13,9,11,12,14,11,11,16,9,21,20,4,9,,2,2,25,,188,,10,,10,11,,,85,1,19
754,へたそ (HETASO) #754,114,545.7042367138489,9,9,3,,13,9,12,12,14,11,12,,,47,26,3,9,39,2,2,25,11,,,10,39,10,155,,,16,2,33
2930,そしら (SOSHIRA) #2930,115,544.7466513181472,43,18,3,22,11,10,12,12,10,12,12,21,,12,71,3,94,20,2,2,25,11,35,,11,10,10,11,,,9,2,18
2928,こゆぬた (KOYUNUTA) #2928,116,544.2475369271123,9,8,3,,13,10,11,13,12,12,11,21,19,164,26,3,9,21,2,3,18,,,,,10,12,14,,,8,2,97
301,ゆそぬめ (YUSONUME) #301,117,543.4210339567859,15,8,3,39,13,10,11,13,10,11,11,20,9,11,,3,94,39,2,2,18,,36,,10,10,10,14,,,85,1,18
718,きゆくぬ (KIYUKUNU) #718,118,540.8449707728331,9,9,3,26,11,9,12,12,11,11,11,16,10,11,,3,9,,2,3,263,,17,,10,10,10,11,,,8,2,18
790,えつわみ (ETSUWAMI) #790,119,539.6601378698607,9,17,3,,11,9,11,11,12,11,12,17,,12,,3,9,32,2,2,18,,36,,18,10,36,13,,,8,2,202
2976,へに (HENI) #2976,120,539.3937284844172,44,18,3,82,,,,,,,,16,9,12,,3,8,87,1,3,21,10,138,,10,10,12,12,,,8,2,19
2906,れこ (REKO) #2906,121,538.8295321849176,15,9,3,26,11,10,11,13,10,12,12,16,,22,175,3,9,,2,2,17,11,32,,18,10,36,13,,,8,2,16
3134,まてのに (MATENONI) #3134,122,538.1561524656802,43,8,3,39,11,9,12,12,11,12,11,16,9,12,125,3,15,20,2,2,25,12,38,,10,,21,13,,,9,1,18
1861,へちひす (HECHIHISU) #1861,123,538.0049650140068,43,8,3,,11,10,12,12,12,11,12,20,164,24,17,3,9,22,2,2,23,10,19,,10,10,10,14,,,8,2,17
2648,みてこ (MITEKO) #2648,124,537.3301889361229,43,8,3,,13,9,11,12,11,11,12,48,9,131,16,4,9,20,2,2,23,10,19,,38,10,10,13,,,8,1,17
2030,なしてへ (NASHITEHE) #2030,125,536.9801823827601,43,9,3,22,11,9,11,11,12,11,11,16,9,11,31,3,8,20,2,2,25,10,138,,38,,12,11,,,8,2,22
328,やせ (YASE) #328,126,534.7352686295293,15,37,3,,11,10,12,11,12,11,12,51,9,10,,3,8,32,2,2,25,10,19,,10,10,10,155,,,8,2,19
3076,りすひふ (RISUHIFU) #3076,127,534.6461274956589,9,9,3,23,11,9,11,13,12,11,12,17,,11,,3,9,,2,2,263,10,16,,,10,12,12,,,8,1,22
68,はへろら (HAHERORA) #68,128,534.5594524014022,9,9,3,22,11,9,12,10,11,12,12,16,9,12,,3,9,85,2,3,21,,,,11,,10,12,,,8,2,202
1034,うひ (UHI) #1034,129,533.2190363843965,9,8,3,,11,10,12,11,11,11,12,17,,11,19,4,9,21,2,2,219,,16,,18,20,10,14,,,16,1,22
260,りひる (RIHIRU) #260,130,533.139732279503,6,17,3,,,,,,,,,37,9,10,17,3,10,,1,2,329,11,17,,,,10,12,,,9,2,17
1547,のと (NOTO) #1547,131,533.0972031781765,32,17,11,,11,9,12,11,11,11,12,,19,12,50,3,15,,2,3,219,,,,,10,10,13,,,8,1,19
1865,ややふ (YAYAFU) #1865,132,532.6480538920173,14,9,3,,11,9,11,13,12,13,11,,9,52,40,3,9,,2,2,,175,19,,10,,36,12,,,8,2,33
2004,ひみれ (HIMIRE) #2004,133,532.3839228054197,9,9,3,,11,9,12,12,12,11,12,,18,47,30,3,9,155,2,2,21,,39,,,17,36,12,,,8,2,19
855,ぬれ (NURE) #855,134,530.1736751581451,10,37,3,82,,,,,,,,87,,11,53,3,9,21,1,2,25,18,20,,10,,10,12,,,85,1,18
34,らわ (RAWA) #34,135,530.09480475176,9,8,3,,11,9,12,10,12,12,12,,10,12,53,3,18,39,2,2,22,12,18,,10,,36,155,,,8,1,18
287,ろたか (ROTAKA) #287,136,529.5974008274329,44,9,3,23,,,,,,,,48,19,11,17,4,9,18,1,2,57,175,17,,,10,10,13,,,8,1,17
2545,ありねに (ARINENI) #2545,137,528.4338899202651,15,9,3,,13,9,12,12,10,12,12,65,19,12,125,3,18,28,2,2,25,,18,,19,10,21,12,,,8,2,19
665,れせ (RESE) #665,138,527.7787921673404,43,18,3,,11,9,12,11,14,11,12,65,10,10,32,3,18,33,2,3,22,10,97,,10,10,10,10,,,8,1,16
1141,ほさくつ (HOSAKUTSU) #1141,139,527.5842581775364,9,8,3,44,13,9,12,12,10,11,11,17,164,41,35,3,9,21,2,3,,,,,19,10,10,10,,,8,1,19
183,ぬわなな (NUWANANA) #183,140,527.3347064387028,43,8,3,,13,9,12,11,12,11,12,51,9,21,125,3,9,31,2,3,25,10,20,,10,10,12,10,,,8,2,19
3050,せろゆ (SEROYU) #3050,141,527.0156231484674,9,9,3,,11,9,12,12,14,11,12,17,18,13,31,3,8,21,2,2,,,219,,11,17,10,14,,,8,1,19
972,こた (KOTA) #972,142,526.9239354072831,9,18,3,,13,9,12,11,11,11,11,35,10,36,67,3,9,,2,3,,18,164,,,10,10,13,,,8,1,17
2527,ははせ (HAHASE) #2527,143,526.2372128249543,9,9,3,,11,10,12,12,12,11,11,51,9,11,27,3,9,,2,2,219,,,,11,20,10,10,,,8,2,19
21,きも (KIMO) #21,144,524.9689504748777,43,8,3,26,13,9,11,11,11,11,12,17,9,52,20,3,10,18,2,3,21,10,94,,10,,21,22,,,8,1,31
2025,まこねれ (MAKONERE) #2025,145,522.8105085461499,43,8,3,23,13,9,11,12,12,11,11,16,9,22,85,3,9,28,2,2,57,12,38,,18,,10,13,,,9,1,17
3078,とけ (TOKE) #3078,146,521.0474350519789,9,8,3,,,,,,,,,,,21,27,3,15,85,1,3,87,,18,,10,,39,155,,,8,2,18
2156,はみきけ (HAMIKIKE) #2156,147,520.8370753424405,6,9,3,,,,,,,,,20,9,47,17,3,9,23,1,3,25,175,97,,,,10,22,,,8,1,22
2949,ひの (HINO) #2949,148,520.3616577368184,10,9,3,,,,,,,,,21,10,12,125,3,9,23,1,2,49,,16,,10,10,155,12,,,8,1,19
2218,あぬ (ANU) #2218,149,518.9815819076338,43,8,3,22,11,9,12,12,11,11,11,17,10,11,32,4,9,20,2,2,67,18,,,101,10,10,10,,,8,2,19
1740,なしわゆ (NASHIWAYU) #1740,150,518.9690091126228,10,9,3,23,,,,,,,,17,,164,125,3,15,26,1,2,21,,19,,10,10,10,11,,,8,1,18
329,そと (SOTO) #329,151,518.9113981434596,6,8,3,82,,,,,,,,87,,10,30,3,15,155,1,2,21,,19,,11,,10,10,,,16,1,17
2112,りめれま (RIMEREMA) #2112,152,518.7009818716353,9,9,3,,13,9,11,13,10,13,12,21,,11,62,4,9,,2,2,21,18,,,10,10,10,12,,,8,1,202
1708,ねわせ (NEWASE) #1708,153,518.6018304923517,9,18,3,,13,9,12,13,11,13,11,48,9,21,17,3,9,,2,2,21,175,,,,10,36,12,,,8,1,18
2754,けもろ (KEMORO) #2754,154,518.5163094374475,9,8,3,,11,9,12,12,14,11,12,,10,39,20,3,9,18,2,2,,12,219,,,10,10,22,,,9,1,18
1072,へゆめ (HEYUME) #1072,155,517.3700514611811,9,8,3,,11,9,11,11,14,11,12,16,10,47,175,3,8,,2,2,21,11,43,,,10,10,13,,,8,1,22
774,ひにさな (HINISANA) #774,156,517.1525459756521,9,8,3,,,,,,,,,37,19,36,,3,10,,1,3,263,,19,,38,,10,22,,,8,1,17
460,ほわ (HOWA) #460,157,516.1405259862632,6,9,3,25,,,,,,,,,,24,20,3,94,21,1,2,22,175,,,10,39,10,13,,,8,2,19
1880,よす (YOSU) #1880,158,514.4776919010727,15,9,11,,13,9,11,11,10,11,11,87,39,21,19,3,15,18,2,2,49,,18,,18,10,36,12,,,16,2,19
