ID,Name,Rank,Rarity_Score,Antenna,Attributes,Eyewear,Gang,Gear,Hair,Headgear,Helmet,Mask,Tattoo
7776,NEONZ #7776,88,479.5825137652,Ear Bladez,4,,,Well Behaved Choker,Tigerhawk,,,,Plotter
4925,NEONZ #4925,89,479.0709823612,,4,Tycho Chic,,Puffer Jacket,,Transmitters,,,Halo
6010,NEONZ #6010,90,478.7126427615,Ear Bladez,4,,,Wasteland Armour,Tigerhawk,,,,Seed Phrase
7876,NEONZ #7876,91,478.1901494236,,4,Brain Feeders,,Puffer Jacket,,Transmitters,,,Halo
3715,NEONZ #3715,92,478.0262956942,,4,Brain Feeders,,Flux Suit,,Mind Reader,,,Matrix
6029,NEONZ #6029,93,478.0085102865,Ear Bladez,5,Dimension Splitters,,Raver,,Sensor,,Atom Sniffer,
4949,NEONZ #4949,94,478.0048222765,,3,Dimension Splitters,,Flux Suit,,,,,Halo
8228,NEONZ #8228,95,476.3519511586,,4,Mindtronics,,Puffer Jacket,,Transmitters,,,Seed Phrase
5955,NEONZ #5955,96,476.1942700325,,4,Tycho Chic,,Puffer Jacket,,Transmitters,,,Prism
6907,NEONZ #6907,97,474.9095453769,,3,,,Brute Collar,Tigerhawk,,,,BOLT
4775,NEONZ #4775,98,474.5442637651,,4,Laser Blades,,Raver,,Death Spikes,,,Sentient
5902,NEONZ #5902,99,473.5404692485,,3,,,Flux Suit,,Raiden,,,Void
7990,NEONZ #7990,100,473.3807043852,,4,Cyclops,,Raver,,Synaptic Shield,,,Sentient
1787,NEONZ #1787,101,473.0277708803,,4,Laser Blades,,Puffer Jacket,,Death Spikes,,Atom Sniffer,
5285,NEONZ #5285,102,472.7752835819,Bunnies,4,,,Well Behaved Choker,Tigerhawk,,,,Plotter
3537,NEONZ #3537,103,472.7728044539,Ear Bladez,4,,,Flux Suit,,Sensor,,Grillz,
7278,NEONZ #7278,104,472.2417492531,,3,,,Heavy Fetish,Tigerhawk,,,,Seed Phrase
6260,NEONZ #6260,105,472.1650232374,,3,Beamers,,Flux Suit,,,,,Halo
5080,NEONZ #5080,106,471.9054125782,Bunnies,4,,,Wasteland Armour,Tigerhawk,,,,Seed Phrase
3420,NEONZ #3420,107,471.538827148,,3,,,Wasteland Armour,Tigerhawk,,,,Halo
5413,NEONZ #5413,108,470.5444118946,Bunnies,4,,,Wasteland Armour,Tigerhawk,,,,Prism
8706,NEONZ #8706,109,470.2661666369,Bunnies,4,,,Brute Collar,Tigerhawk,,,,Void
8519,NEONZ #8519,110,470.0231155029,,3,,,Wasteland Armour,Tigerhawk,,,,Seed Phrase
5722,NEONZ #5722,111,469.5926745829,,3,,,Puffer Jacket,,Death Spikes,,,Void
9875,NEONZ #9875,112,469.3217230015,Bunnies,4,,,Poly Cape,Tigerhawk,,,,Plotter
2609,NEONZ #2609,113,469.0213446305,,3,,,Wasteland Armour,Tigerhawk,,,,Matrix
516,NEONZ #516,114,468.9660892791,,4,Tycho Chic,,Puffer Jacket,,Mind Reader,,Atom Sniffer,
9859,NEONZ #9859,115,468.6041649069,Bunnies,4,,,Brute Collar,Tigerhawk,,,,Plotter
4381,NEONZ #4381,116,468.0999507493,,4,Beamers,,Puffer Jacket,,Death Spikes,,Big Breather,
6964,NEONZ #6964,117,467.9559885876,,3,,,Flux Suit,,Sensor,,,Plotter
8999,NEONZ #8999,118,467.724010995,,4,Laser Blades,,Raver,,Shocker Cap,,,Prism
3375,NEONZ #3375,119,466.1444776158,Bunnies,5,Brain Feeders,,Raver,,Transmitters,,Atom Sniffer,
9175,NEONZ #9175,120,465.9741820992,Bunnies,3,,,Puffer Jacket,,,,,Halo
2046,NEONZ #2046,121,465.2657328839,Bunnies,4,Brain Feeders,,Puffer Jacket,,,,Big Breather,
7462,NEONZ #7462,122,465.2231815736,,3,,,Brute Collar,Tigerhawk,,,,Prism
1809,NEONZ #1809,123,464.606595324,,2,,,Raver,,,,,Prism
672,NEONZ #672,124,464.122242761,,2,Dimension Splitters,,Raver,,,,,
3903,NEONZ #3903,125,463.95459664,Ear Bladez,3,,,Flux Suit,,Shocker Cap,,,
8068,NEONZ #8068,126,463.282209067,,3,,,Battle Vest,Tigerhawk,,,Big Breather,
2633,NEONZ #2633,127,463.0974697704,Bunnies,3,,,,Tigerhawk,,,,Prism
8906,NEONZ #8906,128,461.7969802167,,3,Tycho Chic,,Flux Suit,,Transmitters,,,
6718,NEONZ #6718,129,461.4889668896,,3,Tycho Chic,,Puffer Jacket,,Death Spikes,,,
2937,NEONZ #2937,130,460.9121245376,,4,Brain Feeders,,Raver,,Mind Reader,,,Seed Phrase
5039,NEONZ #5039,131,460.6378251767,,3,Laser Blades,,Raver,,,,,Seed Phrase
637,NEONZ #637,132,460.6334496866,,3,Brain Feeders,,Puffer Jacket,,Sensor,,,
4742,NEONZ #4742,133,459.812490707,,3,,,Well Behaved Choker,Tigerhawk,,,Atom Sniffer,
5671,NEONZ #5671,134,459.7065013672,,3,Beamers,,Puffer Jacket,,,,Atom Sniffer,
8080,NEONZ #8080,134,459.7065013672,,3,Beamers,,Flux Suit,,,,Atom Sniffer,
2284,NEONZ #2284,136,457.7501834632,,4,Beamers,,Raver,,Death Spikes,,,Seed Phrase
6641,NEONZ #6641,137,453.3267211793,,3,Laser Blades,,Raver,,Shocker Cap,,,
3395,NEONZ #3395,138,452.2866589796,Bunnies,4,Laser Blades,,Raver,,Transmitters,,,
4218,NEONZ #4218,139,451.3501812189,,3,Mindtronics,,Raver,,,,,Prism
8947,NEONZ #8947,140,450.5096234141,,4,Brain Feeders,,Raver,,Sensor,,Big Breather,
7331,NEONZ #7331,141,450.0377458402,,4,Beamers,,Raver,,Shocker Cap,,Atom Sniffer,
6476,NEONZ #6476,142,449.9840087203,,4,Beamers,,Raver,,Death Spikes,,Big Breather,
1391,NEONZ #1391,143,445.2806376706,Bunnies,4,Tycho Chic,,Raver,,Sensor,,,
4555,NEONZ #4555,144,444.8313474183,,3,Mindtronics,,Raver,,Mind Reader,,,
4609,NEONZ #4609,145,443.6558835747,,3,Cyclops,,Raver,,Sensor,,,
9375,NEONZ #9375,146,441.7683716774,,3,Mindtronics,,Raver,,,,Atom Sniffer,
718,NEONZ #718,147,432.6704242131,,4,Brain Feeders,,Hacker Jacket,,Synaptic Shield,,,Dat Tribe
388,NEONZ #388,148,432.633552237,,2,,,Hacker Jacket,,,,,Tesseract
1320,NEONZ #1320,149,430.8824334012,,3,,,Poly Cape,Eraserhead,,,,Splitter
2008,NEONZ #2008,150,429.1684519609,,4,Greeble Eaters,,Hacker Jacket,,Mind Reader,,,Spaceface
5587,NEONZ #5587,151,422.2418202502,Bunnies,5,Beamers,,Hacker Jacket,,Sensor,,Big Breather,
2026,NEONZ #2026,152,421.8793234877,Bunnies,5,Mindtronics,,Hacker Jacket,,Mind Reader,,Atom Sniffer,
8875,NEONZ #8875,153,420.7290142571,Bunnies,5,Tycho Chic,,Hacker Jacket,,Transmitters,,Atom Sniffer,
178,NEONZ #178,154,419.7213440892,,4,Laser Blades,,Hacker Jacket,,Sensor,,,Plotter
3769,NEONZ #3769,155,419.4948614564,,4,Greeble Eaters,,Hacker Jacket,,Mind Reader,,,Halo
3018,NEONZ #3018,156,419.0933735103,,4,Dimension Splitters,,Hacker Jacket,,Death Spikes,,,Void
573,NEONZ #573,157,418.3102990277,,2,,,Hacker Jacket,,,,,Prism
4747,NEONZ #4747,158,417.0083334302,,3,,,Hacker Jacket,,Synaptic Shield,,,BOLT
6184,NEONZ #6184,159,416.5051148903,Ear Bladez,5,Mirror Shades,,Poly Cape,,Sensor,,Grillz,
5504,NEONZ #5504,160,415.7875567957,Ear Bladez,5,Mirror Shades,,Brute Collar,,Sensor,,Grillz,
9551,NEONZ #9551,161,415.6343467533,,4,Tycho Chic,,Hacker Jacket,,Mind Reader,,,Plotter
1116,NEONZ #1116,162,415.5302765436,,4,Greeble Eaters,,Hacker Jacket,,Raiden,,Grillz,
385,NEONZ #385,163,415.1334111725,,2,Mirror Shades,,,,,,,Sentient
8540,NEONZ #8540,164,414.6842597691,,4,Beamers,,Hacker Jacket,,Shocker Cap,,,Seed Phrase
855,NEONZ #855,165,414.3760464435,,4,Tycho Chic,,Hacker Jacket,,Sensor,,,Halo
3670,NEONZ #3670,166,413.981822747,,4,Greeble Eaters,,Hacker Jacket,,Sensor,,,Prism
7622,NEONZ #7622,167,412.4763904218,,4,Mirror Shades,,Battle Vest,,Mind Reader,,,Spaceface
539,NEONZ #539,168,412.0395746866,,4,Cyclops,,Hacker Jacket,,Transmitters,,,Prism
2623,NEONZ #2623,169,410.2492650996,Boomnodes,2,,,,Eraserhead,,,,
8647,NEONZ #8647,170,410.2129750684,,4,Greeble Eaters,,Hacker Jacket,,Mind Reader,,Big Breather,
8059,NEONZ #8059,171,409.0166389864,,4,Tycho Chic,,Hacker Jacket,,Raiden,,Big Breather,
9864,NEONZ #9864,172,407.7304864361,,4,Tycho Chic,,Hacker Jacket,,Mind Reader,,Big Breather,
3341,NEONZ #3341,173,406.6111215555,,3,,,Hacker Jacket,,Shocker Cap,,,Seed Phrase
7320,NEONZ #7320,174,405.7273548185,,4,Mirror Shades,,Battle Vest,,Synaptic Shield,,,Void
6585,NEONZ #6585,175,405.4420156115,,2,Mirror Shades,,,,,,,Matrix
1126,NEONZ #1126,176,403.4176927819,Bunnies,4,Dimension Splitters,,Hacker Jacket,,Death Spikes,,,
8653,NEONZ #8653,177,402.4901002999,Bunnies,5,Mirror Shades,,Poly Cape,,Sensor,,Atom Sniffer,
5019,NEONZ #5019,178,402.4647845652,Bunnies,5,Mirror Shades,,Poly Cape,,Death Spikes,,Atom Sniffer,
1006,NEONZ #1006,179,402.0732330166,,3,Mirror Shades,,,,Shocker Cap,,,Sentient
4465,NEONZ #4465,180,401.7472264706,Bunnies,5,Mirror Shades,,Brute Collar,,Death Spikes,,Atom Sniffer,
7681,NEONZ #7681,181,401.36785361,,3,Mirror Shades,,,,Sensor,,,Spaceface
2812,NEONZ #2812,182,401.0846327679,Ear Bladez,4,,,Brute Collar,Helmet,,,,Wave Link
4912,NEONZ #4912,183,399.2042358803,Bunnies,5,Portals,,Well Behaved Choker,,Mind Plugs,,Atom Sniffer,
4751,NEONZ #4751,184,399.1577064157,,2,Mirror Shades,,Battle Vest,,,,,
8560,NEONZ #8560,185,397.4655966808,,4,Mirror Shades,,Poly Cape,,Raiden,,,Prism
9258,NEONZ #9258,186,397.3847418915,,3,Tycho Chic,,Hacker Jacket,,Transmitters,,,
3556,NEONZ #3556,187,397.0767285643,,3,Tycho Chic,,Hacker Jacket,,Death Spikes,,,
8778,NEONZ #8778,188,396.9605722939,,4,Mirror Shades,,Brute Collar,,Mind Reader,,,Plotter
8219,NEONZ #8219,189,396.9064203047,,4,Mirror Shades,,Wasteland Armour,,Transmitters,,,Matrix
9630,NEONZ #9630,190,396.8543181223,,4,Portals,,Poly Cape,,Mind Plugs,,,Sentient
3987,NEONZ #3987,191,396.3857333937,,3,,,Hacker Jacket,,Raiden,,Atom Sniffer,
7953,NEONZ #7953,192,396.2103232115,,2,Mirror Shades,,,,Transmitters,,,
9052,NEONZ #9052,193,396.0004315228,,4,Mirror Shades,,Heavy Fetish,,Raiden,,Big Breather,
861,NEONZ #861,194,395.927625619,,2,Mirror Shades,,,,Sensor,,,
5990,NEONZ #5990,195,395.9007176957,,3,Mirror Shades,,,,Raiden,,,Void
563,NEONZ #563,196,394.1830512544,,3,Mirror Shades,,Wasteland Armour,,,,,Void
8805,NEONZ #8805,197,393.4674674148,Boomnodes,3,,,Poly Cape,Eraserhead,,,,
2723,NEONZ #2723,198,391.3815930777,,3,Mirror Shades,,Wasteland Armour,,,,,Matrix
2578,NEONZ #2578,199,390.7338440949,,3,Mirror Shades,,Data Choker,,,,,Halo
925,NEONZ #925,200,389.330413722,,4,Mirror Shades,,Data Choker,,Mind Reader,,Big Breather,
2342,NEONZ #2342,201,389.1288662434,,4,Precogs,,Wasteland Armour,,Batman,,,Prism
1069,NEONZ #1069,202,388.8506209858,,4,Precogs,,Brute Collar,,Batman,,,Void
1554,NEONZ #1554,203,387.6719790915,Bunnies,4,Mirror Shades,,Wasteland Armour,,Raiden,,,
689,NEONZ #689,204,386.4488069813,,4,Mirror Shades,,Brute Collar,,Shocker Cap,,Atom Sniffer,
8363,NEONZ #8363,205,384.0858368354,,3,Mirror Shades,,Heavy Fetish,,Sensor,,,
6436,NEONZ #6436,206,383.8520792711,,4,Portals,,Well Behaved Choker,,Mind Plugs,,Big Breather,
2471,NEONZ #2471,207,383.7543646912,Bunnies,4,Mirror Shades,,,,Mind Reader,,Atom Sniffer,
4341,NEONZ #4341,208,382.4658220319,,3,Mirror Shades,,Battle Vest,,,,Atom Sniffer,
3225,NEONZ #3225,209,381.7621788162,Ear Bladez,4,,,Brute Collar,Grease Punk,,,,Wave Link
4802,NEONZ #4802,210,381.1966429147,,4,Hunters,,Battle Jacket,,Mind Reader,,,Tesseract
7657,NEONZ #7657,211,381.0715994722,,4,Laser Blades,,X Armour,,Mind Reader,,,Wave Link
4643,NEONZ #4643,212,379.8949333728,Bunnies,4,,,Data Choker,Pris,,,,Wave Link
5630,NEONZ #5630,213,379.7123142072,,4,Broadcasters,,X Armour,,Mind Plugs,,,Matrix
7428,NEONZ #7428,214,379.338389107,,4,Hunters,,Heavy Fetish,,Transmitters,,,Wave Link
5509,NEONZ #5509,215,378.4564926467,,3,,,Poly Cape,Pris,,,,Wave Link
2747,NEONZ #2747,216,378.2642371616,,3,,,Battle Jacket,Pris,,,,BOLT
3891,NEONZ #3891,217,378.0126362974,,3,,,Data Choker,Pris,,,,Wave Link
37,NEONZ #37,218,375.6725067275,Bunnies,4,,,Poly Cape,Grease Punk,,,,Wave Link
6236,NEONZ #6236,219,374.648873628,Bunnies,4,,,Heavy Fetish,Cryo Pony,,,,Neural Link
4881,NEONZ #4881,220,373.8448436604,Bunnies,4,Portals,,Data Choker,,Mind Plugs,,,
326,NEONZ #326,221,373.7902096522,,3,,,Poly Cape,Grease Punk,,,,Wave Link
8591,NEONZ #8591,222,373.6647863826,,4,Greeble Eaters,,Battle Vest,,Mind Plugs,,,Tesseract
1948,NEONZ #1948,223,373.6522347739,,3,,,Battle Jacket,Helmet,,,Atom Sniffer,
5389,NEONZ #5389,224,373.3473787848,Bunnies,5,Broadcasters,,Wasteland Armour,,Mind Plugs,,Atom Sniffer,
9403,NEONZ #9403,225,373.0726515576,,3,,,Brute Collar,Grease Punk,,,,Wave Link
2885,NEONZ #2885,226,370.4335709958,Bunnies,5,Cyclops,,Heavy Fetish,,Mind Plugs,,Big Breather,
6196,NEONZ #6196,227,370.3430687485,,4,Dimension Splitters,,Wasteland Armour,,Mind Plugs,,,Sentient
1083,NEONZ #1083,228,369.938874042,,3,,,Battle Jacket,Pris,,,,Seed Phrase
3644,NEONZ #3644,229,368.3118620187,,4,Dimension Splitters,,Battle Jacket,,Raiden,,,Stacker
8366,NEONZ #8366,230,367.8265676514,,3,,,Poly Cape,Cryo Pony,,,,Neural Link
3206,NEONZ #3206,231,367.0491399848,,4,Broadcasters,,Battle Jacket,,Sensor,,,Tesseract
8211,NEONZ #8211,232,366.7430562455,,4,Laser Blades,,Battle Vest,,Mind Plugs,,,Void
2604,NEONZ #2604,233,365.7012186808,,4,Laser Blades,,Heavy Fetish,,Sensor,,,Wave Link
6103,NEONZ #6103,234,365.5953482564,Bunnies,5,Broadcasters,,Battle Jacket,,Raiden,,Atom Sniffer,
889,NEONZ #889,235,364.7757337007,,4,Laser Blades,,Heavy Fetish,,Mind Plugs,,,Prism
6408,NEONZ #6408,236,364.1964222165,,2,Beamers,,,,,,,Wave Link
195,NEONZ #195,237,363.9661306158,,4,Laser Blades,,Brute Collar,,Raiden,,,Wave Link
4390,NEONZ #4390,238,363.8377156701,,4,Beamers,,Data Choker,,Mind Plugs,,,Spaceface
528,NEONZ #528,239,363.6598025306,,4,Crickets,,Well Behaved Choker,,Sensor,,,Wave Link
6121,NEONZ #6121,240,362.9549637231,,3,Mindtronics,,,,Mind Plugs,,,Stacker
6765,NEONZ #6765,241,362.5575304666,,3,Crickets,,X Armour,,Mind Plugs,,,
4440,NEONZ #4440,242,361.4769528543,,4,Greeble Eaters,,Wasteland Armour,,Mind Plugs,,,Void
7925,NEONZ #7925,243,361.3400979028,,2,,,,,Death Spikes,,,Wave Link
4268,NEONZ #4268,244,361.0109248375,,4,Broadcasters,,X Armour,,Transmitters,,,Neural Link
5042,NEONZ #5042,245,360.7991584687,,2,,,,,Mind Plugs,,,Matrix
4129,NEONZ #4129,246,360.412207726,Bunnies,5,Mindtronics,,Data Choker,,Mind Plugs,,Atom Sniffer,
922,NEONZ #922,247,360.1312928814,,2,,,Brute Collar,,,,,Wave Link
5087,NEONZ #5087,248,360.0934360669,Bunnies,3,Portals,,Battle Jacket,,,,,
751,NEONZ #751,249,359.5572017524,,4,Precogs,,Heavy Fetish,,Mind Reader,,,Spaceface
5415,NEONZ #5415,250,359.1798764224,,3,,,Heavy Fetish,Grease Punk,,,,Neural Link
392,NEONZ #392,251,358.2708458143,,3,Laser Blades,,,,Mind Plugs,,,Void
6519,NEONZ #6519,252,358.2179079733,,4,Cyclops,,Poly Cape,,Raiden,,,Wave Link
774,NEONZ #774,253,358.1243493368,,4,Precogs,,Brute Collar,,Mind Reader,,,Dat Tribe
1889,NEONZ #1889,254,358.0970620266,,4,Brain Feeders,,Heavy Fetish,,Sensor,,,Wave Link
8078,NEONZ #8078,255,358.0572729992,,4,Mindtronics,,Heavy Fetish,,Transmitters,,,Wave Link
2772,NEONZ #2772,256,356.931755423,,4,Cyclops,,Poly Cape,,Mind Reader,,,Wave Link
6635,NEONZ #6635,257,356.9185200801,,3,Broadcasters,,Data Choker,,,,,Wave Link
5637,NEONZ #5637,258,355.9182536436,,4,Brain Feeders,,Data Choker,,Shocker Cap,,,Wave Link
