ID,Name,Rank,Rarity_Score,Accessories,Attributes,Background,Body,Clothes,Face,Glasses,Hat,Legendary,Necklace
2460,BFMC #2460,27,359.76640772136284,Triple Bear,6,Dark Green 1,Blue,Punk Dark Green Jacket,Angry Knife,,Navy,,
2517,BFMC #2517,28,344.37175626414614,,5,Dark Blue,Brown,Pink Flowers,Knife Very Angry,,Green With Yellow Flower,,
499,BFMC #499,29,341.15655650684903,,6,Orange,Brown,Yellow Leafs,Knife Very Angry,Yellow,Pirate,,
2649,BFMC #2649,30,337.2298118107649,,7,Dark,Green,Light Green Black Militar,Bubble Gum,Blue And Green,Navy,,Bitcoin Gold
27,BFMC #27,31,335.3132335707758,Claws,7,Orange,Green,Cheetah,Calm Knife,Yellow Aviator,Purple,,
2226,BFMC #2226,32,331.11858525346213,Bear,7,Dark Blue,Green,Purple Light Green Jacket,Angry Bubble Gum,Yellow,Navy,,
2555,BFMC #2555,33,328.5036517703695,,6,Dark Green 1,Green,Green Stars,Golden Teeth,Purple,Green With Yellow Flower,,
4500,BFMC #4500,34,325.8871677824187,Claws,7,Yellow,Brown,Militar Hoddie,Very Angry Teeth,Red Aviator,Elf 2,,
1140,BFMC #1140,35,325.2325235388031,,6,Dark Green 1,Brown,Green Militar,Knife Very Angry,Blue Stars,Purple Pink Hearts Party,,
4142,BFMC #4142,36,321.4948502123737,Bear,6,Yellow,Brown,Green Stars,Knife Very Angry,,Blue And Yellow Party,,
231,BFMC #231,37,320.69433955890935,,7,Dark Blue,Brown,Light Blue Militar,Knife Very Angry,Thug Life,Vietinamite With Horns On Fire,,Big Foot Gold
1634,BFMC #1634,38,320.20345770093974,,5,Pink,Brown,Purple Light Green Jacket,Knife Very Angry,,Panda,,
3247,BFMC #3247,39,315.4222999054916,Triple Bear,6,Light Green,Pink,Punk Dark Green Jacket,Angry Bubble Gum,,Green With Yellow Flower,,
2863,BFMC #2863,40,310.11707398708927,,7,Pink,Pink,Purple Leafs,Wow,Sun Glasses With Gold Details,Saint Patricks,,Big Foot Gold
3019,BFMC #3019,41,309.25787208215775,,6,Light,Brown,Purple Light Green Jacket,Knife,Purple,Big Foot Hat,,
4274,BFMC #4274,42,307.9389926506741,,6,Light Blue,Brown,Pink Bananas Hoddie,Very Angry Teeth,Yellow,Santa Claus,,
1720,BFMC #1720,43,307.5399090550902,,6,Yellow,Blue,Purple Militar Hoddie,Very Angry,3D,Navy,,
3091,BFMC #3091,44,305.8869769943367,Clown Nose,6,Dark Blue,Pink,Light Green Leafs,Teeth,,Viking,,
1402,BFMC #1402,45,305.6434058546947,,6,Light Green,Brown,Pink,Oh Concerned,Purple,Horns On Fire,,
1279,BFMC #1279,46,304.3487999991999,,7,Dark Green 1,Blue,Pink Bananas Hoddie,Red Tongue,Yellow,Crown,,Big Foot Gold
2931,BFMC #2931,47,301.5950875526806,Clown Nose,7,Light Blue,Blue,Purple Light Green Jacket,Bubble Gum,,Crown,,Big Foot Gold
1156,BFMC #1156,48,301.03202912951116,,5,Pink,Brown,Cheetah Hoddie Yellow,Knife,,Mohican,,
4821,BFMC #4821,49,300.7897523574561,,6,Dark Green 1,Brown,Pink Bananas Hoddie,Knife Very Angry,Blue And Green,Black Power,,
519,BFMC #519,50,300.1583203260378,,6,Light,Brown,Yellow Gold,Smiling Bubble Gum,3D,Pirate,,
2858,BFMC #2858,51,298.1134479201477,,6,Dark Green 2,Brown,Yellow Leafs,Bubble Gum,Purple,Crown,,
916,BFMC #916,52,295.38730695954587,Clown Nose,7,Yellow,Green,Cheetah Hoddie,Smiling,,Red Frenchie,,Bitcoin Gold
811,BFMC #811,53,295.31146265286213,,5,Dark Green 1,Brown,Light Green Black Militar,Smiling Bubble Gum,,Navy,,
101,BFMC #101,54,294.99742034293126,,7,Dark Blue,Blue,Green Stars,Red Tongue,Green Aviator,Pink Ears,,Teeth
5082,BFMC #5082,55,293.8927885436815,,6,Dark Green 1,Brown,Purple,Knife,Sun Glasses,Panda,,
2654,BFMC #2654,56,292.3722970753448,,6,Orange,Brown,Militar Hoddie,Oh,Blue And Green,Purple Pink Hearts Party,,
3820,BFMC #3820,57,291.1813708172086,,6,Dark Green 2,Orange,Pink,Smiling,Blue Stars,Purple,,
122,BFMC #122,58,290.64575680926976,,6,Light,Brown,Purple,Smiling Teeth,Yellow And Blue,Purple Pink Hearts Party,,
1584,BFMC #1584,59,287.79711821239425,,6,Dark Green 1,Green,Cheetah,Angry Knife,Green Aviator,Santa Claus,,
686,BFMC #686,60,287.3735136023549,Bear,6,Dark,Blue,Pink,Angry Teeth,,Navy,,
260,BFMC #260,61,286.8064387913837,Claws,7,Light Blue,Pink,Purple Hoddie,Cute,Purple,White Camper,,
628,BFMC #628,62,286.42580842991936,,6,Light Blue,Brown,Light Green And Dark Hoddie Jacket,Oh Concerned,Stylish Blue And Pink,Blue And Yellow With Horns On Fire,,
2570,BFMC #2570,63,285.3658614196651,Bear,7,Pink,Brown,Punk Brown Militar Jacket,Smiling,Purple,Panda,,
2967,BFMC #2967,64,284.1294651658383,,6,Dark Green 1,Brown,Cheetah Hoddie Yellow,Angry Teeth,Yellow Aviator,Navy,,
2788,BFMC #2788,65,283.9146203939224,,6,Yellow,Brown,Tank Top White,Knife Very Angry,Stylish Blue And Pink,Brown With Yellow Flower,,
3787,BFMC #3787,66,283.8584126206408,Clown Nose,6,Dark,Green,Green Pink Flowers,Angry,,Purple,,
3497,BFMC #3497,67,282.1170677348517,,7,Light Blue,Green,Yellow Gold,Smiling Cigarrete,Purple,Blue And Yellow Party,,Big Foot Gold
670,BFMC #670,68,281.3013698309882,,6,Light,Brown,Tank Top Red,Sad,Red Aviator,Purple,,
3965,BFMC #3965,69,279.93676147020784,,6,Yellow,Green,Cheetah Hoddie Yellow,Angry,,Soda Bomb,,Bitcoin Gold
891,BFMC #891,70,279.19421770092265,,7,Pink,Brown,Purple Leafs,Smiling Bubble Gum,Yellow And Blue,Panda,,Big Foot Gold
1789,BFMC #1789,71,278.4905330450854,,6,Dark Green 2,Brown,Pink Bananas Hoddie,Very Angry Teeth,Thug Life,Saint Patricks,,
4371,BFMC #4371,72,278.2409448246993,,6,Dark Green 2,Pink,Purple,Calm Knife,Yellow Aviator,Panda,,
4341,BFMC #4341,73,278.17346949164676,,7,Light Blue,Orange,Light Brown,Calm Knife,Purple,Brown With Yellow Flower,,Big Foot Gold
3018,BFMC #3018,74,277.4082660181249,,6,Yellow,Brown,Cheetah Hoddie,Upset,,Green With Yellow Flower,,Bitcoin Gold
4783,BFMC #4783,75,277.3157774490042,,7,Dark Blue,Pink,Cheetah Hoddie Yellow,Teeth,Blue Stars,Panda,,Big Foot Gold
4087,BFMC #4087,76,277.2662689381733,,7,Pink,Brown,Tank Top Militar,Bubble Gum,Yellow Aviator,Viking,,Bitcoin Gold
2730,BFMC #2730,77,277.22159199058865,,6,Dark Blue,Green,Cheetah Hoddie,Oh,Sun Glasses With Gold Details,Soda Bomb,,
2318,BFMC #2318,78,276.7200571843836,,6,Dark,Brown,Pink Light Blue Leafs,Knife,Blue And Green,Elf,,
329,BFMC #329,79,276.22135387577515,Bear,7,Light,Brown,Punk Dark Green Jacket,Oh Concerned,Blue And Green,Horns On Fire,,
3941,BFMC #3941,80,276.1623338157067,,7,Light,Green,Tank Top Militar,Golden Teeth,Thug Life,Purple,,Big Foot Gold
1167,BFMC #1167,81,275.5287795374619,,6,Dark Blue,Brown,Green Stars,Red Tongue,Blue Stars,Crown,,
4799,BFMC #4799,82,275.2185746683025,,5,Light Blue,Green,Pink Flowers,Wow,,Viking,,
3213,BFMC #3213,83,275.089470088938,,5,Dark,Brown,Light Green Black Militar,Red Tongue,,Purple Pink Hearts Party,,
2571,BFMC #2571,84,275.02830759093945,Claws,7,Dark Green 1,Brown,Pink Flowers,Golden Teeth,Stylish Blue And Pink,Chicken Hat,,
4174,BFMC #4174,85,274.6726465241923,,6,Dark,Brown,Purple,Smiling Bubble Gum,Yellow And Blue,Crown,,
2019,BFMC #2019,86,274.4355384029376,,6,Light,Brown,Green Pink Flowers,Golden Teeth,Yellow,Purple,,
2885,BFMC #2885,87,274.4025112524108,,5,Dark,Blue,Pink Bananas Hoddie,Angry Bubble Gum,,Crown,,
1449,BFMC #1449,88,274.2446444491302,,7,Dark,Blue,Red Hoddie,Angry,3D,Blue,,Big Foot Gold
2850,BFMC #2850,89,273.6431534191748,Triple Bear,6,Dark Green 2,Brown,Grey Stars,Oh,,Viking,,
1205,BFMC #1205,90,273.5276325523521,Claws,6,Dark Blue,Brown,Purple Leafs,Knife Very Angry,3D,,,
3650,BFMC #3650,91,273.29518360058387,,6,Dark Green 1,Green,Purple Light Green Jacket,Cute,Sun Glasses,Santa Claus,,
2462,BFMC #2462,92,273.1622626689899,,7,Dark,Brown,Grey Stars,Very Angry,Sun Glasses With Gold Details,Vietnamite,,Bitcoin Gold
3482,BFMC #3482,93,273.12180982522653,,5,Light Blue,Orange,Pink Light Blue Leafs,Angry Knife,,Pirate,,
3221,BFMC #3221,94,272.1592664001709,,6,Dark Green 2,Orange,Green Pink Flowers,Curious,Blue And Green,Navy,,
2264,BFMC #2264,95,271.97129120035413,Clown Nose,6,Light Blue,Green,Light Green Black Militar,Cute,,Green With Yellow Flower,,
1120,BFMC #1120,96,271.57794094915937,,5,Dark Green 2,Green,Light Green Black Militar,Cute,,Purple,,
2444,BFMC #2444,97,271.0045326320244,,7,Dark Green 2,Green,Light Blue Militar,Wow,Thug Life,Mohican,,Teeth
2594,BFMC #2594,98,270.1833057997579,Claws,6,Yellow,Orange,Orange Hoddie,Angry Bubble Gum,,Viking,,
3504,BFMC #3504,99,269.82015610137756,,6,Dark Green 2,Pink,Blue Bananas,Teeth,,Viking,,Teeth
761,BFMC #761,100,269.7960722791554,Claws,6,Light,Green,Punk Dark Green Jacket,Smiling Cigarrete,,Viking,,
4888,BFMC #4888,101,269.7949049503559,Bear,7,Light,Blue,Light Green And Dark Hoddie Jacket,Wow,Blue Stars,Elf,,
2727,BFMC #2727,102,268.98451922337085,,7,Light Green,Brown,Yellow Gold,Angry,Blue Stars,Red Frenchie,,Big Foot Gold
3371,BFMC #3371,103,268.9546525482266,Bear,6,Dark Green 1,Brown,Pink Light Blue Leafs,Oh Concerned,,Santa Claus,,
5022,BFMC #5022,104,268.2336241612284,,6,Light Green,Orange,Light Blue Militar,Smiling,Stylish Blue And Pink,Soda Bomb,,
3618,BFMC #3618,105,267.3755351195078,,6,Dark,Green,Punk Dark Green Jacket,Curious,Thug Life,Green With Yellow Flower,,
4357,BFMC #4357,106,266.44562565473535,Claws,6,Dark Green 1,Pink,Light Green And Dark Hoddie Jacket,Angry Teeth,,Soda Bomb,,
4474,BFMC #4474,107,266.3985842949351,,6,Yellow,Blue,Purple Hoddie,Smiling Braces,Sun Glasses With Gold Details,Red Frenchie,,
1521,BFMC #1521,108,266.1359818698803,,7,Pink,Brown,Blue Bananas,Angry Teeth,Green Aviator,Pink Ears,,Teeth
3002,BFMC #3002,109,265.8084441985292,Claws,7,Yellow,Brown,Yellow,Knife,,Laurel Wreath,,Teeth
210,BFMC #210,110,265.5314621889354,Clown Nose,7,Dark Blue,Brown,Cheetah Hoddie Yellow,Smiling Braces,,Pink Ears,,Big Foot Gold
1585,BFMC #1585,111,265.4404867312373,Bear,6,Light Green,Brown,Brown Hoddie,Knife Very Angry,,Blue And Yellow With Horns On Fire,,
4454,BFMC #4454,112,265.20641053645824,,7,Light Blue,Blue,Grey Stars,Smiling Cigarrete,Stylish Blue And Pink,Brown With Yellow Flower,,Teeth
1984,BFMC #1984,113,265.1589978575751,Bear,6,Dark Green 1,Brown,Yellow Leafs,Smiling Bubble Gum,,Pirate,,
150,BFMC #150,114,265.13224427128176,,7,Dark Blue,Orange,Brown Big Foot,Angry Bubble Gum,Red Aviator,Brown With Yellow Flower,,Bitcoin Gold
413,BFMC #413,115,264.7945493889888,,6,Dark Green 1,Blue,Brown,Angry Bubble Gum,Blue Stars,Purple Pink Hearts Party,,
1471,BFMC #1471,116,264.7783491332625,Clown Nose,6,Pink,Brown,Yellow Gold,Smiling Braces,,Viking,,
3961,BFMC #3961,117,264.6553224682161,,7,Orange,Green,Purple Light Green Jacket,Teeth,Yellow,Elf,,Teeth
759,BFMC #759,118,264.49647358435226,,6,Light,Green,Tank Top Red,Smiling Cigarrete,Stylish Blue And Pink,Santa Claus,,
5096,BFMC #5096,119,264.2639035124335,,7,Dark Blue,Blue,Tank Top Militar,Wow,Stylish Blue And Pink,Pirate,,Teeth
4249,BFMC #4249,120,263.2641968136842,,6,Dark,Brown,Green,Golden Teeth,Blue Stars,Purple,,
1857,BFMC #1857,121,262.93279517841233,,6,Dark Blue,Brown,Cheetah Hoddie,Very Angry,3D,Pirate,,
2791,BFMC #2791,122,262.7586021170691,Claws,7,Pink,Blue,Pink Flowers,Cute,Thug Life,Luck Poker Militar,,
906,BFMC #906,123,262.6165993787644,Triple Bear,7,Dark Green 1,Blue,Militar Jacket,Calm Knife,Yellow Aviator,Blue And Yellow With Horns On Fire,,
2547,BFMC #2547,124,262.5195037647835,,6,Dark,Orange,Purple Hoddie,Oh,,Santa Claus,,Teeth
2147,BFMC #2147,125,262.25878941659164,,7,Dark,Brown,Purple Leafs,Very Angry Teeth,Yellow,Green With Yellow Flower,,Teeth
1044,BFMC #1044,126,260.4416901591485,,6,Dark Blue,Orange,Yellow Leafs,Smiling Cigarrete,Thug Life,Viking,,
3537,BFMC #3537,127,260.4378252425484,Claws,7,Dark Blue,Green,Blue White Leafs,Smiling Cigarrete,,Purple,,Big Foot Gold
483,BFMC #483,128,260.30751970834046,Claws,6,Dark Blue,Brown,Pink Bananas Hoddie,Smiling,,Crown,,
2822,BFMC #2822,129,259.6905064981031,,6,Dark Green 1,Pink,Punk Dark Green Jacket,Smiling Braces,Blue Stars,Mohican,,
4970,BFMC #4970,130,259.3096529382495,Bear,6,Dark,Orange,Pink Bananas Hoddie,Calm Knife,,Vietinamite With Horns On Fire,,
4751,BFMC #4751,131,258.97140192399735,Clown Nose,7,Dark Green 2,Blue,Pink Hoddie,Red Tongue,,Mummy,,Big Foot Gold
376,BFMC #376,132,258.93060565099086,,6,Dark,Brown,Pink,Oh,,Pirate With Horns,,Bitcoin Gold
304,BFMC #304,133,258.747789577194,,6,Dark Blue,Green,Basic Light,Teeth,3D,Purple,,
2218,BFMC #2218,134,258.0776764098361,Triple Bear,7,Orange,Orange,Green Pink Flowers,Red Tongue,Thug Life,Blue And Yellow Party,,
2385,BFMC #2385,135,258.06010740460545,Bear,7,Dark Green 2,Orange,Brown Hoddie,Sad,Thug Life,Santa Claus,,
2948,BFMC #2948,136,257.93290354551647,Claws,7,Dark,Green,Red Hoddie,Smiling Cigarrete,Blue And Green,Panda,,
5089,BFMC #5089,137,257.74520679378327,,5,Orange,Brown,Light Green Black Militar,Very Angry Teeth,,Crown,,
3885,BFMC #3885,138,257.5785674526167,,6,Light Blue,Green,Black Hoddie,Wow,Sun Glasses,Purple Pink Hearts Party,,
1714,BFMC #1714,139,257.01932045095754,,6,Dark Blue,Pink,Yellow,Angry Knife,Yellow Aviator,Crown,,
1043,BFMC #1043,140,256.89003768094017,,6,Dark Blue,Blue,Tank Top White,Calm Knife,,Soda Bomb,,Bitcoin Gold
3267,BFMC #3267,141,256.4662081352246,Bear,7,Light Green,Green,Pink,Angry Bubble Gum,Yellow And Blue,Black Power,,
35,BFMC #35,142,256.0935327330368,Bear,7,Pink,Brown,Light Green Black Militar,Smiling Teeth,Stylish Blue And Pink,Blue Party,,
2086,BFMC #2086,143,255.4712913824983,,6,Dark Green 2,Green,Militar Hoddie,Angry Knife,Blue And Green,Luck Poker Militar,,
390,BFMC #390,144,255.1727305915678,,6,Orange,Brown,Pink Light Blue Leafs,Smiling Bubble Gum,,Panda,,Teeth
2764,BFMC #2764,145,254.7967234989717,Claws,7,Yellow,Green,Dark Militar Green Jacket,Wow,Yellow Aviator,Green With Yellow Flower,,
3975,BFMC #3975,146,254.50797997430993,,4,Dark Blue,Brown,Green Stars,Knife Very Angry,,,,
1658,BFMC #1658,147,254.2449971607014,,6,Dark Green 2,Pink,Cheetah Hoddie,Cute,Purple,Vietinamite With Horns On Fire,,
257,BFMC #257,148,253.88794097612566,,6,Light Blue,Pink,Brown,Calm Knife,Thug Life,Elf 2,,
972,BFMC #972,149,253.79514031571168,Bear,7,Light Blue,Brown,Light Brown,Bubble Gum,Sun Glasses,Purple,,
1838,BFMC #1838,150,253.76791096722218,Claws,6,Dark Blue,Brown,Zebra Hoddie,Knife,Red Aviator,,,
2205,BFMC #2205,151,253.69756582551616,,6,Dark,Blue,Grey Stars,Calm Knife,Yellow And Blue,Elf,,
3739,BFMC #3739,152,253.6326495013043,,6,Light Green,Brown,Punk Dark Green Jacket,Smiling Teeth,Stylish Blue And Pink,Chicken Hat,,
4576,BFMC #4576,153,253.3990378236144,,6,Dark Blue,Orange,Punk Dark Green Jacket,Curious,3D,Mummy,,
3276,BFMC #3276,154,253.1445456205829,,6,Dark Blue,Blue,Cheetah Hoddie Yellow,Angry Bubble Gum,Green Aviator,Horns On Fire,,
1019,BFMC #1019,155,253.11226488059967,,5,Dark Green 2,Blue,Blue Bananas,Smiling,,Purple,,
4358,BFMC #4358,156,252.50634357811467,Triple Bear,7,Dark Green 2,Orange,Brown And Light Green Jacket,Bubble Gum,Yellow And Blue,Pirate With Horns,,
1252,BFMC #1252,157,251.9981076573867,,7,Yellow,Pink,Militar Jacket,Angry Bubble Gum,Thug Life,Mohican,,Teeth
4838,BFMC #4838,158,251.94691046493918,,5,Pink,Orange,Light Blue Militar,Angry Knife,,Panda,,
4559,BFMC #4559,159,251.71169925815468,Bear,7,Dark,Green,Light Blue Militar,Very Angry,Blue Stars,Mohican,,
1528,BFMC #1528,160,251.49556547023215,,5,Dark Green 2,Green,Pink Flowers,Angry Knife,,Mummy,,
808,BFMC #808,161,251.2447561424552,Triple Bear,6,Light Green,Brown,Dark Militar Green Jacket,Red Tongue,,Purple Pink Hearts Party,,
2919,BFMC #2919,162,250.8000522401287,,6,Dark Green 1,Green,Light Green And Dark Hoddie Jacket,Golden Teeth,Yellow And Blue,Red Frenchie,,
230,BFMC #230,163,250.4090330419818,,6,Dark Green 1,Pink,Purple Militar Hoddie,Wow,Blue Stars,Saint Patricks,,
3553,BFMC #3553,164,249.90837283181608,Triple Bear,7,Dark Green 2,Brown,Light Green Leafs,Smiling,Blue Stars,Blue Frenchie,,
2373,BFMC #2373,165,249.89272986610962,,6,Dark,Brown,Blue Bananas,Angry,3D,Pirate With Horns,,
174,BFMC #174,166,249.54637954759139,Bear,7,Yellow,Blue,Pink Bananas Hoddie,Bubble Gum,3D,,,Teeth
328,BFMC #328,167,249.34755910985353,,6,Dark Green 2,Blue,Pink Bananas Hoddie,Smiling,Blue And Green,Elf 2,,
4350,BFMC #4350,168,248.9308890601949,,6,Pink,Orange,Pink,Golden Teeth,,Panda,,Teeth
4401,BFMC #4401,169,248.89650416642266,,7,Yellow,Blue,Light Green And Dark Hoddie Jacket,Wow,Yellow,Blue And Yellow Party,,Teeth
2538,BFMC #2538,170,248.30206981768052,,5,Dark Blue,Pink,Pink Hoddie,Wow,,Saint Patricks,,
1442,BFMC #1442,171,247.61810089411833,Claws,7,Light,Green,Pink Bananas Hoddie,Bubble Gum,Sun Glasses,Brown With Yellow Flower,,
901,BFMC #901,172,247.51382015904605,Bear,7,Dark,Orange,Green Pink Flowers,Smiling Braces,Sun Glasses With Gold Details,Green Brain,,
827,BFMC #827,173,247.25870031842615,,5,Dark Green 2,Blue,Red Hoddie,Red Tongue,,Viking,,
3517,BFMC #3517,174,247.21188036142465,,6,Dark Green 2,Blue,Blue Stars,Curious,,Purple Pink Hearts Party,,Big Foot Gold
3878,BFMC #3878,175,246.80988180923885,,6,Light,Brown,Green Leafs,Knife Very Angry,Yellow,Elf,,
2709,BFMC #2709,176,246.48590917786169,Bear,6,Orange,Orange,Tank Top Red,Smiling Cigarrete,,Purple Pink Hearts Party,,
2573,BFMC #2573,177,246.2618178100813,Bear,6,Dark Green 2,Brown,Green Stars,Very Angry Teeth,,Laurel Wreath,,
598,BFMC #598,178,246.19140994480915,,6,Pink,Green,Light Blue Militar,Curious,3D,Pirate With Horns,,
1127,BFMC #1127,179,246.17974459282544,Triple Bear,7,Dark Green 2,Orange,Pink Hoddie,Smiling,Yellow,Chicken Hat,,
3741,BFMC #3741,180,246.02363377694596,,6,Dark Green 2,Green,Red Hoddie,Calm Knife,Thug Life,Brown With Yellow Flower,,
2072,BFMC #2072,181,245.9121054804488,Triple Bear,7,Dark Green 1,Brown,Light Green Jacket,Smiling Bubble Gum,Sun Glasses With Gold Details,Brown With Yellow Flower,,
2069,BFMC #2069,182,244.93403494540217,Claws,7,Light,Orange,Light Brown,Bubble Gum,Purple,Elf,,
43,BFMC #43,183,244.89920932908956,,6,Yellow,Brown,Pink Hoddie,Smiling,3D,Mummy,,
719,BFMC #719,184,244.62897702804537,,6,Dark Green 1,Blue,Light Blue Militar,Smiling,Sun Glasses,Santa Claus,,
2160,BFMC #2160,185,244.34510161582097,,6,Dark,Orange,Militar Hoddie,Smiling Braces,Yellow,Pirate,,
919,BFMC #919,186,243.7324703577492,,6,Light,Blue,Green Stars,Red Tongue,Sun Glasses,Elf,,
2043,BFMC #2043,187,243.41188760406362,,6,Pink,Blue,Light Green And Dark Hoddie Jacket,Smiling Cigarrete,Blue And Green,Pink Ears,,
4666,BFMC #4666,188,242.78416264374442,,6,Dark Green 2,Orange,Tank Top Militar,Angry Knife,Thug Life,Red Frenchie,,
2623,BFMC #2623,189,242.76005993661346,,6,Light Green,Brown,Militar Hoddie,Golden Teeth,Sun Glasses,Elf 2,,
3735,BFMC #3735,190,242.0391831627776,,6,Orange,Orange,Pink Bananas Hoddie,Angry Knife,Blue And Green,,,Teeth
4860,BFMC #4860,191,241.97879841685264,,5,Dark Green 2,Brown,Light Green Leafs,Bubble Gum,,Mohican,,
3859,BFMC #3859,192,241.95488498188138,,6,Dark Green 2,Green,Light Blue Militar,Angry Bubble Gum,Sun Glasses With Gold Details,Luck Poker Militar,,
48,BFMC #48,193,241.93377879772603,Bear,6,Light Blue,Pink,Light Green Leafs,Teeth,,Blue And Yellow Party,,
2262,BFMC #2262,194,241.70538387412435,,6,Orange,Green,Pink Flowers,Curious,,White Camper With Horns,,Bitcoin Gold
2818,BFMC #2818,195,241.13614182549048,Claws,7,Dark,Pink,Yellow Gold,Sad,Red Aviator,Blue Party,,
4384,BFMC #4384,196,241.0908139566007,,6,Dark Green 2,Brown,Purple Light Green Jacket,Smiling,Sun Glasses,Soda Bomb,,
2501,BFMC #2501,197,240.89994124998816,,6,Orange,Green,Light Green Black Militar,Red Tongue,Green Aviator,Laurel Wreath,,
1418,BFMC #1418,198,240.86700645402982,,6,Dark Green 2,Green,Orange Hoddie,Bubble Gum,,Saint Patricks,,Bitcoin Gold
543,BFMC #543,199,240.8156805460739,Clown Nose,6,Dark,Brown,Cheetah Hoddie,Oh Concerned,,Pink Ears,,
858,BFMC #858,200,240.68990497011933,,7,Pink,Brown,Yellow,Bubble Gum,Blue And Green,Santa Claus,,Teeth
739,BFMC #739,201,240.64800238605346,,6,Dark Green 2,Pink,Grey Stars,Smiling Cigarrete,Blue Stars,Mohican,,
4196,BFMC #4196,202,240.3517138784966,,5,Pink,Pink,Yellow Leafs,Angry Teeth,,Crown,,
1846,BFMC #1846,203,240.0945671278744,,7,Yellow,Orange,Pink Light Blue Leafs,Angry,Thug Life,Blue,,Teeth
1916,BFMC #1916,204,240.01124341893956,,6,Light Green,Blue,Grey Militar,Upset,,Green With Yellow Flower,,Bitcoin Gold
2896,BFMC #2896,205,239.39874687917114,Claws,7,Dark Green 1,Blue,Tank Top Militar,Calm Knife,,Chicken Hat,,Bitcoin Gold
228,BFMC #228,206,239.31752810691654,,6,Dark Green 2,Pink,Purple Light Green Jacket,Oh,3D,Angel With Horns On Fire,,
4396,BFMC #4396,207,239.24522264909464,,7,Orange,Green,Grey Militar,Golden Teeth,Red Aviator,Mummy,,Big Foot Gold
2263,BFMC #2263,208,239.239307863459,,5,Pink,Pink,Purple Light Green Jacket,Cute,,Mohican,,
3008,BFMC #3008,209,239.15803113915973,,6,Light Blue,Orange,Grey Stars,Smiling Braces,Yellow,Pink Ears,,
636,BFMC #636,210,238.93469413507535,,6,Dark Green 1,Pink,Green Pink Flowers,Smiling,,Crown,,Teeth
4601,BFMC #4601,211,238.66041007879204,Clown Nose,6,Yellow,Brown,Militar Green Jacket,Very Angry Teeth,,Navy,,
