ID,Name,Rank,Rarity_Score,Accessories-Scores,Attributes-Scores,Background-Scores,Body-Scores,Clothes-Scores,Face-Scores,Glasses-Scores,Hat-Scores,Legendary-Scores,Necklace-Scores
3247,BFMC #3247,39,315.4222999054916,39,2,11,9,103,44,,103,,
2863,BFMC #2863,40,310.11707398708927,,13,14,9,69,31,50,96,,23
3019,BFMC #3019,41,309.25787208215775,,2,11,2,96,96,74,24,,
4274,BFMC #4274,42,307.9389926506741,,2,16,2,111,33,15,126,,
1720,BFMC #1720,43,307.5399090550902,,2,15,5,82,18,50,132,,
3091,BFMC #3091,44,305.8869769943367,25,2,7,9,116,33,,111,,
1402,BFMC #1402,45,305.6434058546947,,2,11,2,103,29,74,80,,
1279,BFMC #1279,46,304.3487999991999,,13,7,5,111,24,15,103,,23
2931,BFMC #2931,47,301.5950875526806,25,13,16,5,96,17,,103,,23
1156,BFMC #1156,48,301.03202912951116,,2,14,2,88,96,,96,,
4821,BFMC #4821,49,300.7897523574561,,2,7,2,111,121,16,38,,
519,BFMC #519,50,300.1583203260378,,2,11,2,88,50,50,93,,
2858,BFMC #2858,51,298.1134479201477,,2,6,2,90,17,74,103,,
916,BFMC #916,52,295.38730695954587,25,13,15,5,88,12,,90,,44
811,BFMC #811,53,295.31146265286213,,2,7,2,100,50,,132,,
101,BFMC #101,54,294.99742034293126,,13,7,5,116,24,25,85,,17
5082,BFMC #5082,55,293.8927885436815,,2,7,2,85,96,16,82,,
2654,BFMC #2654,56,292.3722970753448,,2,15,2,96,19,16,138,,
3820,BFMC #3820,57,291.1813708172086,,2,6,8,103,12,18,138,,
122,BFMC #122,58,290.64575680926976,,2,11,2,85,28,22,138,,
1584,BFMC #1584,59,287.79711821239425,,2,7,5,51,69,25,126,,
686,BFMC #686,60,287.3735136023549,17,2,7,5,103,19,,132,,
260,BFMC #260,61,286.8064387913837,20,13,16,9,80,18,74,52,,
628,BFMC #628,62,286.42580842991936,,2,16,2,103,29,54,76,,
2570,BFMC #2570,63,285.3658614196651,17,13,14,2,67,12,74,82,,
2967,BFMC #2967,64,284.1294651658383,,2,7,2,88,19,32,132,,
2788,BFMC #2788,65,283.9146203939224,,2,15,2,35,121,54,51,,
3787,BFMC #3787,66,283.8584126206408,25,2,7,5,85,20,,138,,
3497,BFMC #3497,67,282.1170677348517,,13,16,5,88,14,74,46,,23
670,BFMC #670,68,281.3013698309882,,2,11,2,49,27,50,138,,
3965,BFMC #3965,69,279.93676147020784,,2,15,5,88,20,,103,,44
891,BFMC #891,70,279.19421770092265,,13,14,2,69,50,22,82,,23
1789,BFMC #1789,71,278.4905330450854,,2,6,2,111,33,24,96,,
4371,BFMC #4371,72,278.2409448246993,,2,6,9,85,58,32,82,,
4341,BFMC #4341,73,278.17346949164676,,13,16,8,31,58,74,51,,23
3018,BFMC #3018,74,277.4082660181249,,2,15,2,88,20,,103,,44
4783,BFMC #4783,75,277.3157774490042,,13,7,9,88,33,18,82,,23
4087,BFMC #4087,76,277.2662689381733,,13,14,2,40,17,32,111,,44
2730,BFMC #2730,77,277.22159199058865,,2,7,5,88,19,50,103,,
2318,BFMC #2318,78,276.7200571843836,,2,7,2,82,96,16,67,,
329,BFMC #329,79,276.22135387577515,17,13,11,2,103,29,16,80,,
3941,BFMC #3941,80,276.1623338157067,,13,11,5,40,19,24,138,,23
1167,BFMC #1167,81,275.5287795374619,,2,7,2,116,24,18,103,,
4799,BFMC #4799,82,275.2185746683025,,2,16,5,107,31,,111,,
3213,BFMC #3213,83,275.089470088938,,2,7,2,100,24,,138,,
2571,BFMC #2571,84,275.02830759093945,20,13,7,2,107,19,54,50,,
4174,BFMC #4174,85,274.6726465241923,,2,7,2,85,50,22,103,,
2019,BFMC #2019,86,274.4355384029376,,2,11,2,85,19,15,138,,
2885,BFMC #2885,87,274.4025112524108,,2,7,5,111,44,,103,,
1449,BFMC #1449,88,274.2446444491302,,13,7,5,96,20,50,56,,23
2850,BFMC #2850,89,273.6431534191748,39,2,6,2,90,19,,111,,
1205,BFMC #1205,90,273.5276325523521,20,2,7,2,69,121,50,,,
3650,BFMC #3650,91,273.29518360058387,,2,7,5,96,18,16,126,,
2462,BFMC #2462,92,273.1622626689899,,13,7,2,90,18,50,45,,44
3482,BFMC #3482,93,273.12180982522653,,2,16,8,82,69,,93,,
3221,BFMC #3221,94,272.1592664001709,,2,6,8,85,20,16,132,,
2264,BFMC #2264,95,271.97129120035413,25,2,16,5,100,18,,103,,
1120,BFMC #1120,96,271.57794094915937,,2,6,5,100,18,,138,,
2444,BFMC #2444,97,271.0045326320244,,13,6,5,74,31,24,96,,17
2594,BFMC #2594,98,270.1833057997579,20,2,15,8,67,44,,111,,
3504,BFMC #3504,99,269.82015610137756,,2,6,9,88,33,,111,,17
761,BFMC #761,100,269.7960722791554,20,2,11,5,103,14,,111,,
4888,BFMC #4888,101,269.7949049503559,17,13,11,5,103,31,18,67,,
2727,BFMC #2727,102,268.98451922337085,,13,11,2,88,20,18,90,,23
3371,BFMC #3371,103,268.9546525482266,17,2,7,2,82,29,,126,,
5022,BFMC #5022,104,268.2336241612284,,2,11,8,74,12,54,103,,
3618,BFMC #3618,105,267.3755351195078,,2,7,5,103,20,24,103,,
4357,BFMC #4357,106,266.44562565473535,20,2,7,9,103,19,,103,,
4474,BFMC #4474,107,266.3985842949351,,2,15,5,80,20,50,90,,
1521,BFMC #1521,108,266.1359818698803,,13,14,2,88,19,25,85,,17
3002,BFMC #3002,109,265.8084441985292,20,13,15,2,31,96,,67,,17
210,BFMC #210,110,265.5314621889354,25,13,7,2,88,20,,85,,23
1585,BFMC #1585,111,265.4404867312373,17,2,11,2,33,121,,76,,
4454,BFMC #4454,112,265.20641053645824,,13,16,5,90,14,54,51,,17
1984,BFMC #1984,113,265.1589978575751,17,2,7,2,90,50,,93,,
150,BFMC #150,114,265.13224427128176,,13,7,8,45,44,50,51,,44
413,BFMC #413,115,264.7945493889888,,2,7,5,48,44,18,138,,
1471,BFMC #1471,116,264.7783491332625,25,2,14,2,88,20,,111,,
3961,BFMC #3961,117,264.6553224682161,,13,15,5,96,33,15,67,,17
759,BFMC #759,118,264.49647358435226,,2,11,5,49,14,54,126,,
5096,BFMC #5096,119,264.2639035124335,,13,7,5,40,31,54,93,,17
4249,BFMC #4249,120,263.2641968136842,,2,7,2,74,19,18,138,,
1857,BFMC #1857,121,262.93279517841233,,2,7,2,88,18,50,93,,
2791,BFMC #2791,122,262.7586021170691,20,13,14,5,107,18,24,58,,
906,BFMC #906,123,262.6165993787644,39,13,7,5,29,58,32,76,,
2547,BFMC #2547,124,262.5195037647835,,2,7,8,80,19,,126,,17
2147,BFMC #2147,125,262.25878941659164,,13,7,2,69,33,15,103,,17
1044,BFMC #1044,126,260.4416901591485,,2,7,8,90,14,24,111,,
3537,BFMC #3537,127,260.4378252425484,20,13,7,5,37,14,,138,,23
483,BFMC #483,128,260.30751970834046,20,2,7,2,111,12,,103,,
2822,BFMC #2822,129,259.6905064981031,,2,7,9,103,20,18,96,,
4970,BFMC #4970,130,259.3096529382495,17,2,7,8,111,58,,53,,
4751,BFMC #4751,131,258.97140192399735,25,13,6,5,100,24,,60,,23
376,BFMC #376,132,258.93060565099086,,2,7,2,103,19,,78,,44
304,BFMC #304,133,258.747789577194,,2,7,5,21,33,50,138,,
2218,BFMC #2218,134,258.0776764098361,39,13,15,8,85,24,24,46,,
2385,BFMC #2385,135,258.06010740460545,17,13,6,8,33,27,24,126,,
2948,BFMC #2948,136,257.93290354551647,20,13,7,5,96,14,16,82,,
5089,BFMC #5089,137,257.74520679378327,,2,15,2,100,33,,103,,
3885,BFMC #3885,138,257.5785674526167,,2,16,5,46,31,16,138,,
1714,BFMC #1714,139,257.01932045095754,,2,7,9,31,69,32,103,,
1043,BFMC #1043,140,256.89003768094017,,2,7,5,35,58,,103,,44
3267,BFMC #3267,141,256.4662081352246,17,13,11,5,103,44,22,38,,
35,BFMC #35,142,256.0935327330368,17,13,14,2,100,28,54,25,,
2086,BFMC #2086,143,255.4712913824983,,2,6,5,96,69,16,58,,
390,BFMC #390,144,255.1727305915678,,2,15,2,82,50,,82,,17
2764,BFMC #2764,145,254.7967234989717,20,13,15,5,31,31,32,103,,
3975,BFMC #3975,146,254.50797997430993,,7,7,2,116,121,,,,
1658,BFMC #1658,147,254.2449971607014,,2,6,9,88,18,74,53,,
257,BFMC #257,148,253.88794097612566,,2,16,9,48,58,24,93,,
972,BFMC #972,149,253.79514031571168,17,13,16,2,31,17,16,138,,
1838,BFMC #1838,150,253.76791096722218,20,2,7,2,74,96,50,,,
2205,BFMC #2205,151,253.69756582551616,,2,7,5,90,58,22,67,,
3739,BFMC #3739,152,253.6326495013043,,2,11,2,103,28,54,50,,
4576,BFMC #4576,153,253.3990378236144,,2,7,8,103,20,50,60,,
3276,BFMC #3276,154,253.1445456205829,,2,7,5,88,44,25,80,,
1019,BFMC #1019,155,253.11226488059967,,2,6,5,88,12,,138,,
4358,BFMC #4358,156,252.50634357811467,39,13,6,8,66,17,22,78,,
1252,BFMC #1252,157,251.9981076573867,,13,15,9,29,44,24,96,,17
4838,BFMC #4838,158,251.94691046493918,,2,14,8,74,69,,82,,
4559,BFMC #4559,159,251.71169925815468,17,13,7,5,74,18,18,96,,
1528,BFMC #1528,160,251.49556547023215,,2,6,5,107,69,,60,,
808,BFMC #808,161,251.2447561424552,39,2,11,2,31,24,,138,,
2919,BFMC #2919,162,250.8000522401287,,2,7,5,103,19,22,90,,
230,BFMC #230,163,250.4090330419818,,2,7,9,82,31,18,96,,
3553,BFMC #3553,164,249.90837283181608,39,13,6,2,116,12,18,39,,
2373,BFMC #2373,165,249.89272986610962,,2,7,2,88,20,50,78,,
174,BFMC #174,166,249.54637954759139,17,13,15,5,111,17,50,,,17
328,BFMC #328,167,249.34755910985353,,2,6,5,111,12,16,93,,
4350,BFMC #4350,168,248.9308890601949,,2,14,8,103,19,,82,,17
4401,BFMC #4401,169,248.89650416642266,,13,15,5,103,31,15,46,,17
2538,BFMC #2538,170,248.30206981768052,,2,7,9,100,31,,96,,
1442,BFMC #1442,171,247.61810089411833,20,13,11,5,111,17,16,51,,
901,BFMC #901,172,247.51382015904605,17,13,7,8,85,20,50,44,,
827,BFMC #827,173,247.25870031842615,,2,6,5,96,24,,111,,
3517,BFMC #3517,174,247.21188036142465,,2,6,5,50,20,,138,,23
3878,BFMC #3878,175,246.80988180923885,,2,11,2,26,121,15,67,,
2709,BFMC #2709,176,246.48590917786169,17,2,15,8,49,14,,138,,
2573,BFMC #2573,177,246.2618178100813,17,2,6,2,116,33,,67,,
598,BFMC #598,178,246.19140994480915,,2,14,5,74,20,50,78,,
1127,BFMC #1127,179,246.17974459282544,39,13,6,8,100,12,15,50,,
3741,BFMC #3741,180,246.02363377694596,,2,6,5,96,58,24,51,,
2072,BFMC #2072,181,245.9121054804488,39,13,7,2,29,50,50,51,,
2069,BFMC #2069,182,244.93403494540217,20,13,11,8,31,17,74,67,,
43,BFMC #43,183,244.89920932908956,,2,15,2,100,12,50,60,,
719,BFMC #719,184,244.62897702804537,,2,7,5,74,12,16,126,,
2160,BFMC #2160,185,244.34510161582097,,2,7,8,96,20,15,93,,
919,BFMC #919,186,243.7324703577492,,2,11,5,116,24,16,67,,
2043,BFMC #2043,187,243.41188760406362,,2,14,5,103,14,16,85,,
4666,BFMC #4666,188,242.78416264374442,,2,6,8,40,69,24,90,,
2623,BFMC #2623,189,242.76005993661346,,2,11,2,96,19,16,93,,
3735,BFMC #3735,190,242.0391831627776,,2,15,8,111,69,16,,,17
4860,BFMC #4860,191,241.97879841685264,,2,6,2,116,17,,96,,
3859,BFMC #3859,192,241.95488498188138,,2,6,5,74,44,50,58,,
48,BFMC #48,193,241.93377879772603,17,2,16,9,116,33,,46,,
2262,BFMC #2262,194,241.70538387412435,,2,15,5,107,20,,46,,44
2818,BFMC #2818,195,241.13614182549048,20,13,7,9,88,27,50,25,,
4384,BFMC #4384,196,241.0908139566007,,2,6,2,96,12,16,103,,
2501,BFMC #2501,197,240.89994124998816,,2,15,5,100,24,25,67,,
1418,BFMC #1418,198,240.86700645402982,,2,6,5,67,17,,96,,44
543,BFMC #543,199,240.8156805460739,25,2,7,2,88,29,,85,,
858,BFMC #858,200,240.68990497011933,,13,14,2,31,17,16,126,,17
739,BFMC #739,201,240.64800238605346,,2,6,9,90,14,18,96,,
4196,BFMC #4196,202,240.3517138784966,,2,14,9,90,19,,103,,
1846,BFMC #1846,203,240.0945671278744,,13,15,8,82,20,24,56,,17
1916,BFMC #1916,204,240.01124341893956,,2,11,5,51,20,,103,,44
2896,BFMC #2896,205,239.39874687917114,20,13,7,5,40,58,,50,,44
228,BFMC #228,206,239.31752810691654,,2,6,9,96,19,50,52,,
4396,BFMC #4396,207,239.24522264909464,,13,15,5,51,19,50,60,,23
2263,BFMC #2263,208,239.239307863459,,2,14,9,96,18,,96,,
3008,BFMC #3008,209,239.15803113915973,,2,16,8,90,20,15,85,,
636,BFMC #636,210,238.93469413507535,,2,7,9,85,12,,103,,17
4601,BFMC #4601,211,238.66041007879204,25,2,15,2,27,33,,132,,
3647,BFMC #3647,212,238.59988816361812,17,13,6,9,49,12,50,78,,
1504,BFMC #1504,213,238.53723818455583,,2,6,8,88,31,54,46,,
1396,BFMC #1396,214,238.32987224572776,,2,7,2,67,96,,44,,17
1151,BFMC #1151,215,238.21763516558428,,2,7,8,90,19,16,93,,
2041,BFMC #2041,216,238.15079453130357,20,13,15,2,40,24,24,96,,
4674,BFMC #4674,217,238.09298018830643,,2,7,2,66,33,74,51,,
2452,BFMC #2452,218,238.02149607960695,,13,11,2,44,28,16,103,,17
2971,BFMC #2971,219,237.7563331632472,,2,7,9,50,12,16,138,,
255,BFMC #255,220,237.61632098879772,,2,7,8,27,33,54,103,,
4704,BFMC #4704,221,237.60358010995617,,2,16,2,27,33,16,138,,
360,BFMC #360,222,237.23644773462246,,13,14,9,51,18,15,96,,17
1602,BFMC #1602,223,237.170745899935,20,2,15,5,40,14,,138,,
300,BFMC #300,224,237.1352674028953,25,2,7,2,45,28,,126,,
3944,BFMC #3944,225,236.7683338337377,,2,16,5,80,20,15,96,,
3013,BFMC #3013,226,236.70853448029456,,2,15,8,74,31,,103,,
1353,BFMC #1353,227,236.4337304313699,,2,6,5,90,18,16,96,,
854,BFMC #854,228,236.1126579809482,39,13,11,9,69,19,32,39,,
607,BFMC #607,229,236.01710607371956,,2,7,2,51,27,50,93,,
3463,BFMC #3463,230,235.79354582433348,,2,6,2,90,29,24,78,,
909,BFMC #909,231,235.45704240998032,25,2,11,2,85,29,,78,,
3465,BFMC #3465,232,235.32766727458622,20,2,14,5,82,19,,90,,
2426,BFMC #2426,233,235.0354165863874,,13,16,5,31,24,22,103,,17
4750,BFMC #4750,234,235.02589914858666,,13,11,5,100,24,16,46,,17
1766,BFMC #1766,235,234.93361288700203,,2,15,2,49,19,18,126,,
1590,BFMC #1590,236,234.7961283669776,,2,14,5,74,18,16,103,,
1284,BFMC #1284,237,234.77390439116076,,2,16,5,37,24,22,126,,
1344,BFMC #1344,238,234.53405889677816,20,2,6,2,,19,50,132,,
2300,BFMC #2300,239,234.5229456343225,,2,16,2,50,14,15,132,,
475,BFMC #475,240,234.35384211912282,,2,7,2,21,96,,80,,23
2933,BFMC #2933,241,234.11564436834198,,2,7,2,31,96,25,67,,
2621,BFMC #2621,242,233.8785801670988,17,2,15,2,88,27,,80,,
1233,BFMC #1233,243,233.77588944798322,17,13,6,5,50,33,54,51,,
2845,BFMC #2845,244,233.50593433531247,,2,15,5,74,69,16,50,,
2557,BFMC #2557,245,233.48288358315492,,2,7,2,46,19,16,138,,
513,BFMC #513,246,233.4488320338542,,2,11,5,107,20,32,53,,
4735,BFMC #4735,247,233.35826240051563,25,2,11,2,35,18,,138,,
522,BFMC #522,248,233.2323260658846,,2,6,8,103,27,50,34,,
4881,BFMC #4881,249,233.18999126465857,,2,15,5,96,69,,44,,
2670,BFMC #2670,250,232.95471304673856,,2,14,2,26,33,15,138,,
3747,BFMC #3747,251,232.62591253734269,,2,16,9,51,20,,132,,
1163,BFMC #1163,252,232.19180244681445,17,13,7,2,26,96,22,46,,
4085,BFMC #4085,253,232.07876798421086,17,13,7,8,29,20,32,103,,
2184,BFMC #2184,254,232.00928341535743,,2,7,2,116,50,,52,,
1909,BFMC #1909,255,231.51960250043933,,2,7,9,100,14,,96,,
2808,BFMC #2808,256,231.3573324779329,,2,7,5,31,19,74,90,,
586,BFMC #586,257,231.04470497200387,,2,7,5,111,19,,85,,
417,BFMC #417,258,230.90315312512288,,2,16,5,116,14,15,60,,
145,BFMC #145,259,230.87977136551626,,13,7,5,26,14,15,103,,44
1878,BFMC #1878,260,230.86196916061758,,2,7,5,116,19,,80,,
4677,BFMC #4677,261,230.6139619931481,,2,7,9,21,12,50,126,,
2618,BFMC #2618,262,230.60854114793193,,7,16,2,82,121,,,,
3015,BFMC #3015,263,230.4807751710389,,2,11,9,82,20,,103,,
4649,BFMC #4649,264,230.1084656618621,,2,7,5,31,20,24,138,,
1970,BFMC #1970,265,229.97313687937134,25,2,11,2,67,27,,93,,
1825,BFMC #1825,266,229.8826455078635,20,13,11,5,103,18,18,38,,
4965,BFMC #4965,267,229.68746298346935,20,13,7,5,29,19,,90,,44
1731,BFMC #1731,268,229.60445734522656,,2,7,9,82,33,,93,,
1183,BFMC #1183,269,229.53102650907306,,2,15,8,116,14,18,52,,
354,BFMC #354,270,229.4224710826868,,2,6,5,100,19,15,80,,
366,BFMC #366,271,229.28321284979702,17,13,15,2,103,19,16,39,,
695,BFMC #695,272,229.16162754658333,,2,15,2,85,29,32,60,,
2997,BFMC #2997,273,229.1152911456807,,2,6,2,37,96,,82,,
3391,BFMC #3391,274,229.0787891428604,20,13,7,2,46,18,16,103,,
5015,BFMC #5015,275,229.0395045667064,,2,7,5,90,20,22,80,,
3709,BFMC #3709,276,228.99474709087994,,2,16,8,51,20,25,103,,
4304,BFMC #4304,277,228.91051081820694,,2,11,5,44,44,,103,,17
4334,BFMC #4334,278,228.8770654444413,,2,6,2,80,96,,39,,
3300,BFMC #3300,279,228.7269910117812,,2,7,9,40,69,54,,,44
3525,BFMC #3525,280,228.71660022912963,,2,15,5,67,14,18,103,,
4565,BFMC #4565,281,228.4523218358696,20,2,15,5,85,18,,80,,
3742,BFMC #3742,282,228.35951617299747,,2,16,2,31,27,50,96,,
3398,BFMC #3398,283,228.27011932603676,,2,6,8,31,33,18,126,,
1064,BFMC #1064,284,227.97033795460823,,2,7,2,96,28,,90,,
3153,BFMC #3153,285,227.82338126284114,,2,7,2,103,96,15,,,
3660,BFMC #3660,286,227.8174609658937,,2,7,5,74,27,,93,,17
238,BFMC #238,287,227.75166673936957,,13,11,2,29,27,16,103,,23
3206,BFMC #3206,288,227.74586080840297,25,2,11,2,27,20,,138,,
3134,BFMC #3134,289,227.61415708606467,,13,7,2,49,17,16,103,,17
215,BFMC #215,290,227.60738595769624,17,2,15,2,,96,16,76,,
870,BFMC #870,291,227.57749267641157,,2,7,5,116,18,,78,,
1423,BFMC #1423,292,227.48838698621964,,2,7,9,31,44,,132,,
3041,BFMC #3041,293,227.48101151881562,,2,7,5,29,12,32,138,,
3431,BFMC #3431,294,227.4782747844882,,2,7,2,103,50,15,45,,
4671,BFMC #4671,295,227.4173104752513,,13,16,8,74,19,15,56,,23
956,BFMC #956,296,227.22065191067634,,2,6,2,96,33,,85,,
4173,BFMC #4173,297,227.15734228021546,20,2,15,2,74,96,15,,,
1111,BFMC #1111,298,227.07566281481166,17,13,7,5,46,58,32,46,,
2767,BFMC #2767,299,226.7275789719062,,2,6,5,74,27,16,93,,
2477,BFMC #2477,300,226.71691021001382,,13,15,2,74,14,16,44,,44
3375,BFMC #3375,301,226.59478572941242,,2,15,2,107,19,25,53,,
495,BFMC #495,302,226.51820083478236,20,13,15,2,69,27,25,52,,
2690,BFMC #2690,303,226.5115210826846,,2,7,2,82,19,,111,,
3789,BFMC #3789,304,226.4976462865384,,2,6,8,31,20,24,132,,
3151,BFMC #3151,305,226.4684878329376,,2,14,2,69,96,16,24,,
4999,BFMC #4999,306,226.41480105597304,20,2,7,9,31,69,,85,,
3401,BFMC #3401,307,226.3793079014156,,2,14,8,85,19,50,45,,
3330,BFMC #3330,308,226.0468139695753,,2,16,2,29,20,,132,,23
3168,BFMC #3168,309,226.00614682142253,,2,7,2,21,121,,53,,17
1983,BFMC #1983,310,225.99257224376714,39,2,7,5,100,20,50,,,
789,BFMC #789,311,225.97527891783068,20,2,6,5,103,20,,67,,
1175,BFMC #1175,312,225.87676185860073,,2,6,5,85,31,,76,,17
1706,BFMC #1706,313,225.78316715418674,,2,11,2,67,29,50,60,,
2104,BFMC #2104,314,225.76291019329975,,2,6,2,40,121,,52,,
1543,BFMC #1543,315,225.72375070054258,,2,11,5,48,31,,126,,
4066,BFMC #4066,316,225.70365289774577,20,2,7,2,46,20,,126,,
1652,BFMC #1652,317,225.63851755104366,,2,15,2,107,27,16,53,,
1632,BFMC #1632,318,225.58787386041706,,2,11,9,45,14,15,126,,
4466,BFMC #4466,319,225.54562402192772,17,13,11,8,35,20,22,96,,
3974,BFMC #3974,320,225.51886658683912,,2,7,5,35,69,15,90,,
128,BFMC #128,321,225.50511411907527,,2,7,2,116,14,50,31,,
5060,BFMC #5060,322,225.4489998837673,,2,11,2,31,14,,138,,23
4963,BFMC #4963,323,225.18932573312256,,2,11,8,80,18,25,78,,
3822,BFMC #3822,324,225.05982166280893,,2,7,8,66,19,24,96,,
2646,BFMC #2646,325,224.63613075322272,25,2,7,5,27,18,,138,,
3121,BFMC #3121,326,224.45087900288283,20,2,14,2,66,14,,103,,
3280,BFMC #3280,327,224.2775748616226,17,13,11,2,31,27,16,103,,
640,BFMC #640,328,224.11951324412064,,2,15,9,21,19,16,138,,
1879,BFMC #1879,329,224.04563340318953,17,13,7,9,29,20,32,93,,
904,BFMC #904,330,223.93350307104578,,2,11,2,100,12,50,,,44
4925,BFMC #4925,331,223.8436171252945,39,13,7,5,74,20,16,46,,
2164,BFMC #2164,332,223.69678678917663,,2,7,2,40,96,74,,,
988,BFMC #988,333,223.37927963824697,,2,16,5,67,20,,111,,
4481,BFMC #4481,334,223.19433006536542,,2,7,2,88,20,,58,,44
2793,BFMC #2793,335,222.99428673070088,,2,7,9,46,58,,53,,44
1308,BFMC #1308,336,222.82515071353686,,2,15,5,80,19,54,,,44
3438,BFMC #3438,337,222.69547636251409,,2,7,2,51,20,,138,,
742,BFMC #742,338,222.573953262058,17,13,7,8,34,14,50,76,,
3550,BFMC #3550,339,222.55135639853148,,2,15,5,50,44,,80,,23
3050,BFMC #3050,340,222.55082686774227,,2,7,5,40,20,15,132,,
3507,BFMC #3507,341,222.4523047782917,,2,7,9,80,44,32,45,,
1343,BFMC #1343,342,222.23538567491863,,2,16,2,29,29,50,90,,
2957,BFMC #2957,343,222.09694066279548,,2,6,5,31,20,16,138,,
757,BFMC #757,344,221.9976404578565,,2,14,9,51,31,,93,,17
1811,BFMC #1811,345,221.9720363255286,,2,7,2,96,29,,82,,
4018,BFMC #4018,346,221.9511012944596,,2,14,2,96,14,,90,,
1941,BFMC #1941,347,221.6996992992967,,13,7,9,85,27,16,44,,17
2732,BFMC #2732,348,221.68288805094068,,2,7,8,107,18,18,58,,
731,BFMC #731,349,221.67483385293264,,2,15,9,96,20,16,60,,
1933,BFMC #1933,350,221.6282162225193,,2,7,5,37,19,,126,,23
2112,BFMC #2112,351,221.52781619590695,,2,7,2,44,27,,138,,
1317,BFMC #1317,352,221.3921009742762,,2,7,2,116,12,,80,,
2469,BFMC #2469,353,221.15077737310318,,13,7,8,31,19,32,90,,17
3253,BFMC #3253,354,221.1100753033666,,2,6,5,48,58,32,67,,
3634,BFMC #3634,355,220.9835051695187,,2,15,9,116,20,16,39,,
2577,BFMC #2577,356,220.96243388740064,,2,7,2,49,33,,126,,
2481,BFMC #2481,357,220.74210191019267,,2,7,2,90,27,,90,,
2269,BFMC #2269,358,220.70121580664437,,2,7,5,90,58,,56,,
3037,BFMC #3037,359,220.60429794256433,,2,7,5,103,24,16,60,,
3774,BFMC #3774,360,220.48358607943257,,2,15,5,27,14,16,138,,
3674,BFMC #3674,361,220.45581511598647,,2,7,2,67,50,22,67,,
4048,BFMC #4048,362,220.33127912750516,,2,11,5,51,17,,132,,
3513,BFMC #3513,363,220.31629999288225,,2,7,5,33,24,15,132,,
2901,BFMC #2901,364,220.05689951927747,,2,7,5,116,14,16,56,,
4377,BFMC #4377,365,219.95035928087444,,2,11,8,67,19,16,93,,
4962,BFMC #4962,366,219.94380729363763,,2,7,2,100,12,50,44,,
