ID,Name,Rank,Rarity_Score,Attributes,Background,BodyObj,CardBank,Class,ClothPattern,ClothesObj,Ear,Expression,Extra,FaceObj,FaceTex,Foreground,Hair,HandObj,HandObj2,Hat,HeadObj,LeftHand,LeftShoulder,Mouth,Nose,RightHand,RightShoulder,Skin,Smock,Tail,Team,Whiskers
3358,Tez Dozen Team μ #478,58,3473.7666255510103,14,#e1cb93,mu_bodyObj17,sextuple,regular,mu_ptn2,,,,,mu_faceObj21,,mu_fg4,,,,mu_hat2,,no,moth,,,yes,firefly,pigE_3,,,mu,
3338,Tez Dozen Team μ #458,59,3471.4195848077165,13,#ff7400,,regular,regular,mu_ptn4,,,,,,,mu_fg30,,lamb,,mu_hat39,,yes,calligraphy,,,yes,cross,pigF_2,,,mu,
2581,Tez Dozen Team λ #181,60,3463.14603992593,13,#ddd8ab,,regular,regular,,,,,hamburger,,,lambda_fg18,,snake3,,lambda_hat22,,no,flatfish2,,,yes,,dogB_3,,lambda_rare,lambda,
3079,Tez Dozen Team μ #199,61,3456.6365403619147,13,tex,,regular,regular,mu_ptn25,,,,mu_rare,mu_faceObj7,,mu_fg0,,pu_fan,,mu_hat19,,no,,,,yes,,pigC_5,,,mu,
3350,Tez Dozen Team μ #470,62,3413.9270864764176,13,#acd6ff,,regular,regular,mu_ptn28,,,,,mu_faceObj12,,mu_fg7,,peacock,,mu_hat53,,no,mouse,,,yes,,pigH_0,,,mu,
3037,Tez Dozen Team μ #157,63,3402.0270998181627,13,#9ae4ce,mu_bodyObj10,regular,regular,,,,,,mu_faceObj3,,mu_fg29,,green_leaves,,mu_hat29,,no,whale,,,yes,,pigD_7,,,mu,
108,Tez Dozen Team α #108,64,3380.94470789079,13,#ba8827,,regular,regular,,no,,,,,,frog,,,,,alpha_typeD,no,mouse,,,yes,,lightgreen,,alpha_typeB,alpha,alpha_typeA
59,Tez Dozen Team α #059,65,3378.17097527783,15,#35acc1,,regular,regular,,no,,,,,,book,,branches,,tree2,alpha_typeC,no,dragonfly,,,yes,,lightgreen,,alpha_typeC,alpha,alpha_typeB
2674,Tez Dozen Team λ #274,66,3358.6182977965063,14,#76e2b1,lambda_bodyObj6,regular,regular,lambda_ptn27,,,,,,,lambda_fg1,,flag2,anchor,lambda_hat17,,yes,,,,yes,,dogH_0,,lambda_tail0,lambda,
16,Tez Dozen Team α #016,67,3348.7893100236606,15,#35acc1,,sextuple,regular,,no,,,,alpha_typeC,,book,,flower,,,alpha_typeD,no,bird,,,yes,,lightgreen,,alpha_typeC,alpha,alpha_typeD
24,Tez Dozen Team α #024,68,3319.7468282211103,15,#ba8827,,regular,regular,,no,,,,,,mushroom,,flower,,cap,alpha_typeA,no,dragonfly,,,yes,,pink,,alpha_typeD,alpha,alpha_typeC
2536,Tez Dozen Team λ #136,69,3312.1522916813988,15,#f6dd47,lambda_bodyObj6,regular,regular,lambda_ptn6,,,,,lambda_faceObj8,,lambda_fg22,,flag2,shovel,lambda_hat23,,yes,,,,yes,,dogH_0,,lambda_tail5,lambda,
2585,Tez Dozen Team λ #185,70,3296.6978277142193,14,#ff9c9c,lambda_bodyObj0,regular,regular,lambda_ptn16,,,,,lambda_faceObj7,,lambda_fg21,,broom,,lambda_hat20,,no,,,,yes,,dogD_0,,lambda_tail0,lambda,
3174,Tez Dozen Team μ #294,71,3281.0617691380135,13,tex,,sextuple,regular,,,,,mu_rare,mu_faceObj10,,mu_fg31,,baguette,,mu_hat38,,no,mouse,,,yes,,pigE_2,,,mu,
3282,Tez Dozen Team μ #402,72,3277.056069341356,14,#d0d0f7,,regular,regular,mu_ptn22,,,,,mu_faceObj22,,mu_fg38,,drum_sticks_and_drum,,mu_hat31,,yes,bug3,,,yes,piggy,pigE_1,,,mu,
3185,Tez Dozen Team μ #305,73,3275.291648927308,12,tex,mu_bodyObj11,regular,regular,mu_ptn1,,,,mu_rare,,,mu_fg5,,pencil,,,,no,,,,yes,,pigD_8,,,mu,
176,Tez Dozen Team β #056,74,3253.314080097521,14,#9eacef,,sextuple,regular,,lace,,,,,,tri-eye,,fork,,top_hat,beta_typeA,no,,,beta_typeD,yes,,peach,,beta_typeC,beta,
2712,Tez Dozen Team λ #312,75,3233.8836840290337,13,#a7b2ff,lambda_bodyObj2,regular,regular,lambda_ptn12,,,,,lambda_faceObj7,,lambda_fg4,,blue_leaves,,,,no,moth,,,yes,,dogA_5,,,lambda,
3262,Tez Dozen Team μ #382,76,3191.6747414565407,13,#b9d6c7,mu_bodyObj11,sextuple,regular,,,,,dining_pig,mu_faceObj3,,mu_fg23,,banana_fan,,mu_hat1,,no,,,,yes,,pigD_6,,,mu,
3050,Tez Dozen Team μ #170,77,3181.8704993853476,13,#e9c0ab,,regular,regular,mu_ptn23,,,,,mu_faceObj14,,mu_fg18,,orange_branch,,mu_hat50,,no,little_hamburger,,,yes,,pigG_1,,,mu,
3067,Tez Dozen Team μ #187,78,3180.15377217663,13,#e9c0ab,,regular,regular,mu_ptn25,,,,,mu_faceObj4,,mu_fg30,,icecream2,,mu_hat18,,no,pin,,,yes,,pigC_0,,,mu,
2816,Tez Dozen Team λ #416,79,3164.967986523292,14,#ffd626,lambda_bodyObj1,regular,regular,lambda_ptn13,,,,,lambda_faceObj11,,lambda_fg21,,scepter,,lambda_hat34,,yes,snake,,,yes,,dogA_6,,,lambda,
2972,Tez Dozen Team μ #092,80,3164.894159865472,14,#f4e05e,,regular,regular,mu_ptn24,,,,,mu_faceObj3,,mu_fg16,,sundae,,mu_hat1,,yes,ant,,,yes,house,pigC_0,,,mu,
2895,Tez Dozen Team μ #015,81,3147.082525643309,15,#e1daa5,mu_bodyObj21,sextuple,regular,mu_ptn20,,,,boar,mu_faceObj15,,mu_fg15,,peacock,,mu_hat11,,no,butterfly4,,,yes,,pigB_1,,,mu,
443,Tez Dozen Team δ #083,82,3124.532661518685,17,#81d4df,,regular,regular,hills,no,,delta_typeC,flowerpot,,,delta_typeA,,net,,,delta_typeC,no,pin,delta_typeD,,yes,,pink,,,delta,delta_typeA
2882,Tez Dozen Team μ #002,83,3115.227926294103,15,#8cd2e4,mu_bodyObj17,regular,regular,mu_ptn10,,,,piggy_twins,mu_faceObj22,,mu_fg35,,lotus3,,mu_hat2,,no,bug4,,,yes,,pigE_6,,,mu,
2814,Tez Dozen Team λ #414,84,3111.2372559790933,13,#ffc486,,regular,regular,lambda_ptn1,,,,,lambda_faceObj9,,lambda_fg22,,,,lambda_hat22,,no,beetle3,,,no,firefly,dogB_2,,,lambda,
3215,Tez Dozen Team μ #335,85,3111.076483294715,13,#ffa791,mu_bodyObj13,sextuple,regular,mu_ptn1,,,,bird_on_boat,,,mu_fg34,,shovel,,mu_hat1,,no,,,,yes,,pigD_1,,,mu,
2522,Tez Dozen Team λ #122,86,3095.1194880650637,15,#51773d,lambda_bodyObj2,sextuple,regular,lambda_ptn20,,,,,lambda_faceObj7,,lambda_fg5,,scissors,pencil,lambda_hat21,,yes,,,,yes,,dogD_2,,lambda_tail2,lambda,
3231,Tez Dozen Team μ #351,87,3089.122377022742,12,#d4b481,mu_bodyObj10,regular,artist_original,,,,,torch2,,,mu_fg5,,fish_and_spear,,mu_hat1,,no,,,,yes,,pigD_0,,,mu,
2444,Tez Dozen Team λ #044,88,3088.097382301175,14,#ffd626,lambda_bodyObj6,regular,regular,lambda_ptn5,,,,,,,lambda_fg15,,baseball,anchor,lambda_hat10,,yes,,,,yes,,dogF_2,,lambda_tail5,lambda,
3010,Tez Dozen Team μ #130,89,3086.837513615789,13,#8ac569,,regular,regular,mu_ptn27,,,,hills2,,,mu_fg21,,dandelion,,mu_hat46,,no,pin,,,yes,,pigF_1,,,mu,
2666,Tez Dozen Team λ #266,90,3076.137057221783,13,#407863,lambda_bodyObj2,regular,regular,lambda_ptn10,,,,,,,lambda_fg16,,scissors,lotus2,lambda_hat32,,yes,,,,yes,,dogA_4,,,lambda,
3160,Tez Dozen Team μ #280,91,3055.638659341698,12,#f2c0a3,,sextuple,artist_original,mu_ptn27,,,,,,,mu_fg7,,sundae,,mu_hat3,,yes,,,,yes,piggy2,pigF_0,,,mu,
2701,Tez Dozen Team λ #301,92,3052.7694358462713,12,#6fe9ec,,regular,artist_original,lambda_ptn2,,,,mole,,,lambda_fg1,,shovel,,,,no,spider2,,,yes,,dogC_0,,,lambda,
3237,Tez Dozen Team μ #357,93,3039.320788771963,14,#bedaff,mu_bodyObj5,regular,regular,mu_ptn12,,,,tree4,,,mu_fg26,,torch,,mu_hat29,,no,flower3,,,yes,,pigD_8,,,mu,
3344,Tez Dozen Team μ #464,94,3035.0081949531914,14,#e1cb93,mu_bodyObj27,regular,regular,,,,,,mu_faceObj12,,mu_fg22,,sundae,,mu_hat5,,yes,moth,,,yes,firefly,pigH_2,,,mu,
2961,Tez Dozen Team μ #081,95,3008.43460194945,13,#84d2bb,mu_bodyObj8,regular,regular,mu_ptn7,,,,spirit_on_horse,mu_faceObj11,,mu_fg21,,bull_skull_eel,,,,no,,,,yes,,pigA_1,,,mu,
3124,Tez Dozen Team μ #244,96,2993.1902711145026,15,#ecd89c,mu_bodyObj18,regular,regular,mu_ptn21,,,,,mu_faceObj22,,mu_fg5,,branches,,mu_hat35,,yes,flatfish,,,yes,piggy,pigE_1,,,mu,
364,Tez Dozen Team δ #004,97,2980.2474297767467,16,#81d4df,,regular,regular,,no,,delta_typeC,rabbit,,,delta_typeD,,flag,,,delta_typeD,no,flatfish,delta_typeD,,yes,,brown,,,delta,delta_typeA
2893,Tez Dozen Team μ #013,98,2972.163467143662,13,#94c1e8,,regular,regular,mu_ptn20,,,,,mu_faceObj12,,mu_fg25,,carrot,,mu_hat47,,no,cat,,,yes,,pigG_1,,,mu,
2451,Tez Dozen Team λ #051,99,2966.758452077105,14,#d6c8b5,,regular,regular,lambda_ptn16,,,,,lambda_faceObj6,,lambda_fg20,,,,lambda_hat12,,no,rabbit,,,no,smilebird,dogD_1,,lambda_tail1,lambda,
2414,Tez Dozen Team λ #014,100,2962.1613756919687,15,#7fd89f,lambda_bodyObj7,sextuple,regular,lambda_ptn14,,,,books,lambda_faceObj10,,lambda_fg18,,lotus2,,lambda_hat23,,no,arrow,,,yes,,dogF_2,,,lambda,
2607,Tez Dozen Team λ #207,101,2960.7917649279048,13,special_ed,lambda_bodyObj2,sextuple,regular,lambda_ptn3,,,,,,,lambda_fg18,,scissors,lotus3,,,yes,,,,yes,,dogD_0,,lambda_tail0,lambda,
3020,Tez Dozen Team μ #140,102,2938.59500106313,15,#84d2bb,mu_bodyObj22,regular,regular,mu_ptn0,,,,,mu_faceObj14,,mu_fg15,,sword,,mu_hat11,,yes,calligraphy,,,yes,snake4,pigB_3,,,mu,
3230,Tez Dozen Team μ #350,103,2936.3656364322087,13,#ff7400,mu_bodyObj3,regular,regular,,,,,boar,,,mu_fg15,,bat,,mu_hat12,,no,sun,,,yes,,pigB_3,,,mu,
3178,Tez Dozen Team μ #298,104,2934.42692120943,14,#eaa2a6,mu_bodyObj6,regular,regular,mu_ptn19,,,,,mu_faceObj9,,mu_fg7,,fish_and_spear,,mu_hat51,,no,pin,,,yes,,pigG_2,,,mu,
3081,Tez Dozen Team μ #201,105,2933.3199515313777,14,#bedaff,mu_bodyObj5,regular,regular,mu_ptn10,,,,,mu_faceObj10,,mu_fg17,,peacock,,mu_hat36,,no,coral,,,yes,,pigE_5,,,mu,
3320,Tez Dozen Team μ #440,106,2924.437347935597,13,#a8e6a0,mu_bodyObj18,sextuple,regular,mu_ptn26,,,,,mu_faceObj18,,mu_fg21,,,,mu_hat37,,no,,,,no,flatfish3,pigE_1,,,mu,
2642,Tez Dozen Team λ #242,107,2892.012560208112,14,#b7c8ff,lambda_bodyObj0,regular,regular,,,,,hills,lambda_faceObj6,,lambda_fg0,,milkweed,,lambda_hat33,,no,bug2,,,yes,,dogA_0,,,lambda,
3221,Tez Dozen Team μ #341,108,2889.006861251216,12,#94c1e8,mu_bodyObj3,regular,regular,,,,,boar,,,mu_fg14,,broom,,,,no,flatfish2,,,yes,,pigA_1,,,mu,
3294,Tez Dozen Team μ #414,109,2883.461004785258,14,#ecccc2,mu_bodyObj23,regular,regular,mu_ptn19,,,,,,,mu_fg4,,yellow_chick,,mu_hat48,,yes,chafer,,,yes,piggy,pigG_5,,,mu,
2914,Tez Dozen Team μ #034,110,2878.2059427626214,11,#bedaff,,regular,regular,,,,,,mu_faceObj20,,mu_fg27,,smoke,,mu_hat36,,no,,,,yes,,pigE_4,,,mu,
2956,Tez Dozen Team μ #076,111,2870.6014181244545,14,#f0d458,,regular,regular,mu_ptn1,,,,,mu_faceObj4,,mu_fg5,,ham,,mu_hat21,,yes,sun,,,yes,piggy2,pigC_4,,,mu,
2778,Tez Dozen Team λ #378,112,2869.376800092498,14,#b7c8ff,lambda_bodyObj2,regular,regular,lambda_ptn12,,,,,lambda_faceObj7,,lambda_fg22,,lamb,,lambda_hat32,,yes,rabbit,,,yes,,dogA_1,,,lambda,
3306,Tez Dozen Team μ #426,113,2864.272054203022,14,#b5ccf4,mu_bodyObj13,regular,regular,,,,,little_native,mu_faceObj3,,mu_fg24,,,,mu_hat23,,no,player3,,,yes,butterfly3,pigD_6,,,mu,
3266,Tez Dozen Team μ #386,114,2858.423022295045,14,#bce5c4,mu_bodyObj8,regular,regular,mu_ptn18,,,,dining_pig,mu_faceObj9,,mu_fg21,,carrot,,mu_hat48,,no,,,,yes,,pigG_3,,,mu,
2762,Tez Dozen Team λ #362,115,2856.336770550341,11,#ffb184,,regular,regular,,,,,,lambda_faceObj6,,lambda_fg21,,baseball,bat,,,yes,,,,yes,,dogB_7,,,lambda,
3114,Tez Dozen Team μ #234,116,2854.285306308341,13,#b8caff,,sextuple,regular,,,,,,mu_faceObj19,,mu_fg4,,book2,,mu_hat32,,yes,pin,,,yes,smoke,pigE_1,,,mu,
3115,Tez Dozen Team μ #235,117,2848.1874109382143,13,#ff7400,mu_bodyObj1,regular,regular,mu_ptn12,,,,,mu_faceObj7,,mu_fg3,,bull_skull_eel,,,,no,coral,,,yes,,pigA_1,,,mu,
