ID,Name,Rank,Rarity_Score,Attributes,Background,Bling Level,Clothing,Eyewear,Face,Face Detail,Headwear,Skin,Skin Pattern,Special,Tail Spikes,Vest
1103,Tezzardz #1103,25,381.8353100735894,10,Green,$,Biker,Tech Scope,Split Tongue Feisty,Scar,Rare Frog Hat,Orange,Bolt,,,Red
1521,Tezzardz #1521,26,372.1670080261965,11,Purple,$,Tech Armour,Plain Specs,Split Tongue Angry,Scar,Plain Black Spikes,Purple,Heavy Bolt,,Gold,Pink
71,Tezzardz #71,27,372.07125800697406,11,Peach,$,Tech Armour,Cool Shades,Green Tongue Feisty,Scar,Limited Spikes,Purple,Bolt,,Gold,Pink
594,Tezzardz #594,28,370.6941675483754,7,Peach,,Shrine Onesie,Monocle,Green Tongue Feisty,,Balaclava,Yellow,Heavy Bolt,,,
3550,Tezzardz #3550,29,364.8925961011458,11,Peach,$$,Pink Biker,Joke Eyes Glasses,Split Tongue Feisty,Scar,Red Spikes,Green,Heavy Bolt,,Rainbow,Pink
221,Tezzardz #221,30,361.65675188745644,7,Yellow,,Biker,Cool Shades,Blue Tongue Wavy Not Amused,,Backwards Cap Flames,Purple,Orange,,,
2787,Tezzardz #2787,31,357.4084277718339,8,Pink,$$$,Biker,,Tiny Face,,Plain Black Spikes,Green,Freckles,,Rainbow,
824,Tezzardz #824,32,356.7583979530591,10,Peach,$$,Biker,Monocle,Straight Tongue Feisty,,Red Spikes,Yellow,Freckles,,Rainbow,Green
3761,Tezzardz #3761,33,355.9777505545323,11,Blue,$,Silk Shirt Dark,Bad Eyesight Reybannes,Green Tongue Feisty,Scar,Rare Frog Hat,Orange,Bolt,,Rainbow,Red
773,Tezzardz #773,34,355.4178506719435,11,Pink,$,Tassle Jacket,Flame Shades,Green Tongue Wavy Sassy,Scar,Fancy Hat,Yellow,Orange,,Bone,Pink
3158,Tezzardz #3158,35,355.3737761213716,11,Pink,$$$$$,Patterned Sweater,Bad Eyesight Reybannes,Straight Tongue Feisty,Scar,Backwards Cap Jungle,Purple,Freckles,,Rainbow,Red
344,Tezzardz #344,36,349.4585973625157,10,Purple,$$$,Biker,Disguise Glasses,Split Tongue Feisty,,Purple Spikes,Purple,Heavy Freckles,,Rainbow,Green
3583,Tezzardz #3583,37,341.5101204818187,9,Purple,$,Permanent Vacation Tee,Tech Scope,Straight Tongue Sad,,Balaclava,Purple,Bolt,,Bone,
1149,Tezzardz #1149,38,340.57580990068266,9,Yellow,$$,Ghost Tee,Monocle,Straight Tongue Sad,,Balaclava,Yellow,Heavy,,Gold,
2717,Tezzardz #2717,39,340.50147542734055,11,Yellow,$$$$$,Silk Shirt Dark,Plain Specs,Bent Tongue Feisty,Scar,Red Spikes,Red,Heavy,,Bone,Green
2019,Tezzardz #2019,40,336.96588595089133,11,Green,$$,Pool Shirt,Cool Shades,Split Tongue Pink Feisty,Scar,Plain Black Spikes,Red,Heavy Freckles,,Bone,Red
588,Tezzardz #588,41,335.13581875274855,8,Blue,$$$$$,Ghost Tee,Cool Shades,Green Tongue Feisty,,Balaclava,Yellow,Heavy Freckles,,,
325,Tezzardz #325,42,332.51746959792706,9,Blue,$$,Silk Shirt Blue,,Green Tongue Wavy Sassy,,Balaclava,Purple,Bolt,,Rainbow,Pink
3809,Tezzardz #3809,43,331.0358341792818,11,Green,$$$$,Tassle Jacket,Bad Eyesight Reybannes,Green Tongue Wavy Sassy,Scar,Plain Black Spikes,Green,Bolt,,Bone,Green
1708,Tezzardz #1708,44,330.4525238342302,6,Purple,,Skulls Shell Suit,,Straight Tongue Feisty,,Balaclava,Yellow,Bolt,,,
2573,Tezzardz #2573,45,330.3514783887984,8,Green,,Biker,Joke Eyes Glasses,Green Tongue Feisty,,Limited Spikes,Purple,Heavy,,Bone,
1709,Tezzardz #1709,46,328.43062391656224,9,Green,$,Biker,Tech Scope,Straight Tongue Sad,,Backwards Cap Jungle,Orange,Heavy Freckles,,,Green
3420,Tezzardz #3420,47,328.2413421350867,8,Purple,$$,Skulls Shell Suit,,Green Tongue Wavy Sassy,Scar,Balaclava,Red,Bolt,,,
689,Tezzardz #689,48,325.0035184944399,7,Yellow,$$,Patterned Tee,,Dumb Tongue,,Balaclava,Red,Heavy Bolt,,,
766,Tezzardz #766,49,324.847912607476,5,Purple,,Permanent Vacation Tee,,Bent Tongue Feisty,,,Green,Bolt,,,
3255,Tezzardz #3255,50,322.63211126970504,9,Yellow,$,Gardening Utility Belt,Cool Shades,Green Tongue Wavy Sassy,,Balaclava,Yellow,Heavy,,Bone,
478,Tezzardz #478,51,322.6154347940407,9,Blue,,Biker,Cool Shades,Straight Tongue Feisty,,Party Pal Hat,Purple,Heavy Freckles,,Rainbow,Red
2138,Tezzardz #2138,52,322.37917460340606,11,Yellow,$,Silk Shirt Dark,Cool Shades,Green Tongue Wavy Sassy,Scar,Red Spikes,White,Heavy,,Bone,Green
2275,Tezzardz #2275,53,321.59424815669234,11,Blue,$,Silk Shirt Blue,Dopey Swimming Goggles,Split Tongue Angry,Scar,Green Spikes,Green,Freckles,,Rainbow,Red
1446,Tezzardz #1446,54,318.04291440157255,5,Peach,,Meditation Tee,,Blue Tongue Wavy Not Amused,,,Purple,Heavy Freckles,,,
2826,Tezzardz #2826,55,317.9685287536939,7,Yellow,$$,Video Games Tee,,Split Tongue Pink Feisty,,Balaclava,Yellow,Heavy Freckles,,,
170,Tezzardz #170,56,317.96690113631195,5,Pink,,,Bad Eyesight Reybannes,Green Tongue Feisty,,,Purple,Heavy Bolt,,,
1057,Tezzardz #1057,57,316.9417370896926,11,Green,$$$,Silk Shirt Blue,Flame Shades,Straight Tongue Sad,Scar,Rainbow Spikes,Yellow,Freckles,,Bone,Red
2594,Tezzardz #2594,58,313.3670792808724,5,Pink,,Meditation Tee,,Green Tongue Wavy Sassy,,,Green,Heavy Freckles,,,
2344,Tezzardz #2344,59,313.30144544782695,7,Green,$,Fk Yeh Sweater,,Straight Tongue Feisty,,Balaclava,White,Heavy Bolt,,,
3594,Tezzardz #3594,60,313.188265718626,5,Peach,,,,Dumb Tongue,,Red Spikes,Purple,Freckles,,,
1918,Tezzardz #1918,61,313.1705862859675,11,Purple,$,Patterned Sweater,Bad Eyesight Reybannes,Bent Tongue Feisty,Scar,Limited Spikes,Red,Freckles,,Bone,Red
1667,Tezzardz #1667,62,312.97227878777414,11,Pink,$$$,Tassle Jacket,Cool Shades,Straight Tongue Sad,Scar,Party Pal Hat,Yellow,Freckles,,Bone,Red
293,Tezzardz #293,63,310.73630377657366,7,Purple,,,Cool Shades,Green Tongue Feisty,,Balaclava,Green,Freckles,,,Green
1188,Tezzardz #1188,64,307.63774121438644,5,Peach,,Silk Shirt Blue,,Bent Tongue Feisty,,,Yellow,Freckles,,,
2217,Tezzardz #2217,65,306.8019041741504,5,Yellow,,Fk Yeh Sweater,,Split Tongue Pink Feisty,,,Yellow,Freckles,,,
348,Tezzardz #348,66,306.69332609807026,9,Green,,Biker,Plain Specs,Straight Tongue Feisty,,Green Spikes,Green,Freckles,,Bone,Pink
494,Tezzardz #494,67,306.5253612737394,11,Green,$,Tassle Jacket,Hearts Shades,Green Tongue Wavy Sassy,Scar,Plain Black Spikes,Purple,Freckles,,Rainbow,Red
2226,Tezzardz #2226,68,304.95529175200846,9,Pink,$$,Biker,Dopey Swimming Goggles,Split Tongue Angry,,Backwards Cap Jungle,Yellow,Heavy Freckles,,Bone,
790,Tezzardz #790,69,303.731237714966,9,Peach,$,Biker,Hearts Shades,Blue Tongue Wavy Not Amused,,Green Spikes,Green,Heavy,,Bone,
688,Tezzardz #688,70,302.13713181824323,8,Yellow,$$$,Tassle Jacket,,Straight Tongue Feisty,,Balaclava,Orange,Heavy Bolt,,Rainbow,
1378,Tezzardz #1378,71,301.7721454127303,5,Yellow,,,,Straight Tongue Feisty,,Limited Spikes,Orange,Heavy,,,
355,Tezzardz #355,72,300.20757781404996,5,Pink,,Fk Yeh Sweater,,Split Tongue Angry,,,Purple,Bolt,,,
2393,Tezzardz #2393,73,300.17973916196763,5,Yellow,,,,Split Tongue Feisty,,Red Spikes,Orange,Heavy,,,
1214,Tezzardz #1214,74,300.0946538981422,11,Green,$,Silk Shirt Dark,Plain Specs,Bent Tongue Feisty,Scar,Purple Spikes,Green,Heavy Freckles,,Bone,Green
2441,Tezzardz #2441,75,300.0635520159134,11,Pink,$$,Silk Shirt Dark,Dopey Swimming Goggles,Bent Tongue Feisty,Scar,Plain Black Spikes,Green,Heavy Freckles,,Bone,Pink
16,Tezzardz #16,76,299.4959116270232,11,Blue,$,Tassle Jacket,Cool Shades,Green Tongue Feisty,Scar,Backwards Cap Jungle,Purple,Freckles,,Bone,Red
2786,Tezzardz #2786,77,299.3654610295003,7,Yellow,$,Silk Shirt Blue,,Straight Tongue Feisty,,Balaclava,Yellow,Bolt,,,
1290,Tezzardz #1290,78,298.9368424884629,5,Green,,Ghost Tee,,Green Tongue Feisty,,,Yellow,Heavy Freckles,,,
3928,Tezzardz #3928,79,297.00007523815526,5,Blue,,Tassle Jacket,,Straight Tongue Feisty,,,Red,Heavy Freckles,,,
3362,Tezzardz #3362,80,295.32355809680536,5,Yellow,,Ghost Tee,,Straight Tongue Feisty,,,Red,Heavy,,,
670,Tezzardz #670,81,295.2309455287551,11,Pink,$,Tassle Jacket,Flame Shades,Straight Tongue Feisty,Scar,Plain Black Spikes,Red,Heavy Freckles,,Bone,Green
2048,Tezzardz #2048,82,295.20983388575974,5,Pink,,Patterned Sweater,,Straight Tongue Sad,,,Purple,Bolt,,,
677,Tezzardz #677,83,294.76859577607075,5,Peach,,Ghost Tee,,Straight Tongue Feisty,,,Green,Heavy,,,
458,Tezzardz #458,84,294.4557926933695,5,Peach,,Patterned Sweater,,Straight Tongue Sad,,,Red,Heavy Freckles,,,
3165,Tezzardz #3165,85,294.05564202020236,7,Yellow,$,Biker,,Straight Tongue Feisty,,Sad Boi Cap,Red,Heavy Bolt,,,
3046,Tezzardz #3046,86,293.18794887770525,7,Blue,$$,Patterned Sweater,,Split Tongue Angry,,Balaclava,Orange,Heavy,,,
29,Tezzardz #29,87,290.5635000948007,8,Blue,$$,Biker,,Bent Tongue Feisty,,,Purple,Heavy Bolt,,Bone,Red
3513,Tezzardz #3513,88,290.04484233884835,9,Peach,$$$,Biker,Cool Shades,Split Tongue Feisty,,Plain Black Spikes,Red,Bolt,,Bone,
3397,Tezzardz #3397,89,288.85969727466545,8,Yellow,$,Patterned Sweater,,Bent Tongue Feisty,,Balaclava,Orange,Freckles,,Bone,
3626,Tezzardz #3626,90,279.2660438518004,7,Peach,,Biker,Cool Shades,Bent Tongue Feisty,,Yellow Spikes,Purple,Bolt,,,
3683,Tezzardz #3683,91,278.63648262230885,7,Yellow,$,Biker,,Split Tongue Angry,,Yellow Spikes,Orange,Heavy Freckles,,,
1974,Tezzardz #1974,92,277.6812907761735,8,Peach,$,Biker,Cool Shades,Split Tongue Feisty,,,Purple,Heavy Freckles,,Rainbow,
389,Tezzardz #389,93,259.6115590806759,10,Green,$,Fkyencci Shirt,Disguise Glasses,Green Tongue Wavy Sassy,,Backwards Cap Jungle,Purple,Heavy Freckles,,Gold,Pink
3940,Tezzardz #3940,94,257.1781902093845,8,Blue,,Tech Armour,,Tiny Face,,Red Spikes,Red,Orange,,Bone,Pink
1297,Tezzardz #1297,95,257.0668442059139,10,Peach,$$$,Fkyencci Shirt,Hearts Shades,Straight Tongue Sad,Scar,Backwards Cap,Orange,Freckles,,Rainbow,
4197,Tezzardz #4197,96,253.16379436938098,8,Purple,$,Fkyencci Shirt,Joke Eyes Glasses,Straight Tongue Sad,,Backwards Cap,Green,Bolt,,,
3028,Tezzardz #3028,97,248.0625443685385,10,Green,$$$,Fkyencci Shirt,Gold Leaf Eye Patch,Split Tongue Angry,,Plain Black Spikes,Red,Freckles,,Rainbow,Green
2252,Tezzardz #2252,98,246.9293538029805,10,Peach,$,Fkyencci Shirt,,Green Tongue Feisty,Scar,Sad Boi Cap,Red,Heavy Freckles,,Bone,Pink
2265,Tezzardz #2265,99,245.26314677578472,9,Peach,$$$$$,Skulls Shell Suit,Disguise Glasses,Dumb Tongue,,Party Pal Hat,Green,Red,,Gold,
1898,Tezzardz #1898,100,243.6746831169535,8,Green,,Fkyencci Shirt,Plain Specs,Bent Tongue Feisty,,Plain Black Spikes,Purple,Orange,,Rainbow,
2489,Tezzardz #2489,101,240.9809699919455,10,Green,$$,Tech Armour,Plain Specs,Bent Tongue Feisty,,Yellow Spikes,White,Orange,,Bone,Green
3361,Tezzardz #3361,102,239.96713326403017,9,Yellow,$$,Fkyencci Shirt,Hearts Shades,Split Tongue Feisty,,Jester Crown,Orange,Bolt,,Gold,
2954,Tezzardz #2954,103,239.40238295608677,9,Purple,$$,Fkyencci Shirt,Cool Shades,Dumb Tongue,,Hunting Hat,Yellow,Bolt,,,Pink
1371,Tezzardz #1371,104,235.9890277320053,9,Blue,,Fkyencci Shirt,Plain Specs,Split Tongue Feisty,,Hunting Hat,Red,Heavy,,Bone,Green
1814,Tezzardz #1814,105,229.78348516543775,9,Pink,$$,Pink Biker,,Tiny Face,,Rare Frog Hat,Green,Freckles,,Gold,Green
2203,Tezzardz #2203,106,225.63175437085883,9,Purple,$$$,Fkyencci Shirt,Gold Leaf Eye Patch,Straight Tongue Feisty,,Purple Spikes,Red,Freckles,,,Green
3627,Tezzardz #3627,107,224.70596491577388,9,Purple,$$$,Fkyencci Shirt,Flame Shades,Green Tongue Feisty,,Purple Spikes,Yellow,Bolt,,,Green
3396,Tezzardz #3396,108,223.1020340787342,10,Pink,$$,Pool Shirt,Dopey Swimming Goggles,Bent Tongue Feisty,,Sad Boi Cap,Green,Red,,Rainbow,Red
1849,Tezzardz #1849,109,222.15343931830174,8,Pink,$$,Fkyencci Shirt,Tech Scope,Bent Tongue Feisty,,Sad Boi Cap,Purple,Bolt,,,
2140,Tezzardz #2140,110,221.98620493468846,9,Green,$$$,Fkyencci Shirt,Cool Shades,Blue Tongue Wavy Not Amused,,Yellow Spikes,Purple,Freckles,,,Red
195,Tezzardz #195,111,220.59315993644526,9,Green,$,Tech Armour,Hearts Shades,Bent Tongue Feisty,,Rare Frog Hat,Purple,Orange,,Bone,
1650,Tezzardz #1650,112,217.1365415194022,9,Purple,$$$$,Fkyencci Shirt,Gold Leaf Eye Patch,Straight Tongue Feisty,Scar,Red Spikes,Purple,Freckles,,,
3496,Tezzardz #3496,113,215.51446483796082,9,Peach,$$,Fkyencci Shirt,Bad Eyesight Reybannes,Green Tongue Wavy Sassy,,Yellow Spikes,Purple,Heavy,,Bone,
2780,Tezzardz #2780,114,214.52766722767123,10,Blue,$$$$$,Gardening Utility Belt,Bad Eyesight Reybannes,Split Tongue Feisty,Scar,Party Pal Hat,White,Heavy Bolt,,Rainbow,
1005,Tezzardz #1005,115,214.20781817060862,9,Blue,$$,Fkyencci Shirt,,Bent Tongue Feisty,,Green Spikes,Red,Heavy,,Bone,Green
2477,Tezzardz #2477,116,214.02222515279513,8,Peach,,Fkyencci Shirt,Cool Shades,Green Tongue Wavy Sassy,,Backwards Cap Jungle,Orange,Bolt,,,Red
2114,Tezzardz #2114,117,208.42969150038988,8,Pink,$,Fkyencci Shirt,,Green Tongue Feisty,,Fancy Hat,Orange,Freckles,,Gold,
2541,Tezzardz #2541,118,207.6296235000772,8,Peach,$$,Fkyencci Shirt,Bad Eyesight Reybannes,Split Tongue Feisty,,Plain Black Spikes,Green,Heavy Freckles,,,
1428,Tezzardz #1428,119,207.4499892512272,7,Yellow,$,Fkyencci Shirt,,Straight Tongue Sad,,Backwards Cap,Purple,Freckles,,,
3038,Tezzardz #3038,120,204.79586430141882,10,Blue,$$$$$,Fk Yeh Sweater,Disguise Glasses,Split Tongue Feisty,Scar,Green Spikes,Purple,Red,,Rainbow,
2663,Tezzardz #2663,121,204.51357092570663,9,Blue,$$,Fkyencci Shirt,Dopey Swimming Goggles,Straight Tongue Feisty,,Green Spikes,Yellow,Bolt,,Bone,
1795,Tezzardz #1795,122,204.15468544794507,6,Green,$$$,Tech Armour,,Tiny Face,,,Green,Heavy,,,
2667,Tezzardz #2667,123,203.88075595413252,9,Purple,$$,Fkyencci Shirt,Cool Shades,Bent Tongue Feisty,,Backwards Cap Jungle,Red,Heavy Bolt,,Rainbow,
3445,Tezzardz #3445,124,203.49726170868345,7,Blue,$$,Fkyencci Shirt,,Straight Tongue Sad,,,White,Heavy,,Rainbow,
3876,Tezzardz #3876,125,203.34355321443311,10,Blue,$,Patterned Sweater,Tech Scope,Green Tongue Wavy Sassy,,Backwards Cap Flames,Purple,Green,,Rainbow,Red
4161,Tezzardz #4161,126,202.89302949460253,7,Pink,$$,Fkyencci Shirt,,Split Tongue Feisty,,Sad Boi Cap,Red,Freckles,,,
2559,Tezzardz #2559,127,201.1794904343908,7,Pink,$,Fkyencci Shirt,,Straight Tongue Sad,,Sad Boi Cap,Yellow,Heavy Bolt,,,
2829,Tezzardz #2829,128,201.17029698208552,9,Blue,$,Pool Shirt,Cool Shades,Dumb Tongue,,Backwards Cap Flames,Purple,Green,,Bone,
12,Tezzardz #12,129,200.8388915117708,7,Peach,,Pink Biker,,Tiny Face,,Rare Frog Hat,Orange,Freckles,,Gold,
3258,Tezzardz #3258,130,199.19624154624606,10,Yellow,$$$,Tech Armour,Hearts Shades,Dumb Tongue,,Purple Spikes,Purple,Freckles,,Gold,Pink
476,Tezzardz #476,131,196.62035461958064,6,Purple,,Firework Utility Belt,,Straight Tongue Sad,,Backwards Cap,Green,Red,,,
383,Tezzardz #383,132,196.60632711576167,10,Yellow,$$$,Silk Shirt Dark,Gold Leaf Eye Patch,Straight Tongue Feisty,,Backwards Cap Flames,Red,Green,,Rainbow,Red
164,Tezzardz #164,133,195.7473473711029,8,Purple,$$$$$,Pink Biker,Gold Leaf Eye Patch,Bent Tongue Feisty,,Rainbow Spikes,Yellow,Red,,,
2246,Tezzardz #2246,134,193.86621897816536,8,Green,$$$,Silk Shirt Dark,,Tiny Face,,Purple Spikes,Orange,Green,,Bone,
2523,Tezzardz #2523,135,193.73442879752682,9,Green,$$,Shrine Onesie,Flame Shades,Split Tongue Feisty,,Jester Crown,Yellow,Green,,Bone,
2886,Tezzardz #2886,136,193.0251563853608,9,Green,$,Skulls Shell Suit,Joke Eyes Glasses,Straight Tongue Feisty,,Fancy Hat,Green,Purple,,Bone,
3237,Tezzardz #3237,137,191.76016392295787,7,Yellow,$$$$$,Firework Utility Belt,,Straight Tongue Feisty,,Red Spikes,Yellow,Purple,,,
2212,Tezzardz #2212,138,191.41901143281615,10,Green,$$,Pool Shirt,Monocle,Blue Tongue Wavy Not Amused,Scar,Green Spikes,White,Freckles,,Rainbow,
1570,Tezzardz #1570,139,191.0965429624087,9,Peach,$$$$$,Gardening Utility Belt,,Green Tongue Feisty,Scar,Backwards Cap Jungle,Yellow,Red,,Bone,
1793,Tezzardz #1793,140,190.4005794378471,6,Pink,$,Fkyencci Shirt,,Straight Tongue Feisty,,,Green,Heavy,,,
4123,Tezzardz #4123,141,189.81654347018858,9,Purple,$$,Tech Armour,Joke Eyes Glasses,Straight Tongue Feisty,,Backwards Cap Flames,Purple,Freckles,,Bone,
3424,Tezzardz #3424,142,189.13785975080864,10,Green,$,Firework Utility Belt,Joke Eyes Glasses,Green Tongue Feisty,Scar,Hunting Hat,Purple,Heavy Bolt,,Bone,
3120,Tezzardz #3120,143,188.43080025567875,8,Yellow,,Tech Armour,Gold Leaf Eye Patch,Split Tongue Angry,,Red Spikes,Orange,Purple,,Bone,
1644,Tezzardz #1644,144,187.3106103303445,10,Blue,$$$,Tech Armour,Flame Shades,Green Tongue Wavy Sassy,,Hunting Hat,Yellow,Heavy Freckles,,Bone,Green
300,Tezzardz #300,145,186.36519556827383,7,Yellow,,Fkyencci Shirt,,Split Tongue Angry,,Red Spikes,Purple,Heavy,,Bone,
2715,Tezzardz #2715,146,186.05176919971277,9,Pink,$$$$,Shrine Onesie,Cool Shades,Bent Tongue Feisty,,Backwards Cap Jungle,Red,Green,,Rainbow,
3591,Tezzardz #3591,147,185.9942303364357,9,Peach,$$$$,Permanent Vacation Tee,Bad Eyesight Reybannes,Straight Tongue Feisty,Scar,Green Spikes,Orange,Red,,,
25,Tezzardz #25,148,184.50282742142988,9,Purple,,Pink Biker,Bad Eyesight Reybannes,Split Tongue Angry,,Rainbow Spikes,Yellow,Orange,,Bone,Pink
1093,Tezzardz #1093,149,184.24836314182267,7,Pink,,Fkyencci Shirt,,Straight Tongue Sad,,Green Spikes,Orange,Heavy,,Bone,
3614,Tezzardz #3614,150,184.0487751955925,9,Blue,$$$$$,Pink Biker,Hearts Shades,Split Tongue Pink Feisty,,Rare Frog Hat,Green,Bolt,,Bone,
2247,Tezzardz #2247,151,183.87000742523165,9,Blue,$$,Tech Armour,Cool Shades,Straight Tongue Sad,,Backwards Cap Jungle,Green,Orange,,Rainbow,
1878,Tezzardz #1878,152,183.44504357836317,8,Green,$,Permanent Vacation Tee,Tech Scope,Split Tongue Pink Feisty,,,White,Purple,,Bone,
4098,Tezzardz #4098,153,183.13718034739716,8,Green,$$,Skulls Shell Suit,Hearts Shades,Green Tongue Feisty,,Backwards Cap,Purple,Green,,,
2507,Tezzardz #2507,154,182.9343024769378,8,Green,$$$$,Shrine Onesie,,Tiny Face,,Green Spikes,Green,Freckles,,Bone,
97,Tezzardz #97,155,182.87047375709474,9,Green,$$$,Tech Armour,Dopey Swimming Goggles,Green Tongue Wavy Sassy,,Rare Frog Hat,Red,Freckles,,Bone,
3188,Tezzardz #3188,156,182.8423977750611,9,Yellow,$$$,Patterned Sweater,Bad Eyesight Reybannes,Straight Tongue Sad,,Rare Frog Hat,Red,Purple,,Rainbow,
3765,Tezzardz #3765,157,182.720830356122,9,Peach,,Tech Armour,Bad Eyesight Reybannes,Straight Tongue Sad,,Sad Boi Cap,Purple,Bolt,,Rainbow,Pink
691,Tezzardz #691,158,182.2445971097717,10,Purple,$$$$,Silk Shirt Blue,Flame Shades,Straight Tongue Sad,Scar,Sad Boi Cap,Green,Purple,,Bone,
2450,Tezzardz #2450,159,182.24189104387384,8,Purple,,Shrine Onesie,Monocle,Green Tongue Feisty,,Purple Spikes,Purple,Orange,,Bone,
1357,Tezzardz #1357,160,181.48804015340383,7,Yellow,$$,Patterned Sweater,,Tiny Face,,Plain Black Spikes,Purple,Red,,,
564,Tezzardz #564,161,181.261526210646,7,Pink,,Fkyencci Shirt,,Straight Tongue Feisty,,Yellow Spikes,Purple,Heavy,,Bone,
731,Tezzardz #731,162,179.72125683428374,9,Pink,$$$$$,,Joke Eyes Glasses,Green Tongue Wavy Sassy,,Jester Crown,Purple,Heavy,,Bone,Pink
311,Tezzardz #311,163,179.3058282938635,8,Pink,$$$,Patterned Tee,Joke Eyes Glasses,Split Tongue Feisty,,Rainbow Spikes,Purple,Orange,,,
336,Tezzardz #336,164,178.66851175118524,10,Purple,$$$,Pool Shirt,Plain Specs,Green Tongue Feisty,Scar,Backwards Cap,Yellow,Heavy,,,Red
2587,Tezzardz #2587,165,178.1144983756657,9,Peach,$$$,Pool Shirt,Flame Shades,Split Tongue Angry,,Red Spikes,Green,Red,,Gold,
1349,Tezzardz #1349,166,177.87011995963258,7,Blue,,Skulls Shell Suit,Gold Leaf Eye Patch,Blue Tongue Wavy Not Amused,,Plain Black Spikes,White,Red,,,
2534,Tezzardz #2534,167,177.79164010617447,9,Peach,$,Tech Armour,Joke Eyes Glasses,Split Tongue Pink Feisty,,Green Spikes,Red,Heavy,,Bone,
566,Tezzardz #566,168,177.64202555580124,8,Peach,$$$,Pool Shirt,Cool Shades,Green Tongue Feisty,,Hunting Hat,Orange,Green,,,
1312,Tezzardz #1312,169,177.3408942106081,10,Yellow,$$$$,Silk Shirt Blue,Cool Shades,Straight Tongue Feisty,,Yellow Spikes,Orange,Green,,Bone,Red
4086,Tezzardz #4086,170,177.32272753894935,10,Blue,$,Silk Shirt Blue,Tech Scope,Straight Tongue Feisty,Scar,Backwards Cap,White,Heavy Freckles,,,Red
1730,Tezzardz #1730,171,177.19910871458467,10,Yellow,$,Silk Shirt Dark,Dopey Swimming Goggles,Dumb Tongue,,Plain Black Spikes,Orange,Purple,,Bone,Red
2241,Tezzardz #2241,172,177.13264851515194,9,Peach,$,Patterned Sweater,,Tiny Face,,Sad Boi Cap,Orange,Heavy,,Gold,Red
