ID,Name,Rank,Rarity_Score,Attributes,Centered,Color Palette,Extra Rotation,Outlined,Padding,Petals,Segments,Shape Type,Shrink,Use Palette Background,X Movement,Y Movement
560,Hash Three Points #560,135,679.3558043448402,12,No,Monochrome,15,No,-256,50,6,Strip,0.44,No,11,-28
943,Hash Three Points #943,136,678.1124488443912,12,No,Spring,-7,No,-256,38,6,Strip,0.08,Yes,65,-2
425,Hash Three Points #425,137,676.4952330407916,12,No,Ketchup and Mustard,10,Yes,-256,35,6,Strip,0.32,No,-67,13
88,Hash Three Points #88,138,671.1920058428277,12,No,Ketchup and Mustard,-7,Yes,-256,25,8,Strip,0.5,No,69,9
601,Hash Three Points #601,139,670.9488922339219,12,No,Spring,12,No,-256,40,8,Strip,0.29,Yes,26,-27
979,Hash Three Points #979,140,669.6931333289813,12,No,Spring,8,Yes,-256,29,8,Strip,0.47,Yes,3,-79
883,Hash Three Points #883,141,669.2344808875429,12,No,Earth,-5,No,-256,25,7,Strip,0.17,Yes,-76,13
769,Hash Three Points #769,142,668.8089289689453,12,No,Ketchup and Mustard,3,No,-256,27,7,Strip,0.41,No,-18,-59
808,Hash Three Points #808,143,667.6995301282813,12,No,Rose,-8,No,-256,31,8,Strip,0.35,No,-65,-11
989,Hash Three Points #989,144,667.2919089575558,12,No,Safford,5,No,-256,48,7,Strip,0.17,Yes,-44,-38
240,Hash Three Points #240,145,664.6560599443534,12,No,Wasteland,-2,No,-256,46,7,Strip,0.32,Yes,17,-46
792,Hash Three Points #792,146,662.057280617297,12,No,Ketchup and Mustard,1,No,-256,27,7,Strip,0.08,No,-85,17
802,Hash Three Points #802,147,661.6883253568529,12,No,Bone,-13,No,-256,42,7,Strip,0.29,Yes,-45,41
737,Hash Three Points #737,148,661.5871481718783,12,No,Spring,-5,No,-256,31,7,Strip,0.2,Yes,-31,55
831,Hash Three Points #831,149,659.5124027635641,12,No,Monochrome,-7,No,-256,31,8,Strip,0.14,No,-76,12
955,Hash Three Points #955,150,657.4940806966497,12,No,Wasteland,15,No,-256,48,8,Strip,0.17,Yes,-59,-3
1009,Hash Three Points #1009,151,654.7376670710622,12,No,Safford,1,No,-256,31,6,Strip,0.5,No,1,-81
94,Hash Three Points #94,152,646.3579055263899,12,No,Ketchup and Mustard,3,No,295,25,7,Strip,0.2,No,-38,51
680,Hash Three Points #680,153,631.665242137075,12,No,Hunter,-3,Yes,-256,33,7,Strip,0.5,No,-30,48
147,Hash Three Points #147,154,629.668948171852,12,No,Sonoran Sunset,-16,Yes,-256,50,7,Strip,0.26,No,14,7
100,Hash Three Points #100,155,622.4319816246973,12,No,Safford,16,No,-256,48,6,Strip,0.2,No,33,-22
385,Hash Three Points #385,156,617.0106397855466,12,No,Earth,-6,No,295,23,6,Strip,0.44,Yes,-40,41
632,Hash Three Points #632,157,615.746555694449,12,No,Rocketpop,3,No,295,38,8,Strip,0.41,No,44,29
965,Hash Three Points #965,158,612.2924364021803,12,No,Rose,2,No,362,21,7,Fan,0.23,No,50,-45
38,Hash Three Points #38,159,610.5312535884261,12,No,Vaporwave,2,No,427,23,7,Fan,0.08,Yes,64,-37
367,Hash Three Points #367,160,607.7635108314976,12,No,Rose,12,No,-256,40,8,Strip,0.41,Yes,-30,36
764,Hash Three Points #764,161,598.4934095724489,12,No,Mint,-12,No,-256,50,7,Strip,0.32,Yes,-50,-44
547,Hash Three Points #547,162,598.0494330413679,12,No,Monochrome,1,No,-256,25,7,Strip,0.08,No,-24,64
310,Hash Three Points #310,163,595.5658255527555,12,No,Mint,1,No,-256,42,8,Strip,0.17,Yes,63,50
59,Hash Three Points #59,164,591.5165826041573,12,No,Rose,-10,Yes,-256,38,8,Strip,0.26,No,-47,49
778,Hash Three Points #778,165,591.2930402044797,12,No,Safford,-9,No,-256,33,7,Strip,0.35,No,9,79
158,Hash Three Points #158,166,589.4518925583881,12,No,Vaporwave,-7,No,-256,25,8,Strip,0.05,Yes,53,54
482,Hash Three Points #482,167,586.2474053555757,12,No,Earth,13,No,-256,40,7,Strip,0.11,Yes,47,-6
665,Hash Three Points #665,168,584.9863271931213,12,No,Sonoran Sunset,6,No,337,29,7,Strip,0.08,No,-60,-7
396,Hash Three Points #396,169,576.8173913850685,12,No,Bone,8,No,-256,33,8,Strip,0.26,Yes,-39,18
685,Hash Three Points #685,170,575.7440085352489,12,No,Rose,3,Yes,-256,48,7,Strip,0.23,No,-59,-7
400,Hash Three Points #400,171,570.1050984370793,12,No,Wasteland,-5,No,-256,46,8,Strip,0.38,Yes,26,15
114,Hash Three Points #114,172,567.400796280845,12,No,Wasteland,-4,No,-256,29,7,Strip,0.5,Yes,-52,-22
787,Hash Three Points #787,173,563.7182950006957,12,No,Viva la Vida,-7,No,-256,29,6,Strip,0.47,No,-37,15
402,Hash Three Points #402,174,561.5454809632488,12,No,Safford,-1,Yes,-256,27,7,Strip,0.44,Yes,43,56
534,Hash Three Points #534,175,558.499301007913,12,No,Sonoran Sunset,9,Yes,-256,46,8,Strip,0.23,No,-36,49
335,Hash Three Points #335,176,554.4593847682445,12,No,Mint,-4,Yes,-256,25,6,Strip,0.29,Yes,-29,-38
958,Hash Three Points #958,177,546.4410523926274,12,No,Safford,5,Yes,362,23,7,Fan,0.41,No,44,28
305,Hash Three Points #305,178,546.3069964609058,12,No,Bone,-1,No,295,33,7,Strip,0.05,Yes,-43,-20
196,Hash Three Points #196,179,544.0420569154564,12,No,Hunter,-3,Yes,-256,46,6,Strip,0.23,No,-37,19
660,Hash Three Points #660,180,543.7408565907141,12,No,Rocketpop,10,Yes,-256,31,7,Strip,0.26,No,14,-53
446,Hash Three Points #446,181,542.7702346257623,12,No,Safford,-3,No,-256,50,7,Strip,0.47,No,-44,2
526,Hash Three Points #526,182,539.2197329426017,12,No,Safford,-1,No,-256,31,8,Strip,0.5,No,-39,-6
109,Hash Three Points #109,183,539.1922421123545,12,No,Safford,15,No,-256,44,6,Strip,0.2,No,27,-37
245,Hash Three Points #245,184,535.7330236537277,12,No,Hunter,15,Yes,-256,50,6,Strip,0.41,No,3,-60
845,Hash Three Points #845,185,535.5335388436251,12,No,Safford,4,Yes,263,35,8,Strip,0.47,No,-43,-17
420,Hash Three Points #420,186,534.7346828342438,12,No,Wasteland,-1,No,-256,23,7,Strip,0.14,Yes,47,-10
780,Hash Three Points #780,187,534.2928949119276,12,No,Sonoran Sunset,-1,No,-256,50,7,Strip,0.41,No,-44,-30
879,Hash Three Points #879,188,534.0483269688579,12,No,Ketchup and Mustard,-1,No,263,23,6,Strip,0.35,No,-60,-17
328,Hash Three Points #328,189,532.5367446721166,12,No,Sonoran Sunset,9,No,-256,35,6,Strip,0.41,No,31,-17
893,Hash Three Points #893,190,532.3778852853925,12,No,Viva la Vida,-6,No,337,27,7,Strip,0.47,No,-15,44
639,Hash Three Points #639,191,530.299627899117,12,No,Hunter,-6,No,315,21,7,Strip,0.29,No,-33,38
401,Hash Three Points #401,192,529.9874169493501,12,No,Sonoran Sunset,-7,Yes,-256,33,7,Strip,0.2,No,-52,31
878,Hash Three Points #878,193,529.6130437145642,12,No,Bone,-3,No,263,25,7,Strip,0.14,Yes,49,-2
403,Hash Three Points #403,194,529.5085735584311,12,No,Rocketpop,7,Yes,-256,42,7,Strip,0.35,No,-55,-25
633,Hash Three Points #633,195,528.5250277650339,12,No,Rocketpop,2,No,392,21,7,Fan,0.44,No,12,-41
618,Hash Three Points #618,196,528.0370187831963,12,No,Earth,5,Yes,-256,50,7,Strip,0.08,Yes,31,40
907,Hash Three Points #907,197,527.219941700786,12,No,Spring,9,Yes,315,38,7,Strip,0.2,Yes,33,-45
116,Hash Three Points #116,198,522.957710660585,12,No,Spring,-1,No,-256,48,7,Strip,0.38,Yes,-55,-25
317,Hash Three Points #317,199,521.6024599944205,12,No,Bone,-10,No,263,44,7,Strip,0.2,Yes,1,-28
908,Hash Three Points #908,200,519.8086909911648,12,No,Kanagawa,-6,No,-256,33,7,Strip,0.11,Yes,-17,44
789,Hash Three Points #789,201,516.927177026738,12,No,Wasteland,7,Yes,-256,33,7,Strip,0.35,Yes,-17,-53
884,Hash Three Points #884,202,513.6969682170803,12,No,Mint,-1,No,-256,35,7,Strip,0.11,Yes,7,51
843,Hash Three Points #843,203,513.4719881105892,12,No,Wasteland,6,No,427,21,7,Fan,0.14,Yes,44,5
924,Hash Three Points #924,204,511.6603947267905,12,No,Safford,15,No,-256,46,7,Strip,0.08,No,6,-54
398,Hash Three Points #398,205,511.49021692903744,12,No,Safford,3,Yes,-256,21,7,Strip,0.47,Yes,-19,51
592,Hash Three Points #592,206,511.4217125068117,12,No,Earth,9,No,-256,50,7,Strip,0.29,Yes,-27,56
505,Hash Three Points #505,207,508.79194698083865,12,No,Spring,-15,No,-256,52,7,Strip,0.23,Yes,-29,-23
145,Hash Three Points #145,208,508.55447928483835,12,No,Monochrome,-14,No,-256,44,6,Strip,0.32,No,42,10
234,Hash Three Points #234,209,507.294238582532,12,No,Wasteland,16,Yes,-256,48,7,Strip,0.35,Yes,-6,-6
457,Hash Three Points #457,210,507.25501099149795,12,No,Safford,-8,No,-256,44,7,Strip,0.26,No,39,45
67,Hash Three Points #67,211,507.22521915319277,12,No,Mint,2,No,-256,31,7,Strip,0.14,Yes,48,45
781,Hash Three Points #781,212,504.33694147083196,12,No,Rose,6,No,-256,42,6,Strip,0.44,No,49,-12
325,Hash Three Points #325,213,503.540115757924,12,No,Mint,-7,No,295,25,8,Strip,0.14,Yes,63,-4
124,Hash Three Points #124,214,503.38343204637783,12,No,Rose,9,No,295,33,6,Strip,0.2,No,-30,8
136,Hash Three Points #136,215,503.1209211147735,12,No,Ketchup and Mustard,2,No,427,25,8,Fan,0.08,No,-20,-37
669,Hash Three Points #669,216,502.23486496150406,12,No,Safford,-7,No,-256,27,7,Strip,0.5,No,16,-58
246,Hash Three Points #246,217,501.5534345553266,12,No,Rocketpop,14,Yes,263,50,7,Strip,0.2,No,-33,-15
1001,Hash Three Points #1001,218,499.6420235924271,12,No,Mint,2,No,263,33,7,Strip,0.32,Yes,3,-44
912,Hash Three Points #912,219,499.12223661302505,12,No,Rocketpop,-1,No,-256,52,6,Strip,0.2,No,47,9
197,Hash Three Points #197,220,497.8786598999591,12,No,Mint,-15,No,392,50,7,Fan,0.2,Yes,-22,23
990,Hash Three Points #990,221,497.52611602283787,12,No,Viva la Vida,16,Yes,315,52,8,Strip,0.17,No,-5,7
556,Hash Three Points #556,222,497.2849359309072,12,No,Kanagawa,13,No,-256,52,7,Strip,0.32,Yes,11,-54
476,Hash Three Points #476,223,494.73975275508826,12,No,Rose,2,No,-256,44,7,Strip,0.32,No,31,5
57,Hash Three Points #57,224,493.4860537278835,12,No,Vaporwave,-5,No,-256,50,7,Strip,0.08,Yes,-38,-49
314,Hash Three Points #314,225,491.6074936073498,12,No,Earth,-7,No,-256,38,7,Strip,0.29,Yes,3,49
982,Hash Three Points #982,226,491.31636344214996,12,No,Safford,4,Yes,263,33,8,Strip,0.35,No,-41,-39
761,Hash Three Points #761,227,491.0502361937372,12,No,Bone,-7,Yes,-256,50,6,Strip,0.5,Yes,-39,6
248,Hash Three Points #248,228,490.90141741437145,12,No,Hunter,16,No,-256,48,7,Strip,0.05,No,16,-2
623,Hash Three Points #623,229,484.2075254113473,12,No,Kanagawa,1,No,392,21,8,Fan,0.23,Yes,12,42
606,Hash Three Points #606,230,480.5202969671847,12,No,Safford,-6,Yes,362,27,7,Fan,0.44,No,-37,1
480,Hash Three Points #480,231,479.3078264903165,12,No,Sonoran Sunset,-7,No,-256,35,8,Strip,0.32,No,-54,36
