ID,Name,Rank,Rarity_Score,Attributes-Scores,Base Blocks-Scores,Height-Scores,Palette-Scores,Shadow-Scores,Sky-Scores,Sun-Scores,Window-Scores
1168055,BRUTALIST MOVEMENT #52,30,71.5849708502511,1,5,1,7,21,12,1,21
1168059,BRUTALIST MOVEMENT #56,30,71.5849708502511,1,5,1,7,21,12,1,21
1168100,BRUTALIST MOVEMENT #97,30,71.5849708502511,1,5,1,7,21,12,1,21
1168248,BRUTALIST MOVEMENT #230,30,71.5849708502511,1,5,1,7,21,12,1,21
1168162,BRUTALIST MOVEMENT #157,34,71.2109176944159,1,5,4,7,1,23,23,4
1168070,BRUTALIST MOVEMENT #67,35,70.7487818606784,1,6,4,6,8,4,10,28
1168087,BRUTALIST MOVEMENT #84,36,70.62418300053835,1,5,4,7,1,23,23,4
1168102,BRUTALIST MOVEMENT #99,37,69.66094402284057,1,5,4,6,8,4,10,28
1168114,BRUTALIST MOVEMENT #110,38,69.6553739898651,1,5,42,4,1,7,1,5
1168062,BRUTALIST MOVEMENT #59,39,69.10550571923952,1,6,1,7,1,23,23,4
1168122,BRUTALIST MOVEMENT #118,39,69.10550571923952,1,6,1,7,1,23,23,4
1168033,BRUTALIST MOVEMENT #30,41,69.07420932896302,1,5,4,6,8,4,10,28
1168207,BRUTALIST MOVEMENT #202,41,69.07420932896302,1,5,4,6,8,4,10,28
1168216,BRUTALIST MOVEMENT #211,43,68.92556261824379,1,6,1,7,1,23,23,4
1168007,BRUTALIST MOVEMENT #4,44,68.75484736858117,1,6,1,7,1,23,23,4
1168382,BRUTALIST MOVEMENT #246,44,68.75484736858117,1,6,1,7,1,23,23,4
1168107,BRUTALIST MOVEMENT #104,46,67.94048918801205,1,6,4,6,15,15,1,15
1168011,BRUTALIST MOVEMENT #8,47,67.76766788140168,1,5,1,7,1,23,23,4
1168094,BRUTALIST MOVEMENT #91,48,67.76054608701632,1,6,4,6,15,15,1,15
1168019,BRUTALIST MOVEMENT #16,49,67.5555320476642,1,6,1,6,8,4,10,28
1168155,BRUTALIST MOVEMENT #150,50,67.43093318752413,1,5,1,7,1,23,23,4
1168209,BRUTALIST MOVEMENT #204,50,67.43093318752413,1,5,1,7,1,23,23,4
1168118,BRUTALIST MOVEMENT #114,52,67.37558894666847,1,6,1,6,8,4,10,28
1168166,BRUTALIST MOVEMENT #161,53,66.85265135017421,1,5,4,6,15,15,1,15
1168210,BRUTALIST MOVEMENT #205,53,66.85265135017421,1,5,4,6,15,15,1,15
1168049,BRUTALIST MOVEMENT #46,55,66.83323912298732,1,5,4,7,1,4,16,25
1168196,BRUTALIST MOVEMENT #191,56,66.21769420982636,1,5,1,6,8,4,10,28
1168188,BRUTALIST MOVEMENT #183,57,65.88095951594882,1,5,1,6,8,4,10,28
1168081,BRUTALIST MOVEMENT #78,58,65.73652523841102,1,5,4,4,36,6,1,5
1168176,BRUTALIST MOVEMENT #171,58,65.73652523841102,1,5,4,4,36,6,1,5
1168231,BRUTALIST MOVEMENT #222,60,65.63243500402037,1,6,4,6,10,23,10,4
1168343,BRUTALIST MOVEMENT #243,61,65.48652523841102,1,5,4,4,36,6,1,5
1168111,BRUTALIST MOVEMENT #108,62,65.42824046908439,1,6,4,6,8,6,10,21
1168073,BRUTALIST MOVEMENT #70,63,64.97782714781094,1,6,1,7,1,4,16,25
1168179,BRUTALIST MOVEMENT #174,64,64.89525551684088,1,5,4,6,10,23,10,4
1168244,BRUTALIST MOVEMENT #229,65,64.79788404681521,1,6,1,7,1,4,16,25
1168205,BRUTALIST MOVEMENT #200,66,64.74723937499785,1,6,1,6,15,15,1,15
1168218,BRUTALIST MOVEMENT #213,67,64.64525551684088,1,5,4,6,10,23,10,4
1168171,BRUTALIST MOVEMENT #166,68,64.5672962740021,1,6,1,6,15,15,1,15
1168186,BRUTALIST MOVEMENT #181,69,64.52034573224228,1,5,4,6,8,6,10,21
1168260,BRUTALIST MOVEMENT #232,69,64.52034573224228,1,5,4,6,8,6,10,21
1168167,BRUTALIST MOVEMENT #162,71,64.3965810243395,1,6,1,6,15,15,1,15
1168185,BRUTALIST MOVEMENT #180,71,64.3965810243395,1,6,1,6,15,15,1,15
1168200,BRUTALIST MOVEMENT #195,71,64.3965810243395,1,6,1,6,15,15,1,15
1168134,BRUTALIST MOVEMENT #130,74,63.65940153716001,1,5,1,6,15,15,1,15
1168168,BRUTALIST MOVEMENT #163,74,63.65940153716001,1,5,1,6,15,15,1,15
1168178,BRUTALIST MOVEMENT #173,76,63.631113263234646,1,6,1,4,36,6,1,5
1168099,BRUTALIST MOVEMENT #96,77,63.602150456081624,1,6,1,6,1,31,10,4
1169023,BRUTALIST MOVEMENT #249,78,63.43143520641901,1,6,1,6,1,31,10,4
1168113,BRUTALIST MOVEMENT #109,79,63.40940153716001,1,5,1,6,15,15,1,15
1168198,BRUTALIST MOVEMENT #193,79,63.40940153716001,1,5,1,6,15,15,1,15
1168035,BRUTALIST MOVEMENT #32,81,63.280454912576296,1,6,1,4,36,6,1,5
1168050,BRUTALIST MOVEMENT #47,81,63.280454912576296,1,6,1,4,36,6,1,5
1168091,BRUTALIST MOVEMENT #88,83,63.12954368647938,1,5,4,7,1,12,1,28
1168065,BRUTALIST MOVEMENT #62,84,63.072666843282455,1,5,1,6,15,15,1,15
1168067,BRUTALIST MOVEMENT #64,84,63.072666843282455,1,5,1,6,15,15,1,15
1168224,BRUTALIST MOVEMENT #218,84,63.072666843282455,1,5,1,6,15,15,1,15
1168151,BRUTALIST MOVEMENT #146,87,62.98701239890895,1,6,4,6,8,21,10,4
1168063,BRUTALIST MOVEMENT #60,88,62.69425571923952,1,5,1,6,1,31,10,4
1168119,BRUTALIST MOVEMENT #115,89,62.609900440668774,1,6,1,6,10,23,10,4
1168014,BRUTALIST MOVEMENT #11,90,62.54327542539681,1,5,1,4,36,6,1,5
1168012,BRUTALIST MOVEMENT #9,91,62.44425571923952,1,5,1,6,1,31,10,4
1168170,BRUTALIST MOVEMENT #165,92,62.23499065607018,1,6,1,6,8,6,10,21
1168075,BRUTALIST MOVEMENT #72,93,61.70200570382667,1,5,1,6,10,23,10,4
1168204,BRUTALIST MOVEMENT #199,93,61.70200570382667,1,5,1,6,10,23,10,4
1168241,BRUTALIST MOVEMENT #228,93,61.70200570382667,1,5,1,6,10,23,10,4
1168109,BRUTALIST MOVEMENT #106,96,61.45200570382667,1,5,1,6,10,23,10,4
1168132,BRUTALIST MOVEMENT #128,96,61.45200570382667,1,5,1,6,10,23,10,4
1168215,BRUTALIST MOVEMENT #210,96,61.45200570382667,1,5,1,6,10,23,10,4
1168199,BRUTALIST MOVEMENT #194,99,61.32709591922807,1,5,1,6,8,6,10,21
1168141,BRUTALIST MOVEMENT #137,100,61.11527100994912,1,5,1,6,10,23,10,4
1168052,BRUTALIST MOVEMENT #49,101,61.07709591922807,1,5,1,6,8,6,10,21
1168149,BRUTALIST MOVEMENT #144,101,61.07709591922807,1,5,1,6,8,6,10,21
1168169,BRUTALIST MOVEMENT #164,103,61.07375194350014,1,6,4,7,1,4,10,25
1168357,BRUTALIST MOVEMENT #244,104,61.02413171130301,1,6,1,7,1,12,1,28
1168182,BRUTALIST MOVEMENT #177,105,60.844188610307285,1,6,1,7,1,12,1,28
1168053,BRUTALIST MOVEMENT #50,106,60.673473360644664,1,6,1,7,1,12,1,28
1168183,BRUTALIST MOVEMENT #178,106,60.673473360644664,1,6,1,7,1,12,1,28
1168310,BRUTALIST MOVEMENT #237,106,60.673473360644664,1,6,1,7,1,12,1,28
1168189,BRUTALIST MOVEMENT #184,109,60.350017421602786,1,5,4,6,10,4,10,18
1168267,BRUTALIST MOVEMENT #234,109,60.350017421602786,1,5,4,6,10,4,10,18
1168015,BRUTALIST MOVEMENT #12,111,59.74983776244311,1,5,4,7,1,4,10,25
1168208,BRUTALIST MOVEMENT #203,112,59.686293873465175,1,5,1,7,1,12,1,28
1168027,BRUTALIST MOVEMENT #24,113,59.387085276833474,1,6,4,7,1,4,21,12
1168054,BRUTALIST MOVEMENT #51,114,59.34955917958763,1,5,1,7,1,12,1,28
1168084,BRUTALIST MOVEMENT #81,114,59.34955917958763,1,5,1,7,1,12,1,28
1168194,BRUTALIST MOVEMENT #189,116,59.32287446787446,1,6,4,5,10,6,21,4
1168128,BRUTALIST MOVEMENT #124,117,59.148939944982786,1,5,4,5,1,28,1,11
1168108,BRUTALIST MOVEMENT #105,118,59.05658309871525,1,5,1,6,8,21,10,4
1168153,BRUTALIST MOVEMENT #148,119,58.80658309871525,1,5,1,6,8,21,10,4
1168116,BRUTALIST MOVEMENT #112,120,58.469848404837705,1,5,1,6,8,21,10,4
1168041,BRUTALIST MOVEMENT #38,121,58.244605446426405,1,6,1,6,10,4,10,18
1168229,BRUTALIST MOVEMENT #221,121,58.244605446426405,1,6,1,6,10,4,10,18
1168133,BRUTALIST MOVEMENT #129,123,58.235036630036625,1,5,4,5,10,6,21,4
1168078,BRUTALIST MOVEMENT #75,124,58.064662345430676,1,6,1,6,10,4,10,18
1168083,BRUTALIST MOVEMENT #80,125,57.893947095768056,1,6,1,6,10,4,10,18
1168326,BRUTALIST MOVEMENT #239,125,57.893947095768056,1,6,1,6,10,4,10,18
1168145,BRUTALIST MOVEMENT #140,127,57.64830193615908,1,5,4,5,10,6,21,4
1168147,BRUTALIST MOVEMENT #142,128,57.63026266368396,1,6,1,5,1,28,1,11
1168195,BRUTALIST MOVEMENT #190,128,57.63026266368396,1,6,1,5,1,28,1,11
1168068,BRUTALIST MOVEMENT #65,130,57.27960431302561,1,6,1,5,1,28,1,11
1168124,BRUTALIST MOVEMENT #120,130,57.27960431302561,1,6,1,5,1,28,1,11
1168121,BRUTALIST MOVEMENT #117,132,57.15676760858857,1,5,1,6,10,4,10,18
1168005,BRUTALIST MOVEMENT #2,133,57.08145974430069,1,5,1,7,1,19,16,4
1168008,BRUTALIST MOVEMENT #5,134,56.90676760858857,1,5,1,6,10,4,10,18
1168092,BRUTALIST MOVEMENT #89,134,56.90676760858857,1,5,1,6,10,4,10,18
1168105,BRUTALIST MOVEMENT #102,134,56.90676760858857,1,5,1,6,10,4,10,18
1168086,BRUTALIST MOVEMENT #83,137,56.89332264330645,1,5,1,7,1,4,10,25
1168037,BRUTALIST MOVEMENT #34,138,56.57003291471102,1,5,1,6,10,4,10,18
1168197,BRUTALIST MOVEMENT #192,138,56.57003291471102,1,5,1,6,10,4,10,18
1168319,BRUTALIST MOVEMENT #238,138,56.57003291471102,1,5,1,6,10,4,10,18
1169783,BRUTALIST MOVEMENT #252,141,56.556587949428895,1,5,1,7,1,4,10,25
1168013,BRUTALIST MOVEMENT #10,142,56.544493814477605,1,6,1,7,1,4,21,12
1168110,BRUTALIST MOVEMENT #107,142,56.544493814477605,1,6,1,7,1,4,21,12
1168174,BRUTALIST MOVEMENT #169,142,56.544493814477605,1,6,1,7,1,4,21,12
1168150,BRUTALIST MOVEMENT #145,145,56.542424825846126,1,5,1,5,1,28,1,11
1168160,BRUTALIST MOVEMENT #155,145,56.542424825846126,1,5,1,5,1,28,1,11
1168157,BRUTALIST MOVEMENT #152,147,56.364550713481876,1,6,1,7,1,4,21,12
1168137,BRUTALIST MOVEMENT #133,148,56.347639460825164,1,6,4,7,1,7,1,25
1168004,BRUTALIST MOVEMENT #1,149,56.292424825846126,1,5,1,5,1,28,1,11
1168020,BRUTALIST MOVEMENT #17,150,56.193835463819255,1,6,1,7,1,4,21,12
1168165,BRUTALIST MOVEMENT #160,151,56.12962465486026,1,6,1,5,10,6,21,4
1168206,BRUTALIST MOVEMENT #201,152,55.955690131968574,1,5,1,5,1,28,1,11
1168146,BRUTALIST MOVEMENT #141,153,55.94968155386452,1,6,1,5,10,6,21,4
1168127,BRUTALIST MOVEMENT #123,154,55.77896630420191,1,6,1,5,10,6,21,4
1168010,BRUTALIST MOVEMENT #7,155,55.45665597663978,1,5,1,7,1,4,21,12
1168173,BRUTALIST MOVEMENT #168,156,55.20665597663978,1,5,1,7,1,4,21,12
1168335,BRUTALIST MOVEMENT #240,157,55.04178681702242,1,5,1,5,10,6,21,4
1168028,BRUTALIST MOVEMENT #25,158,55.022672321367885,1,6,4,7,1,19,10,4
1168159,BRUTALIST MOVEMENT #154,159,54.86992128276222,1,5,1,7,1,4,21,12
1168104,BRUTALIST MOVEMENT #101,160,54.79178681702242,1,5,1,5,10,6,21,4
1168142,BRUTALIST MOVEMENT #138,160,54.79178681702242,1,5,1,5,10,6,21,4
1168211,BRUTALIST MOVEMENT #206,160,54.79178681702242,1,5,1,5,10,6,21,4
1168184,BRUTALIST MOVEMENT #179,163,54.67306692910978,1,5,4,7,1,7,1,25
1168082,BRUTALIST MOVEMENT #79,164,54.45505212314486,1,5,1,5,10,6,21,4
1169392,BRUTALIST MOVEMENT #251,164,54.45505212314486,1,5,1,5,10,6,21,4
1168066,BRUTALIST MOVEMENT #63,166,54.24780366443764,1,6,4,4,1,21,1,12
1168235,BRUTALIST MOVEMENT #225,167,54.067860563441904,1,6,4,4,1,21,1,12
1168164,BRUTALIST MOVEMENT #159,168,53.89714531377929,1,6,4,4,1,21,1,12
1168225,BRUTALIST MOVEMENT #219,169,52.974446546815216,1,6,1,7,1,7,1,25
1168143,BRUTALIST MOVEMENT #139,170,52.657458264591334,1,6,4,5,1,15,1,15
1168306,BRUTALIST MOVEMENT #236,170,52.657458264591334,1,6,4,5,1,15,1,15
1168148,BRUTALIST MOVEMENT #143,172,52.0093656093494,1,6,1,7,1,19,10,4
1168163,BRUTALIST MOVEMENT #158,173,51.749563527749224,1,5,4,5,1,15,1,15
1168080,BRUTALIST MOVEMENT #77,174,51.65870725869105,1,6,1,7,1,19,10,4
1168140,BRUTALIST MOVEMENT #136,174,51.65870725869105,1,6,1,7,1,19,10,4
1168158,BRUTALIST MOVEMENT #153,174,51.65870725869105,1,6,1,7,1,19,10,4
1168191,BRUTALIST MOVEMENT #186,174,51.65870725869105,1,6,1,7,1,19,10,4
1168120,BRUTALIST MOVEMENT #116,178,50.92152777151157,1,5,1,7,1,19,10,4
1168129,BRUTALIST MOVEMENT #125,179,50.70389550076507,1,6,1,4,1,21,1,12
1168022,BRUTALIST MOVEMENT #19,180,50.33479307763402,1,5,1,7,1,19,10,4
1168026,BRUTALIST MOVEMENT #23,181,49.71671601358558,1,5,1,4,1,21,1,12
1168017,BRUTALIST MOVEMENT #14,182,49.64415155257285,1,6,1,5,1,15,1,15
1168030,BRUTALIST MOVEMENT #27,182,49.64415155257285,1,6,1,5,1,15,1,15
1168187,BRUTALIST MOVEMENT #182,182,49.64415155257285,1,6,1,5,1,15,1,15
1168172,BRUTALIST MOVEMENT #167,185,49.46420845157712,1,6,1,5,1,15,1,15
1168236,BRUTALIST MOVEMENT #226,186,49.46132468475676,1,6,1,4,1,4,16,12
1168036,BRUTALIST MOVEMENT #33,187,49.2934932019145,1,6,1,5,1,15,1,15
1168202,BRUTALIST MOVEMENT #197,187,49.2934932019145,1,6,1,5,1,15,1,15
1168220,BRUTALIST MOVEMENT #215,187,49.2934932019145,1,6,1,5,1,15,1,15
1168103,BRUTALIST MOVEMENT #100,190,49.11066633409841,1,6,1,4,1,4,16,12
1168039,BRUTALIST MOVEMENT #36,191,48.55631371473502,1,5,1,5,1,15,1,15
1168076,BRUTALIST MOVEMENT #73,191,48.55631371473502,1,5,1,5,1,15,1,15
1168051,BRUTALIST MOVEMENT #48,193,48.30631371473502,1,5,1,5,1,15,1,15
1168201,BRUTALIST MOVEMENT #196,193,48.30631371473502,1,5,1,5,1,15,1,15
1168214,BRUTALIST MOVEMENT #209,193,48.30631371473502,1,5,1,5,1,15,1,15
1168018,BRUTALIST MOVEMENT #15,196,47.969579020857466,1,5,1,5,1,15,1,15
1168385,BRUTALIST MOVEMENT #247,197,47.499436967874466,1,6,4,5,10,6,1,11
1168161,BRUTALIST MOVEMENT #156,198,46.667938723981564,1,5,4,7,1,19,1,5
1168106,BRUTALIST MOVEMENT #103,199,46.41159913003663,1,5,4,5,10,6,1,11
1168212,BRUTALIST MOVEMENT #207,199,46.41159913003663,1,5,4,5,10,6,1,11
1168047,BRUTALIST MOVEMENT #44,201,46.200069993266474,1,5,4,4,1,7,16,4
1168072,BRUTALIST MOVEMENT #69,201,46.200069993266474,1,5,4,4,1,7,16,4
1168045,BRUTALIST MOVEMENT #42,203,45.61333529938892,1,5,4,4,1,7,16,4
1168079,BRUTALIST MOVEMENT #76,204,44.96931834168701,1,6,1,7,1,19,1,5
1168175,BRUTALIST MOVEMENT #170,205,44.798603092024386,1,6,1,7,1,19,1,5
1168046,BRUTALIST MOVEMENT #43,206,44.126244053864525,1,6,1,5,10,6,1,11
1168090,BRUTALIST MOVEMENT #87,207,44.094658018090094,1,6,1,4,1,7,16,4
1168268,BRUTALIST MOVEMENT #235,208,43.955528804201904,1,6,1,5,10,6,1,11
1168138,BRUTALIST MOVEMENT #134,209,43.914714917094365,1,6,1,4,1,7,16,4
1168042,BRUTALIST MOVEMENT #39,210,43.811423604844904,1,5,1,7,1,19,1,5
1168023,BRUTALIST MOVEMENT #20,211,42.968349317022415,1,5,1,5,10,6,1,11
1168031,BRUTALIST MOVEMENT #28,211,42.968349317022415,1,5,1,5,10,6,1,11
1168101,BRUTALIST MOVEMENT #98,211,42.968349317022415,1,5,1,5,10,6,1,11
1168135,BRUTALIST MOVEMENT #131,211,42.968349317022415,1,5,1,5,10,6,1,11
1168136,BRUTALIST MOVEMENT #132,211,42.968349317022415,1,5,1,5,10,6,1,11
1169097,BRUTALIST MOVEMENT #250,211,42.968349317022415,1,5,1,5,10,6,1,11
1168154,BRUTALIST MOVEMENT #149,217,42.63161462314486,1,5,1,5,10,6,1,11
1168057,BRUTALIST MOVEMENT #54,218,42.42008548637471,1,5,1,4,1,7,16,4
1168074,BRUTALIST MOVEMENT #71,218,42.42008548637471,1,5,1,4,1,7,16,4
1168064,BRUTALIST MOVEMENT #61,220,38.57796473010857,1,6,4,4,1,4,10,5
1168233,BRUTALIST MOVEMENT #224,221,37.670069993266466,1,5,4,4,1,4,10,5
1168125,BRUTALIST MOVEMENT #121,222,37.08333529938892,1,5,4,4,1,4,10,5
1168071,BRUTALIST MOVEMENT #68,223,35.5646580180901,1,6,1,4,1,4,10,5
1168098,BRUTALIST MOVEMENT #95,223,35.5646580180901,1,6,1,4,1,4,10,5
1168115,BRUTALIST MOVEMENT #111,223,35.5646580180901,1,6,1,4,1,4,10,5
1168034,BRUTALIST MOVEMENT #31,226,35.38471491709436,1,6,1,4,1,4,10,5
1168131,BRUTALIST MOVEMENT #127,226,35.38471491709436,1,6,1,4,1,4,10,5
1168190,BRUTALIST MOVEMENT #185,226,35.38471491709436,1,6,1,4,1,4,10,5
1168006,BRUTALIST MOVEMENT #3,229,34.22682018025226,1,5,1,4,1,4,10,5
1168097,BRUTALIST MOVEMENT #94,229,34.22682018025226,1,5,1,4,1,4,10,5
1168123,BRUTALIST MOVEMENT #119,229,34.22682018025226,1,5,1,4,1,4,10,5
1168180,BRUTALIST MOVEMENT #175,229,34.22682018025226,1,5,1,4,1,4,10,5
1168060,BRUTALIST MOVEMENT #57,233,33.50119389677525,1,6,4,4,1,7,1,5
1168221,BRUTALIST MOVEMENT #216,234,32.00656446605559,1,5,4,4,1,7,1,5
1168043,BRUTALIST MOVEMENT #40,235,30.487887184756765,1,6,1,4,1,7,1,5
1168223,BRUTALIST MOVEMENT #217,235,30.487887184756765,1,6,1,4,1,7,1,5
1168024,BRUTALIST MOVEMENT #21,237,30.307944083761033,1,6,1,4,1,7,1,5
1168025,BRUTALIST MOVEMENT #22,237,30.307944083761033,1,6,1,4,1,7,1,5
1168061,BRUTALIST MOVEMENT #58,237,30.307944083761033,1,6,1,4,1,7,1,5
1168193,BRUTALIST MOVEMENT #188,237,30.307944083761033,1,6,1,4,1,7,1,5
1168379,BRUTALIST MOVEMENT #245,237,30.307944083761033,1,6,1,4,1,7,1,5
1169873,BRUTALIST MOVEMENT #253,237,30.307944083761033,1,6,1,4,1,7,1,5
1168232,BRUTALIST MOVEMENT #223,243,30.137228834098416,1,6,1,4,1,7,1,5
1168038,BRUTALIST MOVEMENT #35,244,29.400049346918927,1,5,1,4,1,7,1,5
1168040,BRUTALIST MOVEMENT #37,244,29.400049346918927,1,5,1,4,1,7,1,5
1168069,BRUTALIST MOVEMENT #66,244,29.400049346918927,1,5,1,4,1,7,1,5
1168219,BRUTALIST MOVEMENT #214,244,29.400049346918927,1,5,1,4,1,7,1,5
1168126,BRUTALIST MOVEMENT #122,248,29.150049346918927,1,5,1,4,1,7,1,5
1168130,BRUTALIST MOVEMENT #126,248,29.150049346918927,1,5,1,4,1,7,1,5
1168337,BRUTALIST MOVEMENT #241,248,29.150049346918927,1,5,1,4,1,7,1,5
1168016,BRUTALIST MOVEMENT #13,251,28.813314653041378,1,5,1,4,1,7,1,5
1168021,BRUTALIST MOVEMENT #18,251,28.813314653041378,1,5,1,4,1,7,1,5
1168077,BRUTALIST MOVEMENT #74,251,28.813314653041378,1,5,1,4,1,7,1,5
