ID,Name,Rank,Rarity_Score,Acid,Attributes,Background color,Bubbles?,Color palette,Color variation,Deposit,Discrete division,Discrete turns,Displacement level (0-9),Division angle,Division chances,How are you?,Inverted,Mutation,Pointillism,Spike level (0-9),Stripe level (0-9),Termination chances,Termination threshold,Tinge palette,Turn,You smell,Your hotness 1-10,can I touch the bubble?,ooOo0ooOO?,ooh?,oooh?,you are
16321,FXHASH Logo with Features #521,12,139.2443370709671,False,13,None,None,None,normal,high,False,True,None,very high,high,None,False,very high,False,None,None,low,very low,None,low,None,None,None,None,None,None,None
299,FXHASH Logo with Features #36,13,137.9976334413986,False,13,None,None,None,normal,high,False,False,None,normal,normal,None,False,low,False,None,None,very low,very low,None,low,None,None,None,None,None,None,None
18983,FXHASH Logo with Features #680,14,137.09972501142167,False,13,None,None,None,normal,very low,True,True,None,low,normal,None,False,normal,False,None,None,very low,high,None,low,None,None,None,None,None,None,None
20120,FXHASH Logo with Features #910,15,136.7631640429052,False,13,None,None,None,normal,very low,False,False,None,high,low,None,False,very low,False,None,None,high,low,None,low,None,None,None,None,None,None,None
583,FXHASH Logo with Features #65,16,136.4661696046607,False,13,None,None,None,normal,low,True,True,None,normal,very high,None,False,low,False,None,None,high,very high,None,low,None,None,None,None,None,None,None
20519,FXHASH Logo with Features #976,17,136.0206545767013,False,13,None,None,None,normal,normal,True,False,None,normal,normal,None,False,normal,False,None,None,normal,normal,None,low,None,None,None,None,None,None,None
20138,FXHASH Logo with Features #915,18,135.4901380879436,False,13,None,None,None,normal,very low,False,True,None,very high,low,None,False,low,False,None,None,high,high,None,very low,None,None,None,None,None,None,None
17732,FXHASH Logo with Features #572,19,134.73031796576046,False,13,None,None,None,normal,high,True,False,None,normal,low,None,False,very high,False,None,None,normal,very high,None,very low,None,None,None,None,None,None,None
18794,FXHASH Logo with Features #649,20,134.63173816998147,False,13,None,None,None,normal,normal,False,True,None,very high,low,None,False,normal,False,None,None,low,normal,None,very low,None,None,None,None,None,None,None
19947,FXHASH Logo with Features #873,21,115.89197512893057,False,13,None,None,None,low,normal,False,True,None,low,low,None,False,very high,False,None,None,very low,normal,None,very high,None,None,None,None,None,None,None
20016,FXHASH Logo with Features #890,22,109.8622142007287,True,13,None,None,None,very low,very high,False,True,None,low,very low,None,True,very low,True,None,None,very low,low,None,very low,None,None,None,None,None,None,None
2250,FXHASH Logo with Features #140,23,106.59385129968926,False,13,None,None,None,low,low,False,False,None,low,high,None,False,high,True,None,None,normal,low,None,normal,None,None,None,None,None,None,None
5968,FXHASH Logo with Features #239,24,104.67879672618062,False,13,None,None,None,very low,very high,True,False,None,very high,very low,None,True,low,False,None,None,very high,low,None,very high,None,None,None,None,None,None,None
19363,FXHASH Logo with Features #750,25,103.05829999558526,False,13,None,None,None,very low,normal,True,False,None,low,normal,None,False,low,True,None,None,very high,normal,None,high,None,None,None,None,None,None,None
18494,FXHASH Logo with Features #622,26,101.55318367267817,False,13,None,None,None,very low,very high,True,True,None,low,normal,None,False,very high,False,None,None,low,very low,None,very high,None,None,None,None,None,None,None
17465,FXHASH Logo with Features #551,27,100.8782416030069,False,13,None,None,None,very low,normal,True,False,None,very low,high,None,False,very high,False,None,None,very high,very high,None,very high,None,None,None,None,None,None,None
17310,FXHASH Logo with Features #540,28,100.85428615360435,False,13,None,None,None,very low,very high,False,False,None,high,high,None,False,very high,False,None,None,low,low,None,very high,None,None,None,None,None,None,None
17398,FXHASH Logo with Features #546,29,100.68369314155032,False,13,None,None,None,very low,very low,True,True,None,high,low,None,False,low,False,None,None,high,very low,None,very high,None,None,None,None,None,None,None
14327,FXHASH Logo with Features #459,30,100.65816987052912,False,13,None,None,None,very low,low,True,True,None,low,normal,None,False,low,False,None,None,very high,very low,None,very high,None,None,None,None,None,None,None
11526,FXHASH Logo with Features #387,31,100.54413781247044,False,13,None,None,None,very low,very low,False,False,None,very high,very low,None,False,normal,False,None,None,very low,normal,None,very high,None,None,None,None,None,None,None
2296,FXHASH Logo with Features #143,32,100.28156707100827,False,13,None,None,None,very low,very low,True,False,None,very high,very low,None,False,very low,False,None,None,very high,high,None,very high,None,None,None,None,None,None,None
1981,FXHASH Logo with Features #124,33,100.09776625426561,False,13,None,None,None,very low,normal,False,True,None,very low,high,None,False,high,False,None,None,very high,normal,None,very high,None,None,None,None,None,None,None
17893,FXHASH Logo with Features #582,34,100.09670749754433,False,13,None,None,None,very low,very low,True,True,None,low,high,None,False,high,False,None,None,high,normal,None,very high,None,None,None,None,None,None,None
3427,FXHASH Logo with Features #176,35,100.08329650731088,False,13,None,None,None,very low,low,False,False,None,very low,very high,None,False,high,False,None,None,high,high,None,very high,None,None,None,None,None,None,None
11187,FXHASH Logo with Features #377,36,100.07322458974994,False,13,None,None,None,low,low,False,True,None,normal,very high,None,False,high,True,None,None,high,very high,None,very low,None,None,None,None,None,None,None
20042,FXHASH Logo with Features #895,37,100.04585975494389,False,13,None,None,None,very low,very high,False,True,None,normal,high,None,False,very low,False,None,None,very low,low,None,very high,None,None,None,None,None,None,None
20420,FXHASH Logo with Features #964,38,100.04329378948317,False,13,None,None,None,very low,very high,True,True,None,very high,low,None,False,normal,False,None,None,low,high,None,very high,None,None,None,None,None,None,None
11322,FXHASH Logo with Features #381,39,99.68375094005401,False,13,None,None,None,very low,high,True,True,None,low,normal,None,False,normal,False,None,None,high,high,None,very high,None,None,None,None,None,None,None
1045,FXHASH Logo with Features #88,40,99.67773606561272,False,13,None,None,None,very low,normal,True,False,None,normal,normal,None,False,very low,False,None,None,very low,normal,None,very high,None,None,None,None,None,None,None
20309,FXHASH Logo with Features #945,41,99.58033123710956,False,13,None,None,None,very low,very low,False,True,None,high,low,None,False,low,False,None,None,low,very high,None,very high,None,None,None,None,None,None,None
2712,FXHASH Logo with Features #162,42,99.53753500456796,False,13,None,None,None,very low,normal,True,True,None,very low,high,None,False,normal,False,None,None,normal,very high,None,very high,None,None,None,None,None,None,None
454,FXHASH Logo with Features #55,43,99.35185039912497,False,13,None,None,None,very low,normal,True,True,None,high,high,None,False,high,False,None,None,very high,normal,None,very high,None,None,None,None,None,None,None
13920,FXHASH Logo with Features #445,44,99.27553315302157,False,13,None,None,None,very low,low,True,False,None,normal,very high,None,False,high,False,None,None,normal,low,None,very high,None,None,None,None,None,None,None
15336,FXHASH Logo with Features #493,45,97.71366624197063,False,13,None,None,None,very low,high,True,False,None,very low,low,None,True,very high,True,None,None,very high,very low,None,normal,None,None,None,None,None,None,None
20094,FXHASH Logo with Features #905,46,95.07258729918429,True,13,None,None,None,low,low,False,False,None,low,normal,None,False,very high,False,None,None,very low,very low,None,low,None,None,None,None,None,None,None
20408,FXHASH Logo with Features #960,47,92.95760791995522,False,13,None,None,None,very low,low,True,False,None,very low,low,None,False,very high,True,None,None,low,high,None,normal,None,None,None,None,None,None,None
17806,FXHASH Logo with Features #577,48,92.91844740223102,False,13,None,None,None,very low,very high,False,False,None,very low,very low,None,True,very low,True,None,None,very low,normal,None,low,None,None,None,None,None,None,None
327,FXHASH Logo with Features #39,49,92.83955620496602,True,13,None,None,None,very low,low,True,False,None,very high,very low,None,False,normal,False,None,None,very high,normal,None,high,None,None,None,None,None,None,None
19580,FXHASH Logo with Features #821,50,92.5726951451905,False,13,None,None,None,low,normal,True,True,None,very low,low,None,True,high,False,None,None,very low,normal,None,high,None,None,None,None,None,None,None
2676,FXHASH Logo with Features #160,51,91.29780100505224,False,13,None,None,None,very low,low,True,False,None,normal,very low,None,True,normal,True,None,None,normal,low,None,low,None,None,None,None,None,None,None
6082,FXHASH Logo with Features #242,52,90.97374315930756,False,13,None,None,None,very low,very low,False,False,None,high,low,None,False,very low,True,None,None,very high,very high,None,normal,None,None,None,None,None,None,None
15410,FXHASH Logo with Features #496,53,90.8451497688176,False,13,None,None,None,very low,high,True,True,None,very low,low,None,True,very low,True,None,None,normal,very low,None,very low,None,None,None,None,None,None,None
10226,FXHASH Logo with Features #346,54,90.27277809985432,False,13,None,None,None,very low,very low,False,False,None,very high,normal,None,True,normal,True,None,None,very low,very high,None,very low,None,None,None,None,None,None,None
20481,FXHASH Logo with Features #969,55,90.12567295477078,False,13,None,None,None,very low,very low,False,True,None,very low,low,None,True,normal,True,None,None,very low,very high,None,very low,None,None,None,None,None,None,None
5671,FXHASH Logo with Features #235,56,89.79175300839113,False,13,None,None,None,very low,normal,False,True,None,low,high,None,True,very low,True,None,None,low,normal,None,very low,None,None,None,None,None,None,None
19156,FXHASH Logo with Features #712,57,89.71621699086356,False,13,None,None,None,very low,low,False,True,None,normal,very high,None,True,high,True,None,None,normal,very low,None,very low,None,None,None,None,None,None,None
409,FXHASH Logo with Features #51,58,89.29384803015789,False,13,None,None,None,very low,very low,True,False,None,very low,high,None,False,high,True,None,None,very low,high,None,low,None,None,None,None,None,None,None
19061,FXHASH Logo with Features #695,59,89.2813975536543,False,13,None,None,None,very low,low,True,True,None,very low,normal,None,False,very low,True,None,None,high,very low,None,low,None,None,None,None,None,None,None
19671,FXHASH Logo with Features #837,60,89.24756081377086,False,13,None,None,None,low,very low,True,True,None,normal,very low,None,False,very high,False,None,None,very low,normal,None,high,None,None,None,None,None,None,None
3722,FXHASH Logo with Features #189,61,89.23543608659654,False,13,None,None,None,very low,low,False,True,None,normal,normal,None,True,normal,True,None,None,high,low,None,very low,None,None,None,None,None,None,None
3733,FXHASH Logo with Features #191,62,88.66547222019956,False,13,None,None,None,very low,high,True,False,None,low,low,None,False,low,True,None,None,low,high,None,low,None,None,None,None,None,None,None
248,FXHASH Logo with Features #30,63,88.58505700442203,False,13,None,None,None,very low,very low,True,True,None,very low,normal,None,False,normal,True,None,None,normal,normal,None,low,None,None,None,None,None,None,None
1675,FXHASH Logo with Features #112,64,88.22282143545897,False,13,None,None,None,very low,very low,True,False,None,high,normal,None,False,low,True,None,None,low,very high,None,low,None,None,None,None,None,None,None
19702,FXHASH Logo with Features #840,65,88.08264395027945,False,13,None,None,None,very low,high,False,False,None,high,normal,None,False,very low,True,None,None,high,normal,None,low,None,None,None,None,None,None,None
17399,FXHASH Logo with Features #547,66,86.83333369084161,False,13,None,None,None,very low,very low,True,True,None,low,very low,None,False,low,True,None,None,very low,normal,None,very low,None,None,None,None,None,None,None
20371,FXHASH Logo with Features #955,67,86.50570904011225,False,13,None,None,None,very low,very high,True,True,None,low,normal,None,False,very low,True,None,None,normal,very low,None,very low,None,None,None,None,None,None,None
16125,FXHASH Logo with Features #518,68,86.43466631951692,False,13,None,None,None,very low,very low,True,False,None,high,very high,None,False,normal,True,None,None,high,very low,None,very low,None,None,None,None,None,None,None
19417,FXHASH Logo with Features #775,69,86.27684139880317,False,13,None,None,None,very low,high,True,True,None,low,very low,None,False,high,True,None,None,very low,normal,None,very low,None,None,None,None,None,None,None
19157,FXHASH Logo with Features #713,70,86.08631885487551,False,13,None,None,None,very low,low,True,True,None,low,normal,None,False,very low,True,None,None,very low,high,None,very low,None,None,None,None,None,None,None
19861,FXHASH Logo with Features #856,71,86.05927517374127,False,13,None,None,None,very low,low,False,False,None,very low,low,None,False,very low,True,None,None,very high,high,None,very low,None,None,None,None,None,None,None
389,FXHASH Logo with Features #48,72,85.85219378796089,False,13,None,None,None,very low,normal,False,True,None,very high,high,None,False,high,True,None,None,very high,very high,None,very low,None,None,None,None,None,None,None
20617,FXHASH Logo with Features #994,73,85.80552002449204,False,13,None,None,None,very low,very low,False,False,None,high,normal,None,False,high,True,None,None,low,normal,None,very low,None,None,None,None,None,None,None
18234,FXHASH Logo with Features #607,74,85.48190823078386,False,13,None,None,None,very low,normal,True,False,None,normal,very high,None,False,very low,True,None,None,very high,normal,None,very low,None,None,None,None,None,None,None
7392,FXHASH Logo with Features #298,75,85.14071567445306,True,13,None,None,None,very low,very low,True,False,None,normal,low,None,True,high,False,None,None,very high,normal,None,normal,None,None,None,None,None,None,None
3666,FXHASH Logo with Features #186,76,85.08568701001995,False,13,None,None,None,very low,high,False,True,None,high,low,None,False,high,True,None,None,very high,very high,None,very low,None,None,None,None,None,None,None
18281,FXHASH Logo with Features #614,77,83.53170120610122,True,13,None,None,None,very low,low,True,True,None,very low,high,None,True,very high,False,None,None,very low,very high,None,low,None,None,None,None,None,None,None
15472,FXHASH Logo with Features #499,78,82.82084865066422,True,13,None,None,None,very low,normal,False,False,None,low,low,None,True,very high,False,None,None,high,normal,None,low,None,None,None,None,None,None,None
19618,FXHASH Logo with Features #829,79,82.70361258456433,True,13,None,None,None,very low,high,False,False,None,high,very high,None,True,low,False,None,None,very low,normal,None,low,None,None,None,None,None,None,None
14779,FXHASH Logo with Features #475,80,82.65649935718329,True,13,None,None,None,very low,high,False,False,None,very high,normal,None,False,high,False,None,None,normal,very low,None,normal,None,None,None,None,None,None,None
19564,FXHASH Logo with Features #819,81,82.49818399123421,True,13,None,None,None,very low,high,True,False,None,very high,normal,None,False,low,False,None,None,normal,high,None,normal,None,None,None,None,None,None,None
19969,FXHASH Logo with Features #878,82,81.94559507522871,True,13,None,None,None,very low,low,True,True,None,high,high,None,False,high,False,None,None,high,very low,None,normal,None,None,None,None,None,None,None
14455,FXHASH Logo with Features #466,83,81.41992288761931,True,13,None,None,None,very low,low,True,False,None,high,normal,None,False,low,False,None,None,normal,high,None,normal,None,None,None,None,None,None,None
14218,FXHASH Logo with Features #456,84,81.3804251550012,True,13,None,None,None,very low,low,True,False,None,very high,very low,None,True,very high,False,None,None,very low,high,None,very low,None,None,None,None,None,None,None
20372,FXHASH Logo with Features #956,85,81.3667522904482,True,13,None,None,None,very low,low,True,True,None,very high,low,None,False,normal,False,None,None,high,very high,None,normal,None,None,None,None,None,None,None
7381,FXHASH Logo with Features #297,86,80.66609714432106,False,13,None,None,None,low,very high,True,True,None,high,very low,None,True,high,False,None,None,low,low,None,normal,None,None,None,None,None,None,None
19065,FXHASH Logo with Features #698,87,80.5465153999628,False,13,None,None,None,low,very high,True,True,None,high,normal,None,True,normal,False,None,None,high,normal,None,normal,None,None,None,None,None,None,None
19656,FXHASH Logo with Features #835,88,80.39593451883678,True,13,None,None,None,very low,high,False,False,None,very low,high,None,True,very low,False,None,None,normal,normal,None,very low,None,None,None,None,None,None,None
20095,FXHASH Logo with Features #906,89,80.28404587790514,True,13,None,None,None,very low,very high,True,False,None,normal,very high,None,True,low,False,None,None,very low,high,None,very low,None,None,None,None,None,None,None
19403,FXHASH Logo with Features #772,90,80.10465782419053,True,13,None,None,None,very low,low,True,False,None,high,very high,None,True,very high,False,None,None,low,very high,None,very low,None,None,None,None,None,None,None
10989,FXHASH Logo with Features #371,91,80.0430807825924,True,13,None,None,None,very low,normal,False,False,None,very high,very high,None,True,normal,False,None,None,very high,low,None,very low,None,None,None,None,None,None,None
7737,FXHASH Logo with Features #313,92,79.70865096129157,True,13,None,None,None,very low,low,True,True,None,very low,low,None,True,very low,False,None,None,low,very high,None,very low,None,None,None,None,None,None,None
19257,FXHASH Logo with Features #730,93,79.65835834759423,True,13,None,None,None,very low,high,False,True,None,very high,normal,None,False,low,False,None,None,normal,very low,None,low,None,None,None,None,None,None,None
32,FXHASH Logo with Features #12,94,79.56738966235176,True,13,None,None,None,very low,normal,True,False,None,normal,low,None,True,very low,False,None,None,very low,normal,None,very low,None,None,None,None,None,None,None
17606,FXHASH Logo with Features #564,95,79.55714857303093,True,13,None,None,None,very low,very high,False,True,None,very low,very high,None,False,normal,False,None,None,very low,very low,None,low,None,None,None,None,None,None,None
19536,FXHASH Logo with Features #813,96,79.47052018455524,True,13,None,None,None,very low,very low,True,False,None,normal,very high,None,True,normal,False,None,None,very low,very high,None,very low,None,None,None,None,None,None,None
12290,FXHASH Logo with Features #400,97,78.93053233613422,True,13,None,None,None,very low,very low,False,False,None,very high,normal,None,False,normal,False,None,None,very low,high,None,low,None,None,None,None,None,None,None
18715,FXHASH Logo with Features #641,98,78.72998186754546,False,13,None,None,None,very low,low,True,True,None,very high,very low,None,True,very high,False,None,None,very low,low,None,high,None,None,None,None,None,None,None
16952,FXHASH Logo with Features #531,99,78.72062593104285,True,13,None,None,None,very low,low,False,False,None,normal,low,None,False,very high,False,None,None,low,low,None,low,None,None,None,None,None,None,None
4683,FXHASH Logo with Features #215,100,78.6956307535156,False,13,None,None,None,low,very low,True,True,None,very low,low,None,False,very high,False,None,None,low,normal,None,normal,None,None,None,None,None,None,None
20283,FXHASH Logo with Features #939,101,78.63621744951939,False,13,None,None,None,very low,high,True,True,None,very high,very high,None,True,very high,False,None,None,normal,low,None,high,None,None,None,None,None,None,None
17328,FXHASH Logo with Features #542,102,78.56095150329168,True,13,None,None,None,very low,normal,True,False,None,low,normal,None,False,high,False,None,None,very high,very low,None,low,None,None,None,None,None,None,None
20007,FXHASH Logo with Features #887,103,78.0748013588137,True,13,None,None,None,very low,very high,True,False,None,low,very low,None,False,high,False,None,None,normal,low,None,low,None,None,None,None,None,None,None
7717,FXHASH Logo with Features #311,104,77.94859838325719,False,13,None,None,None,low,high,False,True,None,low,very low,None,False,very high,False,None,None,low,high,None,normal,None,None,None,None,None,None,None
18703,FXHASH Logo with Features #639,105,77.88743373674119,False,13,None,None,None,low,normal,False,True,None,high,low,None,False,very high,False,None,None,very low,low,None,normal,None,None,None,None,None,None,None
3313,FXHASH Logo with Features #173,106,77.82650559753279,True,13,None,None,None,very low,low,True,False,None,very low,normal,None,False,very high,False,None,None,very low,low,None,very low,None,None,None,None,None,None,None
13801,FXHASH Logo with Features #439,107,77.79040062497457,True,13,None,None,None,very low,high,True,True,None,very low,very high,None,False,very high,False,None,None,low,low,None,very low,None,None,None,None,None,None,None
18951,FXHASH Logo with Features #676,108,77.623326823271,False,13,None,None,None,low,low,True,True,None,very high,high,None,False,low,False,None,None,high,very high,None,normal,None,None,None,None,None,None,None
19123,FXHASH Logo with Features #705,109,77.55729099514647,True,13,None,None,None,very low,high,False,False,None,low,very high,None,False,very high,False,None,None,very low,low,None,very low,None,None,None,None,None,None,None
20382,FXHASH Logo with Features #957,110,77.30682026449975,False,13,None,None,None,low,very high,True,False,None,low,very low,None,False,very low,False,None,None,very low,high,None,normal,None,None,None,None,None,None,None
18676,FXHASH Logo with Features #635,111,77.29575034732538,False,13,None,None,None,low,normal,False,False,None,high,very high,None,False,low,False,None,None,very low,high,None,normal,None,None,None,None,None,None,None
154,FXHASH Logo with Features #19,112,77.24217118233825,False,13,None,None,None,very low,very high,True,False,None,low,very low,None,True,very low,False,None,None,very low,high,None,high,None,None,None,None,None,None,None
3252,FXHASH Logo with Features #171,113,77.2382978418343,False,13,None,None,None,low,low,True,False,None,very low,high,None,False,very low,False,None,None,high,very high,None,normal,None,None,None,None,None,None,None
12494,FXHASH Logo with Features #406,114,77.20636120897487,False,13,None,None,None,very low,high,False,True,None,high,normal,None,True,very low,False,None,None,normal,very low,None,high,None,None,None,None,None,None,None
20137,FXHASH Logo with Features #914,115,77.17749287030962,False,13,None,None,None,low,high,True,True,None,normal,low,None,True,low,False,None,None,low,very high,None,low,None,None,None,None,None,None,None
1702,FXHASH Logo with Features #114,116,77.10961656674137,False,13,None,None,None,very low,low,True,True,None,low,very low,None,True,low,False,None,None,very low,very high,None,high,None,None,None,None,None,None,None
941,FXHASH Logo with Features #86,117,77.10283975906064,True,13,None,None,None,very low,low,False,True,None,normal,very high,None,False,very low,False,None,None,normal,very high,None,low,None,None,None,None,None,None,None
14839,FXHASH Logo with Features #477,118,77.06563808732031,False,13,None,None,None,low,very high,True,False,None,high,high,None,True,normal,False,None,None,normal,normal,None,low,None,None,None,None,None,None,None
15814,FXHASH Logo with Features #511,119,77.02888017436364,True,13,None,None,None,very low,high,True,False,None,very high,high,None,False,normal,False,None,None,normal,very low,None,very low,None,None,None,None,None,None,None
20350,FXHASH Logo with Features #950,120,76.99744964455512,False,13,None,None,None,very low,normal,False,False,None,very low,very high,None,True,very low,False,None,None,high,very high,None,high,None,None,None,None,None,None,None
310,FXHASH Logo with Features #38,121,76.97239266461762,False,13,None,None,None,low,very low,False,False,None,low,low,None,False,high,False,None,None,normal,low,None,normal,None,None,None,None,None,None,None
9690,FXHASH Logo with Features #340,122,76.96183837222988,False,13,None,None,None,very low,normal,False,False,None,very high,very low,None,True,normal,False,None,None,very low,very high,None,high,None,None,None,None,None,None,None
1185,FXHASH Logo with Features #95,123,76.93126107624036,True,13,None,None,None,very low,very high,True,False,None,very high,normal,None,False,low,False,None,None,high,high,None,very low,None,None,None,None,None,None,None
6168,FXHASH Logo with Features #246,124,76.89099641455333,False,13,None,None,None,very low,very low,False,True,None,normal,low,None,True,low,False,None,None,very high,high,None,high,None,None,None,None,None,None,None
19561,FXHASH Logo with Features #817,125,76.85007208732021,True,13,None,None,None,very low,very low,False,True,None,very high,very low,None,False,high,False,None,None,very low,low,None,very low,None,None,None,None,None,None,None
19220,FXHASH Logo with Features #724,126,76.80286493959898,False,13,None,None,None,low,high,False,True,None,very high,high,None,True,low,False,None,None,normal,very low,None,very low,None,None,None,None,None,None,None
20440,FXHASH Logo with Features #966,127,76.73158035772124,False,13,None,None,None,very low,very low,False,False,None,high,high,None,True,normal,False,None,None,high,high,None,high,None,None,None,None,None,None,None
13945,FXHASH Logo with Features #446,128,76.62509095178463,False,13,None,None,None,very low,very low,False,False,None,normal,low,None,True,low,False,None,None,very high,very high,None,high,None,None,None,None,None,None,None
18731,FXHASH Logo with Features #644,129,76.45422161657949,True,13,None,None,None,very low,high,True,False,None,very high,low,None,False,very low,False,None,None,high,high,None,very low,None,None,None,None,None,None,None
13858,FXHASH Logo with Features #443,130,76.34642819044018,False,13,None,None,None,very low,low,True,True,None,normal,very low,None,True,high,False,None,None,high,normal,None,high,None,None,None,None,None,None,None
13616,FXHASH Logo with Features #429,131,76.27296833408397,True,13,None,None,None,very low,low,True,True,None,normal,very low,None,False,very high,False,None,None,very high,normal,None,very low,None,None,None,None,None,None,None
2176,FXHASH Logo with Features #134,132,76.15570588930284,True,13,None,None,None,very low,low,False,True,None,very high,very high,None,False,normal,False,None,None,very high,low,None,very low,None,None,None,None,None,None,None
589,FXHASH Logo with Features #68,133,76.07947409130392,True,13,None,None,None,very low,normal,True,False,None,very low,very low,None,False,low,False,None,None,normal,very high,None,very low,None,None,None,None,None,None,None
5211,FXHASH Logo with Features #222,134,75.98664311525862,True,13,None,None,None,very low,very high,False,False,None,very high,high,None,False,high,False,None,None,normal,very high,None,very low,None,None,None,None,None,None,None
618,FXHASH Logo with Features #71,135,75.93972957154512,True,13,None,None,None,very low,low,False,True,None,very high,high,None,False,high,False,None,None,high,very high,None,very low,None,None,None,None,None,None,None
2578,FXHASH Logo with Features #158,136,75.75753109567982,True,13,None,None,None,very low,low,True,True,None,normal,very high,None,False,normal,False,None,None,very low,low,None,very low,None,None,None,None,None,None,None
18051,FXHASH Logo with Features #593,137,75.73930609515912,False,13,None,None,None,low,low,True,True,None,low,very low,None,True,low,False,None,None,very low,normal,None,very low,None,None,None,None,None,None,None
20574,FXHASH Logo with Features #984,138,75.71887928036946,False,13,None,None,None,low,very high,False,True,None,low,very high,None,True,very low,False,None,None,very low,low,None,very low,None,None,None,None,None,None,None
1435,FXHASH Logo with Features #103,139,75.69120226132864,True,13,None,None,None,very low,very high,True,False,None,low,low,None,False,normal,False,None,None,low,high,None,very low,None,None,None,None,None,None,None
20133,FXHASH Logo with Features #911,140,75.65558565415589,True,13,None,None,None,very low,very high,False,False,None,high,low,None,False,high,False,None,None,high,low,None,very low,None,None,None,None,None,None,None
2374,FXHASH Logo with Features #152,141,75.65519805530344,True,13,None,None,None,very low,very high,False,True,None,high,very high,None,False,normal,False,None,None,high,low,None,very low,None,None,None,None,None,None,None
15103,FXHASH Logo with Features #485,142,75.4410910854842,True,13,None,None,None,very low,normal,True,False,None,normal,very high,None,False,very low,False,None,None,high,high,None,very low,None,None,None,None,None,None,None
2042,FXHASH Logo with Features #125,143,75.41184332645547,True,13,None,None,None,very low,normal,True,True,None,high,normal,None,False,very low,False,None,None,very high,normal,None,very low,None,None,None,None,None,None,None
1580,FXHASH Logo with Features #110,144,75.40371321563823,True,13,None,None,None,very low,low,True,True,None,normal,normal,None,False,high,False,None,None,very high,low,None,very low,None,None,None,None,None,None,None
2230,FXHASH Logo with Features #138,145,75.309474141647,False,13,None,None,None,very low,very high,False,True,None,very high,normal,None,False,very high,False,None,None,low,very low,None,high,None,None,None,None,None,None,None
19701,FXHASH Logo with Features #839,146,75.11400466592009,False,13,None,None,None,low,very low,False,False,None,very low,low,None,False,very high,False,None,None,very low,very high,None,low,None,None,None,None,None,None,None
17038,FXHASH Logo with Features #533,147,74.88801096430758,False,13,None,None,None,low,low,False,False,None,normal,high,None,True,high,False,None,None,low,low,None,very low,None,None,None,None,None,None,None
343,FXHASH Logo with Features #41,148,74.67024724234012,False,13,None,None,None,low,very high,True,True,None,very high,very high,None,False,very high,False,None,None,normal,very high,None,low,None,None,None,None,None,None,None
12664,FXHASH Logo with Features #409,149,74.54487751468527,False,13,None,None,None,low,very high,True,False,None,high,normal,None,True,very low,False,None,None,very high,very high,None,very low,None,None,None,None,None,None,None
18265,FXHASH Logo with Features #611,150,74.2341184878995,False,13,None,None,None,very low,very high,True,False,None,very high,normal,None,False,high,False,None,None,very high,very low,None,high,None,None,None,None,None,None,None
20410,FXHASH Logo with Features #962,151,74.11128519299164,False,13,None,None,None,very low,very low,False,True,None,low,very low,None,False,low,False,None,None,very high,very low,None,high,None,None,None,None,None,None,None
