ID,Name,Rank,Rarity_Score,Acid-Scores,Attributes-Scores,Background color-Scores,Bubbles?-Scores,Color palette-Scores,Color variation-Scores,Deposit-Scores,Discrete division-Scores,Discrete turns-Scores,Displacement level (0-9)-Scores,Division angle-Scores,Division chances-Scores,How are you?-Scores,Inverted-Scores,Mutation-Scores,Pointillism-Scores,Spike level (0-9)-Scores,Stripe level (0-9)-Scores,Termination chances-Scores,Termination threshold-Scores,Tinge palette-Scores,Turn-Scores,You smell-Scores,Your hotness 1-10-Scores,can I touch the bubble?-Scores,ooOo0ooOO?-Scores,ooh?-Scores,oooh?-Scores,you are-Scores
17398,FXHASH Logo with Features #546,29,100.68369314155032,1,1,1,1,1,1,5,2,1,1,4,4,1,1,5,1,1,1,5,5,1,45,1,1,1,1,1,1,1
14327,FXHASH Logo with Features #459,30,100.65816987052912,1,1,1,1,1,1,4,2,1,1,4,5,1,1,5,1,1,1,4,5,1,45,1,1,1,1,1,1,1
11526,FXHASH Logo with Features #387,31,100.54413781247044,1,1,1,1,1,1,5,1,2,1,5,4,1,1,4,1,1,1,5,5,1,45,1,1,1,1,1,1,1
2296,FXHASH Logo with Features #143,32,100.28156707100827,1,1,1,1,1,1,5,2,2,1,5,4,1,1,4,1,1,1,4,4,1,45,1,1,1,1,1,1,1
1981,FXHASH Logo with Features #124,33,100.09776625426561,1,1,1,1,1,1,4,1,1,1,5,5,1,1,4,1,1,1,4,5,1,45,1,1,1,1,1,1,1
17893,FXHASH Logo with Features #582,34,100.09670749754433,1,1,1,1,1,1,5,2,1,1,4,5,1,1,4,1,1,1,5,5,1,45,1,1,1,1,1,1,1
3427,FXHASH Logo with Features #176,35,100.08329650731088,1,1,1,1,1,1,4,1,2,1,5,5,1,1,4,1,1,1,5,4,1,45,1,1,1,1,1,1,1
11187,FXHASH Logo with Features #377,36,100.07322458974994,1,1,1,1,1,16,4,1,1,1,4,5,1,1,4,30,1,1,5,4,1,1,1,1,1,1,1,1,1
20042,FXHASH Logo with Features #895,37,100.04585975494389,1,1,1,1,1,1,5,1,1,1,4,5,1,1,4,1,1,1,5,5,1,45,1,1,1,1,1,1,1
20420,FXHASH Logo with Features #964,38,100.04329378948317,1,1,1,1,1,1,5,2,1,1,5,4,1,1,4,1,1,1,5,4,1,45,1,1,1,1,1,1,1
11322,FXHASH Logo with Features #381,39,99.68375094005401,1,1,1,1,1,1,5,2,1,1,4,5,1,1,4,1,1,1,5,4,1,45,1,1,1,1,1,1,1
1045,FXHASH Logo with Features #88,40,99.67773606561272,1,1,1,1,1,1,4,2,2,1,4,5,1,1,4,1,1,1,5,5,1,45,1,1,1,1,1,1,1
20309,FXHASH Logo with Features #945,41,99.58033123710956,1,1,1,1,1,1,5,1,1,1,4,4,1,1,5,1,1,1,5,4,1,45,1,1,1,1,1,1,1
2712,FXHASH Logo with Features #162,42,99.53753500456796,1,1,1,1,1,1,4,2,1,1,5,5,1,1,4,1,1,1,4,4,1,45,1,1,1,1,1,1,1
454,FXHASH Logo with Features #55,43,99.35185039912497,1,1,1,1,1,1,4,2,1,1,4,5,1,1,4,1,1,1,4,5,1,45,1,1,1,1,1,1,1
13920,FXHASH Logo with Features #445,44,99.27553315302157,1,1,1,1,1,1,4,2,2,1,4,5,1,1,4,1,1,1,4,5,1,45,1,1,1,1,1,1,1
15336,FXHASH Logo with Features #493,45,97.71366624197063,1,1,1,1,1,1,5,2,2,1,5,4,1,5,5,30,1,1,4,5,1,7,1,1,1,1,1,1,1
20094,FXHASH Logo with Features #905,46,95.07258729918429,20,1,1,1,1,16,4,1,2,1,4,5,1,1,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
20408,FXHASH Logo with Features #960,47,92.95760791995522,1,1,1,1,1,1,4,2,2,1,5,4,1,1,5,30,1,1,5,4,1,7,1,1,1,1,1,1,1
17806,FXHASH Logo with Features #577,48,92.91844740223102,1,1,1,1,1,1,5,1,2,1,5,4,1,5,4,30,1,1,5,5,1,4,1,1,1,1,1,1,1
327,FXHASH Logo with Features #39,49,92.83955620496602,20,1,1,1,1,1,4,2,2,1,5,4,1,1,4,1,1,1,4,5,1,18,1,1,1,1,1,1,1
19580,FXHASH Logo with Features #821,50,92.5726951451905,1,1,1,1,1,16,4,2,1,1,5,4,1,5,4,1,1,1,5,5,1,18,1,1,1,1,1,1,1
2676,FXHASH Logo with Features #160,51,91.29780100505224,1,1,1,1,1,1,4,2,2,1,4,4,1,5,4,30,1,1,4,5,1,4,1,1,1,1,1,1,1
6082,FXHASH Logo with Features #242,52,90.97374315930756,1,1,1,1,1,1,5,1,2,1,4,4,1,1,4,30,1,1,4,4,1,7,1,1,1,1,1,1,1
15410,FXHASH Logo with Features #496,53,90.8451497688176,1,1,1,1,1,1,5,2,1,1,5,4,1,5,4,30,1,1,4,5,1,1,1,1,1,1,1,1,1
10226,FXHASH Logo with Features #346,54,90.27277809985432,1,1,1,1,1,1,5,1,2,1,5,5,1,5,4,30,1,1,5,4,1,1,1,1,1,1,1,1,1
20481,FXHASH Logo with Features #969,55,90.12567295477078,1,1,1,1,1,1,5,1,1,1,5,4,1,5,4,30,1,1,5,4,1,1,1,1,1,1,1,1,1
5671,FXHASH Logo with Features #235,56,89.79175300839113,1,1,1,1,1,1,4,1,1,1,4,5,1,5,4,30,1,1,5,5,1,1,1,1,1,1,1,1,1
19156,FXHASH Logo with Features #712,57,89.71621699086356,1,1,1,1,1,1,4,1,1,1,4,5,1,5,4,30,1,1,4,5,1,1,1,1,1,1,1,1,1
409,FXHASH Logo with Features #51,58,89.29384803015789,1,1,1,1,1,1,5,2,2,1,5,5,1,1,4,30,1,1,5,4,1,4,1,1,1,1,1,1,1
19061,FXHASH Logo with Features #695,59,89.2813975536543,1,1,1,1,1,1,4,2,1,1,5,5,1,1,4,30,1,1,5,5,1,4,1,1,1,1,1,1,1
19671,FXHASH Logo with Features #837,60,89.24756081377086,1,1,1,1,1,16,5,2,1,1,4,4,1,1,5,1,1,1,5,5,1,18,1,1,1,1,1,1,1
3722,FXHASH Logo with Features #189,61,89.23543608659654,1,1,1,1,1,1,4,1,1,1,4,5,1,5,4,30,1,1,5,5,1,1,1,1,1,1,1,1,1
3733,FXHASH Logo with Features #191,62,88.66547222019956,1,1,1,1,1,1,5,2,2,1,4,4,1,1,5,30,1,1,5,4,1,4,1,1,1,1,1,1,1
248,FXHASH Logo with Features #30,63,88.58505700442203,1,1,1,1,1,1,5,2,1,1,5,5,1,1,4,30,1,1,4,5,1,4,1,1,1,1,1,1,1
1675,FXHASH Logo with Features #112,64,88.22282143545897,1,1,1,1,1,1,5,2,2,1,4,5,1,1,5,30,1,1,5,4,1,4,1,1,1,1,1,1,1
19702,FXHASH Logo with Features #840,65,88.08264395027945,1,1,1,1,1,1,5,1,2,1,4,5,1,1,4,30,1,1,5,5,1,4,1,1,1,1,1,1,1
17399,FXHASH Logo with Features #547,66,86.83333369084161,1,1,1,1,1,1,5,2,1,1,4,4,1,1,5,30,1,1,5,5,1,1,1,1,1,1,1,1,1
20371,FXHASH Logo with Features #955,67,86.50570904011225,1,1,1,1,1,1,5,2,1,1,4,5,1,1,4,30,1,1,4,5,1,1,1,1,1,1,1,1,1
16125,FXHASH Logo with Features #518,68,86.43466631951692,1,1,1,1,1,1,5,2,2,1,4,5,1,1,4,30,1,1,5,5,1,1,1,1,1,1,1,1,1
19417,FXHASH Logo with Features #775,69,86.27684139880317,1,1,1,1,1,1,5,2,1,1,4,4,1,1,4,30,1,1,5,5,1,1,1,1,1,1,1,1,1
19157,FXHASH Logo with Features #713,70,86.08631885487551,1,1,1,1,1,1,4,2,1,1,4,5,1,1,4,30,1,1,5,4,1,1,1,1,1,1,1,1,1
19861,FXHASH Logo with Features #856,71,86.05927517374127,1,1,1,1,1,1,4,1,2,1,5,4,1,1,4,30,1,1,4,4,1,1,1,1,1,1,1,1,1
389,FXHASH Logo with Features #48,72,85.85219378796089,1,1,1,1,1,1,4,1,1,1,5,5,1,1,4,30,1,1,4,4,1,1,1,1,1,1,1,1,1
20617,FXHASH Logo with Features #994,73,85.80552002449204,1,1,1,1,1,1,5,1,2,1,4,5,1,1,4,30,1,1,5,5,1,1,1,1,1,1,1,1,1
18234,FXHASH Logo with Features #607,74,85.48190823078386,1,1,1,1,1,1,4,2,2,1,4,5,1,1,4,30,1,1,4,5,1,1,1,1,1,1,1,1,1
7392,FXHASH Logo with Features #298,75,85.14071567445306,20,1,1,1,1,1,5,2,2,1,4,4,1,5,4,1,1,1,4,5,1,7,1,1,1,1,1,1,1
3666,FXHASH Logo with Features #186,76,85.08568701001995,1,1,1,1,1,1,5,1,1,1,4,4,1,1,4,30,1,1,4,4,1,1,1,1,1,1,1,1,1
18281,FXHASH Logo with Features #614,77,83.53170120610122,20,1,1,1,1,1,4,2,1,1,5,5,1,5,5,1,1,1,5,4,1,4,1,1,1,1,1,1,1
15472,FXHASH Logo with Features #499,78,82.82084865066422,20,1,1,1,1,1,4,1,2,1,4,4,1,5,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
19618,FXHASH Logo with Features #829,79,82.70361258456433,20,1,1,1,1,1,5,1,2,1,4,5,1,5,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
14779,FXHASH Logo with Features #475,80,82.65649935718329,20,1,1,1,1,1,5,1,2,1,5,5,1,1,4,1,1,1,4,5,1,7,1,1,1,1,1,1,1
19564,FXHASH Logo with Features #819,81,82.49818399123421,20,1,1,1,1,1,5,2,2,1,5,5,1,1,5,1,1,1,4,4,1,7,1,1,1,1,1,1,1
19969,FXHASH Logo with Features #878,82,81.94559507522871,20,1,1,1,1,1,4,2,1,1,4,5,1,1,4,1,1,1,5,5,1,7,1,1,1,1,1,1,1
14455,FXHASH Logo with Features #466,83,81.41992288761931,20,1,1,1,1,1,4,2,2,1,4,5,1,1,5,1,1,1,4,4,1,7,1,1,1,1,1,1,1
14218,FXHASH Logo with Features #456,84,81.3804251550012,20,1,1,1,1,1,4,2,2,1,5,4,1,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1
20372,FXHASH Logo with Features #956,85,81.3667522904482,20,1,1,1,1,1,4,2,1,1,5,4,1,1,4,1,1,1,5,4,1,7,1,1,1,1,1,1,1
7381,FXHASH Logo with Features #297,86,80.66609714432106,1,1,1,1,1,16,5,2,1,1,4,4,1,5,4,1,1,1,5,5,1,7,1,1,1,1,1,1,1
19065,FXHASH Logo with Features #698,87,80.5465153999628,1,1,1,1,1,16,5,2,1,1,4,5,1,5,4,1,1,1,5,5,1,7,1,1,1,1,1,1,1
19656,FXHASH Logo with Features #835,88,80.39593451883678,20,1,1,1,1,1,5,1,2,1,5,5,1,5,4,1,1,1,4,5,1,1,1,1,1,1,1,1,1
20095,FXHASH Logo with Features #906,89,80.28404587790514,20,1,1,1,1,1,5,2,2,1,4,5,1,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1
19403,FXHASH Logo with Features #772,90,80.10465782419053,20,1,1,1,1,1,4,2,2,1,4,5,1,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1
10989,FXHASH Logo with Features #371,91,80.0430807825924,20,1,1,1,1,1,4,1,2,1,5,5,1,5,4,1,1,1,4,5,1,1,1,1,1,1,1,1,1
7737,FXHASH Logo with Features #313,92,79.70865096129157,20,1,1,1,1,1,4,2,1,1,5,4,1,5,4,1,1,1,5,4,1,1,1,1,1,1,1,1,1
19257,FXHASH Logo with Features #730,93,79.65835834759423,20,1,1,1,1,1,5,1,1,1,5,5,1,1,5,1,1,1,4,5,1,4,1,1,1,1,1,1,1
32,FXHASH Logo with Features #12,94,79.56738966235176,20,1,1,1,1,1,4,2,2,1,4,4,1,5,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
17606,FXHASH Logo with Features #564,95,79.55714857303093,20,1,1,1,1,1,5,1,1,1,5,5,1,1,4,1,1,1,5,5,1,4,1,1,1,1,1,1,1
19536,FXHASH Logo with Features #813,96,79.47052018455524,20,1,1,1,1,1,5,2,2,1,4,5,1,5,4,1,1,1,5,4,1,1,1,1,1,1,1,1,1
12290,FXHASH Logo with Features #400,97,78.93053233613422,20,1,1,1,1,1,5,1,2,1,5,5,1,1,4,1,1,1,5,4,1,4,1,1,1,1,1,1,1
18715,FXHASH Logo with Features #641,98,78.72998186754546,1,1,1,1,1,1,4,2,1,1,5,4,1,5,5,1,1,1,5,5,1,18,1,1,1,1,1,1,1
16952,FXHASH Logo with Features #531,99,78.72062593104285,20,1,1,1,1,1,4,1,2,1,4,4,1,1,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
4683,FXHASH Logo with Features #215,100,78.6956307535156,1,1,1,1,1,16,5,2,1,1,5,4,1,1,5,1,1,1,5,5,1,7,1,1,1,1,1,1,1
20283,FXHASH Logo with Features #939,101,78.63621744951939,1,1,1,1,1,1,5,2,1,1,5,5,1,5,5,1,1,1,4,5,1,18,1,1,1,1,1,1,1
17328,FXHASH Logo with Features #542,102,78.56095150329168,20,1,1,1,1,1,4,2,2,1,4,5,1,1,4,1,1,1,4,5,1,4,1,1,1,1,1,1,1
20007,FXHASH Logo with Features #887,103,78.0748013588137,20,1,1,1,1,1,5,2,2,1,4,4,1,1,4,1,1,1,4,5,1,4,1,1,1,1,1,1,1
7717,FXHASH Logo with Features #311,104,77.94859838325719,1,1,1,1,1,16,5,1,1,1,4,4,1,1,5,1,1,1,5,4,1,7,1,1,1,1,1,1,1
18703,FXHASH Logo with Features #639,105,77.88743373674119,1,1,1,1,1,16,4,1,1,1,4,4,1,1,5,1,1,1,5,5,1,7,1,1,1,1,1,1,1
3313,FXHASH Logo with Features #173,106,77.82650559753279,20,1,1,1,1,1,4,2,2,1,5,5,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1
13801,FXHASH Logo with Features #439,107,77.79040062497457,20,1,1,1,1,1,5,2,1,1,5,5,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1
18951,FXHASH Logo with Features #676,108,77.623326823271,1,1,1,1,1,16,4,2,1,1,5,5,1,1,5,1,1,1,5,4,1,7,1,1,1,1,1,1,1
19123,FXHASH Logo with Features #705,109,77.55729099514647,20,1,1,1,1,1,5,1,2,1,4,5,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1
20382,FXHASH Logo with Features #957,110,77.30682026449975,1,1,1,1,1,16,5,2,2,1,4,4,1,1,4,1,1,1,5,4,1,7,1,1,1,1,1,1,1
18676,FXHASH Logo with Features #635,111,77.29575034732538,1,1,1,1,1,16,4,1,2,1,4,5,1,1,5,1,1,1,5,4,1,7,1,1,1,1,1,1,1
154,FXHASH Logo with Features #19,112,77.24217118233825,1,1,1,1,1,1,5,2,2,1,4,4,1,5,4,1,1,1,5,4,1,18,1,1,1,1,1,1,1
3252,FXHASH Logo with Features #171,113,77.2382978418343,1,1,1,1,1,16,4,2,2,1,5,5,1,1,4,1,1,1,5,4,1,7,1,1,1,1,1,1,1
12494,FXHASH Logo with Features #406,114,77.20636120897487,1,1,1,1,1,1,5,1,1,1,4,5,1,5,4,1,1,1,4,5,1,18,1,1,1,1,1,1,1
20137,FXHASH Logo with Features #914,115,77.17749287030962,1,1,1,1,1,16,5,2,1,1,4,4,1,5,5,1,1,1,5,4,1,4,1,1,1,1,1,1,1
1702,FXHASH Logo with Features #114,116,77.10961656674137,1,1,1,1,1,1,4,2,1,1,4,4,1,5,5,1,1,1,5,4,1,18,1,1,1,1,1,1,1
941,FXHASH Logo with Features #86,117,77.10283975906064,20,1,1,1,1,1,4,1,1,1,4,5,1,1,4,1,1,1,4,4,1,4,1,1,1,1,1,1,1
14839,FXHASH Logo with Features #477,118,77.06563808732031,1,1,1,1,1,16,5,2,2,1,4,5,1,5,4,1,1,1,4,5,1,4,1,1,1,1,1,1,1
15814,FXHASH Logo with Features #511,119,77.02888017436364,20,1,1,1,1,1,5,2,2,1,5,5,1,1,4,1,1,1,4,5,1,1,1,1,1,1,1,1,1
20350,FXHASH Logo with Features #950,120,76.99744964455512,1,1,1,1,1,1,4,1,2,1,5,5,1,5,4,1,1,1,5,4,1,18,1,1,1,1,1,1,1
310,FXHASH Logo with Features #38,121,76.97239266461762,1,1,1,1,1,16,5,1,2,1,4,4,1,1,4,1,1,1,4,5,1,7,1,1,1,1,1,1,1
9690,FXHASH Logo with Features #340,122,76.96183837222988,1,1,1,1,1,1,4,1,2,1,5,4,1,5,4,1,1,1,5,4,1,18,1,1,1,1,1,1,1
1185,FXHASH Logo with Features #95,123,76.93126107624036,20,1,1,1,1,1,5,2,2,1,5,5,1,1,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1
6168,FXHASH Logo with Features #246,124,76.89099641455333,1,1,1,1,1,1,5,1,1,1,4,4,1,5,5,1,1,1,4,4,1,18,1,1,1,1,1,1,1
19561,FXHASH Logo with Features #817,125,76.85007208732021,20,1,1,1,1,1,5,1,1,1,5,4,1,1,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
19220,FXHASH Logo with Features #724,126,76.80286493959898,1,1,1,1,1,16,5,1,1,1,5,5,1,5,5,1,1,1,4,5,1,1,1,1,1,1,1,1,1
20440,FXHASH Logo with Features #966,127,76.73158035772124,1,1,1,1,1,1,5,1,2,1,4,5,1,5,4,1,1,1,5,4,1,18,1,1,1,1,1,1,1
13945,FXHASH Logo with Features #446,128,76.62509095178463,1,1,1,1,1,1,5,1,2,1,4,4,1,5,5,1,1,1,4,4,1,18,1,1,1,1,1,1,1
18731,FXHASH Logo with Features #644,129,76.45422161657949,20,1,1,1,1,1,5,2,2,1,5,4,1,1,4,1,1,1,5,4,1,1,1,1,1,1,1,1,1
13858,FXHASH Logo with Features #443,130,76.34642819044018,1,1,1,1,1,1,4,2,1,1,4,4,1,5,4,1,1,1,5,5,1,18,1,1,1,1,1,1,1
13616,FXHASH Logo with Features #429,131,76.27296833408397,20,1,1,1,1,1,4,2,1,1,4,4,1,1,5,1,1,1,4,5,1,1,1,1,1,1,1,1,1
2176,FXHASH Logo with Features #134,132,76.15570588930284,20,1,1,1,1,1,4,1,1,1,5,5,1,1,4,1,1,1,4,5,1,1,1,1,1,1,1,1,1
589,FXHASH Logo with Features #68,133,76.07947409130392,20,1,1,1,1,1,4,2,2,1,5,4,1,1,5,1,1,1,4,4,1,1,1,1,1,1,1,1,1
5211,FXHASH Logo with Features #222,134,75.98664311525862,20,1,1,1,1,1,5,1,2,1,5,5,1,1,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1
618,FXHASH Logo with Features #71,135,75.93972957154512,20,1,1,1,1,1,4,1,1,1,5,5,1,1,4,1,1,1,5,4,1,1,1,1,1,1,1,1,1
2578,FXHASH Logo with Features #158,136,75.75753109567982,20,1,1,1,1,1,4,2,1,1,4,5,1,1,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
18051,FXHASH Logo with Features #593,137,75.73930609515912,1,1,1,1,1,16,4,2,1,1,4,4,1,5,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1
20574,FXHASH Logo with Features #984,138,75.71887928036946,1,1,1,1,1,16,5,1,1,1,4,5,1,5,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
1435,FXHASH Logo with Features #103,139,75.69120226132864,20,1,1,1,1,1,5,2,2,1,4,4,1,1,4,1,1,1,5,4,1,1,1,1,1,1,1,1,1
20133,FXHASH Logo with Features #911,140,75.65558565415589,20,1,1,1,1,1,5,1,2,1,4,4,1,1,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
2374,FXHASH Logo with Features #152,141,75.65519805530344,20,1,1,1,1,1,5,1,1,1,4,5,1,1,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
15103,FXHASH Logo with Features #485,142,75.4410910854842,20,1,1,1,1,1,4,2,2,1,4,5,1,1,4,1,1,1,5,4,1,1,1,1,1,1,1,1,1
2042,FXHASH Logo with Features #125,143,75.41184332645547,20,1,1,1,1,1,4,2,1,1,4,5,1,1,4,1,1,1,4,5,1,1,1,1,1,1,1,1,1
1580,FXHASH Logo with Features #110,144,75.40371321563823,20,1,1,1,1,1,4,2,1,1,4,5,1,1,4,1,1,1,4,5,1,1,1,1,1,1,1,1,1
2230,FXHASH Logo with Features #138,145,75.309474141647,1,1,1,1,1,1,5,1,1,1,5,5,1,1,5,1,1,1,5,5,1,18,1,1,1,1,1,1,1
19701,FXHASH Logo with Features #839,146,75.11400466592009,1,1,1,1,1,16,5,1,2,1,5,4,1,1,5,1,1,1,5,4,1,4,1,1,1,1,1,1,1
17038,FXHASH Logo with Features #533,147,74.88801096430758,1,1,1,1,1,16,4,1,2,1,4,5,1,5,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
343,FXHASH Logo with Features #41,148,74.67024724234012,1,1,1,1,1,16,5,2,1,1,5,5,1,1,5,1,1,1,4,4,1,4,1,1,1,1,1,1,1
12664,FXHASH Logo with Features #409,149,74.54487751468527,1,1,1,1,1,16,5,2,2,1,4,5,1,5,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1
18265,FXHASH Logo with Features #611,150,74.2341184878995,1,1,1,1,1,1,5,2,2,1,5,5,1,1,4,1,1,1,4,5,1,18,1,1,1,1,1,1,1
20410,FXHASH Logo with Features #962,151,74.11128519299164,1,1,1,1,1,1,5,1,1,1,4,4,1,1,5,1,1,1,4,5,1,18,1,1,1,1,1,1,1
20369,FXHASH Logo with Features #954,152,74.09055927316255,1,1,1,1,1,16,4,1,2,1,4,4,1,5,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1
163,FXHASH Logo with Features #20,153,74.0868008073076,1,1,1,1,1,16,4,1,2,1,4,4,1,1,4,1,1,1,5,5,1,4,1,1,1,1,1,1,1
3903,FXHASH Logo with Features #202,154,74.0288035959314,1,1,1,1,1,16,5,1,2,1,4,5,1,1,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
15300,FXHASH Logo with Features #491,155,73.94365673791584,1,1,1,1,1,1,5,2,1,1,4,4,1,1,5,1,1,1,5,5,1,18,1,1,1,1,1,1,1
13109,FXHASH Logo with Features #417,156,73.93402501268271,1,1,1,1,1,1,5,1,1,1,4,5,1,1,5,1,1,1,5,4,1,18,1,1,1,1,1,1,1
3807,FXHASH Logo with Features #192,157,73.87413557628324,1,1,1,1,1,1,5,2,2,1,5,4,1,1,4,1,1,1,5,4,1,18,1,1,1,1,1,1,1
